-aç	ɑtʃ
abc	ɑbʒ
abd	abd
abd	abe
abd.	abde
abdallık	ɑbdɑnˈlɯk
abdalımsı	ɑbdɑliˈmsɯ
abdestbozan	abdæzbozan
abdesthane	ɑbdɪstɑnɨ
abdestlik	ɑpdɛstlik
abdestlilik	æbdɛslɯlik
abdiaciz	abdɑːrdʒiz
abdiâciz	abd̪iːɑːdʒiz
abdomen	abdɔːmæn
abdominal	ɑbdɔmɪnəl
abdul	abˈdul
abdulkerim	əbdɑlkɛɾim
abdullah	ɑbdullɑ
abdullah	ɑbduˈlɑ
abdullahoğlu	ɑbdullɑhoɫdʊ
abdurrahman	ɑbdʊrɾahmɑn
abduş	aptuʃ
abdüktörler	ɑbdyctœɾlæɾ
abdüktörü	ɑbdyctœɾy
abdülhalim	ɑbdʊlhaːˈlim
abdülhamid	ɑbdɯlhɑmɪd
abdülmecid	ɑbdilmedʒit
abdülmecit	ɑˈbdylmedʒit
abdürrahim	ɑbdʊɾɾahɯm
abe	aˈbe
abe	ɑːˈbe
abecesel	ɑːbeːdʒeselt
abem	ɑˈbɛm
aberasyon	aabæɾasjõn
abeslang	tɑbɛslɑŋ
abhazca	apɑzdʒaː
abhazya	aːlqazɪa
abi	ɑbɯ
abicim	ɑbɯgɯ
abicim	ɑːbɪˈdʒɪm
abide	ɒbide
abideleşme	ɑːbiðeleʃme
abideleşmek	ɑːbideleʃmæk
abideleştirilme	abideɾestɯɾɯlmɯ
abideleştirme	ɑːbideleʃtiɾme
abidemsi	ɑːbidemsij
abidesi	ɑbɪˈdesi
abidevi	ɑːbidɛbi
abidevî	ɑːbɪdeːvi
abidin	ʔabidin
abigail	ɑbɪgɑjɯl
abim	ɑˈbɪm
abime	ɑːbiˈme
abimi	ɑbɪˈmɪ
abimin	ɑbɪˈmɪn
abimle	ɑˈbimle
abine	ɑːˈbine
abini	ɑbɪˈnɪ
abinin	ɑbɪˈnɪn
abis	abiz
abisi	ɑbɪˈsɪ
abit	aːbit
abiye	tɔpiːe
abiye	ɑbije
abiyogenez	abijogɛnɪz
abla	apla
abla	ɑbɫɑ
abla	ɑbˈɫɑ
ablaci	ɑbɫɑdʒɯ
ablacılık	ɑbɫɑːdʒɯlɯk
ablak	ɑplɑk
ablaklık	ɑblɑklɯ̞k
ablakça	ɑbɫɑktʃɑ
ablam	ɑbˈɫɑm
ablama	ɑbɫɑmɑ
ablamla	ɑbɫɑmɫɑ
ablamı	ɑbɫɑmɯ
ablamın	ɑbɫɑˈmɯn
ablan	ɑbˈɫɑn
ablana	ɑbɫɑnɑ
ablanı	ɑbɫɑˈnɯ
ablanın	ɑbɫɑˈɫɯn
ablası	ɑbɫɑsɯ
ablatif	ablɛtif
ablatya	ablatsja
ablavutlaşma	ɑˈbɫɑutɫaʃma
ablavutlaşmak	ɑˈbɫɑutɫɑʃmɑˈk
ablavutluk	ɑblɑmutɫʊk
abli	ablɪ
abluca	aːbɫudʒa
abluka	ɑbnuqa
abner	ɑbˈnɛɾ
abone	aːbone
abonelik	ɑbonelic
abonman	ɑbɑnmuːn
abonman	ɑbɑnmɑn
aborda	abɔɾdɑ
abortus	abɔɾtus
abra	abra
abraham	ɑbɾɑhɑm
abrakadabra	ɑbɾɑkadabra
abrams	ɑbɾɑms
absent	ɑfsæmd
abstre	apstɾe
absürd	ɑbsuɾt
absürd	ɑbsyɾd
abuk	abˈuk
abuklama	aːbukɫomɑ
abuklamak	ɑbuqlɑmɑk
abuklaşma	ɑbuqlɑʃmɑ
abuklaşmak	avuklaʃmɑk
abullabut	abuɫːabut
abullabutluk	ɑbullabutˈlɯk
abur	abuf
abur	ɑˈbuɾ
aburcubur	ɑbuɾˈtʃɯbɯɾ
abus	ɑbuz
abusluk	ɑbuzluq
abıhayat	ɑːbuhejɑt
abırlamak	abɛrlamag
ac	agɛ
ac	ɑdʒ
acaba	ɑdʒɑbɑ
acaba	ɑːdʒɑbɑ
acaip	ɑdʒɑjp
acaip	ədʒɑːjb
acar	ɑˈdʒɑɾ
acara	edʒera
acarlık	ɑdʒɑɾˈlɯk
acayip	ɑdʒɑˈjɯp
acayipleşebilmek	ɑkɑjɯpleʃebilmɛk
acayipleşmek	ɑɟɑjɯpleʃmæk
acayipleştirmek	əʒɑːeplɛʃtɪrmɛk
accık	aːtʃtʃɯk
ace	ɑdʒe
acele	ɑdʒɛlɛ
acele	ɑdʒɛˈlɛ
aceleci	ɑdʒɛledʒe
aceleci	ɑdʒɛˈlɛdʒi
aceledir	ɑdʒɛlɛdiɾ
aceleleşmek	ɑdʒɛlɛɾeʃmɛk
aceleleştirme	ɑdʒɛlɛɫeʃtiɾmɛ
aceleleştirmek	ɑdʒɛlɛɾeʃtiɾmɛk
acelem	ɑdʒɛˈlɛm
acelemiz	ɑdʒeˈlemiz
acelen	ɑdʒelɛn
aceleniz	ɑdʒelɛˈniz
acelesi	ɑdʒɛˈlɛsi
aceleten	ɑːdʒletænd
aceleye	ɑdʒelɛjɛ
aceleyle	ɑdʒelɛjlɛ
acemaşiran	adʒemɑʃiːrɑn
acemborusu	adʒenboːɾusu
acemi	adʒeni
acemi	ajmmi
acemi	ɑdʒemiː
acemi	ɑˈdʒemi
acemice	adʒɛmijtʃɛ
acemileşebilmek	ɑdʒmijɛlɛʃebilmɛk
acemileşiverme	ɑdʒmiiʃiʃveɾmɛ
acemileşivermek	ɑdʒɯmɯleˈʃiveɾˈmɛk
acemileşmek	ɑdʒɑmileʃmɛk
acemleşme	ɑˈdʒemlesme
acemleşmek	ɑdʒemleʃmɛk
acemleştirme	ɑˈdʒemlɛʃtiɾmɛ
acemleştirmek	ɑdʒemlɛʃtɪɾmɛk
acemoğlu	ɑdʒɑmɔɫˈdʊ
acenta	adʒanta
acente	aːgɛnˈse
acentelik	ɑdʒentɫik
acentelik	ɑdʒæntelic
acep	atʃaf
acep	dʒoɾ
aceze	ɑdʒzeze
aci	ɑˈdʒɯ
acibe	adʒbe
acil	ɑdʒɯl
acilde	ɑːdʒɯlde
acile	ɑˈdʒɪle
acilen	ɑdʒiˈlen
acip	ɑˈdʒɯb
aciz	tʃiːzi
aciz	ɑɟiz
acizane	agizaːne
acizleşebilme	ɑdʒɯzɫeʃebilme
acizleşmek	ɑdʒizlɛʃmɛk
ackerman	ækˈkɛɾmɑn
acosta	ɑdʒoˈstɑ
actor	aktœɾ
acube	əˈdʒoːbe
acul	ˈɑdʒuːl
acun	ɑtʃɯn
acur	aːdʒuʒ
acurlu	aːdʒuɾlu
acı	ɑɑˈdʒɯ
acı	ɑˈdʒɯ
acı	ɑˈdʒɯp
acıbadem	ɑdʒbɑadæm
acıca	ɑˈdʒɯdʒɑm
acıdan	ɑˈdʒɯˈdɑn
acıgöl	adʒigøv
acıkabilmek	ɑˈdʒɯkɑbilmɛk
acıkara	ədʒiːkæɾɑ
acıklı	bɑˈdʒɯkla
acıklı	ɑːdʒɯɫɯ
acıkma	ɑˈdʒɯkma
acıkmadın	ədʒikmandɯn
acıkmak	ɒdʒykmak
acıkmış	ɑˈdʒɯmɯʃ
acıktı	ɑˈdʒɯtɯ
acıktım	ɑˈdʒɯtɯm
acıktın	ɑˈdʒɯtɯn
acıktırma	aːdʒɯktermɑ
acıktırmak	ɑˈdʒɯktiɾˈmɑk
acıkılma	ɑˈdʒɯkɯlma
acıkılmak	ɑˈdʒɯkɯɫmak
acıkıyorum	ɑˈdʒɯkɯjoɾum
acıkış	ɑdʒɑɟɯʃ
acılanmak	ɑɑˈdʒɯlɑnmak
acılar	ɑdʒɯˈlɑr
acılara	ɑdʒɯˈlɑɾɑ
acıları	ɑˈdʒɯlaɾɯ
acıların	ɑˈdʒɯɫɑɾɯn
acılarını	ɑdʒɯlaɾɯˈnɯ
acılaşabilme	ɑdʒɯdɑʃɑbilmæ
acılaşma	ɑˈdʒɯlɑˈʃma
acılaştırabilme	aːdʒɑlɑʃtɯɾɑβjɪlɛ
acılaştırabilmek	ɑdʒɑlɑʃtɯɾɑbilmæk
acılaştırılma	ɑdʒɑbaʃtiɾilma
acılaştırılmak	ɑdʒɑlɑʃtɯɾɯlmɑk
acılı	ɑdʒɯˈɫɯ
acılı	ɑˈdʒɯˈɫɯ
acım	ɑˈdʒɯm
acımadı	ɑdʒɯmɑdɯ
acımak	ɑˈdʒɯmɑk
acımasızca	ɑˈdʒɯmasɯzˈdʒɑ
acımasızdır	ɑdʒɯmasɯdɯɾ
acımasızlaşabilme	ɑdʒɯmaːsɯzlaʃɑbilme
acımasızlaşabilmek	ɑdʒɯmɑsɯzlaʃɑbilmɛk
acımasızlaşamamak	ɑdʒɯmɑsɯzɫɑʃɑmɑmɑk
acımasızlaştırılmak	ɑdʒɯmaːsɯzlaʃtɯrɯlmɑq
acımtırak	ɑˈdʒɯmtsɯɾak
acımı	ɑˈdʒɯmɯ
acımık	ɑˈdʒɯmɯk
acımıyor	ɑdʒɯˈmɯjɯɾ
acın	ɑˈdʒɯn
acınası	ɑdʒɯnaːsɯ
acındırabilme	ɑdʒɯnlɛnɑbilme
acındırılmak	ɑɑˈdʒɯndɯɾɯlmɑk
acınma	ɑˈdʒɯnma
acınmak	ɑˈdʒɯnmɑk
acını	ɑˈdʒɯnɯ
acınılası	ɑdʒɯnɯlaˈsɯ
acınılmak	ɑˈdʒɯnɯɑɫmɑk
acının	ɑdʒɯˈnɯ
acınızı	ɑdʒɯˈnɯzɯ
acınış	odʒiniʃ
acıpınar	ɑˈdʒɯpnɑɾ
acır	ɑˈdʒɯɾ
acırak	ɑˈdʒɯɾɑk
acırga	aːdʒɯɾka
acısı	ɑdʒɯˈsɯ
acısına	ɑdʒɯˈsɯnɑ
acısını	ɑˈdʒɯˈsɯ
acısız	ɑˈdʒɯsɯz
acısızlık	ɑdʒɯzɯzɫɯk
acıtacak	ɑːdʒɯtɑdʒɑk
acıtan	adʒɛtaŋ
acıtma	aːdʒɯtma
acıttı	ɑˈdʒɯtːɯ
acıtıcı	ədʒitɪdʒi
acıtır	ɑˈdʒɯtɯr
acıtıverme	ɑdʒɯtɯʋɛrmɛ
acıtıyor	ɑˈdʒɯjoɾ
acıtıyor	ɑˈdʒɯtɯjoɾ
acıtıyorlar	ɑdʒɯtɯjoɫaɾ
acıtıyorsun	ɑːdʒɯjoɾsʊn
acıtış	ɑˈdʒɯtɯʃ
acıya	ɑˈdʒɯjɑ
acıyabilme	ɑˈdʒɯɛbiˈɾme
acıyabilmek	ɑdʒɯɛbiɾˈmɑk
acıyacak	ɑːdʒɯjɑkɑk
acıyla	ɑdʒɯˈjɑ
acıyor	ɑdʒɯˈjoɾ
acıyorum	ɑˈdʒɯjoɾum
acıyı	ɑˈdʒɯ
acıyıcı	ɑˈʒɯjɯdʒɯ
acıyıcılık	ɑdʒɯjɯdʒilɯk
acıyış	ɑˈdʒɑjɯʃ
ad	ɑt
ad	ɑːd
ada	ada
ada	ata
ada	ɑtɑ
ada	ɑˈdɑ
adabımuaşeret	ɑdɑːbɯmuaʃaˈɾet
adacyo	ɑdɑdʒɯ
adacılık	ɑdɑdʒɯɫɯk
adada	ɑdɑdɑ
adadaki	ɑdɑdɑkɯ
adadan	ɑdɑdɑn
adadı	ɑdɑdɯ
adadı	ɑtɑda
adadım	ɑdɑˈdɯm
adagio	aðɑgijɔ
adak	aðɑk
adak	ɑtɑ
adak	ɑˈdɑk
adak	ɑˈtɑk
adaklama	ɑdɑkɫɑˈmɑ
adaklamak	ɑdɑkɫɑmɑk
adaklanmak	ɑdɑkɫɑɣmaːk
adalar	ɑdɑɫɑɾ
adalar	ɑdɑˈlɑɾ
adalar	ɑdɑˈɫɑɾ
adaları	ɑdɑˈɫɯ
adale	ɑdɑlɛ
adalet	adɑlɯ
adalet	ɑdɑˈlɛt
adalete	ɑdɑlɛtɛ
adaleti	ɑdɑlɛti
adaletin	ɑdɑlɛˈtin
adaletli	ɑdɑlɛtli
adaletli	ɑdɑlɛtˈlɯ
adaletli	ɑdɑːletli
adaletlilik	ɑdɑletlilɯk
adaletsiz	ɑdɑlɛtsɯz
adaletsiz	ɑdɑːletsiz
adaletsizlik	ɑdɑlɛtsezlik
adaletsizlik	ɑdɑlɛtsɯlɯtʃɯk
adaletsizlik	ɑdɑːletsizlic
adaletten	ɑdɑlɛtˈlɛn
adalind	ɑdɑˈlind
adalî	ɑdɑliː
adam	ɑdæm
adam	ɑtɑm
adam	ɑˈdɑm
adam	ɑːdɑm
adama	ɑdɑmɑ
adamak	odamag
adamak	ɑdɑmɑk
adamakıllı	adɑmakɯɫdɯ
adamakıllı	ɑdɑmɑkjɯɫɯ
adamcasına	adamʒɑsɯnɑ
adamcıl	adamˈzɯl
adamcıllık	ɑdɑmdʒɯlɯk
adamda	ɑˈdɑmdɑ
adamdan	ɑˈdɑmdɑn
adamdı	ɑˈdɑmɯ
adamdım	ɑˈdamdɯm
adamdır	ɑˈdɑmˈdɯɾ
adami	ɑdɑmi
adamim	ɑdɑmɪm
adamin	ɑdɑˈmin
adamkökü	adamkøkʏ
adamla	ɑˈdɑmɫɑ
adamla	ɑˈdɑnɫɯ
adamlar	ɑdɑmˈlɑɾ
adamlara	ɑdɑmˈlɑɾɑ
adamlardan	ɑdɑmlɑɾˈdɑn
adamlardı	ɑdɑmˈlɑɾdɯ
adamlarla	ɑdɑmɫɑɾɫɑ
adamları	ɑdɑmˈɫɯɾɯ
adamlarım	ɑdɑmlɑɾɯm
adamlarıma	ɑdɑmɫɯɾɯmɑ
adamlarımdan	ɑˈdɑmɫɯɾɯmˈdɑn
adamlarımla	ɑdɑmɫɯɾɯmɫɑ
adamlarımı	ɑdɑmɫɯɾɯmɯ
adamlarımın	ɑdɑmɫɯɾɯmɯn
adamlarımız	ɑdɑmɫɯɾɯmɯz
adamlarımızdan	ɑdɑmɫɯɾɯmɯzdɑn
adamlarımızı	ɑdɑmɫɯɾɯmɯzɯ
adamlarımızın	ɑdɑmlɑɾɯmɯˈzɯn
adamların	ɑˈdɑɫɯɾɯn
adamlarını	ɑdɑmɯɫɯnɯ
adamlarınız	ɑdɑmɯɾɯˈnɯz
adamlarınızı	ɑdɑmɯɫɯnɯzɯ
adamlarınızın	ɑdɑmɯɫɯnɯzɯn
adamlarıyla	ɑˈdɑmɫɯɾɯjɑ
adamlarız	ɑdɑmlɑɾɯz
adamlık	ɑdɑnɫɯk
adammış	ɑdɑmˈmɯʃ
adamotu	adamodum
adamotu	ɑdɑmotu
adams	ɑˈdɑms
adamsa	ɑdɑmsɑ
adamsın	adamsɯ
adamsın	ɑˈdɑmsɯn
adamsınız	ɑˈdɑmsɯˈnɯz
adamı	ɑdɑmɯ
adamıdır	ɑdamɯɯdɯr
adamım	adamɯ̞m
adamım	ɑˈdɑmɯm
adamımsın	ɑdɑmɯmsɯn
adamımız	ɑdɑmɯˈmɯz
adamımızı	ɑdɑmɯˈzɯ
adamımızın	ɑdɑmɯˈmɯzɯn
adamın	ɑdɑmɯ̞n
adamın	ɑdɑˈmɯn
adamına	ɑdɑmɯnɑ
adamını	ɑdɑmɯnɯ
adamının	ɑdɑmɯˈnɯn
adamınız	ɑdɑmɯˈnɯz
adamısın	ɑdɑmɯˈʃɯn
adamıydı	ɑdɑmɯjɯ
adamıyla	ɑdɑmɯjɑ
adamıyım	ɑdɑmɯˈjɯm
adamış	ɑdɑˈmɯʃ
adanalı	ɑˈdɑnɑlɯ
adanalılık	adɯnɑɑɫɯɫɯk
adanmış	ɑdɑnˈmɯʃ
adanın	ɑdɑˈnɯn
adap	ɑdɑk
adapte	adaptɛ
adapte	ɑdɑptɛ
adaptör	ɑdɑptɔɾ
adası	ɑdɑˈsɯ
adasına	ɑdɑsɯˈnɑ
adasında	ɑdɑsɯndɑ
adatma	atatma
adatmak	ɑdætmɑk
aday	odaj
aday	ɑˈdɑj
adaya	ɑdɑjɑ
adayabilmek	ɑɫɑjɑbinmæk
adayavrusu	ɑdɑjɑwɾusu
adaylar	ɑdɑjˈɫɑɾ
adayları	ɑdɑjɫɯɾɯ
adaylığı	ɑdɑjɯɫɯ
adaylığımı	ɑdɑjɯɫɯɣɯmɯ
adaylığını	ɑdɑjɯɫɯnɯ
adayı	ɑdɑjɯ
adayın	ɑdɑˈjɯn
adayıydı	ɑdɑjɑjˈdi
adaşlık	ɑdɑʃɫɯk
adcı	atʃɯ
addedilme	tdedilmi
addedilmek	atdedilemec
addetme	atdeˈtme
addie	ɑd̪ːi
addolunma	atdoˈlunmɯ
ade	ɑːˈde
adebisi	ɑdebisi
adedimürettep	ɑdeɾimyɾetˈtɛp
adelaide	ɑdeɫɑjde
adele	ɑdele
adem	ɑˈdem
adem	ɑːdæm
ademci	atendʒi
ademcilik	ɑdæmdʒɯlɯk
ademiyet	adˈmiˈɛt
ademoğlu	ademoˈɫu
adenektomi	aːtenektomi
adenit	adˈenˈit
adenoit	adenoi
adenomiyozis	advenomiozis
adenopati	aːdenopote
adenotomi	ħadɛnotomiː
adenozin	ɑdenozin
adermin	ɑtɛrmin
adermogenez	ædeɾmogenez
adese	aðɯse
adet	ɑˈdet
adeta	ɑdetɑ
adeta	ɑːd̪tɑː
adetgörmezlik	ɑːˈdˈtgøɾmezlɯk
adetimürettep	adetimirettɛp
adetçe	aðɯtʃe
adhokrasi	atɦokrɛsɪ
adi	ɑːdi
adi	ɑːdiː
adice	ɑːdiːdʒe
adil	ɑˈdiɫ
adil	ɑːdɪl
adiler	ɑːdiˈleɾ
adileşivermek	ɑˈdiliʃiveɾmæk
adileşme	ɑdijlɛʃmɛ
adileşmek	ɑdeleʃmɛk
adileştirmek	ɑdileʃtiɾˈmɛk
adilik	ɑdiliːk
adilik	ɑːdeːlik
adillik	ɑdiliːk
adilâne	adilane
adim	ɑˈdim
adimlama	adɯˈmlama
adimlama	ɑdɯmlama
adina	ɑːdiˈnɑ
adina	ɑːdiːnɑː
adini	ɑːdiˈni
adios	adiɔs
adisin	ɑˈdiːsin
adisyon	adisijon
adiş	ɑːdiːʃ
adlandırabilme	ɑdlɑnˈdɯlabilme
adlandırabilmek	ɑdɫandɯɾɑbɪlmɛk
adlandırılabilme	ɑdɫandɯɾɯlɑbilme
adlandırılabilmek	ɑːdlɑŋdɯɾˈdɑbilmæk
adlandırılan	ɑdɫɑnɯɾɯˈɫɑn
adlandırılmak	ɑdlɑnˈdɯɾɯlmak
adlandırılmıştır	ɑdlɑnˈdɯɾɯlmɯʃtɯɾ
adlandırılır	ɑdlɑndɯɾɯɫɯɾ
adlandırılış	ɑdlɑŋdɯɾɯˈlɯʃ
adlandırım	ɑdɫandɯɾɯm
adları	ɑdɫɯɾɯ
adlarını	ɑdɫɯˈnɯ
adlaştırma	ɑˈnɯʃtɯɾmɑ
adler	ɑdˈɫɛɾ
adli	ɑdˈɫi
adliye	adɾiliːe
adliye	ɑdɫije
adliyelik	hadɫijɛlix
adlî	ɑːdliː
adlı	ɑdˈɫɯ
adnan	adna
adolf	ɑːˈdoɫf
adrenal	atsrɛnɑl
adrenalektomi	adrenilɛktoj
adrenalin	aːtrinɛlɛn
adrenalin	ɑdɾɛnalɪn
adrenarş	aðɾenariʃ
adrenerjik	adrenerdʒik
adrenokortikotrofik	adrenokordɪkɔtrobik
adres	ɑdˈɾes
adrese	ɑdɾɛsɛ
adresi	aːdɾeˈsi
adresim	ɑdɾɛˈsim
adresimi	ɑdɾɛsimi
adresin	aːd̪ɾesin
adresine	aːdɾesiːne
adresini	ɑdɾɛsɪnɪ
adresiniz	atɾɛsɪnʃ
adresiniz	ɑdɾɛsiˈnɯz
adresinizi	ɑdɾɛsɪnɪzɯ
adresleri	ɑdɾesˈleɾi
adreslerini	ɑdˈɾesˈleɾi
adreste	ɑd̪ɾeste
adrian	ɑdɾiˈɑn
adriana	ɑdɾiˈɑnɑ
adrianna	ɑdɾiɑnɑ
adsal	aːtsˈɑl
adsorban	ɑːtsoɾbaːn
adsorbsiyon	atsoɾpstsoːn
adsız	ɑdˈsɯz
adsızlık	ɑtsɯzluk
adî	ɑːdiː
adîleşmek	ɑdileʃmɛk
adîleştirme	ɑdilɛʃtiɾme
adîlik	adilik
adıl	aːtɯt
adıl	ɑˈdɯl
adım	ɑˈdɯm
adıma	ɑːˈdɯmɑ
adımbaşı	ɑˈdɯmdɑʃɯ
adımda	ɑˈdɯmda
adımla	ɑˈdɯmɫɑ
adımlamak	adɯnɫɑmɑk
adımlarla	ɑːdɯmˈɫɑɾɑ
adımları	ɑːdɯmˈɫɑɾɯ
adımlarını	ɑːdɯmɫɑːɾɯnɯ
adımlayabilme	ɑˈdɯmɫajɑbilme
adımlayabilmek	ˈadɯmlajɑbilmec
adımsayar	adɯ̞mzʊ̞jɑr
adımı	batɔvɑ
adımın	ɑˈdimɯn
adımına	ɑˈdɯmɯnɑ
adımını	ɑˈdimɯnɯ
adımız	ɑˈdimɯz
adımıza	ɑːˈdɯmɯzɑ
adımızı	ɑˈdimɯzu
adın	ɑˈdin
adına	ɑˈdɯnɑ
adındaki	ɑdɯŋˈkɯ
adından	ɑːˈdin̪ˤan
adınla	ɑˈdinɫɑ
adını	ɑˈdɯnɯ
adının	ɑːdiˈnɯn
adınız	ɑˈdɯnɯz
adınız	ɑːdiˈnɯz
adınıza	ɑdɯnɯzɑ
adınızı	atɯnɯzɯ
adınızı	ɑːdiˈnɯzɯ
adıvar	ɑˈdɯvaɾ
adıyaman	adijama
adıyamanlı	adɯjɑmɑndɯ
adıyamanlı	ɑdɯjɑmɑnɫɯ
adıyamanlılık	ɑˈðɯjɑmɑnˈɫɯk
adıydı	ɑːˈdɯɯ
ae	æ
aerobik	ajɾobik
aerodinamik	ajɾodlemik
aerojen	aɾojxan
aerosol	aeɾosoi̯
aeroterapi	ajɾotʰɾbʱi
af	ɑːf
af	ɔf
afacan	ɑfɑdʒɑm
afacan	ɑfɑdʒɑn
afak	ɒfok
afakî	ɑfɑki
afalladım	ɑfɑnɫadɯm
afallamak	ɑfɑnˈlamɑk
afallatma	ɑfɑɫlɑtma
afallatmak	ɑfɑɫˈlɑtmɑk
afallaşma	ɑfɑɫˈlɑʃmɑ
afallaşmak	ɑfɑnlaʃmɑk
afaroz	ɑfɑɾɔz
afarozlamak	ɑfɑroˈzlamɑk
afazi	ɑfzi
afedersin	ɑfeˈdeɾsin
afedersiniz	ɑfeˈdeɾsiniz
aferent	ɑfˈɾænt
aferim	afɛˈrim
aferim	aːfeɾim
aferin	afereˈn
aferin	ɑːfeɾiːm
aferist	afesist
afet	afet
afet	ɑːfˈt
afetler	ɑfɛtˈlɑɾ
affedebilecek	afːedeˈbileʒec
affedebilir	afːedeˈbɪɫɯɾ
affedebilme	aːfedebilmæ
affedecek	afːedeʒek
affedemem	afːeˈdemem
affeder	afːeˈdeɾ
affedersin	afːedæɾˈsin
affedersin!	ɑfɛdɑrˈsin
affedersin?	afeleɾsin
affedersiniz	afːed̪eɾsin̪iz
affedersiniz	ɑfedersiniz
affedilebilme	aːfedilɛbilme
affedilebilmek	ɑfˈɛdilebilemɛk
affedilemez	afːedilemeʒ
affediliş	ɑfˈediliʃ
affedilme	ɑfˈedilmɛ
affedilmek	afːediɫmek
affedilmez	afːediɫˈmez
affedin	afːeˈdin
affediyorum	afːediˈjɔɾum
affediş	ɑːfˈiliːʃ
affet	afːet
affet	ɑfˈɛz
affetme	aːfetme
affetmek	afːetmek
affetmem	afːetmem
affetmemek	ɑfɛtˈmɛmɛk
affetmeni	afːetmenɪ
affetmeye	afetmejɛ
affetmeyecek	afːetmejɛtʃɛk
affetmez	afːetˈmez
affetsin	afːetsin
affetti	afːetːi
affettim	afet̪im
affettin	afet̪tin
affettiriş	afˈfɯtːiɾiʃ
affettirme	ɑfɛttɯrme
affettirmek	ɑfɛtˈtiɾmɛk
affettuoso	afetˈtoːzˈz
affolunabilmek	ɑfbolunɑbilmæk
affolunma	ɑfˈqɔɯnmɯ
affınıza	afːɯnɯza
afgan	afˈgan
afgan	ɑfˈkɑn
afganistan	ɑfgɑnistɑn
afganistan	ɑfgɑnɪstɑn
afif	afiːft
afili	aufil
afis	afˈis
afitab	ɑːfiːtɑːb
afiyet	afijet
afiyet	ɑːfˈiːrt
afiyetle	afiˈjetle
afiyetle	ɑfijetˈle
afiyetle	ɑfijætlæ
afiş	afiʃ
afişe	afishe
afişe	ɒfiʃe
afişleme	afiʃlemæ
afişlemek	afeʃleˈmɛk
afoni	afoːn˧
aforizm	ɑfɑdezim
aforoz	afɔɾɔs
aforoz	afɔˈɾoz
aforozlamak	ɑfɯɾɑzɫɑmɑk
aforozlanmak	ɑfɔɾɯnzɫɑnmaq
aforozlu	ɒfɒɾɒzlu
afrika	ɑfɾikɑ
