ཀ	kɑ
འབྱུང	ptɕʰuŋ˩
འབྱོར་འབད་	byorbe
འབྲུག	ʈuk̚˩
འབྲུག་ཡུལ	ʈuk̚˩yː˩
འབྲེལ་བ་	drelwa
འབུལ་	bul
འཛུམ་སྐུལ་	dzumkul
འཛུལ་ལམ་	dzullam
འུ	u˩
འུགཔ	uːp˩
ཡ	jɑ˥
ཡ	jɑ˩
ཡང	jɑ˩
ཡི	ji˩
ཡིག་ཚང	jik̚˩tsʰɑ˥
ཡུ་ཁོད	ju˩kʰøː˥
ཡུལ	yː˩
ཡེ་ཤུའི་ལྷ	je˩ɕuj˥ɬɑ˥
ཡོད	jøː˩
ར	rɑ˥
རྐངམ	kɑːm˥
རྒྱབ་	gyab
རྒྱབོ	tɕɑw˩
རྒྱལ་	gyal
རྒྱལ	kɛː˩
རྒྱལ་ཁབ་	gyalkhab
རྒྱལཔོ	kɛːp˩
རྒྱལ་སྲས་	gyalsras
རྒྱུ་འབྲས་	gyudres
རྒིལ་འག་སྨེ་ཡེར	kil˩kɑ˩me˥jer˩
རྗེས་འཇུག་	jesjug
རྩེད་	tse
རྫས	tsɛː˩
རྫས་མདའ	tsɛː˩tɑ˩
རྫོང	tsoŋ˩
རྫོང་ཁ	tsoŋ˩kʰɑ˥
རི	ri˩
རི་	ri
རིན་	rin
ལ	lɑ˥
ལ	lɑ˩
ལྔ	ŋɑ˥
ལྕགས	tɕɑːk̚˥
ལྗིད་ཅན	tɕi˩tɕen˥
ལྦ	wɑ˩
ལྦ་གཤོང	wo˩ɕo˥
ལམ་	lam
ལམ	lɑm˩
ལས་སྒོ་	lesgo
ལྷ	ɬɑ˥
ལྷག	ɬɑːk̚˥
ལྷབ	ɬɑp˥
ལྷོ	ɬo˥
ལྷོད	høː˥
ལྷོད	ɬøː˥
ལྷོད་ལམ	høː˥lɑm˩
ལྷོད་ལམ	ɬøː˥lɑm˩
ལྷོ་མཚམས་ཁ	ɬo˥tsʰɑm˥kʰɑ˥
ལྷོ་མཚམས་པ	ɬo˥tsʰɑm˥pɑ˥
ལྷོ་མཚམས་མི་ཁ	ɬo˥tsʰɑm˥mi˥kʰɑ˥
ལཱ	lɑː˩
ལུས་རྩལ་	lustsal
ལོ་	lo
ཤ	ɕɑ˥
ཤི	ɕi˥
ཤིང	ɕiŋ˥
ཤིང་	shing
ཤེས	ɕeː˥
ས	sɑ˥
སྐད	keː˥
སྐྱབས་གསུང་	kyabsung
སྐྱུརཔོ	tɕuːp˩
སྐྱོ་	kyo
སྐར་ཚོགས	kɑː˥tsʰok̚˥
སྐུ་	ku
སྐུ་ཕྲེང་	kutreng
སྐོར་ཆ	koː˥tɕɑ˥
སྒྲོམ	ʈom˩
སྒོ་	go
སྡིག་ཅན	tik˩tɕeŋ˥
སྡུད	tu˩
སྡུད་སྐུལ་	dudskul
སྤྱ	ptɕɑ˥
སྤྱུང་ཀ	ptɕɑŋ˥kɑ˥
སྤྲུལ་སྐུ་	trulku
སྤྲོད	ʈøː˥
སྤུན་མཆེད་	punmched
སྦལཔ	pɛːp˩
སྦོམ	poːm˩
སྨན	men˥
སྨན	mɛːn˥
སྨེ	meː˥
སླབ	lɑp˥
སུ་	su
སེམས་	sem
སེམས་ཁམས་	semkham
སེམས་ལྡན་	semden
སེརཔོ	seːp˥
སོདཔ	søːp˥
སོདབ་ཁ	søːp˥kʰɑ˥
ཧ	hɑ˥
ཧབ	hɑp˥
ཧྲལ	rɛː˥
ཧྲིལཔོ	riːp˥
ཧྲིལ་པོ	ril˥pʰu˩
ཧོནམོ	høːm˥
ཨ	ɑ˥
ཨ་རཔ	ɑ˥rɑp˩
ཨ་རབ་ཁ	ɑ˥rɑp˩kʰɑ˥
ཨརཝ	ɑːw˥
ཨིཤ་ཏོ་ནི་ཡ	iɕ˥to˥ni˩jɑ˩
ཨུ་རུ་སུ	u˥ru˩su˥
ཨོ་ལེ	o˥le˩
ཨོ་ལེ་ཁ	o˥le˩kʰɑ˥
