ᆜ	jɯ
가기는	kaginɯn
가기도	kagido
가까운	kak͈aun
가까운	k͈ak͈au
가까워	kak͈awʌ
가까이	kak͈ai
가까이	ka̠k͈a̠i
가까이에	kak͈aiɛ
가까이하다	ka̠k͈a̠iɦa̠da̠
가깝다	ka̠k͈a̠p̚t͈a̠
가깝다고	kak͈ap̚t͈ago
가껍다	ka̠k͈ʌ̹p̚t͈a̠
가꾸다	ka̠k͈uda̠
가꾸로	ka̠k͈uɾo̞
가끔	kak͈ɯm
가끔	ka̠k͈ɯm
가끔씩	kak͈ɯms͈ik
가끔씩	ka̠k͈ɯmɕ͈ik̚
가나	ka̠na̠
가나다순	ka̠na̠da̠sʰun
가난	ka̠na̠n
가난만	kananman
가난하다	ka̠na̠nɦa̠da̠
가난한	kananhan
가네샤	ka̠ne̞ɕʰa̠
가누다	ka̠nuda̠
가는	kanɯ
가는	kanɯn
가는돌고기	ka̠nɯndo̞ɭgo̞gi
가는쥐	ka̠nɯɲdʑɥi
가늘다	ka̠nɯɭda̠
가늠	ka̠nɯm
가늠하다	ka̠nɯmɦa̠da̠
가능	ka̠ːnɯŋ
가능성	ka̠ːnɯŋs͈ʌ̹ŋ
가능성과	kanɯŋsʌŋkwa
가능성까지	k͈anɯŋsʌŋk͈adʑi
가능성도	kanɯŋsʌŋto
가능성도	k͈anɯŋsʌŋto
가능성에	k͈anɯŋsʌŋɛ
가능성은	k͈anɯŋsʌŋɯn
가능성을	kanɯŋsʌŋɯ
가능성을	kanɯŋsʌŋɯl
가능성을	k͈anɯŋsʌŋɯl
가능성이	kanɯŋsʌŋi
가능성이	k͈anɯŋsʌŋi
가능성중국	kanɯŋsʌŋtɕuŋku
가능인구	kanɯŋinku
가능하다	kanɯŋhada
가능하다	ka̠ːnɯŋɦa̠da̠
가능하다고	kanɯŋhadago
가능하다면	kanɯŋhadamjʌn
가능하지	kanɯŋhadʑi
가능하지	k͈anɯŋhadʑi
가능하지만	kanɯŋhadʑiman
가능한	kanɯŋha
가능한	kanɯŋhan
가능한	k͈anɯŋhan
가능해지는	kanɯŋhɛdʑinɯn
가닛	ka̠nit̚
가다	ka̠da̠
가다가	ka̠da̠ga̠
가다가는	kadaganɯ
가다붙다	ka̠da̠but̚t͈a̠
가닥	ka̠da̠k̚
가닥으로	kadagɯɾo
가닥을	kadagɯl
가달	ka̠da̠ɭ
가담하지	kadamhadʑi
가담한	kadamhan
가담했다가	kadamhɛt̚t͈aga
가당하다	ka̠ːda̠ŋɦa̠da̠
가던	kadʌn
가독성	ka̠do̞ks͈ʌ̹ŋ
가독성이	kadok̚s͈ʌŋi
가동	kadoŋ
가동	ka̠do̞ŋ
가동되는	kadoŋtwɛnɯ
가동되다	ka̠do̞ŋdwe̞da̠
가동을	kadoŋɯl
가동하다	ka̠do̞ŋɦa̠da̠
가두녀성	ka̠duɲʌ̹sʰʌ̹ŋ
가두다	ka̠duda̠
가두리	ka̠ːduɾi
가드	ka̠dɯ
가득	kadɯk
가득	ka̠dɯk̚
가득가득	ka̠dɯk̚k͈a̠dɯk̚
가득한데	kadɯkʰantɛ
가든	kadɯn
가디언	kadiʌn
가따까나	ka̠t͈a̠k͈a̠na̠
가라	ka̠ɾa̠
가라데	ka̠ɾa̠de̞
가라앉다	ka̠ɾa̠a̠nt͈a̠
가라앉은	kaɾaantɕɯn
가라오케	ka̠ɾa̠o̞kʰe̞
가라치	ka̠ɾa̠tɕʰi
가락	ka̠ɾa̠k̚
가락점	ka̠ɾa̠k̚tɕ͈ʌ̹m
가락지	ka̠ɾa̠k̚tɕ͈i
가락지빵	ka̠ɾa̠k̚tɕ͈ip͈a̠ŋ
가람	ka̠ɾa̠m
가랑비	ka̠ɾa̠ŋbi
가량	kaɾjaŋ
가련	ka̠ɾjʌ̹n
가련하다	ka̠ːɾjʌ̹nɦa̠da̠
가련히	ka̠ɾjʌ̹nʝi
가렵다	ka̠ɾjʌ̹p̚t͈a̠
가령	kaɾjʌŋ
가로	kaɾo
가로	ka̠ɾo̞
가로다	ka̠ɾo̞da̠
가로등	ka̠ɾo̞dɯŋ
가로막	ka̠ɾo̞ma̠k̚
가로막혀	kaɾomakʰjʌ
가로수	ka̠ɾo̞sʰu
가로쓰기	ka̠ɾo̞s͈ɯgi
가로지다	ka̠ɾo̞dʑida̠
가로지르는	kaɾodʑiɾɯnɯn
가로축	kaɾotɕʰuk
가뢰	ka̠ɾwe̞
가루	ka̠ɾu
가루를	kaɾulɯl
가르는	kaɾɯnɯn
가르다	ka̠ɾɯda̠
가르치다	ka̠ɾɯtɕʰida̠
가르침	ka̠ɾɯtɕʰim
가름	ka̠ɾɯm
가리다	ka̠ɾida̠
가리비	ka̠ɾibi
가리자는	kaɾidʑanɯn
가리지	kaɾidʑi
가림막	k͈aɾimma
가림막을	kaɾimmagɯl
가마	ka̠ːma̠
가마솥	ka̠ma̠sʰo̞t̚
가마치	ka̠ma̠tɕʰi
가맣다	ka̠ːma̠tʰa̠
가며	kamjʌ
가면	kamjʌ
가면을	kamjʌnɯl
가멸다	ka̠ːmjʌ̹ɭda̠
가명	ka̠ːmjʌ̹ŋ
가명으로	kamjʌŋɯɾo
가무이야기	ka̠muija̠gi
가문비나무	ka̠munbina̠mu
가문에서	kamunɛsʌ
가물가물	ka̠muɭga̠muɭ
가물다	ka̠muɭda̠
가물치	ka̠muʎtɕʰi
가뭄	kamum
가뭇가뭇	ka̠mut̚k͈a̠mut̚
가발과	kabalkwa
가방	ka̠ba̠ŋ
가방을	kabaŋɯl
가변	ka̠ːbjʌ̹n
가볍다	ka̠bjʌ̹p̚t͈a̠
가보로네	ka̠bo̞ɾo̞ne̞
가봉	ka̠bo̞ŋ
가불	ka̠buɭ
가불	ka̠ːbuɭ
가브리엘	ka̠bɯɾie̞ɭ
가쁘다	ka̠p͈ɯda̠
가사	ka̠sʰa̠
가사	ka̠ːsʰa̠
가사도우미가	kasadoumiga
가산	ka̠sʰa̠n
가산되다	ka̠sʰa̠ndwe̞da̠
가산점	kasantɕʌ
가산하다	ka̠sʰa̠nɦa̠da̠
가상	ka̠sʰa̠ŋ
가상	ka̠ːsʰa̠ŋ
가상의	kasaŋɰi
가상적	ka̠ːsʰa̠ŋdʑʌ̹k̚
가서	kasʌ
가서명까지	kasʌmjʌŋk͈adʑi
가설	ka̠sʰʌ̹ɭ
가설	ka̠ːsʰʌ̹ɭ
가설되다	ka̠sʰʌ̹ɭdwe̞da̠
가설되다	ka̠ːsʰʌ̹ɭdwe̞da̠
가설법	ka̠ːsʰʌ̹ɭp͈ʌ̹p̚
가설하다	ka̠sʰʌ̹ɾɦa̠da̠
가설하다	ka̠ːsʰʌ̹ɾɦa̠da̠
가성비	ka̠sʰʌ̹ŋbi
가세	ka̠sʰe̞
가세하다	ka̠sʰe̞ɦa̠da̠
가셨을	kasjʌs͈ɯl
가소제	ka̠ːsʰo̞dʑe̞
가수	kasu
가수	ka̠sʰu
가수의	kasuɰi
가숭어	ka̠ːsʰuŋʌ̹
가스	kasɯ
가스	k͈a̠s͈ɯ
가스나이	ka̠sʰɯna̠i
가스레인지	ka̠sʰɯɾe̞iɲdʑi
가스아바이	ka̠sʰɯa̠ba̠i
가스용기	ka̠sʰɯjoŋgi
가스파초	ka̠sʰɯpʰa̠tɕʰo̞
가슴	kasɯm
가슴	ka̠sʰɯm
가슴골	ka̠sʰɯmk͈o̞ɭ
가슴띠	ka̠sʰɯmt͈i
가슴뼈	kasɯmp͈jʌ
가슴뼈	ka̠sʰɯmp͈jʌ̹
가슴속	ka̠sʰɯmsʰo̞k̚
가슴을	kasɯmɯl
가슴이	kasɯmi
가슴주머니	ka̠sʰɯmdʑumʌ̹ni
가습기	kasɯp̚k͈i
가습기	ka̠sʰɯp̚k͈i
가습기	k͈asɯp̚k͈i
가시	ka̠ɕʰi
가시고기	ka̠ɕʰigo̞gi
가시광선	ka̠ɕʰigwa̠ŋsʰʌ̹n
가시나	ka̠ɕʰina̠
가시나무	ka̠ɕʰina̠mu
가시납지리	ka̠ɕʰina̠p̚tɕ͈iɾi
가시다	ka̠ɕʰida̠
가시두더지	ka̠ɕʰidudʌ̹dʑi
가시버시	ka̠ɕʰibʌ̹ɕʰi
가시비름	ka̠ɕʰibiɾɯm
가시상추	ka̠ɕʰisʰa̠ŋtɕʰu
가시아버지	ka̠ɕʰia̠bʌ̹dʑi
가시지	kasidʑi
가시집	ka̠ɕʰidʑip̚
가시철사	ka̠ɕʰitɕʰʌ̹ɭsʰa̠
가시칠엽수	ka̠ɕʰitɕʰiɾjʌ̹ps͈u
가시화	ka̠ɕʰiβwa̠
가시화될	kasihwadwɛl
가식	ka̠ːɕʰik̚
가신	kasin
가신들을	kasintɯɾɯl
가실	kasil
가실	ka̠ɕʰiɭ
가쓰오부시	ka̠s͈ɯo̞buɕʰi
가야	kaja
가야	ka̠ja̠
가야금	ka̠ja̠gɯm
가야지역을	kajadʑijʌgɯ
가얏고	ka̠ja̠t̚k͈o̞
가언적	ka̠ʌ̹ɲdʑʌ̹k̚
가업	ka̠ʌ̹p̚
가없다	ka̠ːʌ̹p̚t͈a̠
가없이	ka̠ːʌ̹pɕ͈i
가연성	kajʌnsʌŋ
가연성	ka̠ːjʌ̹ns͈ʌ̹ŋ
가열기	ka̠jʌ̹ɭgi
가엾다	ka̠ːjʌ̹p̚t͈a̠
가오	ka̠o̞
가오리	ka̠o̞ɾi
가외의	kawɛɰi
가요	ka̠jo
가운	ka̠un
가운데	kauntɛ
가운데	ka̠unde̞
가운데	k͈auntɛ
가운데는	kauntɛnɯ
가운데는	kauntɛnɯn
가운데서	kauntɛsʌ
가운데소리	ka̠unde̞sʰo̞ɾi
가웃	ka̠ut̚
가위	ka̠ɥi
가위	ka̠ːɥi
가위개미는	kawigɛminɯn
가위바위보	ka̠ɥiba̠ɥibo̞
가위주먹	ka̠ɥidʑumʌ̹k̚
가을	kaɯl
가을	ka̠ɯɭ
가을밤	ka̠ɯɭp͈a̠m
가의	kaɰi
가이	ka̠i
가이드	ka̠idɯ
가이드라인이	kaidɯɾaini
가이아나	ka̠ia̠na̠
가입	kaip
가입설계서에는	kaip̚s͈ʌlkjɛsʌɛnɯn
가입자가	kaip̚tɕ͈aga
가입자수가	kaip̚tɕ͈asuga
가입하다	ka̠ipʰa̠da̠
가입한	kaipʰan
가입해	kaipʰɛ
가입했다면	kaipʰɛt̚t͈amjʌn
가있으려고	kais͈ɯɾjʌgo
가자	kadʑa
가자	ka̠dʑa̠
가자고	kadʑago
가자며	kadʑamjʌ
가자미	ka̠dʑa̠mi
가장	kadʑaŋ
가장	ka̠dʑa̠ŋ
가장	ka̠ːdʑa̠ŋ
가장을	kadʑaŋɯ
가전업체	k͈adʑʌnʌp̚tɕʰɛ
가전제품	k͈adʑʌntɕɛpʰum
가전제품이	kadʑʌntɕɛpʰumi
가정	kadʑʌŋ
가정	ka̠dʑʌ̹ŋ
가정들은	kadʑʌŋtɯɾɯn
가정부	ka̠dʑʌ̹ŋbu
가정에서	kadʑʌŋɛsʌ
가정용	kadʑʌŋjoŋ
가정을	kadʑʌŋɯl
가정의	kadʑʌŋɰi
가정이	kadʑʌŋi
가정주부라고	kadʑʌŋtɕubuɾago
가정집에서	kadʑʌŋtɕibɛsʌ
가정하다	ka̠ːdʑʌ̹ŋɦa̠da̠
가정환경이	kadʑʌŋhwankjʌŋi
가제	ka̠dʑe̞
가제	ka̠ːdʑe̞
가제따	ka̠dʑe̞t͈a̠
가젤	ka̠dʑe̞ɭ
가져가다	ka̠dʑʌ̹ga̠da̠
가져다주다	ka̠dʑʌ̹da̠dʑuda̠
가져오기도	kadʑʌogido
가져오다	ka̠dʑʌ̹o̞da̠
가져온	kadʑʌon
가져온다고	kadʑʌontago
가져와라고	kadʑʌwaɾago
가졌던	kadʑʌt̚t͈ʌn
가족	kadʑok
가족	ka̠dʑo̞k̚
가족과	kadʑok̚k͈wa
가족들	kadʑok̚t͈ɯl
가족들과	kadʑok̚t͈ɯlkwa
가족들은	kadʑok̚t͈ɯɾɯ
가족들이	kadʑok̚t͈ɯɾi
가족사	kadʑok̚s͈a
가족생활	kadʑok̚s͈ɛŋhwal
가족은	kadʑogɯ
가족은	kadʑogɯn
가족의	kadʑogɰi
가족이	kadʑogi
가주	ka̠dʑu
가죽	ka̠dʑuk̚
가죽끈	ka̠dʑuk̚k͈ɯn
가중치	kadʑuŋtɕʰi
가지	kadʑi
가지	ka̠dʑi
가지	ka̠ːdʑi
가지	k͈adʑi
가지가지	ka̠dʑiga̠dʑi
가지고	kadʑigo
가지고	ka̠dʑigo̞
가지다	ka̠dʑida̠
가지도	kadʑido
가지로	kadʑiɾo
가지를	kadʑiɾɯ
가지뿔	ka̠dʑip͈uɭ
가진	kadʑi
가진	kadʑin
가질	kadʑi
가질	kadʑil
가짜	ka̠ːtɕ͈a̠
가차	ka̠tɕʰa̠
가찹다	ka̠tɕʰa̠p̚t͈a̠
가창	ka̠tɕʰa̠ŋ
가창오리	ka̠tɕʰa̠ŋo̞ɾi
가처분	katɕʰʌbun
가철	ka̠ːtɕʰʌ̹ɭ
가체	ka̠tɕʰe̞
가축	katɕʰuk
가축	ka̠tɕʰuk̚
가출한	katɕʰulhan
가치	katɕʰi
가치	ka̠tɕʰi
가치가	katɕʰiga
가치가	k͈atɕʰiga
가치관	ka̠tɕʰigwa̠n
가치관에서	katɕʰigwanɛsʌ
가치도	katɕʰido
가치를	katɕʰiɾɯl
가치에	katɕʰiɛ
가타가나	ka̠tʰa̠ga̠na̠
가타나	ka̠tʰa̠na̠
가타카나	ka̠tʰa̠kʰa̠na̠
가티노	ka̠tʰino̞
가파르다	ka̠pʰa̠ɾɯda̠
가필드	ka̠pʰiɭdɯ
가하다	ka̠ɦa̠da̠
가하다	ka̠ːɦa̠da̠
가해자를	kahɛdʑaɾɯ
가해차량이	kahɛtɕʰaɾjaŋi
가했는지는	kahɛnnɯntɕinɯn
가혹	ka̠ːβo̞k̚
가혹하게	kahokʰagɛ
가혹한	kahokʰan
가히	ka̠ːʝi
각	ka
각	kak
각	ka̠k̚
각각	kak̚k͈a
각각	kak̚k͈ak
각기	kak̚k͈i
각도를	kak̚t͈oɾɯl
각동마을	kak̚t͈oŋmaɯl
각선미	ka̠ks͈ʌ̹nmi
각설	ka̠ks͈ʌ̹ɭ
각설탕	ka̠ks͈ʌ̹ɭtʰa̠ŋ
각시	ka̠kɕ͈i
각시메뚜기	ka̠kɕ͈ime̞t͈ugi
각시붕어	ka̠kɕ͈ibuŋʌ̹
각오를	k͈agoɾɯl
각자	kak̚tɕ͈a
각자에게는	kak̚tɕ͈aɛgɛnɯn
각주구검	ka̠k̚tɕ͈ugugʌ̹m
각하	ka̠kʰa̠
각하라고	kakʰaɾago
각하처분을	kakʰatɕʰʌbunɯl
간	ka
간	kan
간	ka̠n
간	k͈a
간간이	ka̠nga̠ni
간과하거나	kankwahagʌna
간과할	kankwahal
간나	ka̠nna̠
간난	ka̠nna̠n
간다진보	kantadʑinpo
간단하다	ka̠nt͈a̠nɦa̠da̠
간단하다	ka̠ːnda̠nɦa̠da̠
간단히	ka̠nda̠nʝi
간담회	kantamhwɛ
간담회를	kantamhwɛɾɯ
간데없이	ka̠nde̞ʌ̹pɕ͈i
간드리	ka̠ndɯɾi
간만의	kanmanɰi
간모	ka̠nmo̞
간물	ka̠nmuɭ
간밤	ka̠nba̠m
간병	ka̠nbjʌ̹ŋ
간병인	ka̠nbjʌ̹ŋin
간병하다	ka̠nbjʌ̹ŋɦa̠da̠
간부	ka̠nbu
간부의	kanpuɰi
간부회	ka̠nbuβwe̞
간사	ka̠nsʰa̠
간사는	kansanɯn
간사이	kansai
간사하다	ka̠nsʰa̠ɦa̠da̠
간사히	ka̠nsʰa̠ʝi
간섭	ka̠nsʰʌ̹p̚
간섭하다	ka̠nsʰʌ̹pʰa̠da̠
간소	ka̠nsʰo̞
간소하다	ka̠nsʰo̞ɦa̠da̠
간송본보다	kansoŋponpoda
간식	ka̠ːnɕʰik̚
간식거리인	kansik̚k͈ʌɾiin
간신	ka̠nɕʰin
간신히	ka̠nɕʰinʝi
간유	ka̠ːɲu
간의	kanɰi
간의	k͈anɰi
간이	kani
간장	ka̠ɲdʑa̠ŋ
간절	ka̠ɲdʑʌ̹ɭ
간절히	kantɕʌlhi
간접화법	ka̠ɲdʑʌ̹pʰwa̠bʌ̹p̚
간조	ka̠ɲdʑo̞
간주	ka̠ːɲdʑu
간증	ka̠ɲdʑɯŋ
간지	kantɕi
간지럼	ka̠ɲdʑiɾʌ̹m
간질거리다	ka̠ɲdʑiɭgʌ̹ɾida̠
간첩	kantɕʰʌp
간첩	ka̠ːɲtɕʰʌ̹p̚
간청	ka̠ːɲtɕʰʌ̹ŋ
간청하다	ka̠ːɲtɕʰʌ̹ŋɦa̠da̠
간체자	ka̠ɲtɕʰe̞dʑa̠
간추리다	ka̠ɲtɕʰuɾida̠
간통	kantʰoŋ
간판	kanpʰan
간판	ka̠npʰa̠n
간편하다	ka̠npʰjʌ̹nɦa̠da̠
간헐천	ka̠ːnɦʌ̹ʎtɕʰʌ̹n
간호	ka̠nβo̞
간호부에서	kanhobuɛsʌ
간호사	ka̠nβo̞sʰa̠
간호사가	kanhosaga
간호사와	kanhosawa
간호원	ka̠nβo̞wʌ̹n
간호하다	ka̠nβo̞ɦa̠da̠
갈	ka̠ɭ
갈겨니	ka̠ɭgjʌ̹ni
갈고	ka̠ɭgo̞
갈고랑이	ka̠ɭgo̞ɾa̠ŋi
갈고리	ka̠ɭgo̞ɾi
갈기다	ka̠ɭgida̠
갈까마귀	ka̠ɭk͈a̠ma̠gɥi
갈나무	ka̠ɭɭa̠mu
갈다	ka̠ɭda̠
갈다	ka̠ːɭda̠
갈등	ka̠ɭt͈ɯŋ
갈라지다	ka̠ɭɭa̠dʑida̠
갈리는	kallinɯn
갈망	ka̠ɭma̠ŋ
갈망하다	ka̠ɭma̠ŋɦa̠da̠
갈문망둑	ka̠ɭmunma̠ŋduk̚
갈밭	ka̠ɭba̠t̚
갈밭쥐	ka̠ɭba̠t̚tɕ͈ɥi
갈보	ka̠ɭbo̞
갈보집	ka̠ɭbo̞dʑip̚
갈부수다	ka̠ːɭbusʰuda̠
갈비	ka̠ɭbi
갈비뼈	ka̠ɭbip͈jʌ̹
갈비탕	ka̠ɭbitʰa̠ŋ
갈수록	ka̠ɭs͈uɾo̞k̚
갈쓰뚝	ka̠ɭs͈ɯt͈uk̚
갈아들다	ka̠ɾa̠dɯɭda̠
갈아신다	ka̠ɾa̠ɕʰinda̠
갈아치운	kaɾatɕʰiun
갈아타다	ka̠ɾa̠tʰa̠da̠
갈음이름씨	ka̠ɾɯmiɾɯmɕ͈i
갈음하다	ka̠ɾɯmɦa̠da̠
갈지는	kaltɕinɯn
갈퀴다	ka̠ɭkʰɥida̠
갈토	ka̠ɭtʰo̞
갉	ka̠k̚
갉다	ka̠k̚t͈a̠
감	ka̠m
감	ka̠ːm
감각	ka̠ːmga̠k̚
감각적	ka̠ːmga̠k̚tɕ͈ʌ̹k̚
감경	kamkjʌŋ
감고	kamk͈o
감금	kamkɯm
감금	ka̠mgɯm
감기기	kamkigi
감기다	ka̠mgida̠
감나무	ka̠ːmna̠mu
감내하며	kamnɛhamjʌ
감당	ka̠mda̠ŋ
감당되다	ka̠mda̠ŋdwe̞da̠
감당하다	ka̠mda̠ŋɦa̠da̠
감당할	kamtaŋhal
감독	ka̠mdo̞k̚
감독관	ka̠mdo̞k̚k͈wa̠n
감독님께	kamtoŋnimk͈ɛ
감독님의	kamtoŋnimɰi
감독은	kamtogɯn
감독이	kamtogi
감돌고기	ka̠mdo̞ɭgo̞gi
감동	ka̠ːmdo̞ŋ
감동사	ka̠ːmdo̞ŋsʰa̠
감동이	kamtoŋi
감동적	ka̠ːmdo̞ŋdʑʌ̹k̚
감동하고	kamtoŋhago
감로	ka̠mno̞
감로수	ka̠mno̞sʰu
감로주	ka̠mno̞dʑu
감리교	ka̠mnigjo
감마	ka̠mma̠
감명	ka̠mmjʌ̹ŋ
감명되다	ka̠ːmmjʌ̹ŋdwe̞da̠
감명을	kammjʌŋɯl
감명하다	ka̠ːmmjʌ̹ŋɦa̠da̠
감미	ka̠mmi
감미롭다	ka̠mmiɾo̞p̚t͈a̠
감미료	ka̠mmiɾjo
감방	ka̠mba̠ŋ
감법	ka̠mbʌ̹p̚
감봉	kampoŋ
감비아	ka̠mbia̠
감사	kamsa
감사	ka̠msʰa̠
감사	ka̠ːmsʰa̠
감사까지	kamsak͈adʑi
감사를	kamsaɾɯl
감사역	ka̠msʰa̠jʌ̹k̚
감사원은	kamsawʌnɯn
감사원의	kamsawʌnɰi
감사하고	kamsahago
감사하는	kamsahanɯn
감사하다	ka̠msʰa̠ɦa̠da̠
감사합니다	ka̠ːmsʰa̠ɦa̠mnida̠
감상	ka̠msʰa̠ŋ
감상하는	kamsaŋhanɯn
감성돔	ka̠msʰʌ̹ŋdo̞m
감성적으로	kamsʌŋtɕʌgɯɾo
감소가	kamsoga
감소되기	kamsodwɛgi
감소하고	kamsohago
감소한	kamsohan
감소해	kamsohɛ
감송	ka̠msʰo̞ŋ
감송	ka̠ːmsʰo̞ŋ
감쇠기	ka̠ːmsʰwe̞gi
감수	ka̠msʰu
감수	ka̠ːmsʰu
감수하고	kamsuhago
감수하다	ka̠msʰuɦa̠da̠
감수해야	kamsuhɛja
감숙	ka̠msʰuk̚
감시	ka̠mɕʰi
감시로	kamsiɾo
감시를	kamsiɾɯl
감시하다	ka̠mɕʰiɦa̠da̠
감싸고	kams͈ago
감싸다	ka̠ːms͈a̠da̠
감안	ka̠ma̠n
감안하다	ka̠ma̠nɦa̠da̠
감안하면	kamanhamjʌ
감안하면	kamanhamjʌn
감안하지	kamanhadʑi
감안할	kamanhal
감안해	kamanhɛ
감액	kamɛk
감염	kamjʌm
감염	ka̠ːmjʌ̹m
감염되어	kamjʌmtwɛʌ
감염된	kamjʌmtwɛn
감염될	kamjʌmtwɛl
감염증	ka̠ːmjʌ̹mtɕ͈ɯŋ
감옥	ka̠mo̞k̚
감원바람이	kamwʌnpaɾami
감응	ka̠mɯŋ
감이	kami
감자	ka̠mdʑa̠
감자	ka̠mtɕ͈a̠
감자탕	ka̠mdʑa̠tʰa̠ŋ
감자튀김	ka̠mdʑa̠tʰɥigim
감자편튀기	ka̠mdʑa̠pʰjʌ̹ntʰɥigi
감정	ka̠mdʑʌ̹ŋ
감정	ka̠ːmdʑʌ̹ŋ
감정가	ka̠mdʑʌ̹ŋga̠
감정가	ka̠mdʑʌ̹ŋk͈a̠
감정노동자	kamtɕʌŋnodoŋtɕa
감정아이	ka̠mdʑʌ̹ŋa̠i
감정은	kamtɕʌŋɯn
감정을	kamtɕʌŋɯl
감정이	kamtɕʌŋi
감정적으로	kamtɕʌŋtɕʌgɯɾo
감정적인	kamtɕʌŋtɕʌgin
감지	ka̠ːmdʑi
감지하다	ka̠ːmdʑiɦa̠da̠
감지했다고	kamtɕihɛt̚t͈ago
감청이	kamtɕʰʌŋi
감초	ka̠mtɕʰo̞
감추기	kamtɕʰugi
감추다	ka̠mtɕʰuda̠
감추지	kamtɕʰudʑi
감치	ka̠mtɕʰi
감치다	ka̠ːmtɕʰida̠
감칠맛	ka̠ːmtɕʰiɭma̠t̚
감탄	ka̠ːmtʰa̠n
감탄사	ka̠ːmtʰa̠nsʰa̠
감탄을	kamtʰanɯl
감탄하다	ka̠ːmtʰa̠nɦa̠da̠
감탕나무	ka̠mtʰa̠ŋna̠mu
감퇴와	kamtʰwɛwa
감투	ka̠mtʰu
감파르다	ka̠ːmpʰa̠ɾɯda̠
갑	ka̠p̚
갑각	ka̠p̚k͈a̠k̚
갑분싸	ka̠p̚p͈uns͈a̠
갑산아바이	ka̠ps͈a̠na̠ba̠i
갑상선종	ka̠ps͈a̠ŋsʰʌ̹ɲdʑo̞ŋ
갑술	ka̠ps͈uɭ
갑시다라는	kap̚s͈idaɾanɯn
갑신	ka̠pɕ͈in
갑오	ka̠bo̞
갑옷	ka̠bo̞t̚
갑인	ka̠bin
갑자기	kap̚tɕ͈agi
갑자기	ka̠p̚tɕ͈a̠gi
갑작스럽게	kap̚tɕ͈ak̚s͈ɯɾʌp̚k͈ɛ
갑작스럽다	ka̠p̚tɕ͈a̠ks͈ɯɾʌ̹p̚t͈a̠
갑진	ka̠p̚tɕ͈in
갑질	ka̠p̚tɕ͈iɭ
갑충	ka̠p̚tɕʰuŋ
갑판	ka̠p̚pʰa̠n
갑판에	kap̚pʰanɛ
값	ka̠p̚
값비싼	kap̚p͈is͈an
값에	kap̚s͈ɛ
값을	kap̚s͈ɯl
갓	kat
갓	ka̠t̚
갓	ka̠ːt̚
갓김치	ka̠t̚k͈imtɕʰi
강	kaŋ
강	ka̠ŋ
강가	ka̠ŋk͈a̠
강가에	kaŋk͈aɛ
강간	ka̠ːŋga̠n
강간하다	ka̠ːŋga̠nɦa̠da̠
강경	kaŋkjʌŋ
강경	ka̠ŋgjʌ̹ŋ
강경론도	kaŋkjʌŋnonto
강경하다	ka̠ŋgjʌ̹ŋɦa̠da̠
강경한	kaŋkjʌŋhan
강계	ka̠ŋgje̞
강구다	ka̠ŋguda̠
강국	ka̠ŋguk̚
강권	ka̠ŋk͈wʌ̹n
강권	ka̠ːŋgwʌ̹n
강권하다	ka̠ːŋgwʌ̹nɦa̠da̠
강남	kaŋna
강남	kaŋnam
강남	ka̠ŋna̠m
강남구	kaŋnamku
강남구나	kaŋnamkuna
강남구는	kaŋnamkunɯn
강남구를	kaŋnamkuɾɯl
강남권	kaŋnamkwʌn
