-อืม--	ʔɯ̌ːm
drsutep	dɾsutɛp
du	du˨
due	˥dɯə
dufresne	dʰufreːn
duk	˥dʊk
duke	˥duː˨kɛː˧
dum	d̪um˥
dumb	ɗùm
dump	ɗɯ̆m
dun	dʊn˨
dungeons	duŋ˥geːn˧
dunne	dʉ̀ːn
duquesne	duːkʰeːn
duran	d̪uː˥raː˧n̪ə˥
dust	duːt
dwalin	ɗʷalin
dylan	ɗɯlɑn
dymeeina	ɗɯ̀mɪ́ːn
dâ	daː˥
dé	˥de
dะฐm	d̀ʔm
dะต	d̀t
dะตะฐd	d̀t̀t̀d̀
dะตั	d̀tɑ̀
dะพ	dʌ̀p
dะพn	d̀ʔan
dะพwn	d̀ʔpʰwɔ̂n
dะพั	dʌpʰa˧
dั	d̀a
e	e˥
e	e˩
e-mail	eː˧maɪl˨
earl	ʔɛː
ears	ʔɛː˧
earthzacha	ʔɛːtsatɕʰaː
easton	eastɔːn
eat	˥ɛːt
eatin	˥ʔaː˧˥tʰiːn˥
eboshi	ɛ˧boʔ˥si˧
eden	ɛ˧dɛn˥
ee	i˥
eh	e˥
ehome	˥e˧ho˩me˧
ei	ei˧
eikon	ʔɛːkɔːn
el	ɛ˧
elaine	ʔlɛː˥nɛː˧
elder	ʔɛ̀ː
elin	ʔɛ˥lɪn˧
elton	ɛl˨tɔn˧
emperor	ʔɛm˥pɛː˧nɔː˥
encom	ɛn˧tɕʰɔm˥
ending	ʔɛːŋ˥
endodo4ever	e˩n˨d˧o˥d˧o˥
eng	˥ŋ
english	ɛŋ˥lɪʃ
enjoy	ʔɛn˥dʑɔː˩
epa	ɛ˧pa˥
episode01	ʔɛː˥pɪː˩sɔː˧tɛː˥
erase	ɛ˧
ernesto	˥ɛːn˨˩tʰoː
esaosy	ʔɛ˥sɔː˧sɨ˥
esiotrot	ɛ˥sɪə˧tɔː˥tɔː˥
eta	ɛ˧ta˥
etc	ɛtʰ
eum	eʊm˧
eun	eʔn
eva	ɛʋa˥
event	ɛːw
evered	ɛʋeː˥
everything	ʔɛː˥ŋɑː˧
evidence	ɛʋi˥tɛn˧
ew	ɤʔ
exact	˥ɛk˧
exclaiming	ʔæː˥kʰlɛː˧mɪŋ˥
excoatchain	˥ʔɕoː˧tʃʰaj˥
excuse	˥˧ʃuː˨˩
express	ɛk˧prɛk˧
eye	ai˥
eyes	ʔɛː˧
eyesonly	ajʔsɔːn
f	fɑː˥
f	ɸ
f-16	ɸɛː˥˩lɛː˧˥
f-in-wonderland	ɸɪnwɔ̄ːn˥lɑːnd
f4	f˥
fa	fa˥
faa	faa˧
fabienne	fa˨bi˩en˧
factory	faːk˨tɔː˥riː˧
fad	fa˥da˥
fade	faː˥
faiikajoom	fai˥ika˩jo˧um˧
fail	fɑːl
failed	faɪ˧˦lɛː˥
fake	faːk˥
fall	fɑ̀l
falls	fɑːl
fame	faːm
familiar	familiar
families	famiːlieː
family	faːm˧liː˥
fan	fɑn˥
fanny	fa˨˧ni˨
fansub	faːnsuːp
fansubbing	faːn˥suː˨baːn˧
fansubs	fʌn˨suː˥b
far	faː˥
farm	faːm
fashion	faʔʃɛ̄n
faster	faː˧tʰeː˩
fat	fat:fɑːt˥
fate	faːt˥
fatioz	fatʰɨ̄w
fe222	fe˥˧˧
federal	fe˥de˩ral
fee	fiː
feel	feːl˥
feeling	feɛŋ˧
feels	feːls
feet	feːt˥
fellas	fɛl˧la˥
fellow	fɛ̀lɔ́ː
fema	fɛ˥mɛ˧
feng	fɛ̀ŋ
fergie	fɛː˧riː˥
ferry	feː²
festival	feʔsɪt
few	fɯ̆
fi	fi˧
fiction	fɪkʰʰɪʔ˥
field	field
figure	figʉː
figured	figʉːd
fiienun	fiɛnun˧
file	˥liː
fill	fil
film	film˥
filmza	film˧za˥
final	finɑːl
find	fin
finding	faːn˥dɪŋ˩
fine	fīn
finest	finet
finger	fɪŋ˧
finish	finɪtʃ
finished	finɪtʃit
finn	fɪn˧
finnerty	fɪn˧nɛː˥tɪ˧
fired	faːt
fisa	fisa
fit	ɗít
fitz-hume	ɗítʰum
fix	˥ɪk
flag	flak
flame	flaːm
flat	fl̥aːt
flies	flɛː
flight	˥lɑːj˧
florist	flo˥ri˧st
flowers	fɑu˥lɛu˩
fm	ɸɯm
fo	fo˧
focus	fɔkʰʊs˥
fogue	fou˧
folks	foːk
follow	foː˥loː˩
following	foːliːŋ
fonda	fon˧da˥
font	fɔ̀nt
fool	fʰɔ̀ːl
football	foːt˥baːl˧
for	fɔː˥
forced	foːt˥
forces	foːk˥seː˧
fore	fɔ̀ː
form	fɔːm
forsythia	foː˨sɨ˧tʰi˥aː˥
fortune	foː˥tʰuː˧nɛː˥
foul	fou˧
fox	fɔ̀k
foxtrot	fɔːkʰrɔːt
fps	ɸɛːpʰs
fragile	fràgiːl
franjojo	fɾaŋ˥dʑo˧
frank	faːn˥kɛː˧
frawley	fɾaʊ̀lɛ̄
freak	fɹɛːk
freaky	frɛːkʰiː
freddie	fɾɛː˥dɛː˧
freedom	frɛː˥wɔː˧m
french	frɛnʈʰ
friday	pràj
frilldora	frɯːl˥dɔː˧raː˥
fringe	frɪŋ
from	frɔːm
front	frɔːn
frost	fɔːt˧
frozen	frɔːn
frะพbั	frɑːpʰa
frะพm	frápʰm
fu	fu˥
fuckers	ɸɯk̚˥sɤk̚˥
fucking	ɸʊkʰiŋ˥
fucks	ɸɯkʰ
fuji	fu˥ji˩
fujiki	fu˨ʔi˧ki˥
fuku	fu˨ku˩
fulcrum	fʊl˧kʰʊm˥
full	˥u˧l
funk	fʊŋ˧
funky	ɸʊŋ˥kɪ˧
furetakatta	fu˥ra˧ta˥ka˥ta˥
furransu	ɸuː˨rɑːn˧suː
futatsu	fu˧ta˥tsu˩
fะฐั	fa˥da˧
fะต	fat˥
fะตะตl	fa˥ta˨ta˥
fะพr	faʔpr
fะพั	fɑʔpʰaʔ
fั	f̄a
g-boy	gɔːj˥
g-force	goʊfɔːrs
ga	˥ga
gah	ga˥
gain	ʔai˥
gak	gàk
gakuen	gaʔɯːn
gal	gàl
galgo	gal˥go˩
game	gàːm
gang	kaŋ˥
garbage	gàːrpáːdʑ
garden	gàːdɛːn
garota	ga˧ro˥ta˧
gary	ga˥ri˩
gasa	gāsā
gasp	gàp
gasping	gàːp
gate	gàːt
gathering	gàːtʰɛ̀ːŋ
gcpd	gɔːp̚
ge	˥ɛ
gee	˥ee
geez	geː˧
geh	˥ɛː
gei	geː˧
genie	˥ge˧˥n˥˧i˥
genius	˥ge˨˩ni˧˥u˥
geo	gɛː˧
george	˥gɛː˧˥ɹɛːt
get	gɛt˥
gezza	ge˥tɕa˥
gg	gg
