1адо	ado
маьждиг	mæʒdʲik
меза	meza
мела	mela
мерза	merz
мерза	meɾza
мерза	meɾzã
меттиг	metːig
меца	metsa
можа	moʒ
можа	moːʒa
моз	moz
моз	mˈɑz
морза	moɾza
морзах	mɔrzah
морзах	mɔrzax
москал	moskal
мотт	motː
мотт	mot̪
мох	moχ
моша	mɔːʃa
мукх	muqχ
муьста	mystʰə
наб	naːb
налха	nalχa
нана	naːna
нах	naːχ
наьрс	nærs
некъ	nɛqʔ
нехча	netʃxa
неца	nɛtsa
неӏ	neʕ
нитт	nitt
ниха	niχa
ност	nˈost
нохчий	no̞xtʃʔiː
нускал	nʊskəɫ
нуц	nuts
ов	ˈoʊ
олхазар	ɔ̯alχazar
орамат	ormat
оршот	poɾʃoˈt
оьпа	yːø̯pa
п1елг	elg
пардо	pˌɐrdˈo
партал	partɔl
посси	rɐsi
пурба	urba
пурстоп	pursto
пурх	pʊ̞rx
пусар	pʊsɑr
пусар	pˈusar
пхиъ	pχiʔ
пхьагал	pħaːgal
пхьар	pħaɾ
пхьармат	pħaɾmat
пхьид	pħid
пӏелг	pʔɛlg
пӏенда	pʔi̯enda
рагі	ɾaɣ
са	sœ̃
са	sə
садаіа	sadˈa
садеттар	sˈadətːar
сазз	saz
сай	saj
салор	sɛɫor
сан	sˈa
сатаса	satas
сатасар	satˈasər
сатасар	satˈasˈar
саьнгал	sæŋgəl
саьрмак	særmæk
серло	sɛɾɨlɔ
серса	sˈers
сеса	seːsa
сийдар	siːdər
синтар	sintɛr
синтем	sintɛmɑn
сира	ʃiɾa
сискал	sʲizkəl
со	su̯o
со	sɔ
собар	soːbər
стегрийн	sˈtegɾˈin
стим	stɛm
стов	stou̯
стол	stˈoɭ
сту	stu
сту	ɕtu
сурт	sˈort
суьпа	sypə
таiам	tam
тадан	tada
тапча	təpˈtʃ
таізар	tɑːzər
тевна	tɛu̯nɔ
тептар	tɛptɛr
терза	tˈɛrz
тийжа	tˈiːʒ
ткъа	tʔqʔa
тоам	tɔm
толамхо	tɔɫɑmho
тур	tɔr
туьха	tyχa
тхо	tχʷo
тхов	tɾow
тӏеда	tʔeːda
тӏом	tʔu̯om
уж	uʒ
уьш	yʃ
хан	χɑn
хен	χɛn
херх	χɛr
хи	xe
хи	χi
хола	χuo̯la
хьакха	ħaqa
хьаьрса	ħærsə
хьо	ħʷo
хьоза	ħoːza
хьун	ħun
хӏоъ	hoʔ
ц1а	tsˈa
ца	tsa
це	tsɛ
цициг	tsitsig
цхьаъ	tsħaʔ
цхьогал	tsħuo̯gal
цӏаста	tsʔasta
цӏе	tsʔe
цӏе	tsʔje
цӏен	tsiːe̯n
цӏецайоккхург	tsʔetsajoqqurg
цӏий	tsʔiː
цӏога	tsɔga
цӏонга	tsʔonga
цӏоькъалом	tsʔyøqʔəlom
чiоб	tʃɔb
ча	tʃa
черчий	tʃɛrtʃi
чехка	tʃˈɛkˈa
чимм	tʃim
чо	tʃo
чохь	tʃoː
чӏурам	tʃʔuram
ша	ʃa
шекар	ʃiɐkəɾ
шийла	fˈiːlə
шийла	ʃiːlɑ
шиъ	ʃiʔ
шоршал	ʃorʃal
шу	ʃu
шура	ʃura
эчиг	eːtʃig
яц	jɑts
ӏа	a
ӏа	ʕa
ӏаба	ʕab
ӏад	ʕaːd
ӏам	am
ӏаь	ʕæ
ӏаьржа	ʕærʒa
ӏин	ʔaɪn
