'day	daɪ̯
amigable	ʔɐmɪɣablɛ
amisola	ʔɐmɪsolɐ
amon	ʔamon
amoranto	ʔɐmoɾanto
amores	ʔɐmoɾɛs
amos	ʔɐmos
ampatuan	ʔɐmpɐtuʔɐn
amurao	ʔɐmʊɾaʊ̯
anastacia	ʔɐnɐstaʃɐ
anastasia	ʔɐnɐstaʃɐ
ancheta	ʔɐntʃɛtɐ
andal	ʔɐndal
andaya	ʔɐndajɐ
andeng	ʔɐndɛŋ
andora	ʔɐndoɾɐ
andrada	ʔɐndɾadɐ
andrade	ʔɐndɾadɛ
andrea	ʔandɾɛɐ
andres	ʔɐndɾɛs
ang	ʔɐŋ
angat	ʔɐŋɡat
angeles	ʔaŋhɛlɛs
angono	ʔɐŋono
angono	ʔɐŋɡono
anilao	ʔɐnɪlaʊ̯
ann	ʔan
anor	ʔɐnoɾ
anson	ʔanson
antipolo	ʔɐntɪpolo
antiporda	ʔɐntɪpoɾdɐ
antique	ʔɐntixɛ
anunciacion	ʔɐnʊnʃɐʃon
anunsiyasyon	ʔɐnʊnʃɐʃon
anyayahan	ʔɐɲɐjahɐn
apayao	ʔɐpɐjaʊ̯
apganistan	ʔɐpɡɐnɪstan
apilado	ʔɐpɪlado
aplasca	ʔɐplaskɐ
apokripos	ʔɐpokɾɪpos
apolinar	ʔɐpolɪnaɾ
apolinario	ʔɐpolɪnaɾjo
apolo	ʔɐpolo
apolonio	ʔɐpoloɲo
apostol	ʔɐpostol
aprika	ʔapɾɪxɐ
aprikana	ʔɐpɾɪxanɐ
aprikano	ʔɐpɾɪxano
april	ʔɛɪ̯pɾɪl
apulon	ʔɐpulon
aquiles	ʔɐxilɛs
aquino	ʔɐxino
arabe	ʔɐɾabɛ
arabe	ʔɐɾɐbɛ
arabia	ʔɐɾabjɐ
arabo	ʔɐɾabo
aragon	ʔɐɾɐɣon
aragones	ʔɐɾɐɣonɛs
arambulo	ʔɐɾambʊlo
aranda	ʔɐɾandɐ
arandia	ʔɐɾandʒɐ
araneta	ʔɐɾɐnɛtɐ
arao	ʔaɾaʊ̯
arañas	ʔɐɾaɲɐs
arcalas	ʔaɾkɐlɐs
arce	ʔaɾsɛ
arcega	ʔɐɾsɛɣɐ
arceo	ʔɐɾsɛo
arciaga	ʔɐɾʃaɣɐ
arcilla	ʔɐɾsiljɐ
arcillas	ʔɐɾsiljɐs
arcinas	ʔɐɾsinɐs
areglado	ʔɐɾɛɡlado
arellano	ʔɐɾɛljano
arenas	ʔɐɾɛnɐs
arevalo	ʔɐɾɛbɐlo
arevalo	ʔɐɾɛvɐlo
argente	ʔɐɾhɛntɛ
arguelles	ʔɐɾɡwɛljɛs
arguelles	ʔɐɾɡɛljɛs
arhentina	ʔɐɾhɛntinɐ
arias	ʔaɾjɐs
arias	ʔɐɾjas
aries	ʔaɾjɛs
ariola	ʔɐɾjolɐ
aristoteles	ʔɐɾɪstotɛlɛs
arlene	ʔɐɾlin
armamento	ʔɐɾmɐmɛnto
armenya	ʔɐɾmɛɲɐ
arnaiz	ʔɐɾnaʔɪs
arquiza	ʔɐɾkisɐ
arquiza	ʔɐɾkizɐ
arrieta	ʔɐɾjɛtɐ
arriola	ʔɐɾjolɐ
arrogante	ʔɐɾoɣantɛ
arrojado	ʔɐɾohado
arroyo	ʔɐɾojo
arsenia	ʔɐɾsɛɲɐ
arsenio	ʔɐɾsɛɲo
artiaga	ʔɐɾtʃaɣɐ
aryes	ʔaɾjɛs
arzadon	ʔɐɾsɐdon
arzadon	ʔɐɾzɐdon
aserbayan	ʔɐsɛɾbɐjan
ashley	ʔaʃlɪ
asilo	ʔɐsilo
asiong	ʔaʃoŋ
asistio	ʔɐsistʃo
astilyehos	ʔɐstɪljɛhos
asuncion	ʔɐsʊnʃon
asunsiyon	ʔɐsʊnʃon
asya	ʔaʃɐ
asyano	ʔɐʃano
ate	ʔatɛ
atenas	ʔɐtɛnɐs
atendido	ʔɐtɛndido
athanasia	ʔɐtɐnaʃɐ
atienza	ʔɐtʃɛnsɐ
atienza	ʔɐtʃɛnzɐ
atlantiko	ʔɐtlantɪxo
atsi	ʔatʃɪ
aurora	ʔaʊ̯ɾoɾɐ
aurora	ʔoɾoɾɐ
aurorahin	ʔaʊ̯ɾoɾahɪn
aurorahin	ʔoɾoɾahɪn
autumn	ʔotʊm
auyong	ʔaʊ̯joŋ
avanceña	ʔɐbɐnsɛɲɐ
avanceña	ʔɐvɐnsɛɲɐ
avendaño	ʔɐbɛndaɲo
avendaño	ʔɐvɛndaɲo
awstralya	ʔaʊ̯stɾaljɐ
awstriya	ʔaʊ̯stɾjɐ
awyoung	ʔaʊ̯jɐŋ
ayako	ʔajɐxo
ayala	ʔɐjalɐ
ayson	ʔaɪ̯son
ayta	ʔaɪ̯ta
ayumi	ʔɐjumɪ
azaña	ʔɐsaɲɐ
azaña	ʔɐzaɲɐ
azucena	ʔɐsʊsɛnɐ
azucena	ʔɐzʊsɛnɐ
año	ʔaɲo
añonuevo	ʔaɲonwɛbo
añonuevo	ʔaɲonwɛvo
b	b
b	bɐ
b	bɛ
b	bɪ
bayan	bajɐn
bbm	bibɪʔɛm
bi	biʔaɪ̯
brp	biʔɐɾpi
bsp	biʔɛspi
babao	babaʊ̯
babasa	bɐbasɐ
bacarra	bɐxaɾɐ
bacarra	bɐxɐɾa
baclaran	bɐklaɾɐn
baclig	bɐkliɡ
bacolod	bɐxolod
bacoor	bɐxoʔoɾ
bacsa	baksɐ
bactol	baktol
baculi	bɐxulɪ
badayos	bɐdajos
bae	bɐʔɛ
bagaoisan	bɐɣɐwisɐn
bagsit	bɐɡsit
bagtas	bɐɡtas
baguio	baɡjo
bagumbayan	bɐɣʊmbajɐn
bagumbong	bɐɣʊmboŋ
bahaghari	bɐhɐɡhaɾɪʔ
bahasa	bɐhasɐ
bai	bɐʔi
bailen	baɪ̯lɛn
bajado	bɐhado
balagtas	bɐlɐɡtas
balaguer	bɐlɐɣɛɾ
balahadia	bɐlɐhadʒɐ
balais	bɐlaʔɪs
balajadia	bɐlɐhadʒɐ
balasabas	bɐlɐsabɐs
balatbat	bɐlɐtbat
balatik	bɐlatɪk
baldonado	bɐldonado
balesin	bɐlɛsin
balete	bɐlɛtɛ
balibago	bɐlɪbaɣo
balilo	bɐlilo
balingit	bɐliŋɪt
balisacan	bɐlɪsaxɐn
balite	bɐlitɛ
baliwag	bɐliwɐɡ
ballesteros	bɐljɛstɛɾos
ballesteros	bɐlɛstɛɾos
balmaceda	bɐlmɐsɛdɐ
balmes	balmɛs
baltazar	bɐltɐsaɾ
baltazar	bɐltɐzaɾ
baluga	bɐluɣɐʔ
baluyot	bɐlujot
banaag	bɐnaʔɐɡ
banal	bɐnal
banalo	bɐnalo
banaue	bɐnawɛ
banawa	bɐnawɐ
banawe	bɐnawɛ
banawon	bɐnawon
banayad	bɐnajɐd
banaybanay	bɐnaɪ̯banaɪ̯
bang	baŋ
bangkal	bɐŋkal
bangkok	bɐŋkok
banhaon	bɐnhɐʔon
baniaga	bɐɲaɣɐ
banilad	bɐnilɐd
bantugan	bɐntuɣɐn
banzon	banson
banzon	banzon
banzuela	bɐnswɛlɐ
baquiran	bɐxiɾɐn
barangka	bɐɾɐŋkaʔ
baraquiel	bɐɾɐkjɛl
barayuga	bɐɾɐjuɣɐ
barbosa	bɐɾbosɐ
barcelona	bɐɾsɛlonɐ
barcenas	baɾsɛnɐs
barquilla	bɐɾkiljɐ
barradas	bɐɾadɐs
barrameda	bɐɾɐmɛdɐ
barrera	bɐɾɛɾɐ
barrientos	bɐɾjɛntos
barrios	baɾjos
bartolome	bɐɾtolomɛ
basa	basɐ
basallote	bɐsɐljotɛ
basco	basko
bascoguin	bɐskoɣɪn
base	basɛ
basilan	bɐsilɐn
basilio	bɐsiljo
bassig	basɪɡ
bataan	bɐtɐʔan
batac	batɐk
batac	bɐtak
batallones	bɐtɐljonɛs
batanes	bɐtanɛs
batangas	bɐtaŋɡɐs
batangueña	bɐtɐŋɡɛɲɐ
batangueño	bɐtɐŋɡɛɲo
bataraza	bɐtɐɾazɐ
bathala	bɐthalɐʔ
bathan	bɐthan
batikano	bɐtɪxano
batino	bɐtino
bautista	baʊ̯tistɐ
bauzon	baʊ̯son
bay	baɪ̯
bay	bɐʔi
bay	bɛɪ̯
bayagra	bɐjaɡɾɐ
bayanan	bɐjanɐn
baybayin	baɪ̯bajɪn
baybayin	baɪ̯bɐjin
baylosis	baɪ̯losɪs
bayombong	bɐjomboŋ
bayot	bajot
bayudan	bɐjudɐn
bañaga	bɐɲaɣɐ
bejasa	bɛhasɐ
belandres	bɛlandɾɛs
belarmino	bɛlɐɾmino
belarus	bɛlɐɾus
belhika	bɛlhɪxɐ
belhiko	bɛlhɪxo
belmonte	bɛlmontɛ
beltran	bɛltɾan
beneswela	bɛnɛswɛlɐ
benguet	bɛŋɡɛt
bengzon	bɛnson
bengzon	bɛnzon
benigno	bɛniɡno
benin	bɛnin
benipayo	bɛnɪpajo
bentinganan	bɛntɪŋanɐn
benus	bɛnʊs
bergonia	bɛɾɡoɲɐ
berinayan	bɛɾɪnajɐn
bermudez	bɛɾmudɛs
bernabe	bɛɾnɐbɛ
bernal	bɛɾnal
bernardez	bɛɾnaɾdɛs
bernardo	bɛɾnaɾdo
berroya	bɛɾojɐ
berry	bɛɾɪ
bersamina	bɛɾsɐminɐ
berting	bɛɾtiŋ
beryl	bɛɾɪl
bessie	bɛsɪ
betong	bɛtoŋ
betsy	bɛtsɪ
betty	bɛtɪ
bibliya	bibljɐ
bienvenido	bjɛmbɛnido
bienvenido	bjɛmvɛnido
bikol	bixol
bikolana	bɪxolanɐ
bikolano	bɪxolano
biliran	bɪliɾɐn
binangonan	bɪnɐŋonɐn
binibini	bɪnɪbinɪ
binondo	bɪnondo
binubusan	bɪnʊbusɐn
binuya	bɪnujɐ
birgo	biɾɡo
biring	bɪɾiŋ
birmanya	bɪɾmaɲɐ
bisaya	bɪsajɐʔ
biscocho	bɪskotʃo
bisnar	bɪsnaɾ
bituin	bɪtʊʔin
biyernes	bjɛɾnɛs
biyetnam	bjɛtnam
biñan	bɪɲan
blanco	blaŋko
boac	boak
bobadilla	bobɐdiljɐ
bocaue	boxawɛ
bogota	boɣota
bohol	bohol
bolante	bolantɛ
bolaños	bolaɲos
bolbok	bolbok
bolibya	bolibjɐ
bolivar	bolibɐɾ
bolivar	bolivɐɾ
bombay	bombaɪ̯
bondoc	bondok
bongabong	boŋaboŋ
bonifacio	bonɪfaʃo
bonifacio	bonɪpaʃo
bonilla	boniljɐ
bool	boʔol
boongaling	boʔoŋɡɐliŋ
boracay	boɾaxaɪ̯
borbon	boɾbon
bordado	boɾdado
borillo	boɾiljo
borja	boɾhɐ
borlaza	boɾlasɐ
borlaza	boɾlazɐ
borongan	boɾoŋɡɐn
bosniya	bosɲɐ
bosnya	bosɲɐ
botswana	botswanɐ
brasil	bɾɐsil
bravo	bɾabo
bravo	bɾavo
breslavia	bɾɛslabjɐ
breslavia	bɾɛslavjɐ
bretanya	bɾɛtaɲɐ
brigela	bɾɪɣɛlɐ
briguela	bɾɪɡwɛlɐ
brillantes	bɾɪljantɛs
briones	bɾjonɛs
britanya	bɾɪtaɲɐ
broqueza	bɾoxɛsɐ
broqueza	bɾoxɛzɐ
brosas	bɾosɐs
bruselas	bɾʊsɛlɐs
buan	buɐn
bucad	buxɐd
bucal	bʊxal
buda	budɐ
budismo	bʊdismo
budista	bʊdistɐ
buenafe	bwɛnɐfɛ
buenafe	bwɛnɐpɛ
buenaflor	bwɛnɐfloɾ
buenaventura	bwɛnɐbɛntuɾɐ
buenaventura	bwɛnɐvɛntuɾɐ
buencamino	bwɛŋkɐmino
buendia	bwɛndiɐ
bueno	bwɛno
buenviaje	bwɛmbjahɛ
buenviaje	bwɛmvjahɛ
bugallon	bʊɣɐljon
bugarin	bʊɣɐɾin
bugtong	bʊɡtoŋ
buhain	bʊhaʔɪn
bukal	bʊxal
bukidnon	bʊxɪdnon
bulacan	bʊlɐxan
bulakan	bʊlɐxan
bulakenyo	bʊlɐxɛɲo
bulalacao	bʊlɐlaxaʊ̯
bulalayao	bʊlɐlajaʊ̯
bulan	bulɐn
bulanhagui	bʊlɐnhaɣɪ
bulgaro	bʊlɡɐɾo
bulgarya	bʊlɡaɾjɐ
bulihan	bʊlɪhan
bumanglag	bʊmɐnlaɡ
bumanlag	bʊmɐnlaɡ
bumbay	bʊmbaɪ̯
bunag	bunɐɡ
bunlay	bʊnlaɪ̯
bunye	buɲɛ
bunyi	buɲɪ
buquid	buxɪd
burgos	buɾɡos
burias	buɾjɐs
burma	buɾmɐ
burundi	bʊɾundɪ
bustamante	bʊstɐmantɛ
butac	butɐk
butchoy	bʊtʃoɪ̯
buting	butɪŋ
byetnam	bjɛtnam
c	k
c	s
c	sɛ
c	sɪ
ch	s
ch	sɛ
ch	ts
ch	tsɛ
ch	tʃ
ch	tʃɛ
comelec	komɛlɛk
cpp	sipɪpi
cabahug	kɐbahʊɡ
caballero	kɐbɐljɛɾo
caballeros	kɐbɐljɛɾos
cabanatuan	kɐbɐnɐtuʔɐn
cabangbang	kɐbɐmbaŋ
cabangon	kɐbaŋon
cabasag	kɐbasɐɡ
cabatuan	kɐbɐtuʔɐn
cabiao	kɐbjaʊ̯
cabiling	kɐbilɪŋ
cabral	kɐbɾal
cabrera	kɐbɾɛɾɐ
cabrillos	kɐbɾiljos
cabuhat	kɐbuhɐt
cabungcal	kɐbʊŋkal
cabuyao	kɐbujaʊ̯
cacao	kɐxaʊ̯
cacdac	kɐkdak
cachuela	kɐtʃwɛlɐ
cadano	kɐdano
cadapan	kɐdapɐn
caday	kadaɪ̯
cadayona	kɐdɐjonɐ
cadiz	kadɪs
cagalingan	kɐɣɐliŋɐn
cagayan	kɐɣɐjan
caguiat	kɐɡjat
caguioa	kɐɣiwɐ
cainta	kɐʔɪntaʔ
cajucom	kɐhuxom
calalang	kɐlalɐŋ
calalo	kɐlalo
calamba	kɐlɐmba
calamba	kɐlɐmbaʔ
calapan	kɐlɐpan
calasiao	kɐlɐʃaʊ̯
calauag	kɐlawɐɡ
calauan	kɐlawɐn
calaunan	kɐlɐʔunɐn
calayan	kɐlajɐn
calaycay	kɐlaɪ̯xaɪ̯
calderon	kɐldɛɾon
calimlim	kɐlɪmlim
calinawan	kɐlɪnawɐn
calingasan	kɐlɪŋasɐn
calinisan	kɐlɪnisɐn
calintaan	kɐlɪntɐʔan
calixto	kɐliksto
callao	kalaʊ̯
calma	kalmɐ
caloocan	kɐloʔoxɐn
caluag	kɐluɐɡ
caluag	kɐluʔɐɡ
calumpang	kɐlʊmpaŋ
calumpit	kɐlʊmpit
caluya	kɐlujɐ
camacho	kɐmatʃo
camantigue	kɐmɐntɪɣɛ
camarines	kɐmɐɾinɛs
camiguin	kɐmɪɣin
campo	kampo
canales	kɐnalɛs
cancio	kanʃo
candelaria	kɐndɛlaɾjɐ
canicosa	kɐnɪxosɐ
caniedo	kɐɲɛdo
canilao	kɐnilaʊ̯
caniogan	kɐɲoɣɐn
canlapan	kɐnlapɐn
canlas	kɐnlas
canlubang	kɐnlubɐŋ
canoy	kanoɪ̯
cantalejo	kɐntɐlɛho
cantiveros	kɐntɪbɛɾos
cantiveros	kɐntɪvɛɾos
cantos	kantos
capangyarihan	kɐpɐŋjɐɾihɐn
caparas	kɐpɐɾas
capihan	kɐpihɐn
capili	kɐpilɪ
capinpin	kɐpɪmpin
capistrano	kɐpɪstɾano
capiz	kapɪs
capucao	kɐpuxaʊ̯
capulong	kɐpuloŋ
capuno	kɐpunoʔ
caraan	kɐɾaʔɐn
caraig	kɐɾaʔɪɡ
carandang	kɐɾɐndaŋ
cardenas	kaɾdɛnɐs
cardenas	kɐɾdɛnɐs
cardiño	kɐɾdiɲo
cardona	kɐɾdonɐ
cariaso	kɐɾjaso
carillo	kɐɾiljo
caringal	kɐɾiŋɐl
caringal	kɐɾɪŋal
cariño	kɐɾiɲo
carlos	kaɾlos
carmona	kɐɾmonɐ
carpio	kaɾpjo
carreon	kɐɾɛon
carriaga	kɐɾjaɣɐ
carrillo	kɐɾiljo
carunungan	kɐɾʊnuŋɐn
carvajal	kɐɾbɐhal
carvajal	kɐɾvɐhal
casacop	kɐsaxop
casal	kɐsal
casanova	kɐsɐnobɐ
casanova	kɐsɐnovɐ
casao	kasaʊ̯
casas	kasɐs
caseda	kɐsɛdɐ
cases	kasɛs
casiguran	kɐsɪɣuɾɐn
castañeda	kɐstɐɲɛdɐ
castillo	kɐstiljo
castrence	kɐstɾɛnsɛ
casupang	kɐsupɐŋ
catacutan	kɐtɐxutɐn
catalasan	kɐtɐlasɐn
catanauan	kɐtɐnawɐn
catapang	kɐtapɐŋ
catibog	kɐtiboɡ
catindig	kɐtɪndiɡ
catipon	kɐtipon
catmon	kɐtmon
catral	kɐtɾal
causon	kaʊ̯son
cavite	kɐbitɛ
cavite	kɐvitɛ
caw	kaʊ̯
cayabyab	kɐjɐbjab
cayco	kaɪ̯xo
cayetano	kɐjɛtano
cañedo	kɐɲɛdo
cañeso	kɐɲɛso
cañete	kɐɲɛtɛ
cebu	sɛbu
cedeño	sɛdɛɲo
celedio	sɛlɛdʒo
celestial	sɛlɛstʃal
cembo	sɛmbo
cendaña	sɛndaɲɐ
ceniza	sɛnisɐ
ceniza	sɛnizɐ
cenizal	sɛnɪsal
cenizal	sɛnɪzal
centeno	sɛntɛno
centino	sɛntino
cepillo	sɛpiljo
cereno	sɛɾɛno
cerillo	sɛɾiljo
cesneros	sɛsnɛɾos
chan	tʃan
chang	tʃaŋ
charity	tʃaɾɪtɪ
chavez	tʃabɛs
chavez	tʃavɛs
chedeng	tʃɛdɛŋ
chen	tʃɛn
cheng	tʃɛŋ
cherry	tʃɛɾɪ
chi	tʃi
chichay	tʃitʃaɪ̯
ching	tʃiŋ
chiong	tʃjoŋ
chiong	tʃoŋ
chiu	tʃu
chiyoko	tʃjoxo
chong	tʃoŋ
chow	tʃaʊ̯
chu	tʃu
chua	tʃuɐ
chua	tʃwɐ
chuchay	tʃutʃaɪ̯
chung	tʃuŋ
cinco	siŋko
clarence	klaɾɛns
claro	klaɾo
claudio	klaʊ̯dʒo
clavecillas	klɐbɛsiljɐs
clavecillas	klɐvɛsiljɐs
claveria	klɐbɛɾiɐ
claveria	klɐvɛɾiɐ
clemente	klɛmɛntɛ
clinton	klinton
closa	klosɐ
co	ko
cobarrubias	kobɐɾubjɐs
cogeo	koɡjo
cojuangco	koaŋko
cojuangco	kohwaŋko
collado	koljado
collantes	koljantɛs
coloma	kolomɐ
coloso	koloso
comembo	komɛmbo
cometa	komɛtɐ
comia	komjɐ
conde	kondɛ
condez	kondɛs
consolacion	konsolɐʃon
contreras	kontɾɛɾɐs
coo	ku
coquia	kokjɐ
corazon	koɾɐson
corazon	koɾɐzon
corcuera	koɾkwɛɾɐ
cordero	koɾdɛɾo
cornejo	koɾnɛho
coron	koɾon
corona	koɾonɐ
coronel	koɾonɛl
corpus	koɾpʊs
corrales	koɾalɛs
correa	koɾɛɐ
corregidor	koɾɛhɪdoɾ
corro	koɾo
cortez	koɾtɛs
cosico	kosixo
costales	kostalɛs
cotabato	kotɐbato
crising	kɾɪsiŋ
crisostomo	kɾɪsostomo
crispin	kɾɪspin
cruz	kɾus
cruzat	kɾʊsat
cruzat	kɾʊzat
cu	ku
cua	kuɐ
cua	kwɐ
cuartero	kwɐɾtɛɾo
cuasay	kwasaɪ̯
cubacub	kʊbaxʊb
cubao	kʊbaʊ̯
cudiamat	kʊdʒamɐt
cudiamat	kʊdʒɐmat
cueto	kwɛto
cuevas	kwɛbɐs
cuevas	kwɛvɐs
cuizon	kwison
cuizon	kwizon
cunanan	kʊnanɐn
cupang	kupɐŋ
custodio	kʊstodʒo
cuyapo	kʊjɐpoʔ
cynthia	sintʃɐ
d	d
d	dɐ
d	dɛ
d	dɪ
dole	dolɛ
dacanay	dɐxanaɪ̯
dagohoy	dɐɣohoɪ̯
dagupan	dɐɣupɐn
daisy	dɛɪ̯sɪ
dalaga	dɐlaɣɐ
dalahican	dɐlɐhixɐn
dalandanan	dɐlɐndanɐn
dalangin	dɐlaŋɪn
dalawampu	dɐlɐwɐmpuʔ
dale	dɛɪ̯l
dalmasya	dɐlmaʃɐ
dalusong	dɐlusoŋ
dampalit	dɐmpɐlit
damulag	dɐmulɐɡ
dancel	dɐnsɛl
danes	dɐnɛs
danesa	dɐnɛsɐ
dapitan	dɐpitɐn
daproza	dɐpɾosɐ
darwin	daɾwɪn
dasma	dasmɐ
dasmariñas	dɐsmɐɾiɲɐs
datinguinoo	datɪŋɡɪnoʔo
datu	datʊ
davao	dabaʊ̯
davao	davaʊ̯
david	dɐbid
david	dɐvid
david	dɛɪ̯bɪd
david	dɛɪ̯vɪd
dayandante	dɐjɐndantɛ
dayang	dajɐŋ
dayanghirang	dɐjɐŋhiɾɐŋ
dayao	dajaʊ̯
dayrit	daɪ̯ɾit
dazo	daso
dazo	dazo
deang	dɪaŋ
decena	dɛsɛnɐ
dee	dɪ
defensor	dɛfɛnsoɾ
defensor	dɛpɛnsoɾ
degamo	dɛɣamo
delfin	dɛlfin
delfin	dɛlpin
delgado	dɛlɡado
delizo	dɛliso
delizo	dɛlizo
deparo	dɛpaɾo
deris	dɛɾɪs
despuig	dɛspwiɡ
diamante	dʒɐmantɛ
diaz	diɐs
digos	diɣos
dijamco	dɪdʒamko
dijamco	dɪhamko
dilag	dɪlaɡ
dimaala	dɪmɐʔalɐ
dimaandal	dɪmɐʔɐndal
dimaano	dɪmɐʔano
dimaapi	dɪmaʔɐpi
dimacali	dɪmɐxalɪ
dimacuha	dɪmɐxuhɐ
dimacuja	dɪmɐxuhɐ
dimaculangan	dɪmɐxʊlaŋɐn
dimafelix	dɪmɐfɛlɪks
dimafelix	dɪmɐpɛlɪks
dimagiba	dɪmɐɣɪbaʔ
dimailig	dɪmɐʔilɪɡ
dimalaluan	dɪmɐlɐluʔɐn
dimalanta	dɪmɐlantɐ
dimapilis	dɪmɐpilɪs
dimaranan	dɪmɐɾanɐn
dimatatac	dɪmɐtɐtak
dimatulac	dɪmɐtulɐk
dimaunahan	dɪmɐʔʊnahɐn
dimayuga	dɪmɐjuɣɐ
dinagat	dɪnaɣɐt
