ԱԱ	ɑɑ́
Ախալցխա	ɑχɑltsʰəχɑ́
Ախալքալաք	ɑχɑlkʰɑlɑ́kʰ
Ախալքալաքի	ɑχɑlkʰɑlɑkʰí
Ախուրյան	ɑχuɾjɑ́n
Ահարոն	ɑhɑɾón
Ահարոնյան	ɑhɑɾonjɑ́n
Ահրիման	ɑhɾimɑ́n
Աղաթոն	ɑʁɑtʰón
Աղայան	ɑʁɑjɑ́n
Աղաջանյան	ɑʁɑdʒɑnjɑ́n
Աղասի	ɑʁɑsí
Աղաֆոն	ɑʁɑfón
Աղդամ	ɑʁdɑ́m
Աղձնիք	ɑʁdzníkʰ
Աղջայան	ɑʁdʒɑjɑ́n
Աղվան	ɑʁvɑ́n
Աղվանք	ɑʁvɑ́ŋkʰ
Աճառյան	ɑtʃɑrjɑ́n
Աճեմյան	ɑtʃemjɑ́n
Ամազոն	ɑmɑzón
Ամալյա	ɑmɑljɑ́
Ամանոս	ɑmɑnós
Ամանոր	ɑmɑnóɾ
Ամբակում	ɑmbɑkúm
Ամերիկա	ɑmeɾikɑ́
Ամերիկա	ɑméɾikɑ
Ամերիկայի	ɑmeɾikɑjí
Ամիրան	ɑmiɾɑ́n
Ամիրանյան	ɑmiɾɑnjɑ́n
Ամիրխանյան	ɑmiɾχɑnjɑ́n
Ամիրյան	ɑmiɾjɑ́n
Ամման	ɑmːɑ́n
Ամուդարյա	ɑmudɑɾjɑ́
Ամուր	ɑmúɾ
Ամուրի	ɑmuɾí
Ամստերդամ	ɑmsteɾdɑ́m
Այծեղջյուր	ɑjtseʁdʒjúɾ
Այծեմնիկ	ɑjtsemník
Այուբյան	ɑjubjɑ́n
Այսրկովկաս	ɑjsəɾkofkɑ́s
Այվազյան	ɑjvɑzjɑ́n
Այրարատ	ɑjɾɑɾɑ́t
Անադիր	ɑnɑdíɾ
Անակ	ɑnɑ́k
Անակրեոն	ɑnɑkɾeón
Անահիտ	ɑnɑhít
Անանիա	ɑnɑnijɑ́
Անաստաս	ɑnɑstɑ́s
Անատոլի	ɑnɑtóli
Անատոլիա	ɑnɑtolijɑ́
Անատոլիա	ɑnɑtólijɑ
Անաքսագորաս	ɑnɑkʰsɑɡoɾɑ́s
Անաքսիմանդրոս	ɑnɑkʰsimɑndɾós
Անաքսիմենես	ɑnɑkʰsimenés
Անգլիա	ɑ́ŋɡlijɑ
Անգմոկիո	ɑŋɡmokijó
Անգոլա	ɑŋɡólɑ
Անդեր	ɑndéɾ
Անդորա	ɑndóɾɑ
Անդորրա	ɑndóɹːɑ
Անդրանիկ	ɑndɾɑník
Անդրբայկալ	ɑndəɾbɑjkɑ́l
Անդրեաս	ɑndɾeɑ́s
Անդրեասյան	ɑndɾeɑsjɑ́n
Անդրիասյան	ɑndɾijɑsjɑ́n
Անդրկովկաս	ɑndəɾkofkɑ́s
Անդրհորդանան	ɑndəɾhoɾdɑnɑ́n
Անդրոմաքե	ɑndɾomɑ́kʰe
Անթառամ	ɑntʰɑrɑ́m
Անժելա	ɑnʒélɑ
Անժու	ɑnʒú
Անի	ɑní
Անկարա	ɑŋkɑɾɑ́
Անկոս	ɑ́ŋkos
Աննա	ɑnːɑ́
Աննա	ɑ́nːɑ
Անուշ	ɑnúʃ
Անուշավան	ɑnuʃɑvɑ́n
Անտանանարիվու	ɑntɑnɑnɑɾívu
Անտարկտիկա	ɑntɑɾktikɑ́
Անտարկտիկա	ɑntɑ́ɾktikɑ
Անտիգոնե	ɑntiɡóne
Անտիոք	ɑntijókʰ
Անտիոքոս	ɑntijokʰós
Անտիսթենես	ɑntistʰénes
Անտիտավրոս	ɑntitɑvɾós
Անտոնի	ɑntóni
Անտոնիոս	ɑntónjos
Աշգաբատ	ɑʃɡɑbɑ́t
Աշխաբադ	ɑʃχɑbɑ́d
Աշխեն	ɑʃχén
Աշոտ	ɑʃót
Աշոտյան	ɑʃotjɑ́n
Աշտարակ	ɑʃtɑɾɑ́k
Աոմին	ɑomín
Աուլիս	ɑulís
Ապամեա	ɑpɑméɑ
Ապարան	ɑpɑɾɑ́n
Ապենիններ	ɑpeninːéɾ
Ապիրատ	ɑpiɾɑ́t
Ապոլլոն	ɑpolón
Ապոլոն	ɑpolón
Ապոլոնիա	ɑpolónijɑ
Ապուլիա	ɑpúlijɑ
Ապպիանոս	ɑpːijɑnós
Ապպիանոս	ɑpːijɑ́nos
Ապպիոս	ɑpːijós
Ապրես	ɑpɾés
Ապրեսյան	ɑpɾesjɑ́n
Աջարիա	ɑdʒɑɾijɑ́
Առաքել	ɑrɑkʰél
Առաքելյան	ɑrɑkʰeljɑ́n
Առինջ	ɑríndʒ
Առյուծ	ɑrjúts
Առնո	ɑrnó
Առուշանյան	ɑruʃɑnjɑ́n
Առտիալ	ɑrtijɑ́l
Ասատուր	ɑsɑtúɾ
Ասատուրյան	ɑsɑtuɾjɑ́n
Ասատրյան	ɑsɑtɾjɑ́n
Ասիա	ɑ́sijɑ
Ասլանճյան	ɑslɑntʃjɑ́n
Ասլանյան	ɑslɑnjɑ́n
Ասկալոն	ɑskɑlón
Ասկանիոս	ɑskɑ́nijos
Ասմարա	ɑsmɑ́ɾɑ
Ասմերա	ɑsméɾɑ
Ասորեստան	ɑsoɾestɑ́n
Ասորիք	ɑsoɾíkʰ
Ասպահան	ɑspɑhɑ́n
Ասպետ	ɑspét
Ասսամ	ɑsːɑ́m
Աստանա	ɑstɑnɑ́
Աստղիկ	ɑstʁík
Աստվածատուր	ɑstvɑtsɑtúɾ
Աստրախան	ɑstɾɑχɑ́n
Ասքանազ	ɑskʰɑnɑ́z
Ավագ	ɑvɑ́kʰ
Ավագյան	ɑvɑkʰjɑ́n
Ավանիսյան	ɑvɑnisjɑ́n
Ավգերյան	ɑvɡeɾjɑ́n
Ավգիաս	ɑvɡijɑ́s
Ավգուստ	ɑ́vɡust
Ավգուստինոս	ɑvɡustinós
Ավետ	ɑvét
Ավետիս	ɑvetís
Ավետիսյան	ɑvetisjɑ́n
Ավետիք	ɑvetíkʰ
Ավետյան	ɑvetjɑ́n
Ավինյոն	ɑvinjón
Ավիցեննա	ɑvitsʰénːɑ
Ավլիս	ɑvlís
Ավոգադրո	ɑvoɡɑdɾó
Ավստրալիա	ɑfstɾɑ́lijɑ
Ավստրիա	ɑ́fstɾijɑ
Ատալիա	ɑtɑlijɑ́
Ատալիա	ɑtɑ́lijɑ
Ատիլիոս	ɑtilijós
Ատոմ	ɑtóm
Ատրներսեհ	ɑtəɾneɾséh
Ատրպատական	ɑtəɾpɑtɑkɑ́n
Արա	ɑɾɑ́
Արաբաջյան	ɑɾɑbɑdʒjɑ́n
Արաբիա	ɑɾɑ́bijɑ
Արագած	ɑɾɑɡɑ́ts
Արագածոտն	ɑɾɑɡɑtsótən
Արախա	ɑɾɑχɑ́
Արածանի	ɑɾɑtsɑní
Արամ	ɑɾɑ́m
Արամազդ	ɑɾɑmɑ́zd
Արամայիս	ɑɾɑmɑjís
Արամանյակ	ɑɾɑmɑnjɑ́k
Արամյան	ɑɾɑmjɑ́n
Արայիկ	ɑɾɑjík
Արապաճյան	ɑɾɑpɑtʃjɑ́n
Արարատ	ɑɾɑɾɑ́t
Արաքս	ɑɾɑ́kʰs
Արաքսի	ɑɾɑkʰsí
Արբելա	ɑɾbelɑ́
Արգամ	ɑɾɡɑ́m
Արգավանդ	ɑɾɡɑvɑ́nd
Արգենտինա	ɑɾɡentínɑ
Արգիշտի	ɑɾɡiʃtí
Արգոլիս	ɑɾɡolís
Արե	ɑɾé
Արե	ɑ́ɾe
Արեգ	ɑɾéɡ
Արեգակ	ɑɾeɡɑ́k
Արեկիպա	ɑɾekípɑ
Արես	ɑɾés
Արզումանյան	ɑɾzumɑnjɑ́n
Արթիկ	ɑɾtʰík
Արթունյան	ɑɾtʰunjɑ́n
Արթուր	ɑɾtʰúɾ
Արժանթին	ɑɾʒɑntʰín
Արիոս	ɑɾijós
Արիստակես	ɑɾistɑkés
Արիստակեսյան	ɑɾistɑkesjɑ́n
Արիստոտել	ɑɾistotél
Արիստոփանես	ɑɾistopʰɑnés
Արիստոֆան	ɑɾistofɑ́n
Արիստոֆանես	ɑɾistofɑnés
Արխանգելսկ	ɑɾχɑŋɡélsk
Արծրուն	ɑɾtsɾún
Արծրունի	ɑɾtsɾuní
Արկադի	ɑɾkɑdí
Արկադիոս	ɑɾkɑdijós
Արման	ɑɾmɑ́n
Արմավիր	ɑɾmɑvíɾ
Արմեն	ɑɾmén
Արմենակ	ɑɾmenɑ́k
Արմենուհի	ɑɾmenuhí
Արմին	ɑɾmín
Արմինե	ɑɾminé
Արշալույս	ɑɾʃɑlújs
Արշակ	ɑɾʃɑ́k
Արշակյան	ɑɾʃɑkjɑ́n
Արշակունի	ɑɾʃɑkuní
Արշակունյաց	ɑɾʃɑkunjɑ́tsʰ
Արշամ	ɑɾʃɑ́m
Արշավիր	ɑɾʃɑvíɾ
Արո	ɑɾó
Արոնյան	ɑɾonjɑ́n
Արուսյակ	ɑɾusjɑ́k
Արսեն	ɑɾsén
Արսենի	ɑɾséni
Արսենյան	ɑɾsenjɑ́n
Արսինե	ɑɾsiné
Արսլանճյան	ɑɾslɑntʃjɑ́n
Արսլանյան	ɑɾslɑnjɑ́n
Արտակ	ɑɾtɑ́k
Արտաշատ	ɑɾtɑʃɑ́t
Արտաշեն	ɑɾtɑʃén
Արտաշես	ɑɾtɑʃés
Արտաշիր	ɑɾtɑʃíɾ
Արտավազդ	ɑɾtɑvɑ́zd
Արտավան	ɑɾtɑvɑ́n
Արտեմ	ɑɾtém
Արտեմիս	ɑɾtemís
Արտյոմ	ɑɾtjóm
Արտուքյան	ɑɾtukʰjɑ́n
Արցախ	ɑɾtsʰɑ́χ
Արքիլոքոս	ɑɾkʰilokʰós
Արքիմեդ	ɑɾkʰiméd
Արև	ɑɾév
Արևելք	ɑɾevélkʰ
Արևմուտք	ɑɾevmútkʰ
Ափրիկե	ɑpʰɾiké
Ափրոդիտե	ɑpʰɾodité
Աքայա	ɑkʰɑ́jɑ
Աքեմենյան	ɑkʰemenjɑ́n
Աքիլես	ɑkʰilés
Աքիլլես	ɑkʰilːés
Աքքա	ɑkʰːɑ́
Աֆանասի	ɑfɑnɑ́si
Աֆղանստան	ɑfʁɑnəstɑ́n
Աֆրիկա	ɑ́fɾikɑ
Աֆրոդիտե	ɑfɾodité
Բ	bə
ԲԴԽ	bədəχə́
ԲՀԿ	bəhəkə́
ԲՈՒՀ	buh
Բաալբեկ	bɑɑlbék
Բաբախանյան	bɑbɑχɑnjɑ́n
Բաբայան	bɑbɑjɑ́n
Բաբաջանյան	bɑbɑdʒɑnjɑ́n
Բաբելոն	bɑbelón
Բաբլոյան	bɑblojɑ́n
Բաբկեն	bɑbkén
Բագարատ	bɑɡɑɾɑ́t
Բագրատ	bɑɡɾɑ́t
Բագրատյան	bɑɡɾɑtjɑ́n
Բագրատունի	bɑɡɾɑtuní
Բագրատունյաց	bɑɡɾɑtunjɑ́tsʰ
Բադալյան	bɑdɑljɑ́n
Բադարա	bɑdɑɾɑ́
Բադրուպանյան	bɑdɾupɑnjɑ́n
Բազարդյուզյու	bɑzɑɾdjuzjú
Բազոյան	bɑzojɑ́n
Բաթու	bɑtʰú
Բաթում	bɑtʰúm
Բաթումի	bɑtʰúmi
Բալայան	bɑlɑjɑ́n
Բալկաններ	bɑlkɑnːéɾ
Բալջյան	bɑldʒjɑ́n
Բախչիսարայ	bɑχtʃʰisɑɾɑ́j
Բակալյան	bɑkɑljɑ́n
Բակո	bɑkó
Բակունց	bɑkúntsʰ
Բակուր	bɑkúɾ
Բակքիլիդես	bɑkʰːilidés
Բահամներ	bɑhɑmnéɾ
Բահրեյն	bɑhɾéjn
Բաղդադ	bɑʁdɑ́d
Բաղդասար	bɑʁdɑsɑ́ɾ
Բաղդասարյան	bɑʁdɑsɑɾjɑ́n
Բաղրամյան	bɑʁɾɑmjɑ́n
Բամակո	bɑmɑkó
Բամակո	bɑmɑ́ko
Բայբարս	bɑjbɑ́ɾs
Բայդեն	bɑjdén
Բայդեն	bɑ́jden
Բայկալ	bɑjkɑ́l
Բանգալուր	bɑŋɡɑlúɾ
Բանգլադեշ	bɑŋɡlɑdéʃ
Բանդունգ	bɑndúŋɡ
Բանջուլ	bɑndʒúl
Բառնաբաս	bɑrnɑbɑ́s
Բառնաուլ	bɑrnɑúl
Բասմաջյան	bɑsmɑdʒjɑ́n
Բավարիա	bɑvɑɾijɑ́
Բավարիա	bɑvɑ́ɾijɑ
Բատ	bɑt
Բարաք	bɑɾɑ́kʰ
Բարբադոս	bɑɾbɑdós
Բարդախչյան	bɑɾdɑχtʃʰjɑ́n
Բարդակչյան	bɑɾdɑktʃʰjɑ́n
Բարդուղիմեոս	bɑɾtʰuʁimeós
Բարդույթ	bɑɾtʰújtʰ
Բարխուդար	bɑɾχudɑ́ɾ
Բարխուդարյան	bɑɾχudɑɾjɑ́n
Բարութչյան	bɑɾutʰtʃʰjɑ́n
Բարսեղ	bɑɾséʁ
Բարսեղյան	bɑɾseʁjɑ́n
Բաքոս	bɑkʰós
Բաքու	bɑkʰú
Բեբել	bebél
Բեգլարյան	beɡlɑɾjɑ́n
Բեդոկ	bedók
Բեթհովեն	betʰhovén
Բեթղեհեմ	betʰχehém
Բել	bel
Բելառուս	belɑrús
Բելգիա	bélɡijɑ
Բելգորոդ	belɡoɾód
Բելգրադ	belɡɾɑ́d
Բելիզ	belíz
Բելիսարիոս	belisɑɾijós
Բելմոպան	belmopɑ́n
Բելուջստան	beludʒstɑ́n
Բեկյան	bekjɑ́n
Բեհեղզեբուղ	beheʁzebúʁ
Բեյրութ	bejɾútʰ
Բենգալուրու	beŋɡɑluɾú
Բենիամին	benjɑmín
Բենիլյուքս	beniljúkʰs
Բենին	benín
Բեովտիա	beóftijɑ
Բեռլին	berlín
Բեռն	bern
Բեսարաբիա	besɑɾɑ́bijɑ
Բերբերյան	beɾbeɾjɑ́n
Բըրբանք	bə́ɾbɑŋkʰ
Բիբլոս	biblós
Բիբուլոս	bibulós
Բիլզերյան	bilzeɾjɑ́n
Բիհար	bihɑ́ɾ
Բիշան	biʃɑ́n
Բիշկեկ	biʃkék
Բիշքեկ	biʃkʰék
Բիչախչյան	bitʃʰɑχtʃʰjɑ́n
Բիրմա	bíɾmɑ
Բիրմինգամ	bíɾmiŋɡɑm
Բիրմինգհեմ	bíɾmiŋɡhem
Բիրմինհամ	bíɾminhɑm
Բիրոբիջան	biɾobidʒɑ́n
Բլագովեշչենսկ	blɑɡoveʃtʃʰénsk
Բյուզանդիա	bjuzɑ́ndijɑ
Բյուզանդիոն	bjuzɑndjón
Բյութանիա	bjutʰɑnijɑ́
Բոգոտա	boɡotɑ́
Բոզաջյան	bozɑdʒjɑ́n
Բոթսվանա	botʰəsvɑ́nɑ
Բոլիվիա	bolívijɑ
Բոլոնիա	bolónijɑ
Բոհեմիա	bohémijɑ
Բոհեմունդ	bohemúnd
Բոյաջյան	bojɑdʒjɑ́n
Բոսնիա	bósnijɑ
Բոստոն	bostón
Բոսֆոր	bosfóɾ
Բոտոշան	botoʃɑ́n
Բոտսվանա	botəsvɑ́nɑ
Բորանյան	boɾɑnjɑ́n
Բորժոմ	boɾʒóm
Բորժոմի	boɾʒómi
Բուդապեշտ	budɑpéʃt
Բուդաքյան	budɑkʰjɑ́n
Բութան	butʰɑ́n
Բութանիա	butʰɑnijɑ́
Բուժումբուրա	buʒumbúɾɑ
Բուլղարիա	bulʁɑ́ɾijɑ
Բուխարա	buχɑɾɑ́
Բուխարեստ	buχɑɾést
Բուկովինա	bukovínɑ
Բուրգունդիա	buɾɡúndijɑ
Բուրունդի	buɾúndi
Բրազիլիա	bɾɑzílijɑ
Բրահմա	bɾɑhmɑ́
Բրատիսլավա	bɾɑtislɑ́vɑ
Բրեժնև	bəɾéʒnev
Բրեժնև	bɾéʒnev
Բրետան	bɾetɑ́n
Բրիտանիա	bɾitɑ́nijɑ
Բրյանսկ	bɾjɑnsk
Բրյուսել	bɾjusél
Բրունեյ	bɾunéj
Բրուտյան	bɾutjɑ́n
Գ	ɡə
Գաբիկյան	ɡɑbikjɑ́n
Գաբոն	ɡɑbón
Գաբորոնե	ɡɑboɾóne
Գաբրիել	ɡɑpʰɾijél
Գագ	ɡɑɡ
Գագիկ	ɡɑɡík
Գագո	ɡɑɡó
Գագուլ	ɡɑɡúl
Գագուլիկ	ɡɑɡulík
Գագրա	ɡɑ́ɡɾɑ
Գադես	ɡɑdés
Գազա	ɡɑzɑ́
Գազայի	ɡɑzɑjí
Գազավոն	ɡɑzɑvón
Գալեմճյան	ɡɑlemtʃjɑ́n
Գալեն	ɡɑlén
Գալիլեա	ɡɑliléjɑ
Գալիլեյ	ɡɑliléj
Գալիլիա	ɡɑlilijɑ́
Գալիցիա	ɡɑlítsʰijɑ
Գալյոնճյան	ɡɑljontʃjɑ́n
Գալուստ	ɡɑlúst
Գալստյան	ɡɑləstjɑ́n
Գաղատիա	ɡɑʁɑtijɑ́
Գաղիանոս	ɡɑʁijɑnós
Գամբիա	ɡɑ́mbijɑ
Գամիրք	ɡɑmíɾkʰ
Գայանա	ɡɑjɑ́nɑ
Գայանե	ɡɑjɑné
Գայմագճյան	ɡɑjmɑɡtʃjɑ́n
Գանա	ɡɑnɑ́
Գանգես	ɡɑ́ŋɡes
Գանդի	ɡɑndí
Գանդի	ɡɑ́ndi
Գանդինագար	ɡɑndinɑɡɑ́ɾ
Գանթարճյան	ɡɑntʰɑɾtʃjɑ́n
Գանիմեդ	ɡɑniméd
Գանձակ	ɡɑndzɑ́k
Գաշըգճյան	ɡɑʃəɡtʃjɑ́n
Գառնիկ	ɡɑrník
Գասապյան	ɡɑsɑpjɑ́n
Գասպարյան	ɡɑspɑɾjɑ́n
Գավառ	ɡɑvɑ́r
Գավգամելա	ɡɑvɡɑmelɑ́
Գավրիլ	ɡɑvɾíl
Գարագաշյան	ɡɑɾɑɡɑʃjɑ́n
Գարամանյան	ɡɑɾɑmɑnjɑ́n
Գարեգին	ɡɑɾeɡín
Գարիկ	ɡɑɾík
Գարճյան	ɡɑɾtʃjɑ́n
Գարսևան	ɡɑɾsevɑ́n
Գաֆեսճյան	ɡɑfestʃjɑ́n
Գեղամ	ɡeʁɑ́m
Գեղամյան	ɡeʁɑmjɑ́n
Գեղարքունիք	ɡeʁɑɾkʰuníkʰ
Գենդալֆ	ɡendɑ́lf
Գեջեյան	ɡedʒejɑ́n
Գեռլա	ɡérlɑ
Գեսլեր	ɡesléɾ
Գերմանիա	ɡeɾmɑ́nijɑ
Գերմանիայի	ɡeɾmɑnijɑjí
Գըրպաճյան	ɡəɾpɑtʃjɑ́n
Գիլոյան	ɡilojɑ́n
Գինոսյան	ɡinosjɑ́n
Գիրոկաստրա	ɡiɾokɑ́stɾɑ
Գլենդել	ɡléndel
Գյանջա	ɡjɑndʒɑ́
Գյոթե	ɡjotʰé
Գյոթե	ɡjótʰe
Գյոյգյոլ	ɡjojɡjól
Գյուլազյան	ɡjulɑzjɑ́n
Գյուլասարյան	ɡjulɑsɑɾjɑ́n
Գյուլբենկյան	ɡjulbeŋkjɑ́n
Գյուլեզյան	ɡjulezjɑ́n
Գյումրի	ɡjumɾí
Գյուրջինյան	ɡjuɾdʒinjɑ́n
Գնել	ɡənél
Գոա	ɡoɑ́
Գոհար	ɡohɑ́ɾ
Գողգոթա	ɡoʁɡotʰɑ́
Գոճանյան	ɡotʃɑnjɑ́n
Գոմել	ɡomél
Գոռ	ɡor
Գովաճյան	ɡovɑtʃjɑ́n
Գոտֆրիդ	ɡotfɾíd
Գորբաչով	ɡoɾbɑtʃʰóv
Գորդիոս	ɡoɾdijós
Գորի	ɡoɾí
Գորիս	ɡoɾís
Գորկի	ɡoɾkí
Գուգարք	ɡuɡɑ́ɾkʰ
Գուգլ	ɡúɡəl
Գուգո	ɡuɡó
Գուգուշ	ɡuɡúʃ
Գուգս	ɡukʰs
Գուգսիկ	ɡuɡsík
Գուդաութա	ɡudɑútʰɑ
Գուլահճյան	ɡulɑhtʃjɑ́n
Գումճյան	ɡumtʃjɑ́n
Գույուճյան	ɡujutʃjɑ́n
Գույուջյան	ɡujudʒjɑ́n
Գուջարաթ	ɡudʒɑɾɑ́tʰ
Գուրգեն	ɡuɾɡén
Գվատեմալա	ɡəvɑtemɑlɑ́
Գվինեա	ɡvinéɑ
Գրանիկոն	ɡəɾɑnikón
Գրենադա	ɡɾenɑ́dɑ
Գրենլանդիա	ɡɾenlɑ́ndijɑ
Գրիգոր	ɡɾikʰóɾ
Գրիգորի	ɡɾiɡóɾi
Գրիգորիոպոլիս	ɡɾikʰoɾijopolís
Գրիգորյան	ɡɾikʰoɾjɑ́n
Գրիգորուպոլ	ɡɾikʰoɾupól
Գրոզնի	ɡɾozní
Գևորգ	ɡevóɾkʰ
Գևորգյան	ɡevoɾkʰjɑ́n
Դ	də
ԴՆԹ	dənətʰə́
Դալար	dɑlɑ́ɾ
Դալմաթիա	dɑlmɑ́tʰijɑ
Դաղստան	dɑʁəstɑ́n
Դամասկոս	dɑmɑskós
Դանիա	dɑ́nijɑ
Դանիել	dɑnijél
Դանիելյան	dɑnijeljɑ́n
Դանիիլ	dɑniíl
Դանիշմենդյան	dɑniʃmendjɑ́n
Դանուբ	dɑnúb
Դավթյան	dɑftʰjɑ́n
Դավիթ	dɑvítʰ
Դարակչյան	dɑɾɑktʃʰjɑ́n
Դարբինյան	dɑɾpʰinjɑ́n
Դարդանել	dɑɾdɑnél
Դարեհ	dɑɾéh
Դաքա	dɑ́kʰɑ
Դաքեսյան	dɑkʰesjɑ́n
Դաքքա	dɑ́kʰːɑ
Դեդեյան	dedejɑ́n
Դելի	delí
Դելփիք	delpʰíkʰ
Դելֆիս	delfís
Դեմիրճյան	demiɾtʃjɑ́n
Դեմոկրիտ	demokɾít
Դեմոսթենես	demostʰenés
Դետրոյտ	detɾójt
Դերենիկ	deɾeník
Դի	di
Դիանա	dijɑ́nɑ
Դիարբեքիր	dijɑɾbekʰíɾ
Դիլիջան	dilidʒɑ́n
Դիմատետր	dimɑtétəɾ
Դինգիլյան	diŋɡiljɑ́n
Դիշչյան	diʃtʃʰjɑ́n
Դիոգենես	dijoɡenés
Դիոկղետիանոս	dijokʁetijɑnós
Դիոմեդես	dijomedés
Դիոնիս	dijonís
Դիոնիսոս	djonisós
Դնեպր	dənépəɾ
Դնեպրոպետրովսկ	dnepɾopetɾófsk
Դնեստր	dnéstəɾ
Դնչիկ	dəntʃʰík
Դոբրուջա	dobɾúdʒɑ
Դոլաշյան	dolɑʃjɑ́n
Դոլմայան	dolmɑjɑ́n
Դոլմաջյան	dolmɑdʒjɑ́n
Դոհա	dohɑ́
Դոհա	dóhɑ
Դողրամաջյան	doʁɾɑmɑdʒjɑ́n
Դոմինիկա	dominikɑ́
Դոմինիկոս	dominikós
Դոն	don
Դոնդուրմաջյան	donduɾmɑdʒjɑ́n
Դոնեցկ	donétsʰk
Դոնի	doní
Դորպատ	dóɾpɑt
Դուբայ	dubɑ́j
Դուբլին	dublín
Դուբլին	dúblin
Դուբոսար	dubosɑ́ɾ
Դուբոսարի	dubosɑ́ɾi
Դուբրովնիկ	dubɾovník
Դուդուկչյան	duduktʃʰjɑ́n
