ሀሎ	halo
ሦስተኛ	sostəɲːa
ሦስት	sost
ረቡ	ɾəbu
ረቡዕ	ɾəbuʔ
ሩሲያ	rusija
ሩቅ	ɾukʼ
ሩዝ	ɾuz
ሩጫ	ɾutʃʼːa
ራስ	ɾas
ራብ	ɾab
ሬሳ	ɾesa
ሮም	ɾom
ሮብ	ɾob
ሰላም	sälam
ሰላም	səlam
ሰማንያ	səmanja
ሰባ	səba
ሰባት	səbatː
ሰኞ	səɲːo
ሰው	səw
ሰውዬ	səwɨjːe
ሰዓት	səʔat
ሱቅ	sukʼ
ሲኒማ	sinima
ሳመ	samə
ሳሙና	samuna
ሳምንት	samːɨnt
ሳቀ	sakʼə
ሳቡና	sabuna
ሳት	sat
ሴት	set
ሴትዮ	setɨjːo
ስላሴ	səlasːe
ስልክ	sɨlk
ስሜ	sɨme
ስም	sɨm
ስምንት	sɨmːɨnt
ስር	sɨr
ስንዴ	sɨnde
ስድስት	sɨdːɨst
ስጋ	sɨga
ስፍር	sɨfɾ
ሸለመ	ʃəlːəmə
ሹምብራ	ʃumbɨɾa
ሺ	ʃi
ሺህ	ʃih
ሻይ	ʃaj
ሽመላ	ʃɨməla
ሽምብራ	ʃɨmbɨɾa
ሽንብራ	ʃɨnbɨɾa
ሽንት	ʃɨnt
ሽጉጡን	ʃɨgːutʼun
ሽጉጥ	ʃɨgːutʼ
ሾክ	ʃok
ቀበቶ	kʼəbətto
ቀብድ	kʼəbd
ቀን	kʼän
ቀዝቃዛ	kʼəzkʼəzːa
ቁርስ	kʼurs
ቂንጥር	kʼintʼɨr
ቃል	kʼal
ቅንጡ	kʼɨntʼu
ቋንቋ	kʼwankʼwa
ቋንቋ	kʼʊankʼʊa
ቍርስ	kʼʷɨrs
በሬ	bəɾe
በቅሎ	bəkʼlo
በዳ	bəda
በገና	bəgəna
በጣጢስ	bətʼatʼis
ቡም	bum
ቢራቢሮ	birrabirːo
ቢዛ	biza
ቢጫ	bitʃʼa
ባል	bal
ቤተሰብ	bitəsəbɨ
ቤተክርስቲያን	betäkɨrɨsːtˈjan
ቤቴ	bete
ቤት	bet
ብር	bɨr
ብርቱካን	bɨrtukan
ብቻ	bɨtʃːa
ብዕር	bɨʔɨɾ
ብዙ	bɨzu
ብጫ	bɨtʃʼa
ቪዛ	viza
ተማሪ	tämari
ተማሪ	təmari
ተረከዝ	təɾəkəz
ተስፋ	täsfa
ተቃውሞ	täkʼawmo
ተንታኝ	təntaɲ
ተከፈተ	təkəffətə
ተኮር	tʼäkor
ታሪክ	tärɨkʼ
ታክሲ	taksːi
ትል	tʰɨl
ትምባሆ	tɨmbaho
ቻይ	tʃaj
ነበረ	nəbbəɾə
ነው	nəw
ነገ	nəgə
ነጭ	nətʃʼ
ነፍጠኛ	nəftʼəɲːa
ኑዛዜ	nuzːaze
ንጉሥ	nɨgus
ንጉሦች	nɨgusotʃː
ንግሥት	nɨgɨst
ንግሥቶች	nɨgɨstotʃː
ኖረ	noɾə
አልቦ	ʔalbo
አልተገነባችም	ʔaltəgənəbːatʃːɨmː
አመት	ʔamət
አማራ	amara
አማራጭ	amaratʃʼ
አምሳ	ʔamsa
አምሳግር	ʔamsagɨɾ
አምሳ፡እግር	ʔamsaʔɨgɨɾ
አምስተኛ	ʔamstəɲːa
አምስት	ʔamːɨst
አምበሳ	ʔambəsːa
አምባ	amba
አምጣት	amɨtʼat
አሥራራት	ʔasɾaɾatː
አረሰ	ʔarːəsə
አራተኛ	ʔaɾatːəɲːa
አራት	ʔaɾatː
አርመንኛ	ʔaɾmənɨɲːa
አርሜንኛ	ʔaɾmenɨɲːa
አርባ	ʔaɾba
አርአያ	ʔärʔaja
አስተማሪ	astəmaɾi
አሸለመ	ʔaʃʃəlːəmə
አበባ	abəba
አበባ	aβəβa
አቡነ	abune
አባት	ʔabːat
አብዮት	abʲotʼ
አንበረምሽ	ʔambärämɨʃ
አንበሳ	ʔambäsa
አንበሳ	ʔanbəsːa
አንተ	ʔantə
አንቱ	ʔantu
አንቺ	ʔantʃi
አንደኛ	ʔandəɲːa
አንዲት	ʔandit
አንድ	ʔand
አንግልኛ	ʔangɨlɲa
አዋጁ	ʔawadʒu
አውሮፓ	awropa
አዘመተ	ʔazzəmːətə
አዝማሪ	ʔäzmari
አይደለም	ʔajdəlːəmː
አዲስ	adis
አዲስ	ʔadːis
አገር	ʔägär
አጥር	atʼer
አጻፈ	ʔatstsʼafə
አፍ	əf
አፍንጫ	ʔafɨntʃʼa
ኡነት	ʔunət
ኢትዮጵያ	itijopʼja
ኢትዮጵያ	itʰiopʼia
ኢኮኖሚ	ʔɨkonomi
እምስ	ʔɨms
እምነት	ʔɨmnät
እረ	ʔɨrä
እረኛ	ʔɨräɲːa
እሪስቅ	ʔɨɾiskʼ
እራስ	ʔɨɾas
እራብ	ʔɨɾab
እርሱ	ʔɨɾsu
እርሳቸው	ʔɨɾsatʃːəw
እርስዎ	ʔɨrsʷo
እርስዎ	ʔɨɾsɨwo
እርሷ	ʔɨɾsʷa
እርዳታ	ɨrdata
እሮብ	ʔɨɾob
እሱ	ʔɨsːu
እሳት	ʔɨsat
እሳቸው	ʔɨsːatʃːəw
እሴት	ʔɨset
እስራኤል	ʔɨsɨraʔel
እስትንፋስ	ʔɨstɨnfas
እስዎ	ʔɨsːɨwo
እሷ	ʔɨsːʷa
እሾክ	ʔɨʃok
እት	ʔɨt
እቺ	ʔɨtʃːi
እች	ʔɨtʃː
እኅት	ʔɨhɨt
እነማን	ʔɨnːəman
እነርሱ	ʔɨnːəɾsu
እነሱ	ʔɨnːəsːu
እነዚህ	ʔɨnːəzːih
እነዚያ	ʔɨnːəzːija
እና	ʔɨnːa
እናት	ʔɨnːat
እናንተ	ʔɨnːantə
እናንት	ʔɨnːantɨ
እኔ	ʔɨne
እንቋዕ	ʔɨnkwäʔ
እንጀራ	ʔɨndʒəra
እንግሊዝ	ʔɨngɨliz
እኛ	ʔɨɲːa
እዛብ	ʔɨzab
እድገት	ʔɨdgät
እጅ	ʔɨdʒː
እግረኛ	ʔɨgrəɲːa
እግር	ʔɨgɨɾ
እግርጌ	ʔɨgɨrge
እጡብ	ʔɨtʼub
ከለከለ	kələkələ
ከሰላ	kəsəla
ከሰረት	kəsəɾət
ከሰሰ	kəsəsə
ከስከሴ	kəskəsːe
ከፈተ	kəffətə
ክረምት	krəmt
ክረምት	kɨrəmt
ክርስትና	krɨstɨnːa
ክርክራ	kɨɾkɨrːa
ክብ	kɨb
ክብር	kɨbɨɾ
ክብር	kɨbɾ
ክንፍ	kɨnf
ኮሶ	koso
ኮሶኛ	kosoɲːa
ኮከብ	kokəb
ኳሰ	kʷasə
ኳስ	kʷas
ወምበር	wəmbəɾ
ወኔ	wənːe
ወንበር	wənbəɾ
ወንዝ	wənz
ወንድም	wəndɨmː
ወንድምዬ	wəndɨmmɨjːe
ወይፈን	wəjfən
ወፍ	wəf
ዉሻ	wuʃːa
ዋና	wana
ዋና	wanːa
ውሻ	wɨʃːa
ውሻዎች	wɨʃːawotʃː
ውሾች	wɨʃːotʃː
ዐሥራ	ʔasɾa
ዐሥራምስት	ʔasɾamːɨst
ዐሥራንድ	ʔasɾand
ዐሥር	ʔasːɨɾ
ዐባይ	ʔabːaj
ዓመት	ʔamət
ዕጣን	ɨtʼan
ዘመተ	zəmːətə
ዘመን	zämäɲ
ዘር	zər
ዘነዘና	zənəzəna
ዘጠና	zətʼəna
ዘጠኝ	zətʼəɲː
ዛብ	zab
ዛፍ	zaf
ዜሮ	zeɾo
ዝምብ	zɨmb
ዝናብ	zɨnab
ዝንብ	zɨnb
ዝግጁ	zɨgdʒu
የሕዝብ	yähɨzɨb
የርሱ	jəɾsu
የርሷ	jəɾsʷa
የሱ	jəsːu
የሷ	jəsːʷa
የቱ	jətu
የቲቱ	jətitu
የት	jət
የትኛው	jətɨɲːaw
የቷ	jətʷa
የነርሱ	jənːəɾsu
የነሱ	jənːəsːu
የናንተ	jənːantə
የኔ	jəne
የኛ	jəɲːa
የአትክልት	yäʔatkɨltä
የኢትዮጵያ	yäʔityopʲa
ያ	ja
ያቺ	jatʃːi
ያች	jatʃː
ያንተ	jantə
ያንቺ	jantʃi
ይህ	jɨh
ይህቺ	jɨhɨtʃːi
ይህች	jɨhɨtʃː
ይቺ	jɨtʃːi
ይች	jɨtʃː
ደመና	dəmːəna
ደም	dəm
ደብዳቤ	dəbdabːe
ደንዳና	dəndanːa
ደግ	dəgː
ዲዳ	dida
ድመት	dɨmːət
ድምፅ	dɨmsʼ
ድንች	dɨnːɨtʃː
ድንጋይ	dɨngaj
ድዳ	dɨda
ዶሮ	doɾo
ጀብዱ	dʒəbdu
ጃርት	dʒart
ጅራት	dʒɨrat
ጅብዱ	dʒəbdu
ገረድ	gəɾəd
ጉልበት	gulbət
ጉማሬ	gumarːe
ጉበት	gubːət
ጌታ	geta
ጌጥ	getʼ
ግራ	gɨɾa
ግራ	gɾa
ግርጌ	gɨrge
ግንቦት	gɨnbot
ጓደኛ	gʷadːəɲːa
ጠረጴዛ	tʼəɾəpʼːeza
ጠጣ	tʼətʼːa
ጡብ	tʼub
ጡት	tʼut
ጣት	tʼat
ጥርስ	tʼɨɾs
ጥበብ	tʼɨbəb
ጨረቃ	tʃʼəɾəkʼa
ጨው	tʃʼəw
ጭስ	tʃʼɨs
ጭንቅላት	tʃʼɨnkʼɨlːat
ጳውሎስ	pʼawlos
ጻፈ	tsʼafə
ፀሐይ	tsʼəhaj
ፈረስ	fəɾəs
ፈርጥ	fəɾtʼ
ፊልም	film
ፊት	fit
ፊደል	fidəl
ፍትሕ	fɨtːɨh
ፖለቲካ	polətika
ፖሊስ	polis
ፖስታ	posta
