অ	a
আউলিয়া	au̯li̯aˑ
আওতা	ao̯t̪aˑ
আওয়াজ	aʊ̯adʒ
আওরঙ্গজেব	ao̯ɹɔŋgdʑeb
আওরঙ্গজেব	ao̯ɹɔŋgzeb
আওরঙ্গজেব	ao̯ɾɔŋgdʒeb
আওরঙ্গজেব	ao̯ɾɔŋgzeb
আকবর	akbɔɹ
আকবর	akbɔɾ
আকসার	aksaɹ
আকসার	aksaɾ
আকাদেমি	akad̪emiˑ
আকাশ	ˈakas
আকাশসীমা	akasʃima
আকুল	akul
আক্রমণ	akɾˈomˈon
আক্রান্ত	akɹant̪oˑ
আক্রান্ত	akɾant̪oˑ
আখ	ax
আখ	aːk
আখতার	akt̪aɹ
আখতার	akt̪aɾ
আখতার	axt̪aɹ
আখতার	axt̪aɾ
আখবার	akʰbaɹ
আখবার	akʰbaɾ
আখের	akʰeɹ
আখের	akʰeɾ
আখেরাত	akʰeɹat̪
আখেরাত	akʰeɾat̪
আগন	agon
আগস্ট	agost
আগস্ট	agosʈ
আগস্ট	agoʂʈ
আগা	agaˑ
আগাজ	agadʑ
আগাজ	agadʒ
আগাজ	agaz
আগানো	aganoˑ
আগুন	agun
আগে	agɛ
আগ্নেয়গিরি	agnee̯giɹiˑ
আগ্নেয়গিরি	agnee̯giɾiˑ
আঘণ	agʱon
আঙিনা	aŋinaˑ
আঙুর	aŋuɹ
আঙুর	aŋuɾ
আঙুল	aŋul
আঙ্গুর	ɑŋguɾ
আঙ্গুল	aŋgul
আচরণ	atʃəɾn
আচার	atɕaɹ
আচার	atʃaɾ
আছে	aseˑ
আছে	asɛˑ
আছে	atɕʰeˑ
আছে	atʃʰeˑ
আছে	aːtʃʰe
আজ	aʒ
আজকে	aske
আজব	adʑob
আজব	adʒob
আজম	adʑom
আজম	adʒom
আজম	azom
আজমায়েশ	adʑmae̯ʃ
আজমায়েশ	adʒmae̯ʃ
আজমায়েশ	azmae̯ʃ
আজাইড়া	adʑae̯ɾaˑ
আজাইড়া	adʑai̯ɾaˑ
আজাইড়া	ad̪zai̯ɾaˑ
আজাইড়া	ad̪zaɛɾaˑ
আজাইড়া	azai̯ɾaˑ
আজাইড়া	azaɛɾaˑ
আজাড়ে	adʒaɽeˑ
আজাড়ে	adʒaɾeˑ
আজাদ	adʑad̪
আজাদ	adʒad̪
আজাব	adʑab
আজাব	adʒab
আজার	adʑaɾ
আজার	adʒaɾ
আজার	ad̪zaɾ
আজার	azaɾ
আজি	adʑiˑ
আজি	adʒiˑ
আজিজ	aziz
আজিজা	azizaˑ
আজুড়ে	adʒuɽeˑ
আজুড়ে	adʒuɾeˑ
আজ্ঞা	agːaˑ
আজ্ঞে	agːeˑ
আঞ্জুমান	andʑuman
আঞ্জুমান	andʒuman
আট	at
আট	aʈ
আট	aːt
আট	aːʈ
আটচল্লিশ	atɔtɕɔlːiʃ
আটচল্লিশ	aʈɔtʃɔlːiʃ
আটা	ataˑ
আটা	aʈaˑ
আটা	aʈːa
আঠা	aʈ̟ʰa
আড়াই	aɹai̯
আড়াই	aɽai̯
আড়াই	aɾai̯
আড়াল	aɹal
আড়াল	aɽal
আড়াল	aɾal
আণ	änoˑ
আণ্ডা	andaˑ
আণ্ডা	aɳɖaˑ
আতর	at̪oɹ
আতর	at̪oɾ
আতশ	at̪oʃ
আতশকাচ	at̪ɔʃkatɕ
আতশকাচ	at̪ɔʃkatʃ
আতশবাজি	at̪ɔʃbaziˑ
আতা	ata
আতা	at̪aˑ
আত্মা	at̪ːaˑ
আদম	ad̪om
আদমশুমার	äd̪ɔ̝ms̠umäˑɾ
আদমশুমারি	adomʃumari
আদমী	ad̪omiˑ
আদর	ad̪oɹ
আদর	ad̪oɾ
আদর্শ	ad̪oɹʃoˑ
আদর্শ	ad̪oɾʃoˑ
আদা	ad̪aˑ
আদালত	ad̪alɔt̪
আদিবাসী	ad̪ibaʃiˑ
আদিবাসী	aðiʝaʃi
আদেশ	ad̪eʃ
আধুনিক	ad̪ʱunik
আধুনিকীকরণ	ad̪uniˑkiˑkɾon
আনন্দ	anond̪oˑ
আনন্দবাজার	anɔnd̪bdʒaɾ
আনা	anaˑ
আনা	ˈana
আনাড়ি	anaɹiˑ
আনাড়ি	anaɽiˑ
আনাড়ি	anaɾiˑ
আনারস	anaɹɔʃ
আনারস	anaɾɔʃ
আনিমে	ɑnime
আনোয়ার	ano̯aɹ
আনোয়ার	ano̯aɾ
আন্টার্কটিকা	antaɹktikaˑ
আন্টার্কটিকা	aɳʈaɾkʈikaˑ
আন্তঃনগর	ant̪ɔnogɔɹ
আন্তঃনগর	ant̪ɔnogɔɾ
আন্তর্জাতিক	ant̪ɔɹdʑat̪ik
আন্তর্জাতিক	ant̪ɔɾdʒat̪ik
আন্তর্জাল	ant̪ɔɹdʑal
আন্তর্জাল	ant̪ɔɾdʒal
আন্দাজ	and̪adʑ
আন্দাজ	and̪adʒ
আপকাওয়াস্তে	apɔkao̯ast̪eˑ
আপন	apon
আপন	aˈpɔl
আপনাকে	apnakeˑ
আপনাদের	apnad̪eɹ
আপনাদের	apnad̪eɾ
আপনার	apnaɹ
আপনার	apnaɾ
আপনারা	apnaɹaˑ
আপনারা	apnaɾaˑ
আপনারে	apwnare
আপনি	apniˑ
আপনি	əpni
আপা	apaˑ
আপেল	apel
আপেল	apɛl
আপোসকামী	aposkami
আফজল	afdʑɔl
আফজল	afdʒɔl
আফতাব	aft̪ab
আফসোস	afsos
আফিম	afim
আফ্রিকা	afɹikaˑ
আফ্রিকা	afɾikaˑ
আফ্রোদিতি	afɹod̪it̪iˑ
আফ্রোদিতি	afɾod̪it̪iˑ
আব	ab
আব	aːb
আবরণ	aboron
আবহাওয়া	aboɦao̯aˑ
আবার	abaɹ
আবার	abaɾ
আবির	äbiˑɾ
আবিষ্কর্তা	abiʃkoɾt̪a
আবিষ্কার	abiʃkaɹ
আবিষ্কার	abiʃkaɾ
আবু	abu
আবুধ	abud̪
আবেগ	abeg
আবেগ	aˈbɛg
আবেদ	abed̪
আবেদন	abeð̞ɔn
আব্দুল	abd̪ul
আব্দুল্লাহ	abd̪ulːaˑ
আব্বা	abːaˑ
আব্বু	abːuˑ
আভা	abʱaː
আম	am
আম	aːm
আমরা	amɹaˑ
আমরা	amɾaˑ
আমল	amol
আমলে	amole
আমাকে	amakɛ
আমাগর	amagɔ
আমাগর	aŋgɔ
আমাগর	aŋgɔɾ
আমাদের	amad̪eɹ
আমাদের	amad̪eɾ
আমানত	amanɔt̪
আমার	amaɹ
আমার	amaɾ
আমার	ɑmɑɾ
আমারে	amaɹeˑ
আমারে	amaɾeˑ
আমাশয়	amaʃɔe̯
আমি	amiˑ
আমি	ˈami
আমীর	amiɹ
আমীর	amiɾ
আমেজ	amedʑ
আমেজ	amedʒ
আমেজ	amez
আমেরিকা	ameɹikaˑ
আমেরিকা	ameɾikaˑ
আমেরিকা	amɛɾika
আয়না	ae̯naˑ
আয়াতুল্লাহ	ae̯at̪olːaɦ
আয়াতুল্লাহ	ae̯at̪ulːaɦ
আয়ুর্বেদ	ae̯uɹbed̪
আয়ুর্বেদ	ae̯uɾbed̪
আয়েশা	ae̯ʃaˑ
আযান	adʑan
আযান	adʒan
আযাব	adʑab
আযাব	adʒab
আর	aɹ
আর	aɾ
আর	aːɾ
আর	ɑɾ
আরও	aro
আরজ	aɹodʑ
আরজ	aɾodʒ
আরজুমান্দ	aɹdʑuman
আরজুমান্দ	aɹdʑumand̪
আরজুমান্দ	aɾdʒuman
আরজুমান্দ	aɾdʒumand̪
আরতি	aɹot̪iˑ
আরতি	aɾot̪iˑ
আরব	aɹɔb
আরব	aɾɔb
আরা	aɾa
আরা	aɾap
আরাফাত	aɾafat̪
আরাম	aɹam
আরাম	aɾam
আরাম	ɐˈɾɑːm
আরিফ	aɾif
আরে	aɹeˑ
আরে	aɾeˑ
আরেক	aɹɛk
আরেক	aɾæk
আরো	aɾˈo
আর্জি	aɹdʑiˑ
আর্জি	aɾdʒiˑ
আর্তব	äɾt̪oˑb̥᪽
আর্দ্র	aɹd̪ːɹoˑ
আর্দ্র	aɾd̪ːɾoˑ
আর্মেনিয়া	aɹmeni̯aˑ
আর্মেনিয়া	aɾmeni̯aˑ
আর্য	aɹdʑoˑ
আর্য	aɾdʒoˑ
আলকাতরা	alkat̪ːɹaˑ
আলকাতরা	alkat̪ːɾaˑ
আলগা	algaˑ
আলপনা	alponaˑ
আলপাকা	alpak
আলবেনিয়া	albeni̯aˑ
আলভী	ɐlbʱiˑ
আলভী	ɐlviˑ
আলভী	ɐlβiˑ
আলভী	ɐlᵊbʱiˑ
