a	ɑ
aankyk	ɑŋkəχ
aanleiding	ɑːnˈlɛi̯əŋ
aanlok	ɑːnˈlɔk
aanloklik	ɑːnˈlɔklək
aanloklikhede	ɑːnˈlɔkəlɪkəde
aanlyn	ɑːnˈlən
aanlê	ɑːnˈlɛː
aanmaan	ɑːnˈmɑːn
aanmatiging	ɑːnˌmɑːtəˈχiŋ
aanmekaar	ɑːnmɛkɑːr
aanmeld	ɑːnˈmɛɫt
aanmeldbare	ɑːnˈmɛldbəʁə
aanmerking	ɑːnˈmɛrɪŋ
aanmerklik	ənmˈɛrklək
aanmoedig	ɑːnmʊi̯diχ
aanmoediging	ɑːnmudəˈχiŋ
aannames	ɑːˈnɑməʃ
aanneem	ɑːnəˈmɛm
aanneming	ɑːˈnɛːmɪŋ
aannemingsdokument	ɑːnəˈmɪŋsdɔkʏˌmɛnt
aanpak	ɑːnˈpɑk
aanpas	ɑːnˈpɑs
aanpassing	ɑːnˈpəsɪŋ
aanpassings	ɑːnˈpəsɪŋs
aanraak	ɑːnˈrɑːk
aanraking	ɑːnˈrɑːkɪŋ
aanrandings	ɑːnrɑːndɪŋs
aanrollende	ɑːnˈrɔləi̯ndə
aansien	ɑːnsiən
aansit	ɑːnˈsɪt
aansit	ɔːnsˈeːt
aanskakel	ɑːnˈskɑkəl
aanskou	ɑːnˈskuː
aanskryf	ɑːnˈskrəf
aanslaan	ɑːnslɑːn
aanslag	ɑːnˈslɑχ
aanslag	ɔːnslˌɑh
aansluit	ɑːnslœi̯t
aansluiting	ɑːnslœi̯tɪŋ
aansmeer	ɑːnˈsmiːr
aansoek	ɑːnˈsuk
aanspoor	hanspuːər
aansporing	ɑːnsˈpɔːrɪŋ
aanspraak	ɑːnspraːk
aanspreek	ɑːnspɹɛk
aansteek	ansˈtˈiɹ
aansteek	ɑːnˈstɪk
aansteeklik	ɑːnstiːəklik
aansteeklik	ɑːnˈsteːkələk
aanstel	ɑːnˈstɛl
aanstellerig	ɑːnˌstɛləˈrɪχ
aanstellerige	ɑːnˈstɛləɾiχə
aanstelling	ɑːnˈstɛlɪŋ
aanstuur	ɑːnˈstyːr
aantal	antau
aantal	ɑˈtɑːl
aantas	ɑːˈtɑːns
aanteken	ˈɑːntəˌkɛn
aantekeninge	ˈɑːntəˌkɪŋə
aantog	entˈɔɹ
aantree	ɑːntrɪ
aantrek	ɑːntrɛk
aantrekking	ˈɑːntrɛkɪŋ
aantrekkingskrag	əntrɛkɪŋskrɑχ
aantreklik	antrˈɛklˈa
aantreklik	ˈɑːntrɛklək
aanvaar	ɑːnˈfɑːr
aanvaarbaar	ɑːnˈfɑːrˌbɑːr
aanvaardingseksamen	ɑːnˈfɑːi̯ŋsɛkˌsɑːmən
aanval	ɑːnˈfɑl
aanvalle	ɑːnˈfɑlə
aanvaller	ɑːnˈfɑːlə
aanvalsposisie	ɑːnvɑlsˈpɔsi
aanvalsvliegtuig	ɑːnˈfɑlsfiːχtœyχ
aanvang	ɑːnˈfɑŋ
aanvanklik	ɑːnˈfɑŋklək
aanvoerder	ɑːnfuːɾdər
aanvoerders	ɑːnˈfœrdərs
aanvra	ɑːnˈfrɑː
aanwakker	ɑːnʋɑkər
aanwas	onvˈɔs
aanwesiges	ɑːnˈʋɛsiχəs
aanwys	ɑŋveis
aanwysing	anvəisˌeɪŋ
aanwysings	ɑːnˈʋiisɪŋs
aanzoek	ɑːnˈsuk
aap	ɑːp
aapgesig	ɑːpχəˈsɪχ
aapstreke	ɑːpstrɛkə
aar	ɔɾ
aarbei	ɑrbɑj
aarbei-soda	ɑːrˈbɛisɔda
aarbeie	ɑːrˈbiːə
aarbeistroop	ɑːrˈbɛɪ̯strʊp
aard	ɑːrət
aard	ɑːst
aardbewing	aːrtbeːrˈɛŋ
aarde	ɑːrdə
aardige	ɑːrdiχə
aardmassa	ɑːrdˈmɑsə
aards	arts
aardse	ɑːrtsə
aardwolf	artvolf
aardwolf	ɑːrtvoɫf
aarsel	ɑːrsəl
aartappelgesiggie	ɑːrtɑpəlxəsiχi
aartappels	ɑːrtɑpəls
aartappelskille	ɑːrˌtɑpəlskɪlə
aartappeltjies	ɑːrtɑpəlcəj
aartsengel	ɑːrtsəŋəl
aartshertogin	ɑːrtsɦɛrtɔχɪn
aartsvyand	ɑːrtsfjɑːnt
aas	as
aas	ɑːs
aasvoël	aːsfəl
aasvoëls	ɑːsˈfœəls
abakus	abakas
abbado	ˈɑβo
abbe	ˈæbə
abbs	æp
abby	əˈβi
abeele	ɑˈβilə
aborteer	əˈbɔrteːr
about	əˈbʌt
abraham	əˈbɹaːm
abschied	ˈɑpʃɪt
absolusie	əpsəˈlusiə
absolute	ɑbsɔluːt
absoluut	abˈsɪlɪt
absoluut	əpsəˈlœy̯t
absolvo	əpˈsɔlvo
absorbeer	əpsɔrˈbɪr
absorbeerden	əpsɔrˈbɪə̯ɾən
abstrak	ɔpstrɔk
abstrakte	əpˈstrɑktə
absurd	əpˈsɜːrt
absurde	əpˈsœːrdə
absurdste	əpˈsɜːrtstə
abuis	əˈbœy̯s
abyaneh	əˈβɑːnəx
accompli	əˈkɔmplɪ
according	əˈkɔːrdʒɪŋ
acipenser	əˈsipənsər
acrylaathars	əˈkrɪləɑtsɑrs
adam	ˈɑːdəm
adamek	əˈdamək
adamowski	ˈɑdamɔski
adder	ˈɑːdər
addres	əˈdrɛs
adel	aːdaːl
adel	ˈɑːdəl
adel-status	ˈɑːdəlˌstatəs
adele	ɑˈdɛlə
adelheid	ˈɑːdəlɦɛit
adelik	ˈɑːdəlɪk
adelike	əˈdeːlikə
adelikes	əˈdeːlɪkəs
adelikheid	əˈdɛlikɦɛit
adeline	əˈdeːlɪnə
adellike	əˈdɛlikə
adellikes	əˈdɛlikəs
adelstand	ˈɑːdəlstand
adem	ˈɑːdəm
adenauer	ˈɑdənɑʊ̯r
adi	ɑːdi
adieu	ɑˈdiːu
adina	əˈdiːna
adine	əˈdiːnə
adjectieven	əˈdʃɛkʃivə
adjektiewe	ˈɑgɟɛktive
adjudant	ˈɑːdʒudɑːnt
adjudant-generaal	əˌdjudaŋgəˈreːl
administrasie	atministruɔsi
administratief	əˌdɪnminəˈstriːətəf
administratiewe	əˌdminɪˈstriːtɪfɛ
admiraal	ɑːdmɪrɑːl
admiral	əˈdmirəl
admiraliteit	əˌdmiraləˈtɛɪ̯t
admireer	əˈmiːrɪə
admit	əˈmɪt
adolf	ˈɑːdɔlf
adopsie	əˈdɔpsi
adres	əˈdrɛs
adresse	əˈdrɛsə
adriaenszoon	əˈdiːrɪənsʊn
adrian	əˈdriən
adverteerders	ˈɑɾfərteːrdərs
advertensie	atfɛrtɛntsɪ
advertensie	əˈdɛrtənsi
advies	atvis
advies	əpˈfɪs
adviseer	əpˈfɪsəɾ
adviseur	əpˈsɪə̯r
adviseurs	əpˈsɪə̯rs
advokaat	atˈvɔkɑt
advokaat	ɑɸvɔˈkɑːt
advokate	əˈfɔkətə
af	ɑːf
af	ˈɔf
af-forseer	əfɔrˈsɪr
afbeeldings	əfˈbɛə̯lɪŋs
afbeweeg	ˈɑfbəʋeːχ
afbreek	afbr̝eːk
afbreek	ɑfˈbreːk
afbreuk	afbrjɛk
afbring	əfˈrɪŋ
afdeling	əfˈdɛlɪŋ
afdeling	ˈɑfdeːlɪŋ
afdelings	ˈɑfdələŋs
afdraai	əfdrɑːi
afdruk	əfdrʏk
afdrukke	əfdrʏkə
afdwingbaar	ˈɑfdʋəŋχɑːr
affair	əˈfɛr
affairs	əˈfɛə̯rs
affekteer	əˈfɪktəːr
affere	əˈfɛrə
affêre	əˈfɪr
afgaan	əɸkɑːn
afgaande	ɑfˈχɑːndə
afgebrand	ɑfχˈbrɑnt
afgebreek	ˈɑfχəˌbrek
afgebyt	əɸχəɪ̯pt
afgedank	ˈɑfχəˌdɑŋk
afgedraai	ˈɑfχəˌdraːi̯
afgee	əɸkə
afgegaan	əɸχəɣɑːn
afgegooi	əɸkəˈgœi
afgehaal	əfxɑːl
afgehad	afɣaɾat
afgehandel	əɸχɛndəl
afgekap	əfˈkɑp
afgekapte	ɑfˈkɑptə
afgekeur	əɸkɪə̯r
afgeklim	əfχəklɪm
afgeknou	əpχnəu
afgekom	əpχɔm
afgekondig	əɸkəˈkʌi̯əx
afgelas	əɸχəlɑs
afgeleef	əgəlif
afgelei	ɑfχəˈlɪ
afgelewer	əɸχələˈʋɛr
afgeleë	afɣəleːeː
afgeloop	əɸχəˈloʊp
afgelope	əgəlʊpə
afgelê	ɑfχəˈle
afgemaak	əɸχəˈmɑːk
afgemat	ɑfχəˈmɑt
afgemerk	əɸχəˈmɛrk
afgeneem	əgəˈnim
afgepers	ɑfˈpɛrs
afgeraai	əɸχəˈɹɑi̯
afgesaagde	əfsɑχdɛ
afgesit	ɑfsɪt
afgeskaf	ˈɑfksɑf
afgeskakel	ɑfsəˈkɑlə
afgeskei	ɑfˈkəsɪ
afgeskeidenes	ˈɑfʃəˌkɛɪ̯dənəs
afgeskiet	əfsʰiːt
afgeskryf	əfsχrəf
afgeslaan	ˈɑfkslaːn
afgesloof	ˈɑfsəloːf
afgesluit	ˈɑfsɛlœi̯t
afgesny	ɑfsəˈsnɪ
afgesonder	ɑfˈkəsɔndər
afgesonderd	ˈɑfχəsɔndərt
afgesper	ˈɑfspər
afgespreek	əfsprɛk
afgespring	ˈɑfsrɪŋ
afgesproke	ɑfsprɔkə
afgestaan	ɑfˈkistɑːn
afgestel	ˈɑfgəˌstɛl
afgestoot	əfsɛtʃʊt
afgestry	əfsˈtrəi̯
afgestudeerde	əfˈɦɪstudyːɾə
afgetree	əχˈfɪtri
afgetrek	əgfəˈtrɛk
afgetrokke	əgfəˈtrɔkə
afgevaardigde	əɸkəˈfɑːrdiχə
afgevaardigdes	əɸkəˈfɑːrɪəɣə
afgeval	əɸkəˈfɑl
afgevee	əɸkəˈfi
afgevra	əɸkəfrɑ
afgeweer	əɸkəˈʋiːr
afgewerk	ɑfˈχɛrg
afgewyk	ɑfˈkɔi̯k
afgewys	əɸkəβɪs
afghaanse	ɑfˈχɑjsə
afghanistan	ɑfˈχɑnɪˌstɑn
afgod	afɣoːt
afgod	ɑːfχɔt
afgooi	ɑːfˈkɔi̯
afgradeer	əˈfɹaχdeːr
afgrond	afɣrɔnt
afgrond	əɸχrʊnt
afgryslik	ɑːfχrəslik
afgryslike	əɸrɪə̯sləkə
afguns	ɑfˈkuns
afguns	ˈɔfrˈɵns
afhaal	əˈfɑːl
afhalen	əˈfɑləŋ
afhandel	afandɑl
afhandel	əfˈhɑndəl
afhandeling	əfˈɦɑndəlɪŋ
afhang	əˈfɑŋ
afhanklik	afandklɯk
afhanklik	əˈfɔŋkələk
afhanklikheid	əˈfɔŋkələkɦɪə̯t
afhelp	əfˈhɛlp
afkap	əfˈkɑp
afkeer	əfˈkɪə̯r
afklim	ɑfˈklɪm
afknou	afknˈoː
afkom	əfˈkɔm
afkoms	afkˈɔms
afkomstig	əfˈkɔmstɪχ
afkondig	əfˈkɔndəx
afkondiginge	əfˈkɔndiχiŋə
afkry	əfkrʏ
aflaai	aflɑːj
aflaai	əˈflɑːi
aflandige	əˈflaɲɪχə
afleer	afleːɾ
afleer	əˈflɪə̯r
aflei	əˈflɛi̯
afleidende	əˈfliːdənə
afleiding	əˈflɛi̯əŋ
aflek	əˈfɫɛk
aflewer	ɑfˈlɪrɯ
aflewer	əfləʋər
aflewering	əfləˈrəiŋ
afloop	əˈfloːt
aflos	əˈflɔs
aflosonderwyser	əflɔsɔndərʋɪsər
afloswerk	əˈflɔsvərk
afluister	əˈflœi̯stər
afluisterapperaat	əˈflœstəraːpəˌrɑːt
afmaai	ɑfˈmɑi̯
afmeet	əfˈmit
afmeting	əfˈmɛtəŋ
afmetings	əfməˈtəŋs
afname	əfnɑːmə
afneem	əfnɪm
afpersing	afpɛrseŋ
afpersing	əf̥pəɹsɪŋ
afrekening	əˈfrɛkəŋ
afrekeninge	əˈfrɪkənɪŋə
afrig	əˈfrɪχ
afrigter	əˈfrɪχtər
afrika-avonture	əˈfriːkəˌɑːvɔnˈtʊrə
afrikaans	afɾɪkˈɑns
afrikaans	afɾˈɛkˈɑls
afrikaans	əˈfriːkɑːns
afrokkel	əˈfrɔkəl
afrond	afruːnt
afrondingsaal	əfrɔndiŋsɑːl
afronteer	əˈfɹɔntiːr
afsien	əfsɪən
afsit	əfsɪt
afskakel	afskakɑl
afskakel	ˈɑfskɑkəl
afskei	ˈɑfsʰkɛi
afskeid	əfsˈkɛit
afskeidsbrief	ˈɑfskei̯tsˌbrif
afskeidsete	ˈɑfskɛi̯tsətə
afskeidskus	əfsˈkɛitskœs
afskrif	əfsχrɪf
afskrik	əfsχrɪk
afskrikmiddel	afskrɛkmɛdˈal
afsku	əfsɟy
afskuwelik	ɑːfskiːvənək
afskuwelik	əfsɟuəˈlək
afskuwelike	əfsɪuəˈlɪkə
afslaan	əfslaːn
afslaandak	ɑfslɑːndɑk
afslaandakke	ɑfslɑːndɑkə
afslag	ɑfslɑh
afsluit	əfsɫœi̯t
afsny	ɑfsni
afsnyding	ˈɑfsnʏə̯ŋ
afsonder	əfsɔndər
afsondering	afsʊndərˈam
afsonderlik	əfsɔndərlək
afspoel	əfsˈpul
afspraak	ɑːfˈsprɑːk
afsprak	əfsprɑk
afspreek	afspɾie
afstaan	ˈɑfstaːn
afstam	ˈɑfstɑm
afstammeling	ˈɑfstatməlɪŋ
afstammelinge	əfsˈtɑməˌlɪŋə
afstamming	ˈɑfstatmɪŋ
afstand	afstˈɑnt
afstand	əˈfstɑnt
afstandbeheerde	əfsˈtɑntbɛˌɦeːrdə
afstande	əˈfstɑːndə
afstandsbediening	ˈɔfstˌɑnzbədˈinən
afsterwe	ˈɑfstərʋə
afstoot	əfsˈtʊə̯t
afstootlik	ˈɑfstoːtlik
afstootlikheid	ˈɑfstoːtləkəit
afstort	ˈɑfstɔrt
afstroom	əfstrʊm
after	ˈɑːftər
aftrede	aːftrɛdˌeː
aftrede	ˈɑftrəde
aftree	astrɪa
aftree	əftriː
aftrek	ˈɑftrɛk
afvaardiging	əfˈfɑːrdiχɪŋ
afval	ɑfˈfɑl
afvat	əˈfɐt
afvee	əˈfɪə
afvra	əfˈfɹa
afwaardeer	əfˈvɑːrdeːr
afwaarts	afvɑːrts
afwaarts	əfˈfɑːrts
afwag	əfˈvɑχ
afwas	əfˈvas
afweer	əfˈvɪr
afweergeskut	əfˈfɪə̯rɣəˌskʏt
afweersystemen	əfˈfɪə̯sɪstəˌmɛn
afwerkers	əˈfɜrkərs
afwerking	əˈfœrɪŋ
afwesig	əˈfəsəx
afwesige	əˈfəsɪχə
afwesigheid	əfˈvɛsiɦəi̯t
afwyk	əfʏk
afwykende	əfˈfɪkənde
afwyking	əfˈfɪkɪŋ
afwykings	əfˈfɪkɪŋs
ag	ɑx
ag	ˈaːx
again	əˈgeɪ̯n
agatha	əˈgatə
agda	ɑɣda
agenda	əˈχɛndə
agent	əˈχɛnt
agente	əˈχɛntə
agentskap	əˈgɛnʃkɑp
agentskappe	əˈgɛntskəpə
aggresief	əgrəsiːf
aggressief	əgrɪˈsiːf
agi	əgi
agie	əgi
agitasie	əχitɑsiə
agitators	əχiˈtɑːtɔːrs
agneem	ɑːnɪəm
agnemend	əŋəˈmɛnt
agnes	ˈɑgənəs
agnieszka	əgnɪʃkə
agnès	əgnɛs
ago	əˈgoʊ
agoult	əˈgʊlt
agressief	əˈgrɛsiːf
agste	axte
agt	ɑχt
agter	ɑχtər
agter-ent	ɑχtərˈɛnt
agterbly	ɑχtərˈbləi̯
agterblywendes	ˈɑχtərˌbləʊvəndəs
agterbuurt	ɑχtərbyːrt
agterdeur	ɑχtərdɪʏ̯r
agterent	ɑχtərɛnt
agtergekom	ˈɑχtərɣʊkʏm
agtergelaat	ɑχtərχəˈlɑːt
agtergrond	ɑxtərxrɔm
agtergrond	ɑχtərχrɔnt
agterhoede	ˈɑχtərˌɦuːdə
agterkamerpolitiek	ɑχtərkɑməɾpoliːtik
agterkant	ˈɑχtərˌkɑnt
agterkleinkind	ˈɑχtərkɫəiŋkɪnt
agterkleinkinders	ˈɑxtərˌkleɪ̯nˌkɪntərs
agterkom	ˈɑχtərˌkɔm
agterlaat	ɑχtərˈlɑːt
agterlik	ɑχtərlik
agterlosig	ɑχtərˈlʊsiχ
agtermekaarsit	əχtərˈmɛkɑːrsɪt
agterna	əχtəɾnə
agterom	ɑχtərɔm
agterplaas	ɑχtərˈplɑːs
agtersitplek	ˈɑχtərsɪtˌplɛk
agterstallige	ɑχtərˈstɑːɪχə
agterste	ɑχtərstə
agterstevoor	ɑxtɛrstəfˈoːɾ
agterstevoor	ɑχtərstɛfʊr
agterstewe	axtɛrʃteˈve
agterstewe	ˈɑχtərstɛu̯ə
agteruit	ˈɑχtərœɪt
agtervolg	ɑxtɪrfˈɔlx
agtervolg	ˈɑχtərˌfɔɫχ
agtien	ˈɑxtiːm
agtiende	axteːnde
agting	ɑχtɪŋ
agtste	ɑxtstɑ
ah	ɑː
aha	ɑˈɦa
ahead	ɑˈhɛt
ahrendt	ɑːrɛnt
ai	ɑɪ
aikona	ajɛkɔnɑ
aircom	ɛːrˈkɔm
akademici	əˌkɑːdəˈmiːtʃi
akademie	ɑkəˈdemi
akademies	əkədeːmiə
akademiese	əkədeːmisə
akademikus	əkədeːmikʏs
akihiro	əˈkɪɦɪro
akkedisse	ɑkəˈdisə
akker	ɑkər
akkoord	əˈkʊərt
akkuraat	əˈkɪrɑːt
akkuraatheid	əˈkɪrɑːtɦɛit
akkurater	əˈkʊrətər
akommodeer	əˌkɔməˈdeːr
akrobate	əˈkrɔbətə
aksent	ˈɑksənt
aksente	ˈɑksəntə
aksie	ɑkˈsi
aksie	ɑːksi
aksie-reaksie	ˈɑksiəˌɾɛɑksi
aksies	ˈɑksiəs
akte	aktɛ
aktetas	aktɪtˈas
aktetas	ˈɑktətɑs
akteur	ˈɑktɪr
akteurs	ˈɑktəʊ̯s
aktiewe	ˈɑktifə
aktiveer	ˈɑktivəɾ
aktivis	ɑktiβis
aktiviste	ˈɑktivɪstə
aktiwiteit	əˈkətiβɪtə
aktiwiteite	əˈktifɪtɛtə
aktriese	ˈɑktriəsə
aktrise	ˈɑktrisə
akupunktuur	ɒkipəŋktiːr
akuraat	əˈkɪrɑːt
akurate	əˈkʊrətə
akute	əˈkʊtə
al	au
al	ɑːl
al-ewig	ɑləˈʋɪχ
alarm	ɑlɑrm
alarm	əlɑrɯ̞m
alarmeer	ɑlɑrˈmɪr
alarmkode	ɑlɑrmkʊdə
alba	ɑlˈβa
albatrosse	ˈɑlbətrosə
albei	alˈbai̯
albei	ɑlˈbɛɪ̯
albert	ɑlˈbɛrt
albertine	ɑlˈbɛrtiːnə
albin	ɑlˈbɪn
albinism	ɔɫbiːnɪzm
alceste	ɑlˈsɛstə
alchemie	ɑlχəˈmi
aldag	ɑldɑχ
aldo	ɑldoʊ
aleen	ɑˈliːn
alerter	ɑləˈrɛtər
alex	əˈlɛkʃ
alexander	alɛksˈɑndɛr
alexandra	əˈlɛksəɾə
alexandre	əˈlɛkˌsɑːndrə
alexandrines	əleksənˈdrɪnəs
alfabet	ɑlfəˈβɛt
alfred	ælfɹɛt
algebra	aːlχɯbrɑ
algebraboek	ˈɑldʒəbrəbʊk
algemeen	æɫχɑmjæn
algemeen	ɑlχəˈmɪn
algemene	ɑlχəˈmenə
algerië	ɑlχəˈriə
alhoewel	ɑlɦuˈɪə̯l
alias	ɑːˈlɪə̯s
alibi	ɑːliˈbi
alitalia	ɑːlɪtɑːliə
alitalia-kaart	ɑːliˈtɑːliəˌkɑːrt
alive	ɑːˈliːf
aliwal	alival
alkohol	ɑlkoˈɦɔl
alkohol-vrye	ɑlkoˈɦɔlfrə
alkoholiese	ɑlkoˈɦɔi̯si
alkoholis	ɑlkoʊˈɦɔlɪs
alkoholisme	ɑlkoɦoːlɪsmə
alkom	ɑlˈkɔm
all	ɑl
alle	ɑlə
alle	ˈalə
alledaags	alədˈaːʁs
alleen	ɑləˈin
alleen-agent	ɑləˈjɛnt
alleengelaat	ɑləŋgəlɑːt
alleenlik	ɑləˈlɪk
alleenloper	ɑləːnˈlopər
alleenstaande	əˈlɪənˌstɑːndə
alleenstryd	əˈlɪənstrʏt
allende	ɑlənde
allenig	ɑlənɪχ
aller-verkwikkende	ɑləfərfərˈkœkəndə
allerheuglikste	ɑləˈrɦøɪ̯kəɫstə
allerhoogste	ɑləˈrɦoχstə
allerliefste	ɑləˈrɛɪ̯fstə
allermooiste	ɑlɛrmoʊ̯stə
allerskoonste	ɑlɐsˈkʊə̯nstə
alles	pɑlɯs
alles	ɑləs
allewereld	ɑləˈʋɪrɛlt
alm	ɑlm
almagtig	ɑlmɑxtəχ
almagtige	ɑlmɑxtiχə
almal	əlˈmɑl
alpe	ɑlpə
alpha	ɑlˈfə
alpöhi	ɑlˈpœi
alreeds	alrɪts
alreeds	ɑlriːts
als	ɑls
alsbrandewyn	ɑlsbrɑndəˈʋəi̯n
also	ɑˈloː
alstars	ɑlsˈtrɑs
altaar	ɑlˈtɑːr
altaargewaad	ˈɑltaːrχəˌɣʋaːt
altar	ɑlˈtɑr
alternatief	ɑltəʁənaːˈtif
alternatiewe	ɑltərnaːtiˈuiə
alterneer	ˈɑltərneːr
altesame	altɨsɑˈmɯ
alteseker	ˈɑltəsɛkər
alto	ˈɑltuː
altoos	ɑlˈtus
altstar	ɑltˈstɑr
altwee	aʎtwˈiːɾ
altwee	ɑltfɛː
altyd	ˈɑltid
aluminium	aluminiam
alweer	ɑlˈvɪr
alweert	ɑlʋɪrt
alwetende	ɑlʋɛtɛnde
am	ɑːm
amalia	əˈmɑːliə
amandel	ɑmandəl
amateur	əˈmɑːtʏr
amateurbeelde	əˈmɑːtʏrbeːlə
amateurspeletjies	əˌmɑːtəˌrɪsˌpɛləˌtʃis
amateurtoernooi	əˌmɑːtʏrtoːˈrɔin
amazon	əˈmɑzən
amazone	əmaˈzɔnə
amazone-indiane	əmaˈzɔnəˌindiənə
amazone-woude	əmaˈzɔnəˌʋuːdə
ambagte	æmbɑχtə
ambassade	ambesadə
ambassade	æmbɑsɑdə
ambassadeurs	ɑmbɑsɑdœr
ambisie	æmbiˈsi
ambisies	æmbisiə
ambisieus	æmbiˈsiəs
ambulans	əmbʊˈlɑns
amen	ɑːˈmɛn
america	əˈmɪərɪkə
amerika	əˈmɛːrɪkə
amerikaans	əˈmɪkɹəˌhɑːns
amerikaanse	əˈmɪkəˌrɑːnˌsə
amerikaner	ameɾikane
amerikaners	əˌmɛːrəˈkɑːnərs
amikaal	əˈmɪkɑːl
amira	əˈmira
amman	ɑmə
