'nen	nen
aalsterben	eːalʃtɜbən
aalstück	ˈalʃtˈʏk
aalteich	ˈaɾltaɪç
aaltierchen	ˈaltˈiːɾçən
aalwanderung	ˈalvˈandərˌʊŋ
aalwehr	ˈalvˈeːɾ
aalwirtshaus	ɑːlˈvˈɪrˌtshaʊs
aap	ap
aarauanhänger	ˌaːraʊanhˈɛŋɜ
aarauerfan	aɾauːɜfˈan
aarauerstube	aɾaʊɜʃtˈuːbə
aaraufan	ˌɑːrɑːlˈfˈan
aarauspiel	aɾauːspiːl
aarauspieler	aɾauːspiːlər
aarauverteidiger	ˈɑːˌaʊfɛɾtˈaɪdɪgɜ
aarberg	ɑːlˈbɜk
aare	ˈaɾə
aareal	ɑːɾeːɑːl
aareinsel	ˈareˈɪnzəl
aargauerin	ˈaɾgˈaʊərˌɪn
aaron	ˈɑɾɔn
aaron	ˈɑːroːn
aaroniten	ˈaɾˈɔnɪtən
aartalbahn	aɾtɑːlbˈɑːn
aas	ɑːs
aas	ˈɑːs
aasbande	aːspanˈd̪e
aasblumengewächse	aɾsblˈʊmˈɛŋəvˈɛksə
aase	ase
aaseeterrasse	aːzˌeːtɛrˈrˈasɛ
aasen	ˈɑːsɪn
aaser	aːza
aases	ˈɑːzəs
aasfleisch	ˈaɾsflaɪʃ
aasgeier	ˈɑːsgaɪɜ
aasgeld	aˈsgəlt
aasgestank	aɾskɛstank
aasgrube	aʃgɾuːbɛ
aasig	ɑːzˈɪk
aasinsekt	asinzɛkt
aasschmiere	aːsʃmˈiːɾˌeː
aasstück	aːsʃtʏk
ab	ap
ab-hof-verkauf	apɾˈoːffɛɾkˈaʊf
aba'a	abaja
abaasen	apaːzən
abacavir	abakavia
abach	abax
abackerung	ˈapˈakˌeːrʊŋ
abacá	abˈakˈa
abaddon	abaton
abade	apate
abahndung	apːaːnduːŋ
abai	abaj
abaka	apakam
abaktion	apaktsɪɔn
abakus	ˈɑbakˌʊs
abakusblüte	abˌakˌuːsblˈyːtə
abakusse	apakɔsɛ
abakusseite	abakɔszˈaɪtə
abalienation	apˈaliːnˈatsɪˌoːn
abandonist	abandonˈist
abandonniert	abandˌoːnˈiːɾt
abangeln	bˈaŋɛln
abarbeite	ˈɑbaɾbˌaɪtə
abarbeiten	ˈɑbaɾbˌaɪtən
abarbeitend	ˈɑbaɾbˌaɪtənt
abarbeitende	ˈɑbaɾbˌaɪtəndə
abarbeitendem	ˈɑbaɾbˌaɪtəndəm
abarbeitenden	ˈɑbaɾbˌaɪtəndən
abarbeitender	ˈɑbaɾbˌaɪtəndɜ
abarbeitendes	ˈɑbaɾbˌaɪtəndəs
abarbeiter	apˈaɾbaɪtə
abarbeitest	ˈɑbaɾbˌaɪtəst
abarbeitet	ˈɑbaɾbˌaɪtət
abarbeitete	ˈɑbaɾbˌaɪtətə
abarbeiteten	ˈɑbaɾbˌaɪtətən
abarbeitetest	ˈɑbaɾbˌaɪtətəst
abarbeitetet	ˈɑbaɾbˌaɪtətət
abarbeitung	apˌaɾbaɪtˌʊŋ
abarbeitung	ˈɑbaɾbˌaɪtʊŋ
abarbeitungsgeschwindigkeit	ˈɑbaɾbˌaɪtʊŋsgəʃvˌɪndɪçkˌaɪt
abarbeitungsgeschwindigkeiten	ˈɑbaɾbˌaɪtʊŋsgəʃvˌɪndɪçkˌaɪtən
abarbeitungsreihenfolge	ˈɑbaɾbˌaɪtʊŋsrˌaɪhənfˌɔlgə
abarbeitungsreihenfolgen	ˈɑbaɾbˌaɪtʊŋsrˌaɪhənfˌɔlgən
abart	ˈɑbaɾt
abarten	apˈaɾtˈɛ
abarten	ˈɑbaɾtən
abartig	ˈɑbaɾtˌɪç
abartige	ˈɑbaɾtˌɪgə
abartigem	ˈɑbaɾtˌɪgəm
abartigen	ˈɑbaɾtˌɪgən
abartiger	ˈɑbaɾtˌɪgɜ
abartiges	ˈɑbaɾtˌɪgəs
abartigkeiten	ˈapaɾtˌɪçkˌaɪtə
abaschen	apˈaʃən
abasisch	abˈazɨʃ
abatis	apatɨs
abaton	abatɾon
abaya	apaja
abayas	apaias
abb	ˈabbˌɪldʊŋ
abbacken	apmˈakˌeːn
abbaden	abbatˈən
abbagerung	apbˈagɾʊng
abbaken	apbˈaɾkən
abband	abˈant
abbanden	abˈandən
abbandest	abˈandəst
abbandet	abˈandət
abbandst	abˈantst
abbangen	appaŋɛm
abbansen	apbˈanˈzˌn
abbas	abas
abbat	abˈɑːt
abbate	abatɛ
abbaten	abˈɑːtən
abbatest	abˈɑːtəst
abbatet	abˈɑːtət
abbatst	abˈɑːtst
abbau	abˈaʊ
abbauantrag	ˈapbˌaʊantɾˌɑːk
abbauanträge	ˈapbˌaʊantɾˌɛːgə
abbaubedingung	ˈapbˌaʊbˌɛdɪŋˌʊŋ
abbaublock	appˈauːblˈɔk
abbaue	abˈaʊə
abbauen	abˈaʊən
abbauend	apːaˈʊənt
abbauende	abˈaʊəndə
abbauenden	abˈaʊəndən
abbauendes	abˈaʊəndəs
abbauenzym	apbaˈʊəntsyːm
abbauerlaubnis	apbˈaˈʊɛɾlˌˈaʊpnˌɪs
abbauerscheinung	abbˈaˈʊɛɾʃˌaɪnʊŋ
abbaufortschritt	abˈaʊfɔɾtʃrˌɪt
abbaufortschritts	abˈaʊfɔɾtʃrˌɪts
abbaufortschrittsmessung	abˈaʊfɔɾtʃrˌɪtsmɛsˌʊŋ
abbaufrist	ˈabbaʊfrˈɪst
abbaufront	abˈaʊfrɔnt
abbaufördereinrichtung	ˈapbˈaʊfˈøːɾdəˈaɪnrˌɪçtʊŋ
abbaugerät	abˈaʊgərˌɛːt
abbaugeräusche	abˈaʊgeːrˌɔøʃə
abbaugrad	apbˈaːʊgɾɑːt
abbauinstrument	ˈapbˌaʊɪnstɾuːmˌɛnt
abbauintoxikation	ˈapbˌaʊɪntˌoːksɪkˈatsɪˌoːn
abbaukanten	ˈapbˌaˈʊkˈantˌ
abbaukosten	abbaˈʊkˌɔstən
abbaukunde	abbauːkʊnˈdˈɛ
abbauland	apbˈaˈʊlˌˈanˈd
abbauleistung	abˈaʊlaɪstˌʊŋ
abbauleitzentrale	abˌaʊlaɪtsəntɾˈɑːlə
abbauleitzentralen	abˌaʊlaɪtsəntɾˈɑːlən
abbauliste	ˈabbaʊlˈɪstɐ
abbauländer	abbˌaˈʊlˌəndɜ
abbaumaschine	abˈaʊmaʃˌɪnə
abbaumaschinen	abˈaʊmaʃˌɪnən
abbaumaterial	abˌaʊmatˌeːriːˈɑːl
abbaumechanismus	abbˈaʊmˌeːçɑnˈɪsmʊs
abbaumenge	abˈaʊmɛŋə
abbaumengen	abˈaʊmɛŋən
abbaumengensteuer	ˈapbˌaʊmˈɛŋənʃtˈɔøɜ
abbaumöglichkeit	abˈaʊmøːklˌɪçkaɪt
abbaumöglichkeiten	abˈaʊmœklˌɪçkaɪtən
abbauort	ˈapbaʊˌɔɾt
abbaupotenzial	abbˈaʊpˌoːtəntsjˈɑːl
abbauraum	ˈapbˌaʊrˈaʊn
abbaureaktion	ˈapbˌaʊrˌeːaktsɪˈoːn
abbaurecht	apˌbˈaʊrɛkt
abbauresistent	ˈapbˌaʊvˈɛsɪztˌeːnˌt
abbaurevier	abbˈaʊɾəbˈiːɾ
abbaus	abˈaʊs
abbauscheibe	apbauːʃaɪbɛ
abbauschlitten	apbˈaʊʃlˈɪtɜn
abbauschritt	ˈapbaʊʃrˈɪt
abbauspektrum	apbˈaˈʊspeːktuːm
abbaust	abˈaʊst
abbaustoff	abpɑːuːztˌoːfˈf
abbaustrecke	apbaʊstrəkˌkɛ
abbaustufe	abbaˈʊstˈuːfə
abbausysteme	abˈaʊzʏstˌeːmə
abbausystemen	abˈaʊzʏstˌeːmən
abbaut	abˈaʊt
abbaute	abˈaʊtə
abbauten	abˈaʊtən
abbautest	abˈaʊtəst
abbautet	abˈaʊtət
abbauverfahren	ˈapbaʊfɜfˌɑːrən
abbauverlust	apbˈaʊfɛlˈlʊst
abbauversuch	abbaʊfɜzˈuːx
abbauvorbereitung	ˈapbˌaʊfˈoːɾbərˌaɪtʊŋ
abbauwerkzeug	abbˌaʊvˈɛɾktsøːk
abbauwerkzeug	abˈaʊvɜktsˌɔøk
abbauwerkzeuge	abˈaʊvɜktsˌɔøgə
abbauwerkzeugen	abˈaʊvɜktsˌɔøgən
abbauwerkzeuges	abˈaʊvɜktsˌɔøgəs
abbauwerkzeugs	abˈaʊvɜktsˌɔøks
abbauwirtschaft	apˈaˈʊvˈiɾtʃaft
abbauzeit	ˈapbaʊtsaɪt
abbe	apɛ
abbedingung	apbədɪŋuːm
abbedungen	apbədˌʊŋən
abbeeren	ˈapbˌeːrən
abbeerlochblech	ˈapbˈiːɾlˈoːxblɛk
abbefehl	appəfˈeːl
abbefehlen	apbəfˈeːlən
abbeizen	apvˈaɪtsən
abbeizer	appaɪtsɜ
abbeizfirmen	ˈapbaɪtsfˌɪɾmən
abbeizmittel	ˈapbaɪtsmˌɪtəl
abbekomme	ˈapbəkˌɔmə
abbekommen	ˈapbəkˌɔmən
abbekommen	ˈapbˈɛkɔmən
abbekommst	ˈapbəkˌɔmst
abbekommt	ˈapbəkˌɔmt
abbeordert	ˈapbəˌɔɾdɜt
abbergen	abbˈɛɾgən
abberger	apbˈɛɾgɜ
abberufe	ˈapbərˌuːfə
abberufen	ˈapbərˌuːfən
abberufend	ˈapbərˌuːfənt
abberufende	ˈapbərˌuːfəndə
abberufendem	ˈapbərˌuːfəndəm
abberufenden	ˈapbərˌuːfəndən
abberufender	ˈapbərˌuːfəndɜ
abberufendes	ˈapbərˌuːfəndəs
abberufene	ˈapbərˌuːfənə
abberufenem	ˈapbərˌuːfənəm
abberufenen	ˈapbərˌuːfənən
abberufener	ˈapbərˌuːfənɜ
abberufenes	ˈapbərˌuːfənəs
abberufst	ˈapbərˌuːfst
abberuft	ˈapbərˌʊft
abberufung	ˈapbərˌuːfʊŋ
abberufungen	ˈapbərˌuːfʊŋən
abberufungsbescheid	ˈapbərˌuːfʊŋsbəʃˌaɪt
abberufungsrecht	ˈapbərˌuːfʊŋsrˌɛçt
abbes	apes
abbesolden	ˈapbəzˌɔldən
abbestelle	ˈapbəʃtˌɛlə
abbestellen	ˈapbəʃtˌɛlən
abbestellen	ˈapbˌɛʃtˌɛlən
abbestellend	ˈapbəʃtˌɛlənt
abbestellende	ˈapbəʃtˌɛləndə
abbestellendem	ˈapbəʃtˌɛləndəm
abbestellenden	ˈapbəʃtˌɛləndən
abbestellender	ˈapbəʃtˌɛləndɜ
abbestellendes	ˈapbəʃtˌɛləndəs
abbestellst	ˈapbəʃtˌɛlst
abbestellt	ˈapbəʃtˌɛlt
abbestellte	ˈapbəʃtˌɛltə
abbestelltem	ˈapbəʃtˌɛltəm
abbestellten	ˈapbəʃtˌɛltən
abbestellter	ˈapbəʃtˌɛltɜ
abbestelltes	ˈapbəʃtˌɛltəs
abbestelltest	ˈapbəʃtˌɛltəst
abbestelltet	ˈapbəʃtˌɛltət
abbestellung	ˈapbəʃtˌɛlʊŋ
abbestellungen	ˈapbəʃtˌɛlʊŋən
abbettele	ˈapbˌɛtələ
abbetteln	ˈapbˌɛtəln
abbettelnd	ˈapbˌɛtəlnt
abbettelnd	ˈapbˌɛtəlt
abbettelnde	ˈapbˌɛtəlndə
abbettelndem	ˈapbˌɛtəlndəm
abbettelnden	ˈapbˌɛtəlndən
abbettelnder	ˈapbˌɛtəlndɜ
abbettelndes	ˈapbˌɛtəlndəs
abbettelst	ˈapbˌɛtəlst
abbettelt	ˈapbˌɛtəlt
abbettelte	ˈapbˌɛtəltə
abbettelten	ˈapbˌɛtəltən
abbetteltest	ˈapbˌɛtəltəst
abbetteltet	ˈapbˌɛtəltət
abbetten	apbˈɛtən
abbettle	ˈapbˌɛtlə
abbezahlbar	ˈapbətsˌɑːlbɑːɾ
abbezahlbare	ˈapbətsˌɑːlbɑːrə
abbezahlbarem	ˈapbətsˌɑːlbɑːrəm
abbezahlbaren	ˈapbətsˌɑːlbɑːrən
abbezahlbarer	ˈapbətsˌɑːlbɑːrɜ
abbezahlbares	ˈapbətsˌɑːlbɑːrəs
abbezahle	ˈapbətsˌɑːlə
abbezahlen	ˈapbətsˌɑːlən
abbezahlend	ˈapbətsˌɑːlənt
abbezahlende	ˈapbətsˌɑːləndə
abbezahlendem	ˈapbətsˌɑːləndəm
abbezahlenden	ˈapbətsˌɑːləndən
abbezahlender	ˈapbətsˌɑːləndɜ
abbezahlendes	ˈapbətsˌɑːləndəs
abbezahlst	ˈapbətsˌɑːlst
abbezahlt	ˈapbətsˌɑːlt
abbezahlte	ˈapbətsˌɑːltə
abbezahltem	ˈapbətsˌɑːltəm
abbezahlten	ˈapbətsˌɑːltən
abbezahlter	ˈapbətsˌɑːltɜ
abbezahltes	ˈapbətsˌɑːltəs
abbezahltest	ˈapbətsˌɑːltəst
abbezahltet	ˈapbətsˌɑːltət
abbiege	ˈapbˌiːgə
abbiegegebot	apːiːkəgəbˈoːt
abbiegehinweis	ˈapbˌiːgəhˈɪnvˌaɪs
abbiegen	apbiːgˌeːn
abbiegen	ˈapbˌeːgən
abbiegen	ˈapbˌiːgən
abbiegend	ˈapbˌiːgənt
abbiegend	ˈapvˌiːgənt
abbiegende	ˈapbˌiːgəndə
abbiegendem	ˈapbˌiːgəndəm
abbiegenden	ˈapbˌiːgəndən
abbiegender	ˈapbˌiːgəndɜ
abbiegendes	ˈapbˌiːgəndəs
abbiegepfeil	apˌbiːgəpfˌaɪl
abbiegerinnen	apbˌiːgɜɪ̃nɛn
abbiegespur	apˈiːgəspuːr
abbiegespurt	apbˌiːgəspˌuːɾt
abbiegestempel	apvˈiːgəʃtˈɛmpəl
abbiegeunfälle	abbˈiːgəʊnfˈɛlə
abbiegst	ˈapbˌiːkst
abbiegt	ˈapbˌiːkt
abbild	ˈapbˌɪlt
abbilde	ˈapbˌɪldə
abbilden	ˈapbˌɪldən
abbildend	ˈapbˌɪldənt
abbildende	ˈapbˌɪldəndə
abbildendem	ˈapbˌɪldəndəm
abbildenden	ˈapbˌɪldəndən
abbildender	ˈapbˌɪldəndɜ
abbildendes	ˈapbˌɪldəndəs
abbilder	ˈapbˌɪldɜ
abbildern	ˈapbˌɪldɜn
abbildes	ˈapbˌɪldəs
abbildest	ˈapbˌɪldəst
abbildet	ˈapbˌɪldət
abbildete	ˈapbˌɪldətə
abbildeten	ˈapbˌɪldətən
abbildetest	ˈapbˌɪldətəst
abbildetet	ˈapbˌɪldətət
abbildhaftigkeit	ˈapbˌɪldhaftɪçkˌaɪt
abbildlichkeit	ˈapbˌɪltlɪçkˌaɪt
abbildsystem	ˈapbɪltzʏstˈeːm
abbildtreue	abbˈɪlttrɔʏə
abbildung	ˈapbɪldˌʊŋ
abbildung	ˈapbˌɪldʊŋ
abbildungen	ˈapbˌɪldʊŋən
abbildungsanode	apbɪlˈdˈʊngˌzˈɑːnˈoːdə
abbildungsebene	apˌbɪlˌdʊŋsɛbənˈə
abbildungsfehler	ˈapbˈɪldʊŋsfˌeːlɜ
abbildungsgüte	abˌbɪlˈduːŋsgˌyːtɛ
abbildungskette	apbɪldˈʊŋskˌeːtə
abbildungsmatrix	abbˈɪldʊŋsmˈɑtriːks
abbildungsnachweis	apbɪlˌdʊŋsnˈaxvaɪs
abbildungsrechte	abbˈɪldʊŋsrˌɛçtə
abbildungsregister	abbˈɛlduːŋsɾɛgɪstɜ
abbildungsrichtung	apˌbˈɪldˈʊŋsrɪçtʊŋ
abbildungsrisiko	abvˈɪldʊŋsriːzˌiːkoː
abbildungssatz	abbɪldˌʊŋsats
abbildungsstrahl	ˈapbɪldˌʊŋstɾˌɑːl
abbildungssystem	ˈapbˈɪldˈʊŋsʃʃtəɛ
abbildungsteil	abbɪlˌdʊŋʃtaɪl
abbildungsverhältnis	apˌbɪlduːŋsfɛɾhɛltnɪs
abbildungswürdig	apbɪlˈtʊŋsvˈʏɾtɪg
abbildverfahren	ˈapbˌɪltfɛɾfˌɑːrən
abbimsen	apbɪmzn
abbinde	ˈapbˌɪndə
abbindebeschleuniger	apˌbɪnˈdəbəʃlˈɔønɪgɜ
abbindeexpansion	apbɪndəˌeːkspansjˈoːn
abbindegeschwindigkeit	ˈapbɪndəgəʃvˈɛndɪçkˌaɪt
abbindelager	appindɛlaga
abbinden	ˈapbˌɪndən
abbindend	ˈapbˌɪndənt
abbindende	ˈapbˌɪndəndə
abbindendem	ˈapbˌɪndəndəm
abbindenden	ˈapbˌɪndəndən
abbindender	ˈapbˌɪndəndɜ
abbindendes	ˈapbˌɪndəndəs
abbindeplatz	apbˈɪndˈɛɾplˈats
abbindest	ˈapbˌɪndəst
abbindet	ˈapbˌɪndət
abbindungsschnur	appɪntuːŋzˌnˈuːɾ
abbiss-schreckenfalter	apbɪsʃrˈɛkənfˌaltɜ
abbisskraut	apbˈɪskɾˈaʊt
abbitte	ˈapbˌɪtə
abbitten	ˈapbˌɪtən
abbittest	ˈapbˌɪtəst
abbittet	ˈapbˌɪtət
abbittlich	ˈapbˌɪtlɪç
abblase	ˈapblˌɑːzə
abblasebehälter	ˈaplˌɑːsəbəhˈɛltɜ
abblasebehälterkühler	aplˌˈasəbəhˈɛltɜkˈyːlɜ
abblasebetrieb	aplˌazɛbətɾˈiːp
abblaseeinrichtung	apˌlˈɑːsəˈaɪnrˌɪçtʊŋ
abblaseluft	abˌlˈazɛlˈʊft
abblasemenge	ablazˌmɛŋeː
abblasen	ˈapblˌɑːzən
abblasend	ˈapblˌɑːzənt
abblasend	ˈaplˌɑːzənt
abblasende	ˈapblˌɑːzəndə
abblasendem	ˈapblˌɑːzəndəm
abblasenden	ˈapblˌɑːzəndən
abblasender	ˈapblˌɑːzəndɜ
abblasendes	ˈapblˌɑːzəndəs
abblaserohr	ˈaplˌɑːsərˈoːɜ
abblasestation	apˌblˌɑzˌɛztˈatˌɪˌoːn
abblasetank	abˌlˈazətˈaŋk
abblaseverhältnisdruckregler	ˈaplˌɑːsəfɛɾhˈɛltnɪsdɾˈʊkɾeːklɜ
abblasleitung	apˌblˈaslaɪtuːŋ
abblast	ˈapblˌast
abblatten	applatˌən
abblende	aplˈɛndə
abblende	ˈabləndə
abblendeinheit	abblˈəntˈaɪnhˌaɪt
abblendeinrichtung	aplˈɛntaɪnrɪçtˌʊŋ
abblenden	ˈabləndən
abblenden	ˈaplenˈdˈɛn
abblendend	ˈapblˌɛndənt
abblendende	ˈapblˌɛndəndə
abblendendem	ˈapblˌɛndəndəm
abblendenden	ˈapblˌɛndəndən
abblendender	ˈapblˌɛndəndɜ
abblendendes	ˈapblˌɛndəndəs
abblendest	ˈapblˌɛndəst
abblendet	ˈapblˌɛndət
abblendete	ˈapblˌɛndətə
abblendeten	ˈapblˌɛndətən
abblendetest	ˈapblˌɛndətəst
abblendetet	ˈapblˌɛndətət
abblendfunktion	applˈɛntfˈʊnktsɪˌoːn
abblendhaube	apbləndtaʊbɪ
abblendhebel	applˈɛndhˌəbəl
abblendlicht	ˈapblˌɛndlɪçt
abblendlichtanlage	ˈaplˌəntlɪçtˈanlˌɑːgə
abblendlichter	ˈapblˌɛndlɪçtɜ
abblendlichtern	ˈapblˌɛndlɪçtɜn
abblendlichtes	ˈapblˌɛndlɪçtəs
abblendlichts	ˈapblˌɛndlɪçts
abblendlichtschalter	apblˈɛntlˈɪçtʃˌaltɜ
abblendmaske	apbləndmaske
abblendrolle	apblˈɛndɾɔlˈlɛ
abblendschalter	ˈapblˌɛntʃaltɜ
abblendschaltern	ˈapblˌɛntʃaltɜn
abblendschalters	ˈapblˌɛntʃaltɜs
abblendungseffekt	ˈapblˈəŋdˈʊŋsɛfˈɛkt
abblendwiderstand	aplˈɛntvˈiːdɜstˌant
abblitze	ˈapblˌɪtsə
abblitzen	ˈapblˌɪtsən
abblitzen	ˈaplɪtsən
abblitzend	ˈapblˌɪtsənt
abblitzende	ˈapblˌɪtsəndə
abblitzendem	ˈapblˌɪtsəndəm
abblitzenden	ˈapblˌɪtsəndən
abblitzender	ˈapblˌɪtsəndɜ
abblitzendes	ˈapblˌɪtsəndəs
abblitzest	ˈapblˌɪtsəst
abblitzt	ˈapblˌɪtst
abblitzte	ˈapblˌɪtstə
abblitzten	ˈapblˌɪtstən
abblitztest	ˈapblˌɪtstəst
abblitztet	ˈapblˌɪtstət
abblocke	ˈapblˌɔkə
abblocken	ˈapblˌɔkən
abblockend	ˈapblˌɔkənt
abblockende	ˈapblˌɔkəndə
abblockendem	ˈapblˌɔkəndəm
abblockenden	ˈapblˌɔkəndən
abblockender	ˈapblˌɔkəndɜ
abblockendes	ˈapblˌɔkəndəs
abblockst	ˈapblˌɔkst
abblockstrategie	apˌloːkˈstɾˈɑteːgˌiː
abblockt	ˈapblˌɔkt
abblockte	ˈapblˌɔktə
abblockten	ˈapblˌɔktən
abblocktest	ˈapblˌɔktəst
abblocktet	ˈapblˌɔktət
abblättere	ˈapblˌɛtərə
abblättern	ˈapblˌɛtɜn
abblätternd	ˈapblˌɛtɛɾnt
abblätternde	ˈapblˌɛtɛɾndə
abblätterndem	ˈapblˌɛtɛɾndəm
abblätternden	ˈapblˌɛtɛɾndən
abblätternder	ˈapblˌɛtɛɾndɜ
abblätterndes	ˈapblˌɛtɛɾndəs
abblätterst	ˈapblˌɛtɜst
abblättert	ˈapblˌɛtɜt
abblätterte	ˈapblˌɛtɜtə
abblätterten	ˈapblˌɛtɜtən
abblättertest	ˈapblˌɛtɜtəst
abblättertet	ˈapblˌɛtɜtət
abblättre	ˈapblˌɛtɾə
abblüte	apblˈyːtə
abbo	apo
abbrach	apɾˈax
abbrach	ˈapbɾˌax
abbrachen	ˈapbɾˌaxən
abbrachest	ˈapbɾˌaxəst
abbrachst	ˈapbɾˌaxst
abbracht	ˈapbɾˌaxt
abbrachte	ˈapbɾˌaxtə
abbrachten	ˈapbɾˌaxtən
abbrachtest	ˈapbɾˌaxtəst
abbrachtet	ˈapbɾˌaxtət
abbrand	apbˌɾˈant
abbrandbeginn	apbɾˈantbəgˈɪn
abbrandfaktor	apbɾandˌfˈaktoːɾ
abbrandfluenz	apbɾˈantflʊənts
abbrandgleichung	apbrˈandglˌaɪxʊŋ
abbrandgrenze	apbrantgrɛntsɛ
abbrandmoderator	apbrˈantmˌoːdeːrˈɑːtoːɾ
abbrandspitze	apbrantʃpɛtsɛ
abbrandziel	apˌɾˈanttsiːl
abbrandüberwachungsgerät	ˈapbɾˌantʏbɜvˌaxʊŋsgɛɾɛt
abbrannte	ˈapbɾˌantə
abbrannten	ˈapbɾˌantən
abbranntest	ˈapbɾˌantəst
abbranntet	ˈapbɾˌantət
abbraten	aprˈɑːtən
abbrauchen	apbɾaʊxən
abbrause	ˈapbɾˌaʊzə
abbrausen	apɾaʊseːn
abbrausen	ˈapbɾˌaʊzən
abbrausend	ˈapbɾˌaʊzənt
abbrausende	ˈapbɾˌaʊzəndə
abbrausendem	ˈapbɾˌaʊzəndəm
abbrausenden	ˈapbɾˌaʊzəndən
abbrausender	ˈapbɾˌaʊzəndɜ
abbrausendes	ˈapbɾˌaʊzəndəs
abbrausest	ˈapbɾˌaʊzəst
abbraust	ˈapbɾˌaʊst
abbrauste	ˈapbɾˌaʊstə
abbrausten	ˈapbɾˌaʊstən
abbraustest	ˈapbɾˌaʊstəst
abbraustet	ˈapbɾˌaʊstət
abbreche	ˈapbɾˌɛçə
abbrechen	ˈapbɾˌɛçən
abbrechen	ˈaprɛçən
abbrechend	ˈapbɾˌɛçənt
abbrechende	ˈapbɾˌɛçəndə
abbrechendem	ˈapbɾˌɛçəndəm
abbrechenden	ˈapbɾˌɛçəndən
abbrechender	ˈapbɾˌɛçəndɜ
abbrechendes	ˈapbɾˌɛçəndəs
abbrecheranteil	abbrˈɛçɜantˈaɪl
abbrecherberatung	ˈapbɾˌɛçɜbərˌɑːtʊŋ
abbrecherin	ˈapbˌɾɛçərˌɪn
abbrecherrate	apbrˈɛçɜrˌɑːtə
abbrechklinge	ˈapbɾˌɛçklɪŋɛ
abbrecht	ˈapbɾˌɛçt
abbremse	ˈapbɾˌɛmsə
abbremsen	ˈapbɾˌɛmsən
abbremsend	ˈapbɾˌɛmsənt
abbremsende	ˈapbɾˌɛmsəndə
abbremsendem	ˈapbɾˌɛmsəndəm
abbremsenden	ˈapbɾˌɛmsəndən
abbremsender	ˈapbɾˌɛmsəndɜ
abbremsendes	ˈapbɾˌɛmsəndəs
abbremsenergie	aprˈɛmzɛnɛɾgiː
abbremsest	ˈapbɾˌɛmsəst
abbremsgeschwindigkeit	ˈapbɾˌɛmsgɛʃvˌɪndɪçkˌaɪt
abbremsgeschwindigkeiten	ˈapbɾˌɛmsgɛʃvˌɪndɪçkˌaɪtən
abbremsphase	apbrəmsfase
abbremst	ˈapbɾˌɛmst
abbremste	ˈapbɾˌɛmstə
abbremsten	ˈapbɾˌɛmstən
abbremstest	ˈapbɾˌɛmstəst
abbremstet	ˈapbɾˌɛmstət
abbremsverhalten	ˈapbɾˌɛmsfɜhˌaltən
abbremsverhaltens	ˈapbɾˌɛmsfɜhˌaltəns
abbremswirkungsquerschnitt	apbɾeːmsvɪɾkʊŋskvˈeːɾʃnˌɪt
abbrenne	ˈapbɾˌɛnə
abbrennen	ˈapbɾˌɛnən
abbrennend	apbrˈɛnən
abbrennend	ˈapbɾˌɛnənt
abbrennende	ˈapbɾˌɛnəndə
abbrennendem	ˈapbɾˌɛnəndəm
abbrennenden	ˈapbɾˌɛnəndən
abbrennender	ˈapbɾˌɛnəndɜ
abbrennendes	ˈapbɾˌɛnəndəs
abbrennkontakt	apbrenkɔntˈakt
abbrennplan	apbɾeːnplɑːn
abbrennplatz	apbrennplˈats
abbrennplatz	apbɾənˈplˈats
