cәғәт	sɛʁɛt
алгебраик	alɣ̞ibraik
алдамай	pɑɫdɑmɑj
алдан	ɫdˈɑn
алданып	ɑɫdɑnɑp
алданған	ɑldɑnʁɑn
алдар	aldaɾ
алдараҡ	ɢɑldɑrɑq
алдарбай	aldɑrbɑj
алдарбатыр	ɑɫdɑrbatɯ̞r
алдатҡыс	ɑldætqɯ̞s
алдау	aldou̯
алдау	ɑɫdɑw
алдашмай	ɑldɑʃmaj
алдаштырып	ɑɫdæʃtɯ̞rɑp
алдашырға	ɑldæʂɯ̞rʁɑ
алдашыусы	ɑɫdɑʂɯɫsɯ̞
алдаған	ɑldaʁɑn
алдағы	ɑldɑʁɑ
алдаҡсы	ɑɫdɑqsɯ̞
алды	ɑɫdɑ
алдым	ɑɫdɯm
алдымда	ɑldɯ̞mdɑ
алдына	ɑldɯˈnɑ
алдында	ɑɫdɯnˈdɑ
алдынғы	ɑldɯ̞nʁɑ
алдынғы	ɑɫdɯ̞ŋɢɯ̞
алебастр	alʲibastər
алжир	alziɾ
алиби	ælbi
ализарин	alˈɪzərɪn
алимент	alimˈent
алйотланыу	ɑɫjɯ̞tɫɑnɯ̞w
алйырҙан	bɑɫjɯ̞rðɑn
алйырҙан	ɑɫjɯ̞rðɑn
алкаш	alkɑʃ
алкашка	alkɑʃka
алкоголизм	ˌɑlkugɐlˈizm
алла	alla
алла	ɑɫːɑ
аллалыҡ	bɑɫːɑlɯ̞q
аллам	ɑllɑm
аллаяр	ællæjɑr
аллағыуатов	ɑllɑʁɯwɑtɯ̞w
аллея	ɑllɑjɑ
алма	ɑlmɑ
алма	ɑɫmɑ
алмабикә	ɑɫmɑbʲikæ
алмагөл	ɑɫmɑgɪ̞l
алмай	ɑɫmaj
алмайым	ɑɫmɑjɯm
алмайынса	ɑɫmɑjɯnsɑ
алманы	ɑlmɑnɑ
алмас	ɑlmas
алмас	ɑɫmɑs
алмасбикә	ɑlmɑsdikæ
алмаслы	ɑɫmɑsɫɑ
алмау	qɑlmɑu
алмаусы	ɑɫmɑwˈzɯ
алмаусылыҡ	ɑlmɑlsɯlɯq
алмаш	ɑlmäʂ
алмаш	ɑɫmɑʂ
алмашаланыу	pɑɫmɑʂäɫänɯ̞w
алмашлау	ɑɫmɑʂlɑw̜
алмаштырыусы	ɑɫmɑʂtɯ̞rɯ̞ɫsʊ̞
алмашынырға	ɑlmɑʃʊ̞nɯ̞rʁɑ
алмашыныу	pɑɫmɑʂʊ̞nɯ̞w
алмашыныусан	ɑɫmɑʂɯ̞nɯ̞ɫsɑn
алмаясаҡ	qɑlmɑjɑsɑq
алмаған	ɑlmɑʁɑn
алмағанлыҡ	ɑlmɑʁɑnliq
алмағас	ɑɫmɑʁɑz
алмағас	ɑɫmɑʁ̞ɑs
алмаҡай	ɑlmɑqɑj
алмаҫтай	almɑstˈɑj
алой	ˌɐloj
алсапҡы	ɑlsɑpqɑ
алсаҡ	qɑlsɑq
алсаҡлыҡ	ɑlsɑqlɯz
алсын	aɫsɑn
алсынбай	ɑlsɑnbɑj
алсынғужа	ɑlsɯ̞nʁuʒɑ
алтай	altɑi̠
алтау	ɑɫtaw
алтмыштағы	ɑɫtmɯ̞ʁtɑʁɯ̞
алты	ɑltæ
алты	ɑɫtɯ̞
алтын	ɑɫtɯ̞n
алтынбаныу	ɑɫtɑnbɑnɯ̞w
алтынбикә	altɯ̞ŋbʲekæ
алтынсура	altɯnsʊ̞rɑ
алтынсы	ɑɫtɑnsɯ̞
алтынға	ɑltɯ̞nʁɑ
алтынғужа	ɑltɯ̞nʁuzɑ
алтынҡай	ɑltɯ̞nqɑj
алфавит	alfaβ̞it̪
алъяпҡыс	ɑɫjɑpqɯ̞s
алы	ɑˈɫɯˈ
алым	ɑˈlɯm
алын	ɑ̃ɫən
алынмалы	caːlɯnmalɯ̞
алынмау	ɑlɪnmɑwˈ
алынырға	ɑɫənɯ̞rʁɑ
алынған	ɑˈlɯnˈʁɑn
алынғыс	ɑɫɯ̞ŋɢɯ̞s
алыпбатыр	ɑɫɯ̞pbtɯ̞r
алыпһатар	ɑɫɑphætɑr
алырмын	äɫɯ̞rmɑn
алырҙай	ɑɫɯ̞rɯ̞ðˈɑj
алыштырырға	ɑlɯ̞ʃtɯ̞rɯ̞rʁɑ
алыштырыусы	ɑɫɯ̞ʂtɯ̞rɯ̞ɫsʊ̞
алыштырған	ɑ̃lɯ̞ʃtɯ̞rʁɑn
алышып	ɑlɑʃɯp
алыҫ	ɑɫɯ̞θ
алыҫайыу	ɑɫɯ̞sæjɯ̞w
альп	alp
альт	alt
альтруизм	altruʝizm
альфа	ælfæ
альянс	ɑɫjɑnʃ
алға	ɑlɢa
алға	ɑɫʁɑ
алғази	alˈɣazi
алған	ɑlʁɑn
алғандай	ɑlʁɑndɑj
алғанға	ɑlʁɑnʁɑ
алғас	ɑlɢas
алғы	ɑlɢæ
алғыш	ɑlɢɯ̞ʂ
алғышай	ɑɫɢæʃɑj
алҡа	ɑɫqɑ
алҡыш	ɑɫqɯ̞s
алҡыш	ɑɫqɯ̞ʂ
алҡышлау	ɑlqɯ̞ʂɫɑu
алһа	ɑlvˈa
алһыу	ɑɫhɯ̞w
алһыуланырға	hɑlhɯ̞wɫɑnʊ̞rʁɑ
амазонка	amazonka
амальгамалы	ämɑɫgämɑˈɫɯ̞
амальгамация	ɑmɑlgɑmɑtsɯjɑ
аман	aman
аманат	ɑmɑnɑt
аманбай	əmanbɑɪ
амангилде	ɑmɑngildɛ
амбар	ɑmbɑɾ
амбициялы	æmbʲitsɯjɑɫɯ̞
амбразура	ambɾasuɾa
амбулатор	ambulat̪or
амвон	amvon
амин	ɑmɪn
аммиак	ɑmmiʲɑk
аммиаклы	ɑmmiɑqɫɯ̞
амнистия	amnistia
аморф	ɑmʊrθ
аморфлыҡ	ɑmʊ̞rflɯ̞q
ампир	ɑŋpˈir
амплитуда	amplituda
амплуа	amploaɾ
амур	amuɾ
амфитеатр	amfiteatr
ана	pɔnɑ
анабиоз	ɑnɑbiːz
анаграмма	anagramma
анакреонтик	anakrɪontik
анализ	analiz
анализатор	anˈɑliˈzɑtɔr
анализлау	anɑlizlɑ
аналитик	ɑnɑɫitʲik
аналогик	anäɫɔgik
анальгин	anɑɫgɪn
ананас	ɑnɑnˈnɑs
анапест	anɑpest
анаплазмоз	anaplazmez
анархик	ənɑrχʲik
анатом	ɑnɑtɔm
анафора	ɢɑnafʊrɑ
ангажементлы	æŋgäʒɪ̞mʲentɫæ
ангар	ɑŋgɑr
ангидрит	aːngidɾit
ангина	ængʲina
англикан	anɣlikan
ангор	aŋgoɾ
андорра	ando̞ra
андорра	ando̞rːa
андыҙ	ɑndað
андыҙ	ɑndɯ̞ð
анилин	panilin
анималист	animalist
анимизм	animizm
анкер	ankiɾ
анналдар	ɑnaldɑr
анод	anot
аноним	anˈɑnim
анонс	anˈɔns
ант	nt̪
ант	ɑnt
антагонизм	antˌɐgɔnˈizm
антарктика	antɑrktɪkɑ
антенна	ɑnˈtɪnlɑ
антеннаһыҙ	ɑntɪ̞rnæhɯ̞ð
антиимпериалистик	antˈiɪmˈpˈeɾˈɪalˈistiˈk
антик	ɑntik
антиквар	ɑntikbar
антиквариат	antikvariat
антиклыҡ	ɑntʲikɫɯ̞q
антиматдә	ɑntimɑtdɑ
антимилитаризм	antˌimˌilˈitˈɐɾˈiːzɨm
антимилитарист	antjmilit̪aɾist
антимилитаристик	antimilitalistik
антипатия	antˈipˈatiˈɑ
антипод	antipot
антисемитизм	antjˈsimˈjˈtˈizm
антисептика	antjsɛptika
антитезис	antitezis
антифашист	antifaʃɪst
антраша	antɾaʃa
антропологик	ɐntrɐpɐlɐgjk
анфас	anfas
анфилада	anfɪlata
аныҡ	ɑnɯ̞q
аныҡланыу	ɑnɯ̞qɯ̞ɫɑnɯ̞w
аныҡлаусы	ɑnɑqɫɑwsɯ̞
аныҡһыҙлыҡ	ɑnɯ̞qhɯ̞ðɫɑq
анһат	ɔnhɑt
анһатлыҡ	ɢɑnhɑtɫɯ̞q
аорист	au̯rist
аорта	aorta
ап-асыҡ	ɑpɑsɯ̞q
ап-аҡ	æppäq
апай	aːpaj
апай	ɑpɑj
апартамент	apaɾt̪amẽn̪t̪
апарып	pɑpɑrɯ̞p
апарыр	apärər
апатит	apatˈit
апокриф	apokɾif
апокрифик	apokrɪfˈik
апорт	apɔɾt
аппарат	apɑrat
аппаратура	aparaˈtura
аппағым	æpɑʁɯ̞m
аппаҡ	æpːɑq
аптырарға	ɑpdʊ̞rɑrʁä
аптыратып	ɑptɪrɑtɯ̞p
аптыраулы	ɑptɪ̞rɑuɫʊ̞
аптыраған	ɑpdɯ̞rɑʁɑn
ар	ɑɾ
ара	ɑɾa
ара	ˈɑɾa
арабеска	arabʲetska
арабыҙҙа	rɑbɯ̞ðːa
аралау	ɑɾɑlɑu
аралаусы	ɑrɑɫɑɫsɯ̞
аралаш	ɑräɫɑs
аралашмай	ɑrɑlɑsmaj
аралашмау	ɑrɑɫɑrʂmɑu
аралаштырып	ɑrɑɫɑʂtɯ̞rɑp
аралашыу	ɑɾɑɫɑʃɯ̞w
аралыҡ	ɑrɑlɯ̞q
арамъяланыу	ɑrɑmjäɫänɯ̞w
арамъялыҡ	ɑrɑmjɑɫɯ̞q
аранжировкалау	aranʒiɾofkalau
арат	parat
арауыҡ	ɑrɑwɯ̞q
араҡы	ɑrɑqɯ̞
араһы	ɑrɑhɑ
араһынан	ɑrɑhɑnɑn
араһында	ɑrhɯ̞nda
арба	orba
арба	ɑrβɑ
арбалет	arbalʲet
арбаусы	ɑrbɑlsɯ̞
арбитр	arbitr
арбитраж	aɾβ̞jt̪ɾas
арго	argo
аргон	ärgɔn
арзан	ɑrðɑn
арзан	ɑɾzɑn
арзанайтыу	ɑrðənəjtɯ̞w
арзанайыу	qɑrzɑnäjɯ̞w
арзанлатыу	ɑrzɑnlɑtɯ̞w
арзанлы	ʊ̞rzɑnɫʊ̞
аристократ	aristokrat
арка	ɑrka
аркада	arkɑda
аркалы	ɑrqäɫɯ̞
арлекин	ɑrɫɪ̞kjɪn
арлекинада	arlʲekʲinʲada
армада	ɑrmɑːdɑ
арматура	armatura
арматуралау	ärmætʊ̞rɑɫɑu
арматурасы	ɑrməturaːsɯ̞
армыт	ɑrmɑt
арнай	ɑrnaj
арнау	arnau
арпа	arpa
арпа	ɑrpɑ
арпабатыр	ɑrpɑbatɯ̞r
арпалы	ɑrpɑɫɑ
арслан	ärslɑn
арсланбай	ärslænbɑj
арсланбикә	ɑrslɑnbʲekjæ
арсланбәк	ɑrˈsɫɑnbɛk
арслангәрәй	ärslængæræj
арт	ɑrt
арт	ɑːrtˈ
артабан	ɑrtɑβɑn
артабанға	ɑrtɑβɑnʁa
артабанғы	ɑrtɑbɑnʁɑ
артелсе	ɑrtʲilsɛ
артикул	ɑrtikul
артист	artist
артистизм	ɑɾtjsizm
артмаҡлау	ɑrtmɑqlɑw̜
артмаҡлы	ɑrtmɑqɫɑ
арттырылыусы	ɑrtˈtɯrɯ̞ɫɯ̞wsɯ̞
арттырып	ɑrtɯ̞rɯ̞p
артур	ɑɾtʊɾ
артылыш	ɑrtɯ̞ɫɯ̞ʂ
артын	ɑrtæn
артынан	ɑrtɑnɑn
артыусы	ɑrtɯ̞wːsɯ̞
артыш	ɑrtɯ̞rʂ
артыҡ	ɑrtɑq
артыҡ	ɑrtɯ̞q
артыҡһыныу	ɑrtɑqhɯ̞nɯ̞w
артҡа	ɑrtqäː
арфа	rfa
архангел	ärχäːngɪ̞ɫ
архив	ɑrxiv
архивариус	arxivarius
аршын	ɑrʂɑn
аршынлап	pɑrʂɯ̞nɫɑp
аръяҡ	ɑrjɑq
арымаған	ɑrəmɑʁɑn
арындырыу	ɑrɑndɯ̞rɯ̞w
арыны	ɑrɑnɯ̞
арып	ärap
арыраҡ	ɑrɑrɑq
арырға	ɑrɯ̞rʁäː
арыслан	ɑɾɯzlɑn
арысланбәк	ɑrɯzlɑnbæk
арыу	ɑrɑu
арыубикә	ɑrɯ̞wbʲikæ
арыусанлыҡ	ɑrɯ̞ɫsɑnɫɯ̞q
арыш	ɑrɯ̞ʂ
арыҫлан	ɑrɯ̞θɫɑn
арыҫланбәк	ɑrɯ̞tɫɑnbæk
арғужа	arʁuʒa
арғы	ɑrʁɑ
арғымаҡлы	ɑrɢɯ̞mɑqɫɑ
арҙаҡлау	ɑrðɑqlɑw
арҙаҡлы	ɑrðɑqɫæ
арҡа	ɑrqɑ
арҡан	qɑrqɑn
арҡан	ɑrqɑn
арҡанлау	ärqɑnlɑu
арҡаһында	arqɑhɯ̞ndɑ
арҡыры	ɑrqɯ̞rɑ
арҫылдау	ɑrsɯ̞ɫdæw
ас	ɑs
ас	ɔs
асадулла	ɑsɑdɔlla
асаланырға	ɑsɑblɑnɯ̞rʁɑ
асалаҡ	qɑsɑɫɑq
асанбай	ɑsɑnbɑɪ
асарбаҡты	ɑsɑrbaqtɯ̞
асептика	asɛptika
аскарид	æsgarit
аскарида	askarida
аскетлыҡ	ɑzkɪ̞tɫɯ̞q
асламша	ɑsɫɑmʃa
аслы-туҡлы	ɑsɫɯ̞tuqɫɯ̞
аслыҡ	ɑsɫɯ̞q
аслыҡ	ʊ̞sɫɯ̞q
асма	ɑːsmɑ
асмабикә	ɑsmɑbiːkæ
асмайса	asmajsɑ
асмалы	ɑsˈmɑɫæ
асмандияр	asmandiar
асмаҫҡа	ɑsmaθqɑ
аспид	ɑsˈbɪd
аспирант	ɑspʲirant
аспирантура	ɑspiɾantuɾa
аспиратор	ɑspiɾatɔr
аспирин	ɑspiɾiːn
асрар	ɑsˈrɑr
астигматизм	astigmatizm
астра	astɾa
астрофизика	astrofizika
астырмаҫ	ɑstɑrmɑθ
астырыу	ɑstʊrw
асфальт	ˈasfˌalt
асы	ɑsɯ̞
асы	ɑsˈɑ
асыл	aˈsɐl
асылбай	ɑsɯnbaj
асылды	äsʊ̞ɫdä
асылмалы	ɑsɯlmɑˈɫɑ
асылмаған	ʔasɪ̞ɫmɑʁɑn
асылъяр	ɑsɯ̞ɫjɑr
асылған	ʔasɪ̞lʁɑn
асырға	ɢɑsɯrɢa
асырғаныу	ɑsɯ̞rʁɑnʊ̞
асыу	ɑsɯ̞w
асыуландыр	ɑsɯwɫɑnˈdar
асыуландырыу	ɑsɯ̞uɫɑndɑrɯ̞w
асыуланыбыраҡ	ɑsʊ̞ɫɑnɯ̞bɯ̞rɑq
асыуланып	pɑsɯ̞uɫɑnɯ̞p
асыуланышыу	äsɯ̞uɫɑnäʂɯ̞w
асыусан	ɑsɯlsɑn
асығып	ɑsɯˈgɯp
асыҡ	ɑsɯ̞q
асыҡланырға	ɑsɑqlɑnɯ̞rʁɑ
асыҡланыу	ɑsɯ̞kɫɑnɯ̞w
асыҡланған	pɑsɯ̞qɫɑnʁɑn
асыҡлаусы	ɑsɯ̞qɫɑʊ̞sɯ̞
асҡан	ɑsˈqɑn
асҡар	ʊ̞sqɑr
асҡыс	bɑsqɯ̞s
асҡыс	ɑsqɯ̞s
ат	ɑt
ата	ɑtːa
ата-бабалар	ɑtɑbɑbɑɫɑr
ата-әсә	otɑɛsæ
ата-әсәләр	ɑtɑɛsɛlɛr
атаhы	ɑtɑhɯ̞
атавизм	aːtavizm
атай	ätäj
атай	ɑtɑj
атайһыҙ	ətæjhɯ̞ð
атака	ataka
атакалау	atakalau
аталандырыу	tɑɫɑndɯ̞rɯ̞w
атама	ɑtɑmɑ
атаман	pɑtɑmɑn
атаманлыҡ	pɑtɑmɑnɫɯ̞q
атанбай	əʈːanbəj
атанғол	ätänʁɑɫ
атау	atau
атаулла	ɑtɑwɯ̞ɫɑ
атаһы	ɑtɑɢɯ̞
атеист	ɑdɪist
атлай	atlaɪ
атламау	atlamau̯
атлантик	ɑtlɑntik
атлантика	ætlantika
атланыу	ɑtlænäu
атларға	qɑtlɑrʁɑ
атлау	pat̪lau
атлет	ɑtlʲɪt
атлетика	atlʲetika
атлы	ɑtˈɫɑ
атлығып	ɑtɫɯ̞ʁʊ̞w
атлыҡҡан	ɑtɫɯ̞qqɑn
атомизм	ɑtomizm
атомистик	atomistik
атрибут	atʁibˈut
атропин	atropin
атсабар	ɑtsɑbɑɾ
аттика	atːika
атты	ɑtːɑ
атылып	ɑtɑɫɯ̞p
атыусы	ɑtɯ̞ɫsɯ̞
атҡа	tɑtqɑ
атҡан	pɑtqɑn
атҡандай	qätqɑndɑj
атһын	bɑthɯ̞n
ау	ɑw
ау	ˈɑl
аулау	awlau
аулаусылыҡ	ɑwlɑɫsɯ̞ɫɯ̞q
аулаҡ	ɦɑulɑq
аулаҡлыҡ	ɑwlɑqlɯ̞q
аумау	awmɔu̯
аумаҡай	hɑʊmɑqɑj
аумаҡайланыу	ɑɫmɑqɑjˈɫɑnɯ̞w
аунап	aʊmɑp
аунарға	ɑunärɢa
аунатып	awnatɑp
аунатыу	au̯natɔu̯
аунаҡлау	ɑunɯ̞qɫɑu
аунаҡлыҡ	pɑwnɑqɫɯ̞q
аурупа	ɑwɾopɑ
аусаф	aʊsɑf
аусафкамал	aɫsæfkamɑl
аусы	aʊsɑ
аут	ɑˈvt
аухар	awχäɾ
аушан	aʃɑn
аушанлау	aɫʃanɫau̯
аушанлаҡ	hɑuʂɑnlɑq
ауыл	awˈl
ауыл	ɑwɯ̞ɫ
ауыл-ара	ɑwɯ̞ɫɑrɑ
ауылғаса	hɑwɯlʁɑsɑ
ауыр	au̯eɾ
ауырайыу	ɑuɾɑjɯw
ауырлашырға	hɑuɯ̞rɫäʂɯ̞rʁɑ
ауырлашыу	äuɯ̞rɯ̞ɫäʂɯ̞w
ауырлы	ɑuɯ̞rɫä
ауырлыҡ	hɑuɯ̞rɫɯ̞q
ауырмай	awɾmaj
ауыртмаһын	awɪ̞rtmɑhɯ̞n
ауыртыныу	aʊɪ̞rtʊ̞nɯ̞w
ауыртып	ɑwɯ̞rtɑp
ауыртҡас	aʋɯ̞rtqas
ауыртҡылау	ɑwɯ̞rtqäɫæw
ауырыбыраҡ	ɑuɯ̞rɯ̞bɯ̞rɫɑq
ауырыраҡ	ɑuɯ̞ʁɯ̞rɑq
ауырыу	ɑwɯ̞ɾɯ̞w
ауырыу	ɑwɾɯ̞w
ауырыулы	ɑuɯ̞rɯ̞uɫä
ауырыған	ɑwrɯ̞ɢɑn
ауырығас	ɑwrɯ̞ʁas
ауырға	ɑɫɪ̞ɾʁɑ
ауыш	awɑʃ
ауыҙ	ɑwɯ̞ð
ауыҙ-бит	ɑuɯ̞ðbʲit
ауыҙлылыҡ	ɑwɯ̞ðɫɑɫɯ̞q
ауыҡ-бүләк	ɑwɯ̞qbʏlæk
ауған	au̯ɣ̞an
ауҙарылмалы	hɑuðɑrɯ̞ɫmäɫɯ̞
ауҙарырға	ɑuðärɑrʁä
ауҙарыу	äuðärəw
ауһаҡ	ɑwhɑq
афарин	ɑfɑrʲïn
афера	afeɾa
афзал	ɑfzɑl
афиша	afiʃa
афористик	afɔristik
африка	aːfriˈkɑ
африкан	afriːkan
аффикс	aːfˈiks
афәт	afet
ахмаҡланырға	ɑqmɑqɫɑnʊ̞rʁä
