-åringar	oːrɪŋaːr
aftonskolan	afˈtˈɔntskˈuːlˈˈan
aftonsång	aftɔnsɔŋ
aga	agˈa
aga	ˈɑːga
agade	agada
agam	agˈom
agar	agˌar
agar	ˈɑːgar
agat	ˈagat
agb	ˈagb
agda	aqda
agell	agˈɛl
agenda	agˈɛnda
agendan	agˈɛndan
agent	agˈɛnt
agent	aɣjent
agent	ˈɑːgənt
agentfilm	aːgɛntfɪlm
agentur	ajˈɛntˈyr
agenturfirma	ˈajjəntˌʉrfˈɪrma
agentverksamhet	ajˈɛntvərksamhˌeːt
agera	ˈageːrˌa
agerar	ˈageːrˌar
agg	ag
aggregat	ˈagrəgˌat
aggregatet	ˈagrəgˌatət
agilt	agilt
agitera	ˈɑːgiːtˌeːra
agn	ɑŋɯnðɯ
agn	ˈaŋn
agna	aɲna
agnar	ˈaŋnar
agneta	agˈnətˈa
agnhåvar	agnhoːvar
agnhåven	aŋnˈhˈoːvən
agonal	agːˈonˈaːl
agraff	agˈraf
agrara	ˈagrarˌa
agronom	ˈagruːnˌɔm
ags	ˈags
ah	a
aha-upplevelse	ˈɑːhaˈɵpləvˌɛlsə
ahlin	alˈiːn
ahlkvist	alkvˈɪst
aids	ˈɑːɪds
aina	ajna
aino	aɪnɔ
aj	ˈaɪ
aj	ˈɑːj
akademi	ˈɑːkadəmˌiː
akademiker	ˈɑːkadəmˌiːkər
akademin	akadˈɛmˈin
akademisk	ˈɑːkadəmˌɪsk
akademiska	ˈɑːkadəmˌɪska
akalla	akˈala
akf	akʊf
akilleshäl	ˈɑːkɪlˌɛshɛːl
aklejruta	akˀlˌeːjrˈʉta
akrobat	ˈakrobat
akrobat	ˈakruːbˌat
akrobatik	akroːbatˈiːk
akronym	akronˈym
akryl	ˈakryːl
akrylplast	akɾylplasˈt
akt	ˈakt
akta	aktam
akta	ˈakta
aktant	aktˈant
aktar	ˈaktar
akter	aktˈœr
akter	ˈaktər
akterseglad	ˈaktəʂˌɛglɑːd
akterseglade	aktˈɛvsˈɛgladə
akterstäv	aktˈeːrstˈev
akteröver	aktˀuːrˈøːvər
aktge	aktjɛ
aktger	ˈaktjˈɛɹ
aktgiver	aktjˈɛvər
aktgivna	aktjivna
aktie	ˈaktiːə
aktiebolag	ˈaktiːəbˌuːlɑːg
aktiefonder	aktieːfˈɔndər
aktin	aktˈin
aktintrådar	aktˈiːntˈrɔdar
aktion	aksxˈuːn
aktioner	aksxˈuːnər
aktiv	ˈaktiːv
aktiva	ˈaktiːvˌa
aktivare	aktˈiːvare
aktive	aktˈivə
aktivera	aktivˈeːra
aktivera	ˈaktiːvərˌa
aktiverar	ˈaktiːvərˌar
aktiveringskod	aktˈiːvərɪŋskˈoːd
aktivist	ˈaktiːvˌɪst
aktivitet	ˈaktiːvˌiːteːt
aktiviteten	aktˈiːviːtˈətˈɛn
aktiviteten	ˈaktiːvˌiːteːtən
aktiviteter	aktˈiːvitˈeːtər
aktiviteter	ˈaktiːvˌiːteːtər
aktivitetsflöden	aktˈiːviːtˈətˈsflˈøːdˈan
aktivt	aktˈivt
aktivt	ˈaktɪvt
aktning	ˈaktnɪŋ
aktningsvärd	ˈaknɪŋsvərd
aktris	ˈaktriːs
aktsam	ˈaktsam
aktsamhetskrav	ˈaktsamhˌeːtskrˈɑːv
aktstycke	aktˀstˈyːkːˌeːn
aktstycket	ˈaktstˈyːkət
aktualisera	ˈaktʉˌaliːsˌeːra
aktualiserar	ˈaktʉˌaliːsˌeːrar
aktualitet	ˈaktʉˌaliːtˌeːt
aktuell	ˈaktʉˌɛl
aktuella	ˈaktʉˌɛla
aktuellt	ˈaktʉˌɛlt
aktör	aktˈœr
aktör	ˈaktøːr
akupunktur	ˈɑːkʉpɵŋktˌʉr
akustik	ˈɑːkɵstˌiːk
akustisk	ˈɑːkɵstˌɪsk
akuta	akuta
akuten	ˈɑːkʉtən
akutmottagning	ˌɑːkɵtmˈuːtːɑːŋnˌɪŋ
akvarell	akvarˈɛl
akvarell	ˈakvarˌɛl
akvareller	akvarəlˈlˈeːr
akvariet	akvarjət
akvarium	ˈakvarˌiːʉm
akvatisk	akvatˈisk
akvatiska	akvatːiːska
akvedukt	akvədˈʌkt
al	ˈɑːl
alabaster	alˈabˈastər
alabaster	ˈɑːlabˌastər
alabasterriska	alabasˈtərrˈɪˈska
aladåb	aladuob
aladåb	ˈɑːladˌoːb
alarik	ˈɑːlˈɑːrɪk
alarm	alaːrm
alarmberedskap	ˈɑːlarmbərˌɛdskɑːp
alarmerande	ˈɑːlarmˌeːrandə
alarmklocka	alaːrmflˈɔkːa
alaska	alˈɑskˈa
alban	alˈbˈam
alban	ˈalban
albaner	albonər
albansk	ˈalbansk
albanska	albˈonska
albatross	albatrˈɔs
albert	ˈalbət
albina	albina
albino	ˈalbiːnˌuː
albinopåfågel	alˈbˈiːnˈuːpˈoːfˈoːgəl
album	albʊm
album	ˈalbʉm
aldrig	ˈaldrɪg
alerten	alˈətən
alerthet	ˈɑːləthˌeːt
alexanderhugg	alˈɛksˈandərhˈʉg
alexandra	alˈɛksandrˌa
alexandra	alˈɛksˈandrˌa
alexis	alɛksɪs
alf	ˈalf
alfa	ˈalfˈa
alfabet	alfabˈeːt
alfabet	ˈalfabət
alfabetet	ˈalfabətət
alfabetisera	ˈalfabətˈiːkəra
alfabetisera	ˈalfabətˌɪseːrˌa
alfabetiserar	ˈalfabətˌɪseːrˌar
alfabetisk	alfabˈeːtˌiːsk
alfabetisk	ˈalfabətˌɪsk
alfahanne	alfahann
alfdis	alfdˈɪ
alfons	alfˈɔɹs
alfrida	ˈalfrˈiːdˌa
alfågel	ˈɑːlˈəˈfˈoːgəl
alg	alja
alg	ˈalɪç
algblomning	alˈiblˈuːmniːŋ
alger	ˈaljər
algerier	ˈaljərˌiːər
algerisk	ˈaljərˌɪsk
algol	algoːl
algoritmen	ælguːrɪtmən
ali	o˩˥ːlɪ
alibi	ɑːlbˈɪ
alida	alʲida
alkalier	alkalˈiːeːr
alkan	alkoŋ
alkemi	ˈalkəmˌiː
alkemister	alkəmˈɪstər
alken	alkʲin
alkfågeln	alkvˈoːgəln
alkohol	ˈalkʊhˌoːl
alkoholhalt	alkˌuːhˈoːlhˌalt
alkoholism	ˈalkʊhˌoːlɪsm
alkohollag	alkˈuːhˈoːllˈɑːg
alkoholpoliklinik	ˈalkʊhˌoːlpuːlˌɪkliːnˌiːk
alkoläsk	alkoholɛsk
alkotest	ˈalkuːtˌɛst
alkov	alkoːv
alkov	ˈalkuːv
all	ˈal
alla	ala
alla	alaː
alla	ˈala
allbekant	allbəkˈant
alldaglig	ˈaldɑːglˌɪg
alldaglig	ˈaldˈɑːglˌɪg
alldeles	ˈaldələs
allegat	alˈlˈɛgˈotˈ
allehanda	allˈehanda
allehanda	ˈaləhˌanda
allena	alˈeːna
allena	ˈalənˌa
allenarådande	alˈeːnarˈoːdandə
allenarådande	ˈalənˌaroːdˌandə
allenast	alənast
allergi	ˈalərjˌiː
allergisk	ˈalərjˌɪsk
allesamman	ˈaləsˌaman
allesammans	ˌaləsamˈans
allestädes	ˈaləstˌɛːdəs
allhärskare	allhˈɛrskarə
allians	ˌaliːˈans
alliansfri	ˈaliːˌansfriː
allierad	ˈaliːərˌad
allihop	ˈaliːhˌuːp
allihop	ˈalːiːhˌuːp
allihopa	ˈaliːhˌuːpa
allkonstverk	ˈalkˈɔnstvərk
allmoge	ˈalmuːjə
allmogen	almˈuːgən
allmosa	ˈalmuːsˌa
allmän	ˈalmɛːn
allmänbefinnande	almˈɛnbəfˈɪnnandə
allmänbildad	almənbˈɪldad
allmänbildad	ˈalmənbˌɪldad
allmänbildning	ˈalmənbˌɪldnɪŋ
allmänbildningen	almənbˈɪldnɪŋən
allmänfarlig	ˌalmənfˈɑːrlɪg
allmängiltig	ˈalməŋˌɪltɪg
allmängods	ˈalməŋˌuːds
allmänheten	almənˈhˈətˌɛn
allmänhetens	ˈalmənheːtəns
allmänna	ˈalmənˌa
allmänning	ˈalmənˌɪŋ
allmännyttan	almˈɛnnˈytːan
allmännyttig	almˈɛnnˈytːiːg
allmänpraktiker	almənpraktiːkər
allmänpraktiserande	almˈɛnpˈraktiːsˈeːrandə
allmänspråk	almənsprˈoːk
allmänt	almˈɛnt
allmänt	ˈalmənt
allmänvård	almənvˈoːrd
allom	allˈɔn
allra	ˈalra
allround	ˈalruːˌɵnd
alls	ˈals
allsidig	ˈalsiːdˌɪg
allsköns	alsxˈœns
allsmäktig	alsmˈɛktɪg
allsmäktig	ˈalsməktˌɪg
allsvensk	ˈalsvənsk
allsvenskan	ˈalsvənskˌan
allsång	allsˈɔm
allsång	ˈalsɔŋ
allt	alt
allt	ˈalt
alltefter	ˈaltəftər
allteftersom	ˈaltəftˌɛʂɔm
alltfler	altflˈeːr
alltför	ˈaltføːr
alltför	ˈaltfˌøːr
alltiallo	ˈaltiːˌaluː
alltid	altˈɪd
alltid	ˈaltiːd
alltifrån	ˈaltɪfrˌoːn
alltihop	ˈaltiːhˌuːp
alltihopa	ˈaltiːhˌuːpa
allting	ˈaltɪŋ
alltjämt	altjˈɛmt
alltjämt	ˈalɕəmt
alltmer	altmeːr
alltmer	ˈaltmər
alltmera	ˈaltmeːrˌa
alltnog	ˈaltnuːg
alltsamman	ˈaltsamˌan
alltsammans	ˌaltsamˈans
alltsedan	altˢsˈeːdan
alltsedan	ˈaltsədˌan
alltsomoftast	altsˈɔmˈɔftast
alltså	ˈaltsoː
allvar	ˈallvɑːr
allvarlig	allvarlˈɛg
allvarlig	ˈallvɑːrlˌɪg
allvarliga	allvˈɑːlˈɪga
allvarliga	ˈallvɑːrlˌiːga
allvarligare	alvˈɑːrlˈɪgːarə
allvetande	alvˈeːtandə
allvädersjacka	alvˈɛdərsjˈakːa
alm	ˈalm
alma-ata	almaʔatau
almanacka	almˈɛnˈakːa
almanacka	ˈalmanˌakːa
almanackan	almanˈakːan
almanacksblad	almanakˌsblˈad
almar	almaːr
almedalen	ˈalmədˌɑːlən
almen	almen
almi	aːlmi
almkvist	almkvist
almqvist	ˈalmgˈvɪst
almstagatan	almstˈɔgatˈan
almtunakyrkan	almtʉwnaʃyrkan
almén	almiːn
aln	ˈaln
alpacka	ˈɑːlpˈakːa
alpackaull	alpakːaːˈʉlː
alperna	alpˈɛrna
alperna	ˈalpərnˌa
alpin	alpˈin
alpin	alpˈiːn
alpina	alpeiːnɛ
alpkaja	alpkaːja
alpkråkan	alpkroːkan
alplandskap	alblˈaːndskˈɑːp
alplandskapen	alplˈandskˈɑːpən
alplandskapet	alblˈˈandskˈɑːpət
alppass	ˈalppas
alsing	alsiŋ
alster	alstɛr
alster	ˈalstər
alstra	alˈstˈʁa
alstra	ˈalstra
alstrad	ˈalstrad
alstrar	ˈalstrar
alstringskraft	ˈalstrəŋskˈraft
alströmer	ˈɑːlstrˈøːmər
alt	ˈalt
altaisk	altˈajsk
altan	ˈaltan
altanen	altanen
altare	altare
altare	ˈaltarə
altaret	altarˈɛt
altarrund	altarrˈund
altarskåp	altarskop
altartavla	altˈaːrˈtˈɑːvla
alternativ	altˈɛrˈnatˈiːv
alternativ	ˈaltərnatˌiːv
alternativa	altˈɛrnaˈtˈiːva
alternativen	altˈɛrˈnatˈiːvən
alternativet	altˈɛrˈnatˈiːvət
alternativlös	altˌeːnatˈiːvløːs
alternativrörelse	altˈɛrnatˈiːvrˈøːrəlsə
alternativt	ˈaltərnatˌɪvt
alternera	ˈaltərnˌeːra
alternerar	ˈaltərnˌeːrar
altfiol	altfiɾuːl
althornet	altfˈuːrnət
altklav	altklˈɑːv
altparti	altpaˈartˈiː
altpartiet	altpaˈartiːˌət
altruist	ˈaltrʉˌɪst
altstämma	ˈaltstˈɛmɑː
aluminium	ˈɑːlʉmˌiːniːˌʉm
alun	ˈɑːlən
alv	ˈalm
alva	alava
alvar	allvˈar
alve	ˈalvən
alveol	alviɔl
alvesta	alˈvɛsta
alvin	ˈalvɪm
alvina	alvina
amalgam	ˈɑːmalgˌam
amandine	amandˈiːn
amandus	amandɔs
amason	amason
amason	ˈɑːmasˌuːn
amatör	amatˈa
amatör	ˈɑːmatˌøːr
amatörfilm	amatˈøːlfˈɪlm
amatörfotograf	amatˈøːlfˈuːtˈuːgˌrˈɑːf
amatörteatergrupper	amatˈøːrteːatˈərgrˈɵppər
ambassad	ambasad
ambassad	ˈambasˌad
ambassadråd	ambasadrˈoːd
ambassadör	ˈambasˌadøːr
ambassadörer	ˈambasˌadøːrər
ambivalent	ˈambiːvˌalənt
ambra	ambɾa
ambulans	ˈambˈʊlˈans
ambulans	ˌambʉlˈans
ambulansflygplan	ambˈʉlˈansflˈyːplan
ambulansförare	ambʉlˈantsfˈøːrarˌeː
ambulerar	ˈambʉlˌeːrar
amen	ˈɑmən
amen	ˈɑːmən
amerikan	ˈamərˌɪkan
amerikanare	ˈamərˌɪkanˌarə
amerikanarna	ˈamərˌɪkanˌarna
amerikansk	ˌamərɪkˈɑːnsk
amerikanska	amˈriːkˈɑːnska
amerikanska	ˌamərɪkˈɑːnska
amfiteater	ˈamfiːtəˌatər
amin	ɑːmɪn
aminosyror	ˈɑːmiːnˌuːsyːrˌuːr
amiral	ˈɑːmiːrˌal
amma	ˈama
ammade	ammada
amman	aman
ammar	amar
ammar	ˈamar
amnesti	ˈamnəstˌiː
amning	ˈamnɪŋ
amningen	ˈamnɪŋən
amok	amˈok
amok	ˈɑːmuːk
amoralisk	ˈɑːmuːrˌalɪsk
amorf	amrf
amorfa	amorfa
amorteringskravet	amˈuːrtərəŋskrˌɑːvət
ampel	ampɛl
ampel	ˈampəl
ampere	ˈampərə
amplitud	amplˈɪtyːd
ampull	ˈampɵl
amputera	ˈampʉtˌeːra
amputerar	ˈampʉtˌeːrar
ams	ˈams
amsaga	amsoga
amu	ˈɑːmʉ
amulett	ˈɑːmʉlˌɛt
amylas	amylas
amöba	amɨeba
an	ˈɑːn
ana	ˈɑːna
anafor	ˈanafˈoːr
anaforisk	anafˈoːrˈiːskt
anakolut	anakulʉt
anakronism	ˈɑːnakrˌuːnɪsm
anal	anˈɔl
analfabet	analfɑːrbˈeːt
analfabet	ˈɑːnalfˌabət
analfabeter	anˈalfabətˌər
analfabeter	ˈɑːnalfˌabətər
analfabetism	ˈɑːnalfˌabətˌɪsm
analog	amalˈuːg
analoga	analˈoːg
analogi	ˌɑːnalˈoːgiː
analogt	analˈoːgt
analys	analiːs
analys	ˈanalˌyːs
analysarbete	amalˈysarbeːtə
analyser	analiːsər
analyserande	ˈanaːlysˈeːrandə
analyserar	analiːseːrˈar
analyserar	ˈanalˌyːseːrˌar
analysföretagen	ˈanalˈysfˈøːrətˈɑːgən
analytisk	analytisk
analöppning	ˌɑːnalˈœpnɪŋ
anamma	anama
anamma	ˈɑːnamˌa
anammar	ˈɑːnamˌar
anamnes	anamnis
anamnes	ˈɑːnamnəs
ananas	ananaːs
ananas	ˈɑːnanˌas
ananaser	anːˌanˈasər
ananias	ˈananiɛɣias
anapest	anapest
anar	ˈɑːnar
anarki	ˈɑːnarkˌiː
anarkist	ˈɑːnarkˌɪst
anatema	anatjema
anatomi	anatomˈiː
anatomisk	anatˈuːɐmisk
anbefalla	ˈanbəfˌala
anblick	ˈanblɪk
anblåsa	anblˈoːsɜ
anblåser	anblˈoːsar
anblåsta	anblˈoːstˈa
anbragt	anbrˈakt
anbringa	ˈanbrɪŋˌa
anbringar	ˈanbrɪŋˌar
anbud	ˈanbʉd
anbudet	ˈanbudət
and	ˈand
anda	ˈanda
andakt	ˈandakt
andakt	ˈandˌakt
andalusisk	andalusˈiːsk
andan	anˈdɑˈn
andan	ˈandan
andas	anˈdˈɑs
andas	ˈandas
andats	ˈandats
ande	aŋdɯ
ande	ˈandə
andedräkt	anˈdədrˈɛkt
andedräkt	ˈandədrˌɛːkt
andel	ˈandəl
andelar	ˈandəlˌar
andelen	ˈandələn
andelsföreningar	antˈeːlsfˈœrˌeːnɪŋˌar
andelsföreningen	ˈandəlsfˈøːrˌeːnɪŋən
andelslägenhet	ˈandeːlslˌɛːgeːnhˌeːt
andemening	ˈandəmənˌɪŋ
andetag	ˈandətˌɑːg
andevägledare	antˀeːvˈɛglˌeːdarə
andfådd	ˈandfɔd
andhämtning	ˈandhəmtnˌɪŋ
andlig	ˈandlɪg
andlös	anˈdlˈɔs
andlös	ˈandløːs
andmat	ˈandmˈɑt
andning	ˈandnɪŋ
andningshål	annˈiːŋshˌoːl
andningsorgan	ˌandnɪŋsˈɔrgan
andningsväg	ˈandnɪŋsvəg
andnöd	ˈandnøːd
andor	anˈdor
andra	ˈandra
andrapris	ˈandraprˈɪs
andrapriset	andraprˈiːsən
andrar	ˈandrar
andras	ˈandras
andraspråk	ˈandrˌasprˈuːk
andraårsstuderande	ˈandrˌavˈoːrsstˈʉdeːrandə
andre	andrɛ
andre	ˈandrə
andres	andres
androgen	andrˈoːxən
androgyn	ˈandruːjˌyːn
androm	andrˈɔm
andrum	ˈandrɵːm
andsteken	ˈantstˌeːkən
andäktig	ˈandəktig
anekdot	ˈɑːnəkdˌuːt
anemi	ˈanemˈɪ
anemi	ˈɑːnəmˌiː
anestesi	ˈɑːnəstəsˌiː
anfader	ˈanfadər
anfall	anfˈal
anfall	ˈanfal
anfalla	anfala
anfalla	ˈanfalˌa
anfaller	ˈanfˈalər
anfallskriget	ˈanfˈallskrˈiːg�ət
anfallsmål	anfˈalsmˈoːl
anfallsområde	anfalsˈɔmrˌoːdə
anfallsområdet	anfˈalsˈɔmrˌoːdət
anfallsspelen	ˈanfˌalsspˈeːlən
anfallsvåg	ˈanfˈalsvˈˈoːg
anfallsvågen	ˈanfˌalsvˌoːgən
anfang	ˈanfaŋ
anflugit	anflˈʉgət
anfordran	ˈanfuːrdrˌan
anfrätt	ˈanfrət
anfäktar	ˈanfəktˌar
anföll	anfˈœl
anföra	ˈanføːrˌa
anförande	ˈanføːrˌandə
anförandena	anføːranˈdɯnˈa
anförd	anfɔːrd
anförda	anføːrdˌɑː
anföring	ˈanføːrˌɪŋ
anföring	ˈanfˈøːrɪŋ
anförtro	anfˈœtruː
anförvant	anfˈœrvant
ang	ˈaŋ
angav	ˈaŋav
angelägen	anjələgən
angelägen	ˈaŋəlˌɛːgən
angelägenheter	ˈanjəlˌɛgənhˈeːtər
angelägenheter	ˈaŋəlˌɛːgeːnhˌeːtər
angeläget	ˈanjˈɛlɛgːət
angelägna	ˈaŋəlˌɛŋna
angenäm	ˈaŋənˌɛːm
anger	anjˈɛr
anger	ˈanjeːr
anges	ˈanjeːs
angett	ˈaŋət
angick	anjˈɪk
angick	ˈaŋɪk
angiva	anjiːvˈ
angiven	ˈaŋiːvən
angivet	ˈaŋiːvət
angivit	anjˈɪvət
angivna	ˈaŋɪvnˌa
angoraget	anːgˈoːrˈajˈɛt
angorageten	anguːrajˈɛtən
angorakaninen	anːgoːrˈakˈanˈiːnən
angrep	ˈaŋrəp
angrepp	ˈaŋrəp
angreppskrig	angrˈəpskrˈiːg
angripare	hˈangrˈiːparə
angriparen	angrˈiːpərən
angriper	angriːpər
angripit	angrˈiːpˌɪt
angripna	antrɪpna
angrips	anˈgriːps
angränsande	angrˈɛndˈsˈandə
angränsande	ˈaŋrənsˌandə
angå	ˈaŋoː
angående	ˈaŋoːˌɛndə
angången	angˌoːŋˌən
angånget	angˈoːŋət
angår	aŋgoːr
angått	angott
angöra	ˈaŋøːrˌa
anhalt	anhˈalt
anhalt	ˈanhalt
anherrar	ˈɔnhˈɛrrar
anhopning	ˈanhɔpnˌɪŋ
anhopning	ˈanhˌuːpnɪŋ
anhydrid	anhˈydrid
anhängare	ˈanhəŋˌarə
anhängnisstift	aphˈəŋnɪsstˈɪft
anhålla	anhˈɔla
anhålla	ˈanhɔlˌa
anhållan	ˈanhɔlˌan
anhållande	anhˈoːrlˌandə
anhållande	ˈanhɔlˌandə
anhöll	anhˈœl
anhöll	ˈanhːøːl
anhörig	ˈanhøːrˌɪg
anhörig	ˈanhˌøːrəg
anhörig	ˈanhːøːrəg
anhöriga	anhˈøːriga
anhöriga	ˈanhøːrˌiːga
anhörigvårdare	ˈanhˌøːrɪgvˈoːrdarə
aniara	anːiːoːrˈa
anilin	anɪlˈiːn
aning	ˈɑːnɪŋ
aningar	ˈanɪŋar
aningen	ˈɑːnˈɪŋən
aningslöshet	ˈɑːnɪŋslˈʉshˈɛt
anis	ɔnɪs
anja	aːnjɑ
anka	aŋka
anka	ˈaŋka
ankan	ankam
ankar	ˈaŋkar
ankarbult	ankarbult
ankare	ˈaŋkarə
ankaret	aːnkaːret
ankargrund	ankaːrgrunˈd
ankargången	ankargˈoŋən
ankarplats	ankarplatʃ
ankarslut	ˈankarslˈʉt
ankarstock	ˈankarstˈɔk
ankarstockarna	ankarstˈɔkˈarˈnˈa
ankartåget	ankartˈuːgət
ankdamm	ˈaŋkdam
ankel	ankɛl
ankel	ˈaŋkəl
anklaga	ˈaŋklɑːgˌa
