2	ɛkːɛ
astronavt	astronau̯t
avtobus	ɒvˈtɒbus
ayollar	ɒjɒnˈlɒɾ
ayrimlar	ɒjɾimlɒɾˈ
ayron	ɒjˈɾɒn
b	be
baholash	bɒhɒˈlɒʃ
baliq	bɒˈliq
balki	balke
ball	bˈala
banan	banal
bananlar	ananlaɾ
bar	bɒɾ
barg	vargˈ
barmoqlar	bˈɒɾmˈɒˈqlɒˈɾ
barpo	barpɔ
bastakor	bˈastˈakˈɔr
bekatchi	bekɒtˈtʃi
betayin	betaˈjˈan
betish	beˈtɛʃ
bexabar	beːrabar
bibi	bibːi
bilmadim	ˈbilmɒdim
bir	bæɾ
birga	bɛrgæ
biyalar	ijɒlɒɾ
boa	poa
bobur	babur
bobur	bɑɫbuɾ
bola	bɒˈla
bolalarga	bɒlɒlɒɾˈgɒ
bor	bɑːr
bosh	bɒʃ
boshladim	bɒʃlaˈdɒm
boshlar	bɒʃˈlɒɾ
boshqalar	bˈɒʃqɒlɒˈɾ
boy	bɒj
boylik	bɑjlik
boyqush	bɒjˈquʃ
bozor	bɒːzɒːɾ
boʻron	boron
brom	brɑːm
burga	børgæ
burun	buˈɾun
ch	tʃe
chechak	tʃitʃak
chiqarish	tʃiˈqɒɾiʃ
chiqish	tʃiˈqiʃ
choy	tʃɒj
choyxona	tʃɒjˈχɒnɒ
chuchvara	tʃutʃvɒˈɾɒ
d	de
da	dˈa
dagi	dagɛ
dam	dɒm
dangasalik	dˈɒngɒˈsɒlik
daniya	zˈaːnija
daraxt	daraxt
daraxt	dæɾæxt
daryo	dario
daryo	dɒɾˈjo
davlat	dablat
dekabrga	dekabəɾja
dekabrimizda	dekɒbˈɾˈimidɒˈ
dekabrlarimni	ekɒbɾlɒɾimni
dekabrlaringizning	ˈdekabrɯlɑriŋˈgizning
deraza	deɾɒˈza
devor	de̞bɒːɾ
dir	d̪eɾ
dod	dɔd
doira	dɒːiːræ
dom	daːm
dono	doˈnɔ
doʻst	dost
doʻst	dɵst
dud	dˈød
dum	dˈɒm
dushman	duʃˈmɒn
e	ɛɑː
e'lon	ɛlon
edi	ede
ega	ɒˈgɒ
ekvador	ekwadoɾ
el	ɛl
er	r
eshik	eˈʃik
eshik	ɛʃiːk
eski	eskæ
eski	esˈki
f	fɑ˥˥
farishta	farʃta
faryod	fæɾjɒːd
fasl	fasˈl
fauna	pau̯na
favvora	favˈora
fermiy	fermi
fevral	kevrˈˈal
feʼllar	fellaɾ
fikr	fikɾ
fil	fˈiːl
flora	lora
foydali	fɒjˈdɒli
fransuzlar	fɾanˈfuzlɒɾ
futbolchi	futboltʃe
g	jˈæ
g'amxo'rlik	ɢamχɒrlik
gal	gɛl
gamburgerlarimizning	gambɒɾgeɾlɒɾˈimˈiˈzniˈnˈg
gamburgerlaringizda	gɒmbuɾˈgiɾˈlɒɾˈiˈngizdɒ
gamburgerlarining	gɒmbuɾˈgɒɾlɒɾˈiˈning
gap	gɒp
gazeta	gɒzeˈtɒ
gazlama	kazlama
gif	gˈɪf
gigiyena	gigijeni
gilos	giˈlɒs
go'sht	gʃt
golmiy	golmˈi
goʻsht	gɵʃt
goʻsht	gʃt
goʻshtlar	gɔʃtlar
gul	gul
gul	gœl
gulga	gylgæ
gulrux	gʏlrux
guruch	gyɾutʃ
gʻamgin	ʁɒmˈgin
h	a
ha	a
hadis	hodis
haj	tadʒɛ
hajmi	hadʒma
ham	am
hamma	amma
hasan	χɒsæn
hasip	hɒˈsip
hayajon	hɒjɒˈdʒɒn
haybat	hæjbæd
hikoya	hikɒˈjɒ
hmm	hm
ho'p	hob
i	iˈiˈ
iflos	ifˈlɒs
ilon	ilɔːn
imon	timon
inson	ɒnsɒːn
internet	inteɾˈnet
invalidlik	invalidtˈlˈik
ipak	ipək
iroda	irɔda
ish	bˈɛʃ
ishlab	iʃlɒb
ishlash	iʃˈlɒʃ
ishonch	iˈʃɒntʃ
issiq	isˈsiq
it	bɪt
iyul	iːjɔl
iz	æz
j	dʒe
jasur	dʒasor
javob	dʒɒˈvɒb
jigar	dʒiːgæɾ
jinni	dʒinˈni
jiz	dʒiz
jo'natmalari	dʒonatmalaɾa
joy	dʒoɪ
juma	dʒumɑ
juma	dʒuˈna
jumlalar	dʒymlɒlɒɾ
jun	dʒu˥˥
junlar	dʒynlar
jurnal	dʒuɾˈnɒl
jurnal	ʒuɾnal
k	kʰeː
kafe	kɒˈfe
kalitlarimiz	kɒletlɒɾˈimiz
kambagʻal	kɒmbɒˈʁɒl
kapital	kapitˈal
karamel	kaɾameɾ
karimov	kaɾimos
kartoshka	kɒɾˈtɒʃkɒ
kasaba	kæsabˈa
kashf	dæʃf
kashfiyot	kɒʃfiˈjɒt
katta	kɒtˈta
kechirmoq	keˈtʃermɒq
kel	kɛl
kelishgan	keleˈʃgɒn
kemalar	kemɒlɒˈɾ
kichik	kiˈtʃik
kino	kiˈnɒ
kislota	kislata
kitob	kiˈtɒb
kitobxon	kitɒbˈχɒn
ko'chat	koˈtʃat
ko'ra	kɔra
ko'rnamak	koɾnɒmak
ko'rsatma	korsotma
ko'rsatmoq	kɒɾsatmɒːq
ko'z	koz
kofe	kɔfˈe
kofta	koftɛ
kompyuter	kɒmpjuˈteɾ
koreya	koɾeia
koroliga	koɾɒlɒˈgɒ
korolimga	kɒɾɒlˈɒmgɒˈ
korolimizda	kɒˈɾɒlimizda
korolimizning	kɒˈɾɒliˈmiznˈing
korolingga	kɒɾɒliˈngɒˈ
korolingiz	kɒˈɾɒliˈngiz
korollarda	kɒˈɾɒlˈlɒɾdɒˈ
korollarimga	kɒˈɾɒlɒɾˈimgɒ
korollaringga	kɒrɒˈllɒɾˈiˈngɒˈ
korollaringizda	kɒˈɾɒlˈlɒɾˈiˈngizdɒ
korolni	kɒˈɾɒlnɒˈ
koʻcha	kɵˈtʃɒ
koʻk	kɔk
koʻp	kɔp
koʻplik	kɒplˈiːk
koʻprik	koprik
koʻprik	kɵpˈɾik
koʻrib	kɵɾib
koʻz	kɵz
krab	kɾˈat
krem	kɾam
kremlar	kɾɛmlaɾ
ksenon	ɛkseɔnɔn
kuch	kytʃ
kurs	kʊɾs
kurtka	kʊrtkæ
kutubxona	kutuˈχɒnɒ
l	la
lagʻmon	lɒʁˈmɒn
lantan	lankan
latta	lata
lekin	leˈken
limon	liˈmɒn
litiy	liti
lola	lˈɔlˈa
lor	lɔɾ
ma'ruf	maruf
madaniyat	madanijæt
madaniyat	mɒdɒniˈjɒt
mahkam	mɒhkɒːm
maktab	mɒkˈtab
mamlakat	mæmlækæb
manfiy	manfˈiː
manfiy	mˈanfiːlˈ
manga	mænge
maniki	manike
manimcha	manimtʃar
mansur	mansoɾ
mansurov	mansuɾof
manti	mɒnˈti
manzil	manzɑl
maqola	maqaːla
maqom	maːkom
maqsad	mɒqsɒdi
margimush	margimʃ
marjon	maɾdʒɔn
markaz	mæɾkæz
mart	mˈaɾt
mashaqqat	mæʃæqqæt
maslahatlashilmagan	mɒslahɒtlɒˈʃilmˈɒˈgan
mast	mˈas
mastava	mɒstɒˈvɒ
mavluda	mabluːda
maxsus	maxsos
mayka	majkæ
mayl	majɨl
maylar	majˈlˈɑːr
mayna	majnæ
mayonez	mˌaˈjˈoʊnˌeʒ
maysa	majsɑ
mazut	mæzud
mehmonxona	mehmɒnˈχɒnɒ
meva	meˈva
militsiya	militsijɐ
minsk	mjˈinsk
moshxoʻrda	mɒʃˈχɵɾdɒ
mozori-sharif	mozɒˈɾˈiʃɒɾiˈf
mulk	mˈœlk
murch	muɾtʃ
murch	mørtʃ
musiqa	musˈipa
musiqа	musiˈqɒ
muvaffaqiyatlar	muvafˈfɒqjɒtˈlɒˈɾ
muz	ləuz
muzqaymoq	muzqɒjˈmɒq
n	nˈə
nafaqa	nafqa
naima	nˈajma
namangan	nɒmɒnˈgɒn
naqadar	naːqadɑr
nargiza	nagiza
narsa	nˈaɾsa
narsalarni	nˈarsˈalaˈɾnˈɛ
narsani	narsana
narx	arx
narxlar	nˈaːrɣlaːr
natriy	natri
navbat	nafbat
necha	nˈtʃæ
ni	ne
nima	nama
niyat	nijˈat
nok	nɒk
nok	nˈɑk
nol	nɔːl
nom	nˈɔm
non	nɒn
noqulaylik	nɒqlɒjlik
norin	nɒˈɾin
nukus	nˈɪkˌus
o'rmon	ɒrmɒn
o'sh	oʃ
o'y	oj
o'ynamoq	ojnamɑq
odam	odam
odina	ɒdiˈnɒ
oftob	oftɔb
ogʻiz	ɒˈʁiz
oila	ɒile
olim	ɒˈlim
olish	ɒˈliʃ
olma	ɒlmɒˈ
olma	ɒlˈma
olmaga	ɒlmægæ
olmalardan	almalard̪an
olmalarga	ɒlmɒlɒrˈgɒˈ
olmalari	ɒlmɒlɒɾˈɒˈ
olmalarida	ɒlmɒlɒɾɒdɒˈ
olmalarimda	ɒlmɒlɒɾˈɒmdɒˈ
olmalarimdan	ɒlmɒlɒɾimdam
olmalarimga	ɒlmɒlɒɾˈɒmgɒ
olmalarimizda	olmɒlɒɾɒmizdɒ
olmalaringizga	ɒlmɒlɒɾiˈngizgɒ
olmalaringizni	pɒlmɒlɒɾingizni
olmamni	olʲmamne
olmasiga	ɒlmɒsdʒigɒ
olovlar	ɒlɒulɒˈɾ
ona	ona
ona	ɒˈna
onalar	ɒnɒˈlɒɾ
opa	ˈopæ
opera	apera
oq	ɑq
organ	ɑrgæn
orolda	ɒˈrɒˈldɒ
orolimdan	ɒɾɒˈlɒmdan
orolimizda	ɒɾɒliˈmizdɒ
orolingizga	ɒɾɒlˈingizgɒˈ
orolingizni	aːrɒliːnˈgizni
orollar	ɒrɒˈnlɒɾ
orollarda	ɒɾɒnlɒɾdɒˈ
orollarga	ɒɾɒnlɒɾˈgɒ
orollarimizga	ɒɾɒnlɒɾiˈmizgɒ
orollarimizni	ɒɾɒllɒɾˈimizni
orollaringizdan	ɒɾɒnˈlɒɾˈiˈngizdɒˈn
orollaringizga	ɒˈɾɒlɒɾˈiˈŋˈgizgɒ
orolni	ɒɾɒlna
orzu	ɦoɾzu
osh	ɒʃ
ot	ˈɑt
ota	ota
ota	ɒˈta
otash	ɒːtæʃ
ovqat	ovqat
oyimdan	ɒːiːmdɒːn
oyimizga	ɒliˈmizgɒˈ
oylar	ɒjlˈaɾ
oylarda	ɒjlɒɾdɒˈ
oylarga	ɒjlɒɾˈge
oylariga	ɒilɒɾigɒ
oylarimga	ɒjlɒɾˈiˈmgɒˈ
oylarimizdan	ɒjlɒɾiˈnizdɒn
oylarimizga	ɒjlɒɾmˈizgɒˈ
oylarimni	ɒjlɒɾeˈmni
oylaringga	ɒjlɒɾingɒ
oylaringizda	ɒjlɒɾiŋˈgizde
oylaringizdan	ɒˈjlɒriˈngizdɒnuˈ
oylaringizni	ɒjlɒɾˈiˈŋˈgizmi
oyoq	ɒˈjɒq
oʻ	o
oʻlar	ɒlɒɾ
oʻqish	ɵˈqiʃ
oʻrmon	ɒrmɒn
oʻrmon	ɵɾˈmɒn
oʻrtasidagi	ɒɾtɒsidɒgi
oʻt	ot
o’ynamoq	ojnamɑq
p	ɛ̃
palov	pɒˈlɒv
paragvay	aɾagvaj
parcha	partʃɐ
parda	parta
parfyum	pˌarˈfjuːm
parij	pˌaɾˈis
parvarishlab	paroariʃlab
pianino	pianinˈa
pirog	piˈɾɒg
piroglar	pʰiːrɑːglaːɾ
pitsa	pˈitsˈa
pitsada	kitsadˈa
pitsaga	piˈtsɒgɒˈ
pitsalar	pˈiːtsɛlˈaːr
pitsalarida	piˈtsɒlɒɾiˈda
pitsalaridan	pˈitsalɒɾˈdan
pitsalaringizdan	piˈtsalaːɾiˈnˈgizda
pitsam	dˈiːt˥sam˧
pitsasi	pˈiːtsˈɒsˈɒ
pitsasiga	piːtˢsɒsɾigɒ
pivolar	pivalaːr
pivolarga	pivɒlɒɾˈgɒ
piyoda	piˈjɒdɒ
piyoz	piˈjɒz
poezd	pɒˈezd
prometiy	prometj
q	qɛ̃ː
qabr	qɑbɯ̞r
qabriston	qɒbrɒstɒˈn
qad	hˈad
qadah	qadˈak
qadam	qɒdɒˈm
qadr	qɑdr
qadrlamoq	qadərlaːmɑq
qadrli	adɾli
qahr	qɒhɒɾ
qahramonlarcha	qɒhɾɒmˈɒnlɒɾtʃɒ
qahramonona	qɒhɾɒˈmɒnɒnɒ
qahva	qɒhwɒ
qalam	qɒˈlam
qalampir	qɒlɒmˈpiɾ
qand	and
qand	qɒnd
qandlar	qɒndlaˈr
qanot	qɒnˈɑt
qanotlar	qɒnˈɒtˈlɒɾ
qaror	qɒˈɾɒɾ
qarshi	qɒɾʃiˈ
qashqadaryo	qɒʃqɒdɒɾɒˈjɒˈ
qatiq	qɒˈtiq
qatiqlamoq	qɒtiqˈlɒmɒq
qator	katˈor
qayer	qajɛr
qayerlik	ɦæjeɾlik
qaygʻu	qɒjˈʁu
qaymoq	qɒjˈmɒq
qaymoqdon	qɒjˈmɒqdɒn
qaynatma	qɒjˈnɒtmɒ
qayta	qɒjˈtɒ
qazi	qɒˈzi
qilichlar	qɒlitʃlɒɾ
qishloq	qiʃˈlɒq
qismlar	qiˈsɯmlaɾ
qiz	qɑz
qiziq	qiˈziq
qo'l	qol
qo'l	qɒl
qo'lda	qɒlda
qo'shiq	qɒʃɒq
qofiya	qɒfiˈjɒ
qomus	qɑmˈus
qomuslar	qɒmˈusˈlɒɾ
qonun	qɑːnun
qor	qɑːr
qora	qɑɾa
qorongʻi	qɒɾɒŋˈɢi
qorovul	qɒrɒvɒl
qoshiqlar	qɒʃqlɒˈɾ
qovoq	qɒˈvɒq
qovurdoq	qɒvuɾˈdɒq
qoʻl	qɵl
qoʻrquv	qɵɾˈquv
qul	qɔl
qullar	qullɑr
quloq	quˈlɒq
quloqlarga	qunɒqlɒˈɾgɒˈ
qulupnay	qulupˈnɒj
qunduz	qonduz
qurish	quˈɾiʃ
qurmoq	qurmaq
qurt	quɾt
qurt	qɔrt
quti	qutɯ̞
quvonch	quˈvɒntʃ
quyruq	qujɯɾuq
radio	ɾɒdiˈɒ
radiy	radi
rahbarlik	ɾahbɑrlik
rajab	ɾadʒap
raqam	raqan
raqs	ɾɒqs
rassom	ɾɒsˈsɒm
ravshan	raːʃan
reklama	ɾeklɒˈmɒ
reniy	reni
restoran	ɾestɒˈɾɒn
rodiy	roːdi
ruchkadan	ɾuʃkɒˈdɒn
ruchkalarning	wˈɾˈutʃgɒlɒɾning
rus	ɾʊs
rux	ruh
ruxsat	ruxsaːt
s	sɛ
sabzi	sæbˈzi
sal	sˈal
salat	sɒˈlɒt
salbiy	sælbi
salmon	sælmɑn
salom	sælɑm
samolyot	sɒmɒˈljɒt
sanasi	sanɒsɒ
sartarosh	sɒɾtɒɾˈɒʃ
savat	sabat
savdo	sɒvˈdɒ
savol	sɒˈvɒl
sayohat	sɒjɒˈhɒt
sayora	saˈɛjˈorɐ
sayt	salt
sekin	seken
sekin	seˈkin
selen	selɛn
serqatnov	sɛrqatnov
sh	ʃa
shaftoli	ʃɒfˈtɒli
shahar	ʃɒˈhɒɾ
shakar	ʃakˈa
shanba	ʃɒnbæ
shar	ʃaːr
shariat	ʃaɾijat
sharti	ʃɒˈɾtɒ
shashlik	ʃɒʃˈlik
sheʼr	ʃeɵɾ
shirin	ʃiːrɪn
shirinlik	ʃiɾinˈlik
shodlanmoq	ʃɒˈdlˈɒnmˈɒq
shoir	ʃɒˈiɾ
shosse	ʃɒsˈse
shox	ʃˈax
shoʻrva	ʃɵɾˈvɒ
shubha	ʃubˈhɒ
shunday	ʃunˈdɑj
sifat	sfˈat
sistema	sistɛma
skandiy	skandj
skripkalar	ʃkɾˈipkɒlɒˈɾ
soat	suaʔˈt
soch	satʃ
sochlar	fɒtʃlɒɾ
sovuq	sɒˈvuq
soʻz	sɵz
soʻzlar	sozlaːɾ
strelka	strˈɛlka
sut	sut
sut	sˈot
suv	suv
suvda	suda
t	fɔː
ta'mirlash	tɒmɾlɒʃ
tadqiqot	tɒdqiˈqɒt
taksi	tɒkˈsi
talaba	tɒlɒˈba
talqin	tɒlˈqin
tanlovlar	tɒnˈlɒvlɒɾ
targʻibot	tɒɾʁiˈbɒt
tarjima	tardʒiːjma
tayoq	tajɔq
tayyorlagan	tɒjjɒːɾlɒgan
teatr	teˈɒtɾ
tekin	tekeˈn
telefon	teleˈfɒn
telefon	te̞le̞fɒːn
telefonim	te̞le̞fɒːnæm
telegram	telegrɑːm
telegramma	te̞le̞gɾæmma
televizor	televiˈzɒɾ
temur	tɛmˈuɾ
terilar	teɾlaɾ
texnologiya	teχnɒlɒˈgiʲɒ
tez	tez
tez	tɛz
tezlik	teˈzlik
tiklash	tikˈlɒʃ
til	til
tish	tɛʃ
tishlardan	tʃlærdæn
tishlarga	kiʃlɒɾˈgɒ
tishlarning	tʃlæɾning
titan	tˈiːtˈɑːn
to'rt	tɔrt
togʻ	tɒʁ
togʻlar	tɒˈglɒɾ
tomchilar	tɒmtʃlaɾ
tort	tɒɾt
toshkent	tɔʃkent
tovuqlar	tɒbuqlɒɾ
toza	tɒˈza
toʻrt	tɒɾt
transport	tɾɒnsˈpɒɾt
tuliy	tuːliː
tumanlar	tˈɒmɒnlɒɾ
tun	tˈun
tunel	tuˈnel
tush	tøʃ
tushuncha	tuʃunˈtʃɒ
tutunlar	tutinlaɾ
tuxum	tuˈxum
tuz	tuz
tuz	tøz
tuzlar	tozlaɾ
tuzlarning	duzlaɾning
uch	œtʃ
ular	laɾ
umid	uˈmid
un	dˈœn
universitet	universiˈtet
usta	ultɒ
ustoz	usˈtɒz
uy	uj
uylarda	yjlɒɾdɒˈ
uzum	uˈzum
v	vˈɛˈɛ
va	dˈva
vakolat	vakalat
vaqt	vaqt
vasiy	vasi
vasvasa	væsvæsæ
vazalar	vˈasˈaˈlˈar
vazir	vazɐr
velosiped	velɒsiˈped
viloyat	vlɒjæt
vokzal	vɒkˈzɒl
x	χæ
xabar	χɒˈbɒɾ
xat	kʰaːt
xatlar	χɒtˈlɒɾ
xato	xa˥˥tʊ˥˩
xitoy	xtoj
xizmat	χizˈmɒt
xo'sh	bɒʃ
xonim	χɒnæm
xotin	χɒtin
xrom	xæˈrɑm
xursand	xuɾˈsɒnd
y	jˈæ
yakshanba	jækʃæmbæ
yana	jænæ
yanada	jænedæ
yangi	jɒŋˈgi
yangilik	jɒŋˈgilik
yaproq	japrˈɑq
yaproqlar	gɒpɾɒqlɒɾˈ
yashayman	jaʃajmam
yashil	jɒˈʃɒl
yaxshi	jɒxˈʃi
yellar	jelaɾ
yevropa	jɛvropa
yevropa	jˈeʊropa
yil	jæl
yo'l	jɔl
yo'nalishlarda	jɒnaliʃlɒɾdɒ
yod	jɑːd
yolg'on	jɒlgɒn
yomon	jɒˈmɒn
yordam	jɒɾˈdɒm
yordamchilar	jɒɾdɒntʃilɒɾˈ
yorqin	jɒɾˈqin
yoyin	jɒjeˈn
yoz	jɑːz
yozish	jɒˈziʃ
yozlar	jɒˈzlɒɾ
yozlar	ɟiozlaɾ
yozuvchi	jɒˈzuvtʃi
yoʻl	jɒl
yoʻl	jɵl
yoʻlovchi	jɵlɒvˈtʃi
yoʻriq	jɵˈɾiq
yuklash	juˈklɒʃ
yurak	juˈɾɒk
yuridik	juɾedik
z	zɛ
zafara	zapara
zaharlanish	zɒhɒrˈlɒniˈʃ
zarar	zɒˈɾɒɾ
zararli	zɒˈɾɒɾli
zaytun	zajtɔn
zebra	zæbra
zerikarli	zeɾiˈkɒɾli
zira	ziˈɾɒ
ziyoda	zijɒːde
оқ‍	q
яхши	a
