a	a˧˥
bom	bɔm˧˥
bòm	bɔm˦˨
bỏm	bɔm˧˩˨
bơn	bɤŋ˧˥
bờn	bɤŋ˦˨
bỡn	bɤŋ˧˩˨
bợn	bɤŋ˨ˀ˩ʔ
bôn	boŋm˧˥
bốn	boŋm˩˧
bồn	boŋm˦˨
bổn	boŋm˧˩˨
bộn	boŋm˨ˀ˩ʔ
bon	bɔŋm˧˥
bón	bɔŋm˩˧
bòn	bɔŋm˦˨
bỏn	bɔŋm˧˩˨
bọn	bɔŋm˨ˀ˩ʔ
bông	boŋm˧˥
bống	boŋm˩˧
bống,	boŋm˩˧
bồng	boŋm˦˨
bỗng	boŋm˧˩˨
bổng	boŋm˧˩˨
bổng,	boŋm˧˩˨
bộng	boŋm˨ˀ˩ʔ
bong	bɔŋm˧˥
bóng	bɔŋm˩˧
bòng	bɔŋm˦˨
bỏng	bɔŋm˧˩˨
bọng	bɔŋm˨ˀ˩ʔ
bôn-sê-vích	boŋm˧˥-ʂe˧˥-jit˦˥
boóc	bɔkp˦˥
boong	bɔŋm˧˥
bớp	bɤp˦˥
bợp	bɤp˨ˀ˩ʔ
bốp	bop˦˥
bộp	bop˨ˀ˩ʔ
bóp	bɔp˦˥
bọp	bɔp˨ˀ˩ʔ
bớt	bɤk˦˥
bợt	bɤk˨ˀ˩ʔ
bột	bokp˨ˀ˩ʔ
bọt	bɔkp˨ˀ˩ʔ
búa	buə˩˧
bùa	buə˦˨
bủa	buə˧˩˨
bừa	bɯə˦˨
bữa	bɯə˧˩˨
bữa,	bɯə˧˩˨
bu	bu˧˥
bú	bu˩˧
bù	bu˦˨
bủ	bu˧˩˨
bụ	bu˨ˀ˩ʔ
bư	bɯ˧˥
bứ	bɯ˩˧
bự	bɯ˨ˀ˩ʔ
bức	bɯk˦˥
bực	bɯk˨ˀ˩ʔ
bui	buj˧˥
búi	buj˩˧
bùi	buj˦˨
bụi	buj˨ˀ˩ʔ
bum	bum˧˥
bùm	bum˦˨
bun	buŋm˧˥
bún	buŋm˩˧
bùn	buŋm˦˨
bủn	buŋm˧˩˨
bung	buŋm˧˥
búng	buŋm˩˧
bùng	buŋm˦˨
bủng	buŋm˧˩˨
bụng	buŋm˨ˀ˩ʔ
bụng,	buŋm˨ˀ˩ʔ
bưng	bɯŋ˧˥
bưng;	bɯŋ˧˥
bừng	bɯŋ˦˨
bửng	bɯŋ˧˩˨
buộc	buək˨ˀ˩ʔ
bước	bɯək˦˥
buổi	buəj˧˩˨
bưởi	bɯəj˧˩˨
buồm	buəm˦˨
bươm	bɯəm˧˥
bướm	bɯəm˩˧
buôn	buəŋ˧˥
buồn	buəŋ˦˨
bươn	bɯəŋ˧˥
buông	buəŋ˧˥
buồng	buəŋ˦˨
bương	bɯəŋ˧˥
bướng	bɯəŋ˩˧
buốt	buək˦˥
buột	buək˨ˀ˩ʔ
bươu	bɯəw˧˥
bướu	bɯəw˩˧
búp	bup˦˥
bút	bukp˦˥
bụt	bukp˨ˀ˩ʔ
bụt,	bukp˨ˀ˩ʔ
bứt	bɯk˦˥
bưu	bɯw˧˥
bửu	bɯw˧˩˨
cách	kak˦˥
cạch	kak˨ˀ˩ʔ
các	kak˦˥
cắc	kăk˦˥
cạc	kak˨ˀ˩ʔ
cặc	kăk˨ˀ˩ʔ
cấc	kɤ̆k˦˥
các-tông	kak˦˥-toŋm˧˥
cai	kaj˧˥
cái	kaj˩˧
cái,	kaj˩˧
cài	kaj˦˨
cãi	kaj˧˩˨
cải	kaj˧˩˨
ca	ka˧˥
cá	ka˩˧
cá,	ka˩˧
cà	ka˦˨
cả	ka˧˩˨
cả,	ka˧˩˨
cả;	ka˧˩˨
cam	kam˧˥
cám	kam˩˧
cám,	kam˩˧
căm	kăm˧˥
cắm	kăm˩˧
cằm	kăm˦˨
cảm	kam˧˩˨
cạm	kam˨ˀ˩ʔ
cặm	kăm˨ˀ˩ʔ
câm	kɤ̆m˧˥
cấm	kɤ̆m˩˧
cầm	kɤ̆m˦˨
cầm,	kɤ̆m˦˨
cẩm	kɤ̆m˧˩˨
cậm	kɤ̆m˨ˀ˩ʔ
cang	kaŋ˧˥
cáng	kaŋ˩˧
càng	kaŋ˦˨
càng	kaŋ˦˨
căng	kăŋ˧˥
cẳng	kăŋ˧˩˨
cảng	kaŋ˧˩˨
câng	kɤ̆ŋ˧˥
canh	kan˧˥
cánh	kan˩˧
cành	kan˦˨
cảnh	kan˧˩˨
cạnh	kan˨ˀ˩ʔ
can	kaŋ˧˥
cán	kaŋ˩˧
càn	kaŋ˦˨
căn	kăŋ˧˥
cắn	kăŋ˩˧
cằn	kăŋ˦˨
cẳn	kăŋ˧˩˨
cản	kaŋ˧˩˨
cạn	kaŋ˨ˀ˩ʔ
cặn	kăŋ˨ˀ˩ʔ
cân	kɤ̆ŋ˧˥
cân,	kɤ̆ŋ˧˥
cấn	kɤ̆ŋ˩˧
cần	kɤ̆ŋ˦˨
cần,	kɤ̆ŋ˦˨
cẩn	kɤ̆ŋ˧˩˨
cận	kɤ̆ŋ˨ˀ˩ʔ
cao	kaw˧˥
cao,	kaw˧˥
cáo	kaw˩˧
cáo,	kaw˩˧
cào	kaw˦˨
cảo	kaw˧˩˨
cạo	kaw˨ˀ˩ʔ
cà-phê	ka˦˨-fe˧˥
cáp	kap˦˥
cắp	kăp˦˥
cắp,	kăp˦˥
cạp	kap˨ˀ˩ʔ
cặp	kăp˨ˀ˩ʔ
cấp	kɤ̆p˦˥
cập	kɤ̆p˨ˀ˩ʔ
cát	kak˦˥
cắt	kăk˦˥
cất	kɤ̆k˦˥
cật	kɤ̆k˨ˀ˩ʔ
cau	kăw˧˥
cáu	kăw˩˧
càu	kăw˦˨
cảu	kăw˧˩˨
câu	kɤ̆w˧˥
câu,	kɤ̆w˧˥
cấu	kɤ̆w˩˧
cầu	kɤ̆w˦˨
cẩu	kɤ̆w˧˩˨
cậu	kɤ̆w˨ˀ˩ʔ
cay	kăj˧˥
cáy	kăj˩˧
cày	kăj˦˨
cày,	kăj˦˨
cảy	kăj˧˩˨
cạy	kăj˨ˀ˩ʔ
cây	kɤ̆j˧˥
cấy	kɤ̆j˩˧
cầy	kɤ̆j˦˨
cầy;	kɤ̆j˦˨
cậy	kɤ̆j˨ˀ˩ʔ
cha	ca˧˥
cha,	ca˧˥
chà	ca˦˨
chả	ca˧˩˨
chạ	ca˨ˀ˩ʔ
chác	cak˦˥
chắc	căk˦˥
chạc	cak˨ˀ˩ʔ
chặc	căk˨ˀ˩ʔ
chậc	cɤ̆k˨ˀ˩ʔ
chạch	cak˨ˀ˩ʔ
chai	caj˧˥
chài	caj˦˨
chài,	caj˦˨
chải	caj˧˩˨
cham	cam˧˥
chàm	cam˦˨
chăm	căm˧˥
chằm	căm˦˨
chạm	cam˨ˀ˩ʔ
châm	cɤ̆m˧˥
chấm	cɤ̆m˩˧
chầm	cɤ̆m˦˨
chẩm	cɤ̆m˧˩˨
chậm	cɤ̆m˨ˀ˩ʔ
chan	caŋ˧˥
chán	caŋ˩˧
chăn	căŋ˧˥
chắn	căŋ˩˧
chằn	căŋ˦˨
chẵn	căŋ˧˩˨
chặn	căŋ˨ˀ˩ʔ
chân	cɤ̆ŋ˧˥
chân,	cɤ̆ŋ˧˥
chấn	cɤ̆ŋ˩˧
chần	cɤ̆ŋ˦˨
chẩn	cɤ̆ŋ˧˩˨
chận	cɤ̆ŋ˨ˀ˩ʔ
chang	caŋ˧˥
chàng	caŋ˦˨
chàng,	caŋ˦˨
chăng	căŋ˧˥
chằng	căŋ˦˨
chằng,	căŋ˦˨
chẳng	căŋ˧˩˨
chảng	caŋ˧˩˨
chạng	caŋ˨ˀ˩ʔ
chặng	căŋ˨ˀ˩ʔ
châng	cɤ̆ŋ˧˥
chanh	can˧˥
chánh	can˩˧
chành	can˦˨
chảnh	can˧˩˨
chạnh	can˨ˀ˩ʔ
chao	caw˧˥
cháo	caw˩˧
chào	caw˦˨
chão	caw˧˩˨
chảo	caw˧˩˨
chạo	caw˨ˀ˩ʔ
chắp	căp˦˥
chạp	cap˨ˀ˩ʔ
chạp,	cap˨ˀ˩ʔ
chặp	căp˨ˀ˩ʔ
chấp	cɤ̆p˦˥
chập	cɤ̆p˨ˀ˩ʔ
chát	cak˦˥
chắt	căk˦˥
chặt	căk˨ˀ˩ʔ
chất	cɤ̆k˦˥
chật	cɤ̆k˨ˀ˩ʔ
chau	căw˧˥
cháu	căw˩˧
chàu	căw˦˨
chảu	căw˧˩˨
châu	cɤ̆w˧˥
chấu	cɤ̆w˩˧
chầu	cɤ̆w˦˨
chầu,	cɤ̆w˦˨
chẫu	cɤ̆w˧˩˨
chậu	cɤ̆w˨ˀ˩ʔ
chậu,	cɤ̆w˨ˀ˩ʔ
chay	căj˧˥
chay,	căj˧˥
cháy	căj˩˧
cháy,	căj˩˧
chày	căj˦˨
chày,	căj˦˨
chảy	căj˧˩˨
chạy	căj˨ˀ˩ʔ
chây	cɤ̆j˧˥
chấy	cɤ̆j˩˧
chầy	cɤ̆j˦˨
chê	ce˧˥
chê,	ce˧˥
chế	ce˩˧
chề	ce˦˨
che	cɛ˧˥
chè	cɛ˦˨
chẻ	cɛ˧˩˨
chếch	cet˦˥
chệch	cet˨ˀ˩ʔ
chêm	cem˧˥
chềm	cem˦˨
chễm	cem˧˩˨
chem	cɛm˧˥
chém	cɛm˩˧
chèm	cɛm˦˨
chẻm	cɛm˧˩˨
chen	cɛŋ˧˥
chén	cɛŋ˩˧
chèn	cɛŋ˦˨
chẻn	cɛŋ˧˩˨
chẹn	cɛŋ˨ˀ˩ʔ
cheng	cɛŋ˧˥
chênh	cen˧˥
chếnh	cen˩˧
chềnh	cen˦˨
chễnh	cen˧˩˨
chểnh	cen˧˩˨
chệnh	cen˨ˀ˩ʔ
cheo	ceo˧˥
chéo	ceo˩˧
chèo	ceo˦˨
chẻo	ceo˧˩˨
chép	cɛp˦˥
chẹp	cɛp˨ˀ˩ʔ
chết	cet˦˥
chết,	cet˦˥
chét	cɛk˦˥
chẹt	cɛk˨ˀ˩ʔ
chêu	cɛu˧˥
chia	ciə˧˥
chìa	ciə˦˨
chĩa	ciə˧˩˨
chích	cit˦˥
chi	ci˧˥
chí	ci˩˧
chí,	ci˩˧
chì	ci˦˨
chỉ	ci˧˩˨
chị	ci˨ˀ˩ʔ
chiếc	ciək˦˥
chiêm	ciəm˧˥
chiếm	ciəm˩˧
chiên	ciəŋ˧˥
chiến	ciəŋ˩˧
chiền	ciəŋ˦˨
chiêng	ciəŋ˧˥
chiếng,	ciəŋ˩˧
chiềng	ciəŋ˦˨
chiếp	ciəp˦˥
chiết	ciək˦˥
chiêu	ciəw˧˥
chiếu	ciəw˩˧
chiều	ciəw˦˨
chiều;	ciəw˦˨
chiểu	ciəw˧˩˨
chim	cim˧˥
chìm	cim˦˨
chin	cin˧˥
chín	cin˩˧
chỉn	cin˧˩˨
chinh	cin˧˥
chính	cin˩˧
chính,	cin˩˧
chình	cin˦˨
chĩnh	cin˧˩˨
chỉnh	cin˧˩˨
chíp	cip˦˥
chít	cit˦˥
chiu	ciw˧˥
chíu	ciw˩˧
chịu	ciw˨ˀ˩ʔ
choác	cwak˦˥
choạc	cwak˨ˀ˩ʔ
choá	cwa˩˧
choai	cwaj˧˥
choàm	cwam˦˨
choăn	cwăŋ˧˥
choang	cwaŋ˧˥
choáng	cwaŋ˩˧
choàng	cwaŋ˦˨
choạng	cwaŋ˨ˀ˩ʔ
choắt	cwăk˦˥
chốc	cokp˦˥
chóc	cɔkp˦˥
chọc	cɔkp˨ˀ˩ʔ
chơ	cɤ˧˥
chớ	cɤ˩˧
chờ	cɤ˦˨
chở	cɤ˧˩˨
chợ	cɤ˨ˀ˩ʔ
chợ,	cɤ˨ˀ˩ʔ
chô	co˧˥
chỗ	co˧˩˨
chỗ,	co˧˩˨
cho	cɔ˧˥
cho,	cɔ˧˥
chó	cɔ˩˧
chò	cɔ˦˨
chõ	cɔ˧˩˨
choe	cwe˧˥
choen	cwen˧˥
choèn	cwen˦˨
chơi	cɤj˧˥
chới	cɤj˩˧
chối	coj˩˧
chồi	coj˦˨
chổi	coj˧˩˨
choi	cɔj˧˥
chói	cɔj˩˧
chòi	cɔj˦˨
chọi	cɔj˨ˀ˩ʔ
chơm	cɤm˧˥
chớm	cɤm˩˧
chờm	cɤm˦˨
chôm	com˧˥
chồm	com˦˨
chòm	cɔm˦˨
chõm	cɔm˧˩˨
chỏm	cɔm˧˩˨
chơn	cɤŋ˧˥
chờn	cɤŋ˦˨
chôn	coŋm˧˥
chốn	coŋm˩˧
chồn	coŋm˦˨
chộn	coŋm˨ˀ˩ʔ
chon	cɔŋm˧˥
chỏn	cɔŋm˧˩˨
chọn	cɔŋm˨ˀ˩ʔ
chông	coŋm˧˥
chống	coŋm˩˧
chồng	coŋm˦˨
chổng	coŋm˧˩˨
chong	cɔŋm˧˥
chóng	cɔŋm˩˧
chóng,	cɔŋm˩˧
chòng	cɔŋm˦˨
chỏng	cɔŋm˧˩˨
chớp	cɤp˦˥
chợp	cɤp˨ˀ˩ʔ
chộp	cop˨ˀ˩ʔ
chóp	cɔp˦˥
chớt	cɤk˦˥
chốt	cokp˦˥
chột	cokp˨ˀ˩ʔ
chót	cɔkp˦˥
chua	cuə˧˥
chúa	cuə˩˧
chúa,	cuə˩˧
chúa;	cuə˩˧
chùa	cuə˦˨
chưa	cɯə˧˥
chứa	cɯə˩˧
chừa	cɯə˦˨
chữa	cɯə˧˩˨
chửa	cɯə˧˩˨
chuẩn	cwɤ̆ŋ˧˩˨
chúc	cukp˦˥
chục	cukp˨ˀ˩ʔ
chức	cɯk˦˥
chực	cɯk˨ˀ˩ʔ
chực,	cɯk˨ˀ˩ʔ
chu	cu˧˥
chú	cu˩˧
chù	cu˦˨
(chủ	cu˧˩˨
chủ	cu˧˩˨
chủ,	cu˧˩˨
chư	cɯ˧˥
chứ	cɯ˩˧
chừ	cɯ˦˨
chữ	cɯ˧˩˨
chuếch	cwet˦˥
chuệch	cwet˨ˀ˩ʔ
chuế	cwe˩˧
chuếnh	cwen˩˧
chuểnh	cwen˧˩˨
chuệnh	cwen˨ˀ˩ʔ
chui	cuj˧˥
chúi	cuj˩˧
chùi	cuj˦˨
chửi	cɯj˧˩˨
chum	cum˧˥
chúm	cum˩˧
chùm	cum˦˨
chũm	cum˧˩˨
chụm	cum˨ˀ˩ʔ
chun	cuŋm˧˥
chùn	cuŋm˦˨
chũn	cuŋm˧˩˨
chủn	cuŋm˧˩˨
chung	cuŋm˧˥
chúng	cuŋm˩˧
chùng	cuŋm˦˨
chùng,	cuŋm˦˨
chủng	cuŋm˧˩˨
chưng	cɯŋ˧˥
chứng	cɯŋ˩˧
chừng	cɯŋ˦˨
chừng,	cɯŋ˦˨
chững	cɯŋ˧˩˨
chuốc	cuək˦˥
chuộc	cuək˨ˀ˩ʔ
chước	cɯək˦˥
chuôi	cuəj˧˥
chuôi;	cuəj˧˥
chuối	cuəj˩˧
chuồi	cuəj˦˨
chuỗi	cuəj˧˩˨
chuội	cuəj˨ˀ˩ʔ
chuôm	cuəm˧˥
chuồn	cuəŋ˦˨
chuông	cuəŋ˧˥
chuồng	cuəŋ˦˨
chuộng	cuəŋ˨ˀ˩ʔ
chương	cɯəŋ˧˥
chướng	cɯəŋ˩˧
chưởng	cɯəŋ˧˩˨
chuốt	cuək˦˥
chuột	cuək˨ˀ˩ʔ
chụp	cup˨ˀ˩ʔ
chút	cukp˦˥
chụt	cukp˨ˀ˩ʔ
chuyên	cwiəŋ˧˥
chuyến	cwiəŋ˩˧
chuyền	cwiəŋ˦˨
chuyển	cwiəŋ˧˩˨
chuyện	cwiəŋ˨ˀ˩ʔ
cốc	kokp˦˥
cốc;	kokp˦˥
cộc	kokp˨ˀ˩ʔ
cóc	kɔkp˦˥
cóc,	kɔkp˦˥
cọc	kɔkp˨ˀ˩ʔ
cô-đê	ko˧˥-de˧˥
cơi	kɤj˧˥
cời	kɤj˦˨
cởi	kɤj˧˩˨
côi	koj˧˥
cối	koj˩˧
cỗi	koj˧˩˨
cổi	koj˧˩˨
cội	koj˨ˀ˩ʔ
cội,	koj˨ˀ˩ʔ
coi	kɔj˧˥
cói	kɔj˩˧
còi	kɔj˦˨
cõi	kɔj˧˩˨
cơ	kɤ˧˥
cớ	kɤ˩˧
cờ	kɤ˦˨
cờ,	kɤ˦˨
cô	ko˧˥
cố	ko˩˧
cồ	ko˦˨
cỗ	ko˧˩˨
cổ	ko˧˩˨
cổ,	ko˧˩˨
cổ;	ko˧˩˨
co	kɔ˧˥
có	kɔ˩˧
có,	kɔ˩˧
cò	kɔ˦˨
cò,	kɔ˦˨
cỏ	kɔ˧˩˨
cọ	kɔ˨ˀ˩ʔ
cơm	kɤm˧˥
cơm,	kɤm˧˥
côm	kom˧˥
cốm	kom˩˧
cồm	kom˦˨
com	kɔm˧˥
cóm	kɔm˩˧
còm	kɔm˦˨
cỏm	kɔm˧˩˨
cọm	kɔm˨ˀ˩ʔ
công	koŋm˧˥
cống	koŋm˩˧
cồng	koŋm˦˨
cổng	koŋm˧˩˨
cộng	koŋm˨ˀ˩ʔ
cong	kɔŋm˧˥
cong,	kɔŋm˧˥
cóng	kɔŋm˩˧
còng	kɔŋm˦˨
cõng	kɔŋm˧˩˨
cỏng	kɔŋm˧˩˨
công-xinh	koŋm˧˥-sin˧˥
cơn	kɤŋ˧˥
cớn	kɤŋ˩˧
cờn	kɤŋ˦˨
cỡn	kɤŋ˧˩˨
côn	koŋm˧˥
cồn	koŋm˦˨
cổn	koŋm˧˩˨
con	kɔŋm˧˥
con,	kɔŋm˧˥
còn	kɔŋm˦˨
cỏn	kɔŋm˧˩˨
coóc	kɔkp˦˥
cốp	kop˦˥
cóp	kɔp˦˥
cọp	kɔp˨ˀ˩ʔ
cớt	kɤk˦˥
cợt	kɤk˨ˀ˩ʔ
cốt	kokp˦˥
cột	kokp˨ˀ˩ʔ
cót	kɔkp˦˥
cọt	kɔkp˨ˀ˩ʔ
cua	kuə˧˥
của	kuə˧˩˨
của;	kuə˧˩˨
cưa	kɯə˧˥
cưa,	kɯə˧˥
cứa	kɯə˩˧
cửa	kɯə˧˩˨
cựa	kɯə˨ˀ˩ʔ
cúc	kukp˦˥
cục	kukp˨ˀ˩ʔ
cức	kɯk˦˥
cực	kɯk˨ˀ˩ʔ
cui	kuj˧˥
cúi	kuj˩˧
cùi	kuj˦˨
cũi	kuj˧˩˨
