абажур	abaʒur
бактерия	bɐktʲerʲɪjə
бақа	bɑqɑ
бақташы	bɑqtɑʃɯ
бала	bɑɫɑ
бала	bɑ̝ɫɑ̝
балабақша	bɑɫɑbɑqʃɑ
балапан	bɑɫɑpɑn
балға	bɑɫɣɑ
балқаш	bɑɫqaʂ
баллада	bɐɫadə
банда	bandə
банк	bank
банкет	bɐnkʲet
банкнот	bɐnknot
барбадос	bɐrbadəs
бармен	bɐrmʲen
баскетбол	bəskʲɪdbol
батарея	bətɐrʲejə
бауырмалдық	bɑwʊrmɑɫdɯq
бахрейн	bɐxrʲejn
бегемот	bʲɪgʲɪmot
беде	bede
бейәдеби	bejædebɘj
бейсбол	bʲɪjzbol
бек	bʲe̞kʰ
беккерель	bʲɪkʲɪrɛlʲ
берет	bʲɪrʲet
бериллий	bʲɪrʲilʲɪj
беру	bʲerʉw
бес	bʲes
бет	bʲe̞tʰ
бетон	bʲɪton
би	bʲij
биатлон	bʲɪɐtɫon
бидай	bɪjdɑj
бие	bʲije̞
бикини	bʲɪkʲinʲɪ
биогеография	bʲiəgʲɪɐgrafʲɪɪ̯ə
биология	bʲɪɐɫogʲɪɪ̯ə
бихевиоризм	bʲɪxʲɪvʲɪɐrʲizm
білезік	bɘlʲezɘk
біліппін	bɘlɘppɘn
біліпті	bɘlɘptɘ
білу	bɘlʉw
білуге	bɘlʉwgʲe
білуден	bɘlʉwdʲen
білуді	bɘlʉwdɘ
бланк	blank
боран	borɑn
бос	bos
бөлік	bølʏk
бөлме	bølmø
бөлшек	bølʃøk
бөтен	bøtøn
бригадир	brʲɪgɐdʲir
бруней	brʊnʲej
бульдозер	bʊlʲdozʲɪr
буржуазия	bʊrʒʊɐzʲijə
бутерброд	bʊtɨrbrod
бухгалтерия	bʊɣɐɫtʲerʲɪɪ̯ə
бүкіләлемдік	bʉkʉɫælʲemdik
бұзау	bʊzɑw
бұлбұл	bʊɫbʊɫ
бұта	bʊtɑ
бұтақ	bʊtɑq
бюллетень	bʲʉlʲɪtʲenʲ
бюретка	bʲʉrʲetkə
бюро	bʲʊro
бюрократ	bʲʊrɐkrat
вагон	vɐgon
вакуоль	vəkʊolʲ
вакцина	vɐktsɨnə
вакцинация	vəktsɨnatsɨjə
валторна	vɐltornə
ватт	vat
вебер	vʲebʲɪr
ведомство	vʲedəmstvə
вексель	vʲeksʲɪlʲ
вектор	vʲektor
велоспорт	vʲɪlɐsport
вермишель	vʲɪrmʲɪʂɛlʲ
вирус	vʲirʊs
вирусология	vʲɪrʊsɐlogʲɪjə
виски	vʲiskʲɪ
волейбол	vəlʲɪjbol
вотум	votʊm
гадолиний	gədɐlʲinʲɪj
газет	gɐzʲet
галактика	gɐlaktʲɪkə
галерея	gəlʲɪrʲejə
галлюциноген	gəlʲʊtsɨnɐgʲen
галоген	gəlɐgʲen
галстук	gaɫstʊk
гангрена	gɐngrʲenə
гардероб	gərdʲɪrob
гастроль	gɐstrolʲ
гастрономия	gəstrɐnomʲɪɪ̯ə
гафний	gafnʲɪj
гватемала	gvətɨmalə
гемоглобин	gʲɪməglɐbʲin
генерал	gɛnɛraɫ
генетика	gʲɪnɛtʲɪkə
геном	gʲɪnom
генри	gʲenrʲɪ
геодезия	gʲɪɐdɛzʲɪjə
геоморфология	gʲeəmərfɐɫogʲɪɪ̯ə
германий	gʲɪrmanʲɪj
героин	gʲɪrɐin
герц	gʲerts
гигиена	gʲɪgʲɪjenə
гидравлика	gʲɪdravlʲɪkə
гидрид	gʲɪdrʲit
гидрография	gʲɪdrɐgrafʲɪɪ̯ə
гидроксид	gʲɪdrɐksʲid
гидролиз	gʲɪdrolʲɪz
гидромеханика	gʲidrəmʲɪxanʲɪkə
гимнаст	gʲɪmnast
гипербола	gʲɪpʲerbələ
гипертония	gʲɪpʲɪrtɐnʲijə
гипноз	gʲɪpnoz
гистамин	gʲɪstɐmʲin
гистология	gʲɪstɐlogʲɪjə
гликоген	glʲɪkɐgʲen
глицерин	glʲɪtsɨrʲin
глобус	gɫobʊs
глюкагон	glʲʊkɐgon
глюкоза	glʲʊkozə
глюкокортикоид	mʲɪnʲɪraɫəkərtʲɪkoɪd
глюконеогенез	glʲʊkənʲɪəgʲɪnʲes
гном	gnom
гну	gnu
гоблин	goblʲɪn
годограф	gɐdogrəf
госпиталь	gospʲɪtəlʲ
гравитон	grəvʲɪton
градус	gradʊs
грамматика	grɐmatʲɪkə
гранит	grɐnʲit
грант	grant
граффити	grɐfʲitʲɪ
гроссмейстер	grɐsmʲejsʲtʲɪr
гуаңжоу	gwɑŋdʒoʊ
губка	gupkə
гүл	gʏl
ғажайып	ʁɑʒɑjəp
ғаламат	ɣɑɫɑmɑt
ғаламшараралық	ɣɑɫɑmʃɑrɑrɑɫɯq
ғарыш	ɣɑrɯʂ
ғарышкер	ɣɑrɯʃkʲer
ғасыр	ɣɑsɯr
ғашық	ɣɑʃɯq
ғашықтық	ɣɑʃɯqtɯq
ғибадатхана	ɣɯjbɑdɑtxɑnɑ
дағдарыс	dɑɣdɑrɯs
дағдарыссыз	dɑɣdɑrɯssɯz
дайын	dɑjɯn
даңқ	daŋq
дармштадтий	dɐrmʃtatʲːɪj
даршын	dɑrʃɯn
дауыл	dɑwʊɫ
дауыс	dɑwʊs
дәмқосар	dæmqosɑr
дәрі	dærɪ
дәрігер	dærɘgʲer
дәріханашы	dærɘxɑnɑʃɯ
дебютант	dʲɪbʲʊtant
декларация	dʲɪklɐratsɨjə
делегация	dʲɪlʲɪgatsɨɪ̯ə
демалыс	demɑɫɯs
демократия	dʲɪmɐkratʲɪɪ̯ə
деонтология	dɛəntɐɫogʲɪɪ̯ə
департамент	dʲɪpɐrtamʲɪnt
депо	dʲɪpo
деспотизм	dʲɪspɐtʲizm
диагональ	dʲɪəgɐnalʲ
диалектика	dʲɪɐlʲektʲɪkə
диамагнетизм	dʲiəməgnʲɪtʲizm
диахрония	dʲɪəxrɐnʲiɪ̯ə
дизайн	dʲɪzajn
дизентерия	dʲɪzʲɪnʲtʲɪrʲijə
диктатор	dʲɪktatər
диктатура	dʲɪktɐturə
динозавр	dinɔzaw̜r
диод	dʲɪod
директор	dʲɪrʲektor
дирижабль	dʲɪrʲɪʒablʲ
дискотека	dʲɪskɐtʲekə
диспансер	dʲɪspɐnsɛr
дисплей	dʲɪsplɛj
диссертация	dʲɪsʲɪrtatsɨjə
дифтерия	dʲɪftʲɪrʲijə
дифференциал	dʲɪfʲɪrʲɪntsɨaɫ
диффузия	dʲɪfuzʲɪjə
домна	domnə
дөң	døŋ
драма	dramə
драматург	drəmɐturk
драматургия	drəmətʊrgʲiɪ̯ə
дубляж	dʊblʲaʒ
дубний	dubnʲɪj
дүкен	dʉ̞kø̞n
дүниежүзілік	dʉnyjːeʒʉzʉɫik
дүниетаным	dʉnɨjetɐnɯm
дұға	dʊɣɑ
дұрыс	dʊrʊs
дұшпан	dʊʃpɑn
е	ʲɛ
ежелгі	jeʒelgɘ
екібастұз	jekɘbɑsto̙z
елорда	jelordɑ
емдеу	jemdew
емле	jemle
ему	jemʉw
емхана	jemxɑnɑ
ертегі	jertegɘ
ертек	jertek
есепшот	jesʲepʃot
ешкім	jeʃkɘm
ешқашан	jeʃqɑʃɑn
ж	dʒ
жағдай	ʒɑɣdɑj
жақсы	ʑæχsə
жақтаушы	ʒɑqtɑwʃɯ
жаман	dʒɑmɑn
жаман	ʒɑmɑn
жамандық	ʒɑmɑndɯq
жан	ʒɑ̝n
жантану	dʒɑntɑnʊw
жаңаөзен	ʐɑŋɑɵzʲen
жапалақ	ʒɑpɑɫɑq
жарамды	ʒɑrɑmdɯ
жарық	ʒɑrɯq
жас	ʑɑs
жасуша	ʒɑsʊwʃɑ
жатақхана	ʒɑtɑqχɑnɑ
жауынгер	ʒɑwʊŋgʲer
жезқазған	ʐʲezqazɣɑn
жел	ʒel
желтоқсан	ʒeltoqsan
жеңіліс	ʒeŋɘlɘs
жеңімпаз	ʒeŋɘmpɑz
жеңіскер	ʒeŋɘskʲer
жеңуші	ʒeŋʏwʃɘ
жер	dʒer
жер	ʑe̞r
жеті	ʒeti
жетібұрыш	ʒetɘbʊrʊʃ
жібек	ʒɘbʲek
жолаушы	ʒoɫɑwʃɯ
жолбарыс	ʒolbɑɾɯs
жолбасшы	ʒoɫbɑsʃə
жохан	ʒɔxan
журналистика	dʒʊrnɐlʲisʲtʲɪkə
жуырда	ʒʊwʊrdɑ
жүз	ʒʏz
жүн	ʒʏn
жұдырық	ʒʊdʊrɯq
жұлдыз	ʒʊɫdʊz
жұту	ʒʊtʊw
жылау	ʒɯɫɑw
жылдық	ʒɯɫdɯq
жыныс	ʒɯnɯs
заңгер	zɑŋgʲer
заңнама	zaŋnəma
заңсыз	zɑŋsɯz
заңсыздық	zɑŋsɯzdɯq
запас	zɐpas
зауыт	zɑwɯt
зейнетақы	zʲejnʲetɑqɯ
зейнеткер	zʲejnʲetkʲer
зергер	zʲergʲer
зерттеуші	zʲertːewʃɘ
зертхана	zʲertxɑnɑ
зертханалық	zʲertxɑnɑɫɯq
зертханашы	zʲertxɑnɑʃɯ
зиверт	zʲivʲɪrt
зимбабве	zʲɪmbabvɛ
зор	zor
идеал	ɪdʲɪaɫ
идеология	ɪdʲɪɐɫogʲɪjə
идиллия	ɪdʲilʲɪjə
изоморфизм	ɪzəmɐrfʲizm
иммунитет	ɪmʊnʲɪtʲet
импеданс	ɪmpʲɪdans
император	ɪmpʲɪratər
империализм	ɪmpʲɪrʲɪɐlʲizm
импрессионизм	ɪmprʲɪsʲɪɐnʲizm
импульс	impʊlʲs
индоссамент	ɪndəsɐmʲent
инженер	ɪnʒɨnʲer
инновация	ɪnːɐvatsɨjə
интеграл	ɪntɨgral
интеллигенция	ɪnʲtʲɪlʲɪgʲentsɨjə
интернационализм	ɪntɨrnətsɨənɐlʲizm
интерполяция	ɪntɛrpɐlʲatsɨɪ̯ə
интерфейс	ɪntɨrfʲejs
интерферон	ɪntɨrfʲɪron
инфляция	ɪnflʲatsɨjə
иншалла	ɪnʃaɫa
ипотека	ɪpɐtʲekə
ислам	ɪslam
исландия	ɪslanʲdʲɪjə
испания	ɪspanʲɪjə
итбалық	ɘjtbɑɫɯq
із	ɘz
ішкі	ɘʃkɘ
кабак	kɐbak
кабинет	kabʲinʲet
калька	kalʲkə
кальмар	kɑlmɑr
кальцит	kɐlʲtsɨt
камфара	kəmfɐra
камфора	kamfərə
канада	kɐnadə
кандела	kɐndɛlə
каноэ	kɐnoɛ
капитал	kəpʲɪtal
капитализм	kəpʲɪtɐlʲizm
карамель	kərɐmʲelʲ
карнавал	kərnɐvaɫ
карта	kartə
картель	kɐrtɛlʲ
картечь	kɐrtʲetɕ
картография	kərtɐgrafʲɪjə
картоп	kɑrtop
катал	kɐtal
католик	kɐtolʲɪk
кахексия	kəxʲɪksʲiɪ̯ə
каюта	kɐjutə
кәмпит	kæmpɘjt
квадрант	kvɐdrant
кедейлік	kʲedejlɘk
кейін	kʲejɘn
кек	kʲek
келісім	kʲelɘsɘm
келу	kʰʲelʉw
келуші	kʰʲelʉwʂɘ
кельвин	kʲelʲvʲɪn
кеміру	kʲemɘrʏw
кентау	kʲentɑw
кең	kʲeŋ
кесене	kʲesʲenʲe
кету	kʰʲetʉw
кешіру	kʲeʃɘrʏw
кибернетик	kʲɪbʲɪrnɛtʲɪk
киім	kɪjɪm
кинематография	kʲɪnʲɪmətɐgrafʲɪjə
кинетика	kʲɪnɛtʲɪkə
кинокартина	kʲɪnəkɐrtʲinə
кинорежиссёр	kʲɪnərʲɪdʒɨsʲɵr
кинотеатр	kʲɪnətʲɪatr
кинофестиваль	kʲɪnəfʲɪsʲtʲɪvalʲ
кинофильм	kʲɪnɐfʲilʲm
кисель	kʲɪsʲelʲ
кию	kʰijʉw
кір	kɘr
кісі	kʰɘsɘ
кітап	kɘ̥̆tæp
кітап	kɘ̥̆tɑ̝p
кітапнама	kɘtɑpnɑmɑ
кітапхана	kʰtɑpχɑnɑ
кішкентай	kɘʃkʲentɑj
классика	klasʲɪkə
классицизм	kɫəsʲɪtsɨzm
клерк	klʲerk
климатология	klʲɪmətɐlogʲɪjə
кодекс	kodɨks
комбайн	kɐmbaɪ̯n
комедия	kɐmʲedʲɪjə
комиссар	kəmʲɪsar
комитет	kəmʲɪtʲet
коммунизм	kəmʊnʲizm
коммунист	kəmʊnʲist
коммутатор	kəmʊtatər
компьютер	kɐmpjutɨr
конвейер	kɐnvʲeɪr
конверсия	kɐnvʲersʲɪɪ̯ə
конгломерат	kəngɫəmʲɪrat
конденсат	kəndɛnsat
конкур	kɐnkur
консалтинг	kɐnsaɫtʲɪnk
консорциум	kɐnsortsɨʊm
конституция	kənsʲtʲɪtutsɨjə
конституциялық	kənsʲtʲɪtutsɨɪ̯əɫəq
конструктивизм	kənstrʊktʲɪvʲizm
контейнер	kɐntɛjnʲɪr
континуум	kɐnʲtʲinʊʊm
контрреволюционер	kontrʲːɪvəlʲʊtsɨɐnʲer
конференция	kənfʲɪrʲentsɨɪ̯ə
конфигурация	kənfʲɪgʊratsɨjə
конформация	kənfɐrmatsɨɪ̯ə
копенгаген	kəpʲɪngagʲɪn
корея	kɐrʲejə
косеканс	kɐsɛkəns
косинус	kosʲinʊs
космополитизм	kəsməpəlʲɪtʲizm
котангенс	kɐtangʲɪns
коэффициент	kəɪfʲɪtsɨɛnt
көйлек	køjløk
көк	køk
көкек	køkøk
көкекшөп	køkøkʃøp
көктем	køktøm
көкшетау	kɵkʂʲetɑw
көмек	kømøk
көмекші	kømøkʃɘ
көрме	kørmø
көтеріліс	køtʲerɪlɪs
көтерілісші	køtʲerɪlɪsʃɪ
көтеру	køterʏw
кредит	krʲedʲɪt
кремний	krʲemnʲɪj
креп	krʲep
криминалистика	krʲɪmʲɪnɐlʲisʲtʲɪkə
криптовалюта	krʲiptəvɐlʲutə
криптон	krʲɪpton
кристаллография	krʲɪstəɫɐgrafʲɪɪ̯ə
круиз	krʊiz
ксенофобия	ksʲɪnɐfobʲɪjə
ксилофон	ksʲɪlɐfon
куба	kubə
кувейт	kʊvʲejt
культуризм	kʊlʲtʊrʲizm
купон	kʊpon
күйсандық	kʏjsɑndɯq
күкірт	kʉkirt
күмбез	gʉ̞mbø̞z
күмбез	kʰʉ̞mbø̞z
күн	gʉ̞n
күн	kʰʉ̞n
күнәкар	kynækɑr
күнәһар	kynæhɑr
күнбағыс	kʏnbɑɣɯs
күнделік	kʏndelɘk
күшән	kʉʃæn
қабір	qɑbɘɾ
қағаз	qɑɣɑz
қазақ	qʰɑ̝zɑ̝qʰ
Қазақстан	qʰɑ̝zɑ̝qstɑ̝n
қазіргі	qɑzɘrgɘ
қайық	qɑjɯq
қала	qɑɫɑ
қалайсың	qɑɫɑjsɪŋ
қалампыр	qɑɫɑmpɯr
қалмақ	qʰɑ̝ɫmɑ̝qʰ
қалу	qɑlʊw
қамыс	qɑmɯs
қанқұмар	qɑnqʊmɑr
қаңтар	qaŋtar
қап	qɑp
Қарағанды	qɑɾɑɣɑndɯ
қараша	qaraʃa
қарбыз	qɑrbɯz
қарлығаш	qɑrɫɯɣɑʃ
қатесіз	qɑtʲesɪz
қауын	qɑwɯn
қоғамдастық	qoɣɑmdɑstɯq
қойшы	qojʃɯ
қолтырауын	qoltɯrɑwɯn
қоңыз	qoŋʊz
қорғаушы	qorɣɑwʃɯ
қоспа	qospɑ
Қостанай	qostanaj
қоюландырғыш	qojʊwɫɑndɯrɣɯʃ
құдай	qʊdaj
құдайсыз	qʊdɑjsɯz
құдайсыздық	qʊdɑjsɯzdɯq
құдайтанушы	qʊdajtanʊwʃɯ
құжаттама	qʊʒɑtːɑmɑ
құзғын	qʊzɣʊn
құйрық	qʊjrəq
құқық	qʊqʊq
құқықсыз	qʊqʊqsɯz
құқықтану	qʊqʊqtɑnʊw
құмайт	qʊmɑjt
құрал	qurɑɫ
құрам	qʊrɑm
құрама	qʊrɑmɑ
құрылым	qʊrʊɫɯm
құрылыс	qʊrʊlɯs
қызығушылық	qɯzɯɣʊwʃɯɫɯq
қыл	qɯɫ
қылмыс	qɯɫmɯs
қылмыскер	qɯɫmɯskʲer
қылмыстық	qɯɫmɯstɯq
қылмыстылық	qɯɫmɯstɯlɯq
қымбат	qɯmbɑt
қыпшақ	qɯpʃɑq
қырғауыл	qɯrɣɑwɯɫ
Қырғызстан	qəɾʁəzstɑn
Қырғызстан	qɯrʁɯzstɑn
қыркүйек	qɯrkʏjjøk
қырыққабат	qɯrɯqːɑbɑt
Қытай	qʰə̠tɑj
қытай	qʰə̠tɑj
қышқыл	qɯʃqɯɫ
лагуна	ɫɐgunə
ландшафт	lɐnʃaft
лексикография	lʲɪksʲɪkɐgrafʲɪjə
лемниската	lʲɪmnʲɪskatə
лемур	lʲɪmur
либерал	lʲɪbʲɪraɫ
либерализм	lʲɪbʲɪrɐlʲizm
ливерморий	lʲɪvʲɪrmorʲɪj
ликёр	lʲɪkʲɵr
лимон	lʲɪmon
лимонен	lʲɪmɐnɛn
лимфоцит	lʲɪmfɐtsɨt
лингвистика	lʲɪngvʲisʲtʲɪkə
линолеум	lʲɪnolʲɪʊm
литосфера	lʲɪtɐsfʲerə
лихтенштейн	lʲɪxtɨnʃtɛjn
лицензия	lʲɪtsɛnʲzʲɪjə
логика	ɫogʲɪkə
логистика	ɫɐgʲisʲtʲɪkə
логос	ɫogəs
лори	ɫorʲɪ
лоуренсий	ləʊrʲensʲɪj
люкс	lʲuks
люксембург	lʲʊksʲɪmburg
люмен	lʲʉmʲɪn
лютеций	lʲʊtɛtsɨj
лютня	lʲʉtʲnʲə
мавритания	məvrʲɪtanʲɪjə
магма	magmə
магний	magnʲɪj
мағына	mɑʁənɑ
мадагаскар	mədəgɐskar
май	maj
маймыл	mɑjmɯɫ
майонез	mɐjɔnɛz
макака	mɐkakə
макияж	məkʲɪjaʒ
малшы	mɑɫʃɯ
мамыр	mamɯr
маңызды	mɑŋɯzdɯ
марафон	mərɐfon
маржан	mɑrʒɑn
марихуана	mərʲɪxʊanə
мармелад	mərmʲɪɫad
маршал	marʃəɫ
маскарад	məskɐrad
мата	mɑtɑ
матай	mataj
матбуғат	mɑtbuʁɑt
математик	mətʲɪmatʲɪk
математика	mətʲɪmatʲɪkə
материализм	mətʲɪrʲɪɐlʲizm
мә	mæ
мәгәзін	mægæzin
мәдениетсіз	mædenɪjːetsɪz
мәдениетсіздік	mædenɘjːetsɘzdɘk
мәдениеттану	mædenɘjːetːɑnʊw
мәлдивтер	mæɫdʲɪvtʲer
мәртебе	mærtʲebe
мәселе	mæsʲele
мәскеу	mæskʲew
медаль	mʲɪdalʲ
медицина	mʲɪdʲɪtsɨnə
мезон	mʲɪzon
мейоз	mʲɪjɵs
мейрамхана	mʲejrɑmxɑnɑ
мейтнерий	mʲɪjtʲnʲerʲɪj
меланезия	mʲɪɫɐnʲezʲɪjə
меңгеруші	mʲeŋgʲerʏwʃɘ
метастаз	mʲɪtɐstaz
метафизика	mʲɪtɐfʲizʲɪkə
метафраза	mʲetɐfrazə
метеорология	mʲɪtʲɪərɐlogʲɪjə
метрдотель	mɛtrdotɛlʲ
метро	mʲɪtro
метрополитен	mʲɪtrəpəlʲɪtɛn
микроавтобус	mʲikrɐɐftobʊs
микроскоп	mʲɪkrɐskop
микрофон	mʲɪkrɐfon
милиционер	mʲɪlʲɪtsɨɐnʲer
миллион	mʲɪlʲɪon
минералокортикоид	mʲɪnʲɪraɫəkərtʲɪkoɪd
минимализм	mʲɪnʲɪmɐlʲizm
министр	mʲɪnʲistr
минут	minʊt
миокардит	mʲɪəkɐrdʲit
мирас	mɯjrɑs
мистицизм	mʲɪsʲtʲɪtsɨzm
митохондрия	mʲɪtɐxondrʲɪjə
мнемоника	mnʲɪmonʲɪkə
модернизм	mədʲɪrnʲizm
модуль	modʊlʲ
молдова	mɐldovə
молекула	mɐlʲekʊlə
мольберт	mɐlʲbʲert
монархия	mɐnarxʲɪɪ̯ə
монизм	mɐnʲizm
моногамия	mənɐgamʲɪjə
монография	mənɐgrafʲɪjə
мономер	mənɐmʲer
морфология	mərfɐɫogʲɪɪ̯ə
мөр	mør
музыка	muzɨkə
мультимедиа	mʊlʲtʲɪmʲedʲɪə
мультипликация	mʊlʲtʲɪplʲɪkatsɨɪ̯ə
мультфильм	mʊlʲtfʲilʲm
муниципалитет	mʊnʲɪtsɨpəlʲɪtʲet
мутант	mʊtant
мүлік	mʏlʏk
мүмкіндік	mʏmkʏndɘk
мүрде	mʉrdʲe
мүрдеші	mʉrdʲeʃɘ
мұз	mʊz
мұздатқыш	mʊzdɑtqɯʃ
мұздық	mʊzdʊq
мұздықаралық	mʊzdʊqɑrɑɫɯq
мұқтаж	mʊqtɑʒ
мұрағат	mʊrɑɣɑt
мұрағатшы	mʊrɑɣɑtʃɯ
мұражай	mʊrɑʒɑj
мұсылман	mʊsʊɫmɑn
мұхит	mʊxɯjt
мылтық	mɯɫtɯq
мюзикл	mʲʉzʲɪkɫ
найза	nɑjzɑ
намаз	nɑ̝mɑ̝z
нарциссизм	nərtsɨsʲizm
натрий	natrʲɪj
натюрморт	nətʲʊrmort
науру	nɐurʊ
наурыз	nawrɯz
наутилус	nəʊtʲiɫʊs
нафталин	nəftɐlʲin
