oн	uŋ
айттың	ajtɯŋ
айттыңыз	ajtɯŋɯz
айтудан	ajtʊdɑn
айтуым	ajtujm
айтуынша	ajtujenʃɑ
айтуың	ajtuɯŋ
айтуға	ajtuʁa
айтшы	ajtʃɯ
айтылым	ajtɯ̞ɫʊ̞m
айтылған	ajtɯɫɣɑn
айтып	ajˈtɯp
айтыс	ɑjtəs
айтыңыз	ajtɯŋɯz
айтыңызшы	ajtɯŋɯʃ
айтқан	ajtqɑn
айтқанда	ajtqɑnˈdɑ
айтқандай	ajtqɑnˈdaj
айтқанмын	ajtqɑnˈmɯn
айтқаны	ajtqɑnɯ
айтқанымдай	ajtqanɯmdaj
айтқанымды	ajtqɑnɯmdɯ
айтқанын	ajtqɑnɯn
айтқым	ajtqɯm
айтқысы	ajtqɯsɯ
айтқыңыз	ajtqɯŋɯz
айыптап	ajɯptɑp
айыптағың	ajɯptɑˈʁɯŋ
айыр	ɑjɯr
айыру	aiɾu
айырылдым	ajɯrɯɫdɯm
айғайсыз	ajɾaɪsɯz
айғақ	ʔɑjʁɑq
айғақсыз	ɑjɢɑqsɯz
айғыздау	ajɢɯzdaʊ̞
айқайлама	ajqajlɑmɑ
академик	ɐkɐdʲemʲɪk
академиялық	ɐkɐdʲemʲɪjəɫəq
аквариум	ɐkvarʲɪʊm
аккордеон	ɐkərdʲɪon
аккредитив	ɐkrʲɪdʲɪtʲif
аккумулятор	ɐkʊmʊlʲatər
акриламид	ɐkrʲɪlɐmʲid
акробат	akrabat
акробатика	ɐkrɐbatʲɪkə
актёр	ɐktʲɵr
ал	au
ал	ɑɫ
алады	alaːn
алады	ɑlɑdɯ
алайын	ɑɫɑjɯn
аламыз	ɑlɑmɯz
аламын	ɑlɑmɯn
аларсың	ɑlɑrsɯŋ
аластау	ɑɫɑstɑw
аласыз	ɑlɑsɯz
аласың	ɑɫɑˈsɯŋ
алатын	ɑlɑˈtɯn
алатыныңды	ɑɫɑtɯŋɯdɯ
алаяқ	æɫæjɑq
алақай	ɑlɑqɑj
алақан	ɑɫɑqɑn
алаң	alaŋ
алаң	ɑɫɑŋ
алаңдата	ɑlɑŋdɑtɑ
алаңсыз	ɑlɑŋsɯz
албания	ɐlbanʲɪjə
албасты	ɑɫmɑstɯ
алгебра	algʲɪbrə
алгоритм	ɐlgɐrʲitm
алдамасаңшы	ɑɫdɑmɑsɑŋʃɯ
алдап	ɑɫˈdɑp
алдақашан	ɑɫdɑqɑʃɑn
алды	ɑɫˈdɯ
алдымен	ɑldɯmin
алдымен	ɑɫdɯˈmʲɪn
алдымызға	ɑɫdɯmɯzɣɑ
алдында	ɑɫdɯnˈdɑ
алдыртты	ɑɫdɯrtˈtɯ
алдыға	ɑɫdɯɣɑ
алдық	ɑɫˈdɯq
алдың	ɑɫˈdɯŋ
алдыңда	ɑɫdɯŋdɑ
алдыңыз	ɑɫˈdɯŋɯz
алдыңғы	ɑɫdɯŋɣɯ
алжапқыш	ɑɫʒɑpqɯʃ
алкалоид	alkɐloɪd
алкин	ɐlkʲin
алла	ɑɫː
аллельаралық	ɐlʲelʲɑrɑɫɯq
аллергия	ɐlʲɪrgʲiɪ̯ə
алло	ɑlːo
алма	ɑlmɑ
алма	ɑɫma
алмадым	ɑlmɑˈdɯm
алмадың	ɑlmɑˈdɯŋ
алмай	ɑɫˈmɑj
алмайды	ɑɫmɑjˈdɯ
алмаймыз	ɑɫmɑjˈmɯz
алмайсың	ɑɫmɑjsɯŋ
алмайсыңдар	ɑɫmɑjsɯŋdɑr
алмайтын	ɑɫmajdɯn
алмайтын	ɑɫmɑjtɯn
алмас	ɑlmɑs
алмас	ɑɫmaːs
алмасам	ɑlmɑsɑm
алмастыртпақшы	ɑlmɑstɯrtpɑqʃɯ
алмасуы	ɑlmɑsʉwɯ
алматы	aɫmatɑ
алматы	ɑɫmɑtə
алматы	ɑɫmɑtɯ̞
алмақшы	ɑlmɑqʃɯ
алмаңдар	ɑlmɑŋdɑr
алмаңыз	ɑlmɑɲɯz
алмұрт	almoɾt̪
алпразолам	ɐɫprəzɐɫam
алпыс	ɑlkʊ̞s
алсам	ɑɫˈsɑm
алты	ɑɫbi
алты	ɑɫtə
алты	ɑɫˈtə
алтын	ɑlˈtɯn
алтынмен	ɑɫtɯmʲɪn
алтыншы	altɯntʃɯ
алтыншы	ɑɫˈtɯnʃɯ
алтынын	ɑɫtəˈnɯn
алу	ɑˈɫʊ
алуда	ɑɫʊdɑ
алушы	ɑɫʊwʃɯ
алушы	ɑɫʊʃɯ
алуыңда	ɑɫʊɯŋdɑ
алуыңыз	ɑɫʊɯŋɯz
алуға	ɑɫʊʁɑ
алхамдулилла	alxamdʊwlʲɪlɑː
алхимия	ɐɫxʲimʲɪɪ̯ə
алхоры	ɑɫxɔrɯ̞
алынбайды	ɑɫɯ̞npajðʊ̞
алынды	ɑɫɯndɯ
алынған	ɑɫɯŋˈɣɑn
алып	ɑɫɯp
алыпсың	ɑlɯpˈsɯŋ
алыпты	ɑɫɯptɯ
алыс	fales
алыс	ɑɫɯs
алыған	ɑɫɯˈʁɑn
алыңдар	ɑɫɯŋdɑr
алыңыз	ɑɫɯŋɯz
алыңызшы	ɑɫɯŋɯʃɯ
альдегид	ɐlʲdɨgʲid
альпинизм	ɐlʲpʲɪnʲizm
альтруизм	ɐlʲtrʊizm
альянс	ɐlʲjans
алюминий	ɐlʲʉmʲinʲɪj
алған	lʁɑn
алғашқы	ɑɫɣɑʃqɯ
алғыр	ɑlɣɯr
алғырдай	ɑlɣɯɾdɑj
алғыс	ɑɫˈʁɯs
алғысымды	ɑɫɣɯsɯmˈdɯ
ам	aɾ
амал	ɑmɑɫ
амалым	ɑmɑˈɫɯm
амалын	ɑmɑˈlɯn
аман	ɑmɑn
аманат	ɑmɑnɑt
амангелді	ɑmɑngelði
амансыз	ɑmɑnsɯz
амансызба	ɑmɑnsɯzbɑ
аманыз	ɑmɑnɯz
аманымда	ɑmɑnɯmˈdɑ
амин	ɑmɪn
аминге	amiŋe
аммиак	ɐmʲɪak
ана	ana
ана	ɑnɑ
анам	ɑnɑm
анар	ãnɑr
анархизм	ɐnɐrxʲizm
анас	alas
анасымысыз	ɑnɑsɯmɯsɯz
анасын	ɑnɑˈsɯn
анасынан	ɑnɑsɯnɑn
анатомия	ɐnɐtomʲɪɪ̯ə
анау	anɑːu
анау	ɑnɑw
анашым	anaʃɨm
анаң	ɑnɑŋ
анаңды	ɑnɑŋdɯ
ангидрид	ɐngʲɪdrʲid
англиядағы	æŋglijɑɣɑɣɑ
анда	anta
анда	ɑnˈdɑ
андағы	ɑnˈdɑxɯ
андорра	andorra
анжелла	ɑnʒɪlˈlɑ
аниме	anʲimɛ
ансплантанты	ɑnspɫɑntɑntɯ
ант	ɑnt
антенна	ɐntɛnə
антибиотик	ɐnʲtʲɪbʲɪotʲɪk
антифриз	ɐnʲtʲɪfrʲiz
антоним	antɔnim
антрополог	ɐntrɐpoɫəg
антропология	ɐntrəpɐlogʲɪjə
антропологиялық	ɐntrəpɐlogʲɪjələq
антропометрия	ɐntrəpɐmʲetrʲɪɪ̯ə
антропонимика	ɐntrəpɐnʲimʲɪkə
анты	ɑnˈtɯ
антым	ɑntɯm
анық	ɑnɯq
анықтайсың	ɑnɯqtɑjsɯŋ
анықталған	ɑnɯqtɑɫˈɣɑn
анықтама	ɑnɯ̞qtɑmɑ
анықтама	ɑnʏqˈtɑmɑ
анықтамалар	ɑnʏqˈtɑmɑˌɫɑr
анықтамаларыңды	ɑnɯqtɑmɑɫɯɾɯŋdɯ
анықтап	ɑnʏqˈtɑp
ап	ɑp
апа	apa
апа	ɑpɑ
апай	ɑ̝pɑ̝j
апам	ɑpɑm
апамды	ɑpɑmdɯ
апан	apan
апар	ɑpɑr
апар	ɑpɑɾ
апарамыз	ɑpɑrɑmɯz
апарамын	ɑpɑrɑmɯn
апарасың	ɑpɑrɑsɯŋ
апарсын	ɑpɑrsɯn
апару	aparu
апару	ɑpɑrʊ
апаруға	ɑpɑɾʊʁɑ
апарып	ɑpɑrɯp
апасын	ɑpɑˈsɯn
апат	apat
апатай	apataj
апаңды	ɑpɑŋdɯ
апта	apta
аптада	ɑptɑdɑ
ар	ɑːr
ара	ɑrɑ
ара	ɑɾɑ
арабтар	ɑrɑβtɑr
арабтар	ɑɾaptɑɾ
аравияда	ɑrɑviʲɑdɑ
арада	ɑrɑdɑ
арал	ɑrɑl
арал	ɑrɑɫ
араласпай	ɑrɑlɑspɑj
араластырмаңыз	ɑrɑɫɑstɯrmɑŋɯz
аралық	ɑrɑɫɯq
арамтамақтар	ɑrɑmtɑmɑqˈtɑr
арамшөп	ɑrɑmʃøp
арамызда	ɑrɑmɯsˈdɑ
арасынада	ɑrɑsɯnɑdɑ
арасынан	ɑrɑsɯˈnɑn
арба	ɐrba
арбалет	ɐrbɐlʲet
аргентина	ɑrgʲɪntʰɪnɑ
арзан	arzan
арзан	ɑrˈzɑn
арккосинус	ɐrkkosʲɪnʊs
арккотангенс	ɐrkkɐtangʲɪns
арксеканс	ɐrksɛkəns
арксинус	ɐrksʲinʊs
арктангенс	ɐrktangʲɪns
арлы	aɾlɑ
арман	ɑrmɑn
армандап	ɑrmɑndɑp
армандар	ɑrmɑndɑr
арнайы	ɑrnɑjɯ
арналады	ɑrnɑˈɫɯdɯ
арналған	ɑrnɑɫˈʁɑn
арпеджио	ɐrpʲedʒɨo
артиллерия	ɐrtʲɪlʲerʲɪjə
артымда	ɑrtɯmˈdɑ
артымнан	ɑrtɯmˈnɑn
артымыздан	ɑrtɯmɯzdɑn
артын	ɑrˈtɯn
артық	ɑrˈtɯq
артыңа	ɑrtəŋɑ
артыңда	ɑrɯtɯŋdɑ
артқа	ɑrtqaa
артқа	ɑrtqɑ
артқы	ɑrtqɯ
аружан	ɑruʃan
арфа	arfə
археология	ɐrxʲɪɐɫogʲɪɪ̯ə
архитектор	ɑrçɪtɛktɘr
ары	ɑrɯ
арылу	ɑrɯˈɫʊ
арыс	ɑrɯz
арқалық	ɑɾqɑɫɯq
арқанды	ɑrqɑnˈdɯ
арқар	aɾkaɾ
арқасында	ɑrqɑsɯnˈdɑ
ас	ɑs
асады	ɑsɑdɯ
асар	assaɾ
асатаяқ	asatəjɑk
асау	aːsau
аскөк	ɑskøk
аспаздық	ɑspɑzɯq
аспап	ɑspɑp
аспект	ɐspʲekt
аспирантура	ɐspʲɪrɐnturə
аспиринді	ɑspiɾinˈdi
ассалаумағалейкум	asɐlawmaʕəlʲejkʊwm
ассалаумағалейкүм	asɐlawmaʕəlʲejkʉm
ассамблея	ɐsɐmblʲejə
ассимиляция	ɐsʲɪmʲɪlʲatsɨɪ̯ə
ассонанс	ɐsɐnans
ассоциация	ɐsətsɨatsɨjə
астам	ɑstɑm
астана	astana
астана	astona
астана	ɑstɑlɑ
астана	ɑstɑmɑ
астана	ɑ̝stɑ̝nɑ̝
астау	astau
астроном	ɐstrɐnom
астрономия	ɐstrɐnomʲɪjə
астрофизика	ɐstrɐfʲizʲɪkə
асты	astɯ
асты	ɑstɯ
астына	ɑstɯnɑ
астында	ɑstɯndɑ
астың	ɑstɯŋ
асхана	asxanɯ
асылмашы	ɑsɯlmɑʃɯ
асығуым	ɑsɯɣʊm
асығыспын	ɑsɯɣɯsɯpɯn
асық	ɑːstɯk
асықпаңдар	ɑsɯqpɑŋdɑr
асқабақ	ɑsqɑbɑq
асқазан	ɑsqɑzɑn
ат	ant
ата	ata
ата	ɑtɑ
атавизм	ɐtɐvʲizm
атадан	ɑtɑdɑn
атайды	ɑtɑjˈdɯ
атайтын	ɑtɑjˈtɯn
атайтынын	ɑtɑjtɯnɯn
атаксия	ɐtɐksʲijə
аталатын	ɑtɑɫɑtɯn
аталғанын	ɑtɑɫɣɑˈnɯn
атамекен	atamɛqen
атамын	ɑtɑmɯn
атанды	ɑtɑndɯ
атап	ɑtɑp
атасымын	ɑtɑsɯˈmɯn
атаусыз	atawˈsɯz
атаға	ɑtɑɣɑ
атбасар	atmɑsɑr
атлас	atləs
атом	ɑtom
атомаралық	ɑtomɑrɑɫɯq
атропин	ɐtrɐpʲin
аттас	ɑtːɑs
атттарыңды	ɑtːtɑrɯŋdɯ
атты	ɑtːɯ
аты	ɑtɯ
атым	ɑtɯm
атымды	ɑtɯmˈdɯ
атымыз	ɑtɯmɯz
атып	ɑtɯp
атырау	atrau
атырау	ɑtərɑw
атың	ɑˈtɯŋ
атқарады	ɑtqɑrɑdɯ
атқаруға	atqaɾuɣa
ауа	ɑwɑ
аудармашы	ɑwdɑrmɑʃɯ
аударуда	ɑwdɑɾʊdɑ
аударған	ɑwdɑrˈʁɑn
аузын	ɑwˈzɯn
аузыңды	ɑwzɯŋdɯ
аулайды	ɑwɫɑjˈdɯ
аура	aʊrə
ауру	ɑwˈɾʊ
ауруды	ɑwɯɾɯ
аурумен	ɑwɾumen
аурухалар	ɑwɾuhɑɫɑɾ
аурухана	ɑu̯ruːχɑnɑ
аурухана	ɑwɾʊχɑnɑ
ауруханада	ɑwɾʊχɑnɑdɑ
ауруханасы	ɑwɾuhɑnɑsɯ
ауруханасына	ɑwɾuhɑnɑsɯnɑ
ауруханаға	ɑwɾʊχɑnɑɣɑ
ауруы	ɑwɾʊw
ауруына	ɑwɾyˈjɑ
аустенит	ɐʊstɛnʲit
аутизм	ɐʊtʲizm
ауф	ɑwf
ауыз	auz
ауыз	ɑwɯz
ауыл	ɑwɯɫ
ауылдағы	ɑwɯɫdɑɣɯ
ауылдық	ɑwɯɫdɯ̞q
ауылымда	ɑwɯləmdɑ
ауылға	ɑwɯɫə
ауыр	auɾ
ауыр	ɑwɯr
ауырады	ɑwɯˈrɑdɯ
ауырасың	ɑwɯrɑsɯŋ
ауырды	ɑwɯɾdɯ
ауырттың	ɑwɯrtɯtɯŋ
ауыруына	ɑwɯɾɯjˈnɑ
ауыруың	ɑwɯɾʊɯŋ
ауырып	ɑwɯˈrɯp
ауысамыз	ɑwɯsɑmɯz
ауыстыру	ɑwɯstɯɾʊ
ауыстыруға	ɑwɯstɯɾʊʁɑ
ауытқушылықтардың	ɑwɯtqʊʃɯɫɯqtaɾɯŋ
африка	ɑfɾɪkɑ
африкада	ɑfɾɪkɑdɑ
африкан	ɑfɾɪˈkɑn
африкандықтар	ɑfɾɪkɑndɯqtɑɾ
африкаға	ɑfɾɯkɑɣɑ
ацепромазин	ɑtsɪprɑmɑzɪn
ацетилен	ɐtsɨtʲɪlʲen
аш	aʃ
аш	ɑʃ
ашайық	ɑʃɑjɯq
ашаршылық	ɑʂɑɾʃɯɫɯ
аштым	ɑʃˈtɯm
аштық	ɑʂtɯ̞q
аштық	ɑʃtɯq
аштық	ɑʃˈtɯq
ашу	pɑʃu˥˩
ашу	ɑʃʊw
ашылған	ɑʂɯ̞ɫʁɑn
ашына	ɑʃɯˈnɑ
ашытқы	ɑʂɯ̞tqʊ̞
ашығып	ɑʃɯɣɯp
ашық	ɑʃɯq
ашыңдар	ɑʃɯŋdɑr
ашыңыз	ɑʃɯŋɯz
ашқан	ɑʃqɑn
ащы	ɑɕɯ
аягөз	ajɑgɯz
аягөз	ɑjɑguz
аяз	ɑjɑz
аялау	ajɑlɑʊ̞
аялдама	ɑjɑɫdɑmɑ
аялдаманы	ɑjɑldɑˈmɑnɯ
аямайды	ɑjɑmajˈdɯ
аян	ɑjɑn
аянышты	ɑjɑnɯʃtɯ
аяудың	ɑjɑwdɯŋ
аяқ	ɑjɑq
аяқта	ɑjɑqˈtɑ
аяқтарыңның	ɑjɑqtaɾɯŋŋɯ
аяқтау	ajʝɑqtɑu̯
аяққа	ɑjɑqˈqɑ
ағай	agaj
ағайын	ɑˈʁɑjɯn
ағайындас	aɣaindas
ағайыншыл	ɑʁɑjɯ̞nʂɯ̞ɫ
ағарту	ɑʁɑrtu
ағатай	aɣatai
ағаш	ɑɣɑʃ
ағашат	ɑgɑʃɑt
ағаштану	ɑʁɑʂtɑnu
ағашқа	ɑɣɑʃqɑ
ағза	ɑʁzɑ
ағза	ʔaqza
ағзалық	æqzɑɫɯ̞q
ағылшын	ɑɣɯɫʃɯn
ағылшындарды	ɑɣɯɫʃɯndɑɾdɯ
ағылшынша	ɑɣɯɫʃɯnʃɑ
ақ	ɑq
ақбөкен	aqbɵkɪ̞n
ақиқат	ɑqɯjqɑt
ақкөңіл	ɑqkøŋɪl
ақмола	aqmola
ақпан	ɑqbɑn
ақпарат	ɑqpaːrɑt
ақпарат	ɑqpɑrɑt
ақпарат	ɑqpɑˈrɑt
ақсақал	ɑqtɑqɑl
ақсу	aqsu
ақтау	ɑqtɑu
ақтау	ɑqtɑw
ақтау	ɑqˈtɑw
ақтөбе	aktoba
ақтөбе	aqtøbɛ
ақтөбе	aqtɯpɪ
ақтөбе	ɑqtɵbʲe
ақуыз	aʁˈoz
ақшаны	ɑqʃɑnɯ
ақылдастым	ɑqɯɫdɑstɯm
ақылды	aqɯ̞ɫdʊ̞
ақылдым	ɑqɯɫdɯm
ақылсыз	ɑqɯlsɯz
ақылы	ɑqɯˈlɯ
ақымақ	ɑqmɑq
ақымақ	ɑqɯˈmɑq
ақын	aqn
ақыры	ɑqɯˈrɯ
ақысына	ɑqɯsɯnɑ
ақыт	ɑqɯt
ақытты	ɑqɯtˈtɯ
ақытым	ɑqɯtɯm
ақытыңызды	ɑqɯtɯŋɯzdɯ
аққұба	ħɑqqɑːba
аңсау	aŋsau
аңшылауға	ɑŋʃɯɫɑwɑ
аңшылауғы	ɑŋʃɯɫɑwɯ
аңға	ɑŋˈɣɑ
аңқау	ankau
ба	ɑ
бадди	badi
базальт	bɐzalʲt
базар	päzɑr
базарлық	bazɑrˈɫɯq
бай	bɑ̝j
бай	bˈaɪ
байдарка	bɐjdarkə
байланыс	baɯlɑnɯs
байланысты	baɪlaˈnɯstɯ
байланыстырасыз	baɯɫɑnɯstɯɾɑsɯz
байлауышты	baɪɫɑwɯʃˈtɯ
байлығын	baɯɫɯjɯqɯn
байлық	baɪˈɫɯq
байырғы	bɑjɯɾqɑn
байқамай	baɯqɑmɑj
байқамаппын	baɯqɑmɑpˈpɯn
байқап	baɯˈqɑp
байқаусызда	baɯqɑwsɯzˈdɑ
байқоңыр	bɑjqoŋɯr
бактерия	ˈbɑktɪrʲɪjə
бактериялар	ˌbɑktʲerʲiˈjɑɫɑr
бала	bala
бала	baɫɑ
бала	bɑɫɑ
бала-шаға	bɑɫɑʃɑʁɑ
балабақша	bɑɫɑbɑqʃɑ
баладан	baɫɑˈdɑn
балалар	baɫɑɫɑr
балаларына	baɫɑɫɑɾɯˈnɑ
балаларға	baɫɑɫɑrɣɑ
балама	baɫɑmɑ
балама	pɑɫɑma
баламды	baɫɑmdɯ
баламен	baɫɑˈmɛn
баланы	baˈlɑnɯ
баланының	baɫɑnɯˈnɯ
баланың	balaˈnɯŋ
балапан	bäɫapɑn
балапан	bɑɫɑpɑn
балапаным	baɫɑpɑˈnɯm
баласы	baɫɑsɯ
баласың	baɫɑˈsɯŋ
балаға	baɫɑʁɑ
балақай	balaqaɪ
балақайлар	baɫɑqɑjˈlɑr
балаңыз	baɫɑˈnɯz
балаңызда	baɫɑŋɯzˈdɑ
баллада	bɐɫadə
балта	alta
балға	bɑɫɣɑ
балқаш	bɑɫqaʂ
банда	bandə
банк	bank
банк	baŋk
банкнот	bɐnknot
банкрот	baŋkroːt
бар	baɾ
бар	bˈaɾ
бара	bara
барады	baraːdɯ
барайын	baɾajˈjɪn
барайықшы	baɾajɯqʃɯ
барам	baˈram
барамыз	baɾamɯz
барамын	baramɯn
барар	baɾɑr
барасың	baɾasɯŋ
барасыңдар	baɾasɯŋˈdɑr
баратын	baratɯn
барбадос	bɐrbadəs
барды	baɾˈdɯ
бардың	baɾˈdɯŋ
барлап	baɾˈlɑp
барлығы	bɑrɫɑɣʊ̞
барлығын	baɾɫəˈʁɯn
барлығыңа	baɾɫəɣəˈnə
барлықтарыңыз	baɾɯqtaɾɯŋɯz
барма	baɾˈmɑ
бармадың	baɾmɑˈðɯŋ
бармайды	baɾmaɪˈdɯ
бармаймын	baɾmaɯmɯn
бармайсың	baɾmajsɯŋ
бармағаның	baɾmaɣaˈnɯŋ
бармағыңызды	baɾmɑɣɯŋɯzdɯ
бармақ	bɑrma
барсын	baɾˈsɯn
барсың	baɾˈsɯŋ
барсін	baɾˈsɪn
бару	baru
бару	varu
баруыма	baɾujma
баруыңыз	barujɯŋ̊
баруға	baruɣa
баршы	baɾˈʃɯ
барын	baˈrɯn
барып	baɾɯp
барысында	bɑrɯzsɯndɑ
барыңдар	baɾəŋdɑr
барған	baɾˈʁɑn
барғанды	baɾˈʁɑnˈdɯ
барғаным	baɾʁɑnɯm
барғың	baɾɣɯŋ
барқыт	maɾqit
бас	pas
бас	ˈbɑs
