--من	mæn
آدرسی	ɑːdæɾˈsiː
آدرنالين	ɑːdɾenɑːlɪn
آدرنالین	adrenala
آدري	ɑːdˈriː
آدريان	ɑːdriˈjɑːn
آدرين	ɑːdeˈɾin
آدری	ɑːdˈriː
آدریان	ɑːdiːˈɾiːjɑn
آدرین	ɑːdɾiːn
آدل	ɑːdæl
آدلايد	ɑːdæˈlɑːjæd
آدلاین	ɑːdeliːn
آدليد	ɑːdæliːd
آدلیند	ɑːdeliːnd
آدم	ɑːdæm
آدم	ɒːdæm
آدما	ɑːdæmæ
آدمات	ɑːmɑːdæt
آدمارو	ɑːdæmɑːɾuː
آدماست	ɑːdæmɑːst
آدماش	ɑːdæmɑːʃ
آدماشو	ɑːdæmɑːʃu
آدمام	ɑːdæmɑːm
آدمامون	ɑːdæmæmoːn
آدماي	ɑːdæmɑːj
آدمايي	ɑːd̪æmɑːji
آدماييه	ɑːd̪æmɑːje
آدمايِ	ɑːd̪æmɑːj
آدمای	ɑːdæmɑːj
آدمایی	ɑːdæmɑːji
آدماییه	ɑːdæmɑːje
آدمخوار	ɑːdæmχvɑːr
آدمخواری	ɑːdæmxɔri
آدمربايي	ɑːdæmærebɑːji
آدمربایی	ɑːdæmæɾbɑːji
آدمش	ɑːdæmæʃ
آدمكش	ɑːdæmˈkeʃ
آدمم	ɑːdæmæm
آدممون	ɑːdæmˈmʊn
آدمن	ɑːdæmæn
آدمه	ɑːdæmæ
آدمها	ɑːdæmhe
آدمها	ɑːdæmhɑː
آدمهائي	ɑːdæmehɑːi
آدمهاست	ɑːdæmehɑːst
آدمهاي	ɑːdemhɑːj
آدمهايي	ɑːdemhɑːjiː
آدمهای	ɑːdæmhɑj
آدمهایی	ɑːdæmhejiː
آدمو	ɑːdæmo
آدمي	ɑːdæmi
آدميت	ɑːdæmiːt
آدميزاد	ɑːdæmizɑːd
آدميزاد	ɑːdæmizɑːt
آدميم	ɑːdæmæm
آدميه	ɑːdæmiː
آدمُ	ɑːdæm
آدمِ	ɑːdæm
آدمک	ɑːdæmæk
آدمکش	ɑːdæmˈkeʃ
آدمکشا	ɑːdæmkeʃɑː
آدمکشه	ɑːdæmkeʃe
آدمکشي	ɑːdæmkeʃiː
آدمکشی	ɑːdæmkeʃiː
آدمکُش	ɑːdæmˈkʰoʃ
آدمی	ɑːdæmi
آدمی	ɑːdæmiː
آدمیزاد	ɑːdæmizɑːt
آدمیزاد	ɑːdæmiˈzɑːd
آدمیم	ɑːdæmim
آدمیه	ɑːdæmiæ
آدم‌آهنی	ɑːdæmɑːhæniː
آدم‌کش	ɑːdæmkʃæʃ
آدولف	ɑːdɔːlfe
آدونيس	ɑːdoːniːs
آدي	ɑːdiː
آديتي	ɑːdeːtiː
آديتيا	ɑːdiːtiːjɑː
آدیامان	ʔaːdiːɑːmɑːn
آدیتی	ɑːdiːtiː
آدین	ɑːdiːn
آذربايجان	ɑːzɑːbɑːjdʒɑːn
آذربایجانی	ɑːzɑːrbɑːjʒɑːniː
آذربد	ɒːzæɾbæd
آذرخش	ɑːzæɾxɑʃ
آذرسا	ɑzɑrɨsɑ
آذرشهر	ɒːzæɾʃæhɾ
آذری	ɑːzæri
آذوقه	ɑːzuːɣe
آذین	aːziːn
آر	ɑːr
آر-وي	ɑːɾviː
آر2	ɑːr
آرا	ɑːˈrɑː
آراء	ɑːrɑːje
آراد	ɑːrɑːt
آراست	ɒːɾɒːst
آراستم	ɑːɾɑːstæm
آراستم	ɒːɾɒːstæm
آراستن	ɑːɾɑːstæɾ
آراستند	ɑːrɑːstænd
آراستند	ɒːɾɒːstænd
آراسته	ɑːrɑːste
آراسته	ɑːɾɑːstʰe
آراستهام	ɒːɾɒːste̞æm
آراستهاند	ɒːɾɒːste̞ænd
آراستهای	ɒːɾɒːste̞iː
آراستهاید	ɒːɾɒːste̞iːd
آراستهایم	ɒːɾɒːste̞iːm
آراستگی	ɑːrɑːste̞giː
آراستی	ɒːɾɒːstiː
آراستید	ɒːɾɒːstiːd
آراستیم	ɒːɾɒːstiːm
آرام	ɑːrɑːm
آرام	ɒːɾɒːm
آرامبخش	ɑːrɑːmbox
آرامتر	ɑːrɑːmtɑːr
آرامتر	ɑːrɑːmˈtæɾ
آرامد	ɒːɾɒːmæd
آرامش	ɑːrɑːmɛʃ
آرامش	ɒːɾɒːme̞ʃ
آرامشت	ɑːrɑːmʃe
آرامشم	ɑːrɑːmɑʃm
آرامشه	ɑːrɑːmeʃe
آرامشي	ɑːrɑːmeʃi
آرامش‌بخش	ɑːrɑːmʃbaʃ
آرامم	ɒːɾɒːmæm
آرامند	ɒːɾɒːmænd
آرامي	ɑːrɑːmi
آراميس	ɑːrɑːˈmʲiːs
آرامگاه	ɑːrɑːmgɑːh
آرامی	ɑːrɑːmi
آرامی	ɒːɾɒːmiː
آرامید	ɒːɾɒːmiːd
آرامیدم	ɒːɾɒːmiːdæm
آرامیدند	ɒːɾɒːmiːdænd
آرامیدهام	ɒːɾɒːmiːde̞æm
آرامیدهاند	ɒːɾɒːmiːde̞ænd
آرامیدهای	ɒːɾɒːmiːde̞iː
آرامیدهاید	ɒːɾɒːmiːde̞iːd
آرامیدهایم	ɒːɾɒːmiːde̞iːm
آرامیدو	aramido
آرامیدی	ɒːɾɒːmiːdiː
آرامیدید	ɒːɾɒːmiːdiːd
آرامیدیم	ɒːɾɒːmiːdiːm
آرامیم	ɒːɾɒːmiːm
آرام‌پز	ɑːɾɑːmpæs
آراي	ɑːɾɑːj
آرايد	ɑːrɑːjæd
آرايش	ɑːrɑːjeʃ
آرايش	ɑːɾɑːje
آرايشت	ɑːrɑːjeʃt
آرايشم	ɑːrɑːjeʃm
آرايشي	ɑːrɑːjeʃi
آرايشگاه	ɑːrɑːjeʃgɑːh
آرايشگر	ɑːrɑːjeʃgæɾ
آرايشگري	ɑːrɑːjeʃgeːri
آرايي	ɑːrɑːˈjiː
آراگورن	ɑːrɑːgoːɾn
آراگون	ɑːrɑːguːn
آراید	ɒːɾɒːjæd
آرایش	ɑːɾɑːjɪʃ
آرایشگر	ɑːɾɑːjɛʃgæɾ
آرایشی	ɑːɾɑːjeʃiː
آرایم	ɒːɾɒːjæm
آرایند	ɒːɾɒːjænd
آرایه	ɑːɾɑːjeː
آرایی	ɒːɾɒːjiː
آرایید	ɒːɾɒːjiːd
آراییم	ɒːɾɒːjiːm
آربور	ɑːɾbuːɾ
آربورلون	ɑːɾbuɾˈlun
آرت	ɑːɾt
آرتادخت	ɑrtɑːdoxt
آرتان	ɑːɾˈtɑːn
آرتروز	ɑːrt̪eˈroːz
آرتروز	ɑːɾtʊɾuːz
آرتریت	ɑɾtɾiːt
آرتش	ɑːɾtʃ
آرتمن	ɒːɾtmɒn
آرتو	ɑːɾtuː
آرتور	ɑːɾtʊɾ
آرتورو	ɑːɾtʊˈɾo
آرتي	ɑːɾti
آرتيست	ɑːrˈtiːst
آرتيست	ɑːɾtiːst
آرتیست	ɑɾtˈɪst
آرجنت	ɑːɾdʒent
آرجون	ɑːɾdʒuːn
آرد	ɑːɾd
آرد	ɑːɾt
آرررره	ɑːrɑrɑrɑh
آررره	ɑrɑrɑ
آرره	ɑːrɑː
آرزد	ɑːɾst
آرزو	ɑrɯzˈu
آرزو	ɑːɾzu
آرزوت	ɑːɾzʊt
آرزوخواه	ɑːɾzʊːxɑː
آرزوش	ɑːɹzʊʃ
آرزوشو	ɑːɾzuʃu
آرزوم	ɑːɹzʊm
آرزومند	ɑːɾzɑːmæn
آرزومندانه	ɑːɾzɑːvmændɑːne
آرزومه	ɑːɾzume
آرزوها	ɑːɾzuˈhɑː
آرزوهات	ɑːɹziwɑːt
آرزوهاش	ɑːɹzʊhɑːʃ
آرزوهام	ɑːɹzʊhɑːm
آرزوهامون	ɑːɹzʊhɑːmʊn
آرزوهاي	ɑːɾzuhej
آرزوهايي	ɑːɾzʊhejɪ
آرزوهای	ɑːɾzuhej
آرزوي	ɑːɾziː
آرزويي	ɑːɾziːj
آرزوی	ɑːɾziː
آرزویی	ɑːɾziː
آرس	ɑːɾs
آرستن	ɑːrɑːstæn
آرسته	ɑːrɑːste
آرسنال	ɑːɾseˈnɑːl
آرسنيک	ɑːɾseniːk
آرش	ɑːrɑːʃ
آرش	ɑːɾʃ
آرشام	ɑɾˈʃɑm
آرشانیک	ɑːɾtʃɑːniːk
آرشيو	ɑːɾˈʃijuː
آرشیتکت	ɑɾʃitɛkt
آرشیو	ɑːɾˈʃiːv
آركاديان	ɑːɾkɑːdijɑːn
آرلن	ɑːɾlæne
آرلو	ɑːɾˈluː
آرلين	ɑːɾˈliːn
آرلین	ɑːɾˈliːn
آرم	ɑrmɑ
آرم	ɑːɾm
آرماند	ɑːɾmɑːnd
آرماندو	ɑːrɑːmɑːndu
آرماني	ɑːrɑːmɑːniː
آرمان‌گرا	ɑːrmɑːngæɾɑː
آرماکاست	ɑːrmɑːkɑːst
آرماگدون	ɑːrmɑːgdɔn
آرمسترانگ	ɑːrmestrɑːng
آرميده	ɑːɾmiːde
آرمين	ɑːɾˈmiːn
آرمیتاژ	ɑːɾmiːtɑːʒ
آرمید	ɒːɾɒːmiːd
آرمیدم	ɒːɾɒːmiːdæm
آرمیدند	ɒːɾɒːmiːdænd
آرمیدهام	ɒːɾɒːmiːde̞æm
آرمیدهاند	ɒːɾɒːmiːde̞ænd
آرمیدهای	ɒːɾɒːmiːde̞iː
آرمیدهاید	ɒːɾɒːmiːde̞iːd
آرمیدهایم	ɒːɾɒːmiːde̞iːm
آرمیدی	ɒːɾɒːmiːdiː
آرمیدید	ɒːɾɒːmiːdiːd
آرمیدیم	ɒːɾɒːmiːdiːm
آرن	ɑːɾn
آرنا	ɑːɾˈnɑː
آرناي	ɑːɾnɑj
آرنت	ɑːɾent
آرنج	ɑːɾˈnʒ
آرنجت	ɑːɾɲeʒt
آرند	ɑːɾand
آرندل	ɑːrænˈdæl
آرنولد	ɑːɾˈnɔːldi
آرني	ɑːɾˈniː
آرنگ	ɑːɾæŋ
آرنی	ɑːɾˈniː
آره	ɑːɾe
آرهآره	ɑːɾe
آرهتو	ɑːɾeto
آرهمن	ɑːɾemæn
آرهو	ɑːɾev
آرهيه	ɑːɾeje
آرو	ɑːɾuː
آرواره	ɑːɾuːɑːɾe
آرواره‌داران	ɑrˈvɑrɛdɒːɾɒːn
آرواره‌ها	ɑːrɑːrhæe̞ʌ
آروبا	ɑːɾuːbɑ
آرورا	ɑːrʊˈrɑː
آروز	ɑːruːz
آروزي	ɑːɾuːzi
آروش	ɑːɾuʃ
آروغ	ɑːruːɣ
آروم	ɑːˈɾum
آرومت	ɑːrumeːt
آرومتر	ɑːrɔːmet̪r
آرومش	ɑːrumeʃ
آرومشون	ɑːrumeʃɔn
آرومم	ɑːrume
آرومه	ɑːrume
آرومي	ɑːruːmiː
آروميه	ɑːɾumiːje
آرومی	ɑːruːmiː
آرون	ɑːˈɾuːn
آروهي	ɑːɾuːheɪ
آروي	ɑːɾuːiː
آروی	ɔrvj
آروین	ɑːɾuːˈvin
آري	ɑːˈɾiː
آريا	ɑːɾiːjɑː
آريادنه	ɑːrijæd̪ne
آرياس	ɑːriˈjɑːs
آريافيلم	ɑːriːɑːfiːlæm
آريال	ɑːɾiɑːl
آريان	ɑːɾiːjɑːn
آريان	ɑːɾˈjɑːn
آريايي	ɑːriːjɪ
آريزونا	ɑːrizoːnɑ
آريس	ɑːrɪs
آريل	ɑːɾiːl
آريم	ɑːɾiːm
آرين	ɑːˈɾiːn
آريوس	ɑːɾiːuːs
آرپيجي	ɑːɾpʲiːdʒiː
آرچ	ɑːɹtʃ
آرچر	ɑːɹtʃeɹ
آرچي	ɑːɾˈtʃi
آرچيبالد	ɑːɾtʃiːbɑːld
آرژانتين	ɑːɹʒɑːnˈt̪iːn
آرژانتيني	ɑːrʒɑːntiːniː
آرژانتین	ɒːɾʒɒntˈiːn
آرک	ɑːɾk
آرکادي	ɑːɾkɑːdiː
آرکادیا	ɑːɾkɑːdiɑː
آرکارو	ɑːɾkɑːɾuː
آرکانزاس	ɑːɾkɑːnzɑːs
آرکتور	ɑːɾketɔːɾ
آرکديا	ɑːɾkædiˈjɑ
آرکن	ɑːɾkʰen
آرکهام	ɑːrkehɑːm
آرکیدیا	ɑːɾkʲiːdiːjɑː
آرگو	aɾgo
آرگو	ɑːɾgo
آرگوس	ɑːrgoːs
آری	ɑːriː
آریا	ɑːˈriːjɑ
آریاس	ɑːˈɾijɑs
آریامهر	ɑːriːɑːme
آریزونا	ɑːɾizɯnɑː
آریس	ɑːˈɾiːs
آرین	ɑːˈɾiːn
آز	ɑːz
آزاد	ɑːzɑːd
آزاد	ɒːzɒːd
آزادانه	ɑːzɑːdɑːne
آزادتون	ɑːzɑːd̪eˈt̪un
آزادراه	ɑːzɑːdæˈrɑːh
آزادراه	ɑːzɑːdɾɒː
آزادسازي	ɑːzɑːdæseɪzi
آزادش	ɑːzɑːdʃ
آزادشهر	ɒːzɒːdʃɛhɾ
آزادشون	ɑːzɑːdʃoːn
آزادم	ɑːzɑːdæm
آزادمون	ɑːzɑːdæmɒn
آزادن	ɑːzɑːdæn
آزاده	ɑːzɑːˈde
آزادي	ɑːzɑːdi
آزاديت	ɑːzɑːdæˈtiː
آزاديد	ɑːzɑːˈdiː
آزاديش	ɑːzɑːdiːʃ
آزاديشون	ɑːzɑːdiːʃon
آزاديم	ɑːzɑːdɪm
آزاديمون	ɑːzɑːdimeˈvɑn
آزادين	ɑːzɑːˈdin
آزاديه	ɑːzɑːdiːe
آزاديِ	ɑːzɑːdiː
آزادی	ɑːzɑːdi
آزادی	ɒːzɒːdiː
آزادیان	ɑːzɑːdiːæm
آزادیخواه	ɑːzɑːdiːxɑː
آزادیخواهانه	ɑːzɑːdiːxɑhɑːne
آزادید	ɑːzɑːˈdiːd
آزادیش	ɑːzɑːˈdiːʃ
آزادیم	ɑːzɑːˈdiːm
آزادین	ɑːzɑːˈdiːn
آزار	ɑːzɑːr
آزارت	ɑːzɑːrɑː
آزارت	ɑːzɑːɾt
آزارد	ɒːzɒːɾæd
آزاردن	ɑːzɑːrd̪æn
آزاردهنده	ɑːzɑːɾdehende
آزاررسان	ɑːzɑːrɾæsæn
آزارش	ɑːzɑːɾeʃ
آزارم	ɑːzɑːrɑm
آزارم	ɒːzɒːɾæm
آزارند	ɒːzɒːɾænd
آزاره	ɑːzɑːɾe
آزاري	ɑːzɑːri
آزاری	ɑːzɑːriː
آزاری	ɒːzɒːɾiː
آزارید	ɒːzɒːɾiːd
آزاریم	ɒːzɒːɾiːm
آزانس	ɑːzɑːns
آزبرت	ɑːzbeɾt
آزبست	ɑːzbeæst
آزبورن	ɑːzˈbuːrn
آزتک	ɑːzeːtæk
آزربايجان	ɒːzæɾmɒːjgɑ
آزرد	ɒːzoɾd
آزردم	ɒːzoɾdæm
آزردند	ɒːzoɾdænd
آزرده	ɑːzæɾde
آزردهام	ɒːzoɾde̞æm
آزردهاند	ɒːzoɾde̞ænd
آزردهای	ɒːzoɾde̞iː
آزردهاید	ɒːzoɾde̞iːd
آزردهایم	ɒːzoɾde̞iːm
آزردگي	ɒːzoɾdeɣi
آزردگی	ɑːzɑːrdgiː
آزردی	ɒːzoɾdiː
آزردید	ɒːzoɾdiːd
آزردیم	ɒːzoɾdiːm
آزمايشا	ɑːzmɑjæʃɑ
آزمايشاتش	ɑːzmɑjæˈʃætʃ
آزمايشاتي	ɑːzmɑːjæˈʃɑːti
آزمايشت	ɑːzmɑːjeʃt
آزمايشش	ɑːzmɑːjeʃ
آزمايشم	ɑːzmɑːjeʃm
آزمايشه	ɑːzmɑːjeʃ
آزمايشها	ɑːzmɑːjeʃhɑː
آزمايشهاي	ɑːzmɑːjeʃhɑːj
آزمايشي	ɑːzmɑːjeʃi
آزمايشيه	ɑːzmɑːjeʃe
آزمايشِ	ɑːzmɑːjeʃ
آزمايشگاه	ɑːzmɑːjeʃgɑːh
آزمايشگاه	ɑːzmɑːjæʃgɑh
آزمايشگاهت	ɑːzmɑːjeʃgɑːhɑt
آزمايشگاهم	ɑːzmɑːjæʃgɑːm
آزمايشگاهه	ɑːzmɑːjæʃgɑːhɑː
آزمايشگاهي	ɑːzmɑːjæʃgɑːhi
آزمايشگاهِ	ɑːzmɑːjeʃgɑːhi
آزمايي	ɑːzmɑːjiː
آزمای	ɑːzæmɑːj
آزماید	ɒːzmɒːjæd
آزمایش	ɑːzmɑːjæʃ
آزمایش	ɒːzmɒːje̞ʃ
آزمایشش	ɑːzmɑːjæʃ
آزمایشگاه	ɑːzmɑjæʃɾɑh
آزمایشگاه	ɑːzmɑːjæɣæb
آزمایشگاهی	ɑːzmɑːjæxɑːɢiː
آزمایشگاهی	ɑːzmɑːjʃɑgɑhiː
آزمایشی	ɑːzmɑːjhiː
آزمایم	ɒːzmɒːjæm
آزمایند	ɒːzmɒːjænd
آزماینده	ɒːzmɒːjænde
آزمایی	ɑːzmɑːjiː
آزمایی	ɒːzmɒːjiː
آزمایید	ɒːzmɒːjiːd
آزماییم	ɒːzmɒːjiːm
آزمند	ʔɒːzmænd
آزمندانه	ɑːzˈmændɑːne
آزمود	ɒːzmuːd
آزمودم	ɑːzmuːdæm
آزمودم	ɒːzmuːdæm
آزمودن	ɑːzmuːden
آزمودند	ɒːzmuːde̞nd
آزمودند	ɒːzmuːdænd
آزمودهام	ɒːzmuːde̞æm
آزمودهاند	ɒːzmuːde̞ænd
آزمودهای	ɒːzmuːde̞iː
آزمودهاید	ɒːzmuːde̞iːd
آزمودهایم	ɒːzmuːde̞iːm
آزمودی	ɒːzmuːdiː
آزمودید	ɒːzmuːdiːd
آزمودیم	ɒːzmuːdiːm
