0χι	oxi
aσ	as
aσε	ase
aυτά	avˈta
aυτή	ˈafti
aυτό	ˈatiɔ
aυτός	aftos
aφoύ	afu
aφήστε	afis̪te
aφού	afu
aχ	ax
babe	babe
baby	ˈbeɪbi
babylon5	babilonbɪn
babylon	baβilaon
back	bak
bad	bað
bailey	baɪli
baker	bakeɾo
ball	baɫ
band	βaɲd
bang	baŋ
bank	baŋk
bankoran	baŋˈkoɾan
barbara	baɾβaɾa
bar	baɾ
barnes	baɾnes
barney	baɾni
barry	vari
baseball	beɪsˈbɔːl
bates	bates
batman	ba'tman
battle	batli
battlestar	ˈbætlɪstɑːr
bay	be
bbc	ɛpsɪla
bea	be̞a
beach	bitʃ
bear	be̞a̯r
beast	biːast
beat	biːt
beatles	biˈtɛlz
beatrice	biːˈatʃiː
be	be
because	gaˈpɔ
beck	be̞k
becker	ˈbɛkər
becky	beki
been	biːn
before	ˈpɾo
being	ˈiŋg
believe	biˈliːv
bella	ˈbɛla
bell	be̞l
belle	ˈbɛle
ben	be̞n
benjamin	beniˈminɛ
bennett	benɛt
benny	beni
bernard	βɛrˈnaɾð
bernie	beɾˈni
best	best
beth	βɛθ
better	βɛtɛr
bettie	betiɛ
betty	beti
beverly	ˈbɛvərli
beverlyhillsteam	ˌbɛvərliˌhɪlzˌtim
bevoula	bevola
big	viɣ
bill	biɫ
billie	bili
billy	ˈbɪli
bingo	biŋgo
binis	binis
bird	ɔːrð
birthday	geˈɾiðis
bishop	ɪˈbɪʃ
bit	bit
black	ˈmavro
blackrose	blakros
bladesinger	blædiˈsiŋgɛr
blake	blɛk
blog	blɔg
blog-spot	blɔgˈspɔt
blood	bluð
bloome	blum
blue	blu
blues	blus
bluetooth	bluːθuːs
blur3	bluɾ
bmw	beːemwuː
bob	ˈbɔp
bobby	ˈbɔbi
bo	bo
body	ˈkɔði
bolo	bolo
bond	βɔ́nd
bones	ˈbones
bonnie	ˈbɔni
bon	βɔn
boo	boː
boom	boːm
boone	boːne
booth	boːθ
boris	boɾis
boss	ˈbɔs
both	boθ
bowl	bol
box	ˈbɔks
boy	ˈbɔj
boyd	boɪ̯d
boynton	boɪntən
boys	βɔjs
brad	brad
bradley	brædli
brady	ˈbraði
brain	brɛn
brandon	brɑːdən
bravo	ˈbraβo
break	brɛk
breaking	brɛkɪŋ
brenda	brɛnðɑ
brennan	brɛnən
brent	brent
brett	brɛt
brian	brɪˈæn
brick	brɪk
bridge	gɾiðʝ
broadway	brɔːdeɪ
brody	brɔði
brooke	brɔːk
brooklyn	brʊkˈlɪn
brooks	brus
brother	ɛ̯frɔθɛ̯r
brothers	brɔθɛs
brown	brun
bruce	brus
bruno	bruno
bryan	brɪən
buck	ˈbʊk
bud	buð
buddy	buði
buffy	ˈbʊfi
buffyteam	buˈftʃiːm
bull	bul
bunny	ˈbʊni
burger	ˈbʊgər
burgess	ˈbɜːɹdʒɪs
burke	buɾkɛ
burns	ˈbɜːnz
burt	buɾt
bush	buʃ
business	ˈbɪznɪs
but	βʊt
buzz	buz
bye	vi
by	vi
bάλε	vaˈle
b	β
bγες	beɣes
bέβαια	ˈbevaja
bλέπεις	ˈblepeis
bλέπω	blepo
bρήκα	ˈbrika
c4	ka
c-4	kaˈfoɾa
cabe	kaβe
cadillac	kaðiˈlaki
caesar	ˈtseazər
cafe	kafe
calamity	kaləmiˈti
caleb	kalɛb
california	kaliforniə
cal	kal
call	kal
cally	kalʝi
came	kami
camera	ˈkamera
cameron	ˈkæməɹən
camilla	kamila
camille	kaˈmɪl
cam	kaːm
campbell	ˈkæmpəl
camp	kaɱp
candy	ˈkʌndi
can	kaːn
cao	kao
cape	kapɛ
captain	kaˈptein
care	kaɾe
car	kaɾ
carla	kaɾla
carl	kaɾl
carlo	kaɾlo
carlos	kaɾloʃ
carmen	kaɾˈmen
caroline	kaɾolini
carol	kaˈɾol
carrie	kari
carson	ˈkɑːrsən
carter	kaɾˈteɾ
cartmangr	kaɾtmaŋgr
case	kasi
casey	ˈkæsi
cassandra	kaˈsandɾa
cass	kaʃ
castle	kaˈstɛl
caterina	kateˈɾina
catherine	kaˈθarin
cathy	kaθi
cat	ka
cause	kaʊz
cbi	ci
cbs	ks
cc	ʃi
ccteam	ktʰɛm
cd	ʃi
cecause	giˈkɔs
ce	ce
center	ˈsɛntɛr
central	ˈsɛntrəl
ceo	ceo
chan	çan
chance	ˈtʃaŋtsi
chang	çaŋ
change	ˈtʃaɲɟe
channel	çanɛl
charles	ˈtʃaɾles
charlie	ʃaɾli
charlotte	ʃaˈlɔt
charmedteam	ˈkɑːmdɪtɪm
charmed	ˈxarm
chase	ˈtʃeɪs
chat	çat
check	tʃɛk
cheers	ʃɪːɾ
chef	ʃɛf
chelsea	ˈtʃɛlsi
chen	çɛn
cheryl	çɛɾil
chicago	ʃɪˈkɑːgoʊ
chi	çi
chicken	kiˈkin
chief	çɪf
child	ˈpaiðo
chin	tʃin
chip	çip
chloe	xlo
choi	xoi
cho	xɔ
chris	krɪs
christian	krɪs'tʃan
christie	krɪsti
christine	krɪsˈtɪni
christmas	krɪstmɑs
christopher	krɪsˈtɔfɚ
christos2b	ˈxɾistɔs
chuckles	ˈtʃʌkl̩z
chuck	tʃʌk
chun	xun
church	kirx
cia	kia
ciao	ˈtʃao
cia	tsia
cindy	ˈsɪndi
city	citi
c	ka
claire	klɛːr
clara	klara
clare	klɛːrɛ
clark	klɑɹk
clary	klari
claude	klɑːd
clay	klɛ
clayton	klɛɪtɒn
clear	klɪr
cleveland	klɛvˈlænd
cliff	klif
clive	kliv
cloud	kluð
club	kluːp
clyde	klaið
cnn	kn
co2	kɔː
coach	koʊtʃ
coast	ˈkɔst
coca-cola	kokakola
code	kɔð
codis	koðis
cody	koði
cold	kol
cole	kɔlɛ
colin	koˈlin
college	ˈkɔlɪdʒ
collins	ˈkɔlɪns
color	ˈkoloɾ
columbia	ˈkɔlʌmbɪə
come	komi
comes	komes
coming	ˈkɔmiŋ
com	koʊm
company	ˈkʰɔmpani
con	kɔn
connie	ˈkɔni
connor	ˈkɒnəɹ
conrad	kɔnˈrat
control	ˈkɔntɾol
cookie	kuˈkɪ
cool	kuːl
cooper	kuˈpɛr
corrected	koriˈkto
corto64	ˈkɔrtɔs
cos	kɔs
could	kuːld
country	ˈkʰɛna
county	kaʊnti
courtney	kuːtni
craig	kræɪ
crane	krɛn
crawford	krɑːfrɑːd
crazy	kræzi
creek	krɪk
creslin	krɛslin
crimes	krima
criminal	krimiˈnal
cruz	krʊz
cry	krɪ
crypt	krɪpt
crystal	krɪˈstɛl
csi	tsi
ctu	ktu
cuddy	kuði
cu	ku
curtis	ˈkɜːtɪs
cut	ku
cwho	ˈxɔ
cynthia	ˈsɪnθiə
cια	tsja
cτu	ktu
da	ða
dad	ðad
daddy	ðædi
daily	ðeɪli
daisy	daɪsi
dale	ðalɛ
dallas	ðɑlɑs
dalton	ðal'tɔn
damien	ðamiɛn
damon	ðamɔn
dana	ðana
dance	ðæns
dancing	ðanˈsiŋ
dan	ðan
dani	ðani
daniel	ðaniɛl
daniels	ðæniɛls
danny	ðani
dante	ðɛnte
dark	ðɑɾk
darren	ðæɹɛn
darryl	ðæɹɪl
date	ðeɪt
dave	ðæv
davey	ðævi
david	ðævɪt
davis	ðavis
dawn	ɔːn
dawson	ðɔːsɒn
day	ðe
days	ðe̞s
dc	ð
d	ð
dd	ð
dea	ðɛa
dead	θeð
deal	ðil
dean	ðɛːn
death	θeː
debbie	ðɛbi
deb	ðɛv
deborah	ðeβoɾa
de	ðe
dee	ði
deep	ˈbɛːp
del	ðɛl
delta	ðɛlta
denise	ðeniːs
dennis	ðɛnis
denny	ðeni
derek	ðe̞ɾek
des	ðe̞s
desperate	ðespeˈɾati
detective	ðɛtɛkˈtiː
dethklok	ðɛθklɒk
detroit	ˈdiːteɪ
dev	ðɛv
devil	ðɛvɪl
devon	ðeˈvon
dewey	ðeʊi
dexter	ðɛkste̞r
dia24	ðʝa
diamond	ðiamɔ́nd
diana	ðiˈana
diane	ðʝaˈne
diaz	ðiaz
dick	ðɪk
did	ðiː
di	ði
didn	ðiðn
die	ði
diego	ðiˈeɣo
dino	ðino
dinozzo	ðiˈnozo
dirty	ðɪɾi
disney	ˈdɪzni
dixie	ðiksi
dixon	ðɪkson
dj	ðʝ
dna	ðəˈna
dna	ðnɑ
doc	ðɔk
doctor	ðoˈktoɾ
dodge	ðɔdʒ
do	ðo
doe	ðo
does	ðɛs
doesn	ðɔs
dog	ðɔɣ
dogs	ðɔɣs
doing	ðɪŋ
dolby22	ðɔlbi
dolly	ðoli
dom	ðɔm
domenico	ðoˈmeniko
dominic	dominik
dona	ðona
donald	doʊˈnæld
don	ðɔn
done	ðone
donna	ðona
donnie	ðoˈni
donovan	doʊˈnɒvæn
door	θoɾ
doris	ðɔɾis
dorothy	ðoɾoθi
dory	ðori
double	ˈdiplo
doug	ðuɣ
douglas	duˈɣlas
dov	ðo̞v
down	daʊn
doyle	ðɔi̯l
drag	ðɾaɣ
dragon	ðɾaɣon
dragonfly	ðɾaɣoɱfi
drake	ðɾake
dr	ðɾ
dream	ðɾim
dreams	ðɾeːms
drive	ðɾiːv
dude	ðuːðe
du	ðu
duke	ðuk
duncan	ðʌŋkæn
duran	ðuˈɾan
dusty	ðʊsti
dvd	ðɛvðe
dvdrip	ðɛlfa
dwight	ˈdwaɪt
dylan	ðɪlæn
dyson	ðiˈson
dνα	ðnɑ
eagle	ɛɣli
earl	ɛːl
earth	gʰi
east	ɛːst
easy	ɪzi
ebay	ɛˈbeɪ
eboussa	ɛˈvusa
eddie	ɛdi
edesp	ɛˈðɛsp
ed	ɛð
edgar	ɛdɣar
edie	ɛðie
edit	ɛðit
edith	ɛðiθ
editing	ɛˈðɪŋ
edora	ɛðora
edward	ɛdˈwɔːd
edwards	ɛdˈwɔːds
eeyore	ɛjɔːrɛ
e	ɛ
eh	ɛ
elderman	ɛlðɛrmɑn
eleanor	ɛˈliːnɔːr
elena	ɛˈlɛnɑ
el	ɛl
eli	ɛli
elizabeth	ɛlɪˈzɑːθ
ella	ɛla
ellen	ɛˈlɛn
elliot	ɛliˈt
ellis	ɛlis
elsa	ɛlsa
eltsip	ɛltsip
elvis	ɛlˈvis
e-mail	imɛl
email	imɛl
e-mails	imɛlz
e-maiι	ɛmaɪ
em	ɛm
emilio	ɛmɪliɔ
emily	ɪˈmɪli
emma	ɛma
empire	ɪmˈpaɪəɹ
end	ɛnd
en	ɛn
enrique	ɛnˈrike
entakma	entakma
enzo	ˈenzo
episode	ɛˈpisoðɛ
epoca	ɛˈpɔka
er	ɛr
erica	ɛɾika
eric	ɛɾiç
erik	ɛɾik
erin	ɛɾin
ernie	ɛrni
espinoza	ɛspiˈɲoza
est	ɛst
estα	ɛstɑː
etc	ɛtse
et	ɛt
ethan	ɛθan
eugene	ɛuˈʒinɛ
eva	ɛva
evan	evɑn
evans	ɛvans
eve	ɛvɛ
evelyn	ɛˈvɛlɪn
even	ɛvɛn
ever	ɛβɛr
everybody	ɔlɔkɔɾi
every	ɛvi
everything	panɔˈkɔlɔ
evil	ɛvɪl
evα	ɛva
evας	ɛvas
evτάξει	ɛfˈtaksʲi
exclusive	ɛkskluːs
express	ɛkˈspɾɛs
eye	i
eyes	ɔj
eγώ	ɛɣo
eδώ	ɛðɔː
eε	ɛ
eι	ɛ
eίvαι	ɛvɛ
eίδα	ɛi̯ˈða
eίδες	ˈiːðes
eίμαι	imɛ
eίμαστε	imaste
eίναι	iːne
eίπα	ɛi̯ˈpa
eίπε	ɛpe
eίπες	ɛˈpises
eίσαι	ɛˈsɛ
eίστε	iste
eίχα	ɛiça
eίχε	ɛi̯çe
eκεί	ekí
eκτός	ɛkˈtos
eλα	ɛla
eλάτε	ɛˈlate
eλπίζω	ɛlˈpizo
eμείς	imis
eμπρός	emˈbros
eνα	ena
eνας	ɛnas
eντ	ent
eντάξει	ˈe̞ndaksi
eπειδή	epiˈði
eπιμέλεια	epiˈmelia
eπρεπε	ɛpɾepe
eρχεται	erxtes
eσείς	ɛˈsis
eσύ	esí
eτσι	ɛtsi
eυχαριστώ	efxariˈstɔ
eχoυμε	ɛˈçoɣe
eχει	ɛçei
eχεις	ɛˈçis
eχετε	ɛçete
eχουμε	ɛxume
eχω	ɛço
f-16	ɛfˈsɛɱteɾo
facebook	ˈfeɪsboʊk
face	fatse
fae	fe
fair	feɪ̯r
fall	faɫ
falling	falin
family	famili
familyguyteam	familiɣuiteːm
far	faɾ
fast	faːst
fata	fatɑ
fat	faːt
father	paˈθɛr
fbi	ɛfbi
fbi	ɛfbiaɪ
fbι	ɸɛβi
fda	faða
fear	feɾ
fed	feð
feel	fil
felix	feliks
femme	feme
fernando	feɾˈnando
ferrari	feˈrari
fey	fe
fi	fi
fight	ftʃ
fighting	ftʃiŋ
filmfreak	filmfɾik
finale	finɑˈli
finch	finç
find	fin
fine	fin
finn	fin
fiona	ˈfiɔnɑ
fire	faɾ
first	prɪs
fish	gaˈɾi
five-o	piveo
five	pive
flash	flaʃ
fletcher	flɛxtər
florida	flɔˈɾiða
florrick	flɔrɪk
floyd	flɔi
fly	flɪ
flynn	flɪn
fma	fama
fm	ɛm
font	fo̞nt
force	foɾs
ford	foɾð
forever	foɾeˈveɾ
for	foɾ
fort	foɾt
foster	foʃteɾ
foumantsou	fomantsu
found	foʊnd
four	foːr
fox	ɸɔks
foxygroup	ˈfɔksigɹuːp
foyle	fojle
f	ɸ
france	frɑ̃ːs
francesca	frɑnˈtʃɛska
francisco	frɑːŋˈsɪskoʊ
francis	frɑŋˈcis
franco	frɑŋko
fran	frɑn
frank	fræŋk
frankie	fræŋki
franklin	frænklɪn
franky	frɑŋki
franz	frɑːns
freddie	frɛði
freddy	frɛði
frederick	frɛdɹɪk
fred	frɛð
freedom	frɛˈðim
free	frɪ
friday	frɪˈdeɪ
friend	frinð
friends	fringz
fritz	frɪts
from	frɔm
fsb	fsb
fuckin	ˈfʊkɪn
fucking	ʋʊkɪŋ
fuck	ʋʊk
fu	fuː
full	ful
fun	ɸun
futurama	ˈfutuɾama
fβi	ɸi
fβι	ɸi
gabe	ɣaβe
gabi	ɣaβi
gabriel	ɣaβriˈel
gaga	ɣaɣa
gail	ɣajl
galactica	ɣalaktika
gallo	ɣaˈlo
game	ɣam
games	gæmz
gandalfas	ganˈðalfas
gan	ɣan
garcia	gaɾˈθia
garden	gaɾðen
gardner	gaɾˈðɛɾ
garrett	gaˈret
gary	ɣari
garza	ɣaɾˈza
gates	ɣates
gavin	gavin
gay	ɣe
gc	ɣe
gdskate	ɣðsˈkati
gear	ʒiɾ
gene	ʝene
general	ʝeniˈal
george	ʒɔːɹdʒ
georgia	ʒɔrˈʝiə
georgie	ʒɔrˈʝi
gerald	ʒɛrˈɑːld
get	ɣet
getting	getiŋ
gfmetro	gemˈtɾo
g	ɣ
ghb	ɣɛβ
ghost	ɣɔst
gibbs	gɪps
gibson	gɪbˈsɒn
gilbert	ʒilˈbɛɾt
gil	ʝil
gilmore	gɪlˈmoʊɹ
gina	ʒina
ginger	ʒinˈdʒɛr
giourkas	ʝuɾˈkas
giovanni	ʒɔˈvanni
girl	giɾ
girls	giːlz
give	ɣi
gki58	ɣiˈʝi
glee	ɣli
glen	ɣlen
glenn	ɣlen
gloria	ɣloˈɾia
glteam	ɣlte̞am
gmt4u	ɣmˈtaɾu
gmteam	ɣmtiːm
god	ɣɔð
godzilla	goðˈzɪlə
goes	ɣos
go	ɣo
going	ɣoɣiŋ
golden	χrɔ́ːs
goldman	goʊldmæn
gold	χrólo
gone	ɣone
gonna	gɔnə
good	ɣoð
google	guːgəl
gordon	gɔɾˈdon
gossip	gɔsɪp
gosva	ɣoˈsva
got	ɣɔt
gotta	gɔtɑ
gps	geɪpɛs
grace	gɹeɪs
gracie	gɹeɪsi
graham	gɾam
grand	ɣɾanð
grant	ɣɾan
gray	ɣra
grayson	gɹeɪsɒn
great	griː
greek	gɹiːk
greekie	griːki
greektvsubs	gɹiːktvˈsʌbs
green	ɣrin
greg	ɣɾɛɣ
gregory	gɹiˈgɔɹi
grey	ɣri
gr	ɣr
griffin	griːfin
grigd	ɣɾiɣð
group	ɣruːp
grteam	ɣrtiˈam
grteamvkblogspotgr	grtiː'mvkblɔgspɔtgr
grεεκ	ɣriːk
grοup	ɣɾup
gtrd-movies	ɣtr̥d̥muˈvi
gtvs	ɣtvs
gtvsteam	ɣiˈsteːm
guardian	ɣaɾˈðjan
gucci	gutʃi
gun	ɣun
gus	ɣus
guy	ɣi
guys	ɣʝ
gwen	ɣɛn
gwgw317	ɣuɣuʃili
had	hað
ha	ha
hale	halɛ
half	ɑːl
hal	hal
hall	ɑl
halloween	ɑːlɔːwɪn
hamilton	hamɪˈlɒn
hammond	hamˈmɔn
hand	çand
hands	ˈhands
han	han
hank	æŋk
hannah	hanah
hans	ãs
happy	hapi
hard	χaɾð
harold	ˈhæɹəʊld
harper	arpɛr
harriet	ˈhæɹiɛt
harrison	ˈhæɹɪsən
harris	ˈxaris
harry	ˈhari
harrypopper	ˈhæripɒpə
hart	ɑɾt
harvard	ɑːɹvɑːd
harvey	ɑːˈreɪ
has	ɑs
hastings	ˈhæstɪŋz
hattie	ˈati
have	ɛ
haven	ɑvɛn
hawaii	haʋaii
hayden	haɪ̯ˈðɛn
hayes	ajes
hayley	ai̯le
hazzard	ˈhæzɑːd
hbo	ɔ
h	ç
hd	ç
head	keð
hear	ɪːr
heart	gʰaɾt
heather	ɛθɛr
heaven	ɛvɛn
heavy	ɛvɾi
hector	ɛktɔr
he	ɛ
heidi	ɛiði
helena	ɛˈlɛnɑ
helen	ɛˈlɛn
hell	ɛl
hello	jalo
help	ɛlp
henri	ɛnri
henry	ɛnri
here	ɪre
her	ɛr
heroes	ɛɾɔs
hero	ɛɾo
hey	çɛ
hi	çɪ
high	ç
highlander	haɪˈlændər
hill	ɪl
hills	ɪl
hilton	ɪlˈtɒn
him	im
himym	imim
his	ɪs
hit	çit
hitler	çitlɛr
hiv	iv
hmm	ɪm
hobbs	ɔps
holden	ɔːldən
hold	ɔːl
hollow	ɔlo
holly	ɔlɪ
hollywood	ɔlɪvʊd
holmes	ɔlme̞s
home	oːme
homo	ɔmo
honda	ɔnˈðɑ
hong	ɔŋ
honor	ɔnɔr
ho	o
hope	ɔp
hop	ɔp
hornblower	ɔːnˈbləʊə
horn	ɣoɾ
horrible	ɔɾiˈbɛ
horse	ɪ̯pɛs
hotel	otɛl
hot	ɔt
hour	ɔːr
house	ɔx
houston	ɔːˈstɒn
howard	haʊɑːd
how	pa
hpd	ɛfpɛðɛ
htsubs	xtuβs
hudson	ʰuːd̪sɔn
hughes	ʝuɣes
hugh	ʝ
hugo	ʏɣo
huh	ʰu
hulk	ulg
human	ʰʊˈman
hunt	ç
hunter	çun'tɛr
hyde	ɪðe
hθελα	θela
hρέμησε	ˈɾemise
hρθα	ɾoθa
hρθε	ɾe
hταv	hatav
hταν	xtan
ian	i̯a̯n
ibm	ɪm
ice	ɪtʃe
if	ɪf
igt	ɪɣt
i	i
ii	iː
iii	iː
il	il
infe	ɪnˈfe
info	ɪnˈfo
in	ɪn
inn	ɪn
inside	ˈɪnsaɪ̯ðe
instagram	ɪnˈstɑːgɹæm
intel	ˈintɛl
internet	ˈintɛrnet
into	ˈinto
ipad	ɪpæd
iphone	ɪˈfoʊn
ip	ɪp
ipod	ipɔð
iq	ik
ira	ɪɾa
irene	ɪˈɾinɛ
iris	iɾis
iron	ɪrɔn
irving	ɪɹvɪŋ
isaac	ɪˈsɑːk
isabel	izabeɫ
isabelle	ɪzabeːl
isis	ɪsis
is	ɪs
island	ɪˈlænd
ismini	izmiˈni
isn	izn
italianο	ɪtaliˈaɲo
it	it
ivan	ivɑn
iv	iv
ivy	ivɪ
izzy	ɪzɪ
iσως	iːsos
΄	ɪ
jace	ʝatse
jackie	ˈdʒækɪ
jackson	ˈdʒæksən
jack	ʒak
jacob	ˈdʒækoʊb
jacques	ʒak
jade	jaðe
jag	jaɣ
jai	ʝe
jake	jakɛ
james	ʒæmɪs
jamie	ʒami
jane	ʝane
janet	ʒaˈnet
jan	ʝan
jared	jaɾeð
jarvis	ʒɑːɾvɪs
jason	ʒaˈsɔn
jasper	jasper
jay	ʝ
jazz	ʒæs
jean	ʒan
jedi	ʝeði
jefferson	dʒefsən
jeffrey	ʒɛfri
jeff	ʒɛf
je	ʝe
jenna	ʝena
jennifer	ʒɛniˈfɛr
jenny	ʒeni
jen	ʒɛn
jeremy	ʒəˈmɛɹi
jerome	ʒəˈɾɔm
jerry	ʒeri
jersey	ʒɛɾˈsi
jesse	ʒesi
jessica	ʒɛsɪkə
jessie	ʒesi
jess	ʝe̞s
jesus	ʒesus
jet	ʒɛt
jfk	ʒɛfka
jicho	ʝiço
jill	ʝil
jimkag	ʒimˈkaɣ
jimmy	ʒimi
jim	ʒim
jin	ʒin
joan	ʝɔ́an
joanna	jɔˈana
job	ʒɔp
jody	ʝoði
joe	ʝo
joel	ʝɔɛl
joey	ʝoɪ
johnny	ʒɔni
johnson	ʒɔnˈsɒn
johnyd13	jɔːnɪd
john	ʒɔn
jo	ʝo
joker	ˈʒokeɾ
jonas	ʝoˈnas
jonathan	ʝoˈnaθan
jonatos	ʝoˈnatos
jones	ʒonɛs
jon	ʝɔn
jordan	ˈdʒɔːdən
jorge	ʒɔɾʝe
joseph	ʒoˈsɛf
jose	ʒoˈse
josh	ʃoʃ
joshua	ʝoˈswa
joyce	ʒɔɪs
joy	çɔi
jr	ʒɛr
jt	ç
juan	ʝuˈan
judith	ʝuðiθ
judy	ʝuði
julia	ʝuˈlia
julian	ʝuljan
julianne	ʝuljanɛ
julie	ʝuˈli
julio	ʝuˈlio
june	ʝuni
junior	ˈdʒuːnɪɔr
justice	ˈdʒʌstɪs
justin	ʒʊstin
just	ʒʊst
kai	kaɪ̯
ka	ka
kal	kal
kane	kane
kang	kaŋ
karamazov	kaɾamaˈzo̞v
karen	kaˈɾen
karl	kaɾl
kate	kaˈte
katerina88	kateˈrina
katherine	kaˈθarinɛ
kathy	kaθi
katie	kaˈti
kat	kat
kay	kaɪ
keep	kiːp
keith	ciθ
kelly	kelɪ
ken	ken
kennedy	keniˈdi
kenny	keni
kent	ken
kenzi	kenzi
kevin	kiˈvin
kexag31	keksaɣi
keysersoze	kiˈsɛɾsozɛ
kgb	ˈkɪgβa
khan	çan
ki	ci
kid	cið
kill	ciːl
killer	cileɾ
kim	kim
kind	ciːnd
king	ciŋ
kings	ciŋgs
kira	cira
kirk	kirk
kiss	ci
kitt	ciːt
kitty	citi
k	ka
klaus	klɔs
klein	klɛːn
knight	knɪt
know	knɔː
koi	ci
ko	kɔ
kong	koŋ
