00h	ɔh
door	dur
double	duːblə
down	daʊn
dr	dr̥
dreyman	drɛjman
du	duː
duque	duːkɛ
dvd	ɛɛvdeɛ
dмkuju	ɟmkuju
east	ɛst
ebay	ɛbaj
e-bay	ɛbɛj
e	ɛ
ej	ej
elderman	ɛldɛrman
el	ɛl
elizabeth	ɛlɪˈzabɛt
e-mail	imajl
em	ɛm
enter	ɛntɛr
er	ɛr
esseker	ɛsɛˈkɛr
everybody	ɛvriˈbɔdɪ
every	ɛvri
everything	ɛvɾiˈtɕiŋ
exhales	ɛks'halɛs
eye	aj
eвa	ɛva
eва	ɛva
eван	ɛvɑn
eве	ɛvɛ
eдeн	ɛdɛn
eј	ej
eма	ɛma
eнслин	ɛnslin
facebook	faɛbʊk
falls	faɫs
fbi	fbi
feel	fil
first	prɛʃt
fixx	fix
flint	flint
foot	paɾ
forever	ˈfɔːrɛvɛr
for	foɾ
fox	ɛg
f	ɸ
frank	fræŋk
franklin	frɑnklɪn
from	frɔm
fuck	ʃʊk
futuresport	ˈfʊtʊrɛspɔrt
ga	ga
game	gamɛ
gary	gari
gasps	gaps
gedman	gɛdman
general	gɛnɛˈral
george	gɛɔrdʒɛ
georg	gɛɔrg
get	gɛt
g	g
gil	giɫ
girl	gɪɾ
give	gi
globodyne	glɔbɔdɪnɛ
gloria	gɫɔɾiʝa
gnu	gnu
god	gɔt
go	gɔ
going	gɔiŋ
gold	gɔɫ
golf	gɔlf
gonna	gɔnːa
good	gɔt
google	guːgl
got	gɔt
gotta	gɔt̪ːa
gps	gps
graeme	gɾaːmɛ
grand	grɑːnt
great	grɛt
green	grɛːn
griffin	gɾifɪn
groans	gɾɔ̃ːs
grunting	gruntɪŋ
gun	gun
gurney	gurˈnɛ
guy	gʉj
hackett	hatʃɛt
had	haːd
hands	handz
happy	hapi
harry	hari
hat	at
hauser	au̯ˈsɛr
have	have
hbo	hɔː
head	gɛd
heart	ɛɾt
heat-16	ɛt
he	he
hello	ɛlɛ
here	ɛrɛ
her	ɛr
hey	hej
h	h
high	aj
highland	haɪlɑːnd
hi	hi
hill	gɪl
his	ɪs
hitler	çitɫɛr
hlo	ɫɔ
hm	ɦm
hmm	hɪm
home	hɔːmɛ
horn	ɔrn
hot	ɔt
hound	ɔund
house	ʃu
howard	haʊɑːɾd
how	ka
hoyt	xɔjt
huh	ux
hydra	ɛdɾa
hе	ɛ
hел	ɛl
ibbc	ipɛtʃ
if	if
i	i
ii	iː
iii	iː
inc	ɪntʃ
in	ɪn
ipad	ɪpɑt
ip	ɪp
iq	ik
is	is
item	itɛm
it	it
iv	iv
jackie	ˈdʒɛki
jack	ʒak
jacob	jækɔp
ja	ja
james	jæmɛs
jane	jaːnɛ
jay	jaɪ̯
jaс	jas
jc	jɛtʃ
jeannot	jɛˈnɔt
jean	ʒan
jeff	ʒɛf
je	je
jensen	jɛnˈsɛn
jerry	ʒɛri
jessica	ʒɛsˈʃɪkɑ
jess	ʒɛs
jet	ʒɛt
jill	ʒil
jim	ʒim
j	j
joe	jo
johnny	ʒɔnɪ
john	ʒɔn
jones	jɔnɛs
judи	jʉdi
julia	ʝuˈlija
julie	ʒuˈliː
juma	juma
just	ʒust
jа	ja
jас	jɑs
jехова	jɛxɔva
kako	kako
kallie	kalʎɛ
kancov	kɑːntsɔf
kao	kaɔ
kate	katɛ
kathy	kaθi
kaде	kade
kaжи	kaʒi
kaкo	kako
kaква	kaˈkva
kaкво	kakvɔ
kaко	kako
kaртер	kɑrtɛr
keaton	ˈkɛatɔn
keep	kiːp
ke	ke
kepner	ˈkɛpner
kevin	ˈkɛvin
keвин	kevɪn
kg	kʰɛ
kid	kiːd
kirk	kirk
kitt	kit
k	ka
km	kʰm
know	knɔː
koja	koja
koj	koj
ko	kɔ
koи	koj
koј	kɔj
koлку	kɔɫku
krazee-eyez	kr̩ˈzɛjɛz
kyle	kiːlə
kаде	kade
kај	kaj
kако	kaˈko
kе	ke
kедо	kɛdɔ
kејбл	kejbl
kога	koga
kој	kɔj
kолку	kɔlku
kрај	kr̝aj
kунг	kuŋ
lake	lakɛ
la	la
lapd	lapd
larry	lari
laughing	laʁiŋ
laughs	ɫaf
lauryn	ɫɑu̯ˈrɨn
lazlo	ɫazɫɔ
lechero	ˈlɛtʃɛrɔ
left	lef
le	ɫɛ
let	ɫɛt
leto	lɛtɔ
lewis	ɫɛwis
life	ʎifɛ
light	ɫɛft
like	laik
li	li
linc	linʧ
lincoln	ˈlɪŋkən
lindhagen	linˈd̪agɛn
lindsay	ˈlɪnzi
linux	liˈnuks
little	maˈtɛ
live	liːvɛ
lj	ʎ
ll	ɫ
l	ɫ
locker	ɫɔkɛr
lockwood	ɫɔkʰwɔt
long	loŋ
look	luːk
lorenzo	loˈrɛntso
lost	ɫɔst
louis-dreyfus	luːiːz dɾɛjfus
love	ɫɔvɛ
lowry	ɫɔːrɨ
lucifer	luˈtsifɛr
lucky	luːtʃi
lucy	luːtʃi
mac	maːtʃ
madeleine	madeˈliːne
made	maːdɛ
majestic	majɛstɪtʃ
majкo	majko
make	make
ma	ma
man	man
many	maɲi
marion	maɾiˈɔn
mary	mari
matter	maˈtɛr
max	mag
may	maj
maкс	maks
maлку	maɫku
maмо	mamo
mean	miːn
me	mi
metalexander	ˈmɛtalɛksɛndɛr
michael	miˈxaɛl
michelle	miˈʃɛl
mike	miːkɛ
milf	miɫf
mi	mi
mind	miːnd
mingus	miŋgus
mkdsub	mkdʃup
m	maˈtʃɛdɔn
mm	m
mmm	mːm
mnu	mnʊ
mogu	ˈmɔgu
mojaта	ˈmɔjata
moj	maj
mojот	majɔt
mojсеј	majˈsɛj
money	ˈgɛnɛ
more	ˈmɔrɛ
morning	ˈmɔrɲiŋ
moето	ˈmɔɛtɔ
moжe	ˈmɔʒɛ
moжам	ˈmɔʒam
moже	ˈmɔʒɛ
moжеби	ˈmɔʒɛbi
moжеме	ˈmoʒɛmɛ
moжете	ˈmɔʒɛtɛ
moжеш	ˈmɔʒɛʃ
moите	ˈmɔjɛtɛ
moлам	ˈmɔɫam
moли	ˈmɔli
moра	ˈmɔra
moрам	ˈmɔɾam
moраме	ˈmɔramɛ
moрате	mɔˈratɛ
moраш	ˈmɔraʃ
mr	mr̩
mrzoc	mr̩zɔtʃ
mtv	ɛmteve
muad	maɾ
much	matʃ
my	miː
myself	maˈsɛlf
myspace	ˈmɪspeɪs
mајкл	majkl
mалколм	maɫˈkɔɫm
mалку	maɫku
mамо	maːmo
mаркот	maɾˈkɔt
mе	mi
mерион	ˈmɛɾiɔn
mи	mi
mилтон	miɫˈton
mирјам	miɾjɑm
mислам	miˈslam
mислев	miːslɛf
mислиш	miːsliʃ
mмм	ɛmɛm
mногу	ˈmnogu
mоето	ˈmɔɛtɔ
mожам	ˈmɔʒam
mоже	moʒɛ
mожеби	ˈmɔʒɛbi
mожеме	moʒɛmɛ
mојата	ˈmɔjata
mојот	majɔt
mора	ˈmɔra
mорам	ˈmɔɾam
mртов	mr̩tɔf
name	namɛ
na	na
nancy	ˈnɑːntsi
nan	nɑn
nasa	ˈnasa
nathir	natiɾ
nat	nat
nbc	ɛmbɛtʃ
nebuchadnezzar	ˌnɛbʊxadnɛˈtsar
need	niːd
ne	nɛ
ness	nes
nest	nɛst
netscape	ˈnetskeɪp
never	ˈnɛvɛr
new	nu
news	nuːs
nick	nik
nigga	niga
niggas	niggas
night	ɲɛt
nightshade	ɲɛtˈʃɛdɛ
nije	ɲiɛ
nina	nina
n	n
no	no
norman	ˈnɔrman
not	ˈnɔt
now	nuː
nr	ɾ
nutty	ˈnʊti
oaks	ɔks
od	ɔd
off	ɔf
of	ɔf
oh	ɔ
okay	ɔkɛj
ok	ɔk
oliver	ɔlɪvɛr
olivia	ɔlɪˈvija
omar	ɔmar
one	ɔnɛ
only	ɔnli
on	ɔn
o	o
ooh	ɔ
ooo	uː
ooх	ɔx
o	ɔː
opal	ɔpɑl
or	ɔr
other	ɔtɛr
otis	ɔtis
our	ɔːr
out	ɔt
over	ɔvɛr
owen	ɔvɛn
own	ɔn
oκ	ɔk
oва	ɔva
oваа	ɔva
oвдe	ɔvdɛ
oвде	ɔv̞dɛ
oвие	ɔviɛ
oвој	ɔvɪj
oд	ɔd
oди	ɔdi
oдлично	ɔdlitʃnɔ
oдма	ɔdma
oк	ɔk
oколу	ɔˈkɔlu
oлив	ɔlif
oна	ɔna
oо	ɔ
oоо	oː
oпa	ɔpa
oпушти	ɔpuʃti
oстави	ɔˈstavi
oстани	ɔstaɲi
oтвори	ɔtˈvɔri
oу	ɔ
oф	ɔf
oх	ɔx
p2p	pɛːp
packers	paˈtʃɛrs
paris	paˈris
park	pɑrk
parn	parn
party	paɾti
paul	pɑu̯l
payne	paɪ̯nɛ
people	ɫuːd
pepes	pɛpɛs
peter	ˈpɛtɛr
phillip	filip
playing	plej
please	ˈpɫɛsɛ
pointcorp	pɔjntkɔrp
po	pɔ
pop	pɔp
post	pɔst
power	paʊ̯ɛr
p	pa
prevod	prɛˈvɔt
prijatel-mkd	pr̩jaˈtɛɫ
put	put
quica	kuˈitsa
quot	ɔt
radiohead	raˈdiohed
ramzey	ramˈzɛj
rangers	ˈraŋgɛrs
raquelle	rakuɛl
ras1305	ras1305
rask	rask
raw	raʋ
ray	raj
really	ɾɛˈɫi
records	ˈrɛkɔrdz
red	ɾɛd
reese	riːsɛ
regen	ɾɛgɛn
re	ɾɛ
riario	riˈaːrio
richard	riˈtʃaɾd
right	ɾɛ
river	riˈvɛr
road	raːd
rock	ɾɔk
roll	ɾɔɫ
romanovich	ˈrɔmanɔvitʃ
room	ruːm
rose	rosɛ
rosie	rosiɛ
row	ɾɔw
r	ɾ
ruddy	ruːdi
runaways	ruˈnavas
russell	ɾusɛl
russ	ɾus
ryan	rijan
rи	riː
rледаш	ɾɛˈɫɛdaʃ
r-не	ɾnɛ
rо	ro
rодини	roˈdini
rолем	roˈlɛm
rолема	ˈrɔlɛma
rолеми	ɾɔˈlɛmi
rрад	rad
sad	ˈsad
sally	ˈsali
same	sɑːmɛ
samir	ˈsamir
samo	ˈsamo
sam	sɑm
sara	sara
sa	sɑ
sasohugo	sasohugo
save	saβe
say	saj
scofield	skɔfɛld
screaming	skrɛːmiŋ
seal	ʃɛɫ
see	ʃɛː
seinfeld	ʃajnˈfɛlt
se	sɛ
seward	ˈsɛvaɾd
shake	ʃɛk
she	ʃɛ
shield	ʃɛjld
shit	ʃit
show	ʃɔː
side	side
sighs	ʃɛj
silent	ˈsilɛnt
simon	ˈsimɔn
si	si
skipped	skɪpɛt
some	sɔ̃ːmɛ
something	ˈnɛʃtɛ
sona	sɔna
sorry	ˈsɔri
so	sɔ
space	ʃpaːtsɛ
ssf	s s f
s	ʃ
stanley	staːnli
stan	staːn
star	staːr
state	sta'tɛ
stay	staɪ
steve	ʃtɛvɛ
stone	stɔnɛ
stop	stɔp
street	ʃtrɛt
st	ʃt
studio	ˈstɾiudio
sub	sup
subtitle	ˈsʊbtɪtɫɛ
sun	sɯn
survive	ˈsɜːrvaɪv
susie	ˈsusiɛ
su	suː
sve	svɛ
swat	ʃʋat
sweet	ʃɛt
sync	sɪntʃ
sвезда	svɛzda
sверови	ˈsʋɛɾɔvi
sидовите	sidɔvɪdɛ
sидот	sidɔt
taa	taː
take	tɑkɛ
takа	tɑkɑ
talk	tɑɫk
tall	taɫ
tambourine	ta'mbuːrini
tap	tap
taylor	taɪlɔr
taа	ta
taка	tɑkɑ
taму	tamu
taто	tato
team	tɛm
tech	tɛtʃ
ted	teːd
tee	tiː
tell	ˈtɛɫ
tenma	tenma
terrance	ˈtɛrɑːns
te	tɛ
that	θat
thee	θi
them	θɛm
then	θɛn
there	tɛrɛ
these	θi
they	θe
the	θe
thing	θiŋ
think	θiŋk
this	θi
thomas	tʰɔmɑs
t-homemk	tɔːmeːmk
through	θruː
throw	θrɔː
thug	θug
times	tiːmɛs
time	timɛ
ti	ti
tj	tɕi
toa	ˈtɔa
todd	tɔd
together	tagɛr
toj	tɔj
tommy	tɔmi
tom	tɔm
too	tɔː
to	tɔ
toа	ta
toлку	tɔɫku
toм	tɔm
toчно	tɔtʃnɔ
tre	tʁɛ
true	tɾu
trying	tɾiːŋ
try	tɾi
t	t
tuttle	ˈtutlɛ
tv	tf
two	tuː
tаа	taː
tака	tɑkɑ
tаму	tamu
tвоето	tʋɔɛtɔ
tвоите	tʋɔjˈtɛ
tвојата	tʋɔjɑta
tвојот	tɔjɔt
tи	ti
tие	tiɛ
tии	tiː
tипот	tʰipot
tишина	tiʃina
tоа	tɔa
tогаш	tagɔʃ
tој	tɔj
tолку	tɔlku
tомас	tɔˈmas
tочно	tɔtʃnɔ
tреба	ˈtrɛba
tребаше	tɾɛbaʃɛ
tри	tʁi
tука	tukɑ
u2	uː
ubs	ups
uh	uh
unix	ʌnɪks
untranslated	ɔn'tɾɛlɑ'tɛdʃnɔ
up	up
us	us
u	u
valjean	vaɫˈʒɛn
van	van
velasco	ˈvɛlaskɔ
very	veri
ve	ve
vincent	vinˈtsɛnt
vin	vin
v	ʋ
walker	vaɫkɛr
wall-e	vaɫe
wall	vaɫ
walter	vaɫtɛr
wanted	vaˈnɛt
want	vant
was	vas
watters	va'tɛrs
wayne	ʋajnɛ
way	vaj
wc	wts
wc-то	ʋtɔ
welcome	wɛkləmɛ
well	vel
wendy	ˈvɛndi
were	ʋɛrɛ
west	vest
we	ve
whatever	ˈkɔtʃi
what	ʃtɑ
when	ka
where	ku
whistler	ʋɪʃtɛɫ
white	βɛ́ɫ
whoa	woː
who	ku
why	ʋɪ
william	wɪljam
willie	vili
will	viɫ
winn-dixie	ˈvɪndɪksi
with	ɛ
wocka	voʧa
woman	ʋɔma
world	ˈvɛɾld
would	woʊd
wow	voʊ
woz	voʃ
w	ʋ
x	ks
ya	jɑ
yeah	jɛ
yes	jɛs
y	j
yo	jɔ
york	jɔrk
you	juː
your	ɛr
yourself	jaɾɛf
youtube	jʊtʊːb
za	za
zerrox	zɛrɔx
z	z
а	a
а	ɑ
аjде	ajdɛ
а-а	ɑː
аа	ɑː
ааа	ɑː
аааа	ɑːɑːɑː
ааах	ɑɑːx
аах	ɑːx
аб	ab
аба	aba
абабва	ababva
абадон	abadon
абажур	abaʒur
абажури	abaʒuɾi
абак	abak
абаси	abasi
абаџии	abadʒii
абаџија	abadʒija
абдал	abdaɫ
абдали	abdali
абдалиште	abdaliʃtɛ
абдест	abdɛst
абдикации	abdikatsii
абдикација	abdikatsija
абдицира	abditsiɾa
абдицирајќи	abditsirajci
абдицирање	abditsiɾaɲɛ
абдомен	abdɔmɛn
абдоменален	abdɔmɛnalɛn
абдомени	abdɔmɛni
абдоменот	abdɔmɛnɔt
абдоминален	abdɔminalɛn
абдоминално	abdɔminaɫnɔ
абдул	abˈdul
абдула	abduˈla
абдулах	abduˈlah
абе	abɛ
абејќи	abɛjci
абел	abel
абен	abɛn
абер	abɛr
аберации	abɛraːtsiɛ
аберации	abɛratsii
аберација	abɛratsija
абери	abɛri
абери	abɛɾi
аберите	abɛri'tɛ
аберџии	abɛrdʒii
аберџија	abɛrdʒija
абецедар	abɛtsɛdar
аби	abi
аби	abɪ
абигејл	abɪˈgɛɫ
абигнеил	abigneil
абин	abɪn
абиогенеза	abijɔgɛnɛza
абиџа	abidʒa
абиџаец	abidʒaɛts
абиџајка	abidʒajka
абиџајски	abidʒajski
аблатив	abɫatif
абнер	abnɛr
абнормален	abnɔrmalɛn
абнормално	abnɔrmaɫnɔ
аболира	abɔliɾa
аболирајќи	abɔlirajci
аболиран	abɔliɾan
аболирање	abɔliɾaɲɛ
аболиции	abɔlitsii
аболиција	abɔlitsija
абонација	abɔnatsija
абонент	abɔnɛnt
абоненти	abɔnɛnti
абонира	abɔniɾa
абонос	abɔnɔs
абориген	abɔɾigɛn
абортира	abɔrtiɾa
абортирајќи	abɔrtirajci
абортирам	abɔrˈtiram
абортиран	abɔrtiɾan
абортирање	abɔrtiɾaɲɛ
абортус	abɔrtus
абортуси	abɔrtusi
абортусот	abɔrtsuˈtɔs
абот	abɔt
абразив	abrazif
абразија	abrazija
абракадабра	abrɑkadɑbrɑ
абрахам	abrɑxɑm
абраш	abraʃ
абревијација	abrɛvijatsija
абруци	abɾutsi
абсолутен	apsɔɫutɛn
абсолутно	apsɔlu'tnɔ
абсорбира	apsɔrbiɾa
абсорбиран	apsɔrbiɾan
абстрактен	apstraktɛn
абсурден	apsurdɛn
абу	abu
абудабиец	abudabijɛts
абудабијка	abudabijka
абудабијки	abudabijki
абудабијци	abudabijtsi
абудабиски	abudabiski
абхазиец	apxazijɛts
абхазија	apxazija
абхазијка	apxazijka
абхазијки	apxazijki
абхазијци	apxazijtsi
абхазиски	apxaziski
абхаски	apxaski
ав	af
ав	av
ава	afa
ава	ava
авада	avaːda
авакс	avaks
авалира	avaliɾa
авалон	avalon
аван	avan
авангарда	avaŋgarda
авангарден	avaŋgardɛn
авангардно	avaŋgardnɔ
авани	avani
аванс	avans
авансен	avansɛn
аванси	avansi
авансира	avansiɾa
авантура	avantuɾa
авантура	avɑnˈtura
авантурата	avɑn'turɑtɑ
авантури	avan'turi
авантури	avantuɾi
авантуризам	avanturizam
авантурист	avan'turist
авантурист	avanturist
авантуристи	avanturisti
авантуристи	avɑnˈtʊrɪsti
авантуристички	avanturistitʃki
авантуристички	avɑnturistitʃki
авантуристка	avanturistka
авантуристки	avanturistki
авантурите	avɑn'turitɛ
авантуричка	avantuɾitʃka
авантурички	avantuɾitʃki
аватар	avaˈtar
аватар	avatar
аватара	avataɾa
аватарот	avavɑtɔr
авганистан	avgaˈniːstan
авганистан	avganistan
авганистанец	avganistanɛts
авганистанка	avganistaŋka
авганистанки	avganistaŋki
авганистански	avganistanski
авганистанци	avganistantsi
август	avˈgust
август	avgust
августовски	avgustɔfski
августус	avˈgustus
аве	avɛ
авел	avɛɫ
авении	avɛnii
авенија	avɛnija
авенија	avɛniʝa
авенијата	avɛniˈja
аверзија	avɛrzija
авесалом	avɛsaɫɔm
ави	avi
авијаро	aviˈjaro
авијација	aviˈjatsija
авијација	avijatsija
авијацијата	avijaˈtsija
авињон	aviɲɔn
авиоиндустрија	avijɔindustrija
авиокомпании	avijɔkɔmpanii
авиокомпанија	avijɔkɔmpanija
авиокомпанијата	aviɔkɔmpanijɛta
авиолинии	avijɔlinii
авиолинија	avijɔlinija
авион	avijɔn
авион	aviɔn
авиона	aviˈɔna
авиона	aviɔna
авиони	aviˈoni
авиони	aviɔni
авионите	aviɔnɪtɛ
авионишта	aviɔniʃta
авиониште	aviɔniʃtɛ
авионов	aviˈɔnɔf
авионот	aviɔnɔt
авионска	aviˈɔnska
авионската	aviɔnska
авионски	aviˈɔnski
авионски	aviɔnski
авионскиот	aviɔnski
авионче	aviɔntʃɛ
авиончиња	aviɔntʃiɲa
авиопревозник	avijɔprɛvɔznik
авиопревозници	avijɔprɛvɔznitsi
авитаминоза	avitaminɔza
авлии	avlii
авлија	avlija
авнер	avˈnɛr
авокада	avɔkada
авокадо	avɔkadɔ
авокадо	avɔkɑdo
аволите	avɔlɪtɛ
авр	afɾ
авра	avra
авраам	avraam
аврам	avram
аврелиј	avrɛlij
аври	avri
аврора	avrɔɾa
аврора	avˈɾɔɾa
австралиец	afstralijɛts
австралиец	avstraˈli(j)ɛts
австралија	afstralija
австралија	avstraˈlija
австралијка	afstralijka
австралијки	afstralijki
австралијци	afstralijtsi
австралиска	afstraliska
австралиски	afstraliski
австриец	afstrijɛts
австрија	afstrija
австрија	avstrija
австријка	afstrijka
австријки	afstrijki
австријци	afstrijtsi
австриска	afstriska
австриски	afstriski
австроунгарски	afstrɔuŋgarski
автаркија	aftarkija
автарси	aftarsi
автарх	aftarx
автархија	aftarxija
автархиски	aftarxiski
автархичен	aftarxitʃɛn
автархично	aftarxitʃnɔ
автентикации	aftɛntikatsii
автентикација	aftɛntikatsija
автентикациски	aftɛntikatsiski
автентицира	aftɛntitsiɾa
автентичен	aftɛntitʃɛn
автентичен	avtɛntitʃɛn
автентична	avtɛntitʃna
автентични	avtɛntitʃni
автентично	aftɛntitʃnɔ
автентично	avtɛntitʃnɔ
автентичност	aftɛntitʃnɔst
автентичност	avtɛntitʃnɔst
автентичноста	avtɛntitʃnɔsta
автизам	aftizam
авто	afto
автобиографии	aftɔbijɔgrafii
автобиографија	aftɔbijɔgrafija
автобиографија	avtɔbiɔgrafiʝa
автобиографски	aftɔbijɔgrafski
автобиографски	aftɔbiɔgrafski
автобот	avtobot
автоботи	avtoˈbɔti
автоботите	avtobo'titɛ
автобус	aftɔbus
автобус	avtobus
автобуси	aftɔbusi
автобуси	avtoˈbusʲi
автобусите	avtobusitɛ
автобусишта	aftɔbusiʃta
автобусиште	aftɔbusiʃtɛ
автобуска	aftɔbuska
автобуска	avtobuska
автобуската	avtobuskaʈa
автобуски	aftɔbuski
автобуски	avtoˈbuski
автобусов	avtoˈbusɔf
автобусот	avtobusot
автогол	aftɔgɔɫ
автоголови	aftɔgɔɫɔvi
автограм	aftogram
автограм	aftɔgram
автограми	aftɔgrami
автограми	avtograːmi
автодидактика	aftɔdidaktika
автодром	aftɔdrɔm
автодроми	aftɔdrɔmi
автоимун	aftɔimun
