00h	ɔh
globodyne	glɔbɔdɪnɛ
gloria	gɫɔɾiʝa
gnu	gnu
go	gɔ
god	gɔt
going	gɔiŋ
gold	gɔɫ
golf	gɔlf
gonna	gɔnːa
good	gɔt
google	guːgl
got	gɔt
gotta	gɔt̪ːa
gps	gps
graeme	gɾaːmɛ
grand	grɑːnt
great	grɛt
green	grɛːn
griffin	gɾifɪn
groans	gɾɔ̃ːs
grunting	gruntɪŋ
gun	gun
gurney	gurˈnɛ
guy	gʉj
h	h
hackett	hatʃɛt
had	haːd
hands	handz
happy	hapi
harry	hari
hat	at
hauser	au̯ˈsɛr
have	have
hbo	hɔː
he	he
head	gɛd
heart	ɛɾt
heat-16	ɛt
hello	ɛlɛ
her	ɛr
here	ɛrɛ
hey	hej
hi	hi
high	aj
highland	haɪlɑːnd
hill	gɪl
his	ɪs
hitler	çitɫɛr
hlo	ɫɔ
hm	ɦm
hmm	hɪm
home	hɔːmɛ
horn	ɔrn
hot	ɔt
hound	ɔund
house	ʃu
how	ka
howard	haʊɑːɾd
hoyt	xɔjt
huh	ux
hydra	ɛdɾa
hе	ɛ
hел	ɛl
i	i
ibbc	ipɛtʃ
if	if
ii	iː
iii	iː
in	ɪn
inc	ɪntʃ
ip	ɪp
ipad	ɪpɑt
iq	ik
is	is
it	it
item	itɛm
iv	iv
j	j
ja	ja
jack	ʒak
jackie	ˈdʒɛki
jacob	jækɔp
james	jæmɛs
jane	jaːnɛ
jay	jaɪ̯
jaс	jas
jc	jɛtʃ
je	je
jean	ʒan
jeannot	jɛˈnɔt
jeff	ʒɛf
jensen	jɛnˈsɛn
jerry	ʒɛri
jess	ʒɛs
jessica	ʒɛsˈʃɪkɑ
jet	ʒɛt
jill	ʒil
jim	ʒim
joe	jo
john	ʒɔn
johnny	ʒɔnɪ
jones	jɔnɛs
judи	jʉdi
julia	ʝuˈlija
julie	ʒuˈliː
juma	juma
just	ʒust
jа	ja
jас	jɑs
jехова	jɛxɔva
k	ka
kako	kako
kallie	kalʎɛ
kancov	kɑːntsɔf
kao	kaɔ
kate	katɛ
kathy	kaθi
kaде	kade
kaжи	kaʒi
kaкo	kako
kaква	kaˈkva
kaкво	kakvɔ
kaко	kako
kaртер	kɑrtɛr
ke	ke
keaton	ˈkɛatɔn
keep	kiːp
kepner	ˈkɛpner
kevin	ˈkɛvin
keвин	kevɪn
kg	kʰɛ
kid	kiːd
kirk	kirk
kitt	kit
km	kʰm
know	knɔː
ko	kɔ
koj	koj
koja	koja
koи	koj
koлку	kɔɫku
koј	kɔj
krazee-eyez	kr̩ˈzɛjɛz
kyle	kiːlə
kаде	kade
kако	kaˈko
kај	kaj
kе	ke
kедо	kɛdɔ
kејбл	kejbl
kога	koga
kолку	kɔlku
kој	kɔj
kрај	kr̝aj
kунг	kuŋ
l	ɫ
la	la
lake	lakɛ
lapd	lapd
larry	lari
laughing	laʁiŋ
laughs	ɫaf
lauryn	ɫɑu̯ˈrɨn
lazlo	ɫazɫɔ
le	ɫɛ
lechero	ˈlɛtʃɛrɔ
left	lef
let	ɫɛt
leto	lɛtɔ
lewis	ɫɛwis
li	li
life	ʎifɛ
light	ɫɛft
like	laik
linc	linʧ
lincoln	ˈlɪŋkən
lindhagen	linˈd̪agɛn
lindsay	ˈlɪnzi
linux	liˈnuks
little	maˈtɛ
live	liːvɛ
lj	ʎ
ll	ɫ
locker	ɫɔkɛr
lockwood	ɫɔkʰwɔt
long	loŋ
look	luːk
lorenzo	loˈrɛntso
lost	ɫɔst
louis-dreyfus	luːiːzdɾɛjfus
love	ɫɔvɛ
lowry	ɫɔːrɨ
lucifer	luˈtsifɛr
lucky	luːtʃi
lucy	luːtʃi
m	maˈtʃɛdɔn
ma	ma
mac	maːtʃ
made	maːdɛ
madeleine	madeˈliːne
majestic	majɛstɪtʃ
majкo	majko
make	make
man	man
many	maɲi
marion	maɾiˈɔn
mary	mari
matter	maˈtɛr
max	mag
may	maj
maкс	maks
maлку	maɫku
maмо	mamo
me	mi
mean	miːn
metalexander	ˈmɛtalɛksɛndɛr
mi	mi
michael	miˈxaɛl
michelle	miˈʃɛl
mike	miːkɛ
milf	miɫf
mind	miːnd
mingus	miŋgus
mkdsub	mkdʃup
mm	m
mmm	mːm
mnu	mnʊ
mogu	ˈmɔgu
moj	maj
mojaта	ˈmɔjata
mojот	majɔt
mojсеј	majˈsɛj
money	ˈgɛnɛ
more	ˈmɔrɛ
morning	ˈmɔrɲiŋ
moето	ˈmɔɛtɔ
moжe	ˈmɔʒɛ
moжам	ˈmɔʒam
moже	ˈmɔʒɛ
moжеби	ˈmɔʒɛbi
moжеме	ˈmoʒɛmɛ
moжете	ˈmɔʒɛtɛ
moжеш	ˈmɔʒɛʃ
moите	ˈmɔjɛtɛ
moлам	ˈmɔɫam
moли	ˈmɔli
moра	ˈmɔra
moрам	ˈmɔɾam
moраме	ˈmɔramɛ
moрате	mɔˈratɛ
moраш	ˈmɔraʃ
mr	mr̩
mrzoc	mr̩zɔtʃ
mtv	ɛmteve
muad	maɾ
much	matʃ
my	miː
myself	maˈsɛlf
myspace	ˈmɪspeɪs
mалколм	maɫˈkɔɫm
mалку	maɫku
mамо	maːmo
mаркот	maɾˈkɔt
mајкл	majkl
mе	mi
mерион	ˈmɛɾiɔn
mи	mi
mилтон	miɫˈton
mирјам	miɾjɑm
mислам	miˈslam
mислев	miːslɛf
mислиш	miːsliʃ
mмм	ɛmɛm
mногу	ˈmnogu
mоето	ˈmɔɛtɔ
mожам	ˈmɔʒam
mоже	moʒɛ
mожеби	ˈmɔʒɛbi
mожеме	moʒɛmɛ
mора	ˈmɔra
mорам	ˈmɔɾam
mојата	ˈmɔjata
mојот	majɔt
mртов	mr̩tɔf
n	n
na	na
name	namɛ
nan	nɑn
nancy	ˈnɑːntsi
nasa	ˈnasa
nat	nat
nathir	natiɾ
nbc	ɛmbɛtʃ
ne	nɛ
nebuchadnezzar	ˌnɛbʊxadnɛˈtsar
need	niːd
ness	nes
nest	nɛst
netscape	ˈnetskeɪp
never	ˈnɛvɛr
new	nu
news	nuːs
nick	nik
nigga	niga
niggas	niggas
night	ɲɛt
nightshade	ɲɛtˈʃɛdɛ
nije	ɲiɛ
nina	nina
no	no
norman	ˈnɔrman
not	ˈnɔt
now	nuː
nr	ɾ
nutty	ˈnʊti
o	o
o	ɔː
oaks	ɔks
od	ɔd
of	ɔf
off	ɔf
oh	ɔ
ok	ɔk
okay	ɔkɛj
oliver	ɔlɪvɛr
olivia	ɔlɪˈvija
omar	ɔmar
on	ɔn
one	ɔnɛ
only	ɔnli
ooh	ɔ
ooo	uː
ooх	ɔx
opal	ɔpɑl
or	ɔr
other	ɔtɛr
otis	ɔtis
our	ɔːr
out	ɔt
over	ɔvɛr
owen	ɔvɛn
own	ɔn
oκ	ɔk
oва	ɔva
oваа	ɔva
oвдe	ɔvdɛ
oвде	ɔv̞dɛ
oвие	ɔviɛ
oвој	ɔvɪj
oд	ɔd
oди	ɔdi
oдлично	ɔdlitʃnɔ
oдма	ɔdma
oк	ɔk
oколу	ɔˈkɔlu
oлив	ɔlif
oна	ɔna
oо	ɔ
oоо	oː
oпa	ɔpa
oпушти	ɔpuʃti
oстави	ɔˈstavi
oстани	ɔstaɲi
oтвори	ɔtˈvɔri
oу	ɔ
oф	ɔf
oх	ɔx
p	pa
p2p	pɛːp
packers	paˈtʃɛrs
paris	paˈris
park	pɑrk
parn	parn
party	paɾti
paul	pɑu̯l
payne	paɪ̯nɛ
people	ɫuːd
pepes	pɛpɛs
peter	ˈpɛtɛr
phillip	filip
playing	plej
please	ˈpɫɛsɛ
po	pɔ
pointcorp	pɔjntkɔrp
pop	pɔp
post	pɔst
power	paʊ̯ɛr
prevod	prɛˈvɔt
prijatel-mkd	pr̩jaˈtɛɫ
put	put
quica	kuˈitsa
quot	ɔt
r	ɾ
r-не	ɾnɛ
radiohead	raˈdiohed
ramzey	ramˈzɛj
rangers	ˈraŋgɛrs
raquelle	rakuɛl
ras1305	ras1305
rask	rask
raw	raʋ
ray	raj
re	ɾɛ
really	ɾɛˈɫi
records	ˈrɛkɔrdz
red	ɾɛd
reese	riːsɛ
regen	ɾɛgɛn
riario	riˈaːrio
richard	riˈtʃaɾd
right	ɾɛ
river	riˈvɛr
road	raːd
rock	ɾɔk
roll	ɾɔɫ
romanovich	ˈrɔmanɔvitʃ
room	ruːm
rose	rosɛ
rosie	rosiɛ
row	ɾɔw
ruddy	ruːdi
runaways	ruˈnavas
russ	ɾus
russell	ɾusɛl
ryan	rijan
rи	riː
rледаш	ɾɛˈɫɛdaʃ
rо	ro
rодини	roˈdini
rолем	roˈlɛm
rолема	ˈrɔlɛma
rолеми	ɾɔˈlɛmi
rрад	rad
s	ʃ
sa	sɑ
sad	ˈsad
sally	ˈsali
sam	sɑm
same	sɑːmɛ
samir	ˈsamir
samo	ˈsamo
sara	sara
sasohugo	sasohugo
save	saβe
say	saj
scofield	skɔfɛld
screaming	skrɛːmiŋ
se	sɛ
seal	ʃɛɫ
see	ʃɛː
seinfeld	ʃajnˈfɛlt
seward	ˈsɛvaɾd
shake	ʃɛk
she	ʃɛ
shield	ʃɛjld
shit	ʃit
show	ʃɔː
si	si
side	side
sighs	ʃɛj
silent	ˈsilɛnt
simon	ˈsimɔn
skipped	skɪpɛt
so	sɔ
some	sɔ̃ːmɛ
something	ˈnɛʃtɛ
sona	sɔna
sorry	ˈsɔri
space	ʃpaːtsɛ
ssf	ssf
st	ʃt
stan	staːn
stanley	staːnli
star	staːr
state	sta'tɛ
stay	staɪ
steve	ʃtɛvɛ
stone	stɔnɛ
stop	stɔp
street	ʃtrɛt
studio	ˈstɾiudio
su	suː
sub	sup
subtitle	ˈsʊbtɪtɫɛ
sun	sɯn
survive	ˈsɜːrvaɪv
susie	ˈsusiɛ
sve	svɛ
swat	ʃʋat
sweet	ʃɛt
sync	sɪntʃ
sвезда	svɛzda
sверови	ˈsʋɛɾɔvi
sидовите	sidɔvɪdɛ
sидот	sidɔt
t	t
t-homemk	tɔːmeːmk
taa	taː
take	tɑkɛ
takа	tɑkɑ
talk	tɑɫk
tall	taɫ
tambourine	ta'mbuːrini
tap	tap
taylor	taɪlɔr
taа	ta
taка	tɑkɑ
taму	tamu
taто	tato
te	tɛ
team	tɛm
tech	tɛtʃ
ted	teːd
tee	tiː
tell	ˈtɛɫ
tenma	tenma
terrance	ˈtɛrɑːns
that	θat
the	θe
thee	θi
them	θɛm
then	θɛn
there	tɛrɛ
these	θi
they	θe
thing	θiŋ
think	θiŋk
this	θi
thomas	tʰɔmɑs
through	θruː
throw	θrɔː
thug	θug
ti	ti
time	timɛ
times	tiːmɛs
tj	tɕi
to	tɔ
toa	ˈtɔa
todd	tɔd
together	tagɛr
toj	tɔj
tom	tɔm
tommy	tɔmi
too	tɔː
toа	ta
toлку	tɔɫku
toм	tɔm
toчно	tɔtʃnɔ
tre	tʁɛ
true	tɾu
try	tɾi
trying	tɾiːŋ
tuttle	ˈtutlɛ
tv	tf
two	tuː
tаа	taː
tака	tɑkɑ
tаму	tamu
tвоето	tʋɔɛtɔ
tвоите	tʋɔjˈtɛ
tвојата	tʋɔjɑta
tвојот	tɔjɔt
tи	ti
tие	tiɛ
tии	tiː
tипот	tʰipot
tишина	tiʃina
tоа	tɔa
tогаш	tagɔʃ
tолку	tɔlku
tомас	tɔˈmas
tочно	tɔtʃnɔ
tој	tɔj
tреба	ˈtrɛba
tребаше	tɾɛbaʃɛ
tри	tʁi
tука	tukɑ
u	u
u2	uː
ubs	ups
uh	uh
unix	ʌnɪks
untranslated	ɔn'tɾɛlɑ'tɛdʃnɔ
up	up
us	us
v	ʋ
valjean	vaɫˈʒɛn
van	van
ve	ve
velasco	ˈvɛlaskɔ
very	veri
vin	vin
vincent	vinˈtsɛnt
w	ʋ
walker	vaɫkɛr
wall	vaɫ
wall-e	vaɫe
walter	vaɫtɛr
want	vant
wanted	vaˈnɛt
was	vas
watters	va'tɛrs
way	vaj
wayne	ʋajnɛ
wc	wts
wc-то	ʋtɔ
we	ve
welcome	wɛkləmɛ
well	vel
wendy	ˈvɛndi
were	ʋɛrɛ
west	vest
what	ʃtɑ
whatever	ˈkɔtʃi
when	ka
where	ku
whistler	ʋɪʃtɛɫ
white	βɛ́ɫ
who	ku
whoa	woː
why	ʋɪ
will	viɫ
william	wɪljam
willie	vili
winn-dixie	ˈvɪndɪksi
with	ɛ
wocka	voʧa
woman	ʋɔma
world	ˈvɛɾld
would	woʊd
wow	voʊ
woz	voʃ
x	ks
y	j
ya	jɑ
yeah	jɛ
yes	jɛs
yo	jɔ
york	jɔrk
you	juː
your	ɛr
yourself	jaɾɛf
youtube	jʊtʊːb
z	z
za	za
zerrox	zɛrɔx
а	a
а	ɑ
а-а	ɑː
а-ха	ɑxɑ
аjде	ajdɛ
аа	ɑː
ааа	ɑː
аааа	ɑːɑːɑː
ааах	ɑɑːx
аах	ɑːx
аб	ab
аба	aba
абабва	ababva
абадон	abadon
абажур	abaʒur
абажури	abaʒuɾi
абак	abak
абаси	abasi
абаџии	abadʒii
абаџија	abadʒija
абдал	abdaɫ
абдали	abdali
абдалиште	abdaliʃtɛ
абдест	abdɛst
абдикации	abdikatsii
абдикација	abdikatsija
абдицира	abditsiɾa
абдицирајќи	abditsirajci
абдицирање	abditsiɾaɲɛ
абдомен	abdɔmɛn
абдоменален	abdɔmɛnalɛn
абдомени	abdɔmɛni
абдоменот	abdɔmɛnɔt
абдоминален	abdɔminalɛn
абдоминално	abdɔminaɫnɔ
абдул	abˈdul
абдула	abduˈla
абдулах	abduˈlah
абе	abɛ
абел	abel
абен	abɛn
абер	abɛr
аберации	abɛratsii
аберации	abɛraːtsiɛ
аберација	abɛratsija
абери	abɛri
абери	abɛɾi
аберите	abɛri'tɛ
аберџии	abɛrdʒii
аберџија	abɛrdʒija
абецедар	abɛtsɛdar
абејќи	abɛjci
аби	abi
аби	abɪ
абигејл	abɪˈgɛɫ
абигнеил	abigneil
абин	abɪn
абиогенеза	abijɔgɛnɛza
абиџа	abidʒa
абиџаец	abidʒaɛts
абиџајка	abidʒajka
абиџајски	abidʒajski
аблатив	abɫatif
абнер	abnɛr
абнормален	abnɔrmalɛn
абнормално	abnɔrmaɫnɔ
аболира	abɔliɾa
аболиран	abɔliɾan
аболирајќи	abɔlirajci
аболирање	abɔliɾaɲɛ
аболиции	abɔlitsii
аболиција	abɔlitsija
абонација	abɔnatsija
абонент	abɔnɛnt
абоненти	abɔnɛnti
абонира	abɔniɾa
абонос	abɔnɔs
абориген	abɔɾigɛn
абортира	abɔrtiɾa
абортирам	abɔrˈtiram
абортиран	abɔrtiɾan
абортирајќи	abɔrtirajci
абортирање	abɔrtiɾaɲɛ
абортус	abɔrtus
абортуси	abɔrtusi
абортусот	abɔrtsuˈtɔs
абот	abɔt
абразив	abrazif
абразија	abrazija
абракадабра	abrɑkadɑbrɑ
абрахам	abrɑxɑm
абраш	abraʃ
абревијација	abrɛvijatsija
абруци	abɾutsi
абсолутен	apsɔɫutɛn
абсолутно	apsɔlu'tnɔ
абсорбира	apsɔrbiɾa
абсорбиран	apsɔrbiɾan
абстрактен	apstraktɛn
абсурден	apsurdɛn
абу	abu
абудабиец	abudabijɛts
абудабиски	abudabiski
абудабијка	abudabijka
абудабијки	abudabijki
абудабијци	abudabijtsi
абхазиец	apxazijɛts
абхазиски	apxaziski
абхазија	apxazija
абхазијка	apxazijka
абхазијки	apxazijki
абхазијци	apxazijtsi
абхаски	apxaski
ав	af
ав	av
ава	afa
ава	ava
авада	avaːda
авакс	avaks
авалира	avaliɾa
авалон	avalon
аван	avan
авангарда	avaŋgarda
авангарден	avaŋgardɛn
авангардно	avaŋgardnɔ
авани	avani
аванс	avans
авансен	avansɛn
аванси	avansi
авансира	avansiɾa
авантура	avantuɾa
авантура	avɑnˈtura
авантурата	avɑn'turɑtɑ
авантури	avan'turi
авантури	avantuɾi
авантуризам	avanturizam
авантурист	avan'turist
авантурист	avanturist
авантуристи	avanturisti
авантуристи	avɑnˈtʊrɪsti
авантуристички	avanturistitʃki
авантуристички	avɑnturistitʃki
авантуристка	avanturistka
авантуристки	avanturistki
авантурите	avɑn'turitɛ
авантуричка	avantuɾitʃka
авантурички	avantuɾitʃki
аватар	avatar
аватар	avaˈtar
аватара	avataɾa
аватарот	avavɑtɔr
авганистан	avganistan
авганистан	avgaˈniːstan
авганистанец	avganistanɛts
авганистанка	avganistaŋka
авганистанки	avganistaŋki
авганистански	avganistanski
авганистанци	avganistantsi
август	avgust
август	avˈgust
августовски	avgustɔfski
августус	avˈgustus
аве	avɛ
авел	avɛɫ
авении	avɛnii
авенија	avɛnija
авенија	avɛniʝa
авенијата	avɛniˈja
аверзија	avɛrzija
авесалом	avɛsaɫɔm
ави	avi
авиоиндустрија	avijɔindustrija
авиокомпании	avijɔkɔmpanii
авиокомпанија	avijɔkɔmpanija
авиокомпанијата	aviɔkɔmpanijɛta
авиолинии	avijɔlinii
авиолинија	avijɔlinija
авион	avijɔn
авион	aviɔn
авиона	aviɔna
авиона	aviˈɔna
авиони	aviɔni
авиони	aviˈoni
авионите	aviɔnɪtɛ
авионишта	aviɔniʃta
авиониште	aviɔniʃtɛ
авионов	aviˈɔnɔf
авионот	aviɔnɔt
авионска	aviˈɔnska
авионската	aviɔnska
авионски	aviɔnski
авионски	aviˈɔnski
авионскиот	aviɔnski
авионче	aviɔntʃɛ
авиончиња	aviɔntʃiɲa
авиопревозник	avijɔprɛvɔznik
авиопревозници	avijɔprɛvɔznitsi
авитаминоза	avitaminɔza
авијаро	aviˈjaro
авијација	avijatsija
авијација	aviˈjatsija
авијацијата	avijaˈtsija
авињон	aviɲɔn
авлии	avlii
авлија	avlija
авнер	avˈnɛr
авокада	avɔkada
авокадо	avɔkadɔ
авокадо	avɔkɑdo
аволите	avɔlɪtɛ
авр	afɾ
авра	avra
авраам	avraam
аврам	avram
аврелиј	avrɛlij
аври	avri
аврора	avrɔɾa
аврора	avˈɾɔɾa
австралиец	afstralijɛts
австралиец	avstraˈli(j)ɛts
австралиска	afstraliska
австралиски	afstraliski
австралија	afstralija
австралија	avstraˈlija
австралијка	afstralijka
австралијки	afstralijki
австралијци	afstralijtsi
австриец	afstrijɛts
австриска	afstriska
австриски	afstriski
австрија	afstrija
австрија	avstrija
австријка	afstrijka
австријки	afstrijki
австријци	afstrijtsi
австроунгарски	afstrɔuŋgarski
автаркија	aftarkija
автарси	aftarsi
автарх	aftarx
автархиски	aftarxiski
автархичен	aftarxitʃɛn
автархично	aftarxitʃnɔ
автархија	aftarxija
автентикации	aftɛntikatsii
автентикациски	aftɛntikatsiski
автентикација	aftɛntikatsija
автентицира	aftɛntitsiɾa
автентичен	aftɛntitʃɛn
автентичен	avtɛntitʃɛn
автентична	avtɛntitʃna
автентични	avtɛntitʃni
автентично	aftɛntitʃnɔ
автентично	avtɛntitʃnɔ
автентичност	aftɛntitʃnɔst
автентичност	avtɛntitʃnɔst
автентичноста	avtɛntitʃnɔsta
автизам	aftizam
авто	afto
авто-перална	avtopeˈralna
авто-пералната	avtoperaɫnatɑ
автобиографии	aftɔbijɔgrafii
автобиографија	aftɔbijɔgrafija
автобиографија	avtɔbiɔgrafiʝa
автобиографски	aftɔbijɔgrafski
автобиографски	aftɔbiɔgrafski
автобот	avtobot
автоботи	avtoˈbɔti
автоботите	avtobo'titɛ
автобус	aftɔbus
автобус	avtobus
автобуси	aftɔbusi
автобуси	avtoˈbusʲi
автобусите	avtobusitɛ
автобусишта	aftɔbusiʃta
автобусиште	aftɔbusiʃtɛ
автобуска	aftɔbuska
автобуска	avtobuska
автобуската	avtobuskaʈa
автобуски	aftɔbuski
автобуски	avtoˈbuski
автобусов	avtoˈbusɔf
автобусот	avtobusot
автогол	aftɔgɔɫ
автоголови	aftɔgɔɫɔvi
автограм	aftogram
автограм	aftɔgram
автограми	aftɔgrami
автограми	avtograːmi
автодидактика	aftɔdidaktika
