अ	ʌ
छत्तीस	tsʰʌt̪̚t̪is
छन्	tsʰʌn
छपन्न	tsʰʌpʌnːʌ
छप्पन्न	tsʰʌp̚pʌnːʌ
छब्बीस	tsʰʌb̚bis
छयत्तर	tsʰʌet̪̚t̪ʌr
छयसट्ठी	tsʰʌesʌʈ̚ʈʰi
छयानब्बे	tsʰʌjänʌb̚be
छयालीस	tsʰʌjälis
छयासी	tsʰʌjäsi
छल्नु	tsʰʌlnu
छहत्तर	tsʰʌ̤ːt̪̚t̪ʌr
छाउपडी	tsʰäu̯pʌɽi
छाना	tsʰänä
छानो	tsʰäno
छान्नु	tsʰänːu
छाहारि	tsʰä̤ːri
छिटो	tsʰiʈo
छिट्टो	tsʰiʈ̚ʈo
छिन	tsʰin
छिन	tsʰinʌ
छिनो	tsʰino
छिमेकी	tsʰimeki
छुँ	tsʰũ
छुट्टाउनु	tsʰuʈ̚ʈäu̯nu
छुट्ट्याउनु	tsʰuʈ̚ʈjäu̯nu
छुट्नु	tsʰuʈɳu
छुनु	tsʰunu
छुर्पी	tsʰurpi
छेत्रिनी	tsʰet̪rini
छेत्री	tsʰet̪ri
छैंसठ्ठी	tsʰʌ̃ĩ̯sʌʈʰʈʰi
छैन	tsʌi̯nʌ
छैनौ	tsʰʌi̯nʌu̯
छोग्याल	tsʰog̞jäl
छोटो	tsʰoʈo
छोप्नु	tsʰopnu
छोरा	tsʰoɾä
छोरी	tsʰoɾi
छोरो	tsʰoɾo
छोल	tsʰolʌ
छोल्	tsʰol
छोल्नु	tsʰolnu
छौ	tsʰʌu̯
ज	dzʌ
जग्गा	dzʌg̞gä
जङ्गल	dzʌŋgʌl
जनकपुर	dzʌnʌk̚pur
जनसंख्या	dzʌnʌsʌŋkʰjä
जनसङ्ख्या	dzʌnʌsʌŋkʰjä
जना	dzʌnä
जनावर	dzʌnäwʌr
जन्मदिन	dzʌnmʌd̪in
जमिन	dzʌmin
जमिनदार	dzʌmin̪d̪är
जमिन्दार	dzʌmin̪d̪är
जमीन	dzʌmin
जमीनदार	dzʌmin̪d̪är
जम्नु	dzʌmnu
जम्मा	dzʌmːä
जरा	dzʌɾä
जरूर	dzʌɾur
जरूरी	dzʌɾuri
जरो	dzʌɾo
जर्मनी	dzʌrmʌni
जल	dzʌl
जल्नु	dzʌlnu
जसको	dzʌsko
जसमा	dzʌsmä
जसलाई	dzʌsläi̯
जसले	dzʌlle
जसले	dzʌsle
जहाँ	dzä̃ː
जहाँ	dzä̆ɦä̤̃
जहाज	dzä̤ːdz
जा	dzä
जाँः	dzä̤̃ː
जाँच्नु	dzä̃tsnu
जाँठो	dzä̃ʈʰo
जाऊ	dzäu̯
जाडो	dzäɽo
जाति	dzät̪i
जानु	dzänu
जान्नु	dzänːu
जामुनी	dzämuni
जिउनु	dziu̯nu
जिब्रो	dzibro
जिल्ला	dzillä
जिल्लाका	dzilläkä
जिल्लाको	dzilläko
जिल्लाहरू	dzillä‿ɦʌɾu
जी	dzi
जीउ	dziu̯
जीवनी	dzibʌni
जुँगा	dzuŋgä
जुँगा	dzũg̞ä
जुत्ता	dzut̪̚t̪ä
जुन	dzun
जुम्रा	dzumrä
जुवाइँ	dzuwäĩ
जून	dzun
जेठ	dzeʈʰ
जेठान	dzeʈʰu
जेठान	dzeʈʰän
जेठानी	dzeʈʰäni
जेब्रा	dzebrä
जो	dzo
जोइ	dzoi̯
जोकर	dzokʌr
ज्ञ	gj
ज्ञान	gjän
ज्येष्ठ	dzjes̠t̠ʰʌ
ज्वरो	dzoɾo
ज्वाइँ	dzwäĩ
झ	dzʱʌ̤
झरी	dzʱʌ̤ɾi
झाँट	dzʱä̤̃ʈ
झाक्री	dzʱä̤kri
झाडु	dzʱä̤ɽu
झुम्का	dzʱṳmkä
झोला	dzʱo̤lä
झ्याल	dzʱjäl
ञ	jʌ̃
ञ	nʌ
ञकार	jʌ̃kär
ट	ʈʌ
टपरी	ʈʌpʌɾi
टाउको	ʈäu̯ko
टाढा	ʈäɽä
टिकट	ʈikʌʈ
टीका	ʈikä
टील	ʈil
टेबुल	ʈebul
टोक्नु	ʈoknu
टोपी	ʈopi
ट्याक्सी	ʈjäksi
ठ	ʈʰʌ
ठकुरी	ʈʰʌkuɾi
ठन्कनु	ʈʰʌnkʌnu
ठन्काउनु	ʈʰʌnkäu̯nu
ठाउँ	ʈʰäũ
ठीक	ʈʰik
ठीकै	ʈʰikʌi̯
ठुलो	ʈʰulo
ठूलो	ʈʰulo
ठोक्	ʈʰok
ठोक्नु	ʈʰoknu
ड	ɖʌ
डङका	ɖʌŋkä
डच	ɖʌts
डढ्नु	ɖʌɽɳu
डराउनु	ɖʌɾäu̯nu
डलर	ɖʌlʌr
डा	ɖäk̚ʈʌr
डाँका	ɖä̃kä
डाका	ɖäkä
डाक्टर	ɖäk̚ʈʌr
डाक्टरी	ɖäk̚ʈʌɾi
डिसेम्बर	ɖisembʌr
डुङ्गा	ɖuŋgä
डुल्नु	ɖulnu
डेनमार्क	ɖenmärk
ढ	ɖʱʌ̤
ढल्नु	ɖʱʌ̤lnu
ढाँचा	ɖʱä̤̃tsä
ढाक्नु	ɖʱä̤knu
ढाड	ɖʱä̤ɽ
ढाल्नु	ɖʱä̤lnu
ढिँडो	ɖʱĩɽo
ढिलो	ɖʱi̤lo
ढुकुर	ɖʱṳkur
ढुङ्गा	ɖʱṳŋgä
ढोका	ɖʱo̤kä
ण	ɳʌ
ण	ɽ̃ʌ
ण	ʌ̃ɳ
त	t̪ʌ
तँ	t̪ʌ̃
तँमा	t̪ʌ̃mä
तँलाई	t̪ʌ̃läi̯
तकिया	t̪ʌkijä
तताउनु	t̪ʌt̪äu̯nu
तथा	t̪ʌt̪ʰä
तथापि	t̪ʌt̪ʰäpi
तथ्याङ्क	t̪ʌt̪ʰjäŋkʌ
तन्ना	t̪ʌnːä
तपाईँलाई	t̪ʌpä̃ĩ̯läi̯
तपाईं	t̪ʌpäĩ̯
तपाईंको	t̪ʌpäĩ̯ko
तपाईंमा	t̪ʌpäĩ̯mä
तपाईंलाई	t̪ʌpä̃ĩ̯läi̯
तपाईंले	t̪ʌpä̃ĩ̯le
तर	t̪ʌr
तर	t̪ʌrʌ
तरकारी	t̪ʌrkäɾi
तर्फबाट	t̪ʌrpʰʌ‿bäʈʌ
तस्बिर	t̪ʌsbir
तातो	t̪ät̪o
तात्नु	t̪ät̪n̪u
तान्नु	t̪änːu
ताप	t̪äp
तापक्रम	t̪äp̚krʌm
तारा	t̪äɾä
ताल	t̪äl
तास	t̪äs
तिक्का	t̪ik̚kä
तिखो	t̪ik̞ʰo
तितो	t̪it̪o
तिब्बत	t̪ib̚bʌt̪
तिमी	t̪imi
तिमीमा	t̪imimä
तिमीलाई	t̪imiläi̯
तिमीले	t̪imile
तिम्रो	t̪imro
तिर	t̪ir
तिर	t̪iɾʌ
तिरत्तर	t̪iɾʌt̪̚t̪ʌr
तिरानब्बे	t̪iɾänʌb̚be
तिरासी	t̪iɾäsi
तिर्चालिस	t̪irtsälis
तिर्नु	t̪irnu
तिर्पन्न	t̪irpʌnːʌ
तिर्सट्ठी	t̪irsʌʈ̚ʈʰi
तिर्सठ्ठी	t̪irsʌʈ̚ʈʰi
तिहार	t̪iär
तिहार	t̪iɦär
ती	t̪i
तीन	t̪in
तीर	t̪ir
तीस	t̪is
तुतुरो	t̪ut̪uɾo
तुरी	t̪uɾi
तेईं	t̪eĩ̯
तेईस	t̪ei̯s
तेजारत	t̪edzäɾʌt̪
तेत्तीस	t̪et̪̚t̪is
तेरो	t̪eɾo
तेर्सिनु	t̪ersinu
तेस्रो	t̪esro
तेह्र	t̪eɾʌ
तैँले	t̪ʌ̃ĩ̯le
तैरिनु	t̪ʌi̯ɾinu
त्यसको	t̪esko
त्यसमा	t̪esmä
त्यसलाई	t̪esläi̯
त्यसले	t̪esle
त्यहाँ	t̪jä̃
त्यहाँ	t̪jä̃ː
त्यहाँ	t̪jä̆ɦä̤̃
त्याँः	t̪jä̃ː
त्यो	t̪jo
त्र	t̪rʌ
त्रिचालीस	t̪ritsälis
त्रिपन्न	t̪ripʌnːʌ
त्रियानब्बे	t̪rijänʌb̚be
त्रियासी	t̪rijäsi
त्रिसट्ठी	t̪risʌʈ̚ʈʰi
त्रिहत्तर	t̪riɦʌt̪̚t̪ʌr
थ	t̪ʰʌ
थप्दै	t̪ʰʌp̚d̪ʌi̯
थप्न	t̪ʰʌpnʌ
थप्नु	t̪ʰʌpnu
थर	t̪ʰʌr
थानु	t̪ʰänu
थापा	t̪ʰäpä
थाल	t̪ʰäl
थाह	t̪ʰä̤ː
थाहा	t̪ʰäʔä
थाहा	t̪ʰä̤ː
थिचेर	t̪ʰitseɾʌ
थिच्नु	t̪ʰitsnu
थियो	t̪ʰijo
थुक्नु	t̪ʰuknu
थुरी	t̪ʰuɾi
द	d̪ʌ
दक्षिण	d̪ʌktsʰĩɽ̃
दक्षिण	d̪ʌk̚kʰin
दक्षिण	d̪ʌk̚tsʰjiɽ̃
दक्षिण	d̪ʌt̚tsʰiɽ̃
दगुर्नु	d̪ʌg̞urnu
दबाउनु	d̪ʌbäu̯nu
दल्नु	d̪ʌlnu
दश	d̪ʌs
दशैं	d̪ʌsʌ̃ĩ̯
दस	d̪ʌs
दसैँ	d̪ʌsʌ̃ĩ̯
दहल	d̪ʌ̤ːl
दाँज्नु	d̪ä̃dznu
दाँत	d̪ä̃t̪
दाइ	d̪äi̯
दाई	d̪äi̯
दाजु	d̪ädzju
दाजु	d̪ädzu
दाडिम	d̪äɽim
दाना	d̪änä
दारिम	d̪äɾim
दारी	d̪äɾi
दार्जिलिङ	d̪ärdziliŋ
दाहिने	d̪äi̯ne
दाह्री	d̪äɾi
दिउँसो	d̪iũso
दिक्क	d̪ik̚kʌ
दिदी	d̪id̪i
दिन	d̪in
