's	s̪
chorp	xɔɾp
chostag	xɔst̪ak
chostagan	xɔst̪akan
chostaige	xɔst̪ɛkʲə
chrannachan	xɾan̪ˠəxan
chreach	çɾʲɛx
chreid	çɾʲetʲ
chreid	çɾʲɤtʲ
chruth	xɾuh
chuairt	xuərˠʃtʲ
chuala	xuəl̪ˠə
chudromach	xut̪rəməx
chumail	xumal
chunnaic	xun̪ˠɪc
chunnt	xũːn̪ˠt̪
chus	xus̪
chàirdean	xaːrˠtʲən
chèitean	çeːhtʲan
chòir	xɔːɾʲ
chùirt	xuːrˠʃtʲ
chùm	xuːm
ciall	kʰʲiaɫ̪
ciallach	kʰʲiəl̪ˠəx
ciamar	kʰʲɪmaɾ
cian	kʰʲian
ciar	cʰiaɾ
cidhe	cʰiə
cidsin	kʲʰitʲʃɪn
cill	cʰiːʎ
cion	cʲin
cionn	kʰʲũːn̪ˠ
cionnas	kʰʲũn̪ˠəs̪
ciorstaidh	kʲirˠs̪t̪ɪ
ciorstan	kʲirˠs̪t̪an
ciùil	kʰʲuːl
ciùin	kʰʲuːɲ
ciùrr	kʰʲuːrˠ
ciùrradh	kʰʲuːrˠəɣ
clach	kʰl̪ˠax
clachair	kʰl̪ˠaxɛɾʲ
cladh	kʰl̪ˠɤɣ
cladhach	kʰl̪ˠɤəx
cladhaire	kʰl̪ˠɤɪɾʲə
claidheamh	kʰl̪ˠajəv
claigeann	kʰl̪ˠacən̪ˠ
clamhan	kʰl̪ˠavan
clann	kʰl̪ˠaun̪ˠ
claon	kʰl̪ˠɯːn
clas	kʰl̪ˠas̪
cleachd	kʰlɛxk
cleachdadh	kʰlɛxkəɣ
cleas	kʰles
cleasaiche	kʰles̪ɪçə
cleiteag	kʎeːhtʲak
cleiteag	kʎeːtʲak
cliabh	kliəv
cliath	kʰliə
clis	kʰliʃ
cliùiteach	kʰluːhtʲəx
clobhd	kʰl̪ˠɔut̪
cluich	kʰl̪ˠɪç
cluichd	kʰl̪ˠuçkʲ
cluiche	kʰl̪ˠuçə
cluicheadair	kʰl̪ˠuçətɛrʲ
cluinneadh	kɫ̪ɯɲəɣ
cluinntinn	kʰl̪ˠɯ̃ĩɲtʲɪɲ
clàdan	kʰl̪ˠaːt̪an
clàideag	kʰl̪ˠaːtʲak
clàrsair	kʰlaːɻʂɛɾʲ
clì	kʰliː
clòimhneag	kʰl̪ˠɔ̃ːɲak
cnag	kʰɾãk
cnagadh	kʰɾãkəɣ
cneap	krɛʰp
cnàg	kʰɾ̃ãːk
cnàmh	kʰɾãːv
cobhan	kʰoan
cofaidh	kʰɔfɪ
cogadh	kʰokəɣ
coibhneil	kʰɤiɲal
coileach	kʰɤləx
coille	kʰɤʎə
coilleag	kʰɤʎak
coimheach	kʰɔ̃jəx
coimhearsnach	kʰɔ̃jərˠs̪n̪ˠəx
coimpiutair	kʰəmpʰjutʰəɾʲ
coineanach	kʰɔɲanəx
coinneach	kʰɤɲəx
coinneal	kʰɤɲəl̪ˠ
coinneamh	kʰɤɲəv
coinnlear	kɤ̃ĩɲʎɛr
coirce	kʰɔɾʲçkʲə
coire	kʰɔɾʲə
coire	kʰɤɾʲə
coiseachd	kʰɔʃəxk
coisridh	kɔʃɾiː
colainn	kʰɔl̪ˠəɲ
colaiste	kʰɔɫ̪ɪʃtʲə
colann	kʰɔl̪ˠən̪ˠ
coll	kʰɔul̪ˠ
coltach	kʰɔl̪ˠt̪əx
coltach	kʰɔl̪ˠəx
coltas	kɔl̪ˠt̪əs
coma	kʰomə
comann	kʰomən̪ˠ
comannach	kʰomən̪ˠəx
comasach	kʰoməs̪əx
comhairle	kʰɔ̃ərˠʎə
comhaois	kɔɯːʃ
comhaois	kɯːʃ
companaidh	kʰɔ̃ũmpənɪ
connadh	kʰɔn̪ˠəɣ
connspaideach	kʰɔ̃ũn̪ˠs̪pɪtʲəx
consan	kʰɔns̪an
cor	kʰɔɾ
corp	kʰɔɾp
corrag	kʰɔrˠak
cosail	kʰɔs̪al
cosg	kʰɔs̪k
cosgais	kosgɪʃ
cosnadh	kʰɔs̪n̪ˠəɣ
costag	kʰɔst̪ak
costagan	kʰɔst̪akan
costaige	kʰɔst̪ɛkʲə
cothromach	kʰɔrˠəməx
craic	kʰɾɛçc
crann	kʰɾau̯n̪ˠ
crannachan	kʰɾan̪ˠəxan
craobh	kʰɾɯːv
craoladh	kʰɾɯːl̪ˠəɣ
craos	kʰɾɯːs̪
craosach	kʰɾɯːs̪əx
creag	kʰɾek
creagan	kʰɾekən
creamh	kʰɾʲɛ̃v
creid	kʲʰɾʲɤtʲ
creutair	kʰɾeːʰt̪ɛɾʲ
cridhe	kʰɾʲiə
cridheil	kʰɾʲial
crios	kʰɾʲis̪
criosaidh	kʰɾʲis̪ɪ
croch	kʰɾɔx
crodh	kʰɾoː
crogall	kʰɾˠokəl̪ˠ
croit	kʰɾohtʲ
croladh	kʰɾɔl̪ˠəɣ
crolaidh	kʰɾɔl̪ˠɪ
crom	kʰɾɔum
cromach	kroməx
cronaich	kʰɾɔnɪç
crosta	kʰɾɔs̪t̪ə
cruach	kʰɾuəx
cruachan	kʰɾuəxan
cruachan	kʰɾuəxən
cruadhtan	kʰɾuəjt̪an
cruaidh	kʰɾuəj
cruidh	kʰɾɯj
cruinn	kʰruɪɲ
cruithneachd	kʰɾɯɲəxk
cruth	kɾuh
cruthachail	kʰɾuhəxal
cruthaich	kʰɾuhɪç
crè	kʰrɛː
crìoch	kʰɾʲiəx
crìosd	kʰɾʲiəs̪t̪
cròileagan	krɔːlagan
cròilean	kʰɾɔːlan
cròthaisis	kʰɾɔːɪʃɪʃ
crùbag	kʰɾuːpak
crùn	kruːn
cuaigear	kʰuəkʲəɾ
cuairt	kʰuərˠʃtʲ
cuala	kʰuəl̪ˠə
cuan	kʰuan
cudrom	kʰut̪rəm
cudromach	kʰut̪ɾəməx
cuid	kʰutʲ
cuideachadh	kʰutʲəxəɣ
cuideachail	kʰutʲəxal
cuideachd	kʰutʲəxk
cuideigin	kʰutʲecɪn
cuidich	kʰutʲɪç
cuilean	kʰulan
cuileann	kʰulən̪ˠ
cuimreach	kumuɾəx
cuimrigh	kʰumuɾɪ
cuimris	kʰɯmɯrʲɪʃ
cuin	kʰuɲ
cuip	kʰuiʰp
cuireadh	kʰuɾʲəɣ
cuislean	kʰuʃlan
cultarach	kʰul̪ˠt̪əɾəx
cum	kʰuːm
cumail	kʰumal
cumanta	kʰumən̪ˠt̪ə
cumha	kʰũə
cumhachdach	kʰũəxgəx
cumhang	kʰũəŋk
cunnartach	kʰun̪ˠərˠʃtəx
cunnt	kʰũːn̪ˠt̪
cunntadh	kʰũːn̪ˠt̪əɣ
cupa	kʰuʰpʰə
curran	kʰurˠan
curstaidh	kʰurˠs̪t̪ɪ
cus	kʰus̪
cà	kʰaː
càch	kʰaːx
càil	kʰaːl
càin	kʰaːɲ
càineadh	kʰaːɲəɣ
càirdeach	kʰaːrtʲəx
càirdean	kʰaːrˠtʲən
càirdeil	kʰaːrtʲal
càise	kʰaːʃə
càit	kʰaːhtʲ
càite	kʰaːhtʲə
càl	kʰaːl̪ˠ
càmhal	kãːəl̪ˠ
cànan	kʰaːnan
càr	kʰaːɾ
càrn	kʰaːrˠn̪ˠ
càrnadh	kʰaːɾnəɣ
cèile	kʰʲeːlə
cèireach	kʰʲeːɾʲəx
cìoch	kʰʲiəx
cìr	kʰʲiːɾʲ
còig	kʰoːkʲ
còignear	kʰoːkʲəɾ
còignear	kʰoːkʲɲəɾ
còir	kʰɔːɾʲ
còmhdhail	kʰɔ̃ːal
còmhdhail	kʰɔ̃ːɣal
còmhla	kʰɔ̃ːl̪ˠə
còmhla	kʰɔ̃ːl̪ˠəɣ
còmhlan	kʰɔ̃ːl̪ˠan
còmhnard	kɔ̃ːnərˠd
còmhrag	kʰɔ̃ːɾak
còrnais	kʰɔːrˠn̪ˠɪʃ
còrr	kʰɔːrˠ
cóigneir	kʰoːkʲəɾʲ
cù	kʰuː
cùirt	kʰuːrˠʃtʲ
cùirtear	kʰuːrˠʃtʲəɾ
cùis	kʰuːʃ
cùiseach	kʰuːʃəx
cùl	kʰuːɫ̪
cùm	kʰaum
cùm	kʰum
cùm	kʰumː
cùm	kʰuːm
cùram	kʰuːɾəm
cùramach	kʰuːɾəməx
d	t̪
d'	tʲ
da	t̪a
da	t̪aː
dachaigh	t̪axɪ
dad	tat
dadamach	dadəməx
daibh	t̪ai̯
daibh	t̪ai̯v
daibhidh	t̪aivɪ
daibhsan	t̪ai̯vs̪ən
dair	t̪aɾʲ
dall	t̪aul̪ˠ
dallag	taɫ̪ak
dalm	dal̪ˠam
dalma	dal̪ˠamə
damh	tav
dannsa	t̪ãũn̪ˠs̪ə
dannsair	tãũn̪ˠs̪ɛɾʲ
daoine	t̪ɯːnə
daol	t̪ɯːl̪ˠ
daonnan	t̪ɯːn̪ˠan
daor	t̪ɯːɾ
daorach	tɯːɾəx
dar	t̪ar
dar	t̪ər
dara	t̪aɾˠə
dath	tah
dathach	t̪ahəx
de	tʲe
dealain	tʲal̪ˠɛɲ
dealan	tʲal̪ˠan̪ˠ
dealanach	tʲal̪ˠanəx
dealanaich	tʲal̪ˠanəxʲ
dealanan	tʲal̪ˠan̪ˠən̪ˠ
dealbhadair	tʲal̪ˠavətɛɾʲ
dealg	tʲal̪ˠak
dealuich	dʲalˠiç
deamhan	tʲãũan
dearg	tʲɛɾɛk
dearmad	tʲɛɾɛmət̪
dearrs	tʲaːrˠs̪
dearrsach	tʲaːrˠsəx
dearrsadh	t̪ʲaːrˠs̪əɣ
deasg	tʲɛs̪k
deicheach	dʲeçəx
deichnear	tʲeçnəɾ
deichnear	tʲeɲəɾ
deichneir	tʲeçnəɾʲ
deilbh	tʲelev
deilgneach	tʲelecnəx
deirdre	tʲɛrtɾə
deirdre	tʲɛʈɾə
deirge	tʲeɾʲeɟə
deise	tʲeʃə
deiseil	tʲeʃal
deocan	tʲɔxkan
deoghail	tʲoal
deud	t̪ʰʲeːt̪
deug	tʲiək
deàrsadh	t̪ʲaːrˠs̪əɣ
deòin	dʲɔːɲ
deònach	tʲɔːnəx
deòrsa	tʲɔːɾs̪ə
dh'	ɣ
dh'	ʝ
dh'fhalbh	ɣaɫ̪av
dh'fhosgail	ɣɔskal
dh'ith	jiç
dh'èist	ʝeːʃtʲ
dh'òl	ɣɔːl̪ˠ
dha	ɣa
dha	ɣaː
dhachaigh	ɣaxɪ
dhaibh	ɣai
dhaibh	ɣaiv
dhaibh	ɣav
dhaibhsan	ɣai̯vs̪ən
dhan	ɣan̪ˠ
dhath	ɣah
dhathach	ɣahəx
dhealaich	ʝalˠiç
dhearg	ʝɛɾɛk
dheas	ʝɛs
dhen	ʝen
dheth	ʝɛh
dhi	ʝi
dhi	ʝiː
dhomh	ɣõ
dhomh	ɣɔ̃
dhona	ɣɔnə
dhorcha	ɣɔɾɔxə
dhubh	ɣuh
dhuibh	ɣɯi
dhuibh	ɣɯiv
dhuibh	ɣɯv
dhuibhse	ɣɯi̯vʃə
dhuilich	ɣɯlʲɪç
dhuinn	ɣɯi̯ɲ
dhuinne	ɣɯɲə
dhuit	ɣuʰtʲ
dhuitsa	ɣuʰtʲs̪ə
dhut	ɣuhtʲ
dhut	ɣuht̪
dhutsa	ɣuʰt̪s̪ə
dhà	ɣaː
dhàsan	ɣaːs̪ən̪ˠ
dhìol	ʝiəɫ̪
dhìot	ʝiə̯ʰt̪
dhìse	ʝiːʃə
dhìth	ʝiː
dhòmhnaill	ɣɔ̃ːɪʎ
dhòmhsa	ɣõːs̪ə
dhòmhsa	ɣɔ̃ːs̪ə
dhùin	ɣuːɲ
di	tʲi
di	tʲiː
dia	tʲia
diabhal	tʲiəvəl̪ˠ
dian	tʃian
diathad	tʲiəhət̪
diorbhail	tʲirivəl̪ˠ
diorta	tʲər̪ˠʃt̪ə
diù	tʲuː
diùid	tʲuːtʲ
diùra	tʲuːɾa
dlighe	t̪liə
do	t̪ɔ
do	t̪ə
dochaidh	t̪oxɪ
dochaidh	t̪ɔxɪ
doileag	t̪ɔlak
doilidh	t̪ɔlɪ
doilleir	dɔɪʎɛr
doilleir	dɔʎɛr
doimhne	t̪ɤĩnə
doimhneachd	t̪ɔiɲəxk
doineann	t̪ɤɲan̪ˠ
doirbh	t̪ɤɾʲɤv
dolaidh	t̪ɔl̪ˠɪ
domh	t̪ɔ̃
domhsa	t̪ɔ̃ːs̪ə
don	t̪ɔn̪ˠ
dona	t̪ɔnə
donaidh	t̪ɔnɪ
donn	t̪ɔun̪ˠ
donnchadh	t̪ɔn̪ˠɔxəɣ
doras	t̪ɔɾs̪
doras	t̪ɔɾəs̪
doras	t̪ɔɾəs̪t̪
dorcha	t̪ɔɾɔxə
dorchadas	t̪ɔɾɔxət̪əs̪
dorra	t̪ɔrˠə
dotair	t̪ɔht̪ɛɾʲ
drabasda	t̪ɾapəs̪t̪ə
drabasdach	t̪ɾapəs̪t̪əx
dragh	t̪ɾɤɣ
draibh	t̪ɾaiv
draibheadh	t̪ˠɾaivəɣ
draibhear	t̪ɾaivəɾ
drama	t̪ɾamə
dranndan	t̪ɾãũn̪ˠt̪an
dranndanach	t̪ɾãũn̪ˠtanəx
draoidh	drɯj
drathais	t̪ɾaɪʃ
dreach	t̪ɾɛx
dreasa	t̪ɾes̪ə
dreuchd	t̪ɾʲiaxk
dril	tɾil
driùchd	t̪ɾuːxk
druim	t̪ɾɯim
druma	t̪ɾumə
drumaichean	t̪ɾumɪçən
dràma	t̪ɾaːmə
dròn	trɔːn
drùidh	druːj
drùidhteach	druːdʲəx
drùin	t̪ɾuːɲ
