'aina	ajna
ʻaho	ʔaho
ʻai	ʔai̯
ʻai	ʔɑj
ʻaikake	ʔai̯kake
ʻaikiopia	ʔai̯kiopia
ʻaikupika	ʔai̯kupika
ʻaina	ʔai̯na
ʻaka	ʔaka
ʻakamu	ʔakamu
ʻakaʻaka	ʔakaʔaka
ʻakaʻakai	ʔakaʔakai̯
ʻakela	ʔakela
ʻakeneki	ʔakeneki
ʻakepaikana	ʔakepai̯kana
ʻakoni	ʔakoni
ʻalalā	ʔalalaː
ʻalapaki	ʔalapaki
ʻalekelia	ʔalekelia
ʻalekina	ʔalekina
ʻali	ʔali
ʻalika	ʔalika
ʻalohi	ʔalohi
ʻalohilani	ʔalohilani
ʻamosa	ʔamoka
ʻana	ʔana
ʻanakalia	ʔanakalia
ʻanalū	ʔanaluː
ʻane	ʔane
ʻanekelea	ʔanekelea
ʻano	ˈano
ʻanoʻi	ʔanoʔi
ʻapekanikana	ʔapekanikana
ʻapela	ʔapela
ʻapelahama	ʔapelahama
ʻapelika	ʔapelika
ʻapikaʻila	ʔapikaʔila
ʻapōpō	ʔapoːpoː
ʻauinalā	ʔau̯inalaː
ʻaukai	ʔau̯kai̯
ʻaukake	ʔau̯kake
ʻaukekulelia	ʔau̯kekulelia
ʻaukekulia	ʔau̯kekulia
ʻaulani	ʔau̯lani
ʻawapuhi	ʔawapuhi
ʻawaʻawa	ʔawaʔawa
ʻawe	ʔawe
ʻaʻole	ʔaʔole
ʻaʻā	ʔaʔaː
ʻehu	ʔehu
ʻekahi	ʔekahi
ʻekalekia	ʔekalekia
ʻekekela	ʔekekela
ʻekela	ʔekela
ʻekolu	ekolu
ʻeleakala	ʔeleakala
ʻelena	ʔelena
ʻelepani	ʔelepani
ʻelia	ʔelia
ʻelikapeka	ʔelikapeka
ʻelua	elua
ʻelua	ʔelua
ʻema	ʔema
ʻemalia	ʔemalia
ʻemelia	ʔemelia
ʻemelē	ʔemeleː
ʻenoka	ʔenoka
ʻepeso	ʔepeko
ʻewa	ʔewa
ʻezekiʻela	ʔekekiʔela
ʻikaʻaka	ʔikaʔaka
ʻilaka	ʔilaka
ʻilana	ʔilana
ʻilelani	ʔilelani
ʻinia	ʔinia
ʻinidonesia	ʔinikonekia
ʻisaia	ʔikai̯a
ʻiseraʻela	ʔikelaʔela
ʻiwalani	ʔiwalani
ʻo	ʔo
ʻobadia	ʔopakia
ʻoe	ʔoe
ʻohana	ohana
ʻohana	ʔohana
ʻohu	ʔohu
ʻoia	ʔo̯ia
ʻoihana	ʔo̯ihana
ʻokakopa	oˈkakopa
ʻokina	ʔokina
ʻokomopila	ʔokomopila
ʻole	ʔole
ʻolua	ʔolua
ʻomana	ʔomana
ʻono	ono
ʻoukou	ʔou̯kou̯
ʻukelena	ʔukelena
ʻuku	ʔuku
ʻukulele	ʔukulele
ʻulu	ʔulu
ʻumi	ʔumi
ʻusepekikana	ʔukepekikana
ʻā	aː
ʻā	ʔaː
ʻāhewa	ʔaːhewa
ʻāina	ʔaːina
ʻākau	ʔaːkau̯
ʻākaʻa	ʔaːkaʔa
ʻālina	ʔaːlina
ʻālohilohi	ʔaːlohilohi
ʻāluna	ʔaːluna
ʻāmēnia	ʔaːmeːnia
ʻāpuka	ʔaːpuka
ʻāwīwī	ʔaːwiːwiː
ʻāʻālona	ʔaːʔaːlona
ʻī	ʔiː
ʻīkālia	ʔiːkaːlia
ʻīlio	ʔiːlio
ʻīnia	ʔiːnia
ʻōlelo	ʔoːlelo
ʻōmaʻimaʻi	ʔoːmaʔimaʔi
ʻōmaʻomaʻo	ʔoːmaʔomaʔo
ʻōmā	ʔoːmaː
‘aakala	aakala
‘aalani	alani
‘aukake	alukake
