ഁ	ɐ̃
അക്കാദമിയില്	əkɑːd̪ɑːmiːjɪl
അക്കാരണം	əkaːɾəɳɐm
അക്കാര്യം	əkaːɾəm
അക്കാര്യത്തില്	əkaːɾjɐt̪ːil
അക്കാര്യത്തിൽ	əkaːɾjɐʈːil
അക്കാലത്തെ	əkaːləʈːe
അക്കാലത്ത്	əkaːɭɐt̪ː
അക്കുന	əkuɳ
അക്കൂട്ടത്തില്	əkuːʈːɨlɨ
അക്കൌണ്ടന്	əkaʊ̯ɳɳə
അക്കൌണ്ടന്റ്	əkaʊ̯ˈɳːənt̪
അക്കൌണ്ടിന്റെ	əkaʊ̯ɳʈin̪t̪e
അക്കൌണ്ടില്	əkaʊ̯ɳɖɪl
അക്കൌണ്ട്	əkaʊ̯nd̪ə
അക്കൌണ്ടൻസി	əkaʊ̯ɳɳɪ
അക്കൗണ്ടന്	əkaʊ̯n̪d̪ə
അക്കൗണ്ടന്റ്	əkaʊ̯ˈɳːə̆ɳʈ̪ə̆
അക്കൗണ്ടിന്റെ	əkaʊ̯n̪d̪iɳt̪ʃeː
അക്കൗണ്ടിലേക്ക്	əkaʊ̯nd̪iːɛkːu
അക്കൗണ്ടില്	əkaʊ̯ɳɖɪl
അക്കൗണ്ടിൽ	əkaʊ̯nd̪iɭ
അക്കൗണ്ട്	əkaʊ̯nd̪ə
അക്ബര്	əkbər
അക്രം	əkrə̃
അക്രമ	əkrɐm
അക്രമം	əkɾəmaːm
അക്രമകാരികൾ	əkɾɐməkɑːɾiːɛ
അക്രമങ്ങള്	əkɾəməɲɭə
അക്രമത്തിന്	əkɾəmaːn
അക്രമമാണ്	əkrəmaːm
അക്രമവും	əkrəməʋʊ
അക്രമാസക്തമായ	əkɾɑmɑːsɑkt̪əmoːjə
അക്രമി	əkrəmi
അക്രമികളെ	əkrɐmɪkɐlɛ
അക്രമികള്	əkrəmigəl
അക്രമിക്കൂ	əkɾəmiːkuː
അക്രമിച്ചു	əkrəmiɖu
അക്രമിയെ	əkɾəmiʌjɛ
അക്രൈസ്തവർ	əkrɑɪʈʈəʋər
അക്രോട്ട്കായകള്	əkɾoːʈkɑːjɑːɭ
അക്വാ	əqʋɑ
അക്ഷരം	əksəɾə
അക്ഷരങ്ങളില്	əksəɾəŋgəɭiɭ
അക്ഷരങ്ങളും	əksəɾəgʌm
അക്ഷരങ്ങളുടെ	əksəɾəŋgəɭuʈe
അക്ഷരങ്ങള്	əksəɾəŋgəɭ
അക്ഷരങ്ങൾ	əksɐɾəŋgəɭ
അക്ഷരമാല	əksɐɾɐmaːl
അക്ഷരാര്	əksɐɾɑːɾə
അക്ഷരാർത്ഥത്തിൽ	əksɐɾɐːɾt̪ːʰɨl
അക്സു	əksu
അകൽച്ച	ɐgɐlt̚tʃɐ
അഖില്ലിസ്	əgɪlɪs
അഖിൽ	əgɪl
അഗമെംനോണ്	əgəmemonː
അഗാധമായ	əgɑːðəmaɑːjə
അഗു	əgu
അഗുസ്ത്	əgust̪
അഗ്ദ	əgɖə
അഗ്നി	əgnɪ
അഗ്നിപരീക്ഷ	əgnipariɕːə
അഗ്നിപര്	əgnipəɾ
അഗ്നിപർവ്വതം	ɐgnibɐrʋʋʷɐd̪ɐm
അഗ്നിയാല്	əgɲijɑːl
അഗ്നിയില്	əgn̪iːjil
അഗ്നിയും	əgn̪iʝu
അഗ്രഡോ	əgɾɐɖo
അഗ്രിന്	əgɾiɳ
അഗ്വീറേ	əgʋiːɾeː
അഗർവാൾ	əgəɾʋɑːl
അങ്കം	əŋgəm
അങ്കച്ചേകവർ	ɐŋgɐt̚tʃeːgɐʋɐr
അങ്കാര	əŋgaːɾ
അങ്കാരാ	əŋgaːɾɑː
അങ്കിളിന്	əŋgɪlɪn̪
അങ്കിളിന്റെ	əŋgɪɭint̪ə
അങ്കിള്	əŋgɪɭ
അങ്കിൽ	əŋgil
അങ്കിൾ	əŋgɪɭ
അങ്കോളയില്	əŋgoːlɐjil
അങ്ങകലെ	əŋːəkələ
അങ്ങനങ്ങ്	əŋːəŋː
അങ്ങനത്തെ	əŋːən̪əteː
അങ്ങനയല്ല	əŋːənɐjɐɭː
അങ്ങനല്ല	əŋːənɐɭː
അങ്ങനാ	əŋːənɑː
അങ്ങനാണേല്	əŋːənɑːɳeːl
അങ്ങനാണോ	əŋːənɑːɳoː
അങ്ങനാണ്	əŋːənɑːm
അങ്ങനെ	əŋgənɛ
അങ്ങനെതന്നെ	əŋːənɛt̪ːɛnɛ
അങ്ങനെതന്നെയാണ്	əŋːənɛt̪ɛnɛːɑːm
അങ്ങനെത്തന്നെ	əŋːənɛt̪ːɛnɛ
അങ്ങനെയങ്ങനെ	əŋːənɛjəŋːənɛ
അങ്ങനെയങ്ങ്	əŋːənɛjəŋː
അങ്ങനെയല്ല	əŋːənɛjɐɭː
അങ്ങനെയല്ലല്ലോ	əŋːənɛjɐllɐɭːɐ
അങ്ങനെയല്ലാ	əŋːənɛjɐllaː
അങ്ങനെയല്ലെ	əŋːənɛjɛlːɛ
അങ്ങനെയല്ലെങ്കില്	əŋːənɛjɪɭːeŋkil
അങ്ങനെയല്ലെങ്കിൽ	əŋːənɛjɛŋkil
അങ്ങനെയല്ലെന്ന്	əŋːənɛjɛnːə
അങ്ങനെയല്ലേ	əŋːənɛjɐɭːɛ
അങ്ങനെയാ	əŋːənɛjɑ
അങ്ങനെയാകട്ടെ	əŋːənɛjɑːkɑːʈːɛ
അങ്ങനെയാണത്	əŋːənɛjɑːɳʈɑːt
അങ്ങനെയാണല്ലേ	əŋːənɛjɑːɳɐllɛ
അങ്ങനെയാണല്ലോ	əŋːənɛjɑːɳɐɭːo
അങ്ങനെയാണു	əŋːənɛjaːnu
അങ്ങനെയാണു്	əŋːənɛjɑːnu
അങ്ങനെയാണെങ്കില്	əŋːənɛjɑːŋkil
അങ്ങനെയാണെങ്കിൽ	əŋːənɛjɑːɳeŋkil
അങ്ങനെയാണെന്ന്	əŋːənɛjɑːnɛn̪ː
അങ്ങനെയാണേല്	əŋːənɛjɑːnɛːl
അങ്ങനെയാണേൽ	əŋːənɛjɑːɳɛːl
അങ്ങനെയാണോ	əŋːənɛjaːɳoː
അങ്ങനെയാണ്	əŋːənɛjaːm
അങ്ങനെയായാല്	əŋːənɛjɑːlɑː
അങ്ങനെയായിരുന്നു	əŋːənɛːoːɾɛː
അങ്ങനെയായിരുന്നെങ്കില്	əŋːənɛjɑːjoːrɛŋkil
അങ്ങനെയാവട്ടെ	əŋːənɛjɑːʋɑːʈːɛ
അങ്ങനെയില്ല	əŋːənɛjɪɭː
അങ്ങനെയും	əŋːənəɾeː
അങ്ങനെയുള്ള	əŋːənɛjulː
അങ്ങനെയെങ്കിലും	əŋːənɛjɛŋkɪlʌm
അങ്ങനെയെങ്കില്	əŋːənɛːŋkil
അങ്ങനെയെങ്കിൽ	əŋːənɛːŋkil
അങ്ങനെയെന്തെങ്കിലും	əŋːənɛːʔeːnt̪eŋkuɭʌm
അങ്ങനെയെല്ലാം	əŋːənɛjɛllaːm
അങ്ങനെയൊക്കെ	əŋːənɛjoːkːe
അങ്ങനെയൊന്നില്ല	əŋːənɛjoːnɪllə
അങ്ങനെയൊന്നും	əŋːənɛjoːn̪ːu
അങ്ങനെയൊന്നുമല്ല	əŋːənɛjoːnːumɐɭː
അങ്ങനെയൊന്നുമില്ല	əŋːənɛjoːnːumɪɭːə
അങ്ങനെയൊന്ന്	əŋːənɛjoːɳː
അങ്ങനെയൊരാളെ	əŋːənɛjoɾɑːlɛ
അങ്ങനെയൊരു	əŋːənɛːɾu
അങ്ങനെയോ	əŋːənɛjo
അങ്ങനൊന്നും	əŋːən̪oːn̪ʌm
അങ്ങനൊന്ന്	əŋːən̪oːn̪ː
അങ്ങനൊരു	əŋːən̪oɾu
അങ്ങയുടെ	əŋːəɳəɭi
അങ്ങയെ	əŋːəjɛ
അങ്ങയെയും	əŋːəɟeː
അങ്ങയോട്	əŋːəɳgoːɭʈ
അങ്ങയ്ക്ക്	əŋːəkkə
അങ്ങാടിയില്	əŋgɑːɖiːl
അങ്ങാണ്	əŋːaːm
അങ്ങിനെ	əŋːiɳe
അങ്ങിനെതന്നെ	əŋːiɳĕt̪ɳe
അങ്ങിനെതന്നെയാണ്	əŋgiɳe̯t̪ɳeːɑːm
അങ്ങിനെത്തന്നെ	əŋgineːt̪t̪an̪ne
അങ്ങിനെയങ്ങ്	əŋːiˌneːŋˈəŋː
അങ്ങിനെയല്ല	əŋginejɐɭː
അങ്ങിനെയല്ലേ	əŋːiɳeɪɭːeː
അങ്ങിനെയാണെങ്കില്	əŋːiˌneːjɑːnɪkɪl
അങ്ങിനെയാണെങ്കിൽ	əŋgiːnɛjɑːŋkɪɭ
അങ്ങിനെയാണോ	əŋːiˌneːˈjɑːɳo
അങ്ങിനെയാണ്	əŋgiːnɛjaːm
അങ്ങിനെയായിരുന്നു	əŋgineːoːɾɛː
അങ്ങിനെയാവട്ടെ	əŋːiɳejaːʋɐʈːe
അങ്ങിനെയുള്ള	əŋgiːnɛjoːlː
അങ്ങിനെയെങ്കില്	əŋːiːn̪eːeŋkil
അങ്ങിനെയെങ്കിൽ	əŋːiˌneːŋgiɭ
അങ്ങിനെയെന്തെങ്കിലും	əŋːinejeːŋəɭum
അങ്ങിനെയൊന്നും	əŋːiˌneːjoˈnːum
അങ്ങിനെയൊന്നുമില്ല	əŋːiˌnejoˈnːumɪɭːə
അങ്ങിനെയൊന്ന്	əŋːiˌnejoŋː
അങ്ങിനെയൊരു	əŋːiˌneːjoɾu
അങ്ങിനെയോ	əŋːiˈneːjo
അങ്ങിനേയോ	əŋgiˈneːo
അങ്ങു	əŋːu
അങ്ങുന്നേ	əŋːun̪n̪eː
അങ്ങുമിങ്ങും	əŋːumiŋːu
അങ്ങെനെ	əŋːeːnə
അങ്ങെന്നെ	əŋgen̪nɛ
അങ്ങേ	əŋgeː
അങ്ങേക്ക്	əŋːeːk
അങ്ങേനെയാണ്	əŋːeːneːaːm
അങ്ങേയറ്റം	əŋːeːɖɐm
അങ്ങേയറ്റത്തെ	əŋgeːɳɳeːɳɳeː
അങ്ങേയ്	əŋːeː
അങ്ങേയ്ക്	əŋːeːk
അങ്ങേയ്ക്കും	əŋːeːkːu
അങ്ങേയ്ക്ക്	əŋːeːk
അങ്ങേരു	əŋːeːru
അങ്ങേരും	əŋːeːɾum
അങ്ങേരുടെ	əŋːeːɾuɖe
അങ്ങേരെ	əŋːeːɾe
അങ്ങേരോട്	əŋːeːɾoːɖ
അങ്ങേര്	əŋːeːɾə
അങ്ങോട്ട്	əŋgeːɐɭt̪ː
അങ്ങേർ	əŋːeːr
അങ്ങേർക്കു	əŋːeːrku
അങ്ങേർക്ക്	əŋːeːrkɨ
അങ്ങോട്	əŋːoːʈ
അങ്ങോട്ടാണ്	əŋːoːʈəːm
അങ്ങോട്ടു	əŋːoːʈʈu
അങ്ങോട്ടും	əŋːoːʈːum
അങ്ങോട്ടുമിങ്ങോട്ടും	əŋːoːʈːumiŋːoːʈːum
അങ്ങോട്ടുള്ള	əŋːoːɖuɭːə
അങ്ങോട്ടേക്ക്	əŋːoːʈːeːk
അങ്ങോട്ട്	əŋːoːʈʈ
അങ്ങോര്	əŋːoːɾə
അങ്ങോർ	əŋːoːr
അങ്ങ്	əŋː
അച്ചടക്ക	ɐt̚tʃɐɖɐkkɐ
അച്ചടക്ക	əʈːɐkːɐ
അച്ചടക്കം	ɐt̚tʃɐɖɐkkɐm
അച്ചടക്കം	əʈːɐɖːə
അച്ചടക്കത്തെ	əʈːɐɖːəkkə
അച്ചടക്കവും	əʈːɐɖːɐʋu
അച്ചടിക്കുക	ɐt̚tʃɐɖikkugɐ
അച്ചടിയന്ത്രം	ɐt̚tʃɐɖijɐn̪d̪rɐm
അച്ചനെ	əʈːənɛ
അച്ചനെയും	əʈːənəɾeː
അച്ചനോട്	əʈːəɳoːʈ
അച്ചന്	əʈʈə
അച്ചന്മാര്	əʈʈən̪mɑːɾə
അച്ചന്റെ	əʈːəɳːe
അച്ചാ	əʈːɑ
അച്ചായൻ	ɐt̚tʃaːjɐn
അച്ചാറുകള്	əʈʂɑːɾɨʈɨl
അച്ചാർ	ɐt̚tʃaːr
അച്ചി	ɐt̚tʃi
അച്ചിങ്ങ	ɐt̚tʃiŋŋɐ
അച്ചുകള്	əʈːugəl
അച്ചുതൻ	ɐt̚tʃud̪ɐn
അച്ചോ	əʈʈo
അച്ച്	ɐt̚tʃə̆
അച്ചൻ	ɐt̚tʃɐn
അച്ചൻ	əʈʂɐn
അച്ഛനമ്മമാരുടെ	əʧːənɨmːɐːɾuʈe
അച്ഛനമ്മമാരെ	əʈːənamːəɾe
അച്ഛനമ്മമാര്	əʧːənɐmːɐːɾə
അച്ഛനമ്മമാർ	əʧːənɐmːɐːr
അച്ഛനല്ല	əʧːənɐɭː
അച്ഛനല്ലേ	əʧːənɐlle
അച്ഛനാ	əʧːənɑ
അച്ഛനാണോ	əʈʃːənɑːɳoː
അച്ഛനാണ്	əʈːɕɐnɑː
അച്ഛനായി	əʧːənɑːj
അച്ഛനായിരുന്നു	əʈːɕɐnuːɾɐː
അച്ഛനില്	əʧːəniɭ
അച്ഛനില്ലാത്ത	əʧːɨnɪɭːɐt̪ːʰ
അച്ഛനു	əʈʃːənu
അച്ഛനും	əʧːɨn̪u
അച്ഛനുണ്ട്	əʈːʃːən̪uɭʈ
അച്ഛനുമമ്മയും	əʧːənuməmməju
അച്ഛനുമായി	əʈːɕɐnʊmɑːi
അച്ഛനുള്ളതാണ്	əʧːɐnuɭːtɑːm
അച്ഛനു്	əʧːənuː
അച്ഛനെ	əʧːənɛ
അച്ഛനെക്കാളും	əʧːənɛkːɑːɭum
അച്ഛനെക്കുറിച്ച്	əʧːəneːguɾitʃːu
അച്ഛനെന്നെ	əʈːənneː
അച്ഛനെപ്പോലെ	əʈːəneːpːoːlə
അച്ഛനെയും	əʈːəɳəɾeː
അച്ഛനേയും	əʈːɕɐnɛjʌm
അച്ഛനൊരു	əʧːənɔɾu
അച്ഛനോ	əʈːɕɐno
അച്ഛനോടും	əʧːɐnɔːʈʊm
അച്ഛനോട്	əʈːʌnɔːʈ
അച്ഛന്	əʧːən
അച്ഛന്മാര്	əʧːəŋmɑːɾə
അച്ഛന്റെ	əʈːəɳːe
അച്ഛന്റെയും	əʧːənt̪eːjʉm
അച്ഛാ	əʈʂːɑː
അച്ഛൻ	ɐt̚tʃʰɐn
അച്ഛൻ	əʈːəɳ
അച്ഛൻറെ	əʈːəɳɳe
അഛ	əɕ
അഛനും	əʈʃənum
അഛനെ	əʈɕɛnɛ
അഛന്	əʈʃən
അഛന്റെ	əʈʃənt̪e
അഛാ	əʈʃɑː
അഛ്ചന്	əʈʃəɳə
അഛ്ചൻ	əʈʃɨɳ
അഛൻ	əɕɳ
അജയ്	əɟəɪ
അജയ്ക്ക്	əgɐjɨkːu
അജീത്	əgiːt̪
അജു	əɟu
അജ്ഞത	ɐɟɲɐd̪ɐ
അജ്ഞാത	ɐɟɲaːd̪ɐ
അജ്ഞാത	əgɲɑːt̪
അജ്ഞാതനായ	əgɲɑːt̪ənɑːj
അജ്ഞാതമാണ്	əgɲɑːt̪ːɑːmːit̪ː
അജ്ഞാതമായ	əgɲɑːt̪əmojɑː
അജ്ഞാതൻ	əgɲɑːt̪ə̆
അജ്ഞാനം	ɐɟɲaːnɐm
അഞ്ചടി	əɳɖɪ
അഞ്ചനം	ɐn̠ʲdʒɐnɐm
അഞ്ചര	əɳɖəɾ
അഞ്ചാം	ɐn̠ʲdʒaːm
അഞ്ചാം	əɳdʒɑːm
അഞ്ചാമത്തെ	əɳdʒɑːmɨt̪ːe
അഞ്ചായി	əɳdʒɑːi
അഞ്ചാറു	əɳdʒɑːru
അഞ്ചിതം	ɐn̠ʲdʒid̪ɐm
അഞ്ചിന്	əɳdʒiɳ
അഞ്ചില്	əɳdʒiɭ
അഞ്ചു	əɳdʒu
അഞ്ചും	əɳdʒu
അഞ്ചുക	ɐn̠ʲdʒugɐ
അഞ്ചുകൾ	əɳdʒuʈʃɛ
അഞ്ചുദിവസം	əɳd̪ʐɨd̪ʋɐsɐm
അഞ്ചുപേരെ	əɳdʒʋeːpɛːɾe
അഞ്ചുമണിക്ക്	əɳdʒuməɳik
അഞ്ചുമിനുട്ട്	əɳdʒumɪɳuʈː
അഞ്ചുവണ്ണം	ɐn̠ʲdʒuʋɐɳɳɐm
അഞ്ചുവര്	əɳdʒʋəɾə
അഞ്ചെണ്ണം	əɳdʒenːə̆m
അഞ്ചോ	əɳdʒoː
അഞ്ച്	ɐn̠ʲdʒə̆
അഞ്ച്	əɳɕ
അഞ്ചൽ	ɐn̠ʲdʒɐl
അഞ്ജന	ɐn̠ʲdʒɐnɐ
അഞ്ജനവർണ്ണൻ	ɐn̠ʲdʒɐnɐʋɐrɳɳɐn
അഞ്ജലി	ɐn̠ʲdʒɐli
അഞ്ഞൂറ്	əɳɖuːɾ
അടക്കം	əɳgɐm
അടക്കണം	əɳgɐɳɐ
അടക്കണോ	əɳgɐno
അടക്കമുള്ള	əɳɳakːəmuɭːə
അടക്കാം	əɳɳɐm
അടക്കാന്	əɳgaːn
അടക്കാമോ	əɳɳɐːmoː
അടക്കാൻ	əɳɳɐː
അടക്കി	əɳgi
അടക്കിപ്പിടിച്ച	əɳɳɐkːipːiɖit̪t̪ʃɐ
അടക്കിയത്	əɳɳakːijɐt̪
അടക്കിയിരിക്കുന്നത്	əɳɳɐkːijɪɾɐn̪n̪əɖɨ
അടക്കു	əɳgu
അടക്കും	əɳgum
അടക്കുക	əɳgɨkːu
അടക്കുന്ന	əɳgun̪
അടക്കുന്നത്	əɳgɐɳɳɛt̪ː
അടക്കുന്നു	əɳguɳː
അടക്കുന്നുണ്ട്	əɳguɳuɳt̪u
അടക്കുമ്പോളും	əɳgɔmbuɭɭoːɭ
അടക്കൂ	əɳguː
അടക്കേണ്ട	əɳɳəkeːɳɳə
അടക്ക്	əɳɳəgu
അടങ്	əɳg
അടങ്ങാത്ത	ɐɖɐŋgɐt̪ː
അടങ്ങി	əɳgi
അടങ്ങിയ	əɳgiə
അടങ്ങിയതാണ്	əɳgijɐtɐːm
അടങ്ങിയിരിക്കാന്	ɐɳgijirɪkɑːn
അടങ്ങിയിരിക്കുന്നു	ɐɳgijirikkɐn̪ɳɔ
അടങ്ങിയിരിക്കൂ	əɳgijirɪkuː
അടങ്ങിയിരിക്ക്	əɳgijirikkɨ
അടങ്ങിയെ	ɐɳgijɛ
അടങ്ങു	ɐɳgu
അടങ്ങൂ	ɐɳguː
അടങ്ങ്	əɳğ
അടച്ച	əɳɳəɳɳə
അടച്ചതാണ്	ɐɖɐt̪t̪ɐ
അടച്ചത്	əɳɳɐt̪ːə
അടച്ചാല്	əɳɳɐːl
അടച്ചിടാന്	əɳɳəɳə
അടച്ചിടും	əɳɳɐɳɳiɳɳu
അടച്ചിടുന്നു	əɳɳəɳɳu
അടച്ചിട്ട	əɳɳɐtʃːiɳɳi
അടച്ചിട്ടുണ്ട്	əɳɳəɳɳəɳɳəɳɳʌɳɳəɳɳʌɳɳəɳɳʌɳɳəɳɳʌɳɳəɳ�
അടച്ചിരിക്കണം	əɳɳɐtʃiɾikɐɳɐm
അടച്ചിരിക്കുകയാണ്	əɳɳɐtʃːiɾikːɐːn
അടച്ചിരിക്കുന്നു	əɳɳɐtʃːiɾɐɳɳoː
അടച്ചിരുന്നു	ɐɖɒtʃɒbɒn̪n̪u
അടച്ചു	əɳɳəɳɳu
അടച്ചുകഴിഞ്ഞു	ɐɖɒtɕukɒɻiɳɳu
അടച്ചുപൂട്ടി	əɳɳɨɳɨpuːɳɨ
അടച്ചേക്കു	əɳɳɛtʃeːku
അടച്ചോ	ɐɖɒtɕo
അടച്ചോളൂ	əɳɳɒːɭuː
അടച്ച്	əɳɳəɳtʃ
അടഞ്ഞ	ɐɳɳɐ
അടഞ്ഞു	əɳɳu
അടപ്പ്	əɳɳəpː
അടയാളം	əɳɳɑːɭɑːm
അടയാളങ്ങളില്	əɳɳɑːɭəɳɳɑːɭil
അടയാളങ്ങളുണ്ട്	əɳɳɐːjɑːɭɐnɳɯɭʋʌɭ
അടയാളങ്ങളോ	ɐɖəɾɑːɭəɭəɳoː
അടയാളങ്ങള്	əɳɳɑːɭɑːɳɳɑːɭ
അടയാളങ്ങൾ	əɳɳɐːɳgɐːl
അടയാളമാണ്	əɳɳaːɭɐːmːɐː
അടയാളമായി	əɳɳɐːjɑːɭɑːmɑɪ
അടയാളവും	əɳɳɑːɭɑːɭʋʊm
അടയുന്നു	əɳɳəɳɳu
അടയ്ക്കണം	ɐɖɐjkan̪ɳɐ
അടയ്ക്കാന്	əɳɳɐːkɐːn
അടയ്ക്കു	əɳɳɐku
അടയ്ക്കും	əɳɳəgum
അടയ്ക്കുകയും	əɳɳɨkɨmʊɾʊ
അടയ്ക്കുന്നു	ɐɖɐɭɨkuɳɳu
അടയ്ക്കൂ	ɐɖɐjkːuː
അടയ്ക്ക്	ɐɖɐk
അടവാണ്	əɳɳɑː
അടവുകള്	əɳɳʊkəl
അടവുകൾ	ɐɖəvuɭə
അടവ്	ɐɖəʋ
അടി	əɳɳi
അടികള്	ɐɖikɐɭ
അടിക്കണം	əɳɨkɐɳɨ
അടിക്കണമെന്ന്	əɳɨkɨnɨmɛɳɨ
അടിക്കണോ	əɳgɨɳo
അടിക്കണ്ട	ɐɖɪkɐɳɖ
അടിക്കരുത്	əɳɪkːəɾʊt̪
അടിക്കല്ലേ	əɳɪkɪllaː
അടിക്കവനെ	əɳɪkːəʋənɛ
അടിക്കവളെ	ɐɖɪkːəʋələ
അടിക്കാം	əɳɪkɐːm
അടിക്കാതെ	ɐɖɪkːɐːt̪e
അടിക്കാന്	əɳgaːnə
അടിക്കാൻ	ɐɖɪkɑːɳ
അടിക്കില്ല	əɳɪkɪɭː
അടിക്കു	əɳɪku
അടിക്കും	əɳɪkɨm
അടിക്കുക	ɐɖɪkːu
അടിക്കുകയും	əɳɪkɨmuʈɨ
അടിക്കുന്ന	əɳɳɨkːoːn
അടിക്കുന്നത്	əɳɳəkuɳəɳə
അടിക്കുന്നു	əɳɳɐkːɐ
അടിക്കുന്നോ	ɐɳʈiŋŋo
അടിക്കുമോ	əɳɪkːumɔ
അടിക്കൂ	əɳɪkuː
അടിക്കെടാ	əɳɪkːeɖɑ
അടിക്ക്	əɳɪkːu
അടിച്ച	ɐɖit̪t̪ɕ
അടിച്ചതിനു	ɐɖit̪t̪iŋu
അടിച്ചതിന്	əɳiʈːit̪iŋɨ
അടിച്ചതെന്ന്	əɳiʈːət̪enːə
അടിച്ചത്	əɳɪt̪ːə
അടിച്ചമര്	əɳɪtʃəmaɾʊ
അടിച്ചാലോ	əɳiʈːɑːloː
അടിച്ചാല്	ɐɖitʃɑːl
അടിച്ചാൽ	əɳiʈːɑːl
അടിച്ചിട്ടുണ്ട്	əɳiʈːiʈːuɳʈu
അടിച്ചിട്ട്	ɐɖiʈːiʈ
