අ	a
දුවනවා	duʋənəʋaː
දෙනවා	denaʋaː
දොළ	doɭa
ධ	d̪a
න	na
නගනවා	naganaʋaː
නැගෙනහිර	nægenahira
නිදනවා	niⁿdanawaː
නෙරනවා	neranavaː
ඳ	ⁿda
ප	pa
පටන්	paʈan
පණුවා	panuʋaː
පන	pənə
පනාව	panaːʋa
පරිප්පු	pəripəpu
පල්ල	palla
පල්ලල	pallala
පවුර	paʋura
පළාත	paɭaːt̪a
ප්රේත	preːta
පාකිස්ථානය	paːkist̪aːn̪aja
පැණි	pæni
පිට	piʈa
පිටි	piʈi
පිලි	pili
පීනනවා	piːnanaʋaː
පුරුදු	purudu
පූසා	puːsaː
පෙඳ	peⁿda
පෙර	pera
පේ	peː
පෝච්චිය	poːtʃtʃija
ඵ	pa
බ	ba
බංගලාදේශය	bam̃galaːd̪eːʃaja
බටු	baʈu
බත	bata
බදනවා	badanaʋaː
බදුල්ල	badulla
බඳිනවා	baⁿdinaʋaː
බප	bapa
බබලනවා	babalanaʋaː
බර	bara
බල	bala
බස්නාහිර	basnaːhira
බ්‍රසීලය	brasiːlaja
බානවා	baːnaʋaː
බැහැර	bæhæra
බිරි	biri
බිහිරි	bihiri
බුද්ධි	buddi
බෙක	beka
බෙරය	beraja
බොනවා	bonəwaː
බොබ්	bob
බෝක්කුව	boːkkuʋa
භ	ba
ම	ma
මඩ	maɖa
මඩකලපුව	maɖakalapuʋa
මඩිනවා	maᶯɖinaʋaː
මඩුල්ල	maɖilla
මත්ත	matta
මධ්‍යම	madjama
මන	mana
මර	mara
මහත	mahata
මහනුවර	mahanuʋara
මැටි	mæʈi
මිටිය	miʈija
මිතුරු	mituru
මිදුල	midula
මිශ්‍ර	misra
මුගුර	mugura
මුරුංගා	murum̃gaː
මෙක්සිකෝව	meksikoːwa
ඹ	ᵐba
යට	jaʈa
යම	jama
යහන	jahana
යාපනය	jaːpanaja
යෙළ	jeɭa
ර	ra
රට	rəʈə
රත්නපුර	ratnapura
රළු	raɭu
රාජධානිය	raːdʒadaːnija
රාජපක්ෂ	raːdʒəpəkəʃə
රැලි	ræli
රිදී	ridiː
රිදෙනවා	ridenaʋaː
රියඟ	rijəᵑgə
රියන්	rijən
රුපියල	rupijala
රුවල්	ruwələ
ල	la
ලක්ෂය	laksəjə
ලනවා	lənəwaː
ලබනවා	labanaʋaː
ලියනවා	lijanaʋaː
ලේ	leː
ව	ʋa
වට	wəʈə
වණ්ෂ	vansa
වදනවා	ʋadanaʋaː
වයඹ	ʋajaᵐba
වර	ʋara
වර්ග	ʋarga
වරෙණ්ය	ʋaɾenja
වළ	ʋaɭa
විදුලිය	vidulija
වී	wiː
වෙනවා	ʋenaʋaː
ශ	sa
ශ්වාස	svaːsa
ශ්‍රී	sriː
ශුද්ධ	sudda
ෂ	sa
සදනවා	sadanaʋaː
සබරගමුව	sabaragamuʋa
සලනවා	salanaʋaː
සාහිත්‍යය	saːhitjaja
සිංහයා	siŋhəjaː
සිංහල	siŋhala
සුබ	subə
සුරුට්ටුව	s̪uɾuʈʈuʋə
සුලුප්පුව	suluppuʋa
සෙය	sejə
සෙරෙප්පුව	serepəpuwə
සොබන	sobənə
හකුරු	hakuɾu
හපනවා	hapanaʋaː
හම්බන්තොට	həməbən̪ət̪oʈə
හානවා	haːnaʋaː
හිටිනවා	hiʈinaʋaː
හුළු	huɭu
හෙණ	hena
හෙළනවා	heɭanaʋaː
හොවිනවා	hoʋinaʋaː
