㔂	lan˨˦
一仙錢	tsit˦sian˥˧tsĩ˨˦
一代窮空	tsit˦tai˧˧kʰiŋ˨˦kʰoŋ˥˥
一代親	it˨tai˧˧tsʰin˥˥
一來	it˨lai˨˦
一來我無時間	it˨lai˨˦gua˥˧bo˨˦si˨˦kan˥˥
一個月內	tsit˦ko˨˩gueʔ˦lai˧˧
一兼二顧	it˨kiam˥˥dzi˧˧kɔ˨˩
一再	it˨tsai˨˩
一冬	tsit˦taŋ˥˥
一刀兩斷	it˨to˥˥lioŋ˥˧tuan˧˧
一分貨	tsit˦hun˥˥hue˨˩
一分錢	tsit˦hun˥˥tsĩ˨˦
一分鐘	tsit˦hun˥˥tsiŋ˥˥
一切	it˨tsʰe˨˩
一勻塗	tsit˦un˨˦tʰɔ˨˦
一包米	tsit˦pau˥˥bi˥˧
一匹布	tsit˦pʰit˨pɔ˨˩
一千箍	tsit˦tsʰiŋ˥˥kʰɔ˥˥
一千賒毋值八百現	tsit˦tsʰiŋ˥˥sia˥˥m˥˥tat˦peʔ˨paʔ˨hian˧˧
一升米	tsit˦tsin˥˥bi˥˧
一半	tsit˦pũã˨˩
一半个仔	tsit˦pũã˨˩e˨˦a˥˧
一半分你	tsit˦pũã˨˩pun˥˥li˥˧
一半擺仔	tsit˦pũã˨˩pai˥˧a˥˧
一半日仔	tsit˦pũã˨˩dzit˦a˥˧
一口井	tsit˦kʰau˥˧tsẽ˥˧
一口劍	tsit˦kʰau˥˧kiam˨˩
一口灶	tsit˦kʰau˥˧tsau˨˩
一句話	tsit˦ku˨˩ue˧˧
一句話三角六尖	tsit˦ku˨˩ue˧˧sã˥˥kak˨lak˦tsiam˥˥
一只衛生紙	tsit˦tsi˥˧ue˧˧siŋ˥˥tsua˥˧
一台車	tsit˦tai˨˦tsʰia˥˥
一台電視	tsit˦tai˨˦tian˧˧si˧˧
一向	it˨hioŋ˨˩
一喙掛雙舌	tsit˦tsʰui˨˩kua˨˩siaŋ˥˥tsiʔ˦
一四界	tsit˦si˨˩ke˨˩
一垺屎	tsit˦pu˨˦sai˥˧
一夜情	tsit˦ia˧˧tsiŋ˨˦
一大堆	tsit˦tua˧˧tui˥˥
一大拖	tsit˦tua˧˧tʰua˥˥
一子弓蕉	tsit˦dzi˥˧kiŋ˥˥tsio˥˥
一定	it˨tiŋ˧˧
一定愛會記得	it˨tiŋ˧˧ai˨˩e˧˧ki˨˩tit˨
一家之主	it˨ka˥˥tsi˥˥tsu˥˧
一家伙仔	tsit˦ke˥˥hue˥˧a˥˧
一家口	tsit˦ke˥˥kʰau˥˧
一寡	tsit˦kua˥˧
一寡仔	tsit˦kua˥˧a˥˧
一對時	tsit˦tui˨˩si˨˦
一屑仔	tsit˦sut˨a˥˧
一屑仔代誌都辦袂好勢	tsit˦sut˨a˥˧tai˧˧tsi˨˩to˥˥pan˧˧be˧˧ho˥˧se˨˩
一屑仔借我	tsit˦sut˨a˥˧tsioʔ˨gua˥˧
一年換二十四个頭家	tsit˦ni˨˦ũã˧˧dzi˧˧tsap˦si˨˩e˨˦tʰau˨˦ke˥˥
一弓弓蕉	tsit˦kiŋ˥˥kiŋ˥˥tsio˥˥
一律	it˨lut˦
一心一意	it˨sim˥˥it˨i˨˩
一必一中	it˨pit˨it˨tioŋ˨˩
一戶人家	tsit˦hɔ˧˧dzin˨˦ke˥˥
一打汽水	tsit˦tã˥˧kʰi˨˩tsui˥˧
一支喙	tsit˦ki˥˥tsʰui˨˩
一支骨	tsit˦ki˥˥kut˨
一支鼻	tsit˦ki˥˥pʰĩ˧˧
一斗較贏九石	tsit˦tau˥˧kʰaʔ˨ĩã˨˦kau˥˧tsioʔ˨
一日	tsit˦dzit˦
一日到暗	tsit˦dzit˦kau˨˩am˨˩
一日剃頭	tsit˦dzit˦tʰi˨˩tʰau˨˦
一日徙栽	tsit˦dzit˦sua˥˧tsai˥˥
一日討海	tsit˦dzit˦tʰo˥˧hai˥˧
一日走拋拋	tsit˦dzit˦tsau˥˧pʰa˥˥pʰa˥˥
一旦	it˨tan˨˩
一旦地動	it˨tan˨˩te˧˧taŋ˧˧
一時	tsit˦si˨˦
一時仔	tsit˦si˨˦a˥˧
一暝全頭路	tsit˦me˨˦tsuan˨˦tʰau˨˦lɔ˧˧
一暝點燈膋	tsit˦me˨˦tiam˥˧tiŋ˥˥la˨˦
一月日	tsit˦gueʔ˦dzit˦
一本冊	tsit˦pun˥˧tsʰeʔ˨
一枝草	tsit˦ki˥˥tsʰau˥˧
一某無人知	tsit˦bɔ˥˧bo˨˦laŋ˨˦tsai˥˥
一概	it˨kʰai˨˩
一模一樣	it˨bɔ˨˦it˨ĩũ˧˧
一樣米飼百樣人	tsit˦ĩũ˧˧bi˥˧tsʰi˧˧paʔ˨ĩũ˧˧laŋ˨˦
一步棋	tsit˦pɔ˧˧ki˨˦
一步著	tsit˦pɔ˧˧tioʔ˨
一比五	it˨pi˥˧gɔ˧˧
一流	it˨liu˨˦
一爿	tsit˦piŋ˨˦
一爿西瓜	tsit˦piŋ˨˦si˥˥kue˥˥
一片	it˨pʰian˨˩
一片枋仔	tsit˦pʰĩ˨˩paŋ˥˥a˥˧
一生	it˨siŋ˥˥
一甲子	tsit˦kaʔ˨tsi˥˧
一疕仔	tsit˦pʰi˥˧a˥˧
一百空一	tsit˦paʔ˨kʰoŋ˨˩it˨
一目𥍉仔	tsit˦bak˦niʔ˨a˥˧
一直	it˨tit˦
一直向前行	it˨tit˦hioŋ˨˩tsian˨˦kĩã˨˦
一睏仔	tsit˦kʰun˨˩a˥˧
一知半解	it˨ti˥˥puan˨˩kai˥˧
一礐屎	tsit˦hak˦sai˥˧
一箍是大箍抑細箍	tsit˦kʰɔ˥˥si˧˧tua˧˧kʰɔ˥˥iaʔ˦se˨˩kʰɔ˥˥
一粒一	it˨liap˦it˨
一粒田螺煮九碗公湯	tsit˦liap˦tsʰan˨˦le˨˦tsu˥˧kau˥˧ũã˥˧koŋ˥˥tʰŋ˥˥
一粒米	tsit˦liap˦bi˥˧
一絲仔	tsit˦si˥˥a˥˧
一耳空入	tsit˦hĩ˧˧kʰaŋ˥˥dzip˦
一耳空出	tsit˦hĩ˧˧kʰaŋ˥˥tsʰut˨
一致	it˨ti˨˩
一般	it˨pũã˥˥
一般人攏真愛面子	it˨pũã˥˥laŋ˨˦loŋ˥˧tsin˥˥ai˨˩bin˧˧tsu˥˧
一蕊花	tsit˦lui˥˧hue˥˥
一觸久仔	tsit˦tak˨ku˥˧a˥˧
一貫	it˨kuan˨˩
一路	tsit˦lɔ˧˧
一連串	it˨lian˨˦tsʰuan˨˩
一遍賊	tsit˦pian˨˩tsʰat˦
一邊	tsit˦pĩ˥˥
一鄉一俗	tsit˦hioŋ˥˥tsit˦siok˨
一錢	it˨tsʰian˨˦
一隻牛剝雙領皮	tsit˦tsiaʔ˨gu˨˦pak˨siaŋ˥˥nia˥˧pʰue˨˦
一隻蝨母嗙甲水牛大	tsit˦tsiaʔ˨sat˨bo˥˧poŋ˨˩kaʔ˨tsui˥˧gu˨˦tua˧˧
一霎仔久	tsit˦tiap˨a˥˧ku˥˧
一面	tsit˦bin˧˧
一面抹壁雙面光	tsit˦bin˧˧buaʔ˨piaʔ˨siaŋ˥˥bin˧˧kŋ˥˥
一面讀冊	tsit˦bin˧˧tʰak˦tsʰeʔ˨
一頓會當食六碗飯	tsit˦tǹg1e˧˧taŋ˨˩tsiaʔ˦lak˦ũã˥˧pŋ˥˥
一體	it˨tʰe˥˧
一點仔	tsit˦tiam˥˧a˥˧
一點露	tsit˦tiam˥˧lɔ˧˧
丁	tiŋ˥˥
七	tsʰit˨
七个人	tsʰit˨e˨˦laŋ˨˦
七仔較興八仔	tsʰit˨a˥˧kʰaʔ˨hiŋ˨˩peʔ˨a˥˧
七分妝	tsʰit˨hun˥˥tsŋ˥˥
七分靠拍拚	tsʰit˨hun˥˥kʰo˨˩pʰaʔ˨pĩã˨˩
七坐八爬九發牙	tsʰit˨tse˧˧peʔ˨pe˨˦kau˥˧huat˨ge˨˦
七堵	tsʰit˨tɔ˥˧
七夕	tsʰit˨siaʔ˦
七娘媽	tsʰit˨niu˨˦ma˥˧
七娘媽生	tsʰit˨niu˨˦ma˥˧sẽ˥˥
七孔	tsʰit˨kʰoŋ˥˧
七字仔	tsʰit˨dzi˧˧a˥˧
七張	tsʰit˨tĩũ˥˥
七早八早	tsʰit˨tsa˥˧peʔ˨tsa˥˧
七星	tsʰit˨tsʰẽ˥˥
七星陣	tsʰit˨tsʰẽ˥˥tin˧˧
七晏八晏	tsʰit˨ũã˨˩peʔ˨ũã˨˩
七月半	tsʰit˨gueʔ˦pũã˨˩
七月半鴨仔	tsʰit˨gueʔ˦pũã˨˩aʔ˨a˥˧
七爺	tsʰit˨ia˨˦
七爺八爺	tsʰit˨ia˨˦peʔ˨ia˨˦
七老八老	tsʰit˨lau˧˧peʔ˨lau˧˧
七里香	tsʰit˨li˥˧hioŋ˥˥
七除八扣	tsʰit˨tu˨˦peʔ˨kʰau˨˩
丈	tŋ˥˥
丈人	tĩũ˧˧laŋ˨˦
丈人公	tĩũ˧˧laŋ˨˦koŋ˥˥
丈人媽	tĩũ˧˧laŋ˨˦ma˥˧
丈人爸	tĩũ˧˧laŋ˨˦pa˨˦
丈公	tĩũ˧˧koŋ˥˥
丈姆	tĩũ˧˧ḿ1
丈姆婆	tĩũ˧˧ḿ1po˨˦
三	sam˥˥
三	sã˥˥
三七仔	sam˥˥tsʰit˨a˥˧
三不五時	sam˥˥put˨gɔ˧˧si˨˦
三不服	sam˥˥put˨hok˨
三不等	sam˥˥put˨tiŋ˥˧
三人共五目	sã˥˥laŋ˨˦kaŋ˧˧gɔ˧˧bak˦
三仔五	sã˥˥a˥˧gɔ˧˧
三代毋捌了了	sã˥˥tai˧˧m˥˥bat˨liau˥˧liau˥˧
三代粒積	sã˥˥tai˧˧liap˦tsik˨
三八	sam˥˥pat˨
三八人	sam˥˥pat˨laŋ˨˦
三八婦女節	sam˥˥pat˨hu˧˧li˥˧tseʔ˨
三八氣	sam˥˥pat˨kʰui˨˩
三分人	sã˥˥hun˥˥laŋ˨˦
三分天註定	sã˥˥hun˥˥tʰĩ˥˥tsu˨˩tĩã˧˧
三千以上	sã˥˥tsʰiŋ˥˥i˥˧sioŋ˧˧
三叩首	sam˥˥kʰio˨˩siu˥˧
三和國中	sam˥˥ho˨˦kok˨tioŋ˥˥
三國	sam˥˥kok˨
三坑	sã˥˥kʰẽ˥˥a˥˧
三塊厝	sã˥˥te˨˩tsʰu˨˩
三多商圈	sam˥˥to˥˥sioŋ˥˥kʰuan˥˥
三太子	sam˥˥tʰai˨˩tsu˥˧
三姓橋	sam˥˥siŋ˨˩kio˨˦
三媠	sã˥˥sui˥˧
三尺	sã˥˥tsʰioʔ˨
三層	sam˥˥tsan˨˦
三層肉	sam˥˥tsan˨˦baʔ˨
三山國王	sam˥˥san˥˥kok˨oŋ˨˦
三年一閏	sã˥˥ni˨˦tsit˦dzun˧˧
三心兩意	sam˥˥sim˥˥lioŋ˥˧i˨˩
三思	sam˨˩su˥˥
三思而後行	sam˨˩su˥˥dzi˨˦hio˧˧hiŋ˨˦
三教	sam˥˥kau˨˩
三教九流	sam˥˥kau˨˩kiu˥˧liu˨˦
三文魚	sam˥˥bun˨˦hi˨˦
三斗米	sã˥˥tau˥˧bi˥˧
三日徛黃	sã˥˥dzit˦kʰia˧˧ŋ˥˥
三日曝網	sã˥˥dzit˦pʰak˦baŋ˧˧
三日無餾	sã˥˥dzit˦bo˨˦liu˧˧
三日緣投	sã˥˥dzit˦ian˨˦tau˨˦
三時有陣	sam˥˥si˨˦iu˥˧tsun˧˧
三更	sã˥˥kẽ˥˥
三更半暝	sã˥˥kẽ˥˥pũã˨˩me˨˦
三更半暝走去墓仔埔	sã˥˥kẽ˥˥pũã˨˩me˨˦tsau˥˧kʰi˨˩boŋ˧˧a˥˧pɔ˥˥
三民	sam˥˥bin˨˦
三民高中	sam˥˥bin˨˦ko˥˥tioŋ˥˥
三溫暖	sam˥˥un˥˥luan˥˧
三牲	sam˥˥siŋ˥˥
三生有幸	sam˥˥siŋ˥˥iu˥˧hiŋ˧˧
三界公	sam˥˥kai˨˩koŋ˥˥
三界娘仔	sam˥˥kai˨˩niu˨˦a˥˧
三百六十行	sã˥˥paʔ˨lak˦tsap˦haŋ˨˦
三絃	sam˥˥hian˨˦
三線路	sam˥˥sũã˨˩lɔ˧˧
三義	sam˥˥gi˧˧
三肢手	sã˥˥ki˥˥tsʰiu˥˧
三色人講五色話	sam˥˥sik˨laŋ˨˦koŋ˥˧ŋɔ˥˧sik˨ue˧˧
三角	sã˥˥kak˨
三角六肩	sã˥˥kak˨lak˦kiŋ˥˥
三角窗	sã˥˥kak˨tʰaŋ˥˥
三角窗的厝來做店面上好	sã˥˥kak˨tʰaŋ˥˥e˨˦tsʰu˨˩lai˨˦tso˨˩tiam˨˩bin˧˧sioŋ˧˧ho˥˧
三角褲	sã˥˥kak˨kʰɔ˨˩
三角銀	sã˥˥kak˨gin˨˦
三講	sã˥˥koŋ˥˧
三貂嶺	sam˥˥tiau˥˥nia˥˧
三跤步一坎店	sã˥˥kʰa˥˥pɔ˧˧tsit˦kʰam˥˧tiam˨˩
三跤貓	sã˥˥kʰa˥˥niau˥˥
三跤貓笑一目狗	sã˥˥kʰa˥˥niau˥˥tsʰio˨˩tsit˦bak˦kau˥˧
三跤馬	sã˥˥kʰa˥˥be˥˧
三軍	sam˥˥kun˥˥
三輪車	sã˥˥lian˥˧tsʰia˥˥
三通	sam˥˥tʰoŋ˥˥
三重	sã˥˥tiŋ˨˦pɔ˥˥
三重國小	sam˥˥tioŋ˨˦kok˨sio˥˧
三長兩短	sã˥˥tŋ˥˥nŋ˥˥te˥˧
三除四扣	sã˥˥tu˨˦si˨˩kʰau˨˩
三隻狗	sã˥˥tsiaʔ˨kau˥˧
三頓	sã˥˥tǹg1
上	sioŋ˧˧
上	tsĩũ˧˧
上	tsʰĩũ˧˧
上下	sioŋ˧˧ha˧˧
上久	sioŋ˧˧ku˥˧
上任	tsĩũ˧˧dzim˧˧
上元	sioŋ˧˧guan˨˦
上元暝	sioŋ˧˧guan˨˦me˨˦
上加	sioŋ˧˧ke˥˥
上北	tsĩũ˧˧pak˨
上北的火車	tsĩũ˧˧pak˨e˨˦hue˥˧tsʰia˥˥
上升	sioŋ˧˧siŋ˥˥
上午	sioŋ˧˧ŋɔ˥˧
上卌袂攝	tsĩũ˧˧siap˨be˧˧liap˨
上台	tsĩũ˧˧tai˨˦
上員	sioŋ˧˧guan˨˦
上場	tsĩũ˧˧tĩũ˨˦
上天	sioŋ˧˧tʰian˥˥
上好	sioŋ˧˧ho˥˧
上將	sioŋ˧˧tsioŋ˨˩
上尺工	siaŋ˧˧tsʰe˥˥koŋ˥˥
上尾	sioŋ˧˧bue˥˧
上山	tsĩũ˧˧sũã˥˥
上山看山勢	tsĩũ˧˧sũã˥˥kʰũã˨˩sũã˥˥si˨˩
上山頭	tsĩũ˧˧sũã˥˥tʰau˨˦
上岸	tsĩũ˧˧hũã˧˧
上崎	tsĩũ˧˧kia˧˧
上市	tsĩũ˧˧tsʰi˧˧
上帝	sioŋ˧˧te˨˩
上帝公	sioŋ˧˧te˨˩koŋ˥˥
上師	sioŋ˧˧su˥˥
上手	tsĩũ˧˧tsʰiu˥˧
上教	tsĩũ˧˧ka˨˩
上校	sioŋ˧˧hau˧˧
上桌	tsĩũ˧˧toʔ˨
上櫃	tsĩũ˧˧kui˧˧
上殕	tsʰĩũ˧˧pʰu˥˧
上水	tsʰĩũ˧˧tsui˥˧
上濟	sioŋ˧˧tse˧˧
上濟錢了去爾爾	sioŋ˧˧tse˧˧tsĩ˨˦liau˥˧kʰi˨˩nia˧˧nia˧˧
上無	sioŋ˧˧bo˨˦
上班	sioŋ˧˧pan˥˥
上目	tsĩũ˧˧bak˦
上眠床	tsĩũ˧˧bin˨˦tsʰŋ˥˥
上童	tsĩũ˧˧taŋ˨˦
上等	sioŋ˧˧tiŋ˥˧
上等料理	sioŋ˧˧tiŋ˥˧liau˧˧li˥˧
上網	tsĩũ˧˧baŋ˧˧
上緊	sioŋ˧˧kin˥˧
上聲	sioŋ˥˧sĩã˥˥
上腳	tsĩũ˧˧kioʔ˨
上蓋	sioŋ˧˧kai˨˩
上蓋好	sioŋ˧˧kai˨˩ho˥˧
上蓋媠	sioŋ˧˧kai˨˩sui˥˧
上訴	sioŋ˧˧sɔ˨˩
上課	sioŋ˧˧kʰo˨˩
上路	tsĩũ˧˧lɔ˧˧
上踏枋	tsĩũ˧˧taʔ˦paŋ˥˥
上車	tsĩũ˧˧tsʰia˥˥
上轎才欲放尿	tsĩũ˧˧kio˧˧tsiaʔ˨beʔ˨paŋ˨˩dzio˧˧
上陸	tsĩũ˧˧liok˨
上青苔	tsʰĩũ˧˧tsʰẽ˥˥tʰi˨˦
上頭仔	sioŋ˧˧tʰau˨˦a˥˧
下	e˧˧
下	ha˧˧
下	he˧˧
下令	ha˧˧liŋ˧˧
下元	ha˧˧guan˨˦
下勻	e˧˧un˨˦
下午	ha˧˧ŋɔ˥˧
下半暝	e˧˧pũã˨˩me˨˦
下半身	e˧˧pũã˨˩sin˥˥
下台	ha˧˧tai˨˦
下司	e˧˧si˥˥
下垂	ha˧˧sui˨˦
下場	ha˧˧tĩũ˨˦
下山	ha˧˧san˥˥
下底	e˧˧te˥˧
下性命	he˧˧sẽ˨˩mia˧˧
下性命走	he˧˧sẽ˨˩mia˧˧tsau˥˧
下手	e˧˧tsʰiu˥˧
下手	he˧˧tsʰiu˥˧
下擺	e˧˧pai˥˧
下日仔	e˧˧dzit˦a˥˧
下早仔	e˥˥tsai˥˧a˥˧
下早仔伊有來揣你	e˥˥tsai˥˧a˥˧i˥˥u˧˧lai˨˦tsʰue˧˧li˥˧
下早仔去較袂熱	e˥˥tsai˥˧a˥˧kʰi˨˩kʰaʔ˨be˧˧dzuaʔ˦
下早仔水氣真重	e˥˥tsai˥˧a˥˧tsui˥˧kʰi˨˩tsin˥˥taŋ˧˧
下旬	ha˧˧sun˨˦
下昏	e˥˥hŋ˥˥
下昏暗	e˥˥hŋ˥˥am˨˩
下昏暗月娘真光	e˥˥hŋ˥˥am˨˩gueʔ˦niu˨˦tsin˥˥kŋ˥˥
下晝	e˧˧tau˨˩
下晝阮欲來去圖書館讀冊	e˧˧tau˨˩guan˥˧beʔ˨lai˨˦kʰi˨˩tɔ˨˦su˥˥kuan˥˧tʰak˦tsʰeʔ˨
下晝頓	e˧˧tau˨˩tǹg1
下晡	e˧˧pɔ˥˥
下暗	e˥˥am˨˩
下暗欲來阮兜予阮請無	e˥˥am˨˩beʔ˨lai˨˦guan˥˧tau˥˥hɔ˧˧guan˥˧tsʰĩã˥˧bo˨˦
下本	he˧˧pun˥˧
下水	ha˧˧sui˥˧
下水湯	ha˧˧sui˥˧tʰŋ˥˥
下港	e˧˧kaŋ˥˧
下港上出名	e˧˧kaŋ˥˧sioŋ˧˧tsʰut˨mia˨˦
下班	ha˧˧pan˥˥
下痟	ha˧˧siau˥˥
下級	ha˧˧kip˨
下落	he˧˧loʔ˨
下落不明	he˧˧loʔ˨put˨biŋ˨˦
下課	ha˧˧kʰo˨˩
下跤	e˧˧kʰa˥˥
下跤手人	e˧˧kʰa˥˥tsʰiu˥˧laŋ˨˦
下載	ha˧˧tsai˨˩
下輩	e˧˧pue˨˩
下鄉	ha˧˧hioŋ˥˥
下降	ha˧˧kaŋ˨˩
下集	ha˧˧tsip˦
下面	e˧˧bin˧˧
下頦	e˧˧hai˨˦
下頦尖尖	e˧˧hai˨˦tsiam˥˥tsiam˥˥
下顎	e˧˧kok˨
下願	he˧˧guan˧˧
下鹽	he˧˧iam˨˦
下𦜆	e˧˧ham˥˥
不	put˨
不三不四	put˨sam˥˥put˨su˨˩
不三時	put˨sam˥˥si˨˦
不中用	put˨tioŋ˨˩ioŋ˧˧
不仁	put˨dzin˨˦
不但	put˨tan˧˧
不便	put˨pian˧˧
不再	put˨tsai˨˩
不准	put˨tsun˥˧
不利	put˨li˧˧
不動產	put˨toŋ˧˧san˥˧
不只	put˨tsi˥˧
不可	put˨kʰo˥˧
不可思議	put˨kʰo˥˧su˥˥gi˧˧
不如	put˨dzu˨˦
不如家己走	put˨dzu˨˦ka˥˥ki˧˧tsau˥˧
不孕	put˨in˧˧
不孝	put˨hau˨˩
不孝囝	put˨hau˨˩kĩã˥˧
不孝怨爸母	put˨hau˨˩uan˨˩pe˧˧bu˥˧
不安	put˨an˥˥
不宜	put˨gi˨˦
不實	put˨sit˦
不平	put˨piŋ˨˦
不幸	put˨hiŋ˧˧
不得	put˨tik˨
不得了	put˨tik˨liau˥˧
不得已	put˨tik˨i˥˧
不才	put˨tsai˨˦
不敢當	put˨kam˥˧toŋ˥˥
不斷	put˨tuan˧˧
不明	put˨biŋ˨˦
不時	put˨si˨˦
不服	put˨hok˨
不止	put˨tsi˥˧
不止仔	put˨tsi˥˧a˥˧
不止仔好空	put˨tsi˥˧a˥˧ho˥˧kʰaŋ˥˥
不死鬼	put˨su˥˧kui˥˧
不比	put˨pi˥˧
不求人	put˨kiu˨˦dzin˨˦
不法	put˨huat˨
不法之徒	put˨huat˨tsi˥˥tɔ˨˦
不滿	put˨buan˥˧
不盡	put˨tsin˧˧
不知不覺	put˨ti˥˥put˨kak˨
不等	put˨tiŋ˥˧
不答不七	put˨tap˨put˨tsʰit˨
不管	put˨kuan˥˧
不管時	put˨kuan˥˧si˨˦
不義	put˨gi˧˧
不義之財	put˨gi˧˧tsi˥˥tsai˨˦
不而過	put˨dzi˨˦ko˨˩
不而過你嘛是愛去做工課	put˨dzi˨˦ko˨˩li˥˧ma˧˧si˧˧ai˨˩kʰi˨˩tso˨˩kʰaŋ˥˥kʰue˨˩
不肖	put˨siau˨˩
不良	put˨lioŋ˨˦
不解	put˨kai˥˧
不該	put˨kai˥˥
不論	put˨lun˧˧
不變	put˨pian˨˩
不足	put˨tsiok˨
不過	put˨ko˨˩
丑	tʰiu˥˧
丑仔	tʰiu˥˧a˥˧
丑時	tʰiu˥˧si˨˦
且慢	tsʰĩã˥˧ban˧˧
且慢一下	tsʰĩã˥˧ban˧˧tsit˦e˧˧
世	se˨˩
世	si˨˩
世上	se˨˩sioŋ˧˧
世事	se˨˩su˧˧
世事亂紛紛	se˨˩su˧˧luan˧˧hun˥˥hun˥˥
世交	se˨˩kau˥˥
世代	se˨˩tai˧˧
世俗	se˨˩siok˨
世俗人	se˨˩siok˨laŋ˨˦
世俗人有誠濟代誌看袂開	se˨˩siok˨laŋ˨˦u˧˧tsĩã˨˦tse˧˧tai˧˧tsi˨˩kʰũã˨˩be˧˧kʰui˥˥
世家	se˨˩ka˥˥
世局	se˨˩kiok˨
世情	se˨˩tsiŋ˨˦
世界	se˨˩kai˨˩
世界甜	se˨˩kai˨˩tĩ˥˥
世界貴	se˨˩kai˨˩kui˨˩
世紀	se˨˩ki˥˧
世貿	se˨˩bɔ˧˧
世運	se˨˩un˧˧
世間	se˨˩kan˥˥
世間人	se˨˩kan˥˥laŋ˨˦
世間人攏真自私	se˨˩kan˥˥laŋ˨˦loŋ˥˧tsin˥˥tsu˧˧su˥˥
丙	pĩã˥˧
丙等	pĩã˥˧tiŋ˥˧
並	piŋ˧˧
並	pʰiŋ˧˧
並且	piŋ˧˧tsʰĩã˥˧
个	e˨˦
中	tioŋ˥˥
中	tioŋ˨˩
中	tiŋ˨˩
中中仔	tioŋ˥˥tioŋ˥˥a˥˧
中人	tioŋ˥˥laŋ˨˦
中傷	tioŋ˨˩sioŋ˥˥
中元	tioŋ˥˥guan˨˦
中區	tioŋ˥˥kʰu˥˥
中午	tioŋ˥˥ŋɔ˥˧
中南海	tioŋ˥˥lam˨˦hai˥˧
中南美	tioŋ˥˥lam˨˦bi˥˧
中原	tioŋ˥˥guan˨˦
中古	tioŋ˥˥kɔ˥˧
中古時代	tioŋ˥˥kɔ˥˧si˨˦tai˧˧
中古車	tioŋ˥˥kɔ˥˧tsʰia˥˥
中和	tioŋ˥˥ho˨˦
中國	tioŋ˥˥kok˨
中型	tioŋ˥˥hiŋ˨˦
中壢	tioŋ˥˥lik˦
中大獎	tioŋ˨˩tua˧˧tsioŋ˥˧
中央	tioŋ˥˥ioŋ˥˥
中央	tioŋ˥˥ŋ˥˥
中央公園	tioŋ˥˥ioŋ˥˥koŋ˥˥hŋ˥˥
中學	tioŋ˥˥hak˦
中山	tioŋ˥˥san˥˥
中山國中	tioŋ˥˥san˥˥kok˨tioŋ˥˥
中山國小	tioŋ˥˥san˥˥kok˨sio˥˧
中年	tioŋ˥˥lian˨˦
中式	tioŋ˥˥sik˨
中心	tioŋ˥˥sim˥˥
中性	tioŋ˥˥siŋ˨˩
中意	tiŋ˨˩i˨˩
中指	tioŋ˥˥tsãĩ˥˧
中文	tioŋ˥˥bun˨˦
中旬	tioŋ˥˥sun˨˦
