!ਨਵੀਂ	nəviː
'ਬਾਹੁਬਲੀ'	baːhubliː
'ਬਾਗ਼ੀ	baːgi
'ਬਾਗ਼ੀ'	baːgiː
'ਬਾਜ਼ਾਰ'	baɻɑːr
'ਬਿਗ	big
'ਬਿੱਗ	bigː
'ਬੀਪ'	biːp
'ਬੇਗ਼ਮ	beːgm
'ਬੈਂਕਾਂ	beːŋkɑ̃ː
'ਬੈਸਟ	beːst
'ਬੋਲੇ	boːle
'ਬ੍ਰਹਮਾਸਤਰ'	brəmaːsʈəɾ
'ਬੱਚਨ	baːtɕən
'ਬੱਚਾ	baːtʃɑː
'ਭਾਰਤ'	bʱɑːɾət̪
'ਭਾਰਤੀ	bʱaːɾɪt̪iː
'ਭਿਖਾਰੀ'	biːkʰaːɾiː
'ਭੁਜ	ɓʊdʒ
'ਮਨ	mən
'ਮਨਮਰਜ਼ੀਆਂ'	manməɾziə̃
'ਮਰਨੇ	məɾne
'ਮਸੂਦ	msuːd
'ਮਹਾਰਾਣੀ'	məɾɑːɳiː
'ਮਾਂ	mɑ̃ː
'ਮਾਈ	maɪ
'ਮਿਸ਼ਨ	miʃən
'ਮਿਸ਼ਨ	miʃn
'ਮੁਲਕ	muːlək
'ਮੁਲਕ'	muːlək
'ਮੁਗ਼ਲ'	muɣəl
'ਮੁੱਦਾ	muːɖːɑː
'ਮੇਡ	meːɖ
'ਮੇਰਾ	məɾɑ
'ਮੇਰੀ	meːriː
'ਮੇਰੇ	meːre
'ਮੈਂ	mɛ̃ː
'ਮੈਂਟਲ	mentəl
'ਮੈਨ	maɪn
'ਮੈਨੂੰ	maɪnuː
'ਮੈਨੇ	maɪne
'ਮੈਰਿਜ	maɪrɪdʒ
'ਮੋਦੀ	moːɖi
'ਮੋਸਟ	moːst
'ਮੰਜੇ	məɳdʒe
'ਮੱਖਣਾ'	məkːɳə
'ਯਮਲਾ	jəmlə
'ਯੇ	jɛ
'ਯੋਯੋ	jɔjɔ
'ਰਾਂਝਣਾ'	ɽɑ̃ːʐɲɑ̃
'ਰਾਓਡੀ	ɾɔːɖi
'ਰਾਮ	ɾaːm
'ਰਾਜ਼ੀ'	ɾɑːzi
'ਰੂਹੀ	ɾuːhi
'ਰੇਸ	ɾeːs
'ਰੋਜ਼ਵੈਲੀ	ɾoːzʋeːliː
'ਲਵ	ləʋ
'ਲਾ	lə
'ਲਾਲ	ləːl
'ਲੁਕਾ	ɭʊkɑː
'ਲੈਲਾ'	leːlɑː
'ਲੋਕਤੰਤਰ	loːkʈənt̪əɾ
'ਲੋਨ	loːn
'ਲੋਫਰ'	loːfər
'ਲੌਲੀਪੌਪ'	ɭauːliːpɔːp
'ਵਕੀਲ	ʋkɪl
'ਵਧਾਈਆਂ	ʋəɖʱɑːi̯ɑ̃ː
'ਵਨ	ʋən
'ਵਰਕ	ʋəɾk
'ਵਰਲਡ	ʋəɾəɭːd
'ਵਰਸਿਟੀ	ʋəɾsɪtiː
'ਵਰੁਣ	ʋəɾʊɳ
'ਵਾਇਨਾਡ	ʋaːɪnɑːɖ
'ਵਾਰ'	ʋɑːr
'ਵਾਰਨਿੰਗ	ʋɑːrɪŋ
'ਵਾਰਨਿੰਗ'	ʋɑːɾnɪŋ
'ਵਾਹਿਯਾਤ	ʋɑːɪjɑːt̪
'ਵਿਅਤਨਾਮ	ʋjɑːt̪nɑːm
'ਵਿਜੇ	ʋɪdʒeː
'ਵਿਜੈ	ʋɪdʒaɪ
'ਵਿਦਿਆਸਾਗਰ'	ʋɪd̪jɑːsɑːgəɾ
'ਵਿਦੇਸ਼ੀ	ʋɪd̪eːʃiː
'ਵਿਮੈਨ	ʋɪmæːn
'ਵਿਲੇਨ'	ʋɪlɛːn
'ਵਿਵਾਹ'	ʋɪʋɑː
'ਵਿਸ਼ਵ	ʋɪʃːʋ
'ਵਿੰਕ	ʋɪŋk
'ਵੀਕਡੇਅ	ʋiːkɑːɖeː
'ਵੀਰ	ʋiːr
'ਵੀਰੂ'	ʋiːɾuː
'ਵੀਰੇ	ʋiːɾeː
'ਵੇਕ	ʋeːk
'ਵੈਲਕਮ	ʋɛːlkəm
'ਵੈਲਕਮ'	ʋeːlkəm
'ਵੈਸਟਰਨ	ʋɛːst̪ɾən
'ਵੋਡਾਫੋਨ	ʋoːɖɑːfoːn
'ਵੋਦਕਾ	ʋoːd̪kɑː
'ਵੱਖਰਾ	ʋəkːəɾə
'ਵੱਡਾ	ʋəɖːə
'ਵੱਡੇ	ʋəɖːe
'ਸ਼ਾਇਦ	ʃɛːd
'ਸ਼ਾਮ	ʃɑːm
'ਸ਼ੁੱਭ	ʃʊbː
'ਸ਼ੈਲੋ'	ʃɛːloː
'ਸ਼੍ਰੋਮਣੀ	ʃɾoːmɳiː
'ਸਕੂਲਾਂ	skuːlɑ̃ː
'ਸਟੂਡੈਂਟ	ʃʈuːɖeːɳʈ
'ਸਰਬੋਤਮ	səbɔːt̪m
'ਸਾਂਝਾ	saːɳdʒʱɑː
'ਸਾਂਵਰੀਆ'	saːnʋɾiːə
'ਸਾਡੀ	saːɖi
'ਸਾਡੇ	sɑːɽe
'ਸਾਨੀਆ'	saːniːə
'ਸਾਨੂੰ	sɑːnuː
'ਸਾਰੇ	saːre
'ਸਾਹੋ'	sɑːo
'ਸਿਡਨੀ	ʃɪd̪niː
'ਸਿਸਟੇਮੈਟਿਕ	sɪst̪əmeːt̪ɪk
'ਸਿੰਘ	sɪŋː
'ਸਿੰਬਾ'	ʃɪmbɑː
'ਸਿੱਖ	ʃɪkː
'ਸੀਤਾ	sɪːt̪ɑː
'ਸੁਖਬੀਰ	sʊkʰbɪːr
'ਸੁਪਰ	sʊpər
'ਸੁਰਜੀਤ	sʊɾdʒiːt
'ਸੁਲਤਾਨ'	sʊl̪t̪aːn̪
'ਸੂਈ	suːiː
'ਸੂਰਮਾ'	suːɾmə
'ਸੂਰਯਾਵੰਸ਼ੀ'	suːɾjɑːbənʃiː
'ਸੈਕ੍ਰੇਡ	sɛkrɛːd
'ਸੋਲਿਡ	soːliːd
'ਸ੍ਰੀਲੰਕਾ	ʃɾiːlənkɑː
'ਸੰਜੂ'	ʃʌndʒuː
'ਸੱਤੇ	sɪt̪ːe
'ਹਮ	hʌm
'ਹਰ	ɦər
'ਹਾਂ	ɦɑ̃ː
'ਹਾਂ'	hɑ̃ː
'ਹਾਮਿਦ'	ɦɑːmɪd̪
'ਹਾਲਾਂਕਿ	ɦɑːlɑːŋki
'ਹਿਚਕੀ'	ɦɪtʃkɪ
'ਹਿੰਦੀ	ɪndiː
'ਹਿੰਦੁਸਤਾਨ	ɦɪnd̪ʊstaːn
'ਹੀਰੋ	hiːro
'ਹੁਆ	ɦʊɑː
'ਹੁਣ	hʊɳ
'ਹੈਪੀ	heːpiː
'ਹੱਲ	ɦɑlː
'ਖ਼ਤਰੋਂ	kʰt̪əɾoːn
(ਅ)	ə
(ਅਕਸ਼ੈ	əkʃeɪ
(ਅਗਲੇ	əgle
(ਅਜੇਤੂ	ədʒeːt̪uː
(ਅਮਿਤਾਬ	əmɪt̪aːb
(ਅਸਾਮ)	əsɑːm
(ਅੰਬੇਡਕਰ)	ə̃mbɛːɖkəɾ
(ਅੰਮ੍ਰਿਤਸਰ)	ə̃mːɾɪt̪səɾ
(ਅੱਠ	əʈː
(ਆਈ	ai
(ਆਈਐੱਸਐੱਸਐੱਫ)	aiɪsɪsf
(ਆਈਪੀਐੱਲ)	aipɪl
(ਆਈਸੀਸੀ)	əɪsɪsɪ
(ਆਟੋ	ɔːto
(ਆਪ)	ə̄p
(ਆਮ	ɑːm
(ਆਰ	ɑːɾ
(ਆਰਆਈਐੱਲ)	ɑːɾɑɪl
(ਆਰਕਾਮ)	ɑːɾkɑːm
(ਆਰਟੀਆਈ)	ɑːɾt̪iː
(ਆਰਬੀਆਈ)	ɑːɾbiːəɪ
(ਆਰਵੀਐੱਨਐੱਲ)	ɑːɾʋiːɛnɛl
(ਆਰਸੀਬੀ)	ɑːɾsɪbiː
(ਇਕ	ɪk
(ਇਰਡਾ)	ɪɾɖɑ
(ਇੰਡੀਅਨ	ɪndiːən
(ਇੰਡੀਆ)	ɪnd̪iːə
(ਈ	iː
(ਈਆਰਓ)	iːɑːroː
(ਈਪੀਐਫਓ)	ɪpɪəfo
(ਈਪੀਐੱਫ)	ɪpɪɛf
(ਈਪੀਐੱਲ)	ɪpɪɛl
(ਉੱਪ	ʊpː
(ਏ	æː
(ਏਜੰਸੀ)	ɛːdʒənsiː
(ਏਜੰਸੀ):	ɛːdʒənsiː
(ਏਡੀਆਰ)	ɛːdiːəɾ
(ਐਪਿਕ	əpɪk
(ਐਸਬੀਆਈ)	ɛsbiːai
(ਐੱਨਐੱਸਈ)	æːnsiː
(ਐੱਨਐੱਸਈ)	ɛnsiː
(ਐੱਨਕਲੇਟ)	æːŋkɭeːt
(ਐੱਨਡੀਏ)	ɛndiː
(ਐੱਨਬੀਐੱਫਸੀ)	ɛnbeːfsiː
(ਐੱਨਸੀਪੀ)	ɛːnsiːpiː
(ਐੱਫਪੀਆਈ)	ɛːfpiːɛː
(ਐੱਮ	æm
(ਐੱਮਕੈਪ)	æmkæp
(ਐੱਮਸੀਜੀ)	ɛmsiːdʒiː
(ਐੱਲ	ɛːl
(ਐੱਸ	ɛs
(ਐੱਸ)	ɛːs
(ਐੱਸਬੀਆਈ)	ɛsbiːɛɪ
(ਐੱਸਸੀਜੀ)	ɛsːiːdʒiː
(ਓ	oː
(ਓਡੀਸ਼ਾ)	ɔːɖiʃɑː
(ਕਪਤਾਨ)	kap̪t̪aːn
(ਕਰੀਬ	kɪɾiːb
(ਕਾਂਗਰਸ)	kaːŋgərs
(ਕੇਂਦਰ)	kɛːndər
(ਕੇਕੇਆਰ)	kɛkɛɾ
(ਕੇਰਲ)	keːɾəl
(ਕੈਬ)	keːb
(ਗੁਰਮੀਤ)	gʊɾmiːt
(ਛੇ	ʧʰeː
(ਜਜਪਾ)	dʒəpə
(ਜਾਗਰਣ	dʒaːgəɾɳ
(ਜਿਨ੍ਹਾਂ	dʒɪn̪ɑ̃ː
(ਜੀ	ʒiː
(ਜੇਐੱਨਐੱਨ)	ʒeːnː
(ਜੌਹਨ	dʒɔːn
(ਟਕਸਾਲੀ)	ʈkɑsɑliː
(ਟੀਡੀਪੀ)	ʈiːdiːpiː
(ਟੀਮ)	ʈiːm
(ਟੀਸੀਐੱਸ)	ʈiːsɪə̯s
(ਡੀ	ɖiː
(ਡੀਆਈਆਈ)	ɖiːɑːiː
(ਡੀਡੀਸੀਏ)	ɗiːɗiːseː
(ਤਲਵਾਰਬਾਜ਼ੀ)	ʈəlʋaːɾbɑːziː
(ਤਿੰਨ	t̪ɪ́nː
(ਦੂਲੋ)	duːlo
(ਦੋ	do
(ਦੋਵੇਂ	doveːn
(ਨਵਾਂਸ਼ਹਿਰ)	nəʋɑ̃ːʃɪr
(ਨਾਬਾਦ	nɑːbɑːd̪
(ਨਿਆਂ)	nijɑ̃
(ਨੈਕਾ)	neːkə
(ਨੈਸ਼ਨਲ	neːʃənl
(ਪੀ	piː
(ਪੀਕੇਐੱਲ)	piːkɛl
(ਪੀਟੀਆਈ)	piːtiː
(ਪੀਡਬਲਯੂਐੱਲ)	piːd̪bʊlɛl
(ਪੀਡੀਏ)	piːdiːe
(ਪੀਡੀਪੀ)	piːd̪iːpiː
(ਪੀਬੀਐੱਲ)	piːbiːɛl
(ਪੀਸੀਜੀ	piːsiːdʒiː
(ਪੀਸੀਬੀ)	piːsiːbiː
(ਪੰਜਾਬ	pəɳdʒɑːb
(ਪੰਜਾਬ)	pəɳdʒɑːb
(ਪੱਛਮੀ	pəʧːmi
(ਪੱਛਮੀ)	pəʧmi
(ਫੋਟੋ	fɔːt̪oː
(ਬਸਪਾ)	ɓəspə
(ਬਾਦਲ)	baːdəl
(ਬੀ	biː
(ਬੀਪੀਐੱਲ)	biːpiːɛl
(ਬੀਸੀਸੀਆਈ)	biːsiːsiːɛː
(ਬੇਸਿਕ	beːsɪk
(ਬੰਗਲਾਦੇਸ਼)	baŋgɑːɽɛːʃ
(ਭਾਜਪਾ)	baːdʒpɑː
(ਭਾਰਤ	bʌːɾət̪
(ਮਾਨ)	maːn
(ਮੰਗਲ	maːŋgəl
(ਯੂ	juː
(ਯੂ)	juː
(ਯੂਪੀ)	jʊpɪ
(ਰਾਇਟਰ)	ɹaɪt̪əɾ
(ਰਾਖਵਾਂ)	ɾɑːkʰʋɑ̃ː
(ਰਾਜ	ɾɑːdʒ
(ਰਿਜ਼ਰਵ)	ɾɪzɾəb
(ਰਿਟਾਇਰਡ)	ɾɪt̪ɑɪɾɛːɾ
(ਰੂਸ)	ɾuːs
(ਲੜਕੇ)	ɭəɽkɛ
(ਲੱਖ	ləkːʰ
(ਵਨ	ʋən
(ਵਰੁਣ	ʋəɾʊɳ
(ਵਾਈਡ	ʋaːɪd
(ਵਿਕਟਕੀਪਰ)	ʋɪkːəkɪpər
(ਵਿਰਾਟ)	ʋɪɾɑːt̪
(ਵਿਵੇਕ	ʋɪʋɛk
(ਵਿਸ਼ਵ	ʋɪʃəʋ
(ਵਿੰਬਲਡਨ	ʋɪmbəld̪ən
(ਵਿੱਕੀ	ʋɪkːi
(ਵਿੱਤੀ	ʋɪtːi
(ਵੀ	ʋiː
(ਵੀਆਈਪੀ)	ʋiːaɪpɪ
(ਵੀਆਰਐੱਸ)	ʋiːɑːɾɛs
(ਵੀਐੱਫਆਈ)	ʋiːfɑɪ
(ਵੀਰਵਾਰ	ʋiːɾʋaːɾ
(ਵੋਟਰ	ʋoːʈər
(ਵੱਧ	ʋɑːd̪ːʱ
(ਸਾਈ)	sɑiː
(ਸਾਲ	sɑːl
(ਸਿੱਖਿਆ	ʃɪkːjɑː
(ਸੀ	siː
(ਸੀਈਓ)	siːoː
(ਸੀਏ)	siː
(ਸੀਏਸੀ)	siːsiː
(ਸੀਐੱਸਕੇ)	siːɛskɛː
(ਸੀਜੀਏ)	siːdʒiːeː
(ਸੀਬੀਆਈਸੀ)	siːbiːɑːsiː
(ਸੁਰੱਖਿਅਤ)	sʊɾəkʰiːəɾ
(ਸੇਵਾ	sɛːʋɑː
(ਸੈਫ਼	sɛːf
(ਸੰਤ	sə̃t̪
(ਹਰਿਆਣਾ	ɦəɾiɑɳɑ
(ਹਿੰਦੀ)	ɦɪndiː
(ਹੁਣ	ɦʊɳ
(ਹੈਰੀਅਰ)	heːɾiːəɾ
(ਹੋਮ	hɔːm
(ਖ਼ਾਲਸਾ	xɑːl̪sɑː
(ਫ਼ੋਟੋ	fɔːt̪o
*ਮੰਗਾਂ	maːŋgɑ̃ː
*ਸਿੱਖਿਆ	ʃɪkːjɑː
:ਲੋਕ	loːk
@ਚ	tʃ
@ਚੋਂ	tʃʰoː
@ਤੇ	te
@ਬ੍ਰਹਮਅਸਤਰ@	brəmaːsətr̪ə
`ਇਸੇ	ɪseː
`ਚ	tʃ
`ਚੋਂ	ʧoː
`ਤੇ	te
उनके	ʊnke
एक	ɛk
और	ɔːr
कर	kəɾ
करने	kəɾne
का	kə
कार्यकाल	kɑːɾjɑːkɑːl
की	kiː
के	kɛ
को	kɔː
कोई	kɔːi
क्या	kʲə
खबरें	kʰbərẽ
चुनाव	tʃʊnɑːʋ
जनता	ɟənt̪ə
जब	gʌb
जी	ʒiː
तक	t̪ək
तब	t̪əʋ
ताजा	tɑːdʒɑː
तूफ़ान	t̪uːfaːn
दिन	ɖɪn
देख	dek
देखा	ɗeːkɑː
देश	ɖeːʃ
नहीं	nəɦĩː
निकलता	nikəlʈɑ
ने	nɛ
पर	pəɾ
पर्दे	paːɾde
पूरे	pʊɾe
पूर्व	pʊrʋ
प्रतिनिधिमंडल	prətinid̪ʱiməɳɖəl
बना	bənɑː
महाराष्ट्र	maːɾɑːʃːt̪ɾ̪
मुख्यमंत्री	məkɪ́ɳtɾiː
में	miː
मेवात	meːʋaːt̪
ये	jɛ
रहे	ɾeː
रास्ता	ɾɑːst̪ɑː
राहुल	ɾɑːɦʊl
लिए	liːe
लेते	ləte
वही	ʋəiː
सराहा	ʃəɾɑː
से	sɛ
सोच	sɔtʃ
हम	ɦəm
हर	ɦəɾ
हरियाणा	ɦəɾijɑːɳɑː
ही	hiː
हुड्डा	ɦʊɖːə
है	əɪ
हैं	ɦæ̃ː
हैं।	hæ̃ː
है।	ɦɛː
ਅ	ə
ਅਈਅਰ	əɪr
ਅਕਤਬੂਰ	əkt̪b̪uːr
ਅਕਤੂਬਰ	əkt̪uːbər
ਅਕਤੂਬਰ)	əkt̪uːbər
ਅਕਤੂਬਰਦਸੰਬਰ	əkt̪ʊbərd̪ə̃səmbər
ਅਕਬਰ	əkbər
ਅਕਬਰਪੁਰ	əkbərpʊr
ਅਕਮਲ	əkməl
ਅਕਰਮ	əkɾəm
ਅਕਲੀਆ	əkliːə
ਅਕਲੁਜ	əkludʒ
ਅਕਸ਼ਤਾ	ə́kʃt̪ə
ਅਕਸ਼ਰ	əkʃər
ਅਕਸ਼ੇ	əkʃe
ਅਕਸ਼ੈ	əkʃeɪ
ਅਕਸ	əks
ਅਕਸਰ	əksər
ਅਕਸ਼ੇ	əkʃe
ਅਕਸ਼ੈ	əkʃeɪ
ਅਕਸੇਲ	əksɛl
ਅਕਾਉਂਟ	əkɔ̃ːt̪
ਅਕਾਊਂਟ	əkɔ̃ːt̪
ਅਕਾਊਂਟਸ	əkɔ̃ːts
ਅਕਾਦਮੀ	əkɑːd̪əmiː
ਅਕਾਲ	əkɑːl
ਅਕਾਲੀ	əkɑːliː
ਅਕਾਲੀਆਂ	əkɑːliːə̃
ਅਕਾਲੀਭਾਜਪਾ	əkɑːliːbʱɑːdʒəpɑː
ਅਕਾਸ਼	əkɑːʃ
ਅਕਾਸ਼ਦੀਪ	əkɑːʃd̪iːp
ਅਕੀਲਾ	əkɪlə
ਅਕੈਡਮੀ	əkəɗmiː
ਅਕੈਡਮੀ'	əkəɗmiː
ਅਕੈਡਮੀਆਂ	əkəɗmiːə̃ː
ਅਕੋਲਾ	əkoːlə
ਅਕੜਨ	əkɑɽən
ਅਖਤਰ	əkʰət̪əɾ
ਅਖਤਿਆਰ	əxt̪jɑːɾ
ਅਖਨੂਰ	əkʰənuːr
ਅਖਬਾਰ	əkʰəbɑːr
ਅਖਬਾਰਾਂ	əkʰbɑːɾɑ̃ː
ਅਖਰੀਲੇ	əkʰɪɾɪle
ਅਖਰੋਟ	əkʰəɾoːt
ਅਖਵਾਉਣ	əkʰəwɔ̃ː
ਅਖ਼ਤਰ	əkʰət̪ər
ਅਖ਼ਬਾਰ	əkʰəbɑːr
ਅਖ਼ਬਾਰਾਂ	əkʰəbɑːɾɑ̃ː
ਅਖਾੜੇ	əkʰɑːɽe
ਅਖਿਲ	əˈkɪl
ਅਖਿਲੇਸ਼	əkʰɪl̪eːʃ
ਅਖਿਲੇਸ਼	əkʰɪleːʃ
ਅਖੀਰ	əkʰiːr
ਅਖੌਤੀ	əkʰɔːt̪iː
ਅਗ	əg
ਅਗਨੀਹੋਤਰੀ	əgniːoːt̪riː
ਅਗਰਵਾਲ	əgəɾʋɑːl
ਅਗਰਵਾਲਵੈਸ਼	əgərwaːlʋaɪʃ
ਅਗਰਸੈਨ	əgɾəsɛn
ਅਗਲਾ	əglə
ਅਗਲੀ	əgliː
ਅਗਲੀਆਂ	əgəliːə̃
ਅਗਲੇ	əgle
ਅਗਲੇਰੀ	əgləɾiː
ਅਗਵਾ	əgʋɑː
ਅਗਵਾਈ	əgʋaːiː
ਅਗਸਤ	əgsət
ਅਗਾਂਹਵਧੂ	əgɑ̃ːɦʋəd̪ʱuː
ਅਗਾਊਂ	əgɔ̃ː
ਅਗਿਆਨਤਾ	əgjɑːnt̪ə
ਅਗੁਟ	əgʊʈ
ਅਗੂ	əguː
