a	aː
abhinc	abink
abhorreō	abhorreoː
abhorrēscō	abhorreːskoː
abia	abia
abiciō	abikioː
abiciō	abi̯ikioː
abiectiō	abi̯ektioː
abiectō	abi̯ektoː
abierimus	abierimus
abierimus	abieriːmus
abieris	abieris
abieris	abieriːs
abieritis	abieritis
abieritis	abieriːtis
abietifolia	abietifolia
abietifolia	abietifoliaː
abietifolius	abietifolius
abietina	abietina
abietina	abietinaː
abietinus	abietinus
abietāria	abietaːria
abietāria	abietaːriaː
abietārius	abietaːrius
abiga	abiɡa
abigeus	abiɡeus
abigeātor	abiɡeaːtor
abigeātus	abiɡeaːtus
abigō	abiɡoː
abilitās	abilitaːs
abitiō	abitioː
abitus	abitus
abiugō	abi̯uɡoː
abiungō	abi̯unɡoː
abiāthār	abiaːtʰaːr
abiēgna	abieːɡna
abiēgna	abieːɡnaː
abiēgnus	abieːɡnus
abiēs	abieːs
abiūdicandus	abi̯uːdikandus
abiūdicātīva	abi̯uːdikaːtiːu̯a
abiūdicātīva	abi̯uːdikaːtiːu̯aː
abiūdicātīvus	abi̯uːdikaːtiːu̯us
abiūdicō	abi̯uːdikoː
abiūrgō	abi̯uːrɡoː
abiūrātiō	abi̯uːraːtioː
abiūrō	abi̯uːroː
abjiciō	abi̯ikioː
abjudicātīvus	abi̯udikaːtiːu̯us
abjugō	abi̯uɡoː
abjungō	abi̯unɡoː
abjūdicō	abi̯uːdikoː
abjūrgō	abi̯uːrɡoː
ablactō	ablaktoː
ablacuō	ablakuoː
ablaqueātiō	ablakʷeaːtioː
ablaqueō	ablakʷeoː
ablepsia	ablepsia
abligurriō	abliɡurrioː
abligurrītiō	abliɡurriːtioː
abligurrītor	abliɡurriːtor
ablocō	ablokoː
abluvium	abluu̯ium
abluviō	abluu̯ioː
abluō	abluoː
ablātiō	ablaːtioː
ablātor	ablaːtor
ablātīva	ablaːtiːu̯a
ablātīva	ablaːtiːu̯aː
ablātīve	ablaːtiːu̯e
ablātīvus	ablaːtiːu̯us
ablātīvās	ablaːtiːu̯aːs
ablātīvī	ablaːtiːu̯iː
ablātīvō	ablaːtiːu̯oː
ablātīvōs	ablaːtiːu̯oːs
ablēgātiō	ableːɡaːtioː
ablēgō	ableːɡoː
ablūdō	abluːdoː
ablūtiō	abluːtioː
ablūtor	abluːtor
ablūtūrus	abluːtuːrus
abmātertera	abmaːtertera
abnatātum	abnataːtum
abnatātūrus	abnataːtuːrus
abnatō	abnatoː
abnegātiō	abneɡaːtioː
abnegātor	abneɡaːtor
abnegātīva	abneɡaːtiːu̯a
abnegātīva	abneɡaːtiːu̯aː
abnegātīvus	abneɡaːtiːu̯us
abnegō	abneɡoː
abnepōs	abnepoːs
abnoctātum	abnoktaːtum
abnoctātūrus	abnoktaːtuːrus
abnoctō	abnoktoː
abnuitiō	abnuitioː
abnumerō	abnumeroː
abnuō	abnuoː
abnōdō	abnoːdoː
abnōrmis	abnoːrmis
abnūtātum	abnuːtaːtum
abnūtātūrus	abnuːtaːtuːrus
abnūtīva	abnuːtiːu̯a
abnūtīva	abnuːtiːu̯aː
abnūtīvus	abnuːtiːu̯us
abnūtō	abnuːtoː
abobrīga	abobriːɡa
abodiacum	abodiakum
aboleō	aboleoː
abolitiō	abolitioː
abolitor	abolitor
abolla	abolla
abolānī	abolaːniː
abolēscō	aboleːskoː
abomāsum	abomaːsum
aborigina	aboriɡina
aborigina	aboriɡinaː
aboriginus	aboriɡinus
aborigō	aboriɡo
aborior	aborior
aborsa	aborsa
aborsa	aborsaː
aborsus	aborsus
abortiō	abortioː
abortus	abortus
abortās	abortaːs
abortātūrus	abortaːtuːrus
abortīva	abortiːu̯a
abortīva	abortiːu̯aː
abortīvum	abortiːu̯um
abortīvus	abortiːu̯us
abortō	abortoː
aborīgineus	aboriːɡineus
abpatruus	abpatruus
abra	abra
abra	abraː
abracadabra	abrakadabra
abram	abram
abrelicta	abrelikta
abrelicta	abreliktaː
abrelictus	abreliktus
abrenuntiātum	abrenuntiaːtum
abrenuntiātūrus	abrenuntiaːtuːrus
abrenūntiātiō	abrenuːntiaːtioː
abrenūntiō	abrenuːntioː
abrincatuī	abrinkatuiː
abripiō	abripioː
abrocomēs	abrokomeːs
abrogāta	abroɡaːta
abrogāta	abroɡaːtaː
abrogāte	abroɡaːte
abrogātiō	abroɡaːtioː
abrogātī	abroɡaːtiː
abrogātō	abroɡaːtoː
abrogāvissēmus	abroɡau̯issemus
abrogō	abroɡoː
abrotanifolia	abrotanifolia
abrotanifolia	abrotanifoliaː
abrotanifolius	abrotanifolius
abrumpō	abrumpoː
abrupta	abrupta
abrupta	abruptaː
abruptissima	abruptissima
abruptissima	abruptissimaː
abruptiō	abruptioː
abruptās	abruptaːs
abruptōs	abruptoːs
abrādō	abraːdoː
abrās	abraːs
abrāsiō	abraːsioː
abrīs	abriːs
abrōdō	abroːdoː
abrōnius	abroːnius
abs	abs
absarus	absarus
abscindō	abskindoː
abscissa	abskissa
abscissiō	abskissioː
abscondeō	abskondeoː
absconditus	abskonditus
abscondō	abskondoː
abscēdō	abskeːdoː
abscīdō	abskiːdoː
abscīsa	abskiːsa
abscīsa	abskiːsaː
abscīsus	abskiːsus
abscōnsa	abskonsa
abscōnsa	abskonsaː
abscōnsus	abskonsus
abscōnsō	abskonsoː
absediī	absediiː
absentia	absentia
absentīvus	absentiːu̯us
absentō	absentoː
absiliō	absilioː
absimilis	absimilis
absinthifolius	absintʰifolius
absinthium	absintʰium
absinthiātus	absintʰiaːtus
absinthītārum	absintʰitarum
absinthītēs	absintʰiːteːs
absistō	absistoː
absitus	absitus
absocer	absoker
absoluō	absoluoː
absolvēns	absolu̯ens
absolvō	absolu̯oː
absolūtiō	absoluːtioː
absolūtus	absoluːtus
absolūtōrius	absoluːtoːrius
absonus	absonus
absonō	absonoː
absorbent	absorbent
absorbentem	absorbentem
absorbeō	absorbeoː
absorptiō	absorptioː
absortus	absortus
abspellō	abspelloː
absportō	absportoː
absque	abskʷe
abstentiō	abstentioː
abstergeō	absterɡeoː
absterreō	absterreoː
abstinentia	abstinentia
abstineō	abstineoː
abstināx	abstinaːks
abstractiō	abstraktioː
abstractus	abstraktus
abstrahentibus	abstrahentibus
abstraherentur	abstraherentur
abstrahēns	abstrahens
abstrahō	abstrahoː
abstrāxerimus	abstrakserimus
abstrūdō	abstruːdoː
abstrūsus	abstruːsus
abstulī	abstuliː
abstēmius	absteːmius
abstō	abstoː
absum	absum
absurdus	absurdus
absynthītēs	absyntʰiːteːs
absārius	absarius
absēns	absens
absīdātus	absiːdaːtus
absūmēdō	absuːmeːdoː
absūmō	absuːmoː
abudius	abudius
abundanter	abundanter
abundantia	abundantia
abundantius	abundantius
abundantēs	abundanteːs
abundiflōrus	abundifloːrus
abundus	abundus
abundābit	abundaːbit
abundātiō	abundaːtioː
abundātum	abundaːtum
abundātūrus	abundaːtuːrus
abundō	abundoː
aburius	aburius
abusina	abusina
abyla	abyla
abyssicolus	abyssikolus
abyssinicus	abyssinikus
abyssus	abyssus
abyssālis	abyssaːlis
abzoae	abzoae̯
abāctius	abaːktius
abāctor	abaːktor
abāctus	abaːktus
abāctus	abaːktuːs
abīa	abiːa
abōminandus	aboːminandus
abōminābilis	aboːminaːbilis
abōmināmentum	aboːminaːmentum
abōminātiō	aboːminaːtioː
abōminō	aboːminoː
abōminōsa	aboːminoːsa
abōminōsa	aboːminoːsaː
abōminōsus	aboːminoːsus
abūsor	abuːsor
abūsque	abuːskʷe
abūsīvus	abuːsiːu̯us
abūtor	abuːtor
abȳdenus	abyːdenus
abȳdus	abyːdus
ac	ak
acacia	akakia
acaciifolius	akakiifolius
acacēsium	akakeːsium
acadēmicus	akadeːmikus
acadēmus	akadeːmus
acadēmīa	akadeːmiːa
acalandrus	akalandrus
acalyphāceus	akalypʰaːkeus
acalēphē	akaleːpʰeː
acampsis	akampsis
acanthicarpus	akantʰikarpus
acanthifolius	akantʰifolius
acanthinus	akantʰinus
acanthius	akantʰius
acanthiō	akantʰioː
acanthocalycibus	akantʰokalykibus
acanthocalyx	akantʰokalyks
acanthocarpus	akantʰokarpus
acanthochitōn	akantʰokʰiton
acanthocladus	akantʰokladus
acanthocomus	akantʰokomus
acanthodontus	akantʰodontus
acanthonotus	akantʰonotus
acanthophorus	akantʰopʰorus
acanthophyllus	akantʰopʰyllus
acanthopodius	akantʰopodius
acanthus	akantʰus
acaricus	akarikus
acarnānia	akarnaːnia
acarnānicus	akarnaːnikus
acascomarcī	akaskomarkiː
acatus	akatus
acaulis	akau̯lis
acaustus	akau̯stus
accadicus	akkadikus
accanite	akkanite
accanitō	akkanitoː
accanī	akkaniː
accanō	akkanoː
accapitō	akkapitoː
acceia	akkei̯i̯a
accelerātiō	akkeleraːtioː
accelerātrīx	akkeleraːtriːks
accelerō	akkeleroː
accendō	akkendoː
accentor	akkentor
accentus	akkentus
accepta	akkepta
acceptante	akkeptante
acceptiō	akkeptioː
acceptābilis	akkeptaːbilis
acceptō	akkeptoː
accersiō	akkersioː
accessibilis	akkessibilis
accessitō	akkessitoː
accessōrius	akkessoːrius
accidenta	akkidenta
accidentia	akkidentia
accidentum	akkidentum
accidentī	akkidentiː
accidentī	akkiːdentiː
accidentō	akkidentoː
accidere	akkidere
accidere	akkideːre
accidēns	akkidens
accidō	akkidoː
accingō	akkinɡoː
accinō	akkinoː
accipiter	akkipiter
accipitrīna	akkipitriːna
accipitrō	akkipitroː
accipiēns	akkipiens
accipiō	akkipioː
accisī	akkisiː
accius	akkius
acciō	akkioː
acclāmō	akklaːmoː
acclārō	akklaːroː
acclīnis	akkliːnis
acclīnō	akkliːnoː
acclīvis	akkliːu̯is
acclīvus	akkliːu̯us
accolēius	akkoleːius
accomandatiō	akkomandatioː
accommodus	akkommodus
accommodātus	akkommodaːtus
accommodō	akkommodoː
acconciliō	akkonkilio
accorporō	akkorporoː
accrēdō	akkreːdoː
accrēscente	akkreːskente
accrēscō	akkreːskoː
accrētus	akkreːtus
accua	akkua
accubitus	akkubitus
accubitus	akkubituːs
accubitātiō	akkubitaːtioː
accubō	akkuboː
accumbere	akkumbere
accumbere	akkumbeːre
accumbō	akkumboː
accumulātiō	akkumulaːtioː
accumulō	akkumuloː
accurrō	akkurroː
accēdō	akkeːdoː
accēnseō	akkenseoː
accēnsibilis	akkensibilis
accī	akkiː
accīdere	akkiːdere
accīdia	akkiːdia
accīdēns	akkiːdens
accīdō	akkiːdoː
accūrātiō	akkuːraːtioː
accūrātus	akkuːraːtus
accūrō	akkuːroː
accūsitō	akkuːsitoː
accūsābilis	akkuːsaːbilis
accūsātiō	akkuːsaːtioː
accūsātor	akkuːsaːtor
accūsātrīx	akkuːsaːtriːks
accūsātus	akkuːsaːtus
accūsātī	akkuːsaːtiː
accūsātīvus	akkuːsaːtiːu̯us
accūsātōrius	akkuːsaːtoːrius
accūsātōriē	akkuːsaːtoːrieː
accūsō	akkuːsoː
acephalus	akepʰalus
acer	aker
acerbe	akerbe
acerbitās	akerbitaːs
acerbus	akerbus
acerbāte	akerbaːte
acerbē	akerbeː
acerbō	akerboː
acere	akere
aceriflōrus	akerifloːrus
acerifolius	akerifolius
acerinus	akerinus
aceriphyllus	akeripʰyllus
acernus	akernus
acerra	akerra
acerrae	akerrae̯
acerrōnius	akerroːnius
acervus	akeru̯us
acervālis	akeru̯aːlis
acervō	akeru̯oː
acerōsus	akeroːsus
acestēs	akesteːs
acesīnus	akesiːnus
acesīnēs	akesiːneːs
acetoxidāns	aketoksidans
aceō	akeoː
achaemenis	akʰae̯menis
achaemenēs	akʰae̯meneːs
achaeus	akʰae̯us
acharis	akʰaris
acharnae	akʰarnae̯
acharnē	akʰarneː
achatēs	akʰateːs
achelōius	akʰeloːi̯us
achelōus	akʰeloːus
achenum	akʰenum
acheronte	akʰeronte
acherontēus	akʰeronteːus
acheronēnsis	akʰeronensis
acherunticus	akʰeruntikus
acherōn	akʰeroːn
acherūns	akʰeruns
acherūsius	akʰeruːsius
achille	akʰille
achillem	akʰillem
achillis	akʰillis
achillēs	akʰilleːs
achillēus	akʰilleːus
achillī	akʰilliː
achillīnus	akʰilliːnus
achrōmiāns	akʰroːmians
achāia	akʰaːia
achāicus	akʰaːikus
achātēs	akʰaːteːs
achātīnus	akʰaːtiːnus
achōr	akʰoːr
acicula	akikula
acicularifolius	akikularifolius
aciculifer	akikulifer
aciculinus	akikulinus
aciculāris	akikulaːris
aciculātus	akikulaːtus
acida	akida
acida	akidaː
acide	akide
acidominimus	akidominimus
acidovorāns	akidou̯orans
acidulus	akidulus
acidus	akidus
acidālia	akidaːlia
acidālius	akidaːlius
acidī	akidiː
acidīnus	akidiːnus
acidō	akidoː
acimincum	akiminkum
acina	akina
acinacifolius	akinakifolius
acinasis	akinasis
acinifolius	akinifolius
acinippō	akinippoː
acinus	akinus
acinōsus	akinoːsus
acipēnser	akipenser
aciris	akiris
aciārium	akiaːrium
aciēs	akieːs
acmodontus	akmodontus
acnua	aknua
acoetis	akoe̯tis
acoetēs	akoe̯teːs
acollis	akollis
acolythus	akolytʰus
acona	akona
aconitifolius	akonitifolius
acontius	akontius
acontizō	akontizzoː
aconītum	akoniːtum
aconītus	akoniːtus
acoris	akoris
acornis	akornis
acoros	akoros
acorus	akorus
acousticus	akuːstikus
acquiēscentis	akkʷieːskentis
acquiēscō	akkʷieːskoː
acquīrō	akkʷiːroː
acrae	akrae̯
acraephia	akrae̯pʰia
acraeus	akrae̯us
acranthus	akrantʰus
acrillae	akrillae̯
acrisius	akrisius
acrisiōniadēs	akrisioːniadeːs
acroanthus	akroantʰus
acrobracteātus	akrobrakteaːtus
acrocarpus	akrokarpus
acroceraunia	akrokerau̯nia
acrocorium	akrokorium
acrocōnus	akrokoːnus
acrodontus	akrodontus
acroglōssus	akroɡloːssus
acrolasius	akrolasius
acrolepis	akrolepis
acronēmaticus	akroneːmatikus
acroscopicus	akroskopikus
acrotrichus	akrotrikʰus
acrozȳmus	akrozzyːmus
acroāma	akroaːma
acrufolius	akrufolius
acrō	akroː
actinacanthus	aktinakantʰus
actinocarpus	aktinokarpus
actinophyllus	aktinopʰyllus
actē	akteː
actīnium	aktiːnium
actīniō	aktiːnioː
actīnopetalus	aktiːnopetalus
acuitiō	akuitioː
aculeaticarpus	akuleatikarpus
aculeolātus	akuleolaːtus
aculeus	akuleus
aculos	akulos
acuminatifolius	akuminatifolius
acutrī	akutriː
acuō	akuoː
acāciifōrmis	akaːkiifoːrmis
acē	akeː
acēdia	akeːdia
acēre	akeːre
acērus	akeːrus
acēscente	akeːskente
acēscentēs	akeːskenteːs
acēscō	akeːskoː
acētum	akeːtum
acētābulifōrmibus	aketabuliformibus
acētābulifōrmis	akeːtaːbulifoːrmis
acētābulum	akeːtaːbulum
acētābulāris	akeːtaːbulaːris
acētābulōsus	akeːtaːbuloːsus
acētāria	akeːtaːria
acētāriīs	akeːtaːriiːs
acētāriōrum	akeːtaːrioːrum
acētōsa	akeːtoːsa
acētōsa	akeːtoːsaː
acētōse	akeːtoːse
acētōsus	akeːtoːsus
acētōsī	akeːtoːsiː
acētōsō	akeːtoːsoː
acīlius	akiːlius
acīnaceus	akiːnakeus
acīnacifōrmis	akiːnakifoːrmis
acīnacēs	akiːnakeːs
acūleātiflōrus	akuːleaːtifloːrus
acūleātus	akuːleaːtus
acūmen	akuːmen
acūminō	akuːminoː
acūminōsus	akuːminoːsus
acūpedius	akuːpedius
acūsticus	akuːstikus
acūtangulus	akuːtanɡulus
acūticarpus	akuːtikarpus
acūtidentātus	akuːtidentaːtus
acūtidēns	akuːtidens
acūtiflōrus	akuːtifloːrus
acūtifolius	akuːtifolius
acūtifōrmis	akuːtifoːrmis
acūtiglūmis	akuːtiɡluːmis
acūtiglūmus	akuːtiɡluːmus
acūtilobus	akuːtilobus
acūtipennis	akuːtipennis
acūtipetalus	akuːtipetalus
acūtirōstris	akuːtiroːstris
acūtisquāmātus	akuːtiskʷaːmaːtus
acūtisquāmōsus	akuːtiskʷaːmoːsus
acūtisēpalus	akuːtiseːpalus
acūtius	akuːtius
acūtivalvis	akuːtiu̯alu̯is
acūtulus	akuːtulus
acūtus	akuːtus
acūtālis	akuːtaːlis
acūtātus	akuːtaːtus
ad	ad
adada	adada
adaequātus	adae̯kʷaːtus
adaequō	adae̯kʷoː
adaerō	adae̯roː
adaestuātum	adae̯stuaːtum
adaestuātūrus	adae̯stuaːtuːrus
adaestuō	adae̯stuoː
adaggerō	adaɡɡeroː
adalligō	adalliɡoː
adamantinus	adamantinus
adamantēus	adamanteːus
adambulātum	adambulaːtum
adambulātūrus	adambulaːtuːrus
adambulō	adambuloː
adamicus	adamikus
adampliō	adamplioː
adamās	adamaːs
adamō	adamoː
adana	adana
adanēnsis	adanensis
adaperiō	adaperioː
adaptābilis	adaptaːbilis
adaptō	adaptoː
adaquō	adakʷoː
adarca	adarka
adarcē	adarkeː
adarō	adaroː
adauctō	adau̯ktoː
adaugeō	adau̯ɡeoː
adaugēscō	adau̯ɡeːskoː
adbellō	adbelloː
adbibō	adbiboː
adbreviātus	adbreu̯iatus
adbreviātūrus	adbreu̯iaturus
adbreviāverimus	adbreu̯iau̯erimus
adclīnō	adkliːnoː
adcommodō	adkommodoː
adcrēscō	adkreːskoː
adcubō	adkuboː
adcumbō	adkumboː
adcūrō	adkuːroː
addant	addant
addax	addaks
addecet	addeket
addecimō	addekimoː
addictiō	addiktioː
addictor	addiktor
addictus	addiktus
addigitō	addiɡitoː
addiscō	addiskoː
additiō	additioː
addoceō	addokeoː
addormiō	addormioː
addua	addua
addubitō	addubitoː
adductor	adduktor
adductus	adduktus
adductōribus	adduktoribus
addēnseō	addenseoː
addēnsō	addensoː
addīcō	addiːkoː
addō	addoː
addūcere	adduːkere
addūcō	adduːkoː
adedō	adedoː
adelphasium	adelpʰasium
adelphis	adelpʰis
adenanthus	adenantʰus
adendros	adendros
adenocalyx	adenokalyks
adenoīdēs	adenoiːdeːs
adenēnsis	adenensis
adeps	adeps
adeptiō	adeptioː
adequitātum	adekʷitaːtum
adequitātūrus	adekʷitaːtuːrus
adequitō	adekʷitoː
aderrō	aderroː
adespota	adespota
adespota	adespotaː
adespotus	adespotus
adespotī	adespotiː
adespotīs	adespotiːs
adespotō	adespotoː
adespotōrum	adespotoːrum
adespotōs	adespotoːs
adeōna	adeoːna
adfectiosē	adfektioseː
adfectiōsus	adfektioːsus
adfector	adfektor
adfectus	adfektus
adfectuōsus	adfektuoːsus
adfectuōsē	adfektuoːseː
adfectē	adfekteː
adfectīvus	adfektiːu̯us
adferre	adferre
adferō	adferoː
adfirmātiōnibus	adfirmationibus
adflīctus	adfliːktus
adflīctō	adfliːktoː
adflō	adfloː
adfundō	adfundoː
adfābilis	adfaːbilis
adfīgō	adfiːɡoː
adfīnis	adfiːnis
adgemō	adɡemoː
adgestus	adɡestus
adgravēscō	adɡrau̯eːskoː
adgāvīsus	adɡaːu̯iːsus
adgāvīsūrus	adɡaːu̯iːsuːrus
adhaerentia	adhae̯rentia
adhaereō	adhae̯reoː
adhaerēns	adhae̯rens
adhaesiōnibus	adhae̯sionibus
adhaesūrus	adhae̯suːrus
adherbal	adherbal
adhibeō	adhibeoː
adhinniō	adhinnioː
adhospitō	adhospitoː
adhālō	adhaːloː
adhāmāns	adhaːmans
adhāmō	adhaːmoː
adhōc	adoːk
adhūc	adhuk
adiabēnē	adiabeːneː
adiaceō	adi̯akeoː
adiaculātus	adi̯akulaːtus
adiacēns	adi̯akens
adianta	adianta
adiantum	adiantum
adiantī	adiantiː
adiantō	adiantoː
adiaphoros	adiapʰoros
adiciō	adikioː
adiciō	adi̯ikioː
adiectum	adi̯ektum
adiectīcius	adi̯ektiːkius
adiectīvus	adi̯ektiːu̯us
adiectīvālis	adi̯ektiːu̯aːlis
adierimus	adierimus
adierimus	adieriːmus
adieris	adieris
adieris	adieriːs
adieritis	adieritis
adieritis	adieriːtis
adigō	adiɡoː
adimpleō	adimpleoː
adimō	adimoː
adinveniō	adinu̯enioː
adinventiō	adinu̯entioː
adipsos	adipsos
adipātus	adipaːtus
adipīscor	adipiːskor
adipōsus	adipoːsus
adipōsōs	adipoːsoːs
adit	adit
aditātum	aditaːtum
adiuerō	adi̯ueroː
adiugō	adi̯uɡoː
adiungō	adi̯unɡoː
adiuvō	adi̯uu̯oː
adiēnus	adieːnus
adiūdicātiō	adi̯uːdikaːtioː
adiūdicō	adi̯uːdikoː
adiūnctus	adi̯unktus
adiūnctīvus	adi̯unktiːu̯us
adiūnctōribus	adi̯unktoribus
adiūrātōrius	adi̯uːraːtoːrius
adiūrō	adi̯uːroː
adiūtābilis	adi̯uːtaːbilis
adiūtō	adi̯uːtoː
adjaceō	adi̯akeoː
adjaculātus	adi̯akulaːtus
adjacēns	adi̯akens
adjectīcius	adi̯ektiːkius
adjectīvālis	adi̯ektiːu̯aːlis
adjiciō	adi̯ikioː
adjuerō	adi̯ueroː
adjugō	adi̯uɡoː
adjungō	adi̯unɡoː
adjuvante	adi̯uu̯ante
adjuvantēs	adi̯uu̯anteːs
adjuvō	adi̯uu̯oː
adjūnctīvus	adi̯uːnktiːu̯us
adjūrātōrius	adi̯uːraːtoːrius
adjūtābilis	adi̯uːtaːbilis
adlevō	adleu̯oː
adlicefactum	adlikefaktum
adlicefactūrus	adlikefaktuːrus
adliciō	adlikioː
adlinō	adlinoː
adluō	adluoː
adlāpsus	adlaːpsus
adlātus	adlaːtus
adlēvō	adleːu̯oː
adlīdō	adliːdoː
adlūdō	adluːdoː
admeō	admeoː
admigrō	admiɡroː
adminiculum	adminikulum
adminiculābundus	adminikulaːbundus
adminiculō	adminikuloː
administer	administer
administra	administra
administram	administram
administrandō	administrandoː
administrantō	administrantoː
administrem	administrem
administrā	administra
administrārem	administraːrem
administrārās	administraːraːs
administrārēs	administraːreːs
administrās	administraːs
administrāsse	administraːsse
administrāssem	administraːssem
administrāssēs	administraːsseːs
administrātiō	administraːtioː
administrātor	administraːtor
administrātōrius	administraːtoːrius
administrēs	administreːs
administrō	administroː
admisceō	admiskeoː
admissor	admissor
admissārius	admissaːrius
admissōrum	admissoːrum
admittātur	admittaːtur
admittō	admittoː
admixtus	admikstus
admoderor	admoderor
admodulor	admodulor
admodulātūrus	admodulaːtuːr
admoneō	admoneoː
admonitor	admonitor
admonitōrium	admonitoːrium
admordeō	admordeoː
admoveō	admou̯eoː
admovēs	admou̯eːs
admurmuror	admurmuror
admurmurātiō	admurmuratio
admurmurātiōnibus	admurmurationibus
admurmurātum	admurmuraːtum
admurmurō	admurmuroː
admutilō	admutiloː
admātūrō	admaːtuːroː
admētior	admeːtior
admētus	admeːtus
admīrandus	admiːrandus
admīror	admiːror
admīrābilis	admiːraːbilis
admīrābiliter	admiːraːbiliter
admīrābilitās	admiːraːbilitaːs
admīrātiō	admiːraːtioː
admōlior	admoːlior
admūgiō	admuːɡioː
adnatātum	adnataːtum
adnatō	adnatoː
adnectō	adnektoː
adnictō	adniktoː
adnotō	adnotoː
adnumerō	adnumeroː
adnuō	adnuoː
adnāvigātum	adnaːu̯iɡaːtum
adnāvigō	adnaːu̯iɡoː
adnītor	adniːtor
adnō	adnoː
adnōdō	adnoːdoː
adnūbilō	adnuːbiloː
adnūllō	adnuːlloː
adnūntiō	adnuːntioː
adnūtriō	adnuːtrioː
adnūtātum	adnuːtaːtum
adnūtō	adnuːtoː
adolenda	adolenda
adolphus	adolpʰus
adolēscente	adoleːskente
adoperiō	adoperioː
adoptandō	adoptandoː
adoptante	adoptante
adoptantī	adoptantiː
adoptantō	adoptantoː
adoptem	adoptem
adoptiō	adoptioː
adoptor	adoptor
adoptā	adoptaː
adoptārem	adoptaːrem
adoptārās	adoptaːraːs
adoptārēs	adoptaːreːs
adoptās	adoptaːs
adoptāsse	adoptaːsse
adoptāssem	adoptaːssem
adoptāssēs	adoptaːsseːs
adoptāta	adoptaːta
adoptāta	adoptaːtaː
adoptāte	adoptaːte
adoptātī	adoptaːtiː
adoptātō	adoptaːtoː
adoptēs	adopteːs
adoptīvus	adoptiːu̯us
adoptō	adoptoː
adopīnor	adopiːnor
ador	ador
adore	adore
adore	adoːre
adoribus	adoribus
adoribus	adoːribus
