3	tʂɚ
abażurom	abaʐurɔm
abażurowi	abaʐurɔvi
abażurowy	abaʐurɔvɨ
abażuru	abaʐuru
abażury	abaʐurɨ
abażurze	abaʐuʐɛ
abażurów	abaʐuruf
abbadydzi	apɯpatedʑi
abbatyssa	abbatɨssa
abcas	aptsas
abchascy	apxastsɨ
abchaska	apxaska
abchaski	apxaski
abchaskich	apxaskix
abchaskie	apxaskjɛ
abchaskiego	apxaskjɛgɔ
abchaskiej	apxaskjɛj
abchaskiemu	apxaskjɛmu
abchaskim	apxaskim
abchaskimi	apxaskimi
abchasko-gruziński	abxaskɔgruʑiɲski
abchasku	apxasku
abchaską	apxaskɔw̃
abchaz	apxas
abchaza	apxaza
abchazach	apxazax
abchazami	apxazami
abchazce	apxastsɛ
abchazek	apxazɛk
abchazem	apxazɛm
abchazi	apxaʑi
abchazie	apxaʑɛ
abchazja	apxazja
abchazji	apxazji
abchazjo	apxazjɔ
abchazją	apxazjɔw̃
abchazję	apxazjɛ
abchazka	apxaska
abchazkach	apxaskax
abchazkami	apxaskami
abchazki	apxaski
abchazko	apxaskɔ
abchazkom	apxaskɔm
abchazką	apxaskɔw̃
abchazkę	apxaskɛ
abchazom	apxazɔm
abchazowi	apxazɔvi
abchazowie	apxazɔvjɛ
abchazów	apxazuf
abcug	aptsuk
abcug	apttsuk
abcugować	aptsugɔvatɕ
abdach	ɒbdax
abdanch	abdaŋx
abdank	abdaŋk
abdankowanie	abdaŋkɔvaɲɛ
abdankować	abdaŋkɔvatɕ
abdankowy	abdaŋkɔvɨ
abdańczyk	abdaɲtʂɨk
abdera	abdɛra
abderycki	abdɛrɨtski
abderyta	abdɛrɨta
abderytka	abdɛrtka
abderytka	abdɛrɨtka
abdest	abdɛst
abdiasz	abdjaʂ
abditorium	abditorjum
abdomen	abdɔmɛn
abdominalny	abdɔminalnɨ
abdominoplastyka	abdɔminɔplastɨka
abdon	abdɔn
abdruk	abdruk
abdukcja	abduktsja
abdukcja	apduktsia
abdukcyjny	abduktsɨjnɨ
abduktor	abduktor
abduktor	abduktɔr
abduktorach	abduktɔrax
abduktorami	abduktɔrami
abduktorem	abduktɔrɛm
abduktorom	abduktɔrɔm
abduktorowi	abduktɔrɔvi
abduktoru	abduktɔru
abduktory	abduktɔrɨ
abduktorze	abduktɔʐɛ
abduktorów	abduktɔruf
abdul	abduʔ
abdykacja	abdɨkatsja
abdykacjach	abdɨkatsjax
abdykacjami	abdɨkatsjami
abdykacje	abdɨkatsjɛ
abdykacji	abdɨkatsji
abdykacjo	abdɨkatsjɔ
abdykacjom	abdɨkatsjɔm
abdykacją	abdɨkatsjɔw̃
abdykację	abdɨkatsjɛ
abdykacyj	abdɨkatsɨj
abdykacyjny	abdɨkatsɨjnɨ
abdykat	abdɨkat
abdykowanie	abdɨkɔvaɲɛ
abdykować	abdɨkɔvatɕ
abdykuje	abdajkujɛ
abdżad	abdʐat
abecadeł	abɛtsadɛw
abecadlarz	abɛtsadlaʂ
abecadle	abɛtsadlɛ
abecadlnik	abɛtsadlɲik
abecadlny	abɛtsadlnɨ
abecadła	abɛtsadwa
abecadłach	abɛtsadwax
abecadłami	abɛtsadwami
abecadłem	abɛtsadwɛm
abecadło	abɛtsadwɔ
abecadło	ãmbɾesadwɔ
abecadłom	abɛtsadwɔm
abecadłowo	abɛtsadwɔvɔ
abecadłowością	abɛtsadwɔvɔɕtɕɔw̃
abecadłowość	abɛtsadwɔvɔɕtɕ
abecadłowy	abɛtsadwɔvɨ
abecadłu	abɛtsadwu
abecedariusz	abɛtsɛdarjuʂ
abecedariusz	abɛtsɛdarjuʃ
abelizaur	abɛlizauɾ
abelizaur	abɛlizawr
abentajer	abɛntaːjər
abernathyit	abɛrnadhejt
aberracja	abɛrratsja
aberracja	abɛɾratsja
aberracja	apɛrɾatsja
aberracjach	abɛrratsjax
aberracjami	abɛrratsjami
aberracje	abɛrratsjɛ
aberracji	abɛrratsji
aberracjo	abɛrratsjɔ
aberracjom	abɛrratsjɔm
aberracją	abɛrratsjɔw̃
aberrację	abɛrratsjɛ
aberracyj	abɛrratsɨj
aberracyjnością	abɛrratsɨjnɔɕtɕɔw̃
aberracyjność	abɛrratsɨjnɔɕtɕ
aberracyjny	abɛrratsɨjnɨ
aberrometr	abɛrrɔmɛtr
aberroskop	abɛrroskop
abetalipoproteinemia	abɛtalipɔprɔtɛinɛmja
abewiacy	abɨvjatsɨ
abfal	apfal
abhezyjny	abxazajnɨ
abhorencja	abxorɛntsja
abidżan	abidʐan
abidżan	abidʒan
abidżański	abidʐaɲski
abiecadło	ɒbjɛtsadɫɔ
abietyna	abjɛtɨna
abietynowy	abjɛtɨnɔvɨ
abiogeneza	abjɔgɛnɛza
abiogenezie	abjɔgɛnɛʑɛ
abiogenezo	abjɔgɛnɛzɔ
abiogenezy	abjɔgɛnɛzɨ
abiogenezą	abjɔgɛnɛzɔw̃
abiogenezę	abjɔgɛnɛzɛ
abiogenny	abjogɛnnɨ
abiogenny	abjɔgɛnnɨ
abiologia	abjɔlɔgja
abiologicznie	abjɔlɔgitʂɲɛ
abiologiczny	abjɔlɔgitʂnɨ
abioseston	abjusɛstɔn
abiotycznie	abjɔtɨtʂɲɛ
abiotyczny	abjɔtɨtʂnɨ
abioza	abjosa
abisal	abisal
abisalny	abisalnɨ
abisobiont	abisopjont
abisobiont	abisɔbjɔnt
abisofil	abisɔfil
abisopelagial	abisopɛlaɣjal
abisynce	abisɨntsɛ
abisynek	abisɨnɛk
abisynia	abisɨɲa
abisynka	abisɛnka
abisynka	abisɨŋka
abisynkach	abisɨŋkax
abisynkami	abisɨŋkami
abisynki	abisɨŋki
abisynko	abisɨŋkɔ
abisynkom	abisɨŋkɔm
abisynką	abisɨŋkɔw̃
abisynkę	abisɨŋkɛ
abisyńczyk	abisɨɲtʂɨk
abisyńczyka	abisɨɲtʂɨka
abisyńczykach	abisɨɲtʂɨkax
abisyńczykami	abisɨɲtʂɨkami
abisyńczyki	abisɨɲtʂɨki
abisyńczykiem	abisɨɲtʂɨkjɛm
abisyńczykom	abisɨɲtʂɨkɔm
abisyńczykowi	abisɨɲtʂɨkɔvi
abisyńczyku	abisɨɲtʂɨku
abisyńczyków	abisɨɲtʂɨkuf
abisyńscy	abisɨɲstsɨ
abisyńska	abisɨɲska
abisyński	abisɨɲski
abisyńskich	abisɨɲskix
abisyńskie	abisɨɲskjɛ
abisyńskiego	abisɨɲskjɛgɔ
abisyńskiej	abisɨɲskjɛj
abisyńskiemu	abisɨɲskjɛmu
abisyńskim	abisɨɲskim
abisyńskimi	abisɨɲskimi
abisyńską	abisɨɲskɔw̃
abitella	apitɛlla
abiturienci	abiturjɛntɕi
abituriencie	abiturjɛntɕɛ
abituriencki	abiturjɛntski
abiturient	abitoriɛnd
abiturient	abiturjɛnt
abiturient	abituɾjɛnd
abiturient	abɪturiˈɛnt
abiturienta	abiturjɛnta
abiturientach	abiturjɛntax
abiturientami	abiturjɛntami
abiturientem	abiturjɛntɛm
abiturientka	abiturjɛntka
abiturientom	abiturjɛntɔm
abiturientowi	abiturjɛntɔvi
abiturientów	abiturjɛntuf
abiudykacja	abjudɨkasja
abiudykacja	abjudɨkatsja
abiuracja	abjuratsia
abiuracja	abjuratsja
abiurata	abjurata
ablacja	ablatsja
ablacjach	ablatsjax
ablacjami	ablatsjami
ablacje	ablatsjɛ
ablacji	ablatsji
ablacjo	ablatsjɔ
ablacjom	ablatsjɔm
ablacją	ablatsjɔw̃
ablację	ablatsjɛ
ablacyj	ablatsɨj
ablacyjnie	ablatsɨjɲɛ
ablacyjny	ablatsɨjnɨ
ablaktacja	ablaktatsja
ablaktowanie	ablaktɔvaɲiɛ
ablaktowanie	ablaktɔvaɲɛ
ablaktować	ablaktɔvatɕ
ablativus	ablativus
ablatiwus	ablativus
ablatyw	ablatɨf
ablatywach	ablatɨvax
ablatywami	ablatɨvami
ablatywem	ablatɨvɛm
ablatywie	ablatɨvjɛ
ablatywnie	ablatɨvɲɛ
ablatywności	ablatɨvnɔɕtɕi
ablatywnością	ablatɨvnɔɕtɕɔw̃
ablatywność	ablatɨvnɔɕtɕ
ablatywny	ablatɨvnɨ
ablatywom	ablatɨvɔm
ablatywowi	ablatɨvɔvi
ablatywu	ablatɨvu
ablatywy	ablatɨvɨ
ablatywów	ablatɨvuf
ablegacja	ablɛgatsja
ablegat	ablɛgat
ablegier	ablɛgir
ablegier	ablɛgjɛr
ablegierek	ablɛgjɛrɛk
ablegierek	aplɛkjɛrɛk
ablegierka	ablɛgjɛrka
ablegierkach	ablɛgjɛrkax
ablegierkami	ablɛgjɛrkami
ablegierki	ablɛgjɛrki
ablegierkiem	ablɛgjɛrkjɛm
ablegierkom	ablɛgjɛrkɔm
ablegierkowi	ablɛgjɛrkɔvi
ablegierku	ablɛgjɛrku
ablegierków	ablɛgjɛrkuf
ablegra	ablɛgra
ablegrach	ablɛgrax
ablegrami	ablɛgrami
ablegrem	ablɛgrɛm
ablegrom	ablɛgrɔm
ablegrowanie	ablɛgrɔvaɲɛ
ablegrować	ablɛgrɔvatɕ
ablegrowi	ablɛgrɔvi
ablegry	ablɛgrɨ
ablegrze	ablɛgʐɛ
ablegrów	ablɛgruf
ableizm	ɛjblizm
ablizm	ɛjblizm
ablucja	ablutsja
ablucja	aploːtsja
ablucyjny	ablutsɨjnɨ
ablutomania	ablutɔmaɲia
abnegaci	abnɛgatɕi
abnegacie	abnɛgatɕɛ
abnegacja	abnɛgatsja
abnegacki	abnɛgatski
abnegacko	abnɛgatskɔ
abnegat	abnɛgat
abnegata	abnɛgata
abnegatach	abnɛgatax
abnegatami	abnɛgatami
abnegatem	abnɛgatɛm
abnegatka	abnɛgatka
abnegatom	abnɛgatɔm
abnegatowi	abnɛgatɔvi
abnegatów	abnɛgatuf
abobra	abˈobra
abociem	abɔtɕem
abociem	abɔtɕɛm
abocim	abɔtɕim
abojem	abɔjɛm
aboli	abɔli
abolicja	abolitsia
abolicja	abɔlitsja
abolicjonista	abɔlitsjɔɲista
abolicjonistka	abɔlitsjɔɲistka
abolicjonistycznie	abɔlitsjɔɲistɨtʂɲɛ
abolicjonistyczny	abɔlitsjɔɲistɨtʂnɨ
abolicjonizm	abɔlitsjɔɲizm
abolicyjny	abɔlitsɨjnɨ
abominacja	abominatsia
abominacja	abɔminatsja
abominacyjny	abɔminatsɨjnɨ
abonamencie	abɔnamɛntɕɛ
abonamencik	abɔnamɛntɕik
abonamencikach	abɔnamɛntɕikax
abonamencikami	abɔnamɛntɕikami
abonamenciki	abɔnamɛntɕiki
abonamencikiem	abɔnamɛntɕikjɛm
abonamencikom	abɔnamɛntɕikɔm
abonamencikowi	abɔnamɛntɕikɔvi
abonamenciku	abɔnamɛntɕiku
abonament	abonament
abonament	abonamɛnt
abonament	abɔnamɛnt
abonamentach	abɔnamɛntax
abonamentami	abɔnamɛntami
abonamentem	abɔnamɛntɛm
abonamentom	abɔnamɛntɔm
abonamentowa	abɔnamɛntɔva
abonamentowe	abɔnamɛntɔvɛ
abonamentowego	abɔnamɛntɔvɛgɔ
abonamentowej	abɔnamɛntɔvɛj
abonamentowemu	abɔnamɛntɔvɛmu
abonamentowi	abɔnamɛntɔvi
abonamentowy	abɔnamɛntɔvɨ
abonamentowych	abɔnamɛntɔvɨx
abonamentowym	abɔnamɛntɔvɨm
abonamentowymi	abɔnamɛntɔvɨmi
abonamentową	abɔnamɛntɔvɔw̃
abonamentu	abɔnamɛntu
abonamenty	abonamentɛ
abonamenty	abɔnamɛntɨ
abonamentów	abɔnamɛntuf
abonenccy	abɔnɛntstsɨ
abonenci	abɔnɛntɕi
abonencie	abɔnɛntɕɛ
abonencka	abɔnɛntska
abonencki	abɔnɛntski
abonenckich	abɔnɛntskix
abonenckie	abɔnɛntskjɛ
abonenckiego	abɔnɛntskjɛgɔ
abonenckiej	abɔnɛntskjɛj
abonenckiemu	abɔnɛntskjɛmu
abonenckim	abɔnɛntskim
abonenckimi	abɔnɛntskimi
abonencką	abɔnɛntskɔw̃
abonent	abonant
abonent	abonent
abonent	abɔnɛnt
abonenta	abɔnɛnta
abonentach	abɔnɛntax
abonentami	abɔnɛntami
abonentce	abɔnɛnttsɛ
abonentek	abɔnɛntɛk
abonentem	abɔnɛntɛm
abonentka	abɔnɛntka
abonentkach	abɔnɛntkax
abonentkami	abɔnɛntkami
abonentki	abɔnɛntki
abonentko	abɔnɛntkɔ
abonentkom	abɔnɛntkɔm
abonentką	abɔnɛntkɔw̃
abonentkę	abɔnɛntkɛ
abonentom	abɔnɛntɔm
abonentowi	abɔnɛntɔvi
abonentowy	abɔnɛntɔvɨ
abonentów	abɔnɛntuf
abonowali	abɔnɔvali
abonowaliby	abɔnɔvalibɨ
abonowalibyście	abɔnɔvalibɨɕtɕɛ
abonowalibyśmy	abɔnɔvalibɨɕmɨ
abonowaliście	abɔnɔvaliɕtɕɛ
abonowaliśmy	abɔnɔvaliɕmɨ
abonowana	abɔnɔvana
abonowane	abɔnɔvanɛ
abonowanego	abɔnɔvanɛgɔ
abonowanej	abɔnɔvanɛj
abonowanemu	abɔnɔvanɛmu
abonowani	abɔnɔvaɲi
abonowania	abɔnɔvaɲa
abonowanie	abɔnɔvaɲɛ
abonowanie	abˈonɔvaɲa
abonowaniem	abɔnɔvaɲɛm
abonowaniu	abɔnɔvaɲu
abonowano	abɔnɔvanɔ
abonowany	abɔnɔvanɨ
abonowanych	abɔnɔvanɨx
abonowanym	abɔnɔvanɨm
abonowanymi	abɔnɔvanɨmi
abonowaną	abɔnɔvanɔw̃
abonować	abɔnɔvatɕ
abonował	abɔnɔvaw
abonowała	abɔnɔvawa
abonowałaby	abɔnɔvawabɨ
abonowałabym	abɔnɔvawabɨm
abonowałabyś	abɔnɔvawabɨɕ
abonowałam	abɔnɔvawam
abonowałaś	abɔnɔvawaɕ
abonowałby	abɔnɔvawbɨ
abonowałbym	abɔnɔvawbɨm
abonowałbyś	abɔnɔvawbɨɕ
abonowałem	abɔnɔvawɛm
abonowałeś	abɔnɔvawɛɕ
abonowało	abɔnɔvawɔ
abonowałoby	abɔnɔvawɔbɨ
abonowały	abɔnɔvawɨ
abonowałyby	abɔnɔvawɨbɨ
abonowałybyście	abɔnɔvawɨbɨɕtɕɛ
abonowałybyśmy	abɔnɔvawɨbɨɕmɨ
abonowałyście	abɔnɔvawɨɕtɕɛ
abonowałyśmy	abɔnɔvawɨɕmɨ
abonuj	abɔnuj
abonujcie	abɔnujtɕɛ
abonuje	abɔnujɛ
abonujecie	abɔnujɛtɕɛ
abonujemy	abɔnujɛmɨ
abonujesz	abɔnujɛʂ
abonujmy	abɔnujmɨ
abonują	abɔnujɔw̃
abonując	abɔnujɔnts
abonująca	abɔnujɔntsa
abonujące	abɔnujɔntsɛ
abonującego	abɔnujɔntsɛgɔ
abonującej	abɔnujɔntsɛj
abonującemu	abɔnujɔntsɛmu
abonujący	abɔnujɔntsɨ
abonujących	abɔnujɔntsɨx
abonującym	abɔnujɔntsɨm
abonującymi	abɔnujɔntsɨmi
abonującą	abɔnujɔntsɔw̃
abonuję	abɔnujɛ
aboralnie	abɔralɲɛ
aboralny	aboralnɨ
aboralny	abɔralnɨ
aborcja	abortsia
aborcja	abortsja
aborcja	abɔrtsja
aborcjach	abɔrtsjax
aborcjami	abɔrtsjami
aborcje	abɔrtsjɛ
aborcji	abɔrtsji
aborcjo	abɔrtsjɔ
aborcjom	abɔrtsjɔm
aborcjonalista	abɔrtsjɔnalista
aborcjonista	abɔrtsjɔɲista
aborcjonistach	abɔrtsjɔɲistax
aborcjonistami	abɔrtsjɔɲistami
aborcjonistka	abɔrtsiɔnjstka
aborcjonistka	abɔrtsjɔɲistka
aborcjonistki	aborntsɛɔɲisdki
aborcjonisto	abɔrtsjɔɲistɔ
aborcjonistom	abɔrtsjɔɲistɔm
aborcjonisty	abɔrtsjɔɲistɨ
aborcjonistyczny	abɔrtsjɔɲistɨtʂnɨ
aborcjonistów	abɔrtsjɔɲistuf
aborcjonistą	abɔrtsjɔɲistɔw̃
aborcjonistę	abɔrtsjɔɲistɛ
aborcjonizm	abɔrtsjɔɲizm
aborcjoniści	abortsjɔɲiɕtɕi
aborcjoniści	abɔrtsjɔɲiɕtɕi
aborcjoniście	abɔrtsjɔɲiɕtɕɛ
aborcją	abɔrtsjɔw̃
aborcję	abɔrtsjɛ
aborcyj	abɔrtsɨj
aborcyjnie	abortsɛjɲe
aborcyjnie	abɔrtsɨjɲɛ
aborcyjny	abɔrtsɨjnɨ
abordaż	abordas
abordaż	abɔrdaʂ
abordażach	abɔrdaʐax
abordażami	abɔrdaʐami
abordaże	abɔrdaʐɛ
abordażem	abɔrdaʐɛm
abordażom	abɔrdaʐɔm
abordażowanie	abɔrdaʐɔvaɲɛ
abordażowanie	apɔrdɒʐɔvaɲɛ
abordażować	abɔrdaʐɔvatɕ
abordażować	apɔrdɒʐɔvatɕ
abordażowi	abɔrdaʐɔvi
abordażowy	abɔrdaʐɔvɨ
abordażu	abɔrdaʐu
abordaży	abɔrdaʐɨ
abordażów	abɔrdaʐuf
aborter	abɔrtɛr
aborterka	abɔrtajrka
aborterka	abɔrtɛrka
abortowanie	abɔrtɔvaɲɛ
abortować	abɔrtɔvatɕ
abortywny	abɔrtɨvnɨ
aborygen	aburɨgɛn
aborygen	abɔrɨgɛn
aborygenes	abɔrɨgɛnɛs
aborygenka	aburɨgɛnka
aborygenka	abɔrɨgɛŋka
aborygeński	aborɨgɛɲski
aborygeński	abɔrɨgɛɲski
abowiem	abɔvjem
abowiem	abɔvjɛm
abowiem	apovjɛm
abowiemci	abɔvjemtɕi
abowiemci	abɔvjɛmtɕi
abowim	abɔvim
abowimci	abɔvimtɕi
aboć	abɔtɕ
aboś	abɔɕ
aboś	apos
abradowanie	abradɔvaɲiɛ
abradowanie	abradɔvaɲɛ
abradować	abradɔvatɕ
abraham	abraxam
abrahamiczny	abraxamitʂnɨ
abrahamita	abraxamita
abrahamizm	abraxamizm
abrahamizmem	abraxamizmɛm
abrahamizmie	abraxamizmjɛ
abrahamizmowi	abraxamizmɔvi
abrahamizmu	abraxamizmu
abrahamowicz	abraxamɔvitʂ
abrahamowy	abraxamɔvɨ
abrahamowy	abrɒxɒmɔvɨ
abrahamów	abrɒxɒmof
abrakadabra	abrakadabra
abram	abram
abramowianin	abramɔviaɲim
abramowianka	abramɔvjalka
abramowice	abramovitsɛ
abramowicz	abramɔvitʂ
abraszewska	abraʂɛfska
abraszewski	abraʂɛfski
abrazja	abrazja
abrazyjnie	abrazɨjɲɛ
abrazyjnością	abrazɨjnɔɕtɕɔw̃
abrazyjność	abrazɨjnɔɕtɕ
abrazyjny	abrazɨjnɨ
abrenuncjacja	abrɛnuntsjatsja
abrenuncjata	abrɛnuntsjata
abrenuncjowanie	abrɛnuntsjɔvaɲe
abrewiacja	abrɛvjatsja
abrewiacyjny	abrɛvjatsɨjnɨ
abrewiator	abrɛviator
abrewiator	abrɛvjatɔr
abrewiatura	abrɛvjatura
abrewiatura	ɒbrɛvjɒtura
abrewiaturalny	abrɛvjatoralnɨ
abrewiologia	aprepiologia
abrogacja	abrɔgatsja
abrogowanie	abrɔgɔvaɲɛ
abrogować	abrɔgɔvatɕ
abros	apros
abrotyna	abrɔtɨna
abruzja	abruzja
abruzyjczyk	abruzɨjtʂɨk
abruzyjski	abruzɨjski
abryna	abrɨna
abrys	abrɨs
abrysa	abrɨsa
abrysować	abrɨsɔvatɕ
abrysowy	abrɨsɔvɨ
abs	abɛs
absalom	apsalɔm
absces	apstsɛs
abscysa	apstsɨsa
absencja	apsɛntsja
absencja	aːbsˈɛntsjo
absencyja	apsɛntsɨjɒ
absencyjnością	apsɛntsɨjnɔɕtɕɔw̃
absencyjność	apsɛntsɨjnɔɕtɕ
absencyjny	apsɛntsɨjnɨ
absent	apsɛnt
absenteista	apsɛntɛista
absenteizm	apsɛntɛizm
absentowanie	apsɛntɔvaɲiɛ
absentowanie	apsɛntɔvaɲɛ
absentować	apsɛntɔvatɕ
absentyzm	apsɛntɨzm
absmak	apsmak
absmakiem	apsmakjɛm
absmakowi	apsmakɔvi
absmaku	apsmaku
absolucja	apsɔlutsja
absolucjach	apsɔlutsjax
absolucjami	apsɔlutsjami
absolucje	apsɔlutsjɛ
absolucji	apsɔlutsji
absolucjo	apsɔlutsjɔ
absolucjom	apsɔlutsjɔm
absolucją	apsɔlutsjɔw̃
absolucję	apsɔlutsjɛ
absolucyja	apsɔlutsɨjɒ
absolustyczny	apsɔlustɨtʂnɨ
absolut	apsɔlut
absolut	ˈabzɔlut
absolutnie	apsɔlutɲɛ
absolutnie	aːbsɔlutɲɛ
absolutniej	apsɔlutɲɛj
absolutniejszy	apsɔlutɲɛjʂɨ
absolutnością	apsɔlutnɔɕtɕɔw̃
absolutność	apsɔlutnɔɕtɕ
absolutny	apsɔlutnɨ
absolutorium	apsɔlutɔrjum
absolutoryjny	apsɔlutɔrɨjnɨ
absolutowanie	abzalutɔpaɲe
absolutysta	apsɔlutɨsta
absolutystach	apsɔlutɨstax
absolutystami	apsɔlutɨstami
absolutystce	apsɔlutɨsttsɛ
absolutystek	apsɔlutɨstɛk
absolutystka	apsɔlutɨstka
absolutystkach	apsɔlutɨstkax
absolutystkami	apsɔlutɨstkami
absolutystki	apsɔlutɨstki
absolutystko	apsɔlutɨstkɔ
absolutystkom	apsɔlutɨstkɔm
absolutystką	apsɔlutɨstkɔw̃
absolutystkę	apsɔlutɨstkɛ
absolutysto	apsɔlutɨstɔ
absolutystom	apsɔlutɨstɔm
absolutysty	apsɔlutɨstɨ
absolutystycznie	apsɔlutɨstɨtʂɲɛ
absolutystycznością	apsɔlutɨstɨtʂnɔɕtɕɔw̃
absolutystyczność	apsɔlutɨstɨtʂnɔɕtɕ
absolutystyczny	apsɔlutɨstɨtʂnɨ
absolutystów	apsɔlutɨstuf
absolutystą	apsɔlutɨstɔw̃
absolutystę	apsɔlutɨstɛ
absolutyw	apsɔlutɨf
absolutywem	apsɔlutɨvɛm
absolutywie	apsɔlutɨvjɛ
absolutywny	apsɔlutɨvnɨ
absolutywowi	apsɔlutɨvɔvi
absolutywu	apsɔlutɨvu
absolutyzacja	apsɔlutɨzatsja
absolutyzm	apsɔlutɨzm
absolutyzmem	apsɔlutɨzmɛm
absolutyzmie	apsɔlutɨzmjɛ
absolutyzmowi	apsɔlutɨzmɔvi
absolutyzmu	apsɔlutɨzmu
absolutyzowanie	apsɔlutɨzɔvaɲɛ
absolutyzować	apsɔlutɨzɔvatɕ
absolutyści	apsɔlutɨɕtɕi
absolutyście	apsɔlutɨɕtɕɛ
absolwenci	abzɔlvɛntʃi
absolwenci	apsɔlvɛntɕi
absolwencie	apsɔlvɛntɕɛ
absolwencki	apsɔlvɛntski
absolwent	apsɔlvɛnt
absolwenta	apsɔlvɛnta
absolwentach	apsɔlvɛntax
absolwentami	apsɔlvɛntami
absolwentce	apsɔlvɛnttsɛ
absolwentek	apsɔlvɛntɛk
absolwentem	apsɔlvɛntɛm
absolwentka	apsɔlvɛntka
absolwentkach	apsɔlvɛntkax
absolwentkami	apsɔlvɛntkami
absolwentki	apsɔlvɛntki
absolwentko	apsɔlvɛntkɔ
absolwentkom	apsɔlvɛntkɔm
absolwentką	apsɔlvɛntkɔw̃
absolwentkę	apsɔlvɛntkɛ
absolwentom	apsɔlvɛntɔm
absolwentowi	apsɔlvɛntɔvi
absolwentów	apsɔlvɛntuf
absolwowanie	apsɔlvɔvaɲɛ
absolwować	apsɔlvɔvatɕ
absorbancja	apsɔrbantsja
absorbat	apsɔrbat
absorbencie	apsɔrbɛntɕɛ
absorbent	apsɔrbɛnt
absorbentach	apsɔrbɛntax
absorbentami	apsɔrbɛntami
absorbentem	apsɔrbɛntɛm
absorbentom	apsɔrbɛntɔm
absorbentowi	apsɔrbɛntɔvi
absorbentu	apsɔrbɛntu
absorbenty	apsɔrbɛntɨ
absorbentów	apsɔrbɛntuf
absorber	apsɔrbɛr
absorbera	apsɔrbɛra
absorberach	apsɔrbɛrax
absorberami	apsɔrbɛrami
absorberem	apsɔrbɛrɛm
absorberom	apsɔrbɛrɔm
absorberowi	apsɔrbɛrɔvi
absorbery	apsɔrbɛrɨ
absorberze	apsɔrbɛʐɛ
absorberów	apsɔrbɛruf
absorbowali	apsɔrbɔvali
absorbowaliby	apsɔrbɔvalibɨ
absorbowalibyście	apsɔrbɔvalibɨɕtɕɛ
absorbowalibyśmy	apsɔrbɔvalibɨɕmɨ
absorbowaliście	apsɔrbɔvaliɕtɕɛ
absorbowaliśmy	apsɔrbɔvaliɕmɨ
absorbowana	apsɔrbɔvana
absorbowane	apsɔrbɔvanɛ
absorbowanego	apsɔrbɔvanɛgɔ
absorbowanej	apsɔrbɔvanɛj
absorbowanemu	apsɔrbɔvanɛmu
absorbowani	apsɔrbɔvaɲi
absorbowania	apsɔrbɔvaɲa
absorbowanie	apsɔrbɔvaɲɛ
absorbowanie	ɔbsɔrbɔvinjɛ
absorbowaniem	apsɔrbɔvaɲɛm
absorbowaniu	apsɔrbɔvaɲu
absorbowano	apsɔrbɔvanɔ
absorbowany	apsɔrbɔvanɨ
