abacada	ʔàːbàːtʃàːdâː
aljanna	ʔàldʒánnàː
aljan	ʔàldʒáŋ
alkadari	ʔàlkə́də̀ríː
alkali	ʔàlkáːlíː
alkama	ʔàlkə́màː
alkarya	ʔàlkárjàː
alkawari	ʔàlkə́wə̀ríː
alkyabba	ʔàlcɛ́bbàː
alƙahira	ʔàlkʼáːhɪ̀rə́
alƙalami	ʔàlkʼə́lə̀míː
alƙali	ʔàlkʼáːlíː
alƙur'ani	ʔàlkʷʼʊ̀rʔáːnìː
allah	ʔállàː
alli	ʔàllíː
alli	ʔâllíː
allura	ʔàllúːràː
almajiri	ʔàlmáːdʒɪ̀ríː
almakashi	ʔàlmə́kə̀ʃíː
almasihu	ʔàlmə̀síːhʊ̀
altine	ʔàltɪ̀né
al'umma	ʔàlʔʊ́mmàː
alwala	ʔàlwə̀láː
amalanke	ʔámáːlɛ́ɲcé
amale	ʔámáːlè
amana	ʔàmáːnàː
amarya	ʔámáɽjáː
amawali	ʔámáːwə̀líː
ambaliya	ʔámbàːlɪ́jàː
amfani	ʔàmɸàːníː
amina	ʔámíːnə̀
amini	ʔàmíːnìː
amin	ʔàːmɪ́ŋ
amirka	ʔámɪ̀rkə̀
amma	ʔàmmáː
amo	ʔámóː
amsa	ʔámsàː
amurka	ʔámʊ̀rkə̀
anabi	ʔánə̀bíː
anaca	ʔànə̀tʃə̀
ango	ʔáŋgʷò
anini	ʔàníːníː
ankara	ʔáŋkə̀rə̀
annabi	ʔànnə́bìː
annoba	ʔànnòːbáː
annuri	ʔànnúːrìː
anta	ʔántàː
arabiyya	ʔàrə̀bɪ́jjàː
aradu	ʔàráːdɪ̀
arba'in	ʔàrbə̀ʔɪ́ŋ
arewa	ʔáɽèːwə́
arziki	ʔárzɪ̀cíː
ar	ʔár
asabari	ʔásə́bə̀ríː
asabar	ʔàsə́bàr
asabe	ʔàsə̀bé
asali	ʔásə́líː
asara	ʔàsáːràː
asawaki	ʔàsə́wàːcíː
asham	ʔáʃáŋ
ashana	ʔàʃáːnáː
ashirin	ʔàʃɪ̀rɪ́ŋ
asibiti	ʔásɪ̀bɪ́tɪ̀
asiri	ʔàsíːríː
asiya	ʔáːsɪ́jɛ̀
aske	ʔáscèː
asubahi	ʔàsɪ̀báːhɪ̀
asuba	ʔàsɪ̀bâː
attajiri	ʔàttáːdʒɪ̀ríː
attaura	ʔàttáuráː
auduga	ʔáudɪ̀gáː
audu	ʔáudɪ̀
aure	ʔáuɽéː
awaza	ʔàwə́zàː
awa	ʔáwàː
ayaba	ʔɛ̀jɛ̀bə̀
ayari	ʔáːjɛ̀ríː
aya	ʔáːjàː
ayu	ʔɛ̀júː
azaba	ʔàzáːbàː
azahariyya	ʔàzə̀hàrɪ́jjàː
azahar	ʔàzə́hàr
azumi	ʔázɪ̀míː
azumi	ʔázɪ̀mɪ́
azurfa	ʔázɪ̀rɸáː
azzakari	ʔàzzə́kə̀ríː
ba'askare	bə̀ʔáskə́rèː
baba	báːbáː
baba	bàːbáː
baba	báːbə̀
baba	bàːbə́
babba	bàbbə́
babur	bàːbʊ́r
bado	bə́dòː
badun	bàːdɪ̀ŋ
baffa	báɸɸə̀
bafilatani	bə̀ɸɪ́láːtə̀níː
bafillace	bə̀ɸɪ́lláːtʃèː
bagadaza	bə̀gə̀dáːzə̀
bagwari	bə̀gʷáːɽíː
bahar	bə́hàr
bahasi	bə́hàsíː
bahaushe	bə̀háuʃèː
bahili	bə̀híːlìː
baho	báːhòː
baibai	bèibêi
baiti	béitìː
baitulmali	bèitɪ̀lmáːlɪ̀
baiwa	bêiwáː
baiwa	bêiwə́
bajau	bə́dʒáu
bajo	báːdʒòː
baka	bə̀káː
baka	bə́kə̀
baki	bàːcíː
bakwai	bə́kʷèi
baƙi	bə́cʼíː
baƙo	bàːkʷʼó
bala'i	bə̀láːʔìː
balaraba	bə̀láːrə́bə̀
balarabe	bə̀láːrə́bè
balarabe	bə̀láːrə́bèː
balas	bə́làs
bal	bâl
bana	bə́nə́
banda	bàndáː
banga	bàŋgáː
bangaskiya	báŋgáscɪ́jáː
bango	báŋgʷóː
bappa	báppə̀
bara	bàːráː
bara	bàːɽə́
bara	bə́ràː
bara	bə́ɽàː
bararo	bə̀rə̀róː
barau	bə̀ɽáu
barbarci	báɽbáɽtʃíː
barewa	bə̀ɽéːwáː
bargo	bàrgʷóː
barka	bárkàː
barkono	bàrkʷòːnóː
barno	bàrnó
basakkwace	bə̀sákʷkʷə́tʃèː
basasa	báːsáːsàː
bas	bâs
basukur	báːsɪ́kʷʊ̀r
batir	báːtɪ̀r
batta	báttàː
bature	bə̀túːrèː
bauta	bàutáː
bawa	báːwàː
bawa	báːwə̀
baya	báːjáː
baya	báːjɛ́
bayan	báːjɛ́ŋ
bedi	béːdìː
bel	bál
bello	bállò
bici	bɪ́tʃɪ̀
bidi'a	bɪ́dɪ́ʔàː
bif	bɪ̂p
bika	bɪ̀káː
bil	bɪ̂l
bincike	bɪ̀ntʃɪ̀céː
bindi	bɪ́ndìː
bindiga	bɪ́ndɪ́gàː
bini	bìːnɪ́
binta	bɪ́ntə̀
binuwai	bɪ́nʊ́wèi
birgediya	bɪ̀rɟéːdɪ́jàː
birjik	bɪ̀rdʒɪ́k
birni	bɪ́rníː
birtaniya	bɪ̀rtáːnɪ́jɛ̀
bisa	bɪ́sáː
bishar̃a	bɪ̀ʃáːràː
bishiya	bɪ́ʃɪ́jàː
bisimilla	bɪ̀sɪ́mɪ́llàː
bisimillahi	bɪ̀sɪ́mɪ̀lláːhìː
biya	bɪ́jáː
biya	bɪ́jɛ̀
biyar	bɪ̀jɛ́r
biyayya	bɪ̀jɛ́jjàː
biyu	bɪ́jʊ́
biza	bíːzàː
boca	bóːtʃàː
boɗoɗo	bòːɗòːɗòː
boka	bóːkáː
boko	bóːkʷòː
bonono	bòːnòːnòː
bora	bóːɽàː
bori	bòːɽíː
borintinke	bòːɽɪ́ntɪ́ɲcèː
bosniya	bɔ́snɪ́jɛ̀
boyi	bòːjɪ́
budurwa	bʊ̀dɪ́ɽwáː
buɗuɗu	bʊ́ɗɪ́ɗɪ́
buguzunzum	bʊ̀gʷʊ̀zɪ̀nzɪ̀m
bukka	bʊ́kkàː
buƙata	bʊ̀kʼáːtàː
buƙwi	bʊ̀kʷʼíː
bura	búːɽáː
burɗunɗun	bʊ̀rɗɪ̀nɗɪ̀ŋ
buroka	bʊ̀róːkàː
buta	búːtàː
Ɓaɓura	ɓáːɓʊ̀ɽə̀
ɓakutu	ɓáːkʷʊ́tɪ́
ɓangwalgwal	ɓàŋgʷàlgʷàl
ɓarawo	ɓə̀ɽáːwòː
ɓauna	ɓáunáː
ɓaure	ɓáuɽéː
ɓelele	ɓèːlèːlèː
ɓulla	ɓʊ̀llə́
ɓurma	ɓʊ́ɽmə́
caɓaɓa	tʃə́ɓə́ɓə́
cadi	tʃáːdɪ̀
caka	tʃə̀káː
caka	tʃə́kə́
calawa	tʃáːláːwáː
cali	tʃáːlíː
cali	tʃàːlɪ́
canko	tʃàŋkʷóː
casa'in	tʃə̀sə̀ʔɪ́ŋ
cata	tʃáːtàː
ca	tʃáː
ca	tʃâː
cibi	tʃíːbìː
cibi	tʃɪ́bíː
cibiya	tʃíːbɪ̀jáː
cif	tʃɪ́p
cif	tʃɪ̂ɸ
cigaba	tʃîːgə̀bə́
ciki	tʃɪ́cìː
ciki	tʃɪ́cɪ́
cindo	tʃɪ́ndòː
ciroma	tʃɪ́ròːmə̀
cir	tʃɪ̂r
ci	tʃɪ́
citta	tʃɪ́ttə̀
citta	tʃɪ̀ttə́
ciwo	tʃíːwòː
coci	tʃóːtʃɪ̀
coi	tʃóɪ́
cokali	tʃóːkə̀líː
cuku	tʃɪ́kʷúː
cukwi	tʃɪ́kʷíː
cuna	tʃúːnàː
cura	tʃúːɽàː
curi	tʃúːɽìː
cwai	tʃʷéi
da'awa	də̀ʔàwáː
dabba	dábbàː
dabino	də́bíːnòː
dabo	də́bòː
daddawa	dàddə́wáː
daftari	dáɸtə̀ríː
daga	dáːgáː
daga	də́gáː
dage	də́ɟéː
dahir	dáːhɪ̀r
daimon	déimɔ̀ŋ
daina	déinàː
da'ira	dáːʔɪ̀ráː
daƙashi	də́kʼə̀ʃíː
daƙiƙa	də̀cʼíːkʼàː
daƙiƙi	də̀cʼíːcʼìː
dala	dàːlə́
dala	də́làː
dalili	də̀líːlìː
dama	dáːmáː
damagaram	də̀mə́gə̀ráŋ
dambe	dámbé
dambu	dámbúː
damisa	dàːmɪ́sàː
damuwa	dàːmʊ́wáː
danana	də́nə́nə́
danda	dàndə́
dandali	dándə̀líː
danga	dáŋgáː
dankali	dàŋkə́lìː
daraja	də́rə́dʒàː
darasi	də́rə̀síː
darduma	dàrdúːmàː
dari	də́ɽìː
darma	dármàː
darni	dàrníː
datti	dàttɪ́
dattijo	dáttíːdʒò
dauda	dáudàː
dau	dàu
daula	dáulàː
daura	dàuɽáː
dawa	dáːwàː
dawa	də́wə̀
diflomasiyya	dɪ̀ɸlòːmə̀sɪ́jjàː
diga	dɪ́gàː
dimilmilo	dɪ́mɪ́lmɪ́lòː
dimokuraɗiyya	dɪ̀mòkʷʊ̀ɽə̀ɗɪ́jjàː
dina	dɪ́nàː
dinari	díːnáːrìː
dinya	dɪ́ɲjáː
di'o	díːʔòː
disamba	dɪ̀sámbàː
diwani	díːwáːnìː
diyya	dɪ́jjàː
dogara	dòːgə́ɽàː
dogara	dòːgə́ɽə̀
dogarai	dòːgə̀ɽéi
dogari	dòːgə́ɽìː
dogo	dóːgʷó
dogo	dóːgʷóː
doki	dóːcìː
dokta	dɔ́ktàː
domin	dòːmɪ́ŋ
dorina	dòːɽɪ́náː
dososo	dòːsòːsòː
du'a'i	dɪ́ʔáːʔìː
dubu	dɪ́búː
dukiya	dúːcɪ̀jáː
dukuku	dɪ̀kʷʊ̀kʷʊ̀
duma	dɪ́máː
duma	dɪ́màː
dumɓu	dɪ́mɓúː
duna	dúːnàː
duniya	dúːnɪ́jàː
duri	dúːɽìː
duros	dɪ̀râs
dutse	dúːsʼè
dutse	dúːsʼèː
ɗa'a	ɗáːʔàː
ɗabi'a	ɗə̀bíːʔàː
ɗa	ɗáː
ɗalibi	ɗáːlɪ̀bíː
ɗan	ɗáŋ
Ɗanjuma	ɗándʒúːmə̀
Ɗanladi	ɗálláːdɪ̀
Ɗanlami	ɗállàːmîː
Ɗantala	ɗántə̀láː
ɗanye	ɗɛ́ɲjéː
ɗari	ɗáːɽíː
ɗari	ɗə̀ɽíː
ɗawafi	ɗə̀wáːɸìː
ɗawisu	ɗáːwíːsɪ̀
ɗaya	ɗɛ́jɛ́
ɗefi	ɗèːɸíː
ɗigo	ɗɪ́gʷòː
ɗim	ɗɪ̀m
ɗim	ɗɪ̂m
ɗu	ɗùː
ɗungum	ɗɪ̀ŋgʷʊ́m
edita	ʔɛ́dɪ́tə̀
eka	ʔéːkàː
el'e	ʔɛ́lʔêː
emti	ʔɛ́mtìː
en'e	ʔɛ́ŋʔèː
fabrairu	ɸàbréirɪ̀
faɗa	ɸáːɗàː
faɗa	ɸə́ɗàː
faɗa	ɸə̀ɗáː
faɗimatu	ɸáːɗɪ̀mə́tɪ̀
fahami	ɸə́hàmíː
fahari	ɸə́hàríː
fa'ida	ɸáːʔɪ́dàː
faƙiri	ɸə̀cʼíːrìː
falsafa	ɸálsə́ɸàː
fam	ɸâŋ
fangali	ɸáŋgə́líː
fanke	ɸɛ̀ɲcéː
fanni	ɸánnìː
fara'a	ɸə́rə́ʔàː
farali	ɸə́rə̀líː
faransanci	ɸə́ránsántʃíː
faransa	ɸə̀ránsə̀
fara	ɸàːɽáː
farce	ɸáɽtʃèː
farilla	ɸə̀rɪ́llàː
fari	ɸáːɽɪ̀
fari	ɸə́ɽíː
farisa	ɸáːrɪ́sə̀
farko	ɸáɽkʷóː
fartanya	ɸártɛ́ɲjàː
faruku	ɸàːrɪ́kʷʊ̀
faruƙu	ɸàːrɪ́kʷʼʊ̀
fasali	ɸə́sə̀líː
fasa'ofis	ɸə́sə̀ʔóːɸɪ̀s
fasfo	ɸàsɸó
fashe	ɸə́ʃé
fasiƙi	ɸáːsɪ̀cʼíː
fasinja	ɸáːsɪ́ndʒə̀
fassara	ɸássə́ràː
fatakwal	ɸə́táːkʷàl
fatanya	ɸə́tɛ́ɲjàː
fatau	ɸə́táu
fat	ɸát
fatsa	ɸə́sʼə́
fatsi	ɸə́sʼíː
fau	ɸáu
feda	ɸéːdàː
fensir	ɸɛ́nsɪ̀r
fes	ɸɛ́s
fetal	ɸèːtál
fetur̃	ɸéːtɪ̀r
fida'u	ɸɪ̀dáːʔùː
fi'ili	ɸɪ́ʔɪ̀líː
fijo	ɸɪ̀dʒôː
fiƙihu	ɸɪ́cʼɪ́hʊ̀
filafili	ɸɪ́lə̀ɸɪ́líː
filas	ɸɪ̀lâs
filato	ɸɪ̀làːtó
fili	ɸíːlíː
firamare	ɸɪ́ráːmə̀rèː
fis	ɸɪ̂s
fita	ɸɪ̀táː
fitila	ɸɪ̀tɪ́làː
fitina	ɸɪ̀tɪ́nàː
fitsari	ɸɪ́sʼáːɽíː
fom	ɸâŋ
fuɗu	ɸʊ́ɗɪ́
fula	ɸùːláː
funkaso	ɸʊ̀ŋkàːsóː
funtuwa	ɸʊ̀ntʊ́wə̀
fura	ɸʊ́ɽáː
fure	ɸʊ̀ɽéː
fururu	ɸʊ́ɽɪ́ɽɪ́
fusata	ɸʊ́sàːtáː
fusata	ɸʊ̀sáːtə̀
gabar	gə́bàr
gabas	gə́bàs
gada	gə́dàː
gada	gə̀dáː
gadara	gə̀dáːràː
gado	gə́dóː
gadu	gə̀dúː
gafara	gáːɸə́ràː
gagai	gə́gèi
gagarau	gàːgə̀ɽáu
gaggafa	gággáːɸáː
gahawa	gə́háwàː
gaibi	géibɪ̀
gaira	géirə̀
gaiwa	gêiwáː
gajere	gə̀dʒéːɽé
gajere	gə̀dʒéːɽéː
galadima	gə̀làːdíːmàː
galala	gàːlàːlàː
galau	gə̀láu
galibi	gáːlɪ̀bíː
gam	gâŋ
gamsheƙa	gàmʃèːkʼáː
gana	gáːnə̀
ganau	gə̀náu
gandu	gándúː
ganima	gə̀níːmàː
ganji	gándʒìː
ganuwa	gáːnʊ́wáː
ganye	gɛ́ɲjéː
garafuni	gə̀ɽàːɸʊ́níː
gara	gə́ràː
gari	gàːɽíː
gari	gə̀ɽíː
garki	gàɽcɪ́
garkuwa	gàɽkʷʊ́wáː
garu	gàːrúː
garwashi	gáɽwáːʃíː
gasa	gàːsáː
gaskata	gáskə̀táː
gaskata	gàskə́tə̀
gaskiya	gáscɪ́jáː
gatari	gàːtə́ɽíː
gaula	gáuláː
gawa	gáːwáː
gawasa	gə́wə́sàː
gazet	gə̀zát
gefin	ɟèːɸɪ̀ŋ
gemu	ɟéːmùː
giginya	ɟɪ́ɟɪ́ɲjàː
giginyu	ɟɪ̀ɟɪ̀ɲjʊ́
gimbiya	ɟɪ́mbɪ̀jáː
giris	ɟɪ̀rɪ̂s
girka	ɟɪ́ɽkáː
girka	ɟɪ́ɽkàː
girma	ɟɪ́ɽmáː
gitta	ɟɪ́ttàː
giwa	ɟíːwáː
giya	ɟɪ́jàː
goba	gʷóːbàː
gobir	gʷòːbɪ́r
goge	gʷòːɟéː
goma	gʷóːmə̀
gomiya	gʷòːmɪ́jáː
gona	gʷóːnáː
goro	gʷóːrò
goyo	gʷóːjóː
guba	gʷʊ́bàː
guduma	gʷʊ̀dɪ́màː
guɗa	gʷúːɗàː
gula	gʷʊ́làː
gulbi	gʷʊ́lbíː
guma	gʷʊ́màː
gumal	gʷʊ́màl
gum	gʷʊ̀m
guna	gʷʊ́nàː
gunda	gʷʊ́ndàː
gunki	gʷʊ́ɲcìː
gunus	gʷʊ̀nɪ̀s
gunya	gʷʊ́ɲjáː
gurasa	gʷʊ̀ráːsàː
gurnet	gʷʊ̀rnát
guru	gʷúːrúː
gusa	gʷʊ́sàː
gusau	gʷʊ̀sáu
gusum	gʷʊ́sɪ̀ŋ
gwaggo	gʷágʷgʷò
gwaiba	gʷéibàː
gwal	gʷâl
gwalkwas	gʷálkʷàs
gwamna	gʷámnàː
gwamnati	gʷámnə́tɪ̀
gwanda	gʷándàː
gwandu	gʷándɪ́
gwangwani	gʷáŋgʷə́níː
gwanjo	gʷàndʒóː
gwanki	gʷɛ́ɲcíː
gwaza	gʷáːzáː
gwiwa	gʷíːwàː
habasha	hábə́ʃə̀
haɓa	háɓàː
haɓɓoje	háɓɓóːdʒè
haɓe	háːɓè
hadda	háddàː
haddi	háddìː
hadisi	hàdíːsìː
hadizatu	hàdíːzə́tɪ̀
haɗama	hàɗə́màː
haɗari	háɗə̀ríː
haɗeja	háɗéːdʒə̀
haɗi	háɗìː
hafizu	háːɸɪ́zɪ̀
hafsatu	hàɸsə́tɪ̀
haihu	háihʊ̀
haihuwa	háihʊ̀wáː
haila	háilàː
hairan	háiràŋ
haja	háːdʒàː
haji	hádʒɪ̀
hajji	háddʒɪ̀
hajji	ʔàlhádʒɪ́
hakimi	háːcɪ̀míː
hakiya	hácɪ́jàː
hakkan	hákkàŋ
hakki	háccìː
haƙori	hákʷʼóːɽíː
haƙurau	hàkʷʼʊ̀ɽáu
halaka	hálə̀káː
halaka	hàlə́kə̀
halal	hàlâl
halama	hàláːmàː
hali	háːlíː
halilu	hàlíːlɪ̀
halima	hàlíːmə̀
halwa	hálwàː
hamada	hàmáːdàː
hama	hámàː
hamayya	hàmɛ́jjàː
hamdala	hámdə́làː
hamidu	hámíːdɪ̀
hamila	hàmíːlàː
hamsin	hàmsɪ́ŋ
hanci	hántʃìː
hanci	hántʃɪ́
hangum	hàŋgʷʊ́ŋ
hanhai	hàŋhái
hani'an	háːnɪ́ʔàŋ
hani	hánìː
hankali	háŋkə̀lɪ̀
hannu	hánnúː
hanta	hántàː
hanya	hɛ́ɲjàː
harafi	hárə̀ɸíː
haraji	hàráːdʒìː
haram	hàrâŋ
har	hár
harsashi	hàrsáːʃìː
harshe	háɽʃè
haruna	hárúːnə̀
hasafi	hásə̀ɸíː
hasa	hásàː
hasana	hásə̀náː
hasan	hásàŋ
hasara	hàsáːràː
hassada	hássə́dàː
hatimi	háːtɪ̀míː
hatta	hàttáː
hau	hâu
hausa	háusə́
hauwa	hàuwə́
hawa'i	hàwáːʔíː
hawainiya	hàwéinɪ̀jáː
hazbiya	házbɪ́jáː
haziƙi	háːzɪ̀cʼíː
hazo	házóː
hidima	hɪ́dɪ́máː
hijabi	hɪ̀dʒáːbìː
hijira	hɪ́dʒɪ́ráː
hikaya	hɪ̀káːjàː
hikima	hɪ́cɪ́màː
hisabi	hɪ̀sáːbìː
hoda	hóːdàː
hole	hóːlèː
holo	hóːlòː
homan	hóːmàŋ
hoto	hòːtóː
hubbare	hʊ́bbáːrè
huɗuba	hʊ́ɗɪ́bàː
huɗu	hʊ́ɗɪ́
huhu	húːhùː
huhu	hùːhúː
hukuma	hʊ̀kʷúːmàː
hukunci	hʊ́kʷʊ́ntʃɪ́
hula	hùːláː
humushi	hʊ́mùːʃíː
humusi	hʊ́mùːsíː
huntu	hʊ́ntúː
hura	húːɽàː
hurriyya	hʊ̀rrɪ́jjàː
husaina	hʊ́sèináː
husaini	hʊ̀séinɪ̀
husufi	hʊ̀súːɸìː
hutsu	húːsʼúː
hutu	húːtúː
ibada	ʔɪ̀báːdàː
ibilis	ʔɪ̀bɪ̀lɪ̂s
iblis	ʔɪ̀blɪ̂s
ibrahim	ʔɪ̀bráːhɪ̀ŋ
ice	ʔɪ́tʃèː
idan	ʔɪ̀dáŋ
idda	ʔɪ́ddàː
idi	ʔíːdìː
ido	ʔɪ́dòː
igiya	ʔɪ́ɟɪ́jàː
igwa	ʔɪ̀gʷáː
ijara	ʔɪ̀dʒáːràː
ikko	ʔɪ̀kʷkʷó
iko	ʔíːkʷòː
iƙir̃ar̃i	ʔɪ̀cʼɪ̀ráːrìː
ilimi	ʔɪ́lɪ̀míː
illa	ʔɪ́lláː
illa	ʔɪ́llàː
ilmi	ʔɪ́lmìː
ilmi	ʔɪ̂lmíː
imani	ʔíːmáːnìː
inabi	ʔɪ́nə̀bíː
indiya	ʔɪ́ndɪ́jɛ̀
inganta	ʔɪ́ŋgàntáː
inganta	ʔɪ̀ŋgántə̀
ingarma	ʔɪ̀ŋgármàː
ingila	ʔíːɲɟɪ̀lə̀
ingilishi	ʔɪ́ɲɟɪ̀líːʃìː
inna	ʔɪ́nnə̀
iraƙi	ʔɪ̀râːcʼɪ̀
iraƙ	ʔɪ̀râkʼ
isa	ʔíːsáː
ishara	ʔɪ̀ʃáːràː
isha	ʔìːʃáː
ishe	ʔɪ́ʃèː
isiyaku	ʔɪ́sɪ́jáːkʷʊ̀
iska	ʔɪ́skàː
isƙandariya	ʔɪ̀skʼándə̀rɪ́jɛ̀
isma'ilu	ʔɪ̀smáːʔíːlɪ̀
isra'ila	ʔɪ̀sráːʔíːlə̀
istihara	ʔɪ́stɪ̀háːràː
italiya	ʔɪ̀táːlɪ́jɛ̀
ita	ʔɪ́tə́
iyali	ʔɪ̀jáːlìː
izifi	ʔɪ́zɪ̀ɸíː
izini	ʔɪ́zɪ̀níː
izni	ʔɪ́znìː
jace	dʒàːtʃéː
jadawali	dʒə́də́wə̀líː
ja	dʒáː
jafa'i	dʒə̀ɸáːʔìː
jahadi	dʒə̀háːdìː
jahili	dʒáːhɪ̀líː
jahun	dʒáːhʊ̀ŋ
jaka	dʒə̀káː
jaki	dʒàːcíː
jama'a	dʒə̀mə́ʔà
jamhuriya	dʒàmhúːrɪ́jàː
jami'a	dʒáːmɪ́ʔàː
jami'a	dʒáːmɪ̀ʔáː
jam'i	dʒámʔìː
jami'i	dʒáːmɪ̀ʔíː
jam'iyya	dʒàmʔɪ́jjàː
jamusanci	dʒáːmʊ́sántʃíː
jamus	dʒáːmʊ̀s
janaba	dʒə̀nə́bàː
janairu	dʒə̀néirɪ̀
jana'iza	dʒə̀náːʔɪ́zàː
janar	dʒə́nàr
japan	dʒə̀pâŋ
jarida	dʒə̀ríːdàː
jarrabawa	dʒárrə̀bâːwáː
jatau	dʒàːtáu
jawabi	dʒə̀wáːbìː
jawo	dʒáːwóː
jawur	dʒàːwʊ́r
jaza'i	dʒə̀záːʔìː
jazur	dʒàːzɪ́r
jega	dʒèːgə́
jeri	dʒéːɽìː
jibirilu	dʒɪ̀bɪ̀ríːlɪ̀
jibiya	dʒɪ́bɪ́jɛ̀
jidali	dʒɪ̀dáːlìː
ji	dʒɪ́
jif	dʒɪ̂ɸ
jihadi	dʒɪ̀háːdìː
jiha	dʒɪ́hàː
jika	dʒɪ́kə̀
jiki	dʒɪ̀cíː
jima'i	dʒɪ̀máːʔìː
jimɓirɓir	dʒɪ̀mɓɪ̀rɓɪ̀r
jim	dʒɪ́ŋ
jimilla	dʒɪ̀mɪ́llàː
jimina	dʒɪ̀mɪ́náː
jimla	dʒɪ́mlàː
jini	dʒɪ́níː
jinjimi	dʒɪ́ndʒɪ́míː
jinsi	dʒɪ́nsìː
jirgi	dʒɪ́ɽɟíː
jos	dʒàs
jugum	dʒɪ̀gʷʊ́m
jumma'a	dʒɪ́mmə́ʔàː
jummai	dʒɪ́mméi
juwa	dʒʊ̀wáː
juzu'i	dʒɪ́zɪ̀ʔíː
kabari	kə́bə̀ríː
kabewa	kə̀béːwàː
kabila	kə̀bíːlàː
kaca	kə́tʃàː
kaciya	kàːtʃɪ́jàː
kada	kə́dáː
kadari	kə́də̀ríː
kaduna	kə́dúːnə́
kaɗanya	kə́ɗɛ́ɲjàː
kaɗo	káːɗò
kafaɗa	kàːɸə́ɗàː
kafa	kə́ɸáː
kafa	kə́ɸàː
kafe	kə́ɸèː
kafin	kàːɸɪ̀ŋ
kafiri	káːɸɪ̀ríː
kaf	káp
kafur	káːɸʊ̀r
kahuhu	kə́hʊ́hʊ́
kaidi	kéidìː
kaigama	kéigə́mə̀
kai	kâi
kai	kéi
kairo	kéirɔ̀
kaita	kéitə́
kaiwa	kéiwáː
ka	káː
kaka	kàːkáː
kaka	kàːkə́
kakaki	kàːkàːcíː
kalami	kə̀láːmìː
kallo	kállóː
kalma	kálmàː
kaltibeta	káltɪ̀béːtàː
