abaga	ʔʌbagʌ
amplipikasyon	ʔʌmpl̪ɪpɪkʌs̪jon̪
anahaw	ʔʌn̪ahaʊ̯
anak	ʔʌn̪ak
anas	ʔan̪ʌs̪
anay	ʔan̪aɪ̯
anay	ʔʌn̪aɪ̯
andam	ʔan̪d̪ʌm
anemya	ʔʌn̪imjʌ
anga	ʔaŋʌ
angga	ʔaŋgʌʔ
anghel	ʔʌŋhil̪
anghit	ʔʌŋhit̪
angkla	ʔaŋkl̪ʌ
angso	ʔʌŋs̪o
angtod	ʔʌŋt̪od̪
anhing	ʔaŋhɪŋ
anilaw	ʔʌn̪ɪl̪aʊ̯
animal	ʔʌn̪ɪmal̪
aninipot	ʔʌn̪ɪn̪ipɔt̪
anino	ʔʌn̪in̪ɔ
anod	ʔan̪ɔd̪
anso	ʔʌn̪s̪o
antepara	ʔʌn̪t̪ɪpaɾ̪ʌ
antigo	ʔan̪t̪ɪgɔ
antisipasyon	ʔʌn̪t̪ɪs̪ɪpʌs̪jon̪
antod	ʔʌn̪t̪od̪
anyag	ʔʌn̪jag
apatot	ʔʌpat̪ɔt̪
apdo	ʔʌpd̪o
apektado	ʔʌpɪkt̪ad̪ɔ
apelyido	ʔʌpɪl̪jid̪ɔ
aping	ʔapɪŋ
apo	ʔʌpo
apostol	ʔʌpos̪t̪ɔl̪
aprobado	ʔʌpɾ̪ɔbad̪ɔ
apura	ʔʌpʊɾ̪a
apurado	ʔʌpʊɾ̪ad̪ɔ
aragon	ʔʌɾ̪ʌgon̪
arak	ʔaɾ̪ʌk
arcaya	ʔʌɾ̪kajʌ
arcenal	ʔʌɾ̪s̪ɪn̪al̪
arellano	ʔʌɾ̪ɪl̪jan̪ɔ
ari	ʔaɾ̪ɪ
arisgado	ʔʌɾ̪ɪs̪gad̪ɔ
arisgar	ʔʌɾ̪is̪gʌɾ̪
ariyos	ʔʌɾ̪ijɔs̪
arkipelago	ʔʌɾ̪kɪpil̪ʌgɔ
arkitekto	ʔʌɾ̪kɪt̪ikt̪ɔ
arnaiz	ʔʌɾ̪n̪aʔɪs̪
arriesgado	ʔʌɾ̪jɪs̪gad̪ɔ
arsobispado	ʔʌɾ̪s̪ɔbɪs̪pad̪ɔ
arsobispo	ʔʌɾ̪s̪ɔbis̪pɔ
asa	ʔas̪ʌ
asawa	ʔʌs̪awʌ
aseras	ʔʌs̪iɾ̪ʌs̪
asin	ʔʌs̪in̪
aslom	ʔʌs̪l̪om
aso	ʔʌs̪o
asosasyon	ʔʌs̪ɔs̪ʌs̪jon̪
aspalto	ʔʌs̪pal̪t̪ɔ
asukar	ʔʌs̪ukʌɾ̪
asul	ʔʌs̪ul̪
asupre	ʔʌs̪upɾ̪ɪ
aswang	ʔʌs̪waŋ
asya	ʔas̪jʌ
ata	ʔat̪ʌʔ
atab	ʔat̪ʌb
atabay	ʔʌt̪abaɪ̯
atake	ʔʌt̪akɪ
atay	ʔat̪aɪ̯
atay	ʔʌt̪aɪ̯
atis	ʔat̪ɪs̪
ato	ʔat̪ɔ
atol	ʔʌt̪ol̪
aton	ʔat̪ɔn̪
atop	ʔʌt̪op
atsay	ʔʌtsaɪ̯
atsoy	ʔʌtsoj
avendaño	ʔʌbɪn̪d̪aɲɔ
away	ʔawaɪ̯
awto	ʔaʊ̯t̪ɔ
awtorisar	ʔaʊ̯t̪ɔɾ̪ɪs̪aɾ̪
ayaay	ʔʌjaʔaɪ̯
ayam	ʔadʒʌm
ayam	ʔajʌm
ayaw	ʔʌdʒaʊ̯
ayaw	ʔʌjaʊ̯
ayroplano	ʔaɪ̯ɾ̪ɔpl̪an̪ɔ
aznar	ʔʌs̪n̪aɾ̪
baang	baʔʌŋ
baba	baʔbʌ
baba	bʌba
babaw	babaʊ̯
babay	babaɪ̯
babay	bʌbaɪ̯
babaye	bʌbadʒɪ
babaye	bʌbajɪ
babaylan	bʌbaɪ̯l̪an̪
baboy	baboɪ̯
baclayon	bʌkl̪ajɔn̪
bacus	bakʊs̪
badlis	bʌd̪l̪is̪
badlit	bʌd̪l̪it̪
badyet	bad̪jɪt̪
baga	bagʌ
baga	bagʌʔ
baga	bʌgaʔ
bagakay	bʌgakaɪ̯
bagani	bʌgan̪ɪʔ
bagaso	bʌgas̪ɔ
bagat	bagʌt̪
bagito	bʌgit̪ɔ
bago	bagɔ
bago	bʌgoʔ
bagol	bʌgol̪
bagon	bagɔn̪
bagon	bʌgon̪
bagongon	bʌgoŋɔn̪
bagos	bagɔs̪
bagsak	bʌgs̪ak
bagtas	bʌgt̪as̪
baguio	bagjɔ
bagyo	bʌgjo
bahada	bʌhad̪ʌ
bahag	bʌhag
bahandi	bʌhan̪d̪ɪ
bahandianon	bʌhʌn̪d̪ɪʔan̪ɔn̪
bahaw	bahaʊ̯
baho	bahɔ
baho	bahɔʔ
baho	bʌhoʔ
bahon	bʌhon̪
baka	bakʌ
bakak	bʌkak
bakal	bʌkal̪
bakilid	bʌkɪl̪id̪
baklad	bʌkl̪ad̪
baklay	bʌkl̪aɪ̯
bako	bʌkoʔ
bakos	bʌkos̪
baktas	bʌkt̪as̪
bakukang	bʌkukʌŋ
bakuna	bʌkun̪ʌ
bakunawa	bʌkʊn̪awʌ
balai	bʌl̪aʔɪ
balalatok	bʌl̪ʌl̪at̪ɔk
balanak	bʌl̪an̪ʌk
balanghoy	bʌl̪ʌŋhoj
balanse	bʌl̪an̪s̪ɪ
balaod	bʌl̪aʔɔd̪
balaodnon	bʌl̪ʌʔɔd̪n̪on̪
balaoron	bʌl̪ʌʔoɾ̪ɔn̪
balaoron	bʌl̪ʌʔɔɾ̪on̪
balas	bʌl̪as̪
balasahon	bʌl̪ʌs̪ʌhon̪
balat	bʌl̪at̪
balatian	bʌl̪ʌt̪iʔʌn̪
balatik	bʌl̪at̪ɪk
balatok	bʌl̪at̪ɔk
balatong	bʌl̪at̪ɔŋ
balaw	bʌl̪aʊ̯
balay	baɪ̯
balay	bʌjaɪ̯
balay	bʌl̪aɪ̯
balbakuwa	bʌl̪bʌkuʌ
balbal	bʌl̪bal̪
balbuena	bʌl̪bwin̪ʌ
balda	bal̪d̪ʌ
balda	bʌl̪d̪a
balde	bal̪d̪ɪ
balete	bʌl̪it̪ɪ
balhibo	bʌl̪hibɔ
balhiboon	bʌl̪hɪboʔɔn̪
balibago	bʌl̪ɪbagɔ
balik	bal̪ɪk
balinsasayaw	bʌl̪in̪s̪ʌs̪ʌjaʊ̯
balintong	bʌl̪ɪn̪t̪oŋ
balion	bʌl̪iʔɔn̪
baliskad	bʌl̪is̪kʌd̪
balite	bʌl̪it̪ɪ
balod	bal̪ɔd̪
balod	bʌl̪od̪
balon	bʌjon̪
balon	bʌl̪on̪
balon	bʌwon̪
balos	bʌl̪os̪
baltazar	bʌl̪t̪ʌs̪aɾ̪
balukag	bʌl̪ukʌg
balyena	bʌl̪jin̪ʌ
banalo	bʌn̪al̪ɔ
banay	ban̪aɪ̯
bandido	bʌn̪d̪id̪ɔ
banga	bʌŋa
banga	bʌŋaʔ
bangag	bʌŋag
bangaw	baŋaʊ̯
bangga	bʌŋgaʔ
bangkarota	bʌŋkʌɾ̪ot̪ʌ
bangkarote	bʌŋkʌɾ̪ot̪ɪ
bangko	baŋkɔ
bangko	baŋkɔʔ
bangon	baŋɔn̪
banig	bʌn̪ig
banigan	bʌn̪ɪgan̪
banika	bʌn̪ɪka
banikanhon	bʌn̪ɪkaŋhɔn̪
banilad	bʌn̪il̪ʌd̪
banog	ban̪ɔg
banog	bʌn̪og
banogon	bʌn̪ɔgon̪
bantay	bʌn̪t̪aɪ̯
bantog	ban̪t̪ɔg
bantogan	bʌn̪t̪ogʌn̪
bantugan	bʌn̪t̪ugʌn̪
banwa	bʌn̪wa
banwaanon	bʌn̪wʌʔan̪ɔn̪
banyaga	bʌn̪jagʌʔ
banyera	bʌn̪jiɾ̪ʌ
banyo	ban̪jɔ
baog	baʔɔg
baog	bʌʔog
barag	bʌɾ̪ag
barang	baɾ̪ʌŋ
barangay	bʌɾ̪ʌŋgaɪ̯
barato	bʌɾ̪at̪ɔ
barcenas	baɾ̪s̪ɪn̪ʌs̪
barkada	bʌɾ̪kad̪ʌ
barrientos	bʌɾ̪jin̪t̪ɔs̪
bartender	baɾ̪t̪ɪn̪d̪iɾ̪
bartolina	bʌɾ̪t̪ɔl̪in̪ʌ
baruto	bʌɾ̪ut̪ɔ
baryable	bʌɾ̪jabl̪ɪ
baryo	barjɔ
baryohanon	bʌrjɔhan̪ɔn̪
basa	bas̪ʌ
basa	bʌs̪aʔ
basahon	bʌs̪ʌhon̪
basco	bas̪kɔ
basi	bas̪ɪ
basin	bas̪ɪn̪
basiyo	bʌs̪ijɔ
basket	bas̪kɪt̪
basketan	bʌs̪kit̪ʌn̪
basketbol	bʌs̪kit̪bɔl̪
baskog	bʌs̪kog
basol	bas̪ɔl̪
basura	bʌs̪uɾ̪ʌ
basurahan	bʌs̪ʊɾ̪ʌhan̪
basurero	bʌs̪ʊɾ̪iɾ̪ɔ
bat	bat̪
bata	bat̪ʌ
bata	bat̪ʌʔ
batad	bʌt̪ad̪
batadbatad	bʌt̪ʌd̪bat̪ʌd̪
batak	bat̪ʌk
batakan	bʌt̪akʌn̪
batal	bʌt̪al̪
batalan	bʌt̪ʌl̪an̪
batalyon	bʌt̪ʌl̪jon̪
batang	bat̪ʌŋ
batang	bʌt̪aŋ
bataon	bʌt̪ʌʔon̪
batasan	bʌt̪as̪ʌn̪
batayan	bʌt̪ajʌn̪
batbat	bat̪bʌt̪
bateriya	bʌt̪ɪɾ̪iʌ
bathala	bʌt̪hal̪ʌʔ
bathay	bat̪haɪ̯
bati	bat̪ɪ
batid	bʌt̪id̪
batiis	bʌt̪ɪʔis̪
batikan	bʌt̪ɪkan̪
batikano	bʌt̪ɪkan̪ɔ
batil	bʌt̪il̪
batin	bat̪ɪn̪
batiya	bʌt̪iʌʔ
bato	bat̪ɔ
bato	bʌt̪o
batok	bat̪ɔk
baton	bʌt̪on̪
batong	bat̪ɔŋ
batoon	bʌt̪oʔɔn̪
batsi	batsɪ
batsilyer	bʌtsɪl̪jiɾ̪
batuta	bʌt̪ut̪ʌʔ
batya	bat̪jʌ
batyag	bʌt̪jag
bautista	baʊ̯t̪is̪t̪ʌ
bawang	bawʌŋ
bawi	bawɪʔ
bawod	bʌwod̪
bawon	bawn̪
bawos	bʌwos̪
bay	baɪ̯
bayabas	bʌdʒabʌs̪
bayabas	bʌjabʌs̪
bayad	badʒʌd̪
bayad	bajʌd̪
bayat	bʌjat̪
bayaw	bʌjaʊ̯
baybay	baɪ̯baɪ̯
bayi	bɐjɪ
bayle	baɪ̯l̪ɪ
baylosis	baɪ̯l̪os̪ɪs̪
baynte	baɪ̯n̪t̪ɪ
bayong	bajɔŋ
bayot	bajɔt̪
belen	bɪl̪in̪
belib	bɪl̪ib
bentana	bɪn̪t̪an̪ʌʔ
bentilador	bɪn̪t̪ɪl̪ʌd̪oɾ̪
berde	biɾ̪d̪ɪ
bernes	biɾ̪n̪ɪs̪
bersikulo	bɪɾ̪s̪ikʊl̪ɔ
berso	biɾ̪s̪ɔ
beterana	bɪt̪ɪɾ̪an̪ʌ
beterano	bɪt̪ɪɾ̪an̪ɔ
bibi	bibɪ
bibingka	bɪbiŋkʌ
bibliya	bibl̪ja
bihag	bihʌg
bihon	bihɔn̪
bika	bɪka
bikangkang	bɪkʌŋkaŋ
biko	bikɔ
bilang	bil̪ʌŋ
bilanggo	bɪl̪ʌŋgoʔ
bilanggoan	bɪl̪ʌŋgoʔʌn̪
bilar	bɪl̪aɾ̪
bilas	bɪl̪as̪
bilat	bɪl̪at̪
bildo	bil̪d̪ɔ
bili	bɪl̪i
bilyar	bɪl̪jaɾ̪
binati	bɪn̪at̪ɪʔ
binatonan	bɪn̪ʌt̪on̪ʌn̪
bingkong	bɪŋkoŋ
binilanggo	bɪn̪ɪl̪ʌŋgoʔ
binisaya	bɪn̪ɪs̪ajʌʔ
bintana	bɪn̪t̪an̪ʌʔ
bira	bɪɾ̪a
birada	bɪɾ̪ad̪ʌ
birtud	bɪɾ̪t̪ud̪
bisan	bis̪ʌn̪
bisaya	bɪs̪ajʌʔ
bisdak	bɪs̪d̪ak
bisdak	bɪzd̪ak
bisikleta	bɪs̪ɪkl̪it̪ʌ
bisita	bɪs̪it̪ʌ
biskuwit	bɪs̪kwit̪
biskwit	bɪs̪kwɪt̪
bisperas	bis̪pɪɾ̪ʌs̪
bitad	bit̪ʌd̪
bitaw	bit̪aʊ̯
bitay	bit̪aɪ̯
bitbit	bit̪bɪt̪
bitoon	bɪt̪oʔɔn̪
bituon	bɪt̪uʔɔn̪
biyabas	bjabʌs̪
biyahe	bjahɪ
biyernes	bjiɾ̪n̪ɪs̪
biyernes	bɪɾnɪs
blanco	bl̪aŋkɔ
bloke	bl̪okɪ
blotter	bl̪at̪ɪɾ̪
boda	bod̪ʌ
bodega	bɔd̪igʌ
bodka	bod̪kʌ
bogohanon	bɔgɔhan̪ɔn̪
bohol	bɔhol̪
bokabularyo	bɔkʌbʊl̪aɾ̪jɔ
bokasyon	bɔkʌs̪jon̪
bolakaw	bɔl̪akaʊ̯
bolinaw	bɔl̪ɪn̪aʊ̯
bolpen	bol̪pɪn̪
boltahe	bɔl̪t̪ahɪ
bombero	bɔmbiɾ̪ɔ
bondying	bon̪d̪jɪŋ
bonghanoy	bɔŋhan̪oɪ̯
bonilla	bɔn̪il̪jʌ
borbon	bɔɾ̪bon̪
borja	boɾ̪hʌ
borongan	bɔɾ̪oŋgʌn̪
bosina	bɔs̪in̪ʌ
boso	bos̪ɔ
bosyo	bos̪jɔ
botar	bɔt̪aɾ̪
botas	bot̪ʌs̪
bote	bot̪ɪ
botelya	bɔt̪il̪jʌ
botik	bɔt̪ik
botika	bɔt̪ikʌ
boto	bot̪ɔ
boykot	bojkɔt̪
braso	bɾ̪as̪ɔ
brigoli	bɾ̪ɪgol̪ɪ
bringhinas	bɾ̪ɪŋhin̪ʌs̪
brip	bɾ̪ip
buak	bʊʔak
buang	buʔʌŋ
buaya	bʊʔajʌ
bubo	bubɔ
bubo	bubɔʔ
budaya	bʊd̪ajʌ
budhi	bʊd̪hiʔ
budong	bʊd̪oŋ
bugang	bʊgaŋ
bugas	bʊgas̪
bugaw	bugaʊ̯
bugdo	bʊgd̪o
bughaw	bʊghaʊ̯
bugnaw	bʊgn̪aʊ̯
bugnay	bʊgn̪aɪ̯
bugtong	bʊgt̪oŋ
buhangin	bʊhaŋɪn̪
buhat	buhʌt̪
buhi	buhɪʔ
buhis	bʊhis̪
buhok	bʊhok
bukag	bʊkag
bukid	bukɪd̪
bukidnon	bʊkɪd̪n̪on̪
buklad	bʊkl̪ad̪
bukol	bukɔl̪
bukton	bʊkt̪on̪
buktot	bʊkt̪ot̪
bukya	bʊkja
bulacan	bʊl̪ʌkan̪
bulad	bʊl̪ad̪
bulak	bul̪ʌk
bulakbol	bʊl̪ʌkbol̪
bulalakaw	bʊl̪ʌl̪akaʊ̯
bulan	bul̪ʌn̪
bulan	buʌn̪
bulang	bul̪ʌŋ
bulang	buʌŋ
bulangan	bʊl̪ʌŋan̪
bulaw	bʊl̪aʊ̯
bulawan	bwawʌn̪
bulawan	bʊl̪awʌn̪
bulbol	bʊl̪bol̪
buldog	bul̪d̪ɔg
bulhog	bʊl̪hog
buli	bʊl̪i
buli	bʊl̪iʔ
bulig	bul̪ɪg
bulinaw	bʊl̪in̪aʊ̯
bulkan	bʊl̪kan̪
bulod	bud̪
bulod	bujɔd̪
bulod	bul̪ɔd̪
bulog	bʊl̪og
bulogan	bʊl̪ɔgan̪
bulto	bul̪t̪ɔ
bumbilya	bʊmbil̪jʌ
bunal	bun̪ʌl̪
bunawan	bʊn̪awʌn̪
bungahoy	bʊŋahoɪ̯
bungaw	bʊŋaʊ̯
bunggo	bʊŋgoʔ
bungi	bʊŋiʔ
bungsod	bʊŋs̪od̪
bungtod	bʊŋt̪od̪
buno	bun̪ɔʔ
buno	bʊn̪oʔ
bunog	bun̪ɔg
bunot	bun̪ɔt̪
bunot	bʊn̪ot̪
bunsod	bʊn̪s̪od̪
buntag	bun̪t̪ʌg
buntag	bʊn̪t̪ag
buntod	bʊn̪t̪od̪
bunwag	bʊn̪wag
bunyag	bun̪jʌg
bunyagan	bʊn̪jagʌn̪
buol	bʊʔol̪
buot	bʊʔot̪
buraw	bʊɾ̪aʊ̯
burgos	buɾ̪gɔs̪
buros	bʊɾ̪os̪
burot	buɾ̪ɔt̪
busay	bʊs̪aɪ̯
buskay	bʊs̪kaɪ̯
busog	bus̪ɔg
busog	bʊs̪og
butakal	bʊt̪ʌkal̪
butakaw	bʊt̪ʌkaʊ̯
butanding	bʊt̪ʌn̪d̪iŋ
butang	bʊt̪aŋ
butkon	bʊt̪kon̪
buto	but̪ɔʔ
butod	bʊt̪od̪
butong	bʊt̪oŋ
buwad	bʊwad̪
buwakaw	bwakaʊ̯
buwang	buʌŋ
buwisit	bwis̪ɪt̪
buyon	bujɔn̪
buyong	bʊjoŋ
byuti	bjut̪ɪ
cabahug	kʌbahʊg
caballero	kʌbʌl̪jiɾ̪ɔ
cabanlit	kʌbʌn̪l̪it̪
cabatuan	kʌbʌt̪uʔʌn̪
cabello	kʌbil̪jɔ
cabrera	kʌbɾ̪iɾ̪ʌ
cadeliña	kʌd̪ɪl̪iɲʌ
cagas	kagʌs̪
cahoy	kahoɪ̯
calamba	kʌl̪ambʌ
calamba	kʌl̪ʌmbaʔ
calculator	kʌl̪kjʊl̪iɪt̪ɔɾ̪
calinan	kʌl̪in̪ʌn̪
calumpang	kʌl̪ʊmpaŋ
camalig	kʌmal̪ɪg
caminero	kʌmɪn̪iɾ̪ɔ
candijay	kʌn̪d̪ihaɪ̯
capalaran	kʌpʌl̪aɾ̪ʌn̪
capistrano	kapɪs̪t̪ɾ̪an̪ɔ
capiz	kapɪs̪
capuyan	kʌpujʌn̪
carcar	kʌɾ̪kaɾ̪
carlos	kaɾ̪l̪ɔs̪
carreon	kʌɾ̪jon̪
castañeda	kʌs̪t̪ʌɲɪd̪ʌ
castaños	kʌs̪t̪aɲɔs̪
castillo	kʌs̪t̪il̪jɔ
castillon	kʌs̪t̪ɪl̪jon̪
catadman	kʌt̪ʌd̪man̪
catarina	kʌt̪ʌɾ̪in̪ʌ
catipay	kʌt̪ipaɪ̯
catmon	kʌt̪mon̪
cayanong	kʌjan̪ɔŋ
cañete	kʌɲɪt̪ɪ
chavez	t̪s̪abɪs̪
chiongbian	t̪s̪ombjʌn̪
cimafranca	s̪ɪmʌpɾ̪aŋkʌ
comendador	kɔmɪn̪d̪ʌd̪oɾ̪
cometa	kɔmit̪ʌ
contreras	kɔn̪t̪ɾ̪iɾ̪ʌs̪
cordova	koɾ̪d̪ɔbʌ
corella	kɔɾ̪il̪jʌ
corominas	kɔɾ̪ɔmin̪ʌs̪
cortes	kɔɾ̪t̪is̪
cotabato	kɔt̪ʌbat̪ɔ
cruz	kɾ̪us̪
cuevas	kwibʌs̪
cutamora	kʊt̪ʌmoɾ̪ʌ
cuyugan	kʊjugʌn̪
cyril	s̪aɪ̯ɾ̪ɪl̪
cyril	s̪iɾ̪ɪl̪
cyrus	s̪aɪ̯ɾ̪ʊs̪
daan	d̪aʔʌn̪
daanglungsod	d̪ʌʌŋl̪ʊŋs̪od̪
daanlungsod	d̪ʌʌn̪l̪ʊŋs̪od̪
dacumos	d̪ʌkumɔs̪
dagami	d̪ʌgamɪ
dagan	d̪agʌn̪
dagat	d̪agʌt̪
daghan	d̪ʌghan̪
dagit	d̪agɪt̪
dagohoy	d̪ʌgohoɪ̯
dagom	d̪agɔm
daguldol	d̪ʌgul̪d̪ɔl̪
dagway	d̪ʌgwaɪ̯
dahil	d̪ʌhil̪
dahom	d̪ʌhom
dahon	d̪ahɔn̪
daing	d̪aʔɪŋ
dakbalay	d̪ʌkbʌl̪aɪ̯
dakbayan	d̪ʌkbʌjan̪
dako	d̪ʌkoʔ
dalag	d̪ag
dalag	d̪ʌjag
dalag	d̪ʌl̪ag
dalaga	d̪ʌl̪agʌ
dalaginding	d̪ʌl̪ʌgɪn̪d̪iŋ
dalagita	d̪ʌl̪ʌgit̪ʌ
dalan	d̪al̪ʌn̪
dalan	d̪an̪
dali	d̪ʌl̪iʔ
dalikdik	d̪ʌl̪ikd̪ɪk
dalo	d̪ʌl̪oʔ
dalugdog	d̪ʌl̪ugd̪ɔg
dalunggan	d̪ʊŋgan̪
dalunggan	d̪ʌl̪ʊŋgan̪
dalunggan	d̪ʌwŋgan̪
damay	d̪amaɪ̯
damgo	d̪amgɔ
dampog	d̪ʌmpog
danaw	d̪an̪aʊ̯
dangaw	d̪aŋaʊ̯
danggit	d̪ʌŋgit̪
danilo	d̪ʌn̪il̪ɔ
daog	d̪ʌʔog
daot	d̪aʔɔt̪
daot	d̪ʌʔot̪
daotan	d̪ʌʔot̪ʌn̪
daro	d̪aɾ̪ɔ
daster	d̪as̪t̪ɪɾ̪
dato	d̪at̪ɔʔ
dawa	d̪awʌ
dawende	d̪ʌwin̪d̪ɪ
dawugdog	d̪ʌwugd̪ɔg
dayap	d̪ajʌp
dayeg	d̪ajɪg
dayo	d̪adʒɔ
dayo	d̪ajɔ
deboto	d̪ɪbot̪ɔ
dedbol	d̪id̪bɔl̪
dekada	d̪ɪkad̪ʌ
dekorar	d̪ɪkɔɾ̪aɾ̪
dekorasyon	d̪ɪkɔɾ̪ʌs̪jon̪
delikado	d̪ɪl̪ɪkad̪ɔ
deliryo	d̪ɪl̪iɾ̪jɔ
denotasyon	d̪ɪn̪ɔt̪ʌs̪jon̪
desisyon	d̪ɪs̪ɪs̪jon̪
desperado	d̪ɪs̪pɪɾ̪ad̪ɔ
detalye	d̪ɪt̪al̪jɪ
