'anar'	anaɾ
ababábite	aβ̞aβ̞aβ̞it̪e
ababíllate	aβ̞aβ̞iʝat̪e
ababíllense	aβ̞aβ̞iʝẽnse
ababíllese	aβ̞aβ̞iʝese
abacalera	aβ̞akaleɾa
abacalero	aβ̞akaleɾo
abacera	aβ̞aθeɾa
abacero	aβ̞aθeɾo
abacería	aβ̞aθeɾia
abaciado	aβ̞aθjað̞o
abacial	aβ̞aθjal
abaciales	aβ̞aθjales
abaciato	aβ̞aθjat̪o
abacomte	abakompt̪e
abacora	aβ̞akoɾa
abacoraba	aβ̞akoɾaβ̞a
abacorabais	aβ̞akoɾaβ̞ai̯s
abacoraban	aβ̞akoɾaβ̞ãn
abacorabas	aβ̞akoɾaβ̞as
abacorad	aβ̞akoɾað̞
abacorada	aβ̞akoɾað̞a
abacoradas	aβ̞akoɾað̞as
abacorado	aβ̞akoɾað̞o
abacorados	aβ̞akoɾað̞os
abacoramos	aβ̞akoɾamos
abacoran	aβ̞akoɾãn
abacorando	aβ̞akoɾãn̪d̪o
abacorar	aβ̞akoɾaɾ
abacorara	aβ̞akoɾaɾa
abacorarais	aβ̞akoɾaɾai̯s
abacoraran	aβ̞akoɾaɾãn
abacoraras	aβ̞akoɾaɾas
abacorare	aβ̞akoɾaɾe
abacorareis	aβ̞akoɾaɾei̯s
abacoraremos	aβ̞akoɾaɾemos
abacoraren	aβ̞akoɾaɾẽn
abacorares	aβ̞akoɾaɾes
abacoraron	aβ̞akoɾaɾõn
abacorará	aβ̞akoɾaɾa
abacorarán	aβ̞akoɾaɾãn
abacorarás	aβ̞akoɾaɾas
abacoraré	aβ̞akoɾaɾe
abacoraréis	aβ̞akoɾaɾei̯s
abacoraría	aβ̞akoɾaɾia
abacoraríais	aβ̞akoɾaɾiai̯s
abacoraríamos	aβ̞akoɾaɾiamos
abacorarían	aβ̞akoɾaɾiãn
abacorarías	aβ̞akoɾaɾias
abacoras	aβ̞akoɾas
abacorase	aβ̞akoɾase
abacoraseis	aβ̞akoɾasei̯s
abacorasen	aβ̞akoɾasẽn
abacorases	aβ̞akoɾases
abacoraste	aβ̞akoɾast̪e
abacorasteis	aβ̞akoɾast̪ei̯s
abacore	aβ̞akoɾe
abacoremos	aβ̞akoɾemos
abacoren	aβ̞akoɾẽn
abacores	aβ̞akoɾes
abacoro	aβ̞akoɾo
abacorá	aβ̞akoɾa
abacorábamos	aβ̞akoɾaβ̞amos
abacoráis	aβ̞akoɾai̯s
abacoráramos	aβ̞akoɾaɾamos
abacoráremos	aβ̞akoɾaɾemos
abacorás	aβ̞akoɾas
abacorásemos	aβ̞akoɾasemos
abacoré	aβ̞akoɾe
abacoréis	aβ̞akoɾei̯s
abacorés	aβ̞akoɾes
abacoró	aβ̞akoɾo
abactinal	aβ̞aɣ̞t̪inal
abacà	aˈbaka
abacá	aβ̞aka
abad	aβ̞að̞
abada	aβ̞að̞a
abadal	labað̞al
abadanar	abadanaɾ
abadejo	aβ̞að̞exo
abadenc	eβ̞að̞enk
abadengo	aβ̞að̞ẽŋgo
abaderna	aβ̞að̞eɾna
abadernaba	aβ̞að̞eɾnaβ̞a
abadernabais	aβ̞að̞eɾnaβ̞ai̯s
abadernaban	aβ̞að̞eɾnaβ̞ãn
abadernabas	aβ̞að̞eɾnaβ̞as
abadernad	aβ̞að̞eɾnað̞
abadernada	aβ̞að̞eɾnað̞a
abadernadas	aβ̞að̞eɾnað̞as
abadernado	aβ̞að̞eɾnað̞o
abadernados	aβ̞að̞eɾnað̞os
abadernamos	aβ̞að̞eɾnamos
abadernan	aβ̞að̞eɾnãn
abadernando	aβ̞að̞eɾnãn̪d̪o
abadernar	aβ̞að̞eɾnaɾ
abadernar	laβ̞að̞eɾnaɾ
abadernara	aβ̞að̞eɾnaɾa
abadernarais	aβ̞að̞eɾnaɾai̯s
abadernaran	aβ̞að̞eɾnaɾãn
abadernaras	aβ̞að̞eɾnaɾas
abadernare	aβ̞að̞eɾnaɾe
abadernareis	aβ̞að̞eɾnaɾei̯s
abadernaremos	aβ̞að̞eɾnaɾemos
abadernaren	aβ̞að̞eɾnaɾẽn
abadernares	aβ̞að̞eɾnaɾes
abadernaron	aβ̞að̞eɾnaɾõn
abadernará	aβ̞að̞eɾnaɾa
abadernarán	aβ̞að̞eɾnaɾãn
abadernarás	aβ̞að̞eɾnaɾas
abadernaré	aβ̞að̞eɾnaɾe
abadernaréis	aβ̞að̞eɾnaɾei̯s
abadernaría	aβ̞að̞eɾnaɾia
abadernaríais	aβ̞að̞eɾnaɾiai̯s
abadernaríamos	aβ̞að̞eɾnaɾiamos
abadernarían	aβ̞að̞eɾnaɾiãn
abadernarías	aβ̞að̞eɾnaɾias
abadernas	aβ̞að̞eɾnas
abadernase	aβ̞að̞eɾnase
abadernaseis	aβ̞að̞eɾnasei̯s
abadernasen	aβ̞að̞eɾnasẽn
abadernases	aβ̞að̞eɾnases
abadernaste	aβ̞að̞eɾnast̪e
abadernasteis	aβ̞að̞eɾnast̪ei̯s
abaderne	aβ̞að̞eɾne
abadernemos	aβ̞að̞eɾnemos
abadernen	aβ̞að̞eɾnẽn
abadernes	aβ̞að̞eɾnes
abaderno	aβ̞að̞eɾno
abaderná	aβ̞að̞eɾna
abadernábamos	aβ̞að̞eɾnaβ̞amos
abadernáis	aβ̞að̞eɾnai̯s
abadernáramos	aβ̞að̞eɾnaɾamos
abadernáremos	aβ̞að̞eɾnaɾemos
abadernás	aβ̞að̞eɾnas
abadernásemos	aβ̞að̞eɾnasemos
abaderné	aβ̞að̞eɾne
abadernéis	aβ̞að̞eɾnei̯s
abadernés	aβ̞að̞eɾnes
abadernó	aβ̞að̞eɾno
abades	aβ̞að̞es
abadesa	aβ̞að̞esa
abadesas	aβ̞að̞esas
abadessa	aβ̞að̞esa
abadial	aβ̞að̞jal
abadiano	aβ̞að̞jano
abadán	aβ̞að̞ãn
abadí	aβ̞að̞i
abadía	aβ̞að̞ia
abadón	aβ̞að̞õn
abaixadura	aβ̞aiɣ̞sad̪uɾa
abaixallengües	aβ̞aiɣ̞saʝenɣ̞wes
abaja	aβ̞axa
abajaba	aβ̞axaβ̞a
abajabais	aβ̞axaβ̞ai̯s
abajaban	aβ̞axaβ̞ãn
abajabas	aβ̞axaβ̞as
abajad	aβ̞axað̞
abajada	aβ̞axað̞a
abajadas	aβ̞axað̞as
abajadero	aβ̞axað̞eɾo
abajadla	aβ̞axað̞la
abajadlas	aβ̞axað̞las
abajadle	aβ̞axað̞le
abajadles	aβ̞axað̞les
abajadlo	aβ̞axað̞lo
abajadlos	aβ̞axað̞los
abajadme	aβ̞axað̞me
abajadnos	aβ̞axað̞nos
abajado	aβ̞axað̞o
abajados	aβ̞axað̞os
abajala	aβ̞axala
abajalas	aβ̞axalas
abajale	aβ̞axale
abajales	aβ̞axales
abajalo	aβ̞axalo
abajalos	aβ̞axalos
abajame	aβ̞axame
abajamos	aβ̞axamos
abajan	aβ̞axãn
abajando	aβ̞axãn̪d̪o
abajanos	aβ̞axanos
abajaos	aβ̞axaos
abajar	aβ̞axaɾ
abajara	aβ̞axaɾa
abajarais	aβ̞axaɾai̯s
abajaran	aβ̞axaɾãn
abajaras	aβ̞axaɾas
abajare	aβ̞axaɾe
abajareis	aβ̞axaɾei̯s
abajaremos	aβ̞axaɾemos
abajaren	aβ̞axaɾẽn
abajares	aβ̞axaɾes
abajaron	aβ̞axaɾõn
abajará	aβ̞axaɾa
abajarán	aβ̞axaɾãn
abajarás	aβ̞axaɾas
abajaré	aβ̞axaɾe
abajaréis	aβ̞axaɾei̯s
abajaría	aβ̞axaɾia
abajaríais	aβ̞axaɾiai̯s
abajaríamos	aβ̞axaɾiamos
abajarían	aβ̞axaɾiãn
abajarías	aβ̞axaɾias
abajas	aβ̞axas
abajase	aβ̞axase
abajaseis	aβ̞axasei̯s
abajasen	aβ̞axasẽn
abajases	aβ̞axases
abajaste	aβ̞axast̪e
abajasteis	aβ̞axast̪ei̯s
abajate	aβ̞axat̪e
abaje	aβ̞axe
abajemos	aβ̞axemos
abajen	aβ̞axẽn
abajera	aβ̞axeɾa
abajes	aβ̞axes
abajeña	aβ̞axeɲa
abajeño	aβ̞axeɲo
abajo	aβ̞axo
abajá	aβ̞axa
abajábamos	aβ̞axaβ̞amos
abajáis	aβ̞axai̯s
abajáramos	aβ̞axaɾamos
abajáremos	aβ̞axaɾemos
abajás	aβ̞axas
abajé	aβ̞axe
abajéis	aβ̞axei̯s
abajémonos	aβ̞axemonos
abajémoos	aβ̞axemoos
abajémosla	aβ̞axemosla
abajémoslas	aβ̞axemoslas
abajémosle	aβ̞axemosle
abajémosles	aβ̞axemosles
abajémoslo	aβ̞axemoslo
abajémoslos	aβ̞axemoslos
abajémoste	aβ̞axemost̪e
abajés	aβ̞axes
abajó	aβ̞axo
abalance	aβ̞alãn̟θe
abalancemos	aβ̞alãn̟θemos
abalancen	aβ̞alãn̟θẽn
abalances	aβ̞alãn̟θes
abalancé	aβ̞alãn̟θe
abalancéis	aβ̞alãn̟θei̯s
abalancémonos	aβ̞alãn̟θemonos
abalancémoos	aβ̞alãn̟θemoos
abalancémosla	aβ̞alãn̟θemosla
abalancémoslas	aβ̞alãn̟θemoslas
abalancémosle	aβ̞alãn̟θemosle
abalancémosles	aβ̞alãn̟θemosles
abalancémoslo	aβ̞alãn̟θemoslo
abalancémoslos	aβ̞alãn̟θemoslos
abalancémoste	aβ̞alãn̟θemost̪e
abalancés	aβ̞alãn̟θes
abalanza	aβ̞alãn̟θa
abalanzaba	aβ̞alãn̟θaβ̞a
abalanzabais	aβ̞alãn̟θaβ̞ai̯s
abalanzaban	aβ̞alãn̟θaβ̞ãn
abalanzabas	aβ̞alãn̟θaβ̞as
abalanzad	aβ̞alãn̟θað̞
abalanzada	aβ̞alãn̟θað̞a
abalanzadas	aβ̞alãn̟θað̞as
abalanzadla	aβ̞alãn̟θað̞la
abalanzadlas	aβ̞alãn̟θað̞las
abalanzadle	aβ̞alãn̟θað̞le
abalanzadles	aβ̞alãn̟θað̞les
abalanzadlo	aβ̞alãn̟θað̞lo
abalanzadlos	aβ̞alãn̟θað̞los
abalanzadme	aβ̞alãn̟θað̞me
abalanzadnos	aβ̞alãn̟θað̞nos
abalanzado	aβ̞alãn̟θað̞o
abalanzados	aβ̞alãn̟θað̞os
abalanzala	aβ̞alãn̟θala
abalanzalas	aβ̞alãn̟θalas
abalanzale	aβ̞alãn̟θale
abalanzales	aβ̞alãn̟θales
abalanzalo	aβ̞alãn̟θalo
abalanzalos	aβ̞alãn̟θalos
abalanzame	aβ̞alãn̟θame
abalanzamos	aβ̞alãn̟θamos
abalanzan	aβ̞alãn̟θãn
abalanzando	aβ̞alãn̟θãn̪d̪o
abalanzanos	aβ̞alãn̟θanos
abalanzaos	aβ̞alãn̟θaos
abalanzar	aβ̞alãn̟θaɾ
abalanzara	aβ̞alãn̟θaɾa
abalanzarais	aβ̞alãn̟θaɾai̯s
abalanzaran	aβ̞alãn̟θaɾãn
abalanzaras	aβ̞alãn̟θaɾas
abalanzare	aβ̞alãn̟θaɾe
abalanzareis	aβ̞alãn̟θaɾei̯s
abalanzaremos	aβ̞alãn̟θaɾemos
abalanzaren	aβ̞alãn̟θaɾẽn
abalanzares	aβ̞alãn̟θaɾes
abalanzarla	aβ̞alãn̟θaɾla
abalanzarlas	aβ̞alãn̟θaɾlas
abalanzarle	aβ̞alãn̟θaɾle
abalanzarles	aβ̞alãn̟θaɾles
abalanzarlo	aβ̞alãn̟θaɾlo
abalanzarlos	aβ̞alãn̟θaɾlos
abalanzarme	aβ̞alãn̟θaɾme
abalanzarnos	aβ̞alãn̟θaɾnos
abalanzaron	aβ̞alãn̟θaɾõn
abalanzaros	aβ̞alãn̟θaɾos
abalanzarse	aβ̞alãn̟θaɾse
abalanzarte	aβ̞alãn̟θaɾt̪e
abalanzará	aβ̞alãn̟θaɾa
abalanzarán	aβ̞alãn̟θaɾãn
abalanzarás	aβ̞alãn̟θaɾas
abalanzaré	aβ̞alãn̟θaɾe
abalanzaréis	aβ̞alãn̟θaɾei̯s
abalanzaría	aβ̞alãn̟θaɾia
abalanzaríais	aβ̞alãn̟θaɾiai̯s
abalanzaríamos	aβ̞alãn̟θaɾiamos
abalanzarían	aβ̞alãn̟θaɾiãn
abalanzarías	aβ̞alãn̟θaɾias
abalanzas	aβ̞alãn̟θas
abalanzase	aβ̞alãn̟θase
abalanzaseis	aβ̞alãn̟θasei̯s
abalanzasen	aβ̞alãn̟θasẽn
abalanzases	aβ̞alãn̟θases
abalanzaste	aβ̞alãn̟θast̪e
abalanzasteis	aβ̞alãn̟θast̪ei̯s
abalanzate	aβ̞alãn̟θat̪e
abalanzo	aβ̞alãn̟θo
abalanzá	aβ̞alãn̟θa
abalanzábamos	aβ̞alãn̟θaβ̞amos
abalanzáis	aβ̞alãn̟θai̯s
abalanzándola	aβ̞alãn̟θãn̪d̪ola
abalanzándolas	aβ̞alãn̟θãn̪d̪olas
abalanzándole	aβ̞alãn̟θãn̪d̪ole
abalanzándoles	aβ̞alãn̟θãn̪d̪oles
abalanzándolo	aβ̞alãn̟θãn̪d̪olo
abalanzándolos	aβ̞alãn̟θãn̪d̪olos
abalanzándome	aβ̞alãn̟θãn̪d̪ome
abalanzándonos	aβ̞alãn̟θãn̪d̪onos
abalanzándoos	aβ̞alãn̟θãn̪d̪oos
abalanzándose	aβ̞alãn̟θãn̪d̪ose
abalanzándote	aβ̞alãn̟θãn̪d̪ot̪e
abalanzáramos	aβ̞alãn̟θaɾamos
abalanzáremos	aβ̞alãn̟θaɾemos
abalanzás	aβ̞alãn̟θas
abalanzásemos	aβ̞alãn̟θasemos
abalanzó	aβ̞alãn̟θo
abalançament	aβ̞alãn̪θamẽn̪t̪
abalançat	aβ̞alãn̪sat̪
abalconado	aβ̞alkonað̞o
abaldona	aβ̞al̪d̪ona
abaldonaba	aβ̞al̪d̪onaβ̞a
abaldonabais	aβ̞al̪d̪onaβ̞ai̯s
abaldonaban	aβ̞al̪d̪onaβ̞ãn
abaldonabas	aβ̞al̪d̪onaβ̞as
abaldonad	aβ̞al̪d̪onað̞
abaldonada	aβ̞al̪d̪onað̞a
abaldonadas	aβ̞al̪d̪onað̞as
abaldonadla	aβ̞al̪d̪onað̞la
abaldonadlas	aβ̞al̪d̪onað̞las
abaldonadle	aβ̞al̪d̪onað̞le
abaldonadles	aβ̞al̪d̪onað̞les
abaldonadlo	aβ̞al̪d̪onað̞lo
abaldonadlos	aβ̞al̪d̪onað̞los
abaldonadme	aβ̞al̪d̪onað̞me
abaldonadnos	aβ̞al̪d̪onað̞nos
abaldonado	aβ̞al̪d̪onað̞o
abaldonados	aβ̞al̪d̪onað̞os
abaldonala	aβ̞al̪d̪onala
abaldonalas	aβ̞al̪d̪onalas
abaldonale	aβ̞al̪d̪onale
abaldonales	aβ̞al̪d̪onales
abaldonalo	aβ̞al̪d̪onalo
abaldonalos	aβ̞al̪d̪onalos
abaldoname	aβ̞al̪d̪oname
abaldonamiento	aβ̞al̪d̪onamjẽn̪t̪o
abaldonamos	aβ̞al̪d̪onamos
abaldonan	aβ̞al̪d̪onãn
abaldonando	aβ̞al̪d̪onãn̪d̪o
abaldonanos	aβ̞al̪d̪onanos
abaldonaos	aβ̞al̪d̪onaos
abaldonar	aβ̞al̪d̪onaɾ
abaldonara	aβ̞al̪d̪onaɾa
abaldonarais	aβ̞al̪d̪onaɾai̯s
abaldonaran	aβ̞al̪d̪onaɾãn
abaldonaras	aβ̞al̪d̪onaɾas
abaldonare	aβ̞al̪d̪onaɾe
abaldonareis	aβ̞al̪d̪onaɾei̯s
abaldonaremos	aβ̞al̪d̪onaɾemos
abaldonaren	aβ̞al̪d̪onaɾẽn
abaldonares	aβ̞al̪d̪onaɾes
abaldonarla	aβ̞al̪d̪onaɾla
abaldonarlas	aβ̞al̪d̪onaɾlas
abaldonarle	aβ̞al̪d̪onaɾle
abaldonarles	aβ̞al̪d̪onaɾles
abaldonarlo	aβ̞al̪d̪onaɾlo
abaldonarlos	aβ̞al̪d̪onaɾlos
abaldonarme	aβ̞al̪d̪onaɾme
abaldonarnos	aβ̞al̪d̪onaɾnos
abaldonaron	aβ̞al̪d̪onaɾõn
abaldonaros	aβ̞al̪d̪onaɾos
abaldonarse	aβ̞al̪d̪onaɾse
abaldonarte	aβ̞al̪d̪onaɾt̪e
abaldonará	aβ̞al̪d̪onaɾa
abaldonarán	aβ̞al̪d̪onaɾãn
abaldonarás	aβ̞al̪d̪onaɾas
abaldonaré	aβ̞al̪d̪onaɾe
abaldonaréis	aβ̞al̪d̪onaɾei̯s
abaldonaría	aβ̞al̪d̪onaɾia
abaldonaríais	aβ̞al̪d̪onaɾiai̯s
abaldonaríamos	aβ̞al̪d̪onaɾiamos
abaldonarían	aβ̞al̪d̪onaɾiãn
abaldonarías	aβ̞al̪d̪onaɾias
abaldonas	aβ̞al̪d̪onas
abaldonase	aβ̞al̪d̪onase
abaldonaseis	aβ̞al̪d̪onasei̯s
abaldonasen	aβ̞al̪d̪onasẽn
abaldonases	aβ̞al̪d̪onases
abaldonaste	aβ̞al̪d̪onast̪e
abaldonasteis	aβ̞al̪d̪onast̪ei̯s
abaldonate	aβ̞al̪d̪onat̪e
abaldone	aβ̞al̪d̪one
abaldonemos	aβ̞al̪d̪onemos
abaldonen	aβ̞al̪d̪onẽn
abaldones	aβ̞al̪d̪ones
abaldono	aβ̞al̪d̪ono
abaldoná	aβ̞al̪d̪ona
abaldonábamos	aβ̞al̪d̪onaβ̞amos
abaldonáis	aβ̞al̪d̪onai̯s
abaldonándola	aβ̞al̪d̪onãn̪d̪ola
abaldonándolas	aβ̞al̪d̪onãn̪d̪olas
abaldonándole	aβ̞al̪d̪onãn̪d̪ole
abaldonándoles	aβ̞al̪d̪onãn̪d̪oles
abaldonándolo	aβ̞al̪d̪onãn̪d̪olo
abaldonándolos	aβ̞al̪d̪onãn̪d̪olos
abaldonándome	aβ̞al̪d̪onãn̪d̪ome
abaldonándonos	aβ̞al̪d̪onãn̪d̪onos
abaldonándoos	aβ̞al̪d̪onãn̪d̪oos
abaldonándose	aβ̞al̪d̪onãn̪d̪ose
abaldonándote	aβ̞al̪d̪onãn̪d̪ot̪e
abaldonáramos	aβ̞al̪d̪onaɾamos
abaldonáremos	aβ̞al̪d̪onaɾemos
abaldonás	aβ̞al̪d̪onas
abaldonásemos	aβ̞al̪d̪onasemos
abaldoné	aβ̞al̪d̪one
abaldonéis	aβ̞al̪d̪onei̯s
abaldonémonos	aβ̞al̪d̪onemonos
abaldonémoos	aβ̞al̪d̪onemoos
abaldonémosla	aβ̞al̪d̪onemosla
abaldonémoslas	aβ̞al̪d̪onemoslas
abaldonémosle	aβ̞al̪d̪onemosle
abaldonémosles	aβ̞al̪d̪onemosles
abaldonémoslo	aβ̞al̪d̪onemoslo
abaldonémoslos	aβ̞al̪d̪onemoslos
abaldonémoste	aβ̞al̪d̪onemost̪e
abaldonés	aβ̞al̪d̪ones
abaldonó	aβ̞al̪d̪ono
abaldónala	aβ̞al̪d̪onala
abaldónalas	aβ̞al̪d̪onalas
abaldónale	aβ̞al̪d̪onale
abaldónales	aβ̞al̪d̪onales
abaldónalo	aβ̞al̪d̪onalo
abaldónalos	aβ̞al̪d̪onalos
abaldóname	aβ̞al̪d̪oname
abaldónanos	aβ̞al̪d̪onanos
abaldónate	aβ̞al̪d̪onat̪e
abaldónela	aβ̞al̪d̪onela
abaldónelas	aβ̞al̪d̪onelas
abaldónele	aβ̞al̪d̪onele
abaldóneles	aβ̞al̪d̪oneles
abaldónelo	aβ̞al̪d̪onelo
abaldónelos	aβ̞al̪d̪onelos
abaldóneme	aβ̞al̪d̪oneme
abaldónenla	aβ̞al̪d̪onẽnla
abaldónenlas	aβ̞al̪d̪onẽnlas
abaldónenle	aβ̞al̪d̪onẽnle
abaldónenles	aβ̞al̪d̪onẽnles
abaldónenlo	aβ̞al̪d̪onẽnlo
abaldónenlos	aβ̞al̪d̪onẽnlos
abaldónenme	aβ̞al̪d̪onẽmme
abaldónennos	aβ̞al̪d̪onẽnnos
abaldónenos	aβ̞al̪d̪onenos
abaldónense	aβ̞al̪d̪onẽnse
abaldónese	aβ̞al̪d̪onese
abaleada	aβ̞aleað̞a
abaleadas	aβ̞aleað̞as
abaleado	aβ̞aleað̞o
abaleados	aβ̞aleað̞os
abalear	aβ̞aleaɾ
abaleara	aβ̞aleaɾa
abaleares	aβ̞aleaɾes
abaleo	aβ̞aleo
abalisar	aːbalisa
abalorio	aβ̞aloɾjo
abaltir-se	aβ̞alt̪iɾse
abaluartada	aβ̞alwaɾt̪að̞a
abaluartadas	aβ̞alwaɾt̪að̞as
abaluartado	aβ̞alwaɾt̪að̞o
abaluartados	aβ̞alwaɾt̪að̞os
abaluartar	aβ̞alwaɾt̪aɾ
abaluartara	aβ̞alwaɾt̪aɾa
abaluartares	aβ̞alwaɾt̪aɾes
abaláncela	aβ̞alãn̟θela
abaláncelas	aβ̞alãn̟θelas
abaláncele	aβ̞alãn̟θele
abalánceles	aβ̞alãn̟θeles
abaláncelo	aβ̞alãn̟θelo
abaláncelos	aβ̞alãn̟θelos
abalánceme	aβ̞alãn̟θeme
abaláncenla	aβ̞alãn̟θẽnla
abaláncenlas	aβ̞alãn̟θẽnlas
abaláncenle	aβ̞alãn̟θẽnle
abaláncenles	aβ̞alãn̟θẽnles
abaláncenlo	aβ̞alãn̟θẽnlo
abaláncenlos	aβ̞alãn̟θẽnlos
abaláncenme	aβ̞alãn̟θẽmme
abaláncennos	aβ̞alãn̟θẽnnos
abaláncenos	aβ̞alãn̟θenos
abaláncense	aβ̞alãn̟θẽnse
abaláncese	aβ̞alãn̟θese
abalánzala	aβ̞alãn̟θala
abalánzalas	aβ̞alãn̟θalas
abalánzale	aβ̞alãn̟θale
abalánzales	aβ̞alãn̟θales
abalánzalo	aβ̞alãn̟θalo
abalánzalos	aβ̞alãn̟θalos
abalánzame	aβ̞alãn̟θame
abalánzanos	aβ̞alãn̟θanos
abalánzate	aβ̞alãn̟θat̪e
abana	aβ̞ana
abanaba	aβ̞anaβ̞a
abanación	aβ̞anaθjõn
abanada	aβ̞anað̞a
abanadas	aβ̞anað̞as
abanado	aβ̞anað̞o
abanados	aβ̞anað̞os
abanamos	aβ̞anamos
abanando	aβ̞anãn̪d̪o
abanar	aβ̞anaɾ
abanara	aβ̞anaɾa
abanaras	aβ̞anaɾas
abanareis	aβ̞anaɾei̯s
abanaremos	aβ̞anaɾemos
abanares	aβ̞anaɾes
abanará	aβ̞anaɾa
abanarás	aβ̞anaɾas
abanaríamos	aβ̞anaɾiamos
abanas	aβ̞anas
abanaste	aβ̞anast̪e
abancalada	aβ̞ãŋkalað̞a
abancaladas	aβ̞ãŋkalað̞as
abancalado	aβ̞ãŋkalað̞o
abancalados	aβ̞ãŋkalað̞os
abancalament	aβ̞ãŋkalamẽn̪t̪
abancalar	aβ̞ãŋkalaɾ
abancalara	aβ̞ãŋkalaɾa
abancalares	aβ̞ãŋkalaɾes
abandera	aβ̞ãn̪d̪eɾa
abanderada	aβ̞ãn̪d̪eɾað̞a
