a	aː
canadaidd	kanaːdɛð
canadiad	kanadjad
canadiaid	kanadjai̯d
canadiaid	kanadjɛd
caradog	karaːdɔɡ
carew	karɛu̯
carrog	karɔɡ
carys	kaːrɪs
casnewydd	kasnɛu̯ɪð
casnewydd	kaːsnɛu̯ɪð
catholig	kaθoːlɪɡ
catholig	kaθɔlɪɡ
catholigiaeth	kaθɔlɪɡjai̯θ
catholigiaeth	kaθɔlɪɡjɛθ
catrin	katrɪn
celyn	keːlɪn
celyn	kɛlɪn
ceredigion	kɛrɛdɪɡjɔn
ceri	keːri
ceri	kɛri
cernyw	kɛrnɪu̯
cernyweg	kɛrnəu̯ɛɡ
cerys	keːrɪs
cerys	kɛrɪs
cesar	kɛsar
chaeredin	χai̯reːdɪn
chaeredin	χai̯rɛdɪn
chaerfyrddin	χei̯rfərðɪn
chaint	χai̯nt
chambodia	χambɔdja
chambodiad	χambɔdjad
chambodiaid	χambɔdjai̯d
chambodiaid	χambɔdjɛd
chambodiaidd	χambɔdjai̯ð
chambodiaidd	χambɔdjɛð
chamerŵn	χamɛruːn
chanada	χaːnada
chanadaidd	χanaːdai̯ð
chanadaidd	χanaːdɛð
chanadiad	χanadjad
chanadiaid	χanadjai̯d
chanadiaid	χanadjɛd
chiwba	χɪu̯ba
cholombia	χɔlɔmbja
chorea	χɔreːa
christ	χrɪst
chroatia	χrɔatja
chroatia	χrɔaʃa
chwefror	ʍɛvrɔr
chwefror	χwɛvrɔr
chymro	χəmrɔ
chymru	χəmri
chymry	χəmri
cilarne	kɪlarnɛ
ciribati	kɪrɪbati
ciwba	kɪu̯ba
clydach	klədax
colombia	kɔlɔmbja
conwy	kɔnʊi̯
corea	kɔreːa
creta	krɛta
crist	krɪst
cristion	krɪsdjɔn
cristionogion	krɪsdjɔnɔɡjɔn
cristnogaeth	krɪsdnoːɡai̯θ
cristnogaeth	krɪsdnoːɡɛθ
cristnogaeth	krɪsdnɔɡai̯θ
cristnogaeth	krɪsdnɔɡɛθ
cristnoges	krɪstnoːɡɛs
cristnoges	krɪstnɔɡɛs
cristnogion	krɪsdnɔɡjɔn
cristnogol	krɪsdnoːɡɔl
cristnogol	krɪsdnɔɡɔl
croatia	krɔatja
croatia	krɔaʃa
crynwr	krənʊr
crynwyr	krənwɪr
cwmbrân	kʊmbraːn
cwmgwrach	kʊmɡwraːχ
cymraeg	kəmrai̯ɡ
cymraeg	kəmraːɡ
cymraeg	kʊmraːɡ
cymraes	kəmrai̯s
cymraesau	kəmrei̯sai̯
cymraesau	kəmrei̯sɛ
cymreig	kəmrei̯ɡ
cymreigio	kəmrei̯ɡjɔ
cymro	kəmrɔ
cymru	kəmri
cymry	kəmri
dachwedd	daχwɛð
dafydd	daːvɪð
dasmania	dazmanja
dawe	dau̯ɛ
ddafydd	ðavɪð
ddafydd	ðaːvɪð
ddenmarc	ðɛnmark
ddulyn	ðiːlɪn
ddulyn	ðɪlɪn
delwyn	dɛlwɪn
denmarc	dɛnmark
dewi	dɛu̯i
dolwyddelan	dɔlwɪðeːlan
dolwyddelan	dɔlwɪðɛlan
dudno	dɪdnɔ
dulyn	diːlɪn
dulyn	dɪlɪn
duw	dɪu̯
dwrci	dʊrki
dyfi	dəvi
dyfnwal	dəvnwal
dyfrdwy	dəvrdʊi̯
dyfrig	dəvrɪɡ
dylan	dəlan
e	eː
ebrill	ɛbrɪɬ
ecwador	ɛkwadɔr
efrog	ɛvrɔɡ
efyrnwy	ɛvərnʊi̯
eidal	ei̯dal
eidal	ərei̯dal
eirwen	ei̯rwɛn
eirwyn	ei̯rwɪn
eiry	ei̯ri
elain	eːlai̯n
elain	ɛlai̯n
eldrydd	ɛldrəð
eleri	ɛleːri
eleri	ɛlɛri
elgan	ɛlɡan
emrys	ɛmrɪs
emyr	ɛmɪr
enid	ɛnɪd
eryri	ɛrəri
eurwen	ei̯rwɛn
eurwyn	ei̯rwɪn
euryn	ei̯rɪn
ewrop	ɛu̯rɔp
ewropeaidd	ɛu̯rɔpeːai̯ð
ewropeaidd	ɛu̯rɔpeːɛð
facebook	feːsbʊk
fadagasgar	vadaɡasɡar
fair	vai̯r
fawrth	vau̯rθ
fecsico	vɛksɪkɔ
fedi	veːdi
fedi	vɛdi
fegan	veːɡan
fegan	vɛɡan
fehefin	vɛheːvɪn
fehefin	vɛhɛvɪn
felarws	vɛlarʊs
felffast	vɛlfasd
feneswela	vɛnɛsweːla
feneswela	vɛnɛzweːla
ffiji	fiːd͡ʒi
ffindir	fɪndɪr
ffindir	əfɪndɪr
ffrainc	frai̯ŋk
ffrancwr	fraŋkʊr
ffrancwyr	fraŋkwɪr
ffrengig	frɛŋɪɡ
fhwtan	vʊtaːn
fienna	vɪɛna
fietnam	vjɛtnam
fietnameg	vjɛtnamɛɡ
foldofa	vɔldoːva
foldofa	vɔldɔva
folifia	vɔlɪvja
foroco	vɔrɔkɔ
fwlgaria	vʊlɡarja
gaeredin	ɡai̯reːdɪn
gaeredin	ɡai̯rɛdɪn
gaerfyrddin	ɡei̯rfərðɪn
gaint	ɡai̯nt
gambodia	ɡambɔdja
gambodiad	ɡambɔdjad
gambodiaid	ɡambɔdjai̯d
gambodiaid	ɡambɔdjɛd
gambodiaidd	ɡambɔdjai̯ð
gambodiaidd	ɡambɔdjɛð
gamerŵn	ɡamɛruːn
ganada	ɡaːnada
ganadaidd	ɡanaːdai̯ð
ganadaidd	ɡanaːdɛð
ganadiad	ɡanadjad
ganadiaid	ɡanadjai̯d
ganadiaid	ɡanadjɛd
gatholig	ɡaθoːlɪɡ
gatholig	ɡaθɔlɪɡ
giwba	ɡɪu̯ba
gog	ɡɔɡ
gogs	ɡɔɡz
golombia	ɡɔlɔmbja
gorea	ɡɔreːa
gorffennaf	ɡɔrfɛnav
grist	ɡrɪst
groatia	ɡrɔatja
groatia	ɡrɔaʃa
groeg	ɡrɔi̯ɡ
gruffudd	ɡrɪfɪð
gwener	ɡweːnɛr
gwener	ɡwɛnɛr
gwenhwyfar	ɡwɛnhʊi̯var
gwenllian	ɡwɛnɬiːan
gweplyfr	ɡwɛplɪvr
gwersyllt	ɡwɛrsɪɬd
gwilym	ɡwɪlɪm
gwy	ɡʊi̯
gwyddel	ɡwɪðɛl
gwyddel	ɡʊi̯ðɛl
gwyddeleg	ɡwɪðeːlɛɡ
gwyddeleg	ɡwɪðɛlɛɡ
gwyddeleg	ɡʊi̯ðeːlɛɡ
gwyddeleg	ɡʊi̯ðɛlɛɡ
gwyddelig	ɡwɪðeːlɪɡ
gwyddelig	ɡwɪðɛlɪɡ
gwyddelig	ɡʊi̯ðeːlɪɡ
gwyddelig	ɡʊi̯ðɛlɪɡ
gwyddelod	ɡwɪðeːlɔd
gwyddelod	ɡwɪðɛlɔd
gwyddelod	ɡʊi̯ðeːlɔd
gwyddelod	ɡʊi̯ðɛlɔd
gwyddyl	ɡwɪðɪl
gwyddyl	ɡʊi̯ðɪl
gwydion	ɡwɪdjɔn
gwydion	ɡʊi̯djɔn
gwyndyd	ɡʊi̯ndɪd
gwynedd	ɡwi̯nɛð
gwyneira	ɡwɪnei̯ra
gwyneth	ɡwɪnɛθ
gymro	ɡəmrɔ
gymru	ɡəmri
gymry	ɡəmri
gâl	ɡaːl
gŵyr	ɡʊi̯r
h	ai̯tʃ
h	hai̯tʃ
h	hə
haberaeron	habɛrei̯rɔn
haberdâr	habɛrdaːr
haeddel	hei̯ðɛl
hafren	havrɛn
halbania	halbanja
hamerica	hamɛrɪka
hangharad	haŋharad
hangharad	haŋhaːrad
harglwydd	harɡlʊi̯ð
harri	harɪ
haserbaijan	hazɛrbai̯d͡ʒan
hawstralia	hau̯sdralja
henffordd	hɛnfɔrð
hiddewiaeth	hɪðeu̯jai̯θ
hiddewiaeth	hɪðeu̯jɛθ
holocost	hɔlɔkɔsd
homan	hɔman
hondwras	hɔnduːras
hondwras	hɔndʊras
hwngareg	hʊŋɡaːrɛɡ
hwngari	hʊŋɡari
hydref	hədrɛ
hydref	hədrɛv
hywel	həu̯ɛl
ianto	jantɔ
iau	jai̯
iau	jɔi̯
iddew	iːðɛu̯
iddew	ɪðɛu̯
iddewes	ɪðɛu̯ɛs
iddewesau	ɪðɛu̯ɛsai̯
iddewesau	ɪðɛu̯ɛsɛ
iddewiaeth	ɪðeu̯jai̯θ
iddewiaeth	ɪðeu̯jɛθ
iddewig	ɪðɛu̯ɪɡ
iddewon	ɪðɛu̯ɔn
iesu	jɛsi
ieuan	jei̯an
ifan	iːvan
ifan	ɪvan
india	ɪndja
ioan	joːan
ioan	jɔan
iolo	jɔlɔ
ionawr	joːnau̯r
ionawr	jɔnau̯r
irac	ɪrak
iran	ɪran
iseldiraidd	ɪsɛldiːrai̯ð
iseldiraidd	ɪsɛldiːrɛð
iseldiraidd	ɪsɛldɪrai̯ð
iseldiraidd	ɪsɛldɪrɛð
iseldiroedd	ərɪsɛldɪrɔi̯ð
iseldiroedd	ɪsɛldɪrɔi̯ð
israel	ɪzrai̯l
iwan	ɪu̯an
iwerddon	ɪu̯ɛrðɔn
iwerddoneg	ɪu̯ɛrðoːnɛɡ
iwerddoneg	ɪu̯ɛrðɔnɛɡ
iâl	jaːl
iôn	joːn
iôr	joːr
j	dʒeː
jac	d͡ʒak
kantiad	kantjad
kantiaeth	kantjai̯θ
kantiaeth	kantjɛθ
labovaidd	labɔvai̯ð
ladin	ladɪn
ladin	laːdɪn
latfia	latvja
lerpwl	lɛrpʊl
libanus	lɪbanɪs
lisbon	lɪzbən
lithwania	lɪθwanja
lladin	ɬadɪn
lladin	ɬaːdɪn
llandecwyn	ɬandɛkwɪn
llandudno	ɬandɪdnɔ
llanelli	ɬanɛɬi
llanfairpwllgwyngyll	ɬanvai̯rpʊɬɡwɪŋɡɪɬ
llansamlet	ɬansamlɛt
lloegr	ɬɔi̯ɡr
lloegr	ɬɔi̯ɡɛr
llun	ɬiːn
llundain	ɬɪndai̯n
llundain	ɬɪndɛn
llwchwr	ɬuːχʊr
llwchwr	ɬʊχʊr
llychlyn	ɬəχlɪn
llychlynnaidd	ɬəχlənai̯ð
llychlynnwr	ɬəχlənʊr
llychlynwyr	ɬəχlənwɪr
llydaw	ɬədau̯
llywelyn	ɬəu̯eːlɪn
llywelyn	ɬəu̯ɛlɪn
loegr	lɔi̯ɡr
loegr	lɔi̯ɡɛr
lowri	lou̯ri
lundain	lɪndai̯n
lundain	lɪndɛn
lwcsembwrg	lʊksɛmbʊrɡ
lychlyn	ləχlɪn
lychlynnwr	ləχlənʊr
lydaw	lədau̯
mab	maːb
machynlleth	maχənɬɛθ
madagasgar	madaɡasɡar
madrid	madrɪd
mai	mai̯
mair	mai̯r
mam	mam
mari	mari
mari	maːri
mawrth	mau̯rθ
mawrth	mou̯rθ
mecsico	mɛksɪkɔ
meddyf	meːðɪv
meddyf	mɛðɪv
medi	meːdi
medi	mɛdi
megan	meːɡan
megan	mɛɡan
mehefin	mɛheːvɪn
mehefin	mɛhɛvɪn
melarws	mɛlarʊs
melffast	mɛlfasd
mercher	mɛrχɛr
mharagwâi	m̥araɡwaːi̯
mharis	m̥aːrɪs
mheriw	m̥ɛrɪu̯
mhortiwgal	m̥ɔrtjʊɡal
mhortiwgal	m̥ɔrtɪu̯ɡal
mhortiwgaleg	m̥ɔrtɪu̯ɡaːlɛɡ
mhrag	m̥raːɡ
mhrydain	m̥rədai̯n
mhrydain	m̥rədɛn
mhwllheli	m̥ʊɬheːli
mhwllheli	m̥ʊɬhɛli
mhwtan	mʊtaːn
moldofa	mɔldoːva
moldofa	mɔldɔva
molifia	mɔlɪvja
morgan	mɔrɡan
morgannwg	mɔrɡanʊɡ
moroco	mɔrɔkɔ
mosambic	mɔzambiːk
moscfa	mɔsɡva
mosgo	mɔsɡɔ
mwlgaria	mʊlɡarja
myfanwy	məvanʊi̯
myfanwy	məvaːnʊi̯
mynwy	mənʊi̯
mynyw	mənɪu̯
nadolig	doːlɪɡ
nadolig	dɔlɪɡ
nadolig	nadoːlɪɡ
nadolig	nadɔlɪɡ
naf	naːv
nedd	neːð
neirin	nei̯rɪn
nenmarc	nɛnmark
nest	nɛst
nghaeredin	ŋ̊ai̯reːdɪn
nghaeredin	ŋ̊ai̯rɛdɪn
nghaerfyrddin	ŋ̊ei̯rfərðɪn
nghaint	ŋ̊ai̯nt
nghambodia	ŋ̊ambɔdja
nghambodiad	ŋ̊ambɔdjad
nghambodiaid	ŋ̊ambɔdjai̯d
nghambodiaid	ŋ̊ambɔdjɛd
nghamerŵn	ŋ̊amɛruːn
nghanada	ŋ̊aːnada
nghanadiad	ŋ̊anadjad
nghanadiaid	ŋ̊anadjai̯d
nghanadiaid	ŋ̊anadjɛd
nghiwba	ŋ̊ɪu̯ba
ngholombia	ŋ̊ɔlɔmbja
nghorea	ŋ̊ɔreːa
nghrist	ŋ̊rɪst
nghroatia	ŋ̊rɔatja
nghroatia	ŋ̊rɔaʃa
nghymro	ŋ̊əmrɔ
nghymru	ŋ̊əmri
nghymry	ŋ̊əmri
ngorffennaf	ŋɔrfɛnav
ngroeg	ŋrɔi̯ɡ
ngwyddel	ŋʊi̯ðɛl
ngwyddeleg	ŋʊi̯ðɛlɛɡ
ngâl	ŋaːl
ngŵyr	ŋʊi̯r
nhachwedd	n̥aχwɛð
nhasmania	n̥azmanja
nhwrci	n̥ʊrki
nicaragwa	nɪkaraɡwa
norwy	noːrʊi̯
norwy	nɔrʊi̯
nulyn	niːlɪn
nulyn	nɪlɪn
nêr	neːr
o	oː
ogwr	oːɡʊr
ogwr	ɔɡʊr
olympaidd	ɔlɪmpai̯ð
olympaidd	ɔlɪmpɛð
oman	ɔman
orffennaf	ɔrfɛnav
osian	ɔʃan
owain	ou̯ai̯n
padarn	padəɹn
padrig	padrɪɡ
paragwâi	paraɡwaːi̯
parchedig	parχeːdɪɡ
parchedig	parχɛdɪɡ
paris	paːrɪs
pasg	pasɡ
pawl	pau̯l
pedr	pɛdr
penarth	pɛnarθ
penbedw	pɛmbeːdu
penbedw	pɛmbɛdu
peris	peːrɪs
peris	pɛrɪs
periw	pɛrɪu̯
periwiad	pɛrɪu̯jad
pharagwâi	faraɡwaːi̯
pharis	faːrɪs
pheriw	fɛrɪu̯
phortiwgal	fɔrtjʊɡal
phortiwgal	fɔrtɪu̯ɡal
phortiwgaleg	fɔrtɪu̯ɡaːlɛɡ
phrag	fraːɡ
phrydain	frədai̯n
phrydain	frədɛn
phwllheli	fʊɬheːli
phwllheli	fʊɬhɛli
pontypridd	pɔntəpriːð
portiwgal	pɔrtɪu̯ɡal
portiwgaleg	pɔrtɪu̯ɡaːlɛɡ
prag	praːɡ
prestatyn	prɛstatɪn
protestaniaeth	prɔtɛsdanjai̯θ
protestaniaeth	prɔtɛsdanjɛθ
protestaniaid	prɔtɛsdanjai̯d
protestaniaid	prɔtɛsdanjɛd
protestannaidd	prɔtɛsdanai̯ð
protestannaidd	prɔtɛsdanɛð
protestant	prɔtɛsdant
prydael	prədai̯l
prydain	prədai̯n
prydain	prədɛn
prydwen	prədwɛn
pwllheli	pʊɬheːli
pwllheli	pʊɬhɛli
ragfyr	raɡvɪr
rhagfyr	r̥aɡvɪr
rhian	r̥ian
rhian	r̥iːan
rhiannon	r̥ianɔn
rhianwen	r̥ianwɛn
rhodri	r̥ɔdri
rhufain	r̥iːvai̯n
rhufain	r̥iːvɛn
rhufain	r̥ɪvai̯n
rhufain	r̥ɪvɛn
rhufeiniad	r̥ɪvei̯njad
rhufeinig	r̥ɪvei̯nɪɡ
rhufeiniwr	r̥ɪvei̯njʊr
rhufeinwyr	r̥ɪvei̯nwɪr
rhun	r̥iːn
rhydaman	r̥ɪdaman
rhydychen	r̥iːdəχɛn
rhydychen	r̥ɪdəχɛn
rhyl	r̥ɪl
rhyl	ər̥ɪl
rhys	r̥iːs
roeg	rɔi̯ɡ
rufain	rɪvai̯n
rufeinig	rɪvei̯nɪɡ
rwanda	rʊanda
rwmania	rʊmanja
rwsia	rʊʃa
sacson	saksɔn
sadwrn	sadʊn
sadwrn	sadʊrn
sadwrn	saːdʊn
sadwrn	saːdʊrn
saesneg	sɪsnɛɡ
saesnes	sei̯snɛs
saeson	sei̯sɔn
sais	sai̯s
sbaen	sbai̯n
sbaeneg	sbei̯nɛɡ
sbaenes	sbei̯nɛs
sbaenwr	sbei̯nʊr
sbaenwyr	sbei̯nwɪr
seisnig	sei̯snɪɡ
serbia	sɛrbja
seren	seːrɛn
seren	sɛrɛn
sgandinafaidd	sɡandɪnavai̯ð
sgandinafia	sɡandɪnavja
sgythia	sɡəθja
siani	ʃani
siani	ʃaːni
siapan	ʃapan
sioned	ʃoːnɛd
sioned	ʃɔnɛd
siwan	sɪu̯an
siwan	ʃuːan
siwan	ʃʊan
siân	ʃaːn
siôn	ʃoːn
siôr	ʃoːr
slofacia	slɔvakja
slofenia	slɔvɛnja
sosban	sɔsban
swdan	sʊdan
sweden	sweːdɛn
sweden	swɛdɛn
swistir	swɪsdɪr
swistir	əswɪsdɪr
swrinam	sʊrɪnam
tgau	tɡai̯
tachwedd	taχwɛð
tad	taːd
taf	taːv
tafwys	tavʊi̯s
tafwys	taːvʊi̯s
talmwd	talmʊd
tasmania	tazmanja
tawe	tau̯ɛ
tecwyn	tɛkwɪn
teifi	tei̯vi
thachwedd	θaχwɛð
thasmania	θazmanja
thawe	θau̯ɛ
thwrci	θʊrki
tibet	tɪbɛt
tibeteg	tɪbɛtɛɡ
tirana	tɪraːna
tiwnisia	tɪu̯nɪzja
tomos	toːmɔs
tonypandy	tɔnəpandi
tonyrefail	tɔnəreːvai̯l
tonyrefail	tɔnəreːvɛl
tonyrefail	tɔnərɛvai̯l
tonyrefail	tɔnərɛvɛl
trawsfynydd	trau̯svənɪð
trefor	treːvɔr
trefor	trɛvɔr
trefynwy	trɛvənʊi̯
trindod	trɪndɔd
troedfawr	troːdvou̯r
troedfawr	trɔi̯dvau̯r
trydar	trədar
tsiad	t͡ʃad
tsieina	t͡ʃei̯na
tsieineeg	t͡ʃei̯neːɛɡ
tudno	tɪdnɔ
twfalw	tʊvaːlu
twitter	twɪtər
twrci	tʊrki
tyddewi	tɪðɛu̯i
w	uː
wcráin	ʊkrai̯n
wellington	wɛlɪŋtən
wganda	ʊɡanda
wiciadur	wɪkjaːdɪr
wicipedia	wɪkɪpɛdja
wiclo	wɪklɔ
wranws	ʊranʊs
wranws	ʊraːnʊs
wrecsam	wrɛksam
wrwgwái	ʊrʊɡwai̯
wy	ʊi̯
wyddel	ʊi̯ðɛl
wyddeleg	ʊi̯ðɛlɛɡ
wysg	ʊi̯sɡ
ystradwel	əsdradwɛl
zwinglïad	swɪŋɡliːad
zwinglïaeth	swɪŋɡliːai̯θ
zwinglïaeth	swɪŋɡliːɛθ
ab	ab
abad	aːbad
abadaeth	abaːdai̯θ
abadaeth	abaːdɛθ
abadaethau	abadei̯θai̯
abadaethau	abadei̯θɛ
abadau	abaːai̯
abadau	abaːɛ
abades	abaːdɛs
abadesau	abadɛsai̯
abadesau	abadɛsɛ
aball	aːbaɬ
aballu	abaɬi
abatai	abatai̯
abathocroalaidd	abaθɔkrɔalai̯ð
abathocroalaidd	abaθɔkrɔaːlai̯ð
abatir	abatɪr
abatiroedd	abatiːrɔi̯ð
abatiroedd	abatɪrɔi̯ð
abaty	abati
aber	aːbɛr
abergofiant	abɛrɡɔvjant
aberth	abɛrθ
aberth	aːbɛrθ
aberthau	abɛrθai̯
aberthau	abɛrθɛ
aberthged	abɛrθɡɛd
aberthgedau	abɛrθɡeːdai̯
aberthgedau	abɛrθɡeːdɛ
aberthgedau	abɛrθɡɛdai̯
aberthgedau	abɛrθɡɛdɛ
aberthu	abɛrθi
aberthwr	abɛrθʊr
abl	abal
abl	abl
abl	aːbal
abladol	abladɔl
abladol	ablaːdɔl
abostol	abɔsdɔl
absen	absɛn
absennau	absɛnɛ
absennau	absɛnɛai̯
absennol	absɛnɔl
absennu	absɛni
absenoldeb	absɛnɔldɛb
abwyd	abʊi̯d
abwyd	aːbʊi̯d
abwydyn	abʊi̯dɪn
academaidd	akadɛmai̯ð
academaidd	akadɛmɛð
academi	akadɛmi
academydd	akadɛmɪð
academyddion	akadɛməðjɔn
academïau	akadɛmiːai̯
academïau	akadɛmiːɛ
acen	akɛn
aceniad	akɛnjad
aceniadau	akɛnjadai̯
aceniadau	akɛnjadɛ
aceniadau	akɛnjaːdai̯
aceniadau	akɛnjaːdɛ
acenion	akɛnjɔn
acennu	akɛni
acer	akɛr
ach	aχ
ach	aːχ
acha	aːχa
achan	aχan
achan	aːχan
achles	aχlɛs
achlesau	aχlɛsai̯
achlesau	aχlɛsɛ
achlesu	aχlɛsi
achlod	aχlɔd
achlust	aχlɪsd
achlysur	aχləsɪr
achlysurol	aχləsiːrɔl
achlysurol	aχləsɪrɔl
achlysuron	aχləsiːrɔn
achlysuron	aχləsɪrɔn
achoedd	aːχɔi̯ð
achos	aːχɔs
achos	χɔs
achosi	aχɔsi
achosion	aχɔsjɔn
achosion	aχɔʃɔn
achres	aχrɛs
achub	aχɪb
achub	aːχɪb
achubiaeth	aχɪbjai̯θ
achubiaeth	aχɪbjɛθ
achubol	aχiːbɔl
achubol	aχɪbɔl
achubwr	aχiːbʊr
achubwr	aχɪbʊr
