"бацькаўшчына"	batsʲkau̯ʂtʂɨna
аблашчыць	abɫastʃɨtsʲ
аблаю	abɫaju
абледзянелы	ablʲatzʲanʲeɫɨ
аблога	abɫoɣa
аблогаваць	abɫogavatsʲ
аблогавы	abɫoxavɨ
абложны	abɫowʐnɨ
аблокі	abɫokʲi
аблом	abɫom
абломам	abɫomam
абломку	abɫomku
абломкі	abɫomkʲi
аблузаць	aboɫuzotsʲ
аблузгаць	abɭuzɣatsʲ
аблупіць	abɫupʲitsʲ
аблушчаны	abɫoʂtʂanɨ
аблыжны	ablɨʐnɨ
аблысець	abɫusʲetsʲ
аблытаць	ablɨtatsʲ
аблюбіць	ablʲubʲitsʲ
абляганьне	ablʲaɣanʲːe
аблямоўка	ablʲamwou̯ka
аблямчыцца	ablʲamːtʂɨtsːo
аблямчыць	ablʲamtsɨtsʲ
аблівацца	oblʲivatsːa
аблізацца	ablʲizatsːa
аблізаць	abɫʲizotsʲ
аблізнуцца	abɫʲiznutsːa
аблізнуць	ablʲiznutsʲ
аблік	aplʲig
аблілі	ablil
аблінаваць	ablʲinavatsʲ
аблінаць	ablʲinatsʲ
аблінованы	ablʲinovonɨ
абліноўваць	ablʲinou̯vatsʲ
абліта	ablʲita
абліты	abɫʲitɨ
абліцца	abɫʲitsːa
абліць	abɫʲitsʲ
аблічаны	ablʲitʂanɨ
аблічваньне	obɫʲitʂvannʲe
аблічвацца	ablʲitʂvatsːo
аблічваць	ablʲitʂvatsʲ
аблічка	ablitʃka
аблічка	abɫʲitʃka
аблічча	ablʲitʂa
аблічча	ablʲitʂːa
аблічыцца	abɫʲitʂɨtsːo
аблічыць	abɫʲitʂɨtsʲ
абмалот	abmɐɫˈot
абмалотка	abmɐɫˈotka
абмасольвацца	abmosolʲvatsːo
абмасоліцца	abmasolʲitstsa
абмасоліцца	abmasolʲitsːa
абмасоліць	abmasolʲitsʲ
абмах	apma
абмахнуць	abmˈaxnˈutsʌ
абмежаванасць	otmʲaʂovanastsʲ
абмежаваная	abmʲeʐavanaʲa
абмежаванні	obmʲeʐavannʲi
абмежаваны	abmʲiʐavanɨ
абмежаваньне	abmʲaʐavannʲe
абмежаваньне	abmʲeʐavannʲe
абмежаваць	ablʲaʐavotsʲ
абмен	obmʲen
абмена	abmʲena
абменны	abmʲennɨ
абменныя	abmɛnnɨja
абменнік	abmʲennʲig
абмену	abmʲenu
абмеркаваны	abmɛrkavanɨ
абмеркаваньне	abmʲerkavanːʲe
абмеркаваць	abmerkavatsʲ
абмеркаваць	abmʲerkavatsʲ
абмерыць	abmerɨtsʲ
абмовіць	abmovʲitsʲ
абмыла	abmɨɫa
абмыляцца	admɨlʲatsːo
абмыліцца	abmɨɫʲitsːa
абмяклы	obmjatɫɨ
абмяркоўвае	abmʲarkou̯voʲe
абмяркоўвалі	abmjarkou̯valʲi
абмяркоўвацца	abmjarkou̯vatsːa
абмяркоўваць	abmʲarkou̯vatsʲ
абмяркую	abmʲarkuʲu
абмін	apmˈin
абмінаць	apminatsʲ
абмінуты	apmʲinutɨ
абнавіцца	apnavʲitstsa
абнавіць	abnavʲitsʲ
абнадзеіцца	abnadzʲeʲetsːa
абначаваць	obnadʐavotsʲ
абнова	abnava
абносіць	abnosʲitsʲ
абноч	abnˈotʃ
абняла	abnʲaɫa
абняслава	abnʲasɫava
абняць	obnʲatsʲ
абняў	abnʲau
абнімаць	abnʲimatsʲ
абнімі	abnʲimʲi
або	abo
абодва	abodva
абодвум	abodvum
абодвума	abodvuma
абодвух	abodvux
абое	aboje
абоз	aboz
абойма	apɔjma
абора	abora
аборак	aboɾak
аборт	abort
аборына	apvorɨna
абочыны	abotʂɨnɨ
абпальваць	apːalʲvatsʲ
абпарыць	aparɨtsʲ
абплямлены	abplʲamlʲene
абплямлівацца	abplʲamɫʲivatsːo
абпляміцца	aplʲamʲitsːa
абпляскаць	apːlʲaskatsʲ
абпэцканы	apɛtskanɨ
абпэцкацца	apɛtskatsːa
абрад	abraːt
абрад	aprad
абрадавыя	abradavɨja
абрадзе	abradzʲe
абрады	abradɨ
абраз	abraz
абраз	abɾas
абраза	abraːza
абразанне	abrazanʲːe
абразлівага	abrazʲlʲivaɣa
абразлівае	abrazʲlʲivaje
абразлівы	abrazʲlʲivɨ
абразьліва	abrazlʲiva
абразьлівы	abrazɫʲivɨ
абразік	abraʒik
абразіньне	abrazʲinʲːe
абралі	abraɫʲi
абранніца	abranːʲitsa
абраны	obranɨ
абраць	abrɑtsʲ
абраць	obratsʲ
абраў	abrau
аброжак	abroʐak
аброс	abros
абрус	abrus
абруса	abrusa
абрусы	abrusɨ
абруч	abrutʂ
абручом	abrutʂom
абручы	abrutʂɨ
абрывам	abrɨvom
абрыву	abrɨvu
абрывы	abrɨvɨ
абрывістых	abrɨvʲistɨx
абрывістыя	abrɨvʲiʂdɨja
абрыдлы	abrɨjɫɨ
абрыдлі	abrɨdlʲi
абрыдлівы	abrɨdlʲivɨ
абрыкос	abrɨkol
абрынуць	abrɨnutsʲ
абрыс	abrɨs
абрысы	abrɨsɨ
абрэвіятура	abrɛvʲijatura
абрэзам	abrɛzam
абсалютны	apsalʲutnɨ
абсалютыст	apsalʲutɨst
абсент	apsʲent
абскардзіць	apskardzʲitsʲ
абслізганы	apsɫʲizɣanɨ
абсталяваны	apstalʲavanɨ
абстаіць	apstajitsʲ
абстрактны	apstraktnɨ
абстрактныя	abstraktnɨja
абстраляць	apstralʲatsʲ
абстрэл	apstrɛl
абстрэлы	abstrɛɫɨ
абстрэльваць	apstrɛlʲvatsʲ
абсурдам	apsurdam
абсцэс	apstsɛs
абсяг	apsja˥˩
абтрасаўся	abtrassau̯sja
абтрос	aptrɔs
абувалася	abuvaɫasja
абуджэнне	abutʂɛnnʲe
абулі	abuɫʲi
абумоўленыя	abumovlʲenɨja
абурана	aburana
абураны	aburɾanɨ
абурацца	aburatsːa
абурыць	aburɨtsʲ
абурыць	aburɾɨtsʲ
абутак	abutak
абутаю	abutaju
абуткам	abudkam
абуты	abutɨ
абух	apuʁ
абухам	abuxam
абуховіч	abuxovʲitʂ
абхазія	apxazʲija
абходзіць	abxodzʲitsʲ
абхопіць	abxopʲitsʲ
абхітрыць	obxjitrɨtsʲ
абцас	abtsas
абцугі	aptsuɣʲi
абцягнула	aptsaɣnuɫa
абцярушвае	optsʲaruzvaʲa
абшарнікі	abʂarnʲikʲi
абшморганыя	abʂmurɣanɨja
абшчыны	abstʂɨnɨ
абшыла	abʂɨɫa
абы	obɨ
абы-каму	abɨkamu
абы-якія	abɨjakʲija
абысці	abusʲtsʲi
абыход	abɨxod
абыходзяць	abɨxodzʲatsʲ
абыходзіць	abɨxodzʲitsʲ
абыходу	abɨxodu
абышла	abɨʂɫa
абышлося	abɨʂɫosja
абышлі	abɨʂɫʲi
абыякава	abɨjakava
абыякі	omɨjakʲi
абяру	abjarul
абяцаеш	abʲatsaʲeʂ
абяцанка	abʲatsanka
абяцаць	abʲatsatsʲ
абібок	abibog
абіваць	abʲivatsʲ
абіваць	apʲivatsʲ
абіральны	abirɐaɫʲnɪ
абіральнік	abʲiraɫʲnʲik
абіральніца	abʲiraɫʲnʲitsa
абіраць	abjiratsʲ
абіраць	abʲiratsʲ
абіркі	abˈirkɪ
абіты	abitˈy
абіўка	abiwka
аб’ектыўнасць	abʲektɨu̯nastsʲ
аб’ядна́цца	apjadnatsːa
аб’яднаю	abjadnaju
аб’яднаў	abjadnou̯
аб’ядноўвае	abjadnou̯vɨʲa
аб’ядноўвацца	apjadnou̯vutstsa
аб’ядноўваюцца	apjadnou̯vajutsːa
авадні	avadnʲi
авальнай	avalʲnaj
авальную	avaɫʲnuju
авальны	avaɫʲnɨ
авантура	avantura
авантурны	avanturnɨ
авантурнікам	avanturnikam
авантуры	avanturɨ
авантурыстка	avanturɨstka
аварам	avaram
аварыя	avarɨʲa
аварыі	avarɨʲi
авен	avʲen
авечай	avʲetʂaj
авечая	avʲetʂaja
авечка	avjɛtʂka
авечка	avʲetʂka
авёс	avʲos
ага	aha
ага	aɣa
агарод	aɣarot
агарода	aɣaroda
агароджа	aɣarodʐa
агародзіку	aɣarodzʲiku
агата	agata
агая	aɣaja
агледзела	axlʲetsʲeɫo
агледзець	aɣlʲedzʲetsʲ
аглушаючы	aɣluʂaʲutʂɨ
агляд	aɣlʲad
аглядальнік	aɣlʲadaɫʲnʲik
аглядаць	aɣlʲadatsʲ
аглядаю	axlʲadaju
агляду	aɣlʲadu
агню	axnʲu
агні	aɣnʲi
агніста-чырвоны	aɣnʲisdatʂɨrvonɨ
агністы	aɣnʲistɨ
агонь	aɣonʲ
агонь	aɣ̞onʲ
аграномы	agranomɨ
аграрны	aɣrarnɨ
аграхімія	aɣraxʲimʲija
агромністы	aɣromnʲistɨ
агрызацца	axrɨzatsːa
агрэст	agrɛst
агрэст	aɣrɛst
агульнага	aɣuɫʲnaɣa
агульнанямецкая	oɣuɫʲnanʲamʲetskaja
агульны	aɣulʲnɨ
агульных	aɣuɫʲnɨx
агульныя	aɣuɫʲnɨja
агурок	aɣurok
агучваннем	agutʂvannʲem
агучваць	aɣutʂvatsʲ
агіда	aɣʲida
ад	at
ад'юнктам	adjunktam
адабраны	adabranɨ
адабрацца	adabratsːa
адабраць	atabratsʲ
адабраў	ad̪abrau̯
адам	adam
адаптаваны	adaptavanɨ
адаптавацца	adaptavatsːa
адаптаваць	adaptovatsʲ
адаптары	adaptarɨ
адаптацыя	adaptatsɨja
адапхнуць	adapxnutsʲ
адарвана	adarvana
адарванага	adarvanaɣa
адарваць	adɛrvatsʲ
адасабленне	adasablʲennʲi
адбор	adbor
адборачных	adboratʂnɨx
адбору	adporu
адбудзецца	adbudzʲetstsa
адбудуем	atbudujum
адбудуцца	adpututsːa
адбывалася	adbɨvaɫasja
адбывацца	adbɨvatsːa
адбываў	adbɨvaw
адбылося	adbɨɫosja
адбыліся	odbɨlʲisja
адбыцца	adbɨtsːa
адбіваюцца	adbʲivaʲutsːa
адбіліся	atbʲiɫʲisja
адбітак	atbitak
адвага	advaɣa
адважнаму	advaʐnamu
адважны	advaʐnɨ
адважным	advaʐnɨm
адважнымі	advaʐnɨmʲi
адважных	advaʐnɨx
адважыцца	advaʐɨtsːa
адвакат	advakat
адвакат	ˈadvokat
адваката	advakata
адвар	advar
адварам	atvaram
адваротна	advarotna
адваротнай	advarotnaj
адваротны	advarotnɨ
адваротным	advarotnɨm
адварочвае	advarotʂvaʲe
адводзіў	advodzʲiu̯
адвольны	advolʲnɨ
адвык	advɨk
адвяла	advjaɫa
адвяло	advjalo
адвярнуў	advʲarnuu̯
адвярнуўшыся	advjarnou̯ʂɨʂʲa
адвячорак	advʲatʂorak
адгаварыць	adɣavarɨtsʲ
адгалінаванне	atɣaɫʲinovannʲi
адгэтуль	adɣɛtulʲ
аддаваць	adːavatsʲ
аддадзім	adːadzʲim
аддадуць	addadutsʲ
аддай	adːaj
аддам	adam
аддам	adːam
адданы	atdanɨ
адданы	atːane
адданым	addanɨm
аддасць	adːasʲtsʲ
аддасі	adːasʲi
аддаць	adːatsʲ
аддачы	addatʂɨ
аддаю	addaju
аддзёрты	addzjortɨ
адзежа	adzʲeʐa
адзежы	atzʲeʐɨ
адзенне	adzʲenʲːe
адзнакі	adznakʲi
адзначаецца	atsmatʂoʲetsːo
адзначаць	adznatʂotsʲ
адзначаў	atznotʂɨu̯
адзначыць	adznatʂɨtsʲ
адзёр	adzʲor
адзін	adzʲin
адзіна	adzʲina
адзінай	adzʲinaj
адзінакі	adzʲinakʲi
адзінарнымі	adzʲinarnɨmʲi
адзінаццаты	adzʲinatsːatɨ
адзінаццаць	adzʲinatsːatsʲ
адзінаццаць	adzʲinatsːɨtsʲ
адзіная	adsʲinaja
адзінкі	adzʲinkʲi
адзінокай	adzʲinokaj
адзінокі	adzʲinokʲi
адзінота	adzʲinota
адзінота	adzʲinotam
адзіночны	adzʲinotʂnɨ
адзіночныя	adzʲinotʂnɨja
адзінству	adzʲinstvu
адзіную	adzʲinuju
адзіны	adzʲinɨ
адзіным	adzʲinɨm
адзіныя	adzʲinɨja
адкажа	atkaʐa
адкажу	atkaʒu
адкажыце	atkaʐɨtsʲe
адказ	atkas
адказала	akazaɫa
адказаць	atkazatsʲ
адказаць	atkɯzatsʲ
адказваць	ankasvatsʲ
адказваць	atkazvatsʲ
адказна	atkazna
адказнасць	atkaznasʲtsʲ
адказны	atkaznɨ
адказы	atkazɨ
адкат	adkat
адкату	adkatu
адклад	atkɫat
адкосах	atkosax
адкручвае	adkrutʂvaʲe
адкрываецца	atkrɨvaʲetstsa
адкрываю	adkrɨvaju
адкрываю	adkrɨvaʲu
адкрыла	adkrɨɫa
адкрылі	adkrɨɫʲi
адкрыта	odkrɨta
адкрытай	adkrɨtaj
адкрытым	adkrɨtɨm
адкрытымі	adkrɨtɨmʲi
адкрытых	adkrɨtɨx
адкрытыя	adkrɨtɨʲa
адкрыцца	adkrɨtsːa
адкрыццё	atkrɨtsʲːo
адкрыцці	atkrɨtsːʲi
адкрыў	atkrɨw
адкуль	atkulʲ
адкідны	adkʲidnɨ
адкінуў	atkiˈnuu̯
адлежная	adlʲeʐnaja
адлучка	adɫutʂka
адлюстраваны	adtɫʲustravonɨ
адлюстроўваючы	otlʲuztrovajutʂɨ
адлівала	adlʲivaɫo
адліваць	odolʲivatsʲ
адліга	adlʲiɣa
адлік	atɫʲik
адліку	adɫʲiku
адмарожаныя	admaroʐanɨja
адмаўляцца	atmau̯lʲatsːa
адмаўляць	admau̯lʲatsʲ
адмена	admʲena
адмене	admʲenʲe
адменяць	admʲenʲatsʲ
адменім	atmʲenʲim
адметна	admjetna
адметнай	admjetnaj
адметная	admʲetnaja
адметныя	admɛtnɨja
адмеціны	admʲetsʲinɨ
адмова	admova
адмовай	atmovaj
адмову	admovu
адмовы	atmovɨ
адмовіла	admovʲiɫa
адмовілі	admovʲilʲi
адмовіцца	admovʲitstsa
адмовіць	admovʲitsʲ
адмовіўся	admovʲiu̯sja
адмовіўся	admoʲiu̯sja
адмоўная	admou̯naʲa
адмоўным	admou̯nɨm
адмоўнымі	admou̯nɨmʲi
адмоўчваўся	admou̯tʂvau̯sja
адмыслова	admɨsɫova
адмысловае	admɨsɫovaʲi
адмысловай	admɨsɫovaj
адмысловасць	atmɨsɫovasʲtsʲ
адмысловец	admɨslovʲets
адмысловыя	admɨʂlovɨja
адмяняцца	admʲanʲatsːa
адміністратар	atminʲistratar
адна	adna
аднабакова	adnabakova
аднабаковы	odnobrakovɨ
аднабокі	adnabokʲi
аднавокі	adnavokʲi
аднавіла	adnavʲiɫa
аднавілі	adnavjilɨ
аднавіць	adnavʲitsʲ
аднагадовыя	odnaɣadovɨja
аднагалосны	adnaɣaɫosnɨ
аднаго	adnaɣo
адназначнай	adnaznotʂnaj
адназначным	adnaznatʂnɨm
аднайменнай	adnajmʲennoj
аднайменны	odnajmʲennɨ
аднак	adnak
аднакаляровы	adnakalʲarovɨ
аднакі	atnakʲi
аднаму	adnamu
аднапавярховыя	adnapavʲarxovɨja
аднапакаёвай	adnapakaʲovaj
аднаполыя	adnapoɫɨja
аднаразовых	adnarazovɨx
аднарог	adnarox
аднастайным	adnastajnɨm
аднатыпныя	adnatɨpnaja
адначасна	adnatʂasna
адначасова	adnatʂasova
аднашлюбнасць	adnaʂlʲubnasʲtsʲ
аднашлюбны	adnaʂlʲubnɨ
аднесці	adnʲesʲtsʲi
адно	adno
адновіць	adnovʲitsʲ
адной	adnoj
аднойчы	atnojtʂɨ
аднолькава	adnoɫʲkava
аднолькавае	adnoɫʲkovoʲe
аднолькавым	odnoɫʲkavɨm
аднолькавыя	adnoɫʲgavɨja
адносна	adnosna
адноснага	adnosnaɣa
адноснасці	adnosnasʲtsʲi
адносны	adnosnɨ
адносін	adnosʲin
адносінах	atnosʲinax
адносіны	adnosʲinɨ
адносіны	atnosʲinɨ
адносіцца	adnosʲitsːo
адносіць	atnosʲitsʲ
адношу	adnosu
адною	adnoju
адну	adnu
адны	adnɨ
адным	adnɨm
аднымі	adnɨmʲi
адных	adnɨx
адныя	adnɨja
адняла	adnʲaɫa
адніманне	adnʲimanʲːe
аднімаць	adnʲimatsʲ
адобрыць	adobrɨtsʲ
адозваў	adozvaw
адолее	atdolʲeje
адорвеня	adorvʲenʲa
адпаведна	adpovʲedna
адпаведна	adpovʲednɨ
адпаведнае	adpavʲednaja
адпаведнасць	atpavʲednasʲtsʲ
адпаведная	dpavʲednaja
адпаведным	adpavʲednɨm
адпаведнік	ˈotpʌvˈednˈik
адпавядаюць	apavjadojutsʲ
адпасваць	adpasvatsʲ
адпачываць	atpatʂɨvatsʲ
адпачынак	atpatʂɨnak
адпачыць	adpatʂɨtsʲ
адплаты	adpɫatɨ
адпор	adpor
адправілі	adpravʲilʲi
адправіць	adpravʲitsʲ
адпрацаваць	adpratsavatsʲ
адпушчаны	adpuʂtʂanɨ
адпіска	atpʲiska
адпіша	atpʲiʂa
адраджаць	otrɨdʐatsʲ
адраджэнне	adradʐʲenʲːe
адрадзіць	adratsʲitsʲ
адразаць	adrazatsʲ
адразу	adrasu
адрамантаваны	adramantavanɨ
адрас	adras
адрасаваць	adrasovatsʲ
адрасам	adrasam
адрасную	adrasnuju
адрасую	adrasuju
адратаваць	adratavatsʲ
адрозненні	adroznʲenʲːi
адрозны	adroznɨ
адрознівае	adrosnʲivaʲe
адрозніваецца	adroznʲivaʲatsːo
адрознівацца	adroznʲivatsːo
адрозніваць	atroznʲivatsʲ
адрозніць	adroznʲitsʲ
адры	adrɨ
адрываць	adrɨvatsʲ
адрыву	adrɨvu
адрывісты	adrɨvʲistɨ
адрына	adrɨna
адрынай	adrɨnaj
адрыне	adrɨnʲe
адрыну	adrɨnu
адрыны	adrɨnɨ
адрыў	atrɨw
адрэжам	adrɛʂam
адрэзала	adrɛzɐɫa
адрэзана	atrɛzana
адрэзкі	adrɛskʲi
адрэналін	adrɛnolʲin
адрэс	adrɛs
адсек	atsʲek
адсечанае	atsʲetʂanaja
адсланіць	otsɫanʲitsʲ
адсоткі	atsotkɪ
адстаўны	adstau̯nɨ
адступала	adstupala
адступяць	atstupʲatsʲ
адступіўся	otstupˈiwʃja
адсутнасць	atsupnastsʲ
адсутнасць	atsutnasʲtsʲ
адсутны	atsutnɛ
адсутны	atsutnɨ
адсутнічаць	adsutnʲitʂatsʲ
адсутнічаць	atsutnʲitʂatsʲ
адсутнічаюць	atsutnʲitʂujutsʲ
адсутнічаў	atsutnʲitʂau̯
адсюль	atsʲsʲulʲ
адтуль	atːulʲ
адужала	aduʐaɫa
адукаванай	adukovanoj
адукаваным	adukavanɨm
адукацыйны	adukatsɨjnɨ
адукацыю	adukatsɨju
адукацыя	adukatsɨja
адушаўлёны	aduʂau̯lʲonɨ
адхлыну	atxvɨnu
адхонах	adxonax
адхону	atxonu
адхукаць	adɣukatsʲ
адцэджваючы	atsɛtʐvajutʂɨ
адцяняў	adtsʲanʲau̯
адчай	adtʂaj
адчувае	attʂuvaʲe
адчуваецца	atːʂuɫaʲetsːo
адчуваць	adtʂuvatsʲ
адчулі	attʂulʲi
адчуць	adtʂutsʲ
адчуюць	adtʂujutsʲ
адчынены	atstʂɨnʲenɨ
адчыню	atɕtʂɨʲːɐu
адчыняць	atːʂɨnʲatsʲ
адчыні	atːʃɨnʲi
адчыніла	atːʂɨnʲiɫa
адчынілі	adtʂɨnʲilʲi
адчыніць	atːʂɨnʲitsʲ
адчыніць	otːʂɨnʲitsʲ
адчыніш	odtʂɨnʲiʂ
адчыніў	atːʂɨɲiu̯
адыграны	adɨɣranɨ
адыдуць	adɨdutsʲ
адымаецца	adɨmaʲetstsa
адымаць	adɨmatsʲ
адымаць	atɛmatsʲ
адыход	adɨxod
адыходзе	adɨxodzʲe
адыходзілі	adɨxodzʲilʲi
адыходных	adɨxotnɨx
адыходу	adɨxodu
адышла	adɨʂɫo
адышлі	adɨʂɫʲi
адэлаіда	adɛɫajida
адэномы	adɛnomɨ
адэса	adɛsa
ад’езд	adjɛ̀st
ад’юта́нт	adjɔtant
аер	aɪeɾ
аж	aʐ
аж	aʒ
ажаніўся	azanʲiu̯sja
ажно	aʐno
ажно	aʒnˈo
ажыццявілася	aʐɨtsːjavʲiɫasʲa
ажыццявіць	aʐɨtsʲːavʲitsʲ
ажыццяўленне	aʐutsːjau̯lʲennʲa
ажыццяўляе	oʐɨtsːjau̯lʲaʲa
