aegina	aegino
αἰσθανομένης	ajstanomenes
αἰσθανομένοις	aistanomenois
αἰσθανομένους	aistanomenus
αἰσθησομένην	aistresomene
αἰσθησομένου	aisteesmenʊ
αἰσθησομένους	aiɕtɾesɔmenʊs
αἰσθησόμενα	aistesomẽnˈa
αἰσθητοί	ai̯stedoj
αἰσθοίμην	aistojmem
αἰσθομένοις	aisdominois
αἰσθομένους	ajstamenʊs
αἰσθόμενοι	aisdominoj
αἰσιωτάτας	aisɪɔtatas
αἰσιωτάτους	ai̯kjo̞t̪at̪us
αἰσιωτέραις	aisiɔtɛɾais
αἰσιώτερε	ajfjoteɾe
αἰσιώτεροι	aisioteroi
αἰσιώτερον	aifjoteɾon
αἰσχίνην	ajskiːnɪn
αἰσχίνου	aɪsqˈiŋu
αἰσχίονες	aiskiones
αἰσχίους	aiskius
αἰσχίστη	aiskiste
αἰσχίστοις	aiskistoi̯s
αἰσχίστου	ajskeistu
αἰσχίστων	aɪskɪstɔn
αἰσχίω	ai̯s̺kio
αἰσχρά	aiːskɾa
αἰσχράς	ajshɾas
αἰσχροτάτας	aiskɾotatas
αἰσχροτάτοις	aiskrotatois
αἰσχροτάτους	aiskɾɔtatʊs
αἰσχροτέρα	aiʃkɾɔtɛɾɐ
αἰσχροτέραις	aiskɾɔtɛɾais
αἰσχροτέρας	aiskɾot̪eɾes
αἰσχροτέροις	aiskɾɔtɛɾɔjs
αἰσχροτέρους	aiskɾɔtɛɾuz
αἰσχροτέρων	aiskruðeɾon
αἰσχρότατον	aːiːskɾoːtatɔm
αἰσχρότερα	aisklod̪eɾa
αἰσχρότεροι	aiskroteroi
αἰσχρότερος	aiskɾotero̞s
αἰσχυνθέντες	aiskuntentes
αἰσχυνθήσοιντο	aiskynteːsojnto
αἰσχυνθείς	lakointɔɛs
αἰσχυνθησοίμεθα	aiskyntesɔimitə
αἰσχυνθησοίμην	aiskyntesojmɛm
αἰσχυνομέναις	aiskoinominiʃ
αἰσχυνομένη	aɪskɪnɔmɛnɪ
αἰσχυνομένους	aʎskynomɛnuz
αἰσχυνουμένη	lakɾynumele
αἰσχυνουμένην	ajskuʝnumɛnɛm
αἰσχυνουμένης	aiskrimumenes
αἰσχυνουμένοις	aiskiuilmenuis
αἰσχυνουμένους	aiskynumenuz
αἰσχυνούμενε	aiːskɾiːnuːmni
αἰσχυνούμενοι	aiskynuuminoi
αἰσχυνούμενος	aiskuinumenos
αἰσχυνόμεναι	laskuinomine
αἰσχύλος	aiskylos
αἰσχύνθητε	aʎskɔnθɛde
αἰσχύνοντος	ai̯s̺kɵɵinontos̺
αἰσχύνουσα	ajskojnuzɑ
αἰσωπεία	aisɔpeia
αἰσωπείαις	aisobeies
αἰσωπείας	aisopeies
αἰσώπειος	aisopeios
αἰτήσαι	aidɛsaj
αἰτήσαις	ɑjteɛsɑs
αἰτήσασα	altesasa
αἰτήσεσι	aitesɛsɪ
αἰτήσεσιν	aitesɛsin
αἰτήσετε	ajtesɛte
αἰτήσοι	aitesoi
αἰτήσοιεν	aiteesoie
αἰτήσοιτε	ai̯tesɔite
αἰτήσοντας	ajtesɔntas
αἰτήσουσα	ai̯t̪es̺uθa
αἰτήσωσιν	aiteɛsɔsĩŋ
αἰτίαι	aipiai
αἰτίοις	aitiuis
αἰτίου	ai̯tiu
αἰτίων	aition
αἰτησάντων	ajt̪esãn̪t̪om
αἰτησάσας	aitesasas
αἰτησάτω	aidesado
αἰτιάσονται	aidjasɔntai
αἰτιαθήσει	aidjatɛsej
αἰτιαθήσονται	aidjatɛsɔntaj
αἰτιαθησόμεθα	aidiatesɔmɛtɛ
αἰτοίης	ai̯tɔjˈe
αἰφνιδίους	aifinidio̞s
αἰχμάλωτος	ajɣmalotos
αἰχμαλώτου	aikemalotu
αἰχμαλώτους	aiɣmalotʊs
αἰωνίων	aionion
αἰόλαι	ajolaj
αἰόλαις	aiɔlais
αἰόλας	aiolas
αἰόλε	ajole
αἰόλη	aiolɛ
αἰόλην	aiɔlem
αἰόλης	aioles
αἰόλοι	aioloi
αἰόλον	ajolon
αἰόλος	aiolos
αἰόλου	aɪoluː
αἰώνιοι	aionioj
αἰώνιος	aionios
αἱμάτων	jmaɣtɔm
αἱματηρέ	aimadere
αἱματηροτέρους	ladeeroteperus
αἱματηροτέρων	lamateeroteno
αἱματηρότερον	lamateroteron
αἱμονίδου	ai̯mɔnidu
αἱμορροίας	lamorɾoias
αἱμορροϊκή	aimoˈroike
αἱμορροϊκαί	aimorɾojtaj
αἱμορρόοις	lamorɾoois
αἱμόρροιαν	ajmˈorroia
αἱρέσεσιν	aiɾesesiŋ
αἱρήσοι	aiɾesoi
αἱρήσοιμεν	aiɾesojmim
αἱρήσοιτε	aiɾesoite
αἱρήσομαι	aiɾesɔmai
αἱρήσονται	ai̯ɾes̺o̞ntai̯
αἱρήσοντι	aiɾesɔnte
αἱρήσοντος	aiɾes̺oŋt̪os
αἱρήσουσα	ajɾesuθa
αἱρήσω	aiɾesɔ
αἱρήσων	aiɾeson
αἱρεθέντι	aiɾesent̪i
αἱρεθήσοιτο	aiɾeteːsojdo
αἱρεθήτω	paletɕeto
αἱρετάς	aiɾetas
αἱρετή	ai̯ɾe̞t̪e
αἱρετοί	ajrɛtoj
αἱρετωτέραν	aiɾet̪o̞t̪eɾam
αἱρετώτατον	aiɾet̪o̞tat̪on
αἱρετώτεραι	jɾetoɔtɛrai
αἱρετώτερος	jɾetoɔteɾɔs
αἱρησομένης	palesomenes
αἱρησόμενοι	aiɾesɔmenoi
αἱροίη	ajroie
αἱροίης	ajɾoies
αἱρούντων	ai̯ɾunton
αἱρούσης	ajruːses
αἴαντες	aiandes
αἴαντος	aiɛntɔs
αἴασιν	aiasin
αἴγισθε	ajɣɛste
αἴγλη	aɪgle
αἴγυπτε	aipte
αἴγυπτος	aigyptos
αἴθρια	ai̯triːa
αἴθριαι	aitriai
αἴθριος	alitros
αἴνους	bai̯duz
αἴνων	ajnɔm
αἴξ	əiks
αἴολος	aiolos
αἴρει	ˈaɪɾe
αἴρω	ajdo
αἴσας	aisas
αἴσθοιντο	aistointo
αἴσθοιο	aistoio
αἴσθωνται	aistontai
αἴσια	aɪsjæ
αἴσιαι	ajsiaj
αἴσιε	asie
αἴσιοι	aisioi
αἴσιον	aision
αἴσχεσι	ajskesi
αἴσχισται	ajsxistaj
αἴσχιστοι	aiskistoi
αἴσχους	ajskɾuz
αἴσωπε	ajsɔbɛ
αἴτησι	aitesi
αἴτησιν	aitesin
αἴτησον	aiteson
αἴτιον	aidiom
αἴτιος	aidjos
αἵπερ	jpeɾ
αἵρεσι	ajresi
αἵρεσιν	aiɾesim
αἶγες	aigas
αἶκαι	ajkaj
αἶνε	aine
αἶνον	ajnɔm
αἶνος	ainos
αἶσα	aiʃa
αἶσαν	aisam
αἶσης	ajsɛs
αἶσχος	aiskos
αὐγούσταις	auɣoestais
αὐδάω	au̯dao
αὐθαίρετε	altajdɛte
αὐθαίρετον	autai̯re̞t̪on
αὐθαίρετος	autaiðelos
αὐθεντικότησιν	atsaedɛkɔteesi
αὐθόρμητος	autormedos
αὐλίου	auliu
αὐλίων	aulion
αὐλαί	au̯lai
αὐλαία	au̯laja
αὐλαίαν	au̯lajaŋ
αὐλεῖς	awles
αὐλητά	au̯liːta
αὐλόν	awlum
αὐλός	awlos
αὐξάνομεν	auksanomɛn
αὐξήσουσιν	auksiisusiŋ
αὐστηροτάτας	austerotatas
αὐστηροτάτην	afstejrotati
αὐστηροτάτου	aʋstejrotatu
αὐστηροτέροις	aʊsderoterois
αὐστηροτέρους	austerotesus
αὐστηρότερε	aʊsteɾot̪eɾe
αὐστηρότεροι	austiroteroi
αὐστηρότησιν	ausdɪɾɔtɪsɪŋ
αὐστηρότητος	austeloteto̞s
αὐτάρεσκε	audareske
αὐτάρεσκοι	autareskoi
αὐτάρκεις	au̯t̪aɾkees
αὐτάρκεσι	autaɾkesi
αὐτάρκεσιν	autarkesin
αὐτάρκους	au̯t̪aɾkuz
αὐτάρκων	alt̪aɾkom
αὐτή	elt̪e
αὐταρέσκειαι	alt̪eɾeeskeaj
αὐταρέσκοις	autareskois
αὐταρκέστατα	au̯t̪ärkest̪ata
αὐταρκέσταται	aut̪eɾkest̪at̪ai
αὐταρκέστατος	awtaɾkestat̪os̺
αὐταρκέστερα	aut̪aɾkest̪eɾa
αὐταρκέστερε	autaɾkɛstɛri
αὐταρκέστερος	autaɾkest̪eɾos
αὐταρκεστάταις	au̯t̪eɾkez̺t̪at̪ais̻
αὐταρκεστάτη	au̯taɾkest̪at̪e
αὐταρκεστάτοις	autarkeztatois
αὐταρκεστάτου	au̯tarke̞z̺t̪at̪u
αὐταρκεστάτους	autorkestatus
αὐταρκεστέρα	aʊtaɾkest̪eɾa
αὐταρκεστέραν	autaɾkest̪eɾan
αὐταρκεστέρας	altaɾkest̪eɾes
αὐταρκεστέροις	autorkesterois
αὐταρκεστέρου	au̯taɾkest̪eɾu
αὐταρκεστέρους	aut̪aɾkest̪eɾus
αὐταρκεστέρων	autarkesteron
αὐτοκινησίαις	autokinesiais
αὐτοκινησίας	autokjnesias
αὐτομάτοις	automatojs
αὐτομάτους	automatus
αὐτομάτων	automaton
αὐτομολία	automolia
αὐτομολίαι	automiliaj
αὐτομολίαις	automoliais
αὐτομολίας	automolias
αὐτομόλων	automolon
αὐτοπαθές	auðobates
αὐτοπύροις	autopyrois
αὐτοπύρου	au̯topɨiru
αὐτοπύρους	autopɪɾus
αὐτοπύρων	autopiron
αὐτοτελές	autoteles
αὐτοτελεῖς	autoteles
αὐτοφώρου	auˈtɔfɔrʊ
αὐτόλυκε	autolike
αὐτόλυκον	autɔljɣɔŋ
αὐτόματα	automatɐ
αὐτόματε	automat̪e
αὐτόματοι	automatoi
αὐτόματον	automatum
αὐτόμολα	au̯t̪omola
αὐτόμολε	automɔle
αὐτόμολοι	au̯t̪omoloj
αὐτόμολον	automolon
αὐτόν	au̯t̪om
αὐτόπτας	au̯t̪optas
αὐτόφωρε	aʊtɔfɔri
αὑτά	al̪t̪a
αὑτό	ɑβtɔ
αὑτόν	awtɔm
αὔασι	awasi
αὔασις	auasis
αὔλακας	aulakas
αὔλακι	aulaki
αὔλακος	aulakos
αὔλια	au̯liːa
αὔλιδας	auliðas
αὔλιδες	aʊljdes
αὔλιδος	aʊlidɔs
αὔλισι	aʊljse
αὔξομεν	auksɔmɛn
αὔξουσι	auksusi
αὔριον	auriom
αὔταρκες	auterkes
αὖθις	autis
αὖλαξ	aulaks
αὖλι	auli
αὖλιν	aulin
αὖλις	aulis
βάθει	batˈe
βάθητε	batʃe
βάθητι	batrɛti
βάθους	batʃus
βάθροις	batsɾɔis
βάθρου	batˈfruː
βάκχαι	bakˈaj
βάκχαις	bakˈes
βάκχας	bˈakːas
βάκχης	bakˈɾes
βάκχῃ	bˈak
βάλσαμα	balsama
βάλσαμον	balsamon
βάντας	banˈtas
βάντες	β̞ãn̪t̪es
βάντι	banˈti
βάντων	balntɔm
βάπτω	aptu
βάραθρα	baratara
βάραθρον	baːraːθrɔm
βάρβαρε	barbarɛ
βάρβαροι	barbaroi
βάρβιτε	barbite
βάρβιτοι	barbitoi
βάρδισται	bardistai
βάρδιστε	baldiste
βάρδιστοι	bardistoi
βάρδιστον	bardiston
βάρδιστος	baldiʃtos
βάς	bˈas
βάσαις	basajs
βάσανε	væsne
βάσανοι	basanoj
βάσανον	pasanˈn
βάσανος	βasanos
βάσας	basas
βάσει	bɑsˈe
βάσεις	basɪs
βάσεσι	basɛsi
βάσεσιν	vasisɛ
βάσης	bases
βάσι	bɑsˈi
βάσιν	vasziŋ
βάσκανα	paskana
βάσκανε	pafkane
βάσκανοι	baskanoj
βάσκανον	baskanon
βάσκανος	baskanas
βάτα	pata
βάται	batˈai
βάταις	bat̪aʝs
βάτας	batas
βάτε	batɪ
βάτην	batte
βάτης	bat̪es
βάτοι	batoi
βάτοις	batˈos
βάτον	baton
βάτος	batos
βάτου	batu
βάτους	batus
βάτων	baton
βέβαιοι	bebajoi
βέβανται	bɪbɑntɑj
βέβλαφας	beblafas
βέβλεπται	bebleptai
βέβλεψαι	beblepsai
βέβλεψο	beblepso
βέλεος	beleos
βέλεσιν	valesin
βέλη	bele
βέλτιον	keltion
βέλτιστα	beld̪is̺t̪a
βέλτισται	beldistai
βέλτιστε	eltiste
βέλτιστοι	eltiˈstoi
βέλτιστον	beltiːston
βέλτιστος	beltistos
βένθεσιν	benteˈʃi
βένθη	vent̪e
βήσεσθε	besɛste
βήσεται	besɛtaj
βήσοιντο	besɔintɔ
βήσοισθε	besɔiste
βίαις	biais
βίαν	biam
βίβλινε	bibline
βίβλινοι	bibrinoi
βίβλινος	piblinos
βίβλοι	bibloi
βίβλοις	biblois
βίβλος	biblos
βίβλου	bibɛlˈo
βίβλων	biblon
βίε	bie
βίοι	bioi
βίοις	biois
βίον	biom
βίος	vjos
βίου	bjuː
βίους	piu̯s
βίτων	biton
βίων	biom
βίωσι	biosi
βίωσιν	boosin
βίωσις	iosis
βαίη	baje˩˥ː
βαίην	bajɪl
βαίης	baies
βαίησαν	baiˈɛsɑm
βαίητε	baietɛ
βαίνει	bai̯ne
βαίνειν	bainˈe
βαίνεσθαι	bajnɛsdaj
βαίνεται	bai̯netai
βαίνετε	bai̯nete
βαίνηται	bai̯neːtaj
βαίνοι	bˈaɪnoj
βαίνοιεν	bai̯nojel
βαίνοιμεν	bajnɔimem
βαίνοιμι	bainojmi
βαίνοιντο	bai̯nointɔ
βαίνοιο	bainoio
βαίνοις	bai̯nois
βαίνοισθε	bai̯nojse
βαίνοιτε	bai̯noite
βαίνοιτο	bainoitʊ
βαίνομαι	bainomai
βαίνομεν	bai̯nomɪm
βαίνονται	bainontaj
βαίνοντας	bainõŋtas
βαίνοντες	bainõŋtes
βαίνοντι	bai̯nõŋtʃi
βαίνοντος	bai̯nontɔs
βαίνου	bainu
βαίνουσαν	bajnuːsan
βαίνουσι	bainusi
βαίνουσιν	bai̯nuːsɪŋ
βαίνω	balno
βαίνωμαι	bai̯noomai
βαίνωμεν	bai̯noomɛm
βαίνων	bajnɔm
βαίνωνται	bajnoːntai
βαίνωσι	bai̯noosɪ
βαίνωσιν	bai̯noˈsɪŋ
βαβυλωνίαι	babiloˈniæj
βαβυλωνίαις	babiloniais
βαβυλωνίαν	bæbiloːniːɑ
βαβυλωνεύς	babilonews
βαβυλωνιακήν	babiloniakˌe
βαβυλωνιακαί	babiloniakai
βαβυλωνιακοί	babilo̞niako̞j
βαβυλωνιακοῦ	abiʄɛɔniakuu
βαβυλωνιακόν	babjloniakon
βαβυλωνιῶν	babilonion
βαβυλών	abilon
βαβυλῶνα	babilona
βαβυλῶνι	aviˈlɔni
βαδίζει	batiste
βαδίζεις	batizdes
βαδίζετε	badisdɛte
βαδίζοις	badisdois
βαδίζοιτε	badisdoide
βαδίζομεν	badɪzdomɪm
βαδίζον	batisto
βαδίζοντα	bariztõŋt̪a
βαδίζωσι	badizdosi
βαδίσασα	bad̪iθasa
βαδίσασαι	baːɾiːsasai
βαδίσασι	bad̪iɾsai
βαδίσει	badisi
βαδίσετε	batisete
βαδίσητε	bad̪isɛte
βαδίσομεν	batisamem
βαδίσουσα	bad̪is̺us̺a
βαδίσουσαι	batisuzai
βαδίσουσι	bad̪iɾsʊsi
βαδίσω	bad̪is̺o
βαδίσωσιν	bad̪iθosiŋ
βαδιζούσας	batizdusɛs
βαδιούσαις	bað̞jusai̯s̺
βαδιοῦσαν	badiuzan
βαδισάσας	badisazas
βαδισάσης	bað̞isazes
βαδισάτω	badizato
βαδισάτωσαν	batisatosan
βαθέν	batˈen
βαθέντα	batɾɛntɐ
βαθέντας	batentas
βαθέντες	batentes
βαθέντος	vatsentos
βαθήτω	bateto
βαθείην	batɛjɛ
βαθησομένη	batresɔmɛne
βαθησομένοις	batishomenai
βαθησομένου	baθesolmenʊ
βαθησομένους	batvesɔmɛnus
βαθησομένων	batːesɔmɛnɔm
βαθησόμενος	batvesɔmenɔs
βαθμίδα	bazmiða
βαθμίδας	batmitas
βαθμίδες	batmiðes
βαθμίδι	basmiði
βαθμίδων	barmido
βαθμίσι	batmiːsi
βαθμίσιν	barmisim
βαθμιαίως	βaðmiajos
βαθμούς	bˈaɾmʊs
βαθῆναι	batenai
βαινέσθω	bajnɛstɔ
βαινέτω	bainet̪o
βαινοίμεθα	bai̯noimɛtæ
βαινοίμην	bajnoemem
βαινομέναις	bajnomenais
βαινομένας	bajnomenas
βαινομένη	bainomene
βαινομένην	ajnomanem
βαινομένης	bainomenes
βαινομένοις	bainomenojss
βαινομένου	balnominu
βαινομένους	ajnomenus
βαινομένων	bainomino
βαινόμεθα	bai̯nomeθa
βαινόμενα	bainomina
βαινόμεναι	bai̯nomenai
βαινόμενε	bainomine
βαινόμενοι	bainomenoi
βαινόμενον	bai̯no̞menum
βαινόμενος	bai̯no̞menos
βαινόντων	bai̯nuntɔm
βαινώμεθα	bai̯noːmeta
βακτηρίαι	bakteriai
βακτηρίαις	baktɛɾiˈais
βακτηρίαν	bakteria
βακτηρίας	bakterias
βακτηριῶν	bakterion
βακχυλίδη	bakyliˈde
βακχῶν	bˈakːɔ
βαλανεῖου	balaneu
βαλσάμοις	balsamois
βαλσάμου	baltsamu
βαλσάμων	palsamon
βαλόντα	balõn̪t̪a
βαλόντας	balontas
βαλόντες	balont̪es
βαλόντι	balont̪i
βαλόντος	balontos
βαλών	balo
βαπτίζει	baptiʃdei
βαπτίζεις	baptistes
βαπτίζεσθαι	baptisdesai
βαπτίζεται	baptidsɛtaj
βαπτίζετε	baptistɪdɪ
βαπτίζοι	baptidsɔi
βαπτίζοιο	baptidsɔio
βαπτίζοιτε	baptidsɔidɛ
βαπτίζομεν	baptiːzdomɪm
βαπτίζουσαι	baptizduzai
βαπτίσαι	baptisre
βαπτίσαιεν	baltisai̯en
βαπτίσαιμεν	baptisaimɪm
βαπτίσαις	baptiːsais
βαπτίσαν	baptisam
βαπτίσαντας	batvisantas
βαπτίσαντες	baktisantes
βαπτίσαντος	baptisantos
βαπτίσας	baptisas
βαπτίσασαν	baptiʃasam
βαπτίσασι	baptiʃasi
βαπτίσασιν	baptisasi
βαπτίσατε	baptisate
βαπτίσει	baptisˌe
βαπτίσειαν	aptiseiam
βαπτίσειας	baptiːsɛjjɛs
βαπτίσειε	baptisejɛ
βαπτίσετε	baptisete
βαπτίσθητι	baptisteeti
βαπτίσοι	aptisoi
βαπτίσοιεν	aptisojen
βαπτίσοιμεν	baptisoimɛm
βαπτίσοις	aptisois
βαπτίσοιτε	baptisoide
βαπτίσομεν	baptiːsɔnɛm
βαπτίσον	aptison
βαπτίσοντα	baptisonda
βαπτίσοντας	aptisfontas
βαπτίσοντες	aptisomtˈeːs
βαπτίσουσα	baptisɔsa
βαπτίσουσαν	baptisɔuˈsɑn
βαπτίσουσι	baptisvusj
βαπτίσω	baptiso
βαπτίσωμεν	baptisomim
βαπτίσων	aptisoːn
βαπτιζέσθω	baptististo
βαπτιζέτω	baptizteto
βαπτιζομένην	aptisdomini
βαπτιζομένοις	baftisdomenois
βαπτιζούσας	baptizvusas
βαπτιζόμεθα	baptisomita
βαπτιζόντων	baptisðonton
βαπτισάντων	paptisanton
βαπτισάσαις	baptisasaiʃ
βαπτισάσας	babtisasas
βαπτισάσης	aptisaseɛs
βαπτισάτω	baptisato
βαπτισάτωσαν	baptisatosam
βαπτισασῶν	baptisasaːn
βαπτισθέντα	baptistrɛnta
βαπτισθέντες	baptistentes
βαπτισθέντος	baptistentos
βαπτισθέντων	aptistenton
βαπτισθήτω	aptisteto
βαπτισθήτωσαν	baptistetosam
βαπτισθείη	baptistˈeɪ
βαπτισθείημεν	bapristejjemem
βαπτισθείητε	baptisteeente
βαπτισθείσας	aptistrɛjsˈas
βαπτισθῆτε	baptistete
βαπτισθῶ	baptisto
βαπτισθῶσιν	baptistroen
βαπτισουσῶν	aptissusɔn
βαπτισούσαις	baptissusais
βαπτισούσας	baptisusas
βαπτισούσης	baptisuses
βαπτισούσῃ	aptisusii
βαπτισόντων	aptisonton
βαράθροις	baratɾɔis
βαράθρου	baratru
βαράθρων	barafram
βαρέα	baɾeɐ
βαρέος	baɾɛs
βαρέσι	baˈɾeθi
βαρέων	varɛo
βαρβάροις	baɾbãɾɔis
βαρβάρου	barbaru
βαρβάρους	baɾβ̞aɾuz
βαρβίτοις	barbidois
βαρβίτου	barbjtu
βαρβίτους	barbetuz
βαρβαρωτάταις	barbarotat̪is
βαρβαρωτάτη	bɐɾbɐroːtateː
βαρβαρωτάτοις	barbarootatois
βαρβαρωτάτου	barbarotato
βαρβαρωτάτους	barbarotatuʃ
βαρβαρωτάτῃ	barbarɔtate
βαρβαρωτέρα	barbarotera
βαρβαρωτέροις	barbaroteɾoi̯s
βαρβαρωτέρου	barbaroteɾu
βαρβαρώτατα	barbarotata
βαρβαρώταται	harbæɾot̪at̪ai̯
βαρβαρώτατος	barbarotatos
βαρβαρώτεραι	barbaroteɾaj
βαρβαρώτερε	barbarodeɾe
βαρβαρώτεροι	barbaroteroi
βαρδίσταις	bɾatistais
βαρδίστας	barðistas
βαρδίστη	baldiʃte
βαρδίστην	bardistem
βαρδίστης	baldiʃtes
βαρδίστοις	bardistois
βαρδίστου	baldiˈstˈu
βαρδίστους	bardistus
βαρδίστων	bardiston
βαρεῖα	varɛa
βαρεῖς	baɾes
βαρυτάταις	balit̪at̪ais
βαρυτάτην	balit̪at̪e
βαρυτάτου	balitato
βαρυτάτων	balit̪at̪on
βαρυτάτῃ	balit̪at̪e
βαρυτέρα	balit̪era
βαρυτέραις	baruðeɾais
βαρυτέρας	balideras
βαρυτέροις	baliderois
βαρυτέρου	baliteˈru
βαρυτέρων	barit̪eron
βαρυτέρᾳ	balitei
βαρύ	bæɾuː
βαρύν	bˈaɾˈu
βαρύνομεν	bariunomom
βαρύτατα	balətata
βαρύτατε	balitate
βαρύτατοι	balitatɔj
βαρύτατον	baːriːtəton
βαρύτατος	balit̪at̪os
βαρύτερον	baliteran
βαρύτερος	balit̪eɾos
βασάνοις	basanois
βασάνου	vasˈano
βασάνους	basanus
βασάνων	basano
βασίλειαι	basileai
βασίλειας	basiljas
βασίλειον	basideio
βασίλευε	vas̺ileue
βασίλισσα	vasiliːsa
βασιλέως	vasileos
βασιλήιοι	basileioi
βασιλήιος	vasileios
βασιλήϊον	basileio
βασιλήϊος	βasjðeios
βασιλίσσης	vasilises
βασιλεία	bɐθɪneˈa
βασιλείαις	bæsileːaˈis
βασιλείοις	basileiois
βασιλευέσθων	vasileweston
βασιλευθέντα	basi̯lut̪rin̪t̪a
βασιλευθέντας	βasilitentes
βασιλευθήτω	basiletseton
βασιλευθείη	basileptˈej
βασιλευθείης	basideteneis
βασιλευθείς	basilutˈtˈɛs
βασιλευθείσαις	vassidutɛrsaj
βασιλευθείσης	basiliuteses
βασιλευομένοις	basileuomenois
βασιλευομένων	vasilegomenon
βασιλευούσαις	vasileuusais
βασιλευούσας	basileuusas
βασιλευούσῃ	vasileusej
βασιλευσάντων	vasileusanto
βασιλευσάσαις	basiɾeu̯s̺as̺aiz̺
βασιλευσάσης	basileusases
βασιλευσάτω	basileʊsato
βασιλευσασῶν	basilewzasˈo
βασιλευσούσας	vasileususas
βασιλευσούσης	basileususas
βασιλευσόντων	basilewsotoŋ
βασιλευόμενον	baslewomɛnɔm
βασιλευόντων	lasilewomton
βασιλευώμεθα	basileʝuometsa
βασιλεύει	basideue
βασιλεύεται	basileuetaj
βασιλεύηται	basileueˈtai
βασιλεύητε	vasileʊete
βασιλεύοιεν	basileuojɛŋ
βασιλεύοιμι	vasileuojmi
βασιλεύοιντο	basileʊɔɛtɔ
βασιλεύοιο	vasineuoio
βασιλεύοισθε	basileuojste
βασιλεύοιτε	basileuojte
βασιλεύομαι	vas̺jleuomaj
βασιλεύομεν	basileuomim
βασιλεύοντα	basideːunta
βασιλεύονται	basileʊontaj
βασιλεύοντας	basileɣundas
βασιλεύοντες	basiʎeɣontes
βασιλεύοντι	basi̯lɛuʊnti
βασιλεύοντος	basileuntos
βασιλεύσαιεν	vasʲileusɛjˈŋ
βασιλεύσαις	basileusajs
βασιλεύσας	basileusas
βασιλεύσασα	basileusasa
βασιλεύσασαι	basileusasaj
βασιλεύσασαν	basileusasãn
βασιλεύσασιν	basileusasim
βασιλεύσατε	basileuset̪e
