अंजें	əndʒɛ̃
केन्ना	kenːɑː
केळें	kɛɭɛ̃
केस	kɛs̪
कोंकणी	kõkɳi
कोडसाण	koɖsɑːɳ
कोण	koɳ
कोनिसांव	konisɑ̃ːʋ
क्रियापद	kɾijɑːpəd
क्रियाविशेशण	kɾijɑːʋiʃɛʃəɳ
क्लार	klɑːɾ
क्लास	klɑːs
खंय	kʰə̃j
खणप	kʰəɳəp
खण्चे	kʰəɳtʃe
खबर	kʰəbəɾ
खावप	kʰaːʋəp
खिळो	kʰiɭo
खूब	kʰuːb
खेळ	kʰɛɭ
खोस	kʰos
गंदकी	ɡəndkiː
गरीब	ɡəɾiːb
गळो	ɡəɭɔ
गस्पार	ɡəspɑːɾ
गांव	ɡãːʋ
गांवकार	ɡɑ̃ːʋkɑːɾ
गाड	ɡɑːɖ
गाय	ɡɑːj
गावप	ɡɑːʋəp
गाव्चे	ɡɑːʋtʃe
गिरेस्तकाय	ɡiɾɛstəkɑːj
गुलाबी	ɡulɑːbiː
गुळी	ɡuɭiː
गोंय	ɡõj
गोठप	ɡoʈʰəp
गोबरें	ɡobɾɛ̃
गोल	ɡol
गोलाकार	ɡoːlɑːkɑːɾ
ग्रेगोर	ɡɾɛɡɔɾ
घट	ɡʱəʈ
घर	ɡʱəɾ
घरदार	ɡʱəɾdɑːɾ
घांसप	ɡʱɑ̃ːsəp
घाम	ɡʱɑːm
घामेवप	ɡʱɑːmeʋəp
घास्चे	ɡʱɑːstʃe
घोटाळो	ɡʱɔʈɑːɭɔ
घोडेस्वार	ɡʱoɖesʋɑːɾ
घोव	ɡoʋ
घोव	ɡʰoʋ
चंदनी	tʃəndniː
चरबी	tʃəɾbiː
चलणूक	tsəlɳuːk
चलप	tsələp
चाफ्याकोराचें	tʃɑːpʰjɑːkoɾɑːtʃẽ
चाबप	tʃɑːʋəp
चिंतप	tʃintəp
चिखोल	tʃikʰol
चित्र	tʃitɾᵊ
चुकून	tʃukuːn
चेन्नय	tʃenːəj
चेपें	tʃɛpɛ̃
चेर	tʃeɾ
चोखप	tʃokʰəp
चौरंगी	tʃəuɾəŋiː
च्या	tʃjɑː
जगप	dzəɡəp
जड	dzəɖ
जनावर	dʒənɑːʋəɾ
जनेल	dzənɛl
जपान	dʒəpɑːn
जमीन	dzəmiːn
जळप	dzəɭəp
जांबळें	dzɑːmbɭɛ̃
जांबळो	dʒɑːmbɭɔ
जाण्टो	zɑːɳʈɔː
जानेवारी	dʒɑːneʋɑːɾiː
जान्वें	dzɑːnʋɛ̃
जाप	dzɑːp
जाबेल	dzɑːbɛl
जावप	dzɑːʋəp
जाव्चे	dzɑːʋtʃe
जिवाणें	dziʋɑːɳɛ̃
जुलय	dʒuləj
जुवीज	dzuʋiːdz
जुस्त	dʒust
जून	dʒuːn
जेजू	dʒɛzuː
जोजे	dzodze
झगडप	dʒʱəɡəɖəp
झाड	dzʱɑːɖ
झेत	dʒʱet
झेल	dʒʱel
टेंबुरणी	tɛmbuɾəɳiː
टोकियो	ʈokijo
ठांय	ʈʰɑ̃ːj
ठाण	ʈʰɑːɳ
डबो	ɖəbɔː
डिसेंबर	ɖisɛmbəɾ
तकली	təkliː
तळी	təɭiː
तांतीं	tɑːntĩː
तांबडें	tɑːmbɖɛ̃
तांबडो	tɑːmbɖɔ
ताट	tɑːʈ
ताती	tɑːtiː
ताबो	tɑːbɔ
तामीळ	tɑːmiːɭ
तामीळनाडू	tɑːmiːɭnɑːɖuː
तालुका	t̪aːlukaː
तियात्र	tijɑːtɾ
तीन	tiːn
तीनरंगी	tiːnɾəŋiː
तेल	tel
तोंड	toɳɖə
थंड	tʰəɳɖ
थांगा	tʰɑːŋɑː
थान	tʰɑːn
थुकप	tʰukəp
थोडें	tʰoɖɛ̃
दरोडो	dəɾoɖɔ
दर्जो	dəɾdzɔ
दर्या	dəɾjɑː
दशक	dəʃək
दाखोवप	dɑːkʰoʋəp
दाट	dɑːʈ
दादलो	dɑːdlo
दारुगुळो	dɑːɾuɡuɭɔ
दावें	dɑːʋɛ̃
दिल्ली	dilliː
दीस	diːs
दुकान	dukɑːn
दुडू	duɖuː
दुदाळ	dudɑːɭ
दुस्मान	dusmɑːn
दूद	duːd
देवस्थान	deːʋəstʰɑːn
देवूळ	deʋuːɭ
दोंगर	doŋəɾ
दोरी	doːɾiː
दोळो	dɔɭɔ
द्राक्षाळ	dɾɑːkʂɑːɭ
धपको	dʱəpkɔ
धरप	dʱəɾəp
धर्चे	dʱəɾtʃe
धर्मझूज	dʱəɾmədzʱuːdz
धर्मशाळा	dʱəɾməʃɑːɭɑː
धवें	dʱəʋɛ̃
धुंवर	dʱũʋəɾ
धुकें	dʱukɛ̃
धूव	duːʋ
धूव	dʰuːʋ
धोंग	dʱɔŋ
धोंपर	dʱompəɾ
नणंद	nəɳənd
नदर	nədəɾ
नमन	nəmən
नम्रताय	nəmɾətɑːj
नळ	nəɭ
नशीब	nəʃiːb
नाक	nɑːk
नाखूट	nɑːkʰuːʈ
नाड	naːɖ
नात	nɑːt
नाताळ	naːtaːɭ
नातू	nɑːtuː
नाम	nɑːm
नारंगी	nɑːɾəŋiː
निक्लांव	niklɑ̃ːʋ
निळें	niɭɛ̃
नुस्ते	nustɛ
नोकरशाय	nokəɾʃɑːj
नोव्हेंबर	nɔʋʱɛmbəɾ
न्हंय	nʱə̃j
न्हय	nʱəj
न्हयकार	nʱəjkɑːɾ
न्हयकारी	nʱəjkɑːɾiː
न्हवरो	nʱəʋɾɔ
न्हिदप	nʱidəp
न्हीद	nʱiːd
पंचांग	pɑːntʃɑːŋ
पक्षी	pəkʂiː
पडप	pəɖəp
पणजी	pəɳdʒiː
पणजी	pəɳdziː
पयस	pəjs
परत	pəɾət
परां	pəɾɑ̃ː
पलतडी	pəltəɖiː
पळोवप	pəɭoʋəp
पांच	pɑːntʃ
पांचरंगी	pɑːntʃɾəŋiː
पाचवें	pɑːtsʋɛ̃
पाटां	pɑːʈɑ̃ː
पाठ्यपुस्तक	pɑːʈʰjəpustək
पातळावप	pɑːtɭɑːʋəp
पान	pɑːn
पाव	pɑːʋ
पावप	pɑːʋəp
पावस	pɑːʋəs
पासय	pɑːsəj
पासय	pɑːsːə̃j
पिकासांव	pikɑːsɑ̃ːʋ
पिट्टि	pɪʈʈiː
पिळप	piɭəp
पिळ्चे	piɭtʃe
पिसोळीं	pisoɭĩː
पुतणयो	puːtɳjɔ
पुराय	puɾɑːj
पुर्तुगाल	puɾtuɡɑːl
पुर्तुगेज	puɾtuɡɛdz
पुसप	pusəp
पुस्तक	pustək
पूत	puːt
पोपटी	popʈiː
प्रमाणीकरण	pɾəmɑːɳiːkəɾəɳ
प्रस्न	pɾəsnə
फक्त	fəkt
फक्त	pʰəkt
फसक	fəsək
फाटभूंय	fɑːʈbʱũːj
फाम	fɑːm
फामाद	fɑːmɑːd
फायदो	fɑːjdɔ
फार्मास	fɑːɾmɑːs
फाल्यां	fɑːljɑ̃ː
फाल्स	fɑːls
फासप	fɑːsəp
फासप	pʰɑːsəp
फिरप	fiɾəp
फिरप	pʰiɾəp
फिरोजी	fiɾodʒiː
फिरोजी	pʰiɾodʒiː
फिलिप	filip
फुगांव	fuɡɑ̃ːʋ
फुगासांव	fuɡɑːsɑ̃ːʋ
फुगोवप	pʰuɡoʋəp~fuɡoʋəp
फुटप	fuʈəp
फुटप	pʰuʈəp
फुट्चे	fuʈtʃe
फुनेल	funɛl
फुलकोबी	fulkobiː
फुलावर	fulɑːʋəɾ
फूल	fuːl
फेब्रुवारी	pʰɛbɾuʋɑːɾiː
फेर्र	fɛɾː
फोग	foɡ
फोगेट	foɡeʈ
फोटो	fɔʈɔ
फोर	foɾ
फोर्त	fɔɾt
फोर्स	foɾs
फोल	fol
फोल्ग	fɔlɡ
फ्रस्क	fɾəsk
फ्रांचिस्का	fɾɑ̃ːtʃiskɑː
बदलप	bədləp
बदामी	bədɑːmiː
बरें	bəɾɛ̃
बरोवप	bəɾoʋəp
बरोव्चे	bəɾoʋtsɛ
बसप	bəsəp
बांगडो	bɑːŋɡɖɔː
बांगलादेश	bɑːŋlɑːdɛʃ
बांधप	bɑːndʱəp
बाजार	bɑːdzɑːɾ
बाण	bɑːɳ
बापुइ	bɑːpui
बापोलयो	bɑːpɔljɔ
बायल	bɑːjl
बारीक	bɑːɾiːk
बार्देस	baɾdes
बाल्तु	bɑːltu
बिरेस्तार	biɾɛstɑːɾ
बुधवार	budʱʋɑːɾ
बुराक	buɾɑːk
बेकर	bɛkəɾ
बेर्नार्ड	bɛɾnɑːɾɖ
बेसांव	bɛsɑ̃ːʋ
बैल	bəil
बोल्स	bɔls
भयण	bojɳ
भयण	bʰəjɳ
भरिल्लें	bʱəɾilːɛ̃
भरिल्लें	bʱəɾlɛlɛ
भांडवलशाय	bʱɑːɳɖʋəlʃɑːj
भाचो	bʰɑːtsɔ
भाटकारशाय	bʱɑːʈkɑːɾʃɑːj
भाटबेंस	bʱɑːʈbɛ̃s
भाव	bɑːʋ
भाव	bʱɑːʋ
भावपण	bʱɑːʋpəɳ
भास	bʰɑːs
भिवप	bʱiʋəp
भिव्चे	bʱiʋtʃe
भुरगें	bʱuɾɡɛ̃
भूंय	bʱũːj
भोवभाशीक	bʱoʋbʱɑːʃiːk
भोवमान	bʱoʋmɑːn
भोवरंगी	bʱoʋɾəŋiː
मंगळार	məŋɭɑːɾ
मंगळूर	məŋəɭuːɾ
मनुएल	mənuel
मनोरंजन	mənoɾəndʒən
मरप	məɾəp
मराठी	məɾɑːʈiː
मरि	məɾi
मळब	məɭəb
मशिद	məʃid̪
महाराष्ट्री	məhɑːɾɑːʂʈɾiː
मांय	mãj
मांयभास	mɑ̃ːjbʱɑːs
मांव	mɑ̃ːʋ
मातयेकोराचो	mɑːtjɛkɔɾɑːtʃɔ
मातेरी	mɑːtɛɾiː
मानधन	mɑːndʱən
मायभास	mɑːjbʱɑːs
मारप	mɑːɾəp
मारिया	mɑːɾijɑː
मार्क	mɑɾk
मार्च	mɑːɾtʃ
मार्चे	mɑːɾtʃe
माल्दिसांव	mɑːldisɑ̃ːʋ
मावळण	mɑːʋɭəɳ
मावसो	mɑːʋsɔ
मासळी	mɑːsɭiː
मासोळी	mɑːsoɭiː
मिंगेल	miŋɡɛl
मिनीट	miniːʈ
मुंबय	mumbəj
मुंबयकार	mumbəjkɑːɾ
मुखेलमंत्री	mukʰelməntɾiː
मुदी	mudiː
मुरगांव	muɾɡãːʋ
मॅरी	mæɾiː
मेज	mɛdz
मेजप	medzəp
मेज्चे	medztʃɛ
मेर	mɛɾ
मेवणो	mɛʋɳɔ
मोतेस	mɔtɛs
म्हण	mʱəɳ
म्हणप	mʱəɳəp
म्हण्चे	mʱəɳtʃɛ
म्हयनो	mʱəjnɔ
म्हापशें	mʱɑːpʃɛ̃
म्हारगाय	mʱɑːɾɡɑːj
म्हेळें	mʱɛlɛ̃
यकृत	jəkɹ̩t
याद	jɑːd
रंग	ɾəŋɡ
रंगयाळें	ɾəŋjɑːɭɛ̃
रंगयिल्लें	ɾəŋjilːɛ̃
रंगहीण	ɾəŋhiːɳ
रक्तगट	ɾəktəɡəʈ
रक्तवर्णी	ɾəktəʋəɾɳiː
रवो	ɾəʋoː
रस्तो	ɾəstɔ
राष्ट्रगीत	ɾɑːʂʈɾəɡiːt
रूंद	ɾuːnd
रेंव	ɾɛ̃ʋ
रेंवट	ɾɛ̃ʋəʈ
रोटी	ɾoʈiː
रोमी	ɾɔmiː
लजर	ləzəɾ
लांकूडकार	lɑːŋkuːɖkɑːɾ
लांब	lɑːmb
लांबाय	lɑːmbɑːj
लागीं	lɑːɡĩː
लागून	lɑːɡuːn
लाल	lɑːl
लुकसाण	luksɑːɳ
लोकशाय	lokʃɑːj
लोर्सो	lɔɾsɔ
ल्हान	lʱɑːn
वगत	ʋəɡət
वजन	vədzən
वर	ʋəɾ
वाचनालय	ʋɑːtʃənɑːləj
वाडदीस	ʋɑːɖdiːs
वाडप	ʋɑːɖəp
वानसा	ʋɑːnsɑː
वारो	ʋɑːɾo
विमानतळ	ʋimɑːntəɭ
विशेशण	ʋiʃɛʃəɳ
वेंचणूक	ʋẽtsɳuːk
वेळ	ʋeɭ
व्हंकल	ʋʱəŋkəl
व्हड	ʋʱəɖ
व्हांवप	ʋʱɑ̃ːʋəp
शतक	ʃətək
शार	ʃɑːɾ
शाळा	ʃɑːɭɑː
शिंवप	ʃĩʋəp
शिटी	siʈiː
शीम	ʃiːm
शीममेर	ʃiːmːɛɾ
शुक्रार	ʃukɾɑːɾ
शेंपडी	ʂĩʈĩː
शेंपडी	ʃɛmpɖiː
शेनवार	ʃɛnʋɑːɾ
संस्कृताय	sə̃skɾitɑːj
सगलें	səɡlɛ̃
सप्टेंबर	səpʈɛmbəɾ
सप्तक	səptək
सर्वनाम	səɾʋənɑːm
सर्वेश्वर	səɾʋɛsʋəɾ
सर्वेश्वर	səɾʋɛʃʋəɾ
सल्वदोर	səlʋədɔɾ
सवेर	səʋɛɾ
सहस्राब्दी	səhəsɾɑːbdiː
सांगप	sɑːŋəp
साडी	sɑːɖiː
सामान	sɑːmɑːn
सायब	sɑːjb
साल	sɑːl
सावळें	sɑːʋɭɛ̃
सावळो	sɑːʋɭɔ
साष्टी	saʂʈiː
साष्टीकार	saːʂʈiːkaːɾ
सिमांव	simɑːuʋ
सुंदर	sundəɾ
सुकणें	sukɳɛ̃
सुकें	sukɛ̃
सुटी	suʈiː
सुरवात	suɾʋɑːt
सेकंड	sɛkəɳɖ
सेबेस्तांव	seːbeːstɑ̃ːʋ
सोंसप	sõsəp
सोदप	sodəp
सोबीतकाय	sobiːtkɑːj
सोमार	soːmɑːɾ
सोरोप	soɾop
स्वतंत्रताय	sʋətəntɾətɑːj
हड्डें	həɖ̚ɖɛ̃
हय	həj
हयकार	həjkɑːɾ
हयकारी	həjkɑːɾiː
हळद	həɭəd
हळ्ळि	həɭɭi
हांसप	hɑ̃ːsəp
हाड	hɑːɖ
ही	hiː
हुंगप	huŋəp
हेर	heɾ
