є	jɛ
аллах	ɐɫax
аллах	ɐɫːax
аллаху	ɐɫːaxʊ
алмазна	ɐɫmaznɐ
алмати	ɐɫmɐtɪ
алупка	ɐɫupkɐ
алушта	ɐɫuʃtɐ
алчевськ	ɐɫtʃɛu̯sʲk
алчевщина	ɐɫtʃɛu̯ʃtʃenɐ
аляска	ɐlʲaskɐ
аліна	ɐlʲinɐ
алістер	alʲister
амвросіївка	ɐmwrɔsʲijiu̯kɐ
америка	ɐmɛrekɐ
америкам	ɐmɛrekɐm
америками	ɐmɛrekɐme
америках	ɐmɛrekɐx
америки	ɐmɛreke
америко	ɐmɛrekɔ
америкою	ɐmɛrekɔjʊ
америку	ɐmɛrekʊ
америці	ɐmɛretsʲi
амман	ɐmːan
амстердам	ɐmsterdam
амстердамові	ɐmsterdamɔʋʲi
амстердамі	ɐmsterdamʲi
ананьїв	ɐnanʲjiu̯
анастасія	ɐnɐstɐsʲijɐ
анатолій	ɐnɐtɔlʲii̯
анатолійович	ɐnɐtɔlʲijɔʋetʃ
анатоліїв	ɐnɐtɔlʲii̯
ангеліна	ɐnɦelʲinɐ
англія	anɦlʲijɐ
ангола	ɐnɦɔɫɐ
андалусія	ɐndɐɫusʲijɐ
андижан	ɐndeʒan
андорра	ɐndɔrːɐ
андрушівка	ɐndruʃʲiu̯kɐ
андріан	ɐndʲrʲian
андрій	ɐndʲrʲii̯
андрійко	ɐndʲrʲii̯kɔ
андрійович	ɐndʲrʲijɔʋetʃ
андрієнко	ɐndʲrʲijɛnkɔ
андріїв	ɐndʲrʲijiu̯
андріївна	ɐndʲrʲijiu̯nɐ
анжеліка	ɐnʒelʲikɐ
анкара	ɐnkɐra
анкоридж	ɐnkɔredʒ
анна	anːɐ
антананаріву	ɐntɐnɐnɐrʲiwʊ
антарктида	ɐntɐrktɪdɐ
антарктиди	ɐntɐrktɪde
антарктидо	ɐntɐrktɪdɔ
антарктидою	ɐntɐrktɪdɔjʊ
антарктиду	ɐntɐrktɪdʊ
антарктиді	ɐntɐrktɪdʲi
антверпен	ɐntʋɛrpen
антон	ɐntɔn
антоненко	ɐntɔnɛnkɔ
антонович	ɐntɔnɔʋetʃ
антоніна	ɐntonʲinɐ
антрацит	ɐntrɐtsɪt
антін	ɐnʲtʲin
аполлон	ɐpɔɫːɔn
апостолове	ɐpɔstɔɫɔʋe
апулія	ɐpulʲijɐ
апіа	ɐpʲiɐ
аравія	ɐraʋʲijɐ
аргентина	ɐrɦentɪnɐ
арестович	ɐrestɔʋetʃ
аризона	ɐrezɔnɐ
арканзас	ɐrkɐnzas
армянськ	ɐrmʲanʲsʲk
арсенів	ɐrsɛnʲiu̯
арсеній	ɐrsɛnʲii̯
арсенійович	ɐrsɛnʲijɔʋetʃ
артем	ɐrtɛm
артемович	ɐrtɛmɔʋetʃ
артемівськ	ɐrtɛmʲiu̯sʲk
артур	ɐrtur
арфуш	ɐrfuʃ
арциз	ɐrtsɪz
аріка	ɐrʲikɐ
арістотель	ɐrʲistɔtelʲ
асмара	ɐsmarɐ
асмера	ɐsmɛrɐ
ассирія	ɐsːɪrʲijɐ
астана	ɐstɐna
астурія	ɐsturʲijɐ
асунсьйон	ɐsʊnʲsʲjɔn
асія	ɐsʲijɐ
ататюрк	ɐtɐtʲurk
атен	ɐtɛn
атена	ɐtɛnɐ
атенам	ɐtɛnɐm
атенами	ɐtɛnɐme
атенах	ɐtɛnɐx
атени	ɐtɛne
афганістан	ɐvɦɐnʲistan
африки	afreke
африко	afrekɔ
африкою	afrekɔjʊ
африку	afrekʊ
африці	afretsʲi
афродіта	ɐfrodʲitɐ
афіна	ɐfʲinɐ
афіни	ɐfʲine
ахілл	ɐxʲiɫː
ахіллес	ɐxʲiɫːɛs
ашгабат	ɐʒɦɐbat
б	b
бмп	beɛmpɛ
бабицький	bɐbɪtsʲkei̯
бабич	babetʃ
бабченко	babtʃenkɔ
баварія	bɐʋarʲijɐ
багдад	bɐɦdad
базиліката	bɐzelʲikatɐ
байрактар	bɐi̯rɐktar
баку	bɐku
балаклія	bɐɫɐklʲijɐ
балта	baɫtɐ
бамако	bɐmɐkɔ
банат	banɐt
бангкок	bɐnɦkɔk
бангладеш	bɐnɦɫɐdɛʃ
бангі	banʲɦʲi
бандера	bɐndɛrɐ
банджул	bɐndʒuɫ
банкова	bankɔʋɐ
бар	bar
баранівка	bɐranʲiu̯kɐ
барбадос	bɐrbadɔs
барвінкове	bɐrʋʲinkɔʋe
барселона	bɐrseɫɔnɐ
баско	bɐskɔ
бастер	bɐstɛr
батурин	bɐturen
батькович	batʲkɔʋetʃ
батьківна	batʲkʲiu̯nɐ
бахмач	baxmɐtʃ
бахмут	baxmʊt
бахмут	bɐxmut
бахмутщина	baxmʊtʃtʃenɐ
бахрейн	bɐxrɛi̯n
бахчисарай	bɐxtʃesɐrai̯
баштанка	bɐʃtankɐ
баштанщина	bɐʃtanʃtʃenɐ
бейрут	bei̯rut
белград	beɫɦrad
белз	bɛɫz
бельгія	bɛlʲɦʲijɐ
бельмопан	belʲmɔpan
беліз	belʲiz
белґрад	beɫgrad
бенілюкс	benʲilʲuks
бенін	benʲin
бенін	bɛnʲin
бердичів	berdɪtʃʲiu̯
бердичівщина	berdɪtʃʲiu̯ʃtʃenɐ
бердянськ	berdʲanʲsʲk
бердянщина	berdʲanʃtʃenɐ
берегове	bɛreɦɔʋe
берегівщина	bɛreɦʲiu̯ʃtʃenɐ
бережани	bereʒane
березань	berezanʲ
березне	berɛzne
березовець	berezɔʋɛtsʲ
березівка	berezʲiu̯kɐ
березівщина	berezʲiu̯ʃtʃenɐ
берестечко	berestɛtʃkɔ
бересть	bɛresʲtʲ
берестя	berɛsʲtʲɐ
берислав	beresɫau̯
берлін	berlʲin
берн	bɛrn
бершадь	bɛrʃɐdʲ
бидгощ	bɪdɦɔʃtʃ
благовіщенське	bɫɐɦɔʋʲiʃtʃenʲsʲke
близнюк	bɫezʲnʲuk
блощинці	bɫɔʃtʃenʲtsʲi
боб	bɔb
бобринець	bɔbrenetsʲ
бобровиця	bɔbrɔʋetsʲɐ
богдан	bɔɦdan
богдан	bɔɦdɐn
богдана	bɔɦdanɐ
богданенко	bɔɦdɐnɛnkɔ
богданович	bɔɦdanɔʋetʃ
богемія	bɔɦɛmʲijɐ
богодухів	bɔɦoduxʲiu̯
богодухівщина	bɔɦoduxʲiu̯ʃtʃenɐ
богородиця	bɔɦɔrɔdetsʲɐ
богота	bɔɦɔta
богуслав	bɔɦʊsɫau̯
бойко	bɔi̯kɔ
болгарію	bɔɫɦarʲijʊ
болгарія	bɔɫɦarʲijɐ
болгаріє	bɔɫɦarʲije
болгарією	bɔɫɦarʲijejʊ
болгарії	bɔɫɦarʲiji
болград	bɔɫɦrad
болградщина	bɔɫɦradʃtʃenɐ
болехів	bɔɫɛxʲiu̯
болівія	bolʲiʋʲijɐ
бондаренко	bɔndɐrɛnkɔ
бондарчук	bɔndɐrtʃuk
боневтік	bɔneu̯tʲik
борзна	bɔrzna
борис	bɔrɪs
борислав	bɔresɫau̯
борисович	bɔrɪsɔʋetʃ
бориспіль	bɔrɪsʲpʲilʲ
бориспільщина	bɔrɪsʲpʲilʲʃtʃenɐ
борисівна	bɔrɪsʲiu̯nɐ
борщів	borʃtʃʲiu̯
боснія	bɔsʲnʲijɐ
бостон	bɔstɔn
ботсвана	bɔtsʋanɐ
боярка	bɔjɐrkɐ
браззавіль	brɐzːɐʋʲilʲ
бразиліа	brɐzɪlʲiɐ
бразилія	brɐzɪlʲijɐ
брайтон	brai̯tɔn
бранденбург	brandenbʊrɦ
бранденбург	brɐndenburɦ
братислава	brɐtesɫaʋɐ
братислави	brɐtesɫaʋe
братиславо	brɐtesɫawɔ
братиславою	brɐtesɫawɔjʊ
братиславу	brɐtesɫawʊ
братиславі	brɐtesɫaʋʲi
брацлав	brɐtsɫau̯
бремен	brɛmen
брест	brɛst
бретань	bretanʲ
бриджтаун	bredʒtaʊn
британія	bretanʲijɐ
брно	brnɔ
бровари	brɔʋɐrɪ
броварщина	brɔʋɐrʃtʃɪnɐ
броди	brɔde
броніслав	brɔnʲisɫau̯
броніслава	brɔnʲisɫaʋɐ
бруней	brʊnɛi̯
брянка	brʲankɐ
брянськ	brʲanʲsʲk
будапешт	bʊdɐpɛʃt
будапешта	bʊdɐpɛʃtɐ
будапеште	bʊdɐpɛʃte
будапештові	bʊdɐpɛʃtɔʋʲi
будапештом	bʊdɐpɛʃtɔm
будапешту	bʊdɐpɛʃtʊ
будапешті	bʊdɐpɛʃtʲi
будда	budːɐ
бужумбура	bʊʒʊmburɐ
буковина	bʊkɔʋɪnɐ
бунге	bunɦe
буринь	bʊrɪnʲ
бурса	bursɐ
бурунді	bʊrunʲdʲi
бурштин	bʊrʃtɪn
буськ	busʲk
бутан	bʊtan
буття	bʊtʲːa
бухара	bʊxɐra
бухарест	bʊxɐrɛst
бухареста	bʊxɐrɛstɐ
бухаресте	bʊxɐrɛste
бухарестові	bʊxɐrɛstɔʋʲi
бухарестом	bʊxɐrɛstɔm
бухаресту	bʊxɐrɛstʊ
бухаресті	bʊxɐrɛsʲtʲi
буча	butʃɐ
бучанщина	bʊtʃanʃtʃenɐ
бучач	butʃɐtʃ
бєдняков	bʲedʲnʲɐkɔu̯
біблія	bʲiblʲijɐ
бібрка	bʲibrkɐ
білгород	bʲiɫɦɔrɔd
білград	bʲiɫɦrad
білицьке	bʲiɫetsʲke
білогірськ	bʲiɫoɦʲirsʲk
білодід	bʲiɫodʲid
білозерське	bʲiɫɔzɛrsʲke
білопілля	bʲiɫopʲilʲːɐ
білорусе	bʲiɫoruse
білоруси	bʲiɫoruse
білоруссю	bʲiɫorusʲːʊ
білорусь	bʲiɫorusʲ
білорусі	bʲiɫorusʲi
білосніжка	bʲiɫosʲnʲiʒkɐ
білосток	bʲiɫɔstɔk
білоцерківщина	bʲiɫɔtserkʲiu̯ʃtʃenɐ
біляївка	bʲilʲajiu̯kɐ
білґрад	bʲiɫgrad
бісау	bʲisaʊ
бішкек	bʲiʃkɛk
в	ʋ
в'ячеслав	ʋjɐtʃesɫau̯
в'ячеслава	ʋjɐtʃesɫaʋɐ
в'ячеславович	ʋjɐtʃesɫawɔʋetʃ
в'єнтьян	ʋjenʲtʲjan
в'єтнам	ʋjetnam
віл	ʋʲiɫ
вадим	ʋɐdɪm
вадуц	ʋadʊts
вайомінг	ʋɐjɔmʲinɦ
вайомінґ	ʋɐjɔmʲing
вайтгорс	ʋai̯dɦɔrs
валентин	ʋɐɫentɪn
валентина	ʋɐɫentɪnɐ
валки	ʋaɫke
валлетта	ʋɐɫːɛtːɐ
ван	ʋan
ванкувер	ʋɐnkuʋer
вануату	ʋɐnʊatʊ
вараш	ʋɐraʃ
варварин	ʋɐrʋaren
варфоломій	ʋɐrfɔɫomʲii̯
варшава	ʋɐrʃaʋɐ
варшави	ʋɐrʃaʋe
варшаво	ʋɐrʃawɔ
варшавою	ʋɐrʃawɔjʊ
варшаву	ʋɐrʃawʊ
варшаві	ʋɐrʃaʋʲi
василенко	ʋɐseɫɛnkɔ
василь	ʋɐsɪlʲ
васильків	ʋɐselʲkʲiu̯
васильович	ʋɐsɪlʲɔʋetʃ
василівка	ʋɐsɪlʲiu̯kɐ
ватикан	ʋɐtɪkɐn
ватутіне	ʋɐtutʲine
вахрушеве	ʋaxrʊʃeʋe
вашингтон	ʋɐʃenɦtɔn
вашинґтон	ʋɐʃengtɔn
вашківці	ʋaʃkʲiu̯tsʲi
великдень	ʋeɫɪgdenʲ
великобританія	ʋeɫekɔbretanʲijɐ
велиґдень	ʋeɫɪgdenʲ
веллінгтон	ʋɛlʲːinɦtɔn
венера	ʋenɛrɐ
венесуела	ʋenesʊɛɫɐ
венето	ʋɛnetɔ
венеція	ʋenɛtsʲijɐ
вербицький	ʋerbɪtsʲkei̯
вербниця	ʋɛrbnetsʲɐ
вермонт	ʋermɔnt
вернадський	ʋernadzʲsʲkei̯
вероніка	ʋeronʲikɐ
веронічин	ʋeronʲitʃen
верхньодніпровськ	ʋerxnʲɔdʲnʲiprɔu̯sʲk
верховина	ʋerxɔʋɪnɐ
верховинщина	ʋerxɔʋɪnʃtʃenɐ
верхогляд	ʋerxɔɦlʲad
верхівцеве	ʋerxʲiu̯tseʋe
веста	ʋɛstɐ
ви	ʋɪ
вижниця	ʋɪʒnetsʲɐ
вилкове	ʋɪɫkɔʋe
винники	ʋɪnːeke
виноградів	ʋenɔɦradʲiu̯
вифлеєм	ʋefɫejɛm
вишгород	ʋɪʒɦɔrɔd
вишгородщина	ʋɪʒɦɔrɔdʃtʃenɐ
вишневе	ʋeʃnɛʋe
вкраїна	ʍkrɐjinɐ
влад	wɫad
влада	wɫadɐ
владислав	wɫɐdesɫau̯
владислава	wɫɐdesɫaʋɐ
владиславович	wɫɐdesɫawɔʋetʃ
владиславів	wɫɐdesɫaʋʲiu̯
владів	wɫadʲiu̯
вовчанськ	wɔu̯tʃanʲsʲk
вознесенськ	wɔznesɛnʲsʲk
вознесенівка	wɔznesɛnʲiu̯kɐ
волгін	wɔlʲɦʲin
волгіна	wɔlʲɦʲinɐ
волинь	wɔɫɪnʲ
волноваха	wɔɫnɔʋaxɐ
володимир	wɔɫɔdɪmer
володимира	wɔɫɔdɪmerɐ
володимиренко	wɔɫɔdemerɛnkɔ
володимирович	wɔɫɔdɪmerɔʋetʃ
володимирівна	wɔɫɔdɪmerʲiu̯nɐ
володя	wɔɫɔdʲɐ
волочиськ	wɔɫɔtʃɪsʲk
волошин	wɔɫɔʃen
волощина	wɔɫɔʃtʃenɐ
ворожба	wɔrɔʒba
ворошиловград	wɔrɔʃeɫɔu̯ɦrad
вроцлав	wrɔtsɫɐu̯
всеволод	ʍsɛwɔɫɔd
вуглегірськ	wʊɦɫeɦʲirsʲk
вугледар	wʊɦɫedar
вулкан	wʊɫkan
вякін	ʋʲakʲin
вівдя	ʋʲiu̯dʲɐ
відень	ʋʲidenʲ
відродження	ʋʲidrɔdʒenʲːɐ
візантій	ʋʲizanʲtʲii̯
візантія	ʋʲizanʲtʲijɐ
візантія	ʋʲizɐnʲtʲijɐ
вікно	ʋʲiknɔ
віктор	ʋʲiktɔr
вікторович	ʋʲiktɔrɔʋetʃ
вікторія	ʋʲiktɔrʲijɐ
вікіпедія	ʋʲikʲipɛdʲijɐ
вікісловник	ʋʲikʲisɫɔu̯nɪk
вікісловника	ʋʲikʲisɫɔu̯neka
вікісловникові	ʋʲikʲisɫɔu̯nekɔʋʲi
вікісловником	ʋʲikʲisɫɔu̯nekɔm
вікісловнику	ʋʲikʲisɫɔu̯neku
вільногірськ	ʋʲilʲnoɦʲirsʲk
вільнюс	ʋʲilʲnʲʊs
вільнюса	ʋʲilʲnʲʊsɐ
вільнюсе	ʋʲilʲnʲʊse
вільнюсові	ʋʲilʲnɔʋʲi
вільнюсом	ʋʲilʲnʲʊsɔm
вільнюсу	ʋʲilʲnʲʊsʊ
вільнюсі	ʋʲilʲnʲʊsʲi
вільнянськ	ʋʲilʲnʲanʲsʲk
віндгук	ʋʲindɦʊk
віннице	ʋʲinːetse
вінницею	ʋʲinːetsejʊ
вінницю	ʋʲinːetsʲʊ
вінниця	ʋʲinːetsʲɐ
вінниці	ʋʲinːetsʲi
вінниччина	ʋʲinːetʃːenɐ
віра	ʋʲirɐ
вірджинія	ʋʲirdʒɪnʲijɐ
вірменія	ʋʲirmɛnʲijɐ
вісконсин	ʋʲiskɔnsen
вісла	ʋʲisɫɐ
віталій	ʋʲitalʲii̯
віталійович	ʋʲitalʲijɔʋetʃ
вітебськ	ʋʲitebsʲk
вітка	ʋʲitkɐ
г	ɦ
г'юстон	ɦjustɔn
гес	ɦɛs
гуам	ɦʊam
гаага	ɦɐaɦɐ
габон	ɦɐbɔn
габороне	ɦɐbɔrɔne
габсбург	ɦabzbʊrɦ
габсбурґ	ɦabzbʊrg
гавана	ɦɐʋanɐ
гаваї	ɦɐʋaji
гавел	ɦaʋeɫ
гаврил	ɦɐu̯rɪɫ
гаврило	ɦɐu̯rɪɫɔ
гаврилюк	ɦɐu̯relʲuk
гавриш	ɦau̯reʃ
гавіржов	ɦɐʋʲirʒɔu̯
гагаузія	ɦɐɦɐuzʲijɐ
гадяч	ɦadʲɐtʃ
газа	ɦazɐ
газіантеп	ɦɐzʲiɐntɛp
гайворон	ɦajwɔrɔn
гайдай	ɦɐi̯dai̯
гайсин	ɦai̯sen
галина	ɦɐɫɪnɐ
галич	ɦaɫetʃ
галичина	ɦɐɫetʃena
галичини	ɦɐɫetʃenɪ
галичиною	ɦɐɫetʃenɔjʊ
галичину	ɦɐɫetʃenu
галичині	ɦɐɫetʃenʲi
галісія	ɦɐlʲisʲijɐ
галіфакс	ɦɐlʲifaks
гамбург	ɦambʊrɦ
гамбія	ɦambʲijɐ
гамерика	ɦɐmɛrekɐ
гаммаршельд	ɦɐmːɐrʃɛlʲd
гана	ɦanɐ
ганна	ɦanːɐ
ганнин	ɦanːen
гарфілд	ɦarfʲiɫd
гаяна	ɦɐjanɐ
гаїті	ɦɐjitʲi
гватемала	ɦʋɐtemaɫɐ
гвінея	ɦʋʲinɛjɐ
гданськ	ɦdanʲsʲk
гельсінкі	ɦɛlʲsʲinʲkʲi
генасамблея	ɦenɐsɐmbɫɛjɐ
геннадій	ɦenːadʲii̯
геннадійович	ɦenːadʲijɔʋetʃ
генічеськ	ɦenʲitʃesʲk
георгій	ɦeɔrɦʲii̯
георгійович	ɦeɔrɦʲijɔʋetʃ
герасим	ɦerasem
геращенко	ɦeraʃtʃenkɔ
гервасій	ɦerʋasʲii̯
герман	ɦɛrmɐn
геррінґтон	ɦɛrʲːingtɔn
герца	ɦɛrtsɐ
герцеговина	ɦertseɦɔʋɪnɐ
гессен	ɦɛsːen
гетьманщина	ɦetʲmanʃtʃenɐ
гетьманщини	ɦetʲmanʃtʃene
гиренко	ɦerɛnkɔ
гишпанія	ɦeʃpanʲijɐ
глиняни	ɦɫenʲane
глобине	ɦɫɔbene
глухів	ɦɫuxʲiu̯
гліб	ɦlʲib
глібенко	ɦlʲibɛnkɔ
глібович	ɦlʲibɔʋetʃ
гнівань	ɦnʲiʋɐnʲ
гоголь	ɦɔɦɔlʲ
голландія	ɦɔɫːanʲdʲijɐ
голобородько	ɦɔɫɔbɔrɔdʲkɔ
голованівськ	ɦɔɫɔʋanʲiu̯sʲk
голодомор	ɦɔɫɔdɔmɔr
голубівка	ɦɔɫʊbʲiu̯kɐ
гомель	ɦɔmelʲ
гомер	ɦɔmɛr
гондурас	ɦɔndʊras
гонконг	ɦɔnkɔnɦ
гончаренко	ɦɔntʃɐrɛnkɔ
горацій	ɦɔratsʲii̯
горацію	ɦɔratsʲijʊ
горація	ɦɔratsʲijɐ
гораціям	ɦɔratsʲijɐm
гораціями	ɦɔratsʲijɐme
гораціях	ɦɔratsʲijɐx
горацієві	ɦɔratsʲijeʋʲi
горацієм	ɦɔratsʲijem
горації	ɦɔratsʲiji
гораціїв	ɦɔratsʲijiu̯
гордон	ɦɔrdɔn
гордій	ɦordʲii̯
гордійович	ɦordʲijɔʋetʃ
гордієнко	ɦɔrdʲijɛnkɔ
горлівка	ɦɔrlʲiu̯kɐ
городенка	ɦɔrɔdɛnkɐ
городище	ɦɔrɔdɪʃtʃe
городня	ɦɔrɔdʲnʲɐ
городок	ɦɔrɔdɔk
горохів	ɦɔrɔxʲiu̯
господь	ɦɔspɔdʲ
гостомель	ɦɔstɔmelʲ
гоґвортс	ɦɔgwɔrts
гребінка	ɦrebʲinkɐ
гренада	ɦrenadɐ
греція	ɦrɛtsʲijɐ
греччина	ɦrɛtʃːenɐ
григоренко	ɦreɦɔrɛnkɔ
григорович	ɦreɦɔrɔʋetʃ
григорій	ɦreɦɔrʲii̯
григір	ɦrɪɦʲir
гринько	ɦrenʲkɔ
гриць	ɦrɪtsʲ
гродно	ɦrɔdnɔ
громико	ɦrɔmɪkɔ
грубешів	ɦrʊbɛʃʲiu̯
грузія	ɦruzʲijɐ
грушевський	ɦrʊʃɛu̯sʲkei̯
гуам	ɦʊam
гувер	ɦuʋer
гуляйполе	ɦʊlʲɐi̯pɔɫe
гуменюк	ɦʊmenʲuk
гунька	ɦunʲkɐ
гурченко	ɦurtʃenkɔ
гуцульщина	ɦʊtsulʲʃtʃenɐ
гілі	ɦʲilʲi
гірник	ɦʲirnɪk
гірське	ɦʲirsʲkɛ
гітега	ɦʲitɛɦɐ
д	d
давид	dɐʋɪd
давидович	dɐʋedɔʋetʃ
давидович	dɐʋɪdɔʋetʃ
давидів	dɐʋɪdʲiu̯
дагестан	dɐɦestan
дажбог	dɐʒbɔɦ
дакар	dɐkar
дакка	dakːɐ
даллас	daɫːɐs
дамаск	dɐmask
данелаг	dɐneɫaɦ
даниленко	dɐneɫɛnkɔ
данило	dɐneɫɔ
данилович	dɐnɪɫɔʋetʃ
данія	danʲijɐ
дар'я	darjɐ
дар'їн	darjin
дарина	dɐrɪnɐ
даринин	dɐrɪnen
дарій	darʲii̯
дахно	dɐxnɔ
дебальцеве	debalʲtseʋe
делавер	dɛɫɐʋer
денис	denɪs
денисенко	denesɛnkɔ
денисович	denɪsɔʋetʃ
денисів	denɪsʲiu̯
денізлі	denʲizʲlʲi
деражня	deraʒnʲɐ
дергачі	derɦɐtʃʲi
держдума	derʒdumɐ
джакарта	dʒɐkartɐ
джанкой	dʒɐnkɔi̯
джанкої	dʒɐnkɔji
джемілєв	dʒemʲilʲeu̯
джибуті	dʒebutʲi
джидда	dʒɪdːɐ
джонсон	dʒɔnsɔn
джорджтаун	dʒɔrdʒtaʊn
джорджія	dʒɔrdʒʲijɐ
джуба	dʒubɐ
джуно	dʒunɔ
дзвенислава	dzʋenesɫaʋɐ
дзвеняче	dzʋenʲatʃe
дзиґар	dzegar
дзюба	dzʲubɐ
дзюбенко	dzʲʊbɛnkɔ
дзядко	dzʲɐdkɔ
диканька	dekanʲkɐ
дмитренко	dmetrɛnkɔ
дмитро	dmetrɔ
дмитрович	dmɪtrɔʋetʃ
дмитрівна	dmɪtʲrʲiu̯nɐ
дніпр	dʲnʲipr
дніпра	dʲnʲipra
дніпре	dʲnʲipre
дніпро	dʲnʲiprɔ
дніпровщина	dʲnʲiprɔu̯ʃtʃenɐ
дніпрові	dʲnʲiprɔʋʲi
дніпродзержинськ	dʲnʲiprɔdzerʒɪnʲsʲk
дніпром	dʲnʲiprɔm
дніпропетровськ	dʲnʲiprɔpetrɔu̯sʲk
дніпропетровщина	dʲnʲiprɔpetrɔu̯ʃtʃenɐ
дніпрорудне	dʲnʲiprorudne
дніпру	dʲnʲipru
дніпрі	dʲnʲiprʲi
дністер	dʲnʲistɛr
добромиль	dɔbrɔmelʲ
добропілля	dɔbropʲilʲːɐ
довбуш	dɔu̯bʊʃ
довжанськ	dɔu̯ʒanʲsʲk
