abakha	aɓakʰa
bvumbuluka	bvuᵐbuɽuka
bvumbulula	bvuᵐbuɽuɽa
bvumbulutsa	bvuᵐbuɽutsa
bvumbwe	bvúᵐbʷe
bvuto	bvúto
bwana	ɓʷána
bwanali	ɓʷanáɽi
bwanamkubwa	ɓʷanamkúɓʷa
bwato	ɓʷató
bwereka	ɓʷeɽeká
chadza	tʃadza
chaka	tʃaká
chakudya	tʃákúɗʲá
chala	tʃaɽá
chalera	tʃaɽeɽa
chani	tʃáni
chavula	tʃavúɽa
cheza	tʃeza
chibwana	tʃiɓʷána
chichewa	tʃitʃewᵝá
chichiri	tʃitʃíɽi
chidindo	tʃidiⁿdo
chifu	tʃifú
chifukwa	tʃifukʷá
chifuwa	tʃifúwa
chigama	tʃigáma
chiganizo	tʃiganizo
chihana	tʃihána
chikaonda	tʃikaoⁿda
chikato	tʃikáto
chikope	tʃikópe
chikwawa	tʃikʷáwa
chikwi	tʃikʷí
chileka	tʃiɽéka
chilembwe	tʃiɽeᵐbʷe
chilima	tʃiɽima
chilipaine	tʃiɽipáine
chilomwe	tʃiɽomʷé
chilumpha	tʃíɽuᵐpʰa
chimanga	tʃímaᵑga
chimangafisi	tʃimaᵑgafisi
chimenya	tʃimeɲa
chindoko	tʃiⁿdokó
chingancheke	tʃiᵑgáⁿtʃeke
chinganga	tʃiᵑgaᵑga
chingerezi	tʃiᵑgeɽézi
chingoni	tʃiᵑgoní
chingwa	tʃiᵑgʷá
chinji	tʃíⁿdʒi
chinkhonde	tʃiᵑkʰóⁿde
chinkhwe	tʃiᵑkʷʰé
chintheche	tʃiⁿtʰétʃe
chinthu	tʃiⁿtʰu
chinyanja	tʃiɲaⁿdʒá
chinziri	tʃiⁿziɽí
chipala	tʃipaɽa
chipata	tʃipáta
chipatala	tʃipataɽa
chipatso	tʃipátso
chipfu	tʃipfú
chipwitikizi	tʃipʷitikízi
chiradzulu	tʃiɽádzuɽu
chirambo	tʃiɽáᵐbo
chirwa	tʃíɽʷa
chisale	tʃisaɽe
chisale	tʃisáɽe
chisena	tʃiséna
chishango	tʃiʃaᵑgo
chishango	tʃíʃaᵑgo
chisi	tʃísi
chisutu	tʃisútu
chiswahili	tʃisʷahíɽi
chiswankhono	tʃisʷaᵑkʰóno
chitamba	tʃitáᵐba
chithunzi	tʃitʰúⁿzi
chithunzithunzi	tʃitʰúⁿzítʰuⁿzí
chitipa	tʃitípa
chitokosi	tʃitókosi
chitonga	tʃitóᵑga
chitseko	tʃitseko
chitseko	tʃítseko
chitsiru	tʃitsíɽu
chitumbuka	tʃitúᵐbuka
chiuno	tʃiúno
chiwala	tʃiwaɽa
chiwemba	tʃiwᵝeᵐbá
chiwengo	tʃiwᵝéᵑgo
chiwindi	tʃíwᵝiⁿdi
chiyani	tʃijáni
chiyao	tʃijáo
chizulu	tʃizúɽu
chizumulu	tʃizúmuɽu
chizungu	tʃizuᵑgu
chomera	tʃómeɽa
chomveka	tʃóᶬvéká
chule	tʃuɽé
chuma	tʃumá
dedza	ɗedzá
dembo	ɗeᵐbo
dinda	diⁿda
disembala	diséᵐbaɽa
diso	ɗíso
doko	ɗoko
dokotala	dókotaɽa
domasi	ɗomasi
dothi	ɗotʰi
dotolo	dótoɽo
dowa	ɗowa
dula	duɽa
dula	ɗuɽa
duwa	ɗuwa
dwangwa	ɗʷáᵑgʷa
dya	ɗʲa
dza	dza
dzalanyama	dzaɽaɲama
dzanja	dzaⁿdʒa
dzaye	dzaje
dziko	dzíko
dzina	dzína
dzino	dzíno
dzira	dziɽa
dziwe	dziwᵝe
dzoole	dzooɽe
dzulo	dzuɽo
dzungu	dzúᵑgu
dzuwa	dzúwᵝa
edzi	édzi
ekwendeni	ekʷeⁿdéni
eni	ení
epulo	épuɽo
febuluwale	fébuɽuwaɽe
fisi	fisi
fisi	físi
fodya	fóɗʲa
fosholo	fóʃoɽo
fuko	fuko
fulu	fúɽu
fumbi	fuᵐbí
funsa	fuⁿsa
funso	fuⁿso
fupa	fúpa
galimoto	gáɽímoto
galu	gaɽú
gama	gamá
ganiza	ganiza
ganizo	ganizo
gawa	gawᵝa
gawo	gawᵝo
gogo	gogo
gogo	gógo
gogomole	gógómóɽe
golide	góɽiɗe
gondwa	góⁿdʷa
gondwe	góⁿdʷe
gongono	góᵑgono
gumbi	gúᵐbi
gunde	gúⁿde
gwape	gʷápe
gwengwe	gʷeᵑgʷe
gwengwe	gʷéᵑgʷe
hara	háɽa
harare	haɽaɽe
harare	haɽáɽe
harawa	haɽáwa
hatchi	hátʃʰi
hema	héma
holide	hóɽide
ife	ife
imfa	iᶬfá
impso	iᵐpsʲó
imvi	iᶬví
inde	iⁿdé
ine	ine
inki	íᵑki
insa	iⁿsá
inu	inu
itana	itana
itawa	itawᵝa
iwe	iwe
iwo	iwó
iyayi	íjají
iye	ijé
januwale	dʒánuwaɽe
jekete	dʒékete
jere	dʒéɽe
jombo	dʒóᵐbo
julaye	dʒuɽáje
juni	dʒúni
kabawi	kaɓawᵝí
kachali	katʃaɽi
kadzamira	kadzamiɽa
kadzidzi	kadzidzi
kadzitche	kadzítʃʰe
kakowa	kakówᵝa
kalaliki	kaɽáɽiki
kalata	káɽata
kaliati	kaɽiáti
kalonde	kaɽóⁿde
kalonga	kaɽoᵑgá
kaloti	káɽoti
kalulu	kaɽuɽú
kaluwa	kaɽúwa
kamanga	kamáᵑga
kambuku	kaᵐbukú
kampani	káḿpani
kamthunzi	kamtʰúⁿzi
kamudzi	kamudzi
kamuzu	kamuzu
kamwa	kamʷa
kamwana	kamʷaná
kamwendo	kamʷeⁿdo
kandulo	káⁿduɽo
kanema	kanemá
kanema	kanéma
kanengo	kaneᵑgo
kanungu	kanuᵑgú
kanungu	kánuᵑgu
kaomba	kaoᵐba
kapamba	kápaᵐba
kapinga	kapíᵑga
karonga	kaɽoᵑgá
kasitu	kasítu
kasungu	kasúᵑgu
katawa	katawᵝá
katekisima	katekísima
katundu	katúⁿdu
kaufiti	kaufíti
kaunda	kaúⁿda
kavalo	kaváɽo
kazembe	kazeᵐbe
khadabo	kʰáɗaɓo
khasu	kʰásu
khomo	kʰomo
khonje	kʰóⁿdʒe
khosi	kʰosi
khothi	kʰótʰi
khungu	kʰuᵑgú
khungu	kʰúᵑgu
khutu	kʰutú
khwangala	kʷʰáᵑgaɽa
khwapa	kʷʰapá
kiyi	kíji
kodi	koɗí
koma	koma
kulemeka	kuɽemeka
kulu	kúɽu
kumanja	kumaⁿdʒá
kumbuka	kuᵐbuka
kumbutsa	kuᵐbutsa
kumwenda	kumʷéⁿda
kunja	kuⁿdʒá
kuti	kuti
kuti	kutí
kwacha	kʷatʃa
lachinayi	ɽátʃínáji
lachisanu	ɽátʃísanu
lachitatu	ɽátʃítátu
lachiwiri	ɽátʃíwᵝíɽi
lamulungu	ɽámuɽuᵑgu
lasabata	ɽásaɓatá
lasabata	ɽásáɓata
lawi	ɽawᵝí
lemba	ɽeᵐba
lemba	ɽéᵐba
lengwe	ɽeᵑgʷe
lero	ɽeɽo
likoma	ɽikomá
likuni	ɽikuní
lilime	ɽiɽíme
lilongwe	ɽiɽoᵑgʷe
lima	ɽima
limbe	ɽíᵐbi
linthipe	ɽiⁿtʰipe
litete	ɽitete
liwonde	ɽiwóⁿde
lizulu	ɽizuɽu
lolemba	ɽóɽéᵐba
lota	ɽota
loto	ɽóto
loweruka	ɽówᵝéɽuka
luchenza	ɽutʃéⁿza
lusaka	ɽusaka
lusaka	ɽusáka
lutepo	ɽutépo
machinga	mátʃiᵑga
madzi	madzí
maele	maeɽe
mafuta	mafúta
maganga	magáᵑga
magazi	magazi
magetsi	magetsi
magombo	magóᵐbo
makhumula	makʰúmuɽa
malasha	máɽaʃa
malawi	maɽáwᵝi
malemu	maɽemú
malewezi	maɽéwezi
malichi	máɽitʃi
malili	maɽiɽi
malo	maɽó
malombe	maɽóᵐbe
malovu	maɽovu
malume	maɽúme
malungo	maɽuᵑgo
mamba	maᵐba
mamba	máᵐba
manda	maⁿda
manda	máⁿda
mangalande	máᵑgaɽaⁿde
mango	maᵑgó
mangochi	maᵑgotʃi
mankhwala	maᵑkʷʰáɽa
mapira	mapiɽa
masese	masese
masiye	masíje
mataya	mataja
matimati	matímati
matumula	matúmuɽa
mawa	máwᵝa
mawu	mawú
mayi	máji
mazengera	mazeᵑgeɽa
mbalame	ᵐbáɽame
mbale	mɓaɽé
mbale	ᵐbaɽe
mbathwa	mɓatʷʰá
mbewa	ᵐbewᵝa
mbewu	ᵐbéwu
mbidzi	ᵐbidzí
mbira	ᵐbíɽa
mbiya	ᵐbijá
mbolo	ᵐbóɽo
mbombo	mɓoᵐbó
mbululu	ᵐbuɽuɽu
mbumba	ᵐbúᵐba
mbusa	mɓúsa
mbuzi	ᵐbúzi
mchenga	mtʃeᵑga
mchere	mtʃéɽe
mchewa	mtʃewᵝá
mchinji	mtʃiⁿdʒí
mchira	mtʃíɽa
mchombo	mtʃóᵐbo
mdidi	mdídi
meyi	méji
mfemvu	ᶬféᶬvu
mfiti	mfíti
mfumu	mfúmu
mfuti	ᶬfuti
mgawi	mgáwi
mgodi	mgoɗi
mhango	mháᵑgo
mimba	míᵐba
miniti	míniti
misomali	misomáɽi
miyoyo	mijojo
mkaka	mkaka
mkandawire	mkaⁿdawíɽe
mkango	mkáᵑgo
mkazi	mkázi
mkochi	mkótʃi
mkodzo	mkodzo
mkondo	mkóⁿdo
mkono	mkóno
mkulu	mkúɽu
mkuta	mkuta
mkute	mkúte
mkuwa	mkúwa
mkuyu	mkúju
mleme	mɽéme
mlendo	mɽeⁿdó
mlimi	mɽimi
mloma	mɽóma
mlomo	mɽomo
mlungu	mɽuᵑgu
mmalawi	mmaɽáwᵝi
mmwenye	mmʷeɲe
mngelo	mᵑgéɽo
mnkhaka	mᵑkʰáka
mnkhwani	mᵑkʷʰani
mnyamata	mɲamatá
mnyamata	mɲámata
mnyanga	mɲáᵑga
modzi	módzi
moni	móni
moto	móto
mowa	mowᵝa
moyo	mojo
moyo	mójo
mozambiki	mozaᵐbíki
mozambique	mozaᵐbíki
mpando	mpaⁿdo
mpesa	mpesa
mphaka	ᵐpʰaká
mphatso	ᵐpʰátso
mphemvu	ᵐpʰéᶬvu
mphepo	ᵐpʰépo
mphere	ᵐpʰeɽe
mphesa	ᵐpʰesa
mphezi	ᵐpʰezi
mphika	mpʰika
mphindi	ᵐpʰiⁿdi
mphoyo	ᵐpʰojo
mphumi	ᵐpʰumí
mphuno	ᵐpʰuno
mphunzitsi	mpʰuⁿzitsi
mpinganjira	mpiᵑgaⁿdʒiɽa
mpira	mpiɽa
mponela	mponéɽa
msana	msána
msewu	msewu
msika	msika
msikiti	msikití
msilikali	msiɽikáɽi
msirikali	msiɽikáɽi
msosa	msósa
mtambo	mtaᵐbo
mtendere	mteⁿdeɽe
mtengo	mteᵑgo
mtengo	mtéᵑgo
mtenje	mteⁿdʒe
mthunzi	mtʰúⁿzi
mtima	mtíma
mtochi	mtʰotʃí
mtsempha	mtséᵐpʰa
mtsinje	mtsíⁿdʒe
mtua	mtua
mtumbuka	mtúᵐbuka
mtunthama	mtuⁿtʰama
mudzi	mudzi
muhiya	muhíja
mulanje	múɽaⁿdʒe
mulungu	muɽuᵑgu
muluzi	muɽúzi
munda	muⁿdá
munthali	muⁿtʰáɽi
munthu	muⁿtʰu
mutharika	mutʰáɽika
mutu	mutú
muula	muúɽa
muzu	muzu
mvula	mvúɽa
mvula	ᶬvúɽa
mvuu	ᶬvuú
mwa	mʷa
mwala	mʷaɽá
mwale	mʷáɽe
mwambi	mʷaᵐbí
mwana	mʷaná
mwanza	mʷaⁿzá
mwase	mʷase
mwase	mʷáse
mwavi	mʷaví
mwawi	mʷawᵝi
mwaye	mʷaje
mwayi	mʷaji
mwazi	mʷazí
mwendo	mʷeⁿdo
mwezi	mʷezí
mwini	mʷiní
mzati	mzati
mzibambo	mziɓaᵐbo
mzikiti	mzikití
mzimayi	mzimáji
mzimba	mziᵐba
mzime	mzime
mzimu	mzímu
mzinda	mziⁿda
mzungu	mzuᵑgu
mzuzu	mzúzu
namitete	namitéte
nathenje	natʰeⁿdʒé
nazombe	nazoᵐbe
ndalama	ⁿdaɽáma
ndani	ⁿdaní
ndege	ⁿdége
ndere	ⁿdeɽe
ndevu	ⁿdevu
ndimu	ⁿdimú
ndipo	ⁿdipó
ndirande	ⁿdíɽaⁿde
ndowa	ⁿdówa
ndulu	ⁿdúɽu
nduna	ⁿduná
ng'anga	ŋaᵑga
ng'anjo	ŋaⁿdʒo
ng'oma	ŋoma
ng'ombe	ŋoᵐbe
ng'ona	ŋona
ngakhale	ᵑgakʰaɽé
ngalawa	ᵑgaɽawá
ngamira	ᵑgamíɽa
ngozo	ᵑgózo
nguluwe	ᵑguɽuwᵝe
ngwazi	ᵑgʷázi
ngwee	ᵑgʷee
njala	ⁿdʒaɽa
njati	ⁿdʒáti
njerwa	ⁿdʒéɽʷa
njinga	ⁿdʒiᵑgá
njira	ⁿdʒiɽa
njiwa	ⁿdʒiwᵝa
njobvu	ⁿdʒobvu
njoka	ⁿdʒóka
njovu	ⁿdʒovu
njuchi	ⁿdʒútʃi
nkhama	ᵑkʰama
nkhandwe	ᵑkʰaⁿdʷe
nkhanga	ᵑkʰáᵑga
nkhani	ᵑkʰáni
nkhanu	ᵑkʰanú
nkhata	ᵑkʰáta
nkhoma	ᵑkʰóma
nkhono	ᵑkʰono
nkhope	ᵑkʰópe
nkhosa	ᵑkʰósa
nkhoswe	ᵑkʰosʷe
nkhotakota	ᵑkʰotakota
nkhuku	ᵑkʰúku
nkhukundembo	ᵑkʰúkúⁿdéᵐbo
nkhumba	ᵑkʰuᵐbá
nkhungu	ᵑkʰúᵑgu
nkhuni	ᵑkʰúni
nkhuyu	ᵑkʰúju
nkhwali	ᵑkʷʰaɽí
nkhwangwa	ᵑkʷʰáᵑgʷa
nkhwazi	ᵑkʷʰázi
nkosi	ᵑkósi
novembala	novéᵐbaɽa
nsabwe	ⁿsaɓʷe
nsanje	ⁿsaⁿdʒe
nsanje	ⁿsáⁿdʒe
nsanza	ⁿsaⁿza
nsapato	ⁿsápato
nsawawa	ⁿsáwawa
nsenjere	ⁿseⁿdʒeɽe
nsidze	ⁿsídze
nsima	ⁿsíma
nsomba	ⁿsóᵐba
nsongo	ⁿsoᵑgó
nswala	ⁿsʷáɽa
ntaba	ⁿtaɓa
ntchefu	ⁿtʃʰefú
ntchentche	ⁿtʃʰéⁿtʃʰe
ntcheu	ⁿtʃʰewú
ntchisi	ⁿtʃʰisí
ntchito	ⁿtʃʰíto
nthano	ⁿtʰano
nthara	ⁿtʰáɽa
nthawi	ⁿtʰáwᵝi
nthenga	ⁿtʰeᵑga
nthochi	ⁿtʰotʃí
nthowitowi	ⁿtʰowᵝitowᵝi
nungu	nuᵑgú
nyale	ɲáɽe
nyalubwe	ɲaɽuɓʷe
nyalugwe	ɲaɽugʷe
nyama	ɲama
nyamalikiti	ɲamaɽikiti
nyangulu	ɲaᵑgúɽu
nyani	ɲaní
nyanja	ɲaⁿdʒá
nyasalande	ɲásaɽaⁿde
nyasulu	ɲasúɽu
nyemba	ɲéᵐba
nyenga	ɲeᵑgá
nyenyezi	ɲéɲezi
nyenyezi	ɲéɲezí
nyika	ɲíka
nyirenda	ɲiɽéⁿda
nyirongo	ɲiɽóᵑgo
nyumba	ɲuᵐbá
nyundo	ɲuⁿdo
nyuzi	ɲúzi
nzeru	ⁿzeɽú
ofesi	ófesi
ogasiti	ógasiti
okutobala	okutóbaɽa
ola	óɽa
paliani	paɽíani
pansi	paⁿsí
patsa	patsa
patsira	patsiɽa
pereka	peɽeka
pfumbi	pfuᵐbí
pfupa	pfúpa
phala	pʰaɽa
phalombe	pʰaɽoᵐbé
phapo	pʰapo
phasa	pʰása
phazi	pʰazí
phika	pʰika
phiko	pʰiko
phingo	pʰíᵑgo
phiri	pʰiɽi
phiri	pʰíɽi
phoya	pʰoja
phulusa	pʰuɽusa
phunzitsa	pʰuⁿzitsá
phwetekere	pʷʰetekeɽe
poto	poto
rukuru	ɽukúɽu
rumphi	ɽúᵐpʰi
sabata	saɓatá
sabata	sáɓata
sadaka	saɗáka
sadulo	sáɗuɽo
seka	seka
senga	séᵑga
sepitembala	sepitéᵐbaɽa
shehe	ʃéhe
shire	ʃíɽe
shopo	ʃópo
sibande	siɓáⁿde
sing'anga	síŋaᵑga
singano	siᵑgáno
sitolo	sitóɽo
soche	sotʃí
soko	soko
songwe	soᵑgʷé
songwe	sóᵑgʷe
sopo	sópo
sumbulere	súᵐbúɽeɽe
tambala	taᵐbaɽa
tanzania	taⁿzánia
tate	taté
tawuni	táwuni
tchalitchi	tʃʰáɽitʃʰi
tchipa	tʃʰipa
tchipha	tʃʰipʰa
tembo	téᵐbo
tete	téte
thako	tʰáko
theba	tʰéɓa
theu	tʰéu
thindwa	tʰíⁿdʷa
thole	tʰoɽe
thole	tʰóɽe
thumba	tʰuᵐba
thyolo	tʲʰóɽo
tiana	tianá
timidzi	timidzi
tinungu	tinuᵑgú
tiyi	tíji
tomato	tomáto
tsamba	tsaᵐba
tsekera	tsekeɽa
tsekwe	tsekʷé
tsiku	tsíku
tsoka	tsoka
tsopano	tsópanó
tsopano	tsópánó
tulo	tuɽó
ubatizo	uɓatizo
ubusa	uɓúsa
ubwana	uɓʷaná
uchi	utʃí
udzu	udzú
udzudzu	udzudzú
ufa	ufá
ufiti	ufíti
uka	úka
ula	úɽa
ulaya	uɽajá
ulaya	uɽája
ulendo	uɽeⁿdó
ulesi	uɽesí
umba	uᵐba
umunthu	umuⁿtʰú
unduna	uⁿduná
uphunzitsi	upʰuⁿzitsi
utawaleza	utáwáɽeza
utitiri	utitiɽí
utsi	utsí
utsiru	utsíɽu
uvuni	úvuni
vina	vina
vumbula	vuᵐbuɽa
vumbuluka	vuᵐbuɽuka
vumbulula	vuᵐbuɽuɽa
vumbulutsa	vuᵐbuɽutsa
vuto	vúto
vwaza	vʷazá
wailesi	wáiɽesi
wakuba	wákúɓá
wayilesi	wájiɽesi
wenela	weneɽá
weruka	wᵝeɽuka
wimbe	wiᵐbe
windo	wíⁿdo
wira	wᵝiɽa
wiritsa	wᵝiɽitsa
yankha	jaᵑkʰa
yankho	jaᵑkʰo
yera	jeɽa
zaka	zaká
zala	zaɽá
zalewa	zaɽewá
zamba	zaᵐba
zambezi	zaᵐbezi
zambia	záᵐbia
zana	zána
zenera	zenéɽa
zidindo	zidiⁿdo
zifuwa	zifúwa
zigama	zigáma
zikato	zikáto
zikomo	zíkomo
zikope	zikópe
zikwi	zikʷí
zimbabwe	ziᵐbáɓʷe
zingani	ziᵑgani
zinthu	ziⁿtʰu
zinziri	ziⁿziɽí
zipatso	zipátso
zitamba	zitáᵐba
zitsiru	zitsíɽu
ziuno	ziúno
ziwala	ziwaɽa
zomba	zoᵐbá
zomera	zómeɽa
zulu	zúɽu
ŵ	β̞
