ಅ	ɐ
ಏಣಿ	eːɳi
ಏನು	eːn̪u
ಏಪ್ರಿಲ್	eːpɾil
ಏರೋಪ್ಲೇನ್	eːɾoːpleːn̪
ಏಳು	eːɭu
ಐ	ɐi̯
ಐತಿ	ɐi̯t̪i
ಐದು	ɐi̯d̪u
ಒಂಟೆ	oɳʈe
ಒಂದು	on̪d̪u
ಒಂಬತ್ತು	ombɐt̪t̪u
ಒಕ್ಕೂಟ	okkuːʈɐ
ಒಗೆ	oɡe
ಒಣ	oɳɐ
ಒದ್ದೆ	od̪d̪e
ಒರಕು	oɾɐku
ಒರಸು	oɾɐsu
ಒಲವು	olɐʋu
ಒಲೆ	ole
ಒಲೆ	wɑle
ಒಳಗೆ	oɭɐɡe
ಒಳ್ಳೆ	oɭɭe
ಓಡ	oːɖɐ
ಓಡು	oːɖu
ಓತಿ	oːt̪i
ಓದು	oːd̪u
ಓದುಗೆ	oːd̪uɡe
ಔ	ɐu̯
ಕಂಕುಳ	kɐŋkuɭɐ
ಕಂಚುಳಿಕೆ	kɐɲtʃuɭike
ಕಕ್ಕು	kɐkku
ಕಕ್ಕುಲತೆ	kɐkkulɐt̪e
ಕಕ್ಕೆ	kɐkke
ಕಚ್ಚು	kɐtʃtʃu
ಕಟು	kəʈu
ಕಟ್ಟರಸು	kɐʈʈɐɾɐsu
ಕಟ್ಟು	kɐʈʈu
ಕಡಲಕಳೆ	kɐɖɐlɐkɐɭe
ಕಡಲಜೊಂಡು	kɐɖɐlɐdʒoɳɖu
ಕಡಲು	kɐɖɐlu
ಕಡಿ	kɐɖi
ಕಡೆಗೆ	kɐɖeɡe
ಕಡ್ಡಿ	kɐɖɖi
ಕಣ್ಗೆವೆ	kɐɳɡeʋe
ಕಣ್ಣೀರು	kɐɳɳiːɾu
ಕಣ್ಣು	kɐɳɳu
ಕತ್ತರಿಸು	kɐt̪t̪ɐɾisu
ಕತ್ತಿ	kɐt̪t̪i
ಕತ್ತೆ	kɐt̪t̪e
ಕನಸು	kɐn̪ɐsu
ಕನ್ನಡ	kɐn̪n̪ɐɖɐ
ಕನ್ನಡಿಗರು	kɐn̪n̪ɐɖiɡɐɾu
ಕನ್ಯೆ	kənje
ಕಪ್ಪು	kɐppu
ಕಫ	kapha
ಕಬ್ಬಿಣ	kɐbbiɳɐ
ಕಬ್ಬು	kɐbbu
ಕರಡಿ	kɐɾɐɖi
ಕರಿಯ	kɐɾijɐ
ಕರು	kəɾu
ಕರುಳು	kɐɾuɭu
ಕರೆ	kɐɾe
ಕರ್ನಾಟಕ	kɐɾn̪aːʈɐkɐ
ಕಲಬುರಗಿ	kɐlɐbuɾɐɡi
ಕಲ್ಲಂಗಡಿ	kɐllɐŋɡɐɖi
ಕಲ್ಲು	kɐllu
ಕಳ್ಳ	kɐɭɭɐ
ಕಾಗದ	kaːɡɐd̪ɐ
ಕಾಗೆ	kaːɡe
ಕಾಡು	kaːɖu
ಕಾಣು	kaːɳu
ಕಾಪಾಡು	kaːpaːɖu
ಕಾಪು	kaːpu
ಕಾಮನಬಿಲ್ಲು	kaːmɐn̪ɐbillu
ಕಾಯಿ	kaːji
ಕಾಯಿಲೆ	kaːjile
ಕಾರ್ತಿಕೇಯ	kaːɾt̪ikeːjɐ
ಕಾಸು	kaːsu
ಕಿಚ್ಚು	kitʃtʃu
ಕಿತ್ತಳೆ	kit̪t̪ɐɭe
ಕಿರಿಯ	kiɾijɐ
ಕಿವಿ	kiʋi
ಕುಕ್ಕುರ	kukkuɾɐ
ಕುಠಾರ	kuʈʰaːɾɐ
ಕುಡಿ	kuɖi
ಕುಣಿ	kuɳi
ಕುಬೇರ	kubeːɾɐ
ಕುರಿ	kuɾi
ಕುಳಿರ್	kuɭiɾ
ಕುಸುಬು	kusubu
ಕುಸುವು	kusuʋu
ಕೂಡಿಕೆ	kuːɖike
ಕೂರು	kuːɾu
ಕೂಸು	kuːsu
ಕೆಟ್ಟ	keʈʈɐ
ಕೆರೆ	keɾe
ಕೆಲ	kelɐ
ಕೆಲವು	kelɐʋu
ಕೇರಳ	keːɾɐɭɐ
ಕೇಳು	keːɭu
ಕೇಶ	keːʃɐ
ಕೈ	kɐɪ̯
ಕೊಂಚ	koɲtʃɐ
ಕೊಂಡ	koɳɖɐ
ಕೊಂಬು	kombu
ಕೊಟ್ಟಿಗೆ	kɔʈʈɪɡe
ಕೊಡು	koɖu
ಕೊಡೆ	koɖe
ಕೊತ್ತಂಬರಿ	kot̪t̪ɐmbɐɾi
ಕೊಬ್ಬು	kobbu
ಕೊಯಿತ	kojit̪ɐ
ಕೊಳ	koɭɐ
ಕೊಳಕು	koɭɐku
ಕೊಳೆತ	koɭet̪ɐ
ಕೋಟಿ	koːʈi
ಕೋಟೆ	koːʈe
ಕೋಣ	koːɳɐ
ಕೋಮಲ	koːmɐlɐ
ಕೋರಿಕೆ	koːɾike
ಕೋಳಿ	koːɭi
ಕೋವಿ	koːʋi
ಕ್ರಿಯಾಪದ	kɾijaːpɐd̪ɐ
ಕ್ರಿಸ್ಮಸ್	kɾismɐs
ಕ್ರೀಡೆ	kɾiːɖe
ಕ್ಷಣ	kʃɑɳɑ
ಗಂಡ	ɡɐɳɖɐ
ಗಡಿ	ɡɐɖi
ಗತ	ɡɑt̪ɑ
ಗಬ್ಬ	ɡɑbbɑ
ಗರಿ	ɡɐɾi
ಗಾಜು	ɡaːdʒu
ಗಾಡಿ	ɡaːɖi
ಗಾಳಿ	ɡaːɭi
ಗಿಂಡಿ	ɡiɳɖi
ಗಿಡ	ɡiɖɐ
ಗಿಡುಗ	ɡiɖuɡɐ
ಗಿಡ್ಡ	ɡiɖɖɐ
ಗಿಣ್ಣಿಲು	ɡiɳɳilu
ಗುಂಡು	ɡuɳɖu
ಗುಂಪು	ɡumpu
ಗುಟ್ಟು	ɡuʈʈu
ಗುಡಿ	ɡuɖi
ಗುರಿ	ɡuɾi
ಗುರುವಾರ	ɡuɾuʋɑːɾə
ಗುಲಾಬಿ	ɡulaːbi
ಗೆಂಟು	ɡeɳʈu
ಗೆಣಸು	ɡeɳɐsu
ಗೆಲುವು	ɡeluʋu
ಗೆಲ್ಲು	ɡellu
ಗೆಳೆತನ	ɡeɭet̪ɐn̪ɐ
ಗೆಳೆಯ	ɡeɭejɐ
ಗೋಡೆ	ɡoːɖe
ಗೋಪ	ɡoːpɐ
ಗೋರಂಟಿ	ɡoːɾɐɳʈi
ಗೌಡ	ɡɐu̯ɖɐ
ಗ್ರಹ	ɡɾɐhɐ
ಗ್ರಾಮ	ɡɾaːmɐ
ಙ	ŋɐ
ಚಂದ್ರ	tʃɐn̪d̪ɾɐ
ಚಂದ್ರಶೇಖರ	tʃɐn̪d̪ɾɐʃeːkʰɐɾɐ
ಚಂದ್ರಹಾಸ	tʃɐn̪d̪ɾɐhaːsɐ
ಚರ್ಚು	tʃɐɾtʃu
ಚಲ್ಲು	tʃɐllu
ಚಿಕ್ಕ	tʃikkɐ
ಚಿಕ್ಕಮಗಳೂರು	tʃikkɐmɐɡɐɭuːɾu
ಚೀಪು	tʃiːpu
ಚುಕ್ಕೆ	tʃukke
ಚೆನ್ನಾಗಿ	tʃen̪n̪aːɡi
ಚೆಲುವು	tʃeluʋu
ಚೇಳು	tʃeːɭu
ಚೊರ	tʃoɾɐ
ಚೋರ	tʃoːɾɑ
ಛತ್ರಿ	tʃʰɐt̪ɾi
ಜಗಲಿ	dʒɐɡɐli
ಜಡಧಿ	dʒɐɖɐd̪ʱi
ಜಡೆ	dʒɐɖe
ಜನ	dʒɐn̪ɐ
ಜನವರಿ	dʒɐn̪ɐʋɐɾi
ಜರಡಿ	dʒəɾəɖɪ
ಜಾಯಿಲ	dʒaːjilɐ
ಜಾಸ್ತಿ	dʒaːst̪i
ಜಾಹೀರಾತು	dʒaːhiːɾaːt̪u
ಜೀರಳೆ	dʒiːɾɐɭe
ಜೀವ	dʒiːʋɐ
ಜೂಜು	dʒuːdʒu
ಜೂನ್	dʒuːn̪
ಜೇನು	dʒeːnu
ಜೊತೆ	dʒot̪e
ಜ್ವಾಲಾಮುಖಿ	dʒʋaːlaːmukʰi
ಞ	ɲa
ಟಿಟ್ಟಿಭ	ʈiʈʈibʱɐ
ಡಕೋಟಾ	ɖɐkoːʈaː
ಡಿಸೆಂಬರ್	ɖisembɐɾ
ತಂಡ	t̪ɐɳɖɐ
ತಂಡವಾಳ	t̪ɐɳɖɐʋaːɭɐ
ತಕ್ಕಾಳಿ	t̪ɐkkaːɭi
ತಡೆ	t̪ɐɖe
ತಣ್ಣೀರು	t̪ɐɳɳiːɾu
ತನುವು	t̪ənuʋu
ತಲೆ	t̪ɐle
ತಾಯಿ	t̪aːji
ತಿಂಗಳು	t̪iŋɡɐɭu
ತಿಂಡಿ	t̪iɳɖi
ತಿನ್ನು	t̪in̪n̪u
ತಿರುಗು	t̪iɾuɡu
ತಿಳಿ	t̪iɭi
ತುಂಡು	t̪uɳɖu
ತುಂಬು	t̪umbu
ತುಟಿ	t̪uʈi
ತುಪಾಕಿ	t̪upaːki
ತುಮಕುರು	t̪umɐkuɾu
ತುಳು	t̪uɭu
ತೂಕ	t̪uːkɐ
ತೃಷ್ಣೆ	t̪ɾuʃɳe
ತೆಂಕಣ	t̪eŋkɐɳɐ
ತೆಳು	t̪eɭu
ತೇಗ	t̪eːɡɐ
ತೇರು	t̪eːɾu
ತೇಲು	t̪eːlu
ತೊಂದರೆ	t̪on̪d̪ɐɾe
ತೊಗಟೆ	t̪oɡɐʈe
ತೊಡೆ	t̪oɖe
ತೊರೆ	t̪oɾe
ತೊಳೆ	t̪oɭe
ತೋಕೆ	t̪oːke
ತೋಟ	t̪oːʈɐ
ತೋಡು	t̪oːɖu
ತೋಪು	t̪oːpu
ತೋರಿಸು	t̪oːɾisu
ತೋಳ	t̪oːɭɐ
ದಪ್ಪ	d̪ɐppɐ
ದಹನ	d̪ɐhɐn̪ɐ
ದಾಟು	d̪aːʈu
ದಾರಿ	d̪aːɾi
ದಿಕ್ಕು	d̪ɪkku
ದಿನ	d̪in̪ɐ
ದಿನಾಂಕ	d̪in̪aːŋkɐ
ದೀಪಾವಳಿ	d̪iːpaːʋɐɭi
ದುಃಖ	d̪uhkʰɐ
ದುಡ್ಡು	d̪uɖɖu
ದುಷ್ಠ	d̪uʂʈʰɐ
ದುಹಿತೆ	d̪uhit̪e
ದೇವಸ್ಥಾನ	d̪eːʋɐst̪ʰaːn̪ɐ
ದೇವಿ	d̪eːʋi
ದೇಶ	d̪eːʃɐ
ದೇಹ	d̪eːɦɑ
ದೊಡ್ಡ	d̪oɖɖɐ
ದೊನ್ನೆ	d̪onne
ದೊಮ್ಮೆ	d̪omme
ದೋಣಿ	d̪oːɳi
ದೋಸೆ	d̪oːs̪e
ದ್ಯುತಿಸಂಶ್ಲೇಷಿಸು	d̪jut̪isɐmʃleːʂisu
ದ್ಯೂತ	d̪juːt̪ɑ
ಧನ	d̪ʱɐn̪ɐ
ಧನುಸ್ಸು	d̪ʱɐn̪ussu
ಧ್ವನಿ	d̪ʱʋɐn̪i
ನಂಜು	n̪ɐɲdʒu
ನಂಬಿಕೆ	n̪ɐmbike
ನಗರ	n̪ɐɡɐɾɐ
ನಗು	n̪ɐɡu
ನಟ	n̪ɐʈɐ
ನಟಿ	n̪ɐʈi
ನಡತೆ	n̪ɐɖɐt̪e
ನಡೆ	n̪ɐɖe
ನನಸು	n̪ɐn̪ɐsu
ನನ್ನಿ	n̪ɐn̪n̪i
ನಪುಂಸಕ	n̪ɐpumsɐkɐ
ನಪುಂಸಕಲಿಂಗ	n̪ɐpumsɐkɐliŋɡɐ
ನರಿ	n̪ɐɾi
ನಲ್	n̪ɐl
ನವಿಲು	n̪ɐʋilu
ನವೆಂಬರ್	n̪ɐʋembɐɾ
ನಾಡು	n̪aːɖu
ನಾನು	n̪aːn̪u
ನಾಮಪದ	n̪aːmɐpɐd̪ɐ
ನಾಯಿ	n̪aːji
ನಾಲಗೆ	n̪aːlɐɡe
ನಾಲಿಗೆ	n̪aːliɡe
ನಾಲ್ಕು	n̪aːlku
ನಾಳು	n̪aːɭu
ನಾಳೆ	n̪aːɭe
ನಾವು	n̪aːʋu
ನಾಶ	nɑːʃɑ
ನಾಷ್ಟಾ	n̪aːʂʈaː
ನಿಘಂಟು	n̪iɡʱɐɳʈu
ನಿಜ	n̪idʒɐ
ನಿಜವಾಗಿ	n̪idʒɐʋaːɡi
ನಿಡು	n̪iɖu
ನಿದ್ದೆ	n̪id̪d̪e
ನಿದ್ರೆ	n̪id̪ɾe
ನಿಲ್ದಾಣ	n̪ild̪aːɳɐ
ನಿಲ್ಲು	n̪illu
ನಿಶ್ಚಯ	n̪iʃtʃɐjɐ
ನಿಷೇಧ	n̪iʂeːd̪ʱɐ
ನೀನು	n̪iːn̪u
ನೀರು	n̪iːɾu
ನೀಲಿ	n̪iːli
ನೀವು	n̪iːʋu
ನುಡಿ	n̪uɖi
ನುಣ್ಣಗೆ	n̪uɳɳɐɡe
ನೂಕು	n̪uːku
ನೂರು	n̪uːɾu
ನೂಲು	n̪uːlu
ನೆತ್ತರು	n̪et̪t̪ɐɾu
ನೆನಪು	n̪en̪ɐpu
ನೆರಳು	n̪eɾɐɭu
ನೆಲ	n̪elɐ
ನೆಲಗುಳ್ಳ	n̪elɐɡuɭɭɐ
ನೇಗಿಲು	n̪eːɡilu
ನೇಣು	n̪eːɳu
ನೇರ	n̪eːɾɐ
ನೇಸರು	n̪eːsɐɾu
ನೊಣ	n̪oɳɐ
ನೋಟ	n̪oːʈɐ
ನೋಡು	n̪oːɖu
ನೋವು	n̪oːʋu
ಪಂಡಿತ	pəɳɖit̪ɑ
ಪಂಣು	pɐɳɳu
ಪಕ್ಕ	pɐkkɐ
ಪಚ್ಚೆ	pɐtʃtʃe
ಪಟೀರ	pɐʈiːɾɐ
ಪಟ್ಟಡೆ	pɐʈʈɐɖe
ಪಟ್ಟಣ	pɐʈʈɐɳɐ
ಪಡು	pɐɖu
ಪಣತಿ	pɐɳɐt̪i
ಪದ	pɐd̪ɐ
ಪರಿಣಾಮ	pɐɾiɳaːmɐ
ಪರ್ಣ	parɳa
ಪಲ್ಲಿ	pɐlli
ಪಶು	pɐʃu
ಪಾಕ	pɑːkɑ
ಪಾಪ	paːpɐ
ಪಿತ್ತ	pit̪t̪ɐ
ಪಿರಂಗಿ	piɾɐŋɡi
ಪಿಳ್ಳೆ	piɭɭe
ಪುಟ	puʈɐ
ಪುಡಿ	puɖi
ಪುತ್ರ	put̪ɾɑ
ಪುಲ್ಲಿಂಗ	pulliŋɡɐ
ಪೂರ್ವ	puːɾʋɐ
ಪೆಂಡತಿ	peɳɖɐt̪i
ಪ್ರಾಣ	pɾaːɳɐ
ಪ್ರಾಣಿ	pɾaːɳi
ಪ್ರಾತಃಕಾಲ	pɾaːt̪ɐhkaːlɐ
ಪ್ರಿಯ	pɾijɑ
ಪ್ರೀತಿ	pɾiːt̪i
ಫೆಬ್ರವರಿ	pʰebɾɐʋɐɾi
ಬಂಜು	bɐɲdʒu
ಬಂಡಿ	bɐɳɖi
ಬಂದಿದ್ದಾಳೆ	bɐn̪d̪id̪d̪aːɭe
ಬಂದೂಕು	bɐn̪d̪uːku
ಬಡಿ	bɐɖi
ಬಣ್ಣ	bɐɳɳɐ
ಬದನೆ	bɐd̪ɐn̪e
ಬದುಕು	bɐd̪uku
ಬಪ್ಪುಕೆ	bɐppuke
ಬಪ್ಪುಲೆ	bɐppule
ಬಯಕೆ	bɐjɐke
ಬಯಲು	bɐjɐlu
ಬಯಸು	bɐjɐsu
ಬರಲು	bɐɾɐlu
ಬರು	bɐɾu
ಬರೆಕೋಲು	bɐɾekoːlu
ಬಲ	bɐlɐ
ಬಲಮರ್ದು	bɐlɐmɐɾd̪u
ಬಳಕೆ	bɐɭɐke
ಬಳಸು	bɐɭɐsu
ಬಸ್ತ	bɐst̪ɐ
ಬಾಗಿಲು	baːɡilu
ಬಾಡು	baːɖu
ಬಾಣಂತಿ	baːɳɐn̪t̪i
ಬಾಯಿ	baːji
ಬಾಲ	baːlɐ
ಬಾಳು	baːɭu
ಬಾವಿ	baːʋi
ಬಿಡು	biɖu
ಬಿತ್ತು	bit̪t̪u
ಬಿದು	bid̪u
ಬಿಲ್ಗಾರ	bilɡaːɾɐ
ಬಿಲ್ಲು	billu
ಬಿಳಿ	biɭi
ಬಿಸಿಲು	bisilu
ಬೀಜ	biːdʒɑ
ಬೀಳು	biːɭu
ಬುಧವಾರ	bud̪ʰəʋɑːɾə
ಬೂದು	buːd̪u
ಬೃಹಸ್ಪತಿ	bɾihɐspɐt̪i
ಬೆಂಕಿ	beŋki
ಬೆಂಗಳೂರು	beŋɡɐɭuːɾu
ಬೆಂಬಲ	bembɐlɐ
ಬೆಕ್ಕು	bekku
ಬೆಚ್ಚ	betʃtʃɐ
ಬೆಟ್ಟ	beʈʈɐ
ಬೆನ್ನು	ben̪n̪u
ಬೆಲೆ	bele
ಬೆಲ್ಲ	bellɐ
ಬೆಳಕು	beɭɐku
ಬೆಳ್ಳ	beɭɭɐ
ಬೆಳ್ಳಿ	beɭɭi
ಬೇಟೆಯಾಡು	beːʈejaːɖu
ಬೇರೆ	beːɾe
ಬೈಂಚೈ	bɐi̯ɲtʃɐi̯
ಭತ್ತ	bʱɐt̪t̪ɐ
ಭಯ	bʱɐjɐ
ಭರ್ಜಿ	bʱɐɾdʒi
ಭಸ್ಮ	bʱɐsmɐ
ಭಾಗ	bʱɑːɡɑ
ಭಾನುವಾರ	bʰɑːn̪uʋɑːɾə
ಭಾರ	bʱaːɾɐ
ಭಾಷೆ	bʱaːʂe
ಭೇದ	bʱeːd̪ɐ
ಮಂಗಳ	mɐŋɡɐɭɐ
ಮಂಗಳವಾರ	mə̃ɡəɭəʋɑːɾə
ಮಂಜುಗೆಡ್ಡೆ	mɐɲdʒuɡeɖɖe
ಮಂಜುಸುರಿತ	mɐɲdʒusuɾit̪ɐ
ಮಂಡಿ	mɐɳɖi
ಮಂಡೆ	mɐɳɖe
ಮಕ್ಕ	makːɑ
ಮಕ್ಕೊ	makːɔ
ಮಗ	mɑɡɑ
ಮಗಳು	mɐɡɐɭu
ಮಗ್ಗ	mɐɡɡɐ
ಮಡದಿ	mɐɖɐd̪i
ಮಣಿ	məɳi
ಮತ್ತು	mɐt̪t̪u
ಮದುವೆ	mɐd̪uʋe
ಮದ್ದು	mɐd̪d̪u
ಮದ್ದುಗ	mɐd̪d̪uɡɐ
ಮಧುರ	məd̪ʱuɾɑ
ಮಧ್ಯ	məd̪ʱjɑ
ಮಧ್ಯಾಹ್ನ	mɐd̪ʱjaːhn̪ɐ
ಮನ	mɐn̪ɐ
ಮನಸು	mənəsu
ಮನಸ್ಸು	mɐn̪ɐssu
ಮನೆ	mɐn̪e
ಮಯ್ಲ	mɐjlɐ
ಮರ	mɐɾɐ
ಮರಕತ	mɐɾɐkɐt̪ɐ
ಮರಗೆಣಸು	mɐɾɐɡeɳɐsu
ಮರಳು	mɐɾɐɭu
ಮಲಯಾಳಂ	mələjɑːɭəm
ಮಲೆ	mɐle
ಮಳೆ	mɐɭe
ಮಳೆಗಾಲ	mɐɭeɡaːlɐ
ಮಳೆಬಿಲ್ಲು	mɐɭebillu
ಮಳೆಯಳತೆ	mɐɭejɐɭɐt̪e
ಮಳೆಸುರಿತ	mɐɭesuɾit̪ɐ
ಮಹಾಭಾರತ	mɐhaːbʱaːɾɐt̪ɐ
ಮಹಾರಾಯ	mɐhaːɾaːjɐ
ಮಹಾರಾಯತಿ	mɐhaːɾaːjɐt̪i
ಮಹಾರಾಯರೇ	mɐhaːɾaːjɐɾeː
ಮಹೇಂದ್ರ	mɐheːn̪d̪ɾɐ
ಮಾಂಸ	maːmsɐ
ಮಾಡು	maːɖu
ಮಾತನಾಡು	maːt̪ɐn̪aːɖu
ಮಾತು	maːt̪u
ಮಾತ್ರ	mɑːt̪ɾɑ
ಮಾಧವ	mɑːd̪ʱəʋɑ
ಮಾನವ	maːn̪ɐʋɐ
ಮಾರಿ	maːɾi
ಮಾರು	maːɾu
ಮಾರ್ಗ	maːɾɡɐ
ಮಾರ್ಚ್	maːɾtʃ
ಮಾವ	maːʋɐ
ಮಾವಿನಕಾಯಿ	maːʋin̪ɐkaːji
ಮಾವಿನಹಣ್ಣು	maːʋin̪ɐhɐɳɳu
ಮಾವು	maːʋu
ಮಿಂಚು	miɲtʃu
ಮಿಂಬಲೆ	mimbɐle
ಮಿತ್ರ	mit̪ɾɐ
ಮೀನು	miːn̪u
ಮೀಸೆ	miːse
ಮುಂಜಾನೆ	muɲdʒaːn̪e
ಮುಖ	mukʰɑ
ಮುಗಿಲು	muɡilu
ಮುಗ್ಧ	muɡd̪ʱɑ
ಮುನಿಸು	mun̪isu
ಮುನ್ನೋಟ	mun̪n̪oːʈɐ
ಮುಳ್ಳು	muɭɭu
ಮೂಕ	muːkɑ
ಮೂಗು	muːɡu
ಮೂಢ	muːɖʱɑ
ಮೂತ್ರ	muːt̪ɾɑ
ಮೂರು	muːɾu
ಮೂರ್ಖ	muːɾkʰɑ
ಮೂಲ	muːlɐ
ಮೂಸು	muːsu
ಮೃತ್ಯು	mɾʊt̪ju
ಮೆಂತೆ	men̪t̪e
ಮೆಂಥೆಯ	men̪t̪ʰejɐ
ಮೆದುಳು	med̪uɭu
ಮೇ	meː
ಮೇಕೆ	meːke
ಮೇಯು	meːju
ಮೇರಿ	meːɾi
ಮೇಲೆ	meːle
ಮೇಷ	meːʂɐ
ಮೇಷ್ಟ್ರು	meːʂʈɾu
ಮೊಂಡ	moɳɖɐ
ಮೊಂಡು	moɳɖu
ಮೊಲೆ	mole
ಮೊಸರು	mosɐɾu
ಮೊಸಳೆ	mosɐɭe
ಯಂತ್ರ	jɐn̪t̪ɾɐ
ಯಕ್ಷ	jɑkʃɑ
ಯಶಸ್ಸು	jɐʃɐssu
ಯಾ	jaː
ಯಾರು	jaːɾu
ಯಾವಾಗ	jaːʋaːɡɐ
ಯುಕ್ತ	jʊkt̪ɑ
ಯುರೋಪ್	juɾoːp
ಯೋಚಿಸು	joːtʃisu
