0k8	ʊkːɑː
cars	kɑːɾs̪
cartin	kɐɾt̪iɳ
casalesi	gɑːsɑːleːsiː
cascino	ʈɛːʃiːnoː
cat	kɐt̪
cavatelli	ʈʌvɐt̪eːli
cbd	tʃɛːbɛːdiː
ceo	ʈeːo
cert	tsɛɾt
chain	tɕai̯n̪
chance	tʃanʈe
cheatin	tʃeːt̪in̪
checkin	tʃekːiːn
cheesed	tʃiːs̪eːd̪
cheese	tʃiːs
cheri	ʈʃeɾi
cherry	tʃeɾːi
chica	tʃiːkɑː
chickies	tʃikːiːs
chickie	tʃiki
chief	ʧʰiːf
child	ʧɪlː
chino	tʃiːnoː
chippy	tʃipːi
choice	ʧɔːj
chomped	ʈʂompeːd̪
choosers	ʈuːsɛr
chuckles	tʃʌkːl̪e
chuckling	tʃʌkːlɪŋ
ciao	tsʰaːo
cib-1	tʃiɓu
cimino	ʈʃiːmiːnoː
circlin	ʈʃɪɾʈʃiɳ
clamouring	kl̪əmoːɾiŋ
clanging	klɑːŋgi
clangs	klɑːŋs
clattering	klɑːt̪ːɾiŋːgʌ
clatters	klɑːt̪ːɛr̪ːʌ
clinking	klɪŋkɪŋ
clinks	klɪŋks
clopping	klɒpɪŋ
cloudless	klau̯d̪l̪es
clyde	ʃɭɪde
cocksucker	ʈʌkːʌsʌkːʌr
coffee	koːfi
cokes	koːkes
cold	goːɭʈu
color	koːluː
columbo	koːlubuːmo
comer	koːmɛr
com	koːm
commentary	koːment̪ɐɾi
commiting	komːiːtiŋ
comm	kɔmː
confucius	kɔːɳfʊtʃʊs
congenita	koŋgeːɳiːt̪a
consuelo	kɒnsʊloː
cookin	koːkɪŋ
cool	kɔːl
cortellofamiljen	ʈoɾʈeːloːfamiʎːe
cortellomedlemmarna	ʈoɾʈeːlʌmʌd̪ʌlʌmːɾɳɐ
cortellos	ʈoɾʈeɭːoʃ
cortello	ʈoɾʈeɭːo
corzine	koːɾʒiːne
cos	koʃ
cotty	kɒʈːi
coulda	kʰuːɖɑ
couldnt	kʌːld̪n̪t̪
country	kuːnt̪ri
coz	koːz
crackerjack	krækɐdʒɐk
crackin	krækɪn
crackling	krɑːkliŋ
cranking	krɑːŋkiŋ
crapping	ʈʌɾɪŋgʌ
craps	ʈʂʌpʌs
crazier	krɑːziːr
creaking	krɛːkɪŋ
creaks	krɛːks
c	ʈʃ
cuda	ʈuɖa
cuntish	ʈʊnd̪iʃ
cursin	ʈuɾʃiɳ
cuz	ʈuʈʌ
d00-తేనెటీగ	teːn̪eːtiːg̊
d900d9	ɖɑːgɑː
dabbling	ɖɑːbɭiŋ
dab	ɖɑb
daddys	ɖɑɖiʃ
dad	ɖɑːɖ
dads	ɖɑːɖʌs
da	ɖa
dags	ɖɑgʌ
dance	ɖanʈe
danil	ɖaɳiɭ
darling	ɖɑːlɪŋ
datebook	ɖɑːteːbʊk
daughter	daːʈuː
david	daɪvɪd
day	ɖaj
days	daːjʌs
dazzles	ɖɑːz̪l̪e
dc	ɖɔtʃu
dcpd	ɖɔʈʈu
d	ɖ
deafening	ɖeːɸeːŋiŋ
deanne	ɖeːnːeː
dearie	ɖeːɾiː
deboned	ɖeːb̪oːn̪eː
debrief	ɖeːbɾiːf
decied	ɖeːtʃiːeːd̪
deconstruct	ɖeːkɔːnstrʌkt
de	ɖeː
deer	ɖiːr
defcon	ɖeːfʈʌn
delancy	ɖeːlan̪tʃi
delphinei	ɖɛlɪpʰiːn̪iː
delte	ɖeːl̪t̪eː
denyin	deniːn
destro	ɖɛːst̪roː
destruct	ɖɛʈʂtʃʌkʰ
details	ɖɛɭiːts
dettol	ɖɛʈːɔl
device	ɖiːvɪseː
devry	ɖɛʋɾi
dicey	ɖiːtʃeː
dick	ɖik
dicks	ɖikːʌ
diddly-ohh-ఆసక్తి-బోయింగ్	ɖɪɖ̺l̪ioːɑːs̪k̪ʌtiboːjɪŋ̪g̊
diddly-ub-డూ-డీ-mo	ɖɪɖ̺ːl̪ʌbɖuːɖiːmoː
dig	ɖig
dined	ɖiːnɛːd̪
dinging	ɖiŋgiŋ
disbarred	ɖɪs̪bɑːɾːeːd̪
disenfranchises	gɪsɛn̪fɾɛnʧɪs
dishing	ɖɪʃiŋ
dissing	ɖɪsɪŋ
distresses	ɖis̪t̪r̪eːs̪
dmz	ɖɨmʈʃu
dna	ɖɐnɐ
dna	ɖɳa
doctor	ɖoːtʃɔːr
dod	ɖoːd̪
do	ɖoː
dog	ɖog
doke	ɖoːke
dom	d̪oːm
don	ɖoːn
dooby-డూ	duːbi
doofus	doːfuʃ
doogie	doːgiː
door	doːr
dopey	doːpeː
dosent	doʃɛn̪t̪
double	ɖɔːbl̪e
downfield	daʊnfiːld
dragunov	ɖɾaːgun̪oːʋ
dragunovs	ɖɾɑːgun̪oːʋs
dries	ɖɾiːs
driftin	ɖɾɪft̪iŋ
drill	ɖɾiːɭ
drivable	ɖɾiːʋəbɭe
driver	daɪvɾʌ
drivin	ɖɾiːʋin
droppin	ɖɾoːpːiŋ
drysdale	ɖɾɪsɾɛːle
dude	duːde
duds	ɖʊɖʃ
dumbbell	ɖumbɛlː
dumbest	ɖʌmbɛʈʃʌ
dvd	ɖʋɖʋ
dy	ɖʌ
dyno	ɖɨn̪oː
d-జాబితా	ɖaːbʈaː
d-సంచులు	ɖɑːɲtɕuːlu
earl	ɛːɭ
easy	ɛːzi
educated	ɛdʊˈkɛːd̪ʌːd̪ʌ
e	e
eglitis	ɛglɪt̪is̪
eh	ə
eight	ai̯t̪ʃ
einsargen	ejnsɐrgen
eith	ejʈʰ
elevator	ɛlɛʋɑːt̪oɾ
el	ɛl
elizabeth	ɛlɪˈzɑːbɛθ
ello	ɛlːo
elmsley	ɛlmʃleɪ
else	ɛl̪se
emeli	ɛmɛli
em	ɛm
emr	emr
emulat	emʊlɐt̪
enchiladas	ɛnʈiɭɑːdɑːs
end	ɛnd̪
eng	eŋ
engine	ɛŋgiːni
engines	ɛŋgiːn̪eː
enjoyin	ɛn̪dʒɔjɪn̪
enterprise	ɛnt̪əɾpɾaɪ̯s
er	ɛr
es	ɛs
eta	ɛt̪a
evac	ɛʋɑtʃ
everjump	ɛvəɾdʒʌmp
everyone	ɛvɾi
everything	ɛɾgɛnʈi
ew	ɛu
exfil	ɛksfɪl
exhales	ɛɣɑːleː
experimentin	ɛkʃiːment̪in̪
explian	ɛksplɪjən
ex-wdcpd	ɛksʋɾʈʈʌpɖʌ
ex-కిరాయి	ɛgʐiɾaɪ
ex-భార్య	ɛgzɐɾjɐ
faa	ɸaː
fair	feːr
false	fɔːlse
falstaff	ɸɐl̪st̪ʌf
family	fɑːmɪlɪ
fa	ɸa
fartheads	ɸɐɾʈʰeːds
farting	ɸaːɾʈiŋgʊ
farts	ɸɑːɾʈʂ
father	ɐɾɐ
faxed	fəˈgeːd̪
fbi	ɸbiː
feders	feːd̪eːrs̪
feds	feːds
fellas	feːlɑːs̪
female	feːmæːlɛ
ffl	ɸːlː
figure	figuɾe
fillin	ɸɪlːɪn̪
fine	finɛ
finished	finɪʃɪdʒ
fire	gɪɾːe
five	faɪ̯ʋe
flappy	ɸlɑːpi
flash	fl̪əʃ
flickin	ɸlikiɳ
flint	flɪnt
flipper	ɸɪpːɛr
flippy-బాయ్	ɸlipːibɔːj
floor	fl̪oːɾ
flutinas	ɭuːt̪iːn̪as̪
flutters	ɭuːd̪ːuɾːu
fluzoo	ɭuːd̪ʱuː
followin	foːlʊgiːn
fonder	foːn̪d̪eːr
forevermore	foːɾeːvʌːmoːɾeː
fork	foːg
fountaining	foːnt̪aːɪŋ
fourjust	foːɾdʒʌst
f	ɸ
francis	frənʧis
frankensheep	fræŋkɛʃiːp
franklins	fræŋklɪns
frat	frɑːt̪
freakin	frɛːkɪn
freaking	fr̥aːkɪŋ
friend	fr̥iːnd̪u
from	frɒm
front	frʌnt
fucker	ɸʊkːɛɾ
fuckers	ɸʊkːɛɾːʌ
fuckin	ɸʊkɪn
fucks	ɸʊkːʌ
fueisha	ɸuːeɪʃɑː
fue	ɸuːe
fugly	ɸugli
fumbles	ɸumbɭe
fundraisers	ɸʊndɾɛɪsɚz
g8y	gɑːj
gagging	gagːiŋ
garden	gɑːɾɛn̪d̪u
gardner	gɑːɾdn̪ːɛɾ
gas	gaːs
gasps	gɑːspʰ
geac	geːts
gearshift	geːɾʃɪft
gen	geːn
george	geːɾdʒ
geranium	geɾaniːm
german	geɾman
get	geːt̪
gettys	gɛʈːi
g	g
giggled	gigːlɛd̪ːʌ
gigglesworth	gigːl̪eːs̪wɔːrʈʰ
gi	gi
gimbals	gimbaːls
giovanna	giːoʋɑːnːɑː
girdled	gɪɾɖɛɭːd̪e
giveing	giːʋiŋ
givin	giːʋin
glass	glɑːs
gnified	gnifɛd
goddamned	goːd̪ːaːmːeːd̪ːu
go	goː
golare	goːlɐɾe
golfing	goːlfiŋ
good	guːd̪
google	guːgl̪eː
goonie	goːniː
gop	goːp
gordon	goːɾːoːn̪
gotcha	goʈʈʌ
gotta	goʈːa
gould	goːl̪d̪
gps	gɛːpiːs
grace	gɾaːtsʌ
granada	gɾanɑːd̪ɑ
granddad	gɾɑːnd̪d̪ɑːd̪
grand	gɾɑːnd̪
grazie	gɾaːdʑiː
greased	gɾiːsɛd̪ːʌ
greely	gɾiːli
greenies	gɾiːn̪iː
groaning	gɾoːŋin
groans	groːns
grodiest	gɾoːɖiːst
growling	gɾoːlɪŋ
grub	gɾub
grunting	grʊntɪŋ
grunts	gɾʊn̪ʈʃ
gui	guːi
gumboot	gumbʊt̪
gurgling	gʊrgɪŋgʊ
güten	guːt̪en̪
gutting	gʊt̪ːiŋ̪ː
guy	guː
gwenny	gʋeːni
g-స్ట్రింగ్	gɨːst̪ɾiŋgɨ
h9	ɦɔː
hablo	ɦɑːbloː
ha	ɦa
hailgoddess	ɦajlgoːd̪ːɛs̪
hairs	haɪɾs
hal	ɦɐl
halt	ɦɑːl̪ʈ̪ʰ
hamilton	ɦɐmɪlton
hammered	haːmːeːɾːeː
hamstrings	hamstɾiŋgz
hand	hɑːnd̪
handjob	ɦɐn̪d̪ʒoːb̪
handyman	handiːman
hangin	ɦaŋiɳ
happenin	ʔɑpːiːni
happy	hɑːpiː
hardass	ɦɑːɾd̪ɑːs̪
hat	ɦɐʈ
have	ɦɑːʋe
hbo	hoː
headband	heːdbæ̀ːnd̪
head	heːd̪ʌ
heartache	ɦeːɾɑːt̪ɑːtʃeː
heavy	heːvi
heels	heːl̪s̪
he	he
heh	heː
helicopter	heliˈkoːpt̪eːɾ
hellhole	heːɭːoːleː
hello	heloː
helmat	ɦeɭmɐt̪
hem	hɛm
here	heːrɛ
herpe	ɦeːɾpeː
hev	heʋ
heyhey	heːheː
h	ɦ
hiccupped	ɦɪkːuːpːɛd̪ːʌ
h-i-e	hiː
highballing	haɪbɑːlɪŋ
high	ɦai
hi	hi
hisses	ɦɪsːeː
hiss	ɦɪs̪
hissing	ɦɪsɪŋ
h-ite	ɦiːte
hithe	ɦɪt̪ʰe
hit	ɦɪt̪
hittin	ɦiʈːiŋ
hiv	hiʋ
hiya	hijɑ
höjdarfiskare	hoːjdarfiskɑːrɛ
holler	ɦoːlːeɾ
hollerin	ɦoːlːiɾiŋ
hollyweird	hoːliwɛːɾd̪
hols	ɦoːls
homeboy	hɔːmeːbɔːj
home	hɔːme
homie	hɔːmi
hon	hoːn
honking	hoːŋkɪŋ
honks	hoːŋks
hoo-ah	ɦoːʔaː
hoo	ɦoː
hookers	ɦuːkɛrs
hooky	ɦoːki
hoo-ఆహ్	ɔːh
hope	hoːpe
horn	hoːɾn̪
hostiles	hoːst̪ilɛs̪
hothead	ɦoːt̪ːeːd̪
how	hoʊ
hq	ɦɑːgʌ
hubba	ɦʊbːa
humblin	ɦumʋliŋ
hungover	ɦuŋgoʋeɾ
hunsky	ɦun̪skɪ
hup	ɦup
hurrying	ɦuɾiŋi
hursts	ɦuɾʈʂ
hurt	ɦʊɾʈ
hypnotherapist	ɦɪpn̪oːt̪eːrapɪst̪
h-సహాయం	ɦəsaɦaːm
i-29	ɪ-29
iam	jaːm
icbm	ɪtʃbiːm
idea	ida
ideas	ɪd̪iːʌs̪
id	ɪd̪i
id	ɪɖ
idles	ɪd̪l̪eːs̪
ie	ie
if	ɪɸ
i	i
ii	iː
ijoined	ɪdʒoːɪn̪d̪e
ilene	ɪleːne
ilir	ɪlɪɾ
illinois	ɪlɪˈnɔɪ
ill	ɪlː
im	ɪm
indiana	ɪnd̪iːn̪a
in	ɪn̪
innit	ɪnːiːt̪
inspecfion	ɪnʂɛkʃiːn
iorang	joːraŋ
ip	ɪp
ir	ɪr
ironed	ɪron̪eːd̪
is	ɪʃ
isn	ɪʃn̪
it	ɪt̪
jabbed	gabːeːd̪
jackâ	dʒakːʌ
jackjack	gɑːkgɑːk
jagit	gɑːgɪt̪
jambalaya	dʒambaːlaːjaː
jane	dʒanɛ
janie	dʒaːniː
jaqgu	gagu
jaywalking	ɟaɪwɔːkɪŋ
j	dʒ
jeez	dʒiːz
jefferson	dʒɛɸɛrsʌn
jersey	gɛɾːsi
jimbo	dʒimbo
jingling	dʒiŋgɪŋ
jinx	dʒiɳʈʃ
job	dʒoːb
jocks	ɟoːkːʌ
joe	ɟoː
joes	ɟoːs
john	dʒoːn
joking	goːkiŋ
jolts	ɟɔɭʈʂ
jp	dʒəp
junkies	ɟʊŋkiːs
junkshow	dʒʊŋkʃoː
just	dʒʌst̪
justin	dʒʊs̪t̪iːn̪
kalashnikovs	kalɑʃnɪkɔːf
kamasutra	kamɐsuːtɾʌ
kaos	kaːs
kashkari	kɐʃkɐɾi
kauri	kaʊɾi
kay	kaɪ̯
keepsake	kiːp̚s̪aːk̟eː
keithie	keːʈʰiː
k-e-i-t	keːt̪
kerik	keːɾik
kicker	kit̪ʃeːɾ
kiddin	kiɖːiɳ
kiddo	kiɖːo
kids	kiːd̪s̪
killin	kiɭːiɳ
kindly	kaɪndli
kissin	kiːsɪn
kitchen	kiːtʃin
kitchens	kitʃiːns̪
k	k
kleinsmith	kl̪ein̪s̪mʌi̯t̪ʰ
k-o-b-r-q-v-y	koːbɾaguː
kollective	kɒlgɛtɪvɛ
konnichiwa	konitʃiwa
korean	koːɾiːn
kratom	kr̥ʈoːm
kuf	kʊɸ
kyahhh	kajːʌ
lady	ɭaɖi
lah-చీ	lətʃiː
la	lə
lamonsoff	ləmoːnʃɔf
lapd	ɭapːɖ
laszlo	lɑːʃːoː
lawlessness	ɭau̯lɪsɪn̪ː
lawn	ɭɔːn
leader	liːd̪eːr
lebreton	leːbreːt̪on̪
ledge	leːgʈeː
leman	leːman
let	lɛt̪
letyouin	leːt̪ːuːin̪
lf	ɭɪɸ
lglesias	leːgɪsːɑː
licked	lɪkːɛː
life	liːfe
limping	ɭiːmbiŋgu
linebackers	liːnɛbɛkɛr
lippy	ɭipːi
little	ɭiːt̪ːɨ
live	liːʋe
llamo	ɭːmo
llir	ɭːɭɪɾ
ll	ɭː
l-lup	ɭuːp
l	ɭ
ln	ɭiɳ
lnternet	ɪn̪d̪ɾ̪eːn̪eːt̪
loiterer	loːt̪iːɾɛːɾ
lola	loːlɑ
lone	loːne
lonesome	loːn̪eːs̪ome
longs	loŋgʌs
lookie	luːkiː
look	luːk
lookout	luːkʌʊt̪
loopy	ɭoːpiː
lordy	ɭoːɾdi
louis	luːɪs
lousy	luːsi
lovesick	loʋesiːk
loving	loːviŋ
lowlife	loːwliːfe
low	loː
ls	ɭʌɭ
ltchy	ɭʈʈʃi
lt	ɭʈ
lt	ɭʊʈʊ
lucks	ɭʊkːʌ
luden	luːd̪en̪
lunchtime	ɭunʈʈiːme
lurkingjust	ɭuɾkiŋdʒʌst
lynne	ɭiːn̪n̪e
lz	ɭʌ
machine	maːdʒiːn
mac	maːtʃ
madam	maːd̪am
mad	mɐɖ
maf	maːp̚
magliani	magliːani
magnumus	magnuːs
make	məkɛ
maker	maːkɛːr
maketh	məkɛt̪ʰ
male	maːle
ma	ma
manassas	məˈnɑːsɑːs
mancino	manʈiːnoː
mangy	maːŋgi
manliest	man̪l̪iːs̪t̪
man	mɐn̪
marido	maɾiːdoː
marvelton	maɾʋeːlton
master	maːst̪eːr
matilde	maːt̪il̪d̪e
mattress	maʈːiʈːʌʈːʌ
mavis	maʋis
mayday	majdaɪ
mayonnaise	majɒnɛːz
mcgee	məgiː
mcgurkin	məgʊrkin
mc	məʈʂʌ
measly	miːsli
meatball	miːt̪aːbɔːl̪
meatballs	miːt̪ːɑːl̪ːʌːs̪
meds	med̪d̪ʌs̪
me	meː
memoery	ˈmɛːmɔːri
men	men
meowing	miːɔːŋ
merci	merʈʂi
merino	meriːnoː
mermaids	mermaɪds
mertz	merʈʂ
messa	mɛsːa
messenger	mesːɛn̪d̪ɛr̪u
messier	mesːiː
messina	mesːɪn̪a
metal	ment̪al̪
michele	mitʃeːl̪e
miche	mitʃe
military	milit̪iri
miller	miːlɛːr
m-i	mi
mine	miːn̪e
miranda	miɾɪnd̪a
mission	miːʃn̪
misssing	miːsɪŋ
missy	miʃi
m	m
m	maː
mm-hm	ɱɱʱʋ
mm	mː
mmmhmm	mːhː
mmm	mːmː
mm-mm	mːmː
mmm-mmm	mːmː
mmm-అయ్యో	əjːo
mm-అయ్యో	əjːo
moans	moːns
mobile	moːbɪlɛ
mom	moːm
monkeyin	moːnkiːn
mon	moːn
mon-చేసిన	moːn̪tʃeːsin̪
mooses	moːs̪eː
morel	moːɾeːl
motherfuckers	maːt̪ɾʌfʌkːɛr̪ʌ
motherfucking	maːt̪ʌɾʌkɪŋgʌ
motherfuckin	moːt̪ʌɾʈʌkɪn
mother	moːt̪eː
mouthing	maʊ̯t̪iŋ̪gʊ
mr	mr
mr	mr̥
muffled	muɸːlɛd̪ːʌ
muhlenberg	muːl̪in̪eːgeː
mumbles	mʌmbʌlʌs
munchkin	munɟʈiŋ
munny	munːi
murmuring	mʊrʋuɾiŋgʊ
music	muːsɪk
muss	mus̪ː
must	ʋʊʈʈʌ
muttonchops	ˈmʊtːoːnʧɔps
myjungle	miːdʒʌŋgle
myotonic	miːjoːt̪iːk
nanomite	n̪anomʌi̯t̪e̞
nanomites	n̪anomʌitʌs
naps	napʰ
nasa	n̪as̪a
naughtier	naʊtʃiɾ
nav	n̪aʋ
ncic	n̪tʃiʈ
nd	nd̪ʌ
nervously	ɳɛɾʋuːsɪ
newcastle	nuːkɑːʃl̪ʌːl
newsflash	nuːsɸlæʃ
nf	ɳɸ
nice	nisʌ
nicoles	ɲiːtʃoleːs
niggah	ŋigːɑː
niggas	nigːɑː
nilamanikkarkal	nilamanɪkːɐɾkɐɭ
niles	niːleʃ
niner	niːnɛr
ninjas	niɲʌs̪
nitwits	niːtʋit̪s̪
nkomo	ŋkɔːmoː
n	n̪u
nobody	ˈnɒbɒdi
noncence	nonʈʂeːnʈʂeː
none	n̪oːn̪e
no	noː
no	n̪oː
nonsence	n̪oːn̪s̪eːn̪ts̪eː
noogie	noːgi
noogies	noːgiː
norad	n̪oɾaɖ
normal	n̪oːrmaːl̪
north	ˈnɔːrʈʰ
nothing	n̪oːɳʈiŋ
notjust	ɒːtʃʊʈʃʊ
not	n̪oʈ
nowday	nuːd̪aɪ̯
now	nuː
nsa	n̪sa
nuke	nuːke
number	num̩bɾʌ
numbskull	numʋskul
nunchucks	nʌnʧʌks
nun	nuːn
o0	oʊ
oak	oːk
o	ɒ
oe	oe
offa	offə
off	ɔf
of	ɔːf
ogalvee	ogɐlʋiː
ohh	ɒ
ohhh	ɒː
oh-ho	ɒː
ohio	ɒhiːo
oh	oʊ
oi	ɔːi
oj	ɒdʒ
okay	ɔkɑː
ok	ok
oms	omʃ
one	ʌn̪e
onhigh	onʔi
onjust	ɒn̪dʒʌst
on	on
onwe	onwe
oobatz	uːbɐʈʈ
ooh	uː
ooh-ఉంటుంది	uːn̪ʈun̪d̪i
oop-డీ-అల్పమైన	ʊpɖiɑlɐmɛi̯n
orangutango	ɒɾʌŋgʊtɒŋgʊ
or	ɒr
other	ot̪ʌɾ
oughta	ɔːgʈɑː
outed	aut̪eːd̪
outrank	ɔːʈɾaːŋk
overdid	ɒvɚdɪd
overzealous	ɔːvɛɾzɛluːs
ovinophobia	ɒvɪnɒfoːbɒ
ow	ɒʋ
p9ox	poːgʊ
pachyderm	paːtʃiːd̪eːrm
paddocks	paɖːkʌʂ
painch	paɪn̪tʃ
pandeyji	paːnd̪eːdʒi
panting	paːɳʈiŋ
pa	pə
pappas	papəsə
paralise	paɾaliːse
parceled	paːɾtʃeːɭɛːd̪u
pard	paɾɖ
partners	paːɾt̪ːan̪d̪ɾ̪eː
paso	pɒːsɒ
passin	paːsɪn
paulie	paːli
peeing	piːŋ
pen	peːn
peoc	peːoːtʃ
peoc	pɛːʋʈʃ
peppuccio	pepːuːtʃːoː
pepto-bismol	peːptoːbɪzmɒl
perverts	peːɾʋeːts̪
perving	peːɾʋiŋ
peter	peːt̪eːr̪
pet	peːʈ
pfft	pʰʈʈʰ
photo	foːtoː
phots	ɸoːʈʂ
pic	piːtʃ
pifiata	piːfɪt̪aː
pilot	piːloːt̪
pimps	piːmps
pissed	piːs̪ːɛd̪
pisser	piːsɛr
pissing	piʃiŋ
pk	pʰɔk
plagues	paːguːd̪ʱeː
playdate	pleɪdeɪt
plexiglas	plɛgʒlɑs
pluggers	puggeːr
plutocratic	puːluːt̪ɔːkɾɪt̪ɑːk
plutonium	puːlʊt̪un̪iʊm
pm	pʰm
poking	poːgiŋ
polecat	poːlɛkɑːt̪
polish	poːliʃ
pompous	poːmpuːs
poop	puːp
popped	poːpːeː
popsicle	poːpsɪkːlɛ
potrate	pɒt̪ːɾat̪ːe
ppd	pːd̪
prayin	prəiɳ
prepping	prɛpːiŋː
preppy	prɛpiː
presidente	prɛsɪˈdɛːn̪t̪e
president	ˈpɾesɪdɛnt̪ʃi
prickly	prɪkːi
problum	prɒbl̪ʌm
prohibitors	prɒhɪbɪt̪ːʌɾ
protective	prɒtɛktɪv
pso	poː
ps	peːʃ
pucky	puːkɪ
pulsing	puɭsiŋ
pu	pɯ
purchasd	puːɾʈʂɑːsɪd̪
pusher	puʃeɾ
puttin	puʈːiŋ
pwease	puːʋeːʃeː
p-డబ్	pɖʌb
qb	qɓ
qrt	qɾʈ
quittin	quɪt̪ːɪn̪
r2-d2	ɾɾɔɖɔ
radicalized	ɾɑːd̪iːkəlaiːd̪eː
radio	ɾaːd̪iːoː
ranaway	ɾan̪aweː
rance	ɾanʈʈe
rapid	ɾaːpɪd̪ʱ
rapunzel	ɾapunʑɛl
