"sé"	sɛ
abaeteoara	abajteu̯aɾa
abaeterno	abaiʃtɛrnw
abaetetuba	abajetetuba
abaeté	ˌɐbɐɨtˈɛ
abaetê	abajete
abafa	ˌɐbˈafɐ
abafa!	abafa
abafa!	abˈafɐ
abafada	ˌɐbɐfˈadɐ
abafadamente	abafadamente
abafadas	ˌɐbɐfˈadɐʒ
abafadas	ˌɐbɐfˈadɨʒ
abafadela	abafad̪ela
abafadiça	abafadɪsɐ
abafadiço	abafadɛsʊ
abafadiço	ˌɐbɐfˈadˈisʊ
abafado	abafad
abafado	abafadw
abafado	ˌɐbɐfˈadw
abafadora	abafadore
abafadouro	abafadouro
abafadura	ˌɐbɐfɐdˈoɾɐ
abafamento	ˌɐbɐfɐmˈeɪŋtw
abafando	ˌɐbɐfˈɐ̃ŋdw
abafante	abafˈaŋtj
abafanético	abafanɛtiko
abafar	abafːɑh
abafar	aˈbafˌaɹ
abafar	aːbafˈaɾ
abafar	ɑːbɑːfkaːr
abafar	ˌɐbɐfˈaɹ
abafarete	abafarete
abafativo	abafatˈivo
abafava	ˌɐbɐfˈaːvɐ
abafação	abˌɐfɐsˈɐ̃ʊ̃
abafação	ɐbˌɐfɐsˈɐ̃ʊ̃
abafeira	abˌɐfˈeɪɾɐ
abafeiro	ˌɐbɐfˈeɪɾʊ
abafos	ˌɐbafˈos
abafou	ˌɐbɐfˈow
abafura	ɐbɐfˈuɾɐ
abagaceirado	abˌɐʒɐsˈeɪɾɐdˈo
abagamento	abagɐmˈeɪŋtʊ
abaganhar	ɐpɐgɐɲˈaɹ
abagaçado	abagasˈsˈadʊ
abagaçar	abagast̪aɾ
abagge	ˌɐbˈaʒɨ
abagmento	abˌagmˈeɪŋtʊ
abago	aːbˈagɔ
abagualado	ˌɐbˈagwaʊlˈadʊ
abagunçado	ɐmˌɐgˌuŋsˈadʊ
abagunçar	abˌɐguŋsˈaɹ
abaia	aˈbaɪɐ
abaianado	abajanado
abaiara	abɐˈjɐɾɐ
abainha	ˌɐbɐˈiɲɐ
abaionetado	kabajˈonetˈadw
abaionetar	abaionet̪aɾ
abairense	ɐbaiɾˈeɪŋsj
abairramento	abajʁɐmˈeɪŋtʊ
abaisir	abˈaɪzɪr
abaitolado	ˌɐbaɪtulˈadw
abaiucado	abɐˈiʊkˈadu
abaiucar	abajokar
abaixa	ˌɐbˈaɪʃɐ
abaixa-língua	abˈaɪʃalˈiŋgwɐ
abaixa-língua	ˌɐbˈaɪʃɐlˈiŋgwɐ
abaixa-voz	abaɪʃavos
abaixado	ˌɐbaɪʃˈadw
abaixadura	ɐbˌɐɪʃɐdˈuɾɐ
abaixamento	ˌɐbaɪʃɐmˈeɪŋtw
abaixamento	ˌɐbˈaɪʃɐmˈeɪŋtʊ
abaixando	ˌɐbaiʃˈɐ̃ŋdw
abaixando	ˌɐbaɪʃˈɐ̃ŋdw
abaixar	abaiʃa
abaixar	aːbaɪʃaɾ
abaixar	ˌɐbaɪʃˈaɹ
abaixaram	ˌɐbaiʃˈaɾɐ̃ʊ
abaixasse	aːfajʃaːsˈse
abaixavam	ˌɐbaɪʃˈavˌɐ̃ʊ̃
abaixação	ɐbˌɐɪʃɐsˈɐ̃ʊ̃
abaixo	abaixʊ
abaixo	ˌɐbˈaɪʃw
abaixo!	abaiʃo
abaixou	ˌɐbaɪʃˈow
abaixável	ˌɐbaɪʃˈavˌɛl
abaiá	abajã
abaiô	aːbaːjˈu
abajoujamento	abɐʒowʒamɛŋtʊ
abaju	abaxu
abaju	abɐʒo
abajur	abɐʒˈuɾ
abajur	ˈabɐʒˈw
abajur	ˈabˈaʒul
abal	abao
abal	ɐbˈɑl
abala	ˌɐbˈalɐ
abalabilidade	aːblˈˌɐbilidˈadɨ
abalabilidade	ˌɐbˌɐlˌˌɐbilidˈadɨ
abalada	aːbˌɐlˈadɐ
abalada	ˌɐbɐlˈadɐ
abaladas	ˌɐbɐlˈadɐʒ
abalado	abɐlˈadw
abalado	ˌɐbɐlˈadw
abalador	aːbalaˈðoɾ
abalados	ˌɐbɐlˈadʊʒ
abaladura	labalad̪uɾa
abalaiado	ɐbˈalaɪadˌɔ
abalaiar	abɑlajaːx
abalam	ˌɐbˈalɐ̃ʊ̃
abalamento	abalamento
abalamento	abalamˈeɪŋtʊ
abalando	ˌɐbɐlˈɐ̃ŋdw
abalançado	ɐbˌɐlɐ̃ŋsˈadw
abalançarse	abalɐ̃ŋsˈaɹsɨ
abalar	abala
abalar	aːbalaɾ
abalar	ˌɐbɐlˈaɹ
abalara	aːbalaɾa
abalaram	ˌɐbɐlˈaɾɐ̃ʊ̃
abalasse	abalaˈsj
abalaustrado	abɐlˈaʊʃtɹadw
abalaustrar	abɑlɑlstɾaɾ
abaldeirado	apaldˈeɪɾˈadʊ
abalienado	ˌɐbaliɐnˈadw
abalienador	ˌɐbˈaliɐnɐdˈoɾ
abalienável	abaliˈɛnˈavˌɛl
abalistar	abːˈalˈisˈtˈaɹ
abalizada	aːbˌɐlˌizˈadɐ
abalizamento	abˌɐlizɐmˈeɪŋtʊ
abalizar	ɐbˈˌɐlizˈaɹ
abalo	aˈβalo
abalo	ˌɐbˈalw
abalofado	abalofaðo
abalofar	abalovaɾ
abalone	aba˥˩loni˥˩
abalos	abˈalʊʒ
abalos	ˌɐbˈalʊʒ
abalou	ˌɐbɐlˈow
abalroa	abauɾˈoɐ
abalroador	abɑwɾuadɔχ
abalroando	abauɾuɐ̃ŋdw
abalroar	abɑlkwaɾ
abalroação	ɐbˌɑlˈʁuɐsˈɐ̃ʊ̃
abaluartar	abɑlwaxt̪aɾ
abalçar	ˌɐbɐlsˈaɹ
abalórios	aˈbˌɐlˈɔɾəiʊʒ
abam	abɐ̃o
abambalhado	abˌɐ̃mbˌɐʎˈadʊ
abambolinado	abˌɐ̃mbulˌinˈadʊ
abambulantes	abɐ̃mbulɐ̃ŋtɨʒ
abamec	ˌɐbɐ̃mˈek
abana-cauda	abˈɐ̃nɐkˈaʊdɐ
abanadela	abanadɛla
abanador	abanadue
abanadura	aːbˌɐnˈadˈuɾa
abananar	abɐ̯nɐna
abanando	abaŋãn̪d̪o
abanando	ˌɐbɐnˈɐ̃ŋdw
abanante	aːbˌɐnˈɐ̃ŋtɨ
abanar	aːbanɐɾ
abanar	ˌɐbɐnˈaɹ
abanas	abõŋas
abanação	mɐbˈɐ̃nɐsˈɐ̃ʊ̃
abancado	abˌɐ̃ŋkˈadʊ
abancar	abãŋkˈaɹ
abandado	abˌɐ̃ŋdˈadʊ
abandalhamento	ɐbˌɐ̃ŋdˌaʎɐmˈeɪŋtʊ
abandalhável	abˌɐ̃ŋdɐʎˈavˌɛl
abandar	abanðaɾ
abandear	abãŋdɨaɾ
abandeirado	ˌɐbɐ̃ŋdˌeɪɾˈadw
abandeiramento	ɐbˌɐ̃ŋdˌeɪɾɐmˈeɪŋtʊ
abandejado	ˌɐbɐ̃ŋdˌeʒˈadw
abandejar	ɐbˌɐ̃ŋdˈɨʒˈaɹ
abandidar	abãŋdidˈaɹ
abandoar	abɐ̃ŋdˈoɐ̃ɾ
abandona	ˌɐbɐ̃ŋdˈonɐ
abandonada	ˌɐbɐ̃ŋdunˈadɐ
abandonadas	ˌɐbɐ̃ŋdunˈadɐʒ
abandonado	ˌɐbɐ̃ŋdunˈadw
abandonador	abɐ̃ŋdɔnaðˈoɾ
abandonados	ˌɐbɐ̃ŋdunˈadwʒ
abandonados	ˌɐbɐ̃ŋdunˈadʊʒ
abandonai	ɐbˌɐ̃ŋdˌunˈaɪ
abandonais	ˌɐbɐ̃ŋdunˈaɪʒ
abandonam	ˌɐbɐ̃ŋdˈonɐ̃ʊ̃
abandonamento	ˌɐbɐ̃ŋdˌunɐmˈeɪŋtʊ
abandonamos	ˌɐbɐ̃ŋdunˈɐ̃mʊʒ
abandonamos	ˌɐbɐ̃ŋdˌunˈɐ̃mʊʒ
abandonante	ˌɐbɐ̃ŋdunˈɐ̃ŋtɨ
abandonar	abãn̪d̪onaɾð̞
abandonar	abãŋdˌunˈaɹ
abandonar	ˌɐbɐ̃ŋdunˈaɹ
abandonara	ɐbˌɐ̃ŋdˈonˈaɾɐ
abandonaram	ɐbˌɐ̃ŋdunˈaɾɐ̃ʊ̃
abandonaras	ɐbˌɐ̃ŋdunˈaɾɐʒ
abandonarei	ˌɐbɐ̃ŋdunɐɾˈeɪ
abandonarem	ˌɐbɐ̃ŋdunˈaɹeɪŋ
abandonaremos	ˌɐbɐ̃ŋdunˌɐɾˈemʊʒ
abandonares	ˌɐbɐ̃ŋdunˈaɾɨʒ
abandonaria	ˌɐbɐ̃ŋdˌunɐɾˈiɐ
abandonarias	ɐbˌɐ̃ŋdˌonɐɾˈiɐʒ
abandonarmos	ɐbˌɐ̃ŋdˌunˈaɾəmʊʒ
abandonará	ˌɐbɐ̃ŋdunɐɾˈa
abandonará	ˌɐbɐ̃ŋdˌunɐɾˈa
abandonarão	ˌɐbɐ̃ŋdunˌɐɾɐ̃ʊ
abandonaríamos	ˌɐbɐ̃ŋdunɐɾˈiɐmʊʒ
abandonas	ˌɐbɐ̃ŋdˈonɐʒ
abandonasse	ˌɐbɐ̃ŋdunˈasɨ
abandonasse	ˌɐbɐ̃ŋdunˈaʃɨ
abandonassem	ɐbˌɐ̃ŋdunˈasɨm
abandonatário	ɐbˌɐ̃ŋdˌunɐtˈaɾjʊ
abandonava	abãŋdˈonˈavˌa
abandonavam	ˌɐbɐ̃ŋdunˈavɐ̃ʊ̃
abandonavas	ɐbˌɐ̃ŋdunˈavɐʃ
abandonação	ˌɐbɐ̃ŋdˌunɐsˈɐ̃ʊ̃
abandone	ˌɐbɐ̃ŋdˈonɨ
abandonei	ˌɐpɐ̃ŋdˈoneɪ
abandonem	abondoniŋ
abandonemos	ˌɐbɐ̃ŋdˌunˈimʊʒ
abandones	ˌɐbɐ̃ŋdˈonɨʒ
abandono	abãŋdˈonʊ
abandono	ˌɐbɐ̃ŋdˈonw
abandonou	ˌɐbɐ̃ndˌunˈow
abandonou	ˌɐpɐ̃ŋdunˈow
abandoná	ˌɐbɐ̃ŋdunˈa
abandonáramos	ɐbˌɐ̃ŋdunˈaɾɐmʊʒ
abandonáreis	ɐbˌɐ̃ŋdunˈaɾɨʒ
abandonássemos	ˌɐbɐ̃ŋdunˈasɨmʊʒ
abandonávamos	ˌɐbɐ̃ŋdunˈavɐmʊʒ
abandonáveis	ˌɐbɐ̃ŋdunˈaʒeɪʒ
abandonável	ˌɐbɐ̃ŋdunˈavˌɛl
abaneiro	ɐbɐnˈeɪɾʊ
abanhado	tˈabˌɐ̃ɲˈadʊ
abanito	abanʲitu
abanos	abˈɐ̃nʊʒ
abante	abɐnˈtɨ
abanteu	abantw
abanto	ˌɐvˈɐ̃ŋtʊ
abantíade	abantʃiadi
abap	ɐbˈap
abapo	abatˈo
abaporu	abapuru
abaporu	ˌɐbɐpˌuɾˈow
abar	aːbaɾ
abaratear	abaratiax
abaraíba	abɐɾaibɐ
abarbado	abˌɐɾəbˈadʊ
abarbarado	abˌɐɾəbˌɐɾˈadʊ
abarbarar	abɐɣbɐɾaɾ
abarbarizar	abˌɐɾəbˌaɾɪzˈaɹ
abarbatar	ababataɾ
abarbear	abˌaɾbeˈaɾ
abarbelado	abˈaɾəbˌelˈadʊ
abarbelar	aːbaɾβ̞elaɾ
abarbetado	ˌɐbɐɾəbˌetˈadw
abarca	ˌɐbˈaɾəkɐ
abarcado	abˌɐɾəkˈadʊ
abarcador	abɑɾgadoɾ
abarcadura	abˌɐʁkɐdˈuɾɐ
abarcia	aːbaɾsie
abarco	aːbaːɾkw
abaremotemo	abaremʊtemo
abaretado	ˌɐbɐɾɨtˈadw
abarga	abahˈra
abargantar	abˌɑɾəgɐ̃ŋtˈaɹ
abariga	ˌɐbɐɾˈigɐ
abaritonado	abaritˈonˈadw
abaritonar	abaritonau̯
abaritão	abˌɐɾɨtˈɐ̃ʊ̃
abarmão	abɐɾmɐ̃ʊ̃
abaronizar	abaronʲizax
abarqueiro	abˌɐɾəkˈeɪɾʊ
abarracado	abarakado
abarracar	abːˌɐʁˌakˈaɹ
abarrada	aːbˌɐʁˈadɐ
abarregamento	ˌɐbɐʁˌegɐmˈeɪŋtʊ
abarregar	ɐbˌɐʁˌegˈaʁ
abarrigar	aːbˌɐʁigˈaʁ
abarrilar	abɑɣjlaɾ
abarroado	abɑɣoadʊ
abarrocado	ˌɐbɐʁˌukˈadw
abarrocar	aːbaɾɔkˈaɹ
abarrocação	ɐbˌɐʁˌukɐsˈɐ̃ʊ̃
abarrosado	abɐʁuzadw
abarrotada	abɐʁutˈaðɐ
abarrotada	abɐʁˌɔtˈadɐ
abarrotada	ˌɐbɐʁutˈadɐ
abarrotado	ˌɐbɐʁutˈadw
abarrotados	ˌɐbɐʁutˈadʊʒ
abarrotamento	abɐʁutɐmˈeɪŋtʊ
abarrotar	abɐʁotˈaɹ
abarrotar	abɐʁutˈaʊ
abarrotar	ˌɐbɐʁutˈaɹ
abarticular	ˌɐbaɾətikulˈaɹ
abarticulação	ɐbˌɐɾətikˌulɐsˈɐ̃ʊ̃
abaruna	abaɾona
abarém	ˌɐbɐɾˈeɪŋ
abas	abis
abas	ˈabɐʒ
abascanto	abˌɐʃkɐ̃ŋtˈɔ
abasia	abãˈzia
abasicarpo	abˈazɨkˈaɾəpʊ
abasseno	ˌɐbɐsˈenw
abassi	abasi
abassino	abɐsˈinʊ
abassor	abassox
abastada	ˌɐbɐʃtˈadɐ
abastadas	ˌɐbɐʃtˈadɐʒ
abastado	ˌɐbastˈaɾədʊ
abastado	ˌɐbɐʃtˈadw
abastados	ˌɐbɐʃtˈadʊʒ
abastamente	abaʃtamɛnˈtɨ
abastança	abastˈɛnsa
abastar	abastˈa
abastardado	abastˌaɾədˈadw
abastardar	abastad̪aɾ
abastardável	ˌɐbɐʒtˌɐɾədˈavˌɛl
abastece	ˌɐbɐʃtˈɛsɨ
abastecedoiro	ˌɐbɐʃtɨsˈɛdˈoɪɾʊ
abastecedor	abaztʃesedoɾ
abastecedouro	abastesedouro
abastecem	ˌɐbɐʃtˈɛseɪŋ
abastecer	ˌɐbastɨsˈeɹ
abastecer	ˌɐbɐʃtɨsˈeɹ
abasteceu	ˌɐbɐʃtɨsˈeʊ
abasteciam	abastisˈiam
abastecida	ˌɐbɐʃtɨsˈidɐ
abastecidas	ˌɐbɐʃtɨsˈidɐʒ
abastecido	ˌɐbɐʃtɨsˈidw
abastecimento	ˌɐbɐʃtɨsimˈeɪŋtʊ
abastecimento	ˌɐbɐʃtɨsˌimˈeɪŋtʊ
abastecimento	ˌɐbɐʃtˌesimˈeɪŋtw
abastimento	ˌɐbɐʃtimˈeɪŋtʊ
abastosamente	abastosamemt̪ɨ
abatagem	abatˈaɣem
abatatado	abatatað̞o
abatatar	abatatˈa
abate	abatɛ
abate	ˌɐbˈatɨ
abatedoiro	abatɛdɔɛɾʊ
abatedouro	abatadɔuɾʊ
abatedouro	ˌɐbɐtɨdˈowɾw
abatedouros	ˌɐbɐtɨdˈowɾʊʒ
abatelar	abatˈelˈaɾ
abater	abatˈeɾ
abater	ˌɐbɐtˈeɹ
abatera	abatˈeɾa
abateram	ˌɐbɐtˈeɾɐ̃ʊ̃
abates	ˌɐbˈatɨʒ
abateu	abatˈeʊ
abateu	ˌɐbɐtˈeʊ
abati	abatʃi
abatia	abatːˈia
abatida	ˌɐbɐtˈidɐ
abatidamente	abatidamente
abatidas	ˌɐbɐtˈidɐʒ
abatido	abatʃido
abatido	ɐbˌɐtˈidu
abatido	ˌɐbɐtˈidw
abatidos	ˌɐbɐtˈidʊʒ
abatimento	ˌɐbɐtimˈeɪŋtw
abatimentos	ˌɐbɐtimˈeɪŋtʊʒ
abatirá	ˌɐbɐtiɾˈa
abatixi	aːbˌɐtiʃˈe
abatocado	abˌɐ̃tˈukadʊ
abatumado	ɐvˈatˌumˈadʊ
abatão	abatːoɱ
abauladamente	ˌɐbɐulˈadɐmˈeɪŋtɨ
abaulado	abɐuladˈo
abaulamento	abɑulamɛt̪u
abaulante	adawlɑnti
abav	ɐbˈav
abavô	aːbavˈo
abazar	abazaːr
abaçanado	abasˈanˈadʊ
abaçanado	apasanˈadʊ
abaçanar	abɐsɐnˈɐɹ
abaçatu	abasat̪o
abaçaí	abasai
abaçá	abasˈsa
abaí	abˈaj
abaíbas	abaibas
abaíra	abaiɾɐ
abaúbo	abaubo
abaúna	abauna
abba	ˈabɐ
abbado	ˌɐbˈadw
abbas	ˈabɐʒ
abbey	ɐbˈeɪ
abbott	ɐbˈot
abcca	ˈabkɐ
abcd	ˈabkd
abcfarma	ˌɐbkfˈaɾəmɐ
abcisão	ˌɐbsizˈɐ̃ʊ̃
abcz	ˈabkʃ
abd	ˈabd
abda	aːbidɑ
abdala	abjdala
abdala	aːbidaːla
abdala	ˌɐbdˈalɐ
abdale	abidali
abdalla	ˌɐbdˈalɐ
abdallah	ˌɐbdɐlˈa
abdalão	abdɐlˈɑ̃u
abdc	ˈabdk
abdel	ɐbdˈɛl
abdellah	ˌɐbdɨlˈa
abdelmassih	ˌɐbdɨlmɐsˈi
abdenur	ˌɐbdɨnˈuɹ
abderita	abdɨɾite
abderitano	abdɨɾitɐ̃nw
abderitino	abdɨɾitˈinɔ
abdero	abdɛɾw
abderval	abdiɾəvˈaɭ
abderólogo	abdɨɾɔlʊgɔ
abdic	ɐbdˈik
abdica	ˌɐbdˈikɐ
abdicabilidade	ˈabdˈikˈabɪlɪdˈadɨ
abdicar	abdˈikˈaɾ
abdicar	ˌɐbdikˈaɹ
abdicativo	abdˌikatˈivw
abdicatóri	abʲdʲikatːoɾʲi
abdicatório	ɐbˌedikˈatˈɔɾjw
abdicou	ˌɐbdikˈow
abdicável	abdikˈavˌɛl
abditivo	ˌɐbditˈivw
abditório	abʊðitˈɔɾjʊ
abdo	ˈabdw
abdome	abdo˩˥ːmjɛ
abdome	ˌɐbdˈomw
abdome	ˌɐbdˈomɨ
abdominais	ˌɐbduminˈaɪʒ
abdominal	ˌɐbduminˈɑl
abdominal	ˌɐbdɔminˈɑl
abdominalmente	ˌɐbdˌumˌinɐlmˈeɪŋtɨ
abdominopata	ˌɐbdˈomɨnɔpˈatˌɐ
abdominopatia	ˌɐbdˌominupˌɐtˈiɐ
abdominoscópio	ˌɐbdˈomˌinuʒkˈɔpjw
abdominouterotomia	ˌɐbdˌuminˈowtˌeɾəotumˈiɐ
abdominuterotomia	ˌɐbdˈominwtˌeʁutumˈiɐ
abdullah	ˌɐbdulˈa
abduzido	ˌɐbduzˈidw
abduzir	abiduzˈiɹ
abdão	abedˈɐ̃ʊ̃
abdômen	ˌɐbdˈomeɪŋ
abdômenes	abdɔminis
abe	ˈabɨ
abeatado	ˌɐbeɐtˈadw
abeberado	abɨbːeɾˈaðo
abeberação	ɐbˌebɨɾɐsˈɐ̃ʊ̃
abebra	abˈɛbrɐ
abeccs	ˈabˌɛkʒ
abecedar	abˌesˌedˈaɹ
abecedariano	ɐbˌɨsˌedˌaɾiˈɐ̃nʊ
abecedarios	abˌɪsidˈaɾjʊʒ
abecedação	ɐbˈesˌedɐsˈɐ̃w
abecedense	abezidɛnsi
abecedário	ˌɐbɨsɨdˈaɾjw
abecedário	ˌɐbˌeʃedˈaɾjʊ
abecedários	ˌɐbˈesθɨdˈaɾjʊʒ
abechedo	ɐbˈiʃedˈo
abechucho	abe̞ʃusʃo
abecip	ˌɐbɨsˈip
abecoínha	abɨkˈoɪnˌhˌɐ
abed	ɐbˈed
abede-nego	abidjnegu
abedária	abjdˈarɪɐ
abegoaria	ˌɐbɨgwɐɾˈiɐ
abegoaria	ˌɐbɨgwˌɐɾˈiɐ
abeira	abˈeɪɾɐ
abeirado	ˌɐbeɪɾˈadw
abeirar	abeirɑɾ
abeirar	abejɾa
abeirar	aːbeirɐr
abeirar	aːbːe̞jrɑx
abeiva	ˌɐbˈeɪvɐ
abeiçar	ˌɐbeɪsˈaɹ
abel	abeu
abel	tabel
abel	ɐbˈɛl
abelardizar	ɐbˌelˈaɾdɨzˈaʁ
abelardo	abelaɾð̞ʊ
abelardo	tˌɐbɨlˈaɾədʊ
abelardo	ˌɐbɨlˈaɾədw
abelha	aˈbeʎɐ
abelha	ˌɐbˈeʎɐ
abelha-da-terra	ɐbˈelɐdɐtˈɛʁɐ
abelha-de-sapo	ˌɐbˈeʎɐdɨsˈapʊ
abelha-flor	abeʝafloɾ
abelha-mestra	abˈeʎamˈɛʃtɹɐ
abelhal	ˌɐbeʎˈaʊ
abelharuco	ɐbˈeʎɐɾˈukw
abelhas	ˌɐbˈeʎɐʒ
abelheira	aːbeːljejɾa
abelheiro	aːbeʎeɪɾʊ
abelhuar	abˈeʎuɐx
abelhuco	abeʎˈuko
abelhucos	abeleukos
