一蕊花	tsit˧ lui˥ hue˧
做教授是我一生的願望。	tso˩ kau˨siu˦ si˦ gua˥ it˧siŋ˧ e˩ guan˦boŋ˦.
一來我無時間，二來我無興趣，所以我無欲參加。	it˧lai˩ gua˥ bo˩ si˩kan˧, dzi˦lai˩ gua˥ bo˩ hiŋ˨tsʰu˩, sɔ˥i˥ gua˥ bo˩ beʔ˧ tsʰamka˧.
你講過的話，一定愛會記得。	li˥ koŋ˥kue˨ e˩ ue˧, it˧tiŋ˦ ai˨ e˦ki˨tit˧.
伊食飯攏無一定的時間。	i˧ tsiaʔpŋ̩˦ loŋ˥ bo˩ it˧tiŋ˦ e˩ si˩kan˧.
一直向前行，毋免轉斡。	it˧ti˧̍t hioŋ˨tsian˧˥ kĩã˩, m̄bian˥ tŋ̩˥uat.
阿美一直咧掃塗跤，攏無歇睏。	a˧bi˥ it˧ti˧̍t teʔ˧ sau˨ tʰɔ˩kʰa˧, loŋ˥ bo˩ hioʔ˧kʰun˨.
伊對伊的學生一律攏真嚴格。	i˧ tui˩ i˧ e˩ ha˧̍ksiŋ˧ it˧lu˧̍t loŋ˥ tsin gam˩keʔ˧.
伊佮我的看法並無一致。	i˧ kaʔ˧ gua˥ e˩ kʰuã˨huat˧ piŋ˦ bo˩ it˧ti˨.
伊一面做工，一面讀冊。	i˧ tsit˧bin˦ tso˩kaŋ˧, tsit˧bin˦ tʰak˩tsʰeʔ.
一面抹壁雙面光。	tsit˧bin˦ buaʔ˧piaʔ˧ siaŋ˧bin˦ kŋ̩˧.
伊食一屑仔飯爾爾。	i˧ tsiaʔ˧ tsit˧sut˧a˥ pŋ̩˦ nia˦nia˦.
一般人攏真愛面子。	it˧puã˧ laŋ˩ loŋ˥ tsin ai˨ bin˦tsu˥.
這擺欲替伊開刀的醫生攏是一粒一的。	tsit pai˥ beʔ˧ tʰe˨ i˧ kʰui˧to˧ e˩ i˧siŋ˧ loŋ˥ si˦ it˧liap˩it˧e˩.
阿英佮我是一粒一的好朋友。	a˧iŋ˧ kaʔ˧ gua˥ si˦ it˧liap˩it˧ e˩ ho˥piŋ˩iu˥.
伊跤手真緊，穡頭一睏仔就做了矣。	i˧ kʰa˧tsʰiu˥ tsin kin˥, sit˧tʰau˩ tsit˧kʰun˨a˥ to˦ tso˩liau˥aʔ˧.
遮的物件伊做一睏仔共伊食了。	tsia e˩ mi˧̍hkĩã˦ i˧ tso˩ tsit˧kʰun˨a˥ ka˦ i˧ tsiaʔ˧liau˥.
眾人的意見伊一概反對。	tsiŋ˩laŋ˩ e˩ i˨kian˨ i˧ it˧kʰai˨ huan˥tui˩.
祝恁一路平安。	tsiok lin˥ tsit˧lɔ˦ piŋ˩an˧.
加減食一寡。	ke˧kiam˥ tsiaʔ˧tsit˧kua˥.
猶有一寡仔物件無整理。	iau˥u˧ tsit˧kua˥a˥ mi˧̍hkĩã˦ bo˩ tsiŋ˥li˥.
藥仔食落去，到今一對時矣。	io˧̍ha˥ tsiaʔ˧lo˧̍hkʰi˨, kau˨tã˧ tsit˧ tui˩si˩aʔ˧.
伊來一霎仔久就轉去矣。	i˧ lai˩ tsit˧tiap˧a˥ku˥ to˦ tŋ̩˥kʰi˨aʔ˧.
你才食一點仔物件哪會飽？	li˥ tsiaʔ tsiaʔ˧ tsit˧tiam˥a˥ mi˧̍hkĩã˦ na˥ e˦ pa˥?
甲乙丙丁	kaʔ˧ it˧ pĩã˥ tiŋ˧
乙等	it˧ tiŋ˥
甲乙丙丁	kaʔ˧ it˧ pĩã˥ tiŋ˧
出丁	tsʰuttiŋ˧
七个人	tsʰit e˩ laŋ˩
七老八老	tsʰitlau˦peʔ˧lau˦
七除八扣	tsʰittu˧˥peʔ˧kʰau˨
十喙九尻川。	tsap˧ tsʰui˩ kau˥ kʰa˧tsʰŋ̍.
三教九流	sam˧kau˨kiu˥liu˩
飯食了才食果子。	pŋ̩˦ tsiaʔ˧liau˥ tsiaʔ tsiaʔ˧ kue˥tsi˥.
了解	liau˥kai˥
了力	liau˥lat˩
了工	liau˥kaŋ˧
了錢生理無人做。	liau˥tsi˧˥˧ siŋ˧li˥ bo˩ laŋ˩ tso˩.
講了真清楚。	koŋ˥ liau˥ tsin tsʰiŋtsʰo˥.
洗了無清氣。	se˥ liau˥ bo˩ tsʰiŋkʰi˨.
第二	te˦dzi˦
人類	dzin˩lui˦
人情	dzin˩tsiŋ˧˥
人事	dzin˩su˦
聖人	siŋ˨dzin˩
軍人	kun˧dzin˩
做牛著拖，做人著磨。	tso˩ gu˩ tioʔ˩ tʰua˧, tso˩ laŋ˩ tioʔ˩ bua˩.
莫共人講！	mai˨ ka˦ laŋ˩ koŋ˥!
予人看無	hɔ˦ laŋ˩ kʰuã˨bo˩
好人	ho˥laŋ˩
讀冊人	tʰak˩tsʰeʔlaŋ˩
中人	tioŋ˧laŋ˩
人毋管啦！	laŋ˩ m̄kuan˥laʔ˧!
伊人真好。	i˧ laŋ˩ tsin ho˥.
人無爽快	laŋ˩ bo˩ soŋ˥kʰuai˨
入去	dzip˩kʰi˨
入來	dzip˩lai˩
入被	dzip˩ pʰue˦
收入	siu˧dzip˩
入數	dzip˩ siau˨
三八婦女節	sam˧pat˧ hu˦li˥tseʔ
八个人	peʔ˧ e˩ laŋ˩
鉸刀	ka˧to˧
伊昨暝去予人刣幾若刀。	i˧ tsame˩ kʰi˨ hɔ˦ laŋ˩ tʰai˩ kui˥na˦ to˧.
伊欲買一刀紙。	i˧ beʔ˧ be˥ tsit˧ to˧ tsua˥.
刁故意	tiau˧kɔ˨i˨
刁工	tiau˧kaŋ˧
無力	bo˩lat˩
氣力	kʰui˨lat˩
力量	li˧̍klioŋ˦
財力	tsai˧˥li˧̍k
兵力	piŋ˧li˧̍k
十个人	tsap˧ e˩ laŋ˩
十喙九尻川	tsap˧tsʰui˩ kau˥ kʰa˧tsʰŋ̍
十五音	si˧̍pŋɔ˥im˧
十八仔	si˧̍ppat˧a˥
十全十美	si˧̍ptsuan˧˥si˧̍pbi˥
十字路	si˧̍pdzi˦lɔ˦
紅十字會	aŋ˩si˧̍pdzi˦hue˦
卜看覓咧！	poʔ˧ kʰuã˨mai˦leʔ˧!
我來卜一下仔卦咧。	gua˥ lai˩ pok˧ tsit˧e˦a˥ kua˨leʔ˧.
食又欲食，穡又毋做，真害！	tsiaʔ˧ iu˦ beʔ˧ tsiaʔ˧, sit˧ iu˦ m̄ tso˩, tsin hai˦!
鳥鼠予貓掠了了矣。	niau˥tsʰi˥ hɔ˦ niau˧ liaʔ˩liau˥liau˥aʔ˧.
這个袂使，彼个毋通，全你的意見了了。	tsit e˩ be˦sai˥, hit˧ e˩ m̄tʰaŋ˧, tsuan˧˥ li˥ e˩ i˨kian˨liau˥liau˥.
恁新婦人人呵咾。	lin˥ sin˧pu˦ laŋ˩laŋ˩ o˧lo˥.
十二分的感謝	tsap˧dzi˦hun˧ e˩ kam˥sia˦
二九暝家家戶戶攏咧圍爐。	dzi˦kau˥me˩ ke˧ke˧hɔ˦hɔ˦ loŋ˥ teʔ˧ ui˧˥lɔ˩.
查某囡仔十八變。	tsabɔ˥ gn˥a˥ tsap˧peʔ˧pian˨.
了工閣蝕本。	liau˥kaŋ˧ koʔ˧ si˧̍hpun˥.
割稻仔的人工愈濟就愈緊割了。	kuaʔ˧tiu˦a˥ e˩ laŋ˩kaŋ˧ dzu˥ tse˧ to˦ dzu˥ kin˥ kuaʔ˧liau˥.
臺灣現此時的人工真貴。	tai˩uan˧˥ hian˦tsʰu˥si˩ e˩ laŋ˩kaŋ˧ tsin kui˨.
入土為安	dzip˩tʰɔ˥ ui˧˥ an˧
我刁工來看你。	gua˥ tʰiau˧kaŋ˧ lai˩ kʰuã˨li˥.
你愈講，伊愈刁工。	li˥ dzu˥ koŋ˥, i˧ dzu˥ tʰiau˧kaŋ˧.
算命的講，人中長的人較長歲壽。	sŋ̩˨mia˦e˩ koŋ˥, dzin˩tioŋ˧ tn̩˩ e˩ laŋ˩ kʰaʔ˧ tn̩˩hue˨siu˦.
人有七孔。	laŋ˩ u˧ tsʰitkʰoŋ˥.
伊是二手，毋是頭手。	i˧ si˦ dzi˦tsʰiu˥, m̄ si˦ tʰau˩tsʰiu˥.
物件買二手的較俗。	mi˧̍hkĩã˦ be˥ dzi˦tsʰiu˥e˩ kʰaʔ˧ sio˧̍k.
八仙綵	pat˧sian˧tsʰai˥
你莫共伊刁古董。	li˥ mai˨ ka˦ i˧ tiau˧kɔ˥toŋ˥.
伊一禮拜至少愛賣三百个，才袂了本。	i˧ tsit˧ le˥pai˨ tsi˩tsio˥ ai˨ be˦ sã˧paʔ˧ e˩, tsiaʔ be˦ liau˥pun˥.
人生短短仔	dzin˩siŋ˧ te˥te˥a˥
刀石提來磨刀仔。	to˧tsioʔ˧ tʰe˧̍hlai˩ bua˩ to˧a˥.
十全大補湯	si˧̍ptsuan˧˥ tai˦ pɔ˥tʰŋ̩˧
十全十美	si˧̍ptsuan˧˥si˧̍pbi˥
七早八早，你就想欲歇睏？	tsʰittsa˥peʔ˧tsa˥, li˥ to˦ sĩũ˦beʔ˧ hioʔ˧kʰun˨?
你講閣較濟伊嘛聽袂入耳。	li˥ koŋ˥ koʔ˧kʰaʔ˧ tse˧ i˧ ma˦ tʰĩã˧ be˦ dzip˩ni˥.
食甲七老八老矣，猶閣毋認老。	tsiaʔ˧ kaʔ˧ tsʰitlau˦peʔ˧lau˦aʔ˧, iau˥koʔ˧ m̄ dzin˦lau˦.
你著較拍拚咧，毋通做了尾仔囝。	li˥ tioʔ˩ kʰaʔ˧ pʰaʔ˧pĩã˨leʔ˧, m̄tʰaŋ˧ tso˩ liau˥bue˥a˥kĩã˥.
講著種花伊閣有二步七仔！	koŋ˥tioʔ˩ tsiŋ˩ hue˧ i˧ koʔ˧ u˧dzi˦pɔ˦tsʰita˥!
睏飽了後，氣力十足。	kʰun˨pa˥ liau˥au˦, kʰui˨lat˩ tsap˧tsiok.
九芎仔柴	kiu˥kioŋ˧a˥tsʰa˧˥
人事室	dzin˩su˦sik˧
盡人事順天意。	tsin˧ dzin˩su˦ sun˦ tʰĩ˧i˨.
過年時仔伊會用外國酒來做人事。	kue˨ni˩si˩a˥ i˧ e˦ iŋ˦ gua˦kok˧ tsiu˥ lai˩ tso˩ dzin˩su˦.
陳家二房的囝孫仔攏真老實。	tan˩ka˧ dzi˦paŋ˩ e˩ kĩã˥sun˧a˥ loŋ˥ tsin lau˥si˧̍t.
大人物	tua˧dzin˩but˩
十花五色的人	tsap˧hue˧gɔ˦sik˧ e˩ laŋ˩
我今仔入門，電話就來矣。	gua˥ tã˧a˥ dzip˩mn̩˩, tian˦ue˧ to˦ lai˩aʔ˧.
我想欲趕緊共你娶入門。	gua˥ sĩũ˦beʔ˧ kuã˥kin˥ ka˦ li˥ tsʰua˧ dzip˩mn̩˩.
學音樂，我拄入門。	o˧̍h im˧gak˩, gua˥ tu˥ dzip˩mn̩˩.
哲學入門	tiat˧ha˧̍k dzip˩mn̩˩
咱愛好好仔招待人客。	lan˥ ai˨ ho˥ho˥a˥ tsiautʰai˦ laŋ˩kʰeʔ˧.
店內人客真濟。	tiam˨lai˦ laŋ˩kʰeʔ˧ tsin tse˧.
你出門了後，伊就醒矣。	li˥ tsʰutmn̩˩ liau˥au˦, i˧ to˦ tsʰe˥˧aʔ˧.
七星陣	tsʰittsʰe˧tin˦
大姊昨昏二指去予玻璃幼仔割著。	tua˧tsi˥ tsahŋ̩˧ dzi˦tsa˥i˧ kʰi˨ hɔ˦ po˧le˩iu˨a˥ kuaʔ˧tioʔ˩.
伊是刁持欲佮我做對的。	i˧ si˦ tiau˧ti˩ beʔ˧ kaʔ˧ gua˥ tso˩tui˩e˩.
我是刁持來看你的。	gua˥ si˦ tiau˧ti˩ lai˩ kʰuã˨li˥e˩.
伊刁故意欲講予你氣。	i˧ tiau˧kɔ˨i˨ beʔ˧ koŋ˥ hɔ˦ li˥ kʰi˨.
你毋通遐八珍。	li˥ m̄tʰaŋ˧ hiaʔ˧ pat˧tin˧.
伊的人面真闊，拜託伊就無毋著！	i˧ e˩ laŋ˩bin˦ tsin kʰuaʔ˧, pai˨tʰok˧i˧ to˦ bo˩ m̄tioʔ˩!
這个案件是人倫悲劇。	tsit e˩ an˨kĩã˦ si˦ dzin˩lun˩ pi˧kiok˩.
公務人員	koŋ˧bu˦ dzin˩uan˧˥
阮這个單位的人員無夠，工課才會做袂完。	guan˥ tsit e˩ tan˧ui˧ e˩ dzin˩uan˧˥ bo˩kau˨, kʰaŋ˧kʰue˨ tsiaʔ e˦ tso˩ be˦ uan˧˥.
你當時欲入厝？	li˥ taŋ˧si˩ beʔ˧ dzip˩tsʰu˩?
咱愛包禮共伊入厝。	lan˥ ai˨ pau˧le˥ ka˦ i˧ dzip˩tsʰu˩.
一戶人家	tsit˧ hɔ˦ dzin˩ke˧
做人愛重人格。	tso˩laŋ˩ ai˨ tioŋ˦ dzin˩keʔ˧.
我用人格共你保證。	gua˥ ioŋ˦ dzin˩keʔ˧ ka˦ li˥ po˥tsiŋ˩.
伊閣不止仔有人氣。	i˧ koʔ˧ put˧tsi˥a˥ u˧ dzin˩kʰi˨.
兩隊人馬佇街仔路相拄。	nn̩˦ tui˧ dzin˩ma˥ ti˦ ke˧a˥lɔ˦ sio˧tu˥.
伊昨暗入院。	i˧ tsaam˨ dzip˩ĩ˦.
做人情予伊。	tso˩dzin˩tsiŋ˧˥ hɔ˦i˧.
人在人情在。	dzin˩ tsai˧ dzin˩tsiŋ˧˥ tsai˧.
人情世事有夠濟。	dzin˩tsiŋ˧˥se˨su˦ u˧kau˨ tse˧.
伊真有人望。	i˧ tsin u˧ dzin˩boŋ˦.
人造雨	dzin˩tso˧hɔ˦
這支刀的刀喙真利。	tsit ki˧ to˧ e˩ to˧tsʰui˩ tsin lai˦.
戲園五點才會使入場。	hi˨hn̩˩ gɔ˦ tiam˥ tsiaʔ e˦sai˥ dzip˩tĩũ˩.
這个囡仔欲食毋討趁，有夠了然。	tsit e˩ gn˥a˥ beʔ˧ tsiaʔ˧ m̄ tʰo˥tʰan˨, u˧kau˨ liau˥dzian˩.
咱愛靠家己的力量拚出咱家己的前途。	lan˥ ai˨ kʰo˨ ka˧ki˦ e˩ li˧̍klioŋ˦ pĩã˨tsʰut lan˥ ka˧ki˦ e˩ tsian˧˥tɔ˩.
伊毋是刁意故的。	i˧ m̄ si˦ tʰiau˧i˨kɔ˨e˩.
伊又閣來矣。	i˧ iu˦koʔ˧ lai˩aʔ˧.
規間厝恬恬無聲，連半个人影嘛無。	kui˧ kiŋ˧ tsʰu˩ tiam˦tiam˦ bo˩sĩã˧, lian˩ puã˨ e˩ laŋ˩ĩã˥ ma˦ bo˩.
用九層塔煎卵真好食。	ioŋ˦ kau˥tsan˩tʰaʔ˧ tsian nn̩˦ tsin ho˥tsiaʔ˧.
伊真有人緣。	i˧ tsin u˧laŋ˩ian˩.
我今年就欲入學去讀冊矣！	gua˥ kin˧ni˩ to˦ beʔ˧ dzip˩o˧̍h kʰi˨ tʰak˩tsʰeʔaʔ˧!
伊彼幅圖有入選無？	i˧ hit˧ pak˧ tɔ˩ u˧ dzip˩suan˥bo˩?
伊做啥物生理攏了錢。	i˧ tso˩ sĩã˥miʔ˧ siŋ˧li˥ loŋ˥ liau˥tsi˧˥˧.
這號物件都已經有矣，你閣欲買，加了錢的。	tsitlo˦ mi˧̍hkĩã˦ to˧ i˥kiŋ˧ u˧aʔ˧, li˥ koʔ˧ beʔ˧ be˥, ke˧ liau˥tsi˧˥˧e˩.
這間店是算人頭收錢的。	tsit kiŋ˧ tiam˨ si˦ sŋ̩˨ laŋ˩tʰau˩ siu˧ tsi˧˥˧e˩.
警察掠著的是人頭，毋是真正的頭家。	kiŋ˥tsʰat liaʔ˩tioʔ˩e˩ si˦ laŋ˩tʰau˩, m̄ si˦ tsintsia˩˧ e˩ tʰau˩ke˧.
力頭真飽	lat˩tʰau˩ tsin pa˥
無佮意你就講，何乜苦共伊刁難？	bo˩ kaʔ˧i˨ li˥ to˦ koŋ˥, ho˩mi˥kʰɔ˥ ka˦ i˧ tʰiau˧lan˩?
三生有幸	sam˧siŋ˧iu˥hiŋ˦
三隻狗	sã˧ tsiaʔ kau˥
上車	tsiu˧˧tsʰia
上山	tsiu˧˧suã˧
上桌	tsiu˧˧toʔ˧
上水	tsʰiu˧˧tsui˥
上青苔	tsʰiu˧˧tsʰe˧tʰi˩
水面上	tsui˥bin˦sioŋ˦
上好	sioŋ˦ho˥
天跤下	tʰĩ˧kʰa˧e˦
拍三下	pʰaʔ˧ sã˧ e˦
驚一下	kĩã˧ tsit˧e˦
下班	ha˦pan˧
下課	ha˦kʰo˨
下令	ha˦liŋ˦
南下	lam˩ha˦
下集	ha˦ tsip˧
下級	ha˦kip˧
物件無位通下。	mi˧̍hkĩã˦ bo˩ ui˧ tʰaŋ˧ he˦.
下鹽	he˦ iam˩
乞食下大願。	kʰit˧tsiaʔ˧ he˦ tua˧ guan˦.
懸低	kuan˩ke˦
低音	ke˦im˧
兩个人	nn̩˦ e˩ laŋ˩
魚丸	hi˩uan˧˥
彼兩丸烏烏的物件是啥物？	hit˧ nn̩˦ uan˧˥ ɔ˧ɔ˧ e˩ mi˧̍hkĩã˦ si˦ sĩã˥miʔ˧?
伊離開真久矣。	i˧ li˦kʰui˧ tsin ku˥aʔ˧.
等一點鐘久矣。	tan˥ tsit˧ tiam˥tsiŋ ku˥aʔ˧.
這久	tsitku˥
彼久	hit˧ku˥
么二三	io˧ dzi˦ sã˧
乞符仔	kʰit˧ hu˩a˥
乞雨	kʰit˧ hɔ˦
這項物件有也好，無也好，攏無要緊。	tsit haŋ˦ mi˧̍hkĩã˦ u˧ ia˦ ho˥, bo˩ ia˦ ho˥, loŋ˥ bo˩ iau˨kin˥.
亡國	boŋ˩kok˧
亡兄	boŋ˩hiŋ˧
新亡	sin˧boŋ˩
傷亡	sioŋ˧boŋ˩
流亡	liu˩boŋ˩
平凡	piŋ˩huan˩
凡事	huan˩su˦
凡間	huan˦kan˧
仙女下凡	sian˧li˥ ha˦huan˦
千辛萬苦	tsʰiansin˧ban˦kʰɔ˥
一千箍	tsit˧tsʰiŋ kʰɔ˧
開叉	kʰui˧tsʰe
竹篙叉	tik˧ko˧tsʰe
叉人的頷頸。	tsʰe laŋ˩ e˩ am˦kun˥.
拍叉做記號。	pʰaʔ˧ tsʰe tso˩ ki˨ho˦.
用話叉人	iŋ˦ ue˧ tsʰelaŋ˩
店門口	tiam˨ mn̩˩kʰau˥
一口井	tsit˧ kʰau˥ te˥˧
一口劍	tsit˧ kʰau˥ kiam˨
一家口	tsit˧ ke˧kʰau˥
一口灶	tsit˧ kʰau˥tsau˩
土地	tʰɔ˥te˦
伊的人較土。	i˧ e˩ laŋ˩ kʰaʔ˧ tʰɔ˥.
本土	pun˥tʰɔ˥
土產	tʰɔ˥san˥
博士	pʰok˧su˦
士農工商	su˦ loŋ˩ kaŋ˧ sioŋ˧
大官	ta˧kuã˧
大家	ta˧ke˧
大量	tai˦lioŋ˦
大德	tai˦tik˧
阮大兄大我三歲。	guan˥ tua˧hĩã˧ tua˧ gua˥ sã˧ hue˨.
大紅	tua˧aŋ˩
大人	tua˧laŋ˩
大昨日	tua˧tsoʔ˧dzit˩
大後日	tua˧au˦dzit˩
大伯	tua˧peʔ˧
大姊	tua˧tsi˥
囡仔會大，早慢是愛離開。	gn˥a˥ e˦ tua˧, tsa˥ban˦ si˦ ai˨ li˦kʰui˧.
婦女	hu˦li˥
女權	lu˥kʰuan˩
銃子	tsʰiŋ˩tsi˥
果子	kue˥tsi˥
菜子	tsʰai˩tsi˥
烏魚子	ɔ˧hi˩tsi˥
公子	koŋ˧tsu˥
孝子	hau˨tsu˥
孔子公	kʰoŋ˥tsu˥koŋ˧
女子	lu˥tsu˥
男子	lam˩tsu˥
子弟	tsu˥te˦
弟子	te˦tsu˥
子丑寅卯	tsu˥ tʰiu˥ in˩ bau˥
甲子年	kaʔ˧tsu˥ ni˩
子時	tsu˥si˩
面子	bin˦tsu˥
棋子	ki˩dzi˥
算盤子	sŋ̩˨puã˩dzi˥
一子弓蕉	tsit˧ dzi˥ kiŋ˧tsio
陰鴆陰鴆，咬人三寸深。	im˧tʰim˧im˧tʰim˧, ka˦ laŋ˩ sã˧ tsʰun˩ tsʰim.
寸步難行	tsʰun˩ pɔ˦ lan˩ hiŋ˩
小寒	siau˥han˩
小女	siau˥lu˥
小湧	sio˥iŋ˥
小可	sio˥kʰua˥
小想一下	sio˥ sĩũ˦tsit˧e˦
小叔仔	sio˥tsika˥
阿里山	a˧li˥san˧
懸山	kuan˩ suã˧
起山	kʰi˥suã˧
山園	suã˧hn̩˩
山地	suã˧te˦
我一禮拜愛上班五工。	gua˥ tsit˧ le˥pai˨ ai˨ sioŋ˦pan˧ gɔ˦ kaŋ˧.
勞工	lo˩kaŋ˧
工人	kaŋ˧laŋ˩
木工	bak˩kaŋ˧
工程	kaŋ˧tiŋ˩
伊刻這粒印仔真了工。	i˧ kʰik˧ tsit liap˩ in˨a˥ tsin liau˥kaŋ˧.
我無彼號閒工佮你開講。	gua˥ bo˩ hit˧lo˦ iŋ˩kaŋ˧ kaʔ˧ li˥ kʰai˧kaŋ˥.
工場	kaŋ˧tĩũ˩
工業	kaŋ˧gap˩
化工	hua˨kaŋ˧
工尺	koŋ˧tsʰe
安份守己	an˧hun˦siu˥ki˥
自己	tsu˧ki˥
巳時	tsi˧si˩
面巾	bin˦kin˧
手巾仔	tsʰiu˥kin˧a˥
干戈	kan˧ko˧
天干	tʰian˧kan˧
干涉	kan˧sia˧̍p
干犯	kan˧huan˦
弓箭	kiŋ˧tsi˩˧
衫弓仔	sã˧kiŋ˧a˥
弓蕉	kiŋ˧tsio
弓大豬	kiŋ˧ tua˧ ti˧
大步弓	tua˧ pɔ˦ kiŋ˧
一弓弓蕉	tsit˧ kiŋ˧ kiŋ˧tsio
才調	tsai˧˥tiau˦
無才	bo˩tsai˧˥
將才	tsiɔŋ˩tsai˧˥
秀才	siu˨tsai˧˥
奴才	lɔ˩tsai˧˥
這馬我才知影伊是騙我的。	tsitma˥ gua˥ tsiaʔ tsaiĩã˥ i˧ si˦ pʰian˨gua˥e˩.
伊才十七歲爾爾，袂使啉酒。	i˧ tsiaʔ tsap˧tsʰit hue˨ nia˦nia˦, be˦sai˥ lim˧ tsiu˥.
我才無欲相信你講的話！	gua˥ tsiaʔ bo˩ beʔ˧ sioŋ˧sin˨ li˥ koŋ˥ e˩ ue˧!
後擺我才共你講。	au˦pai˥ gua˥ tsiaʔ ka˦ li˥ koŋ˥.
電影看煞才來去食飯。	tian˦ĩã˥ kʰuã˨suaʔ˧ tsiaʔ lai˩kʰi˨ tsiaʔ˧pŋ̩˦.
這款木材一才偌濟？	tsit kʰuan˥ bok˩tsai˧˥ tsit˧ tsʰai˧˥ gua˦tse˧?
阮丈人明仔載欲起來臺北。	guan˥ tĩũ˦laŋ˩ bin˩a˥tsai˩ beʔ˧ kʰi˥lai˩ tai˩pak˧.
三八人	sam˧pat˧ laŋ˩
伊是一个土人，講話較凊彩，你毋通佮伊計較。	i˧ si˦ tsit˧ e˩ tʰɔ˥laŋ˩, koŋ˥ue˧ kʰaʔ˧ tsʰin˩tsʰai˥, li˥ m̄tʰaŋ˧ kaʔ˧ i˧ ke˨kau˨.
警察大人	kiŋ˥tsʰat tai˦dzin˩
大人儉一喙，囡仔食甲飫。	tua˧laŋ˩ kʰiam˦ tsit˧ tsʰui˩, gn˥a˥ tsiaʔ˧ kaʔ˧ ui˩.
囡仔猶閣細漢，你毋通共拍甲遐爾仔大力。	gn˥a˥ iau˥koʔ˧ se˨han˨, li˥ m̄tʰaŋ˧ ka˦ pʰaʔ˧ kaʔ˧ hiaʔ˧ni˦a˥ tua˧lat˩.
對臺北坐高鐵到臺中上久是一點捅鐘。	tui˩ tai˩pak˧ tse˧ ko˧tʰiʔ˧ kau˨ tai˩tioŋ˧ sioŋ˦ku˥ si˦ tsit˧ tiam˥ tʰoŋ˥ tsiŋ.
頂禮拜阮一陣人上山去看風景。	tiŋ˥ le˥pai˨ guan˥ tsit˧ tin˦ laŋ˩ tsiu˧˧suã˧ kʰi˨ kʰuã˨ hoŋ˧kiŋ˥.
我欲準備下山矣。	gua˥ beʔ˧ tsun˥pi˦ ha˦san˧aʔ˧.
伊久久才來一擺。	i˧ ku˥ku˥ tsiaʔ lai˩ tsit˧ pai˥.
伊拍一下傷大下，箠仔煞斷去。	i˧ pʰaʔ˧ tsit˧e˦ sĩũ˧ tua˧e˦, tsʰue˧˥a˥ suaʔ˧ tn̩˦kʰi˨.
伊真小口，食袂濟。	i˧ tsin sio˥kʰau˥, tsiaʔ˧ be˦ tse˧.
男子漢大丈夫	lam˩tsu˥han˨ tai˦tioŋ˦hu˧
叫你莫，你干干仔欲！	kio˨ li˥ mai˨, li˥ kan˧kan˧a˥ beʔ˧!
山頂的暗暝，會使看著千千萬萬粒星。	suã˧tiŋ˥ e˩ am˨me˩, e˦sai˥ kʰuã˨tioʔ˩ tsʰiantsʰianban˦ban˦ liap˩ tsʰe˧.
這馬下勻的少年人，想法佮阮往過攏無仝。	tsitma˥ e˦un˧˥ e˩ siau˨lian˩laŋ˩, sĩũ˦huat˧ kaʔ˧ guan˥ iŋ˥kue˨ loŋ˥ bo˩ kaŋ˦.
大不了予人罵罵咧爾爾。	tai˦put˧liau˥ hɔ˦ laŋ˩ me˦me˦leʔ˧ nia˦nia˦.
