ააბარგებს	aabaɾgebs
აგრესიული	agɾesiuli
აგრესიულობა	agɾesiuɫoba
აგრესორი	agɾesoɾi
აგროვებს	agɾovebs
აგრძელებ	agɾdzelepʰ
აგრძელებს	agɾdzelebs
აგულაშვილი	aguɫaʃʷili
აგური	aguɾi
ადამაშვილი	adamaʃʷili
ადამიანად	adamianatʰ
ადამიანთაშორისი	adamiantʰaʃoɾisi
ადამიანურად	adamianuɾatʰ
ადამიანური	adamianuɾi
ადაპტაცია	adapʼtʼatsʰia
ადარებს	adaɾebs
ადარნასე	adaɾnase
ადგილას	adgiɫas
ადგილობითი	adgiɫobitʰi
ადგილობრივად	adgiɫobɾivatʰ
ადგილობრივი	adgiɫobɾivi
ადეიშვილი	adeiʃʷili
ადეკვატურად	adekʼʷatʼuɾatʰ
ადეკვატური	adekʼʷatʼuɾi
ადეკვატურობა	adekʼʷatʼuɾoba
ადენოიდური	adenoiduɾi
ადვაძე	adʷadze
ადვენტი	adʷentʼi
ადვილად	adʷiɫatʰ
ადვილი	adʷili
ადიან	adian
ადიკაშვილი	adikʼaʃʷili
ადიულტერი	adiultʼeɾi
ადმინისტრატორი	administʼɾatʼoɾi
ადმინისტრაცია	administʼɾatsʰia
ადმინისტრაციულად	administʼɾatsʰiuɫatʰ
ადმინისტრაციული	administʼɾatsʰiuli
ადმირალი	admiɾali
ადოლაშვილი	adoɫaʃʷili
ადრე	adɾe
ადრევე	adɾeve
ადრენალინი	adɾenalini
ადრესატი	adɾesatʼi
ადრეულა	adɾeuɫa
ადრეულად	adɾeuɫatʰ
ადრეული	adɾeuli
ადრიანე	adɾiane
ადრიანი	adɾiani
ადუაშვილი	aduaʃʷili
ადუღება	aduʁeba
ადუღებს	aduʁebs
აეროდინამიკა	aeɾodinamikʼa
აეროდრომი	aeɾodɾomi
აეროზოლი	aeɾozoli
აეროპორტი	aeɾopʼoɾtʼi
აეხსნა	aeχsna
ავად	avatʰ
ავადმყოფი	avadmχʼopʰi
ავადმყოფობა	avadmχʼopʰoba
ავადმყოფობს	avadmχʼopʰobs
ავადმყოფურად	avadmχʼopʰuɾatʰ
ავადმყოფური	avadmχʼopʰuɾi
ავანაშვილი	avanaʃʷili
ავანგარდი	avaŋgaɾdi
ავანგარდისტული	avaŋgaɾdistʼuli
ავანტიურული	avantʼiuɾuli
ავარდება	avaɾdeba
ავარია	avaɾia
ავგაროზაშვილი	avgaɾozaʃʷili
ავდარი	avdaɾi
ავთანდილ	aftʰandil
ავთანდილაშვილი	aftʰandiɫaʃʷili
ავთვისებიანი	aftʰʷisebiani
ავიატორი	aviatʼoɾi
ავიაქარხანა	aviakʰaɾχana
ავიაცია	aviatsʰia
ავიახაზი	aviaχazi
ავიდა	avida
ავისმომასწავებლად	avismomastsʼavebɫatʰ
ავიწროვებს	avitsʼɾovebs
ავკაცი	afkʼatsʰi
ავკოფაშვილი	afkʼopʰaʃʷili
ავლაბარი	avɫabaɾi
ავლახაშვილი	avɫaχaʃʷili
ავლოხაშვილი	avɫoχaʃʷili
ავრორა	avɾoɾa
ავრცელებს	avɾtsʰelebs
ავრცობს	avɾtsʰobs
ავსაჯანაშვილი	afsadʒanaʃʷili
ავსაჯანიშვილი	afsadʒaniʃʷili
ავსებული	afsebuli
ავსტრალია	afstʼɾalia
ავსტრალიური	afstʼɾaliuɾi
ავსტრია	afstʼɾia
ავსტრიელი	afstʼɾieli
ავსტრიული	afstʼɾiuli
ავტარკია	aftʼaɾkʼia
ავტარკიული	aftʼaɾkʼiuli
ავტობიოგრაფია	aftʼobiogɾapʰia
ავტობიოგრაფიულად	aftʼobiogɾapʰiuɫatʰ
ავტობიოგრაფიული	aftʼobiogɾapʰiuli
ავტობუსი	aftʼobusi
ავტოგრაფი	aftʼogɾapʰi
ავტოკალამი	aftʼokʼaɫami
ავტოკეფალია	aftʼokʼepʰalia
ავტოკეფალიური	aftʼokʼepʰaliuɾi
ავტოკეფალურობა	aftʼokʼepʰaɫuɾoba
ავტოკოლონა	aftʼokʼoɫona
ავტოკრატი	aftʼokʼɾatʼi
ავტოკრატია	aftʼokʼɾatʼia
ავტოკრატიული	aftʼokʼɾatʼiuli
ავტომატარებელი	aftʼomatʼaɾebeli
ავტომატი	aftʼomatʼi
ავტომატურად	aftʼomatʼuɾatʰ
ავტომატური	aftʼomatʼuɾi
ავტომობილი	aftʼomobili
ავტონომია	aftʼonomia
ავტონომიური	aftʼonomiuɾi
ავტორად	aftʼoɾatʰ
ავტორები	aftʼoɾebi
ავტორი	aftʼoɾi
ავტორით	aftʼoɾitʰ
ავტორის	aftʼoɾis
ავტორიტარიზმი	aftʼoɾitʼaɾizmi
ავტორიტარული	aftʼoɾitʼaɾuli
ავტორიტეტი	aftʼoɾitʼetʼi
ავტორიტეტულად	aftʼoɾitʼetʼuɫatʰ
ავტორიტეტული	aftʼoɾitʼetʼuli
ავტორმა	aftʼoɾma
ავტორო	aftʼoɾo
ავტორობა	aftʼoɾoba
ავტორს	aftʼoɾs
ავტოსადგომი	aftʼosadgomi
ავტოსტოპად	aftʼostʼopʼatʰ
ავტოსტოპი	aftʼostʼopʼi
ავტოსტოპით	aftʼostʼopʼitʰ
ავტოსტოპის	aftʼostʼopʼis
ავტოსტოპმა	aftʼostʼopʼma
ავტოსტოპს	aftʼostʼopʼs
ავტოსტრადა	aftʼostʼɾada
ავტოფობია	aftʼopʰobia
ავქოფაშვილი	afkʰopʰaʃʷili
ავღანეთი	avʁanetʰi
ავღანელი	avʁaneli
ავღანური	avʁanuɾi
ავყია	avχʼia
ავყიობა	avχʼioba
ავხორცად	afχoɾtsʰatʰ
ავხორცი	afχoɾtsʰi
ავხორცობა	afχoɾtsʰoba
ავხორცულად	afχoɾtsʰuɫatʰ
აზალაძე	azaɫadze
აზამ	azam
აზარიაშვილი	azaɾiaʃʷili
აზარტული	azaɾtʼuli
აზაურაშვილი	azauɾaʃʷili
აზერბაიჯანი	azeɾbaidʒani
აზვიადებს	azʷiadebs
აზვირთებული	azʷiɾtʰebuli
აზია	azia
აზიდული	aziduli
აზირაშვილი	aziɾaʃʷili
აზიური	aziuɾi
აზმაიფარაშვილი	azmaipʰaɾaʃʷili
აზნაური	aznauɾi
აზოტური	azotʼuɾi
აზრად	azɾatʰ
აზრი	azɾi
აზრიანად	azɾianatʰ
აზრიანი	azɾiani
აზრით	azɾitʰ
აზრის	azɾis
აზრმა	azɾma
აზროვნება	azɾovneba
აზრს	azɾs
აზრუმელაშვილი	azɾumeɫaʃʷili
აზღუდი	azʁudi
ათარიღებს	atʰaɾiʁebs
ათასწლოვანი	atʰastsʼɫovani
ათაშანგი	atʰaʃaŋgi
ათეისტური	atʰeistʼuɾi
ათენური	atʰenuɾi
ათესვა	atʰesʷa
ათესვინებს	atʰesʷinebs
ათვალიერებს	atʰʷalieɾebs
ათკუთხა	atʰkʼutʰχa
ათკუთხედი	atʰkʼutʰχedi
ათლეტური	atʰletʼuɾi
ათმარცვლიანი	atʰmaɾtsʰʷliani
ათრევს	atʰɾefs
ათქვეფილი	atʰkʰʷepʰili
ათხოვებს	atʰχovebs
ათჯერ	atʰdʒeɾ
ათჯერადი	atʰdʒeɾadi
აი	ai
აიდერი	aideɾi
აინტერესებს	aintʼeɾesebs
აიოვის	aiovis
აირადი	aiɾadi
აირი	aiɾi
აირღუმელი	aiɾʁumeli
აირწინაღი	aiɾtsʼinaʁi
აისბერგი	aisbeɾgi
აკადემიად	akʼademiatʰ
აკადემიურად	akʼademiuɾatʰ
აკადემიური	akʼademiuɾi
აკაზმულობა	akʼazmuɫoba
აკანკალებული	akʼaŋkʼalebuli
აკაცია	akʼatsʰia
აკერებს	akʼeɾebs
აკვალანგი	akʼʷaɫaŋgi
აკვამარინი	akʼʷamaɾini
აკვანთა	akʼʷantʰa
აკვანი	akʼʷani
აკვანმა	akʼʷanma
აკვანნი	akʼʷanni
აკვანნო	akʼʷanno
აკვანო	akʼʷano
აკვანს	akʼʷans
აკვარელი	akʼʷaɾeli
აკვარელისტი	akʼʷaɾelistʼi
აკვარიუმი	akʼʷaɾiumi
აკვდება	akʼʷdeba
აკვედუკი	akʼʷedukʼi
აკვიატება	akʼʷiatʼeba
აკვიატებულად	akʼʷiatʼebuɫatʰ
აკვიატებული	akʼʷiatʼebuli
აკვირვებს	akʼʷiɾʷebs
აკვიტანია	akʼʷitʼania
აკვნად	akʼʷnatʰ
აკვნებად	akʼʷnebatʰ
აკვნები	akʼʷnebi
აკვნებით	akʼʷnebitʰ
აკვნების	akʼʷnebis
აკვნებმა	akʼʷnebma
აკვნებო	akʼʷnebo
აკვნებს	akʼʷnebs
აკვნით	akʼʷnitʰ
აკვნის	akʼʷnis
აკვრევინებს	akʼʷɾevinebs
აკობაშვილი	akʼobaʃʷili
აკოლაშვილი	akʼoɫaʃʷili
აკომპანირება	akʼompʼaniɾeba
აკორდეონი	akʼoɾdeoni
აკოფაშვილი	akʼopʰaʃʷili
აკრავს	akʼɾafs
აკრი	akʼɾi
აკრისტალებს	akʼɾistʼalebs
აკრიფეთ	akʼɾipʰetʰ
აკრობატი	akʼɾobatʼi
აკრობატიკა	akʼɾobatʼikʼa
აკროპოლისი	akʼɾopʼolisi
აკროსტიქი	akʼɾostʼikʰi
აკროფობია	akʼɾopʰobia
აკრძალვა	akʼɾdzalʷa
აკრძალვითად	akʼɾdzalʷitʰatʰ
აკრძალვითი	akʼɾdzalʷitʰi
აკრძალული	akʼɾdzaɫuli
აკულაშვილი	akʼuɫaʃʷili
აკუმულატორი	akʼumuɫatʼoɾi
აკურატულად	akʼuɾatʼuɫatʰ
აკურატული	akʼuɾatʼuli
აკურატულობა	akʼuɾatʼuɫoba
აკურთხებს	akʼuɾtʰχebs
აკუსტიკური	akʼustʼikʼuɾi
ალ	al
ალაბამა	aɫabama
ალაგარდაშვილი	aɫagaɾdaʃʷili
ალაგებს	aɫagebs
ალაგი	aɫagi
ალადასტური	aɫadastʼuɾi
ალადინი	aɫadini
ალავერდაშვილი	aɫaveɾdaʃʷili
ალავერდი	aɫaveɾdi
ალავი	aɫavi
ალაზანი	aɫazani
ალაზნის	alaznis
ალალბედზე	aɫalbedze
ალალი	aɫali
ალალმართლად	aɫalmaɾtʰɫatʰ
ალალმართლობა	aɫalmaɾtʰɫoba
ალამი	aɫami
ალან	alan
ალანდის	alandis
ალაო	aɫao
ალასანია	aɫasania
ალასანიას	alasanias
ალასკა	aɫaskʼa
ალაფი	aɫapʰi
ალაჰი	aɫahi
ალბა	alba
ალბანური	albanuɾi
ალბატროსი	albatʼɾosi
ალბერტა	albeɾtʼa
ალბერტი	albeɾtʼi
ალბომად	albomatʰ
ალბომში	albomʃi
ალბორაშვილი	alboɾaʃʷili
ალბუთაშვილი	albutʰaʃʷili
ალგებრა	algebɾa
ალგებრულად	algebɾuɫatʰ
ალგებრული	algebɾuli
ალგორითმი	algoɾitʰmi
ალებასტრი	alebastʼɾi
ალეგორია	alegoɾia
ალეგორიული	alegoɾiuli
ალელიშვილი	aleliʃʷili
ალერგია	aleɾgia
ალერგიული	aleɾgiuli
ალერსად	aleɾsatʰ
ალერსი	aleɾsi
ალერსიანი	aleɾsiani
ალერსით	aleɾsitʰ
ალერსის	aleɾsis
ალერსმა	aleɾsma
ალერსო	aleɾso
ალერსს	aleɾss
ალექსანდრა	alekʰsandɾa
ალექსანდრე	alekʰsandɾe
ალექსანდრია	alekʰsandɾia
ალვა	alʷa
ალვეოლური	alʷeoɫuɾi
ალთუნაშვილი	altʰunaʃʷili
ალიბეგაშვილი	alibegaʃʷili
ალიგატორი	aligatʼoɾi
ალიმბარაშვილი	alimbaɾaʃʷili
ალიმბერაშვილი	alimbeɾaʃʷili
ალის	alis
ალისფერი	alispʰeɾi
ალიტერაცია	alitʼeɾatsʰia
ალიტერაციული	alitʼeɾatsʰiuli
ალიხანაშვილი	aliχanaʃʷili
ალკოჰოლური	alkʼohoɫuɾi
ალმანახი	almanaχi
ალმასის	almasis
ალმური	almuɾi
ალო	aɫo
ალოე	aɫoe
ალპური	alpʼuɾi
ალჟირი	alʒiɾi
ალჟირის	alʒiɾis
ალტერნატივა	altʼeɾnatʼiva
ალტერნატიულად	altʼeɾnatʼiuɫatʰ
ალტერნატიული	altʼeɾnatʼiuli
ალტიმეტრი	altʼimetʼɾi
ალტრუიზმი	altʼɾuizmi
ალტრუისტი	altʼɾuistʼi
ალტრუისტულად	altʼɾuistʼuɫatʰ
ალტრუისტული	altʼɾuistʼuli
ალუაშვილი	aɫuaʃʷili
ალუბალი	aɫubali
ალუდა	aɫuda
ალუვიური	aɫuviuɾi
ალუმინი	aɫumini
ალუჩა	aɫutʃʰa
ალღო	alʁo
ალყა	alχʼa
ალხაზიშვილი	alχaziʃʷili
ამ	am
ამა	ama
ამაზაშვილი	amazaʃʷili
ამაზე	amaze
ამალა	amaɫa
ამან	aman
ამანათაშვილი	amanatʰaʃʷili
ამაოდ	amaotʰ
ამართლებს	amaɾtʰlebs
ამარილისი	amaɾilisi
ამას	amas
ამაღამ	amaʁam
ამაღელვებელი	amaʁelʷebeli
ამაღელვებლად	amaʁelʷebɫatʰ
ამაღლებულად	amaʁlebuɫatʰ
ამაღლებული	amaʁlebuli
ამაღლებულობა	amaʁlebuɫoba
ამაყად	amaχʼatʰ
ამაყი	amaχʼi
ამახინჯებს	amaχindʒebs
ამბარდნიშვილი	ambaɾdniʃʷili
ამბიცია	ambitsʰia
ამბობს	ambobs
ამბორი	amboɾi
ამბოხება	amboχeba
ამბოხებული	amboχebuli
ამბოხი	amboχi
ამბრაზურა	ambɾazuɾa
ამბრიაშვილი	ambɾiaʃʷili
ამბროსაშვილი	ambɾosaʃʷili
ამბროსიშვილი	ambɾosiʃʷili
ამდენად	amdenatʰ
ამეთვისტო	ametʰʷistʼo
ამეთვისტოსფერი	ametʰʷistʼospʰeɾi
ამელის	amelis
ამერიკა	ameɾikʼa
ამერიკად	ameɾikʼatʰ
ამერიკამ	ameɾikʼam
ამერიკანიზმი	ameɾikʼanizmi
ამერიკანისტიკა	ameɾikʼanistʼikʼa
ამერიკას	ameɾikʼas
ამერიკელი	ameɾikʼeli
ამერიკით	ameɾikʼitʰ
ამერიკის	ameɾikʼis
ამერიკისმცოდნეობა	ameɾikʼismtsʰodneoba
ამერიკული	ameɾikʼuli
ამერიციუმი	ameɾitsʰiumi
ამთავრებს	amtʰavɾebs
ამთვისებელი	amtʰʷisebeli
ამთქნარებს	amtʰkʰnaɾebs
ამიერიდან	amieɾidan
ამიერკავკასია	amieɾkʼafkʼasia
ამინაშვილი	aminaʃʷili
ამირა	amiɾa
ამირანი	amiɾani
ამირაშვილი	amiɾaʃʷili
ამირეზაშვილი	amiɾezaʃʷili
ამირი	amiɾi
ამირხანაშვილი	amiɾχanaʃʷili
ამის	amis
ამისულაშვილი	amisuɫaʃʷili
ამიტომ	amitʼom
ამიტომაც	amitʼomatsʰ
ამნიაშვილი	amniaʃʷili
ამობურცული	amobuɾtsʰuli
ამოდის	amodis
ამოზნექილად	amoznekʰiɫatʰ
ამოზნექილობა	amoznekʰiɫoba
ამოთითხნილი	amotʰitʰχnili
ამომრჩეველი	amomɾtʃʰeveli
ამომრჩევლები	amomɾtʃʰevlebi
ამომწურავად	amomtsʼuɾavatʰ
ამომწურავი	amomtsʼuɾavi
ამორალური	amoɾaɫuɾi
ამორტიზაცია	amoɾtʼizatsʰia
ამორფული	amoɾpʰuli
ამორჩეული	amoɾtʃʰeuli
ამორძალი	amoɾdzali
ამოურჩეველი	amouɾtʃʰeveli
ამოუწურავი	amoutsʼuɾavi
ამოფრქვევა	amopʰɾkʰʷeva
ამოღარულია	amoʁaɾulia
ამოყვანილი	amoχʼʷanili
ამოშალეს	amoʃales
ამოშვერილი	amoʃʷeɾili
ამოცანა	amotsʰana
ამოცნობა	amotsʰnoba
ამოძირკვავს	amodziɾkʼʷafs
ამოხველება	amoχʷeleba
ამპარტავანი	ampʼaɾtʼavani
ამპარტავნულად	ampʼaɾtʼavnuɫatʰ
ამპერი	ampʼeɾi
ამპერმეტრი	ampʼeɾmetʼɾi
ამპულა	ampʼuɫa
ამპუტაცია	ampʼutʼatsʰia
ამჟამად	amʒamatʰ
ამრავლებს	amɾavlebs
ამრაზიშვილი	amɾaziʃʷili
ამრგვალებს	amɾgʷalebs
ამრეკლავად	amɾekʼɫavatʰ
ამრეკლავი	amɾekʼɫavi
ამრიგად	amɾigatʰ
ამსგავსებს	amsgafsebs
ამსტერდამი	amstʼeɾdami
ამტვირთავი	amtʼʷiɾtʰavi
ამტვრევს	amtʼʷɾefs
ამურველაშვილი	amuɾʷeɫaʃʷili
ამუხრუჭებს	amuχɾutʃʼebs
ამფითეატრი	ampʰitʰeatʼɾi
ამფორა	ampʰoɾa
ამქვეყნიური	amkʰʷeχʼniuɾi
ამღერებს	amʁeɾebs
ამღვრეულობა	amʁʷɾeuɫoba
ამშვიდებს	amʃʷidebs
ამჩნევს	amtʃʰnefs
ამძვრალი	amdzʷɾali
ამწარებს	amtsʼaɾebs
ამხანაგი	amχanagi
ამხანაგობა	amχanagoba
ამხედრებული	amχedɾebuli
ან	an
ანა	ana
ანაბარი	anabaɾi
ანაბიოზი	anabjozi
ანაგვიანებს	anagʷianebs
ანალიზური	analizuɾi
ანალიტიკური	analitʼikʼuɾi
ანალოგი	anaɫogi
ანალოგია	anaɫogia
ანალოგიურად	anaɫogiuɾatʰ
ანალოგიური	anaɫogiuɾi
ანალური	anaɫuɾi
ანამ	anam
ანანიაშვილი	ananiaʃʷili
ანარის	anaɾis
ანარქია	anaɾkʰia
ანარქიზმი	anaɾkʰizmi
ანარქისტი	anaɾkʰistʼi
ანარქიულად	anaɾkʰiuɫatʰ
ანარქიული	anaɾkʰiuli
ანატომიურად	anatʼomiuɾatʰ
ანატომიური	anatʼomiuɾi
ანაფილაქსია	anapʰiɫakʰsia
ანაფორა	anapʰoɾa
ანაქრონიზმი	anakʰɾonizmi
ანაღდებს	anaʁdebs
ანახებს	anaχebs
ანახვებს	anaχʷebs
ანახშირებს	anaχʃiɾebs
ანბანურად	anbanuɾatʰ
ანბანური	anbanuɾi
ანგარება	aŋgaɾeba
ანგარები	aŋgaɾebi
ანგარებიანი	aŋgaɾebiani
ანგარი	aŋgaɾi
ანგარიშვალდებულება	aŋgaɾiʃʷaldebuleba
ანგარიშვალდებული	aŋgaɾiʃʷaldebuli
ანგარიში	aŋgaɾiʃi
ანგარიშიანი	aŋgaɾiʃiani
ანგარიშმიუცემლად	aŋgaɾiʃmiutsʰemɫatʰ
ანგელოზა	aŋgeɫoza
ანგელოზი	aŋgeɫozi
ანგელოზივით	aŋgeɫozivitʰ
ანგია	aŋgia
ანგინა	aŋgina
ანგლიკანური	aŋglikʼanuɾi
ანგლისტიკა	aŋglistʼikʼa
ანგლიციზმი	aŋglitsʰizmi
ანგლოსაქსური	aŋgɫosakʰsuɾi
ანგლოფობი	aŋgɫopʰobi
ანგოლა	aŋgoɫa
ანგორა	aŋgoɾa
ანგრევს	aŋgɾefs
ანდალუსია	andaɫusia
ანდიაშვილი	andiaʃʷili
ანდორა	andoɾa
ანდრაზაშვილი	andɾazaʃʷili
ანდრია	andɾia
ანდრიაშვილი	andɾiaʃʷili
ანდროგენიზაცია	andɾogenizatsʰia
ანეკდოტური	anekʼdotʼuɾi
ანემიურად	anemiuɾatʰ
ანესაშვილი	anesaʃʷili
ანთოლოგია	antʰoɫogia
ანთრაციტი	antʰɾatsʰitʼi
ანთროპოიდი	antʰɾopʼoidi
ანთროპოიდული	antʰɾopʼoiduli
ანთროპოლოგი	antʰɾopʼoɫogi
ანთროპოლოგია	antʰɾopʼoɫogia
ანიაშვილი	aniaʃʷili
ანიკაშვილი	anikʼaʃʷili
ანიმაციური	animatsʰiuɾi
ანკესი	aŋkʼesi
ანკეტა	aŋkʼetʼa
ანომალია	anomalia
ანომალიური	anomaliuɾi
ანომალურად	anomaɫuɾatʰ
ანონიმურად	anonimuɾatʰ
ანონიმური	anonimuɾi
ანონიმურობა	anonimuɾoba
ანოტაცია	anotʼatsʰia
ანჟუს	anʒus
ანტაგონისტურად	antʼagonistʼuɾatʰ
ანტარქტიდა	antʼaɾkʰtʼida
ანტარქტიკა	antʼaɾkʰtʼikʼa
ანტარქტიკული	antʼaɾkʰtʼikʼuli
ანტენატალური	antʼenatʼaɫuɾi
ანტიგმირი	antʼigmiɾi
ანტიდასავლური	antʼidasavɫuɾi
ანტიდისკრიმინაციული	antʼidiskʼɾiminatsʰiuli
ანტიევროპული	antʼievɾopʼuli
ანტივირუსი	antʼiviɾusi
ანტიიმპერიალიზმი	antʼiimpʼeɾializmi
ანტიკაპიტალისტური	antʼikʼapʼitʼalistʼuɾi
ანტიკვარი	antʼikʼʷaɾi
ანტიკვარული	antʼikʼʷaɾuli
ანტიკოლონიალიზმი	antʼikʼoɫonializmi
ანტიკოლონიალისტი	antʼikʼoɫonialistʼi
ანტიკოლონიზაცია	antʼikʼoɫonizatsʰia
ანტიკომუნისტური	antʼikʼomunistʼuɾi
ანტიკური	antʼikʼuɾi
ანტიკურობა	antʼikʼuɾoba
ანტილოპა	antʼiɫopʼa
ანტიპათიური	antʼipʼatʰiuɾi
ანტისხეული	antʼisχeuli
ანტიფაშისტური	antʼipʰaʃistʼuɾi
ანტიფედერალიზმი	antʼipʰedeɾalizmi
ანტიფედერალისტი	antʼipʰedeɾalistʼi
ანტიციკლონი	antʼitsʰikʼɫoni
ანტონაშვილი	antʼonaʃʷili
ანტონიშვილი	antʼoniʃʷili
ანტრაქტი	antʼɾakʰtʼi
ანტრესოლი	antʼɾesoli
ანტურაჟი	antʼuɾaʒi
ანუ	anu
ანუაშვილი	anuaʃʷili
ანძრევს	andzɾefs
აოთხმაგებს	aotʰχmagebs
აორისტი	aoɾistʼi
აორტა	aoɾtʼa
აპათიურად	apʼatʰiuɾatʰ
აპათიური	apʼatʰiuɾi
აპარატად	apʼaɾatʼatʰ
აპარატი	apʼaɾatʼi
აპარატით	apʼaɾatʼitʰ
აპარატის	apʼaɾatʼis
აპარატმა	apʼaɾatʼma
აპარატო	apʼaɾatʼo
აპარატს	apʼaɾatʼs
აპართეიდი	apʼaɾtʰeidi
აპარტეიდი	apʼaɾtʼeidi
აპენდიციტი	apʼenditsʰitʼi
აპირებს	apʼiɾebs
აპლიკაცია	apʼlikʼatsʰia
აპლოდისმენტი	apʼɫodismentʼi
აპლომბი	apʼɫombi
აპოკალიფსური	apʼokʼalipʰsuɾi
აპოკრიფული	apʼokʼɾipʰuli
აპოლოგეტი	apʼoɫogetʼi
აპოლოგეტიკა	apʼoɫogetʼikʼa
აპოლონი	apʼoɫoni
აპრილად	apʼɾiɫatʰ
აპრილი	apʼɾili
აპრილით	apʼɾilitʰ
აპრილის	apʼɾilis
აპრილმა	apʼɾilma
აპრილს	apʼɾils
აპრიორი	apʼɾioɾi
აპრიორული	apʼɾioɾuli
არ	aɾ
არა	aɾa
არაადამიანურად	aɾaadamianuɾatʰ
არაადამიანური	aɾaadamianuɾi
არაადეკვატურად	aɾaadekʼʷatʼuɾatʰ
არაადეკვატური	aɾaadekʼʷatʼuɾi
არააკურატულად	aɾaakʼuɾatʼuɫatʰ
არაალკოჰოლური	aɾaalkʼohoɫuɾi
არაარსებითი	aɾaaɾsebitʰi
არაბაშვილი	aɾabaʃʷili
არაბეთი	aɾabetʰi
არაბესკები	aɾabeskʼebi
არაბთმცოდნეობა	aɾabtʰmtsʰodneoba
არაბი	aɾabi
არაბინარული	aɾabinaɾuli
არაბისტი	aɾabistʼi
არაბისტიკა	aɾabistʼikʼa
არაბიძე	aɾabidze
არაბულ	aɾabul
არაბული	aɾabuli
არაბუნებრივად	aɾabunebɾivatʰ
არაბუნებრივი	aɾabunebɾivi
არაგანახლებადი	aɾaganaχlebadi
არაგვიშვილი	aɾagʷiʃʷili
არაგონებამახვილურად	aɾagonebamaχʷiɫuɾatʰ
არაგონივრულად	aɾagonivɾuɫatʰ
არაგონივრული	aɾagonivɾuli
არაგრამატიკულად	aɾagɾamatʼikʼuɫatʰ
არაგულწრფელად	aɾagultsʼɾpʰeɫatʰ
არაგულწრფელი	aɾagultsʼɾpʰeli
არადა	aɾada
არადაგუგვლადი	aɾadagugʷɫadi
არადამაკმაყოფილებლად	aɾadamakʼmaχʼopʰilebɫatʰ
არადამახასიათებლად	aɾadamaχasiatʰebɫatʰ
არადამაჯერებლად	aɾadamadʒeɾebɫatʰ
არადემოკრატიულად	aɾademokʼɾatʼiuɫatʰ
არადიპლომატიურად	aɾadipʼɫomatʼiuɾatʰ
არადრამატულად	aɾadɾamatʼuɫatʰ
არაეთიკურად	aɾaetʰikʼuɾatʰ
არაეთიკური	aɾaetʰikʼuɾi
არაეკონომიურად	aɾaekʼonomiuɾatʰ
არაერთხელ	aɾaeɾtʰχel
არაეფექტური	aɾaepʰekʰtʼuɾi
არავითარი	aɾavitʰaɾi
არავინ	aɾavin
არაზუსტად	aɾazustʼatʰ
არაზუსტი	aɾazustʼi
არათანაბარი	aɾatʰanabaɾi
არათანაბრად	aɾatʰanabɾatʰ
არათანასწორად	aɾatʰanastsʼoɾatʰ
