aakkonen	ˈɑɑkkonen
äänikirje	ˈææniˌkirje
äänikortti	ˈææniˌkortti
äänikulissi	ˈæænikuˌlissi
äänikyhmy	ˈææniˌkyhmy
äänikynnys	ˈææniˌkynnys
äänilaji	ˈææniˌlɑji
äänilevy	ˈææniˌlevy
äänilevykonsertti	ˈææniˌlevyˌkonsertti
äänilevymusiikki	ˈææniˌlevymuˌsiikki
äänilevystö	ˈæænileˌvystø
äänilevyteollisuus	ˈææniˌlevyteˌollisuus
äänimäärä	ˈææniˌmææræ
äänimaisema	ˈææniˌmɑisemɑ
äänimateriaali	ˈææniˌmɑteriˌɑɑli
äänimerkki	ˈææniˌmerkki
äänimerkkilaite	ˈææniˌmerkkiˌlɑite
ääninauha	ˈææniˌnɑuhɑ
ääninauhuri	ˈææniˌnɑuhuri
ääninen	ˈææninen
äänioikeudeton	ˈææniˌoikeuˌdeton
äänioikeus	ˈææniˌoikeus
äänioikeusikäraja	ˈææniˌoikeuˌsikæˌrɑjɑ
äänioikeutettu	ˈææniˌoikeuˌtettu
ääniopaste	ˈæænioˌpɑste
ääniopillinen	ˈæænioˌpillinen
äänioppi	ˈææniˌoppi
äänipää	ˈæænipææ
ääniraita	ˈææniˌrɑitɑ
äänirako	ˈææniˌrɑko
äänirasia	ˈææniˌrɑsiɑ
äänirauta	ˈææniˌrɑutɑ
äänisignaali	ˈæænisigˌnɑɑli
äänisyys	ˈæænisyys
äänitaajuinen	ˈææniˌtɑɑjuinen
äänitallenne	ˈææniˌtɑllenne
äänitarkkaamo	ˈæænitɑrkˌkɑɑmo
äänitarkkailija	ˈæænitɑrkˌkɑilijɑ
äänitaso	ˈææniˌtɑso
äänite	ˈæænite
äänitearkisto	ˈææniteˌɑrkisto
äänitehoste	ˈææniteˌhoste
äänitekniikka	ˈæænitekˌniikkɑ
äänitorvi	ˈææniˌtorvi
äänittää	ˈæænittææ
äänittäjä	ˈæænitˌtæjæ
äänittämö	ˈæænitˌtæmø
äänitys	ˈæænitys
äänitysstudio	ˈææniˌtysstuˌdio
äänitystekniikka	ˈææniˌtystekˌniikkɑ
äänivallaton	ˈææniˌvɑllɑton
äänivalli	ˈææniˌvɑlli
äänivalta	ˈææniˌvɑltɑ
äänivaltainen	ˈæænivɑlˌtɑinen
äänivarat	ˈææniˌvɑrɑt
äänivarsi	ˈææniˌvɑrsi
äänivyöry	ˈææniˌvyøry
äännähdys	ˈæænnæhdys
äännähtää	ˈæænnæhtææ
äänne	ˈæænne
äänneasu	ˈæænneˌɑsu
äännehistoria	ˈæænneˌhistoˌriɑ
äännelaillinen	ˈæænneˌlɑillinen
äännelaki	ˈæænneˌlɑki
äännellä	ˈæænnellæ
äännemaalailu	ˈæænneˌmɑɑlɑilu
äänneopillinen	ˈæænneoˌpillinen
äänneoppi	ˈæænneˌoppi
äännevaihtelu	ˈæænneˌvɑihtelu
ääntää	ˈææntææ
ääntämisohje	ˈææntæmiˌsohje
ääntämistapa	ˈææntæˌmistɑpɑ
ääntämisvirhe	ˈææntæˌmisvirhe
ääntämys	ˈææntæmys
äänteellinen	ˈæænteelˌlinen
äänteenmuutos	ˈæænteenˌmuutos
ääntely	ˈææntely
ääntenenemmistö	ˈæænteneˌnemmistø
ääntenkalastus	ˈææntenkɑˌlɑstus
ääntenlaskenta	ˈææntenˌlɑskentɑ
ääntenlasku	ˈææntenˌlɑsku
ääntiö	ˈææntiø
ääntö	ˈææntø
ääntöelimistö	ˈææntøˌeliˌmistø
ääntöelin	ˈææntøˌelin
ääntyä	ˈææntyæ
aapa	ˈɑɑpɑ
aapasuo	ˈɑɑpɑsuo
aapinen	ˈɑɑpinen
aapiskirja	ˈɑɑpisˌkirjɑ
aapiskukko	ˈɑɑpisˌkukko
aaprotti	ˈɑɑprotti
ääreen	ˈææreen
ääreinen	ˈææreinen
ääreishermosto	ˈææreisˌhermosto
äärellä	ˈæærellæ
äärelle	ˈæærelle
äärellinen	ˈæærelˌlinen
äärellisyys	ˈæærelˌlisyys
ääreltä	ˈææreltæ
ääressä	ˈææressæ
äärestä	ˈæærestæ
ääretön	ˈææretøn
äärettömästi	ˈæærettøˌmæsti
äärettömyys	ˈææretˌtømyys
aaria	ˈɑɑriɑ
ääri	ˈææri
ääri-	ˈææri
ääriaines	ˈææriˌɑines
äärialue	ˈææriˌɑlue
ääriarvo	ˈææriˌɑrvo
ääriasema	ˈææriˌɑsemɑ
ääriasento	ˈææriɑˌsento
aari	ˈɑɑri
ääriesimerkki	ˈææriesiˌmerkki
ääri-ilmiö	ˈææriilˌmiø
äärilaita	ˈææriˌlɑitɑ
ääriliike	ˈææriˌliike
äärimmäinen	ˈæærimˌmæinen
äärimmäis-	ˈæærimmæis
äärimmäisyys	ˈæærimˌmæisyys
äärimmäisyysaines	ˈæærimˌmæisyyˌsɑines
äärimmäisyysryhmä	ˈæærimˌmæisyysˌryhmæ
äärimmillään	ˈæærimˌmillææn
äärimmilleen	ˈæærimˌmilleen
äärimuslimi	ˈææriˌmuslimi
äärioikeisto	ˈææriˌoikeisto
äärioikeistolainen	ˈææriˌoikeistoˌlɑinen
äärioikeistolaisuus	ˈææriˌoikeistoˌlɑisuus
ääriolot	ˈææriˌolot
ääriosa	ˈææriˌosɑ
ääripää	ˈææripææ
ääripiirteet	ˈææriˌpiirteet
ääripiste	ˈææriˌpiste
ääriraja	ˈææriˌrɑjɑ
ääriryhmä	ˈææriˌryhmæ
äärisuunta	ˈææriˌsuuntɑ
ääritapaus	ˈææriˌtɑpɑus
ääriväli	ˈææriˌvæli
äärivasemmisto	ˈæærivɑˌsemmisto
äärivasemmistolainen	ˈæærivɑˌsemmistoˌlɑinen
äärivasemmistolaisuus	ˈæærivɑˌsemmistoˌlɑisuus
ääriviiva	ˈææriˌviivɑ
ääriviivapiirros	ˈææriˌviivɑˌpiirros
ääriviivapiirustus	ˈææriˌviivɑˌpiirustus
aarnialue	ˈɑɑrniˌɑlue
aarnihauta	ˈɑɑrniˌhɑutɑ
aarnihonka	ˈɑɑrniˌhonkɑ
aarnikotka	ˈɑɑrniˌkotkɑ
aarnio	ˈɑɑrnio
aarniohauta	ˈɑɑrnioˌhɑutɑ
aarniometsä	ˈɑɑrnioˌmetsæ
aarnipuu	ˈɑɑrnipuu
aarnituli	ˈɑɑrniˌtuli
aarnivalkea	ˈɑɑrniˌvɑlkeɑ
aaroninparta	ˈɑɑroˌninpɑrtɑ
aarpora	ˈɑɑrporɑ
aarreaitta	ˈɑɑrreˌɑittɑ
aarre	ˈɑɑrre
aarrehauta	ˈɑɑrreˌhɑutɑ
aarrekammio	ˈɑɑrreˌkɑmmio
aarrekätkö	ˈɑɑrreˌkætkø
aarrelöytö	ˈɑɑrreˌløytø
aarretuli	ˈɑɑrreˌtuli
aarrevalkea	ˈɑɑrreˌvɑlkeɑ
aarteenetsijä	ˈɑɑrteeˌnetsijæ
aarteisto	ˈɑɑrteisto
aasialainen	ˈɑɑsiɑˌlɑinen
aasialaisuus	ˈɑɑsiɑˌlɑisuus
aasi	ˈɑɑsi
aasimainen	ˈɑɑsiˌmɑinen
aasimaisesti	ˈɑɑsiˌmɑisesti
aasimaisuus	ˈɑɑsiˌmɑisuus
aasinpotku	ˈɑɑsinˌpotku
aasinsilta	ˈɑɑsinˌsiltɑ
aatami	ˈɑɑtɑmi
aataminaikainen	ˈɑɑtɑmiˌnɑikɑinen
aataminomena	ˈɑɑtɑˌminoˌmenɑ
aataminpuku	ˈɑɑtɑˌminpuku
aate	ˈɑɑte
aatehistoria	ˈɑɑteˌhistoˌriɑ
aatekilpailu	ˈɑɑtekilˌpɑilu
aateli	ˈɑɑteli
aatelinen	ˈɑɑteˌlinen
aatelisarvo	ˈɑɑteliˌsɑrvo
aatelisherra	ˈɑɑteˌlisherrɑ
aateliskalenteri	ˈɑɑteˌliskɑˌlenteri
aatelisnenä	ˈɑɑteˌlisnenæ
aatelissääty	ˈɑɑtelisˌsææty
aatelissuku	ˈɑɑteˌlissuku
aatelisto	ˈɑɑteˌlisto
aatelisuus	ˈɑɑteˌlisuus
aatelisvaakuna	ˈɑɑtelisˌvɑɑkunɑ
aateliton	ˈɑɑteˌliton
aateloida	ˈɑɑteˌloidɑ
aatelointi	ˈɑɑteˌlointi
aateluus	ˈɑɑteluus
aatemaailma	ˈɑɑteˌmɑɑilmɑ
aaterakennelma	ˈɑɑterɑˌkennelmɑ
aatesisar	ˈɑɑteˌsisɑr
aatesuunta	ˈɑɑteˌsuuntɑ
aatetoveri	ˈɑɑteˌtoveri
aateveli	ˈɑɑteˌveli
aatevirtaus	ˈɑɑteˌvirtɑus
aatonaatto	ˈɑɑtoˌnɑɑtto
aatos	ˈɑɑtos
aatra	ˈɑɑtrɑ
aatteellinen	ˈɑɑtteelˌlinen
aatteellisesti	ˈɑɑtteelliˌsesti
aatteellisuus	ˈɑɑtteelˌlisuus
aatto	ˈɑɑtto
aattoilta	ˈɑɑttoiltɑ
aava	ˈɑɑvɑ
aavameri	ˈɑɑvɑˌmeri
aave	ˈɑɑve
aavejuna	ˈɑɑveˌjunɑ
aavekipu	ˈɑɑveˌkipu
aavelaiva	ˈɑɑveˌlɑivɑ
aavemainen	ˈɑɑveˌmɑinen
aavemaisesti	ˈɑɑveˌmɑisesti
aavemaisuus	ˈɑɑveˌmɑisuus
aavikko	ˈɑɑvikko
aavikoitua	ˈɑɑviˌkoituɑ
aavistaa	ˈɑɑvistɑɑ
aavistamaton	ˈɑɑvisˌtɑmɑton
aavistella	ˈɑɑvisˌtellɑ
aavistuksenomainen	ˈɑɑvisˌtuksenoˌmɑinen
aavistus	ˈɑɑvistus
aavistuslähtö	ˈɑɑvisˌtuslæhtø
a	ɑ
abatsi	ˈɑbɑtsi
abbedissa	ˈɑbbeˌdissɑ
abessiivi	ˈɑbesˌsiivi
abi	ˈɑbi
abiturientti	ˈɑbituˌrientti
ablatiivi	ˈɑblɑˌtiivi
abnormi	ˈɑbnormi
abnormius	ˈɑbnorˌmius
abo	ˈɑbo
aboriginaali	ˈɑboˌrigiˌnɑɑli
abortoida	ˈɑborˌtoidɑ
abortointi	ˈɑborˌtointi
abortti	ˈɑbortti
aborttipilleri	ˈɑborttiˌpilleri
aborttitabletti	ˈɑbortˌtitɑˌbletti
abrakadabra	ˈɑbrɑkɑˌdɑbrɑ
absessi	ˈɑbsessi
absintti	ˈɑbsintti
abskissa	ˈɑbskissɑ
absolutismi	ˈɑbsoluˌtismi
absolutisti	ˈɑbsoluˌtisti
absoluutti	ˈɑbsoˌluutti
absoluuttinen	ˈɑbsoˌluuttinen
absoluuttisesti	ˈɑbsoˌluuttiˌsesti
absoluuttisuus	ˈɑbsoˌluuttisuus
absorboida	ˈɑbsorˌboidɑ
absorbointi	ˈɑbsorˌbointi
absorboitua	ˈɑbsorˌboituɑ
absorptio	ˈɑbsorpˌtio
abstinenssi	ˈɑbstiˌnenssi
abstinenssioire	ˈɑbstiˌnenssiˌoire
abstrahoida	ˈɑbstrɑˌhoidɑ
abstrahointi	ˈɑbstrɑˌhointi
abstrahoitua	ˈɑbstrɑˌhoituɑ
abstrakti	ˈɑbstrɑkti
abstraktinen	ˈɑbstrɑkˌtinen
abstraktio	ˈɑbstrɑkˌtio
abstraktisesti	ˈɑbstrɑktiˌsesti
abstraktistaa	ˈɑbstrɑkˌtistɑɑ
abstraktisti	ˈɑbstrɑkˌtisti
abstraktistua	ˈɑbstrɑkˌtistuɑ
abstraktisuus	ˈɑbstrɑkˌtisuus
abstraktius	ˈɑbstrɑkˌtius
absurdi	ˈɑbsurdi
absurdisti	ˈɑbsurˌdisti
absurdius	ˈɑbsurˌdius
adagio	ˈɑdɑˌgio
adaptaatio	ˈɑdɑpˌtɑɑtio
adapteri	ˈɑdɑpˌteri
adaptoida	ˈɑdɑpˌtoidɑ
adaptointi	ˈɑdɑpˌtointi
adaptoitua	ˈɑdɑpˌtoituɑ
addikti	ˈɑddikti
addiktio	ˈɑddikˌtio
adekvaatisti	ˈɑdeˌkvɑɑtisti
adekvaatti	ˈɑdeˌkvɑɑtti
adekvaattius	ˈɑdeˌkvɑɑttius
adenokarsinooma	ˈɑdenoˌkɑrsiˌnoomɑ
adenooma	ˈɑdeˌnoomɑ
adenovirus	ˈɑdeˌnovirus
adessiivi	ˈɑdesˌsiivi
adheesio	ˈɑdheeˌsio
adjektiivi	ˈɑdjekˌtiivi
adjektiivinen	ˈɑdjekˌtiivinen
adjektiivisesti	ˈɑdjekˌtiiviˌsesti
adjektiivisuus	ˈɑdjekˌtiivisuus
adjutantti	ˈɑdjuˌtɑntti
adjuvanttihoito	ˈɑdjuˌvɑnttiˌhoito
adonis	ˈɑdonis
adoptio	ˈɑdopˌtio
adoptiolapsi	ˈɑdopˌtioˌlɑpsi
adoptoida	ˈɑdopˌtoidɑ
adoptointi	ˈɑdopˌtointi
adrenaliini	ˈɑdrenɑˌliini
adressi	ˈɑdressi
adsorboida	ˈɑdsorˌboidɑ
adsorbointi	ˈɑdsorˌbointi
adsorboitua	ˈɑdsorˌboituɑ
adsorptio	ˈɑdsorpˌtio
adsukipapu	ˈɑdsuˌkipɑpu
adventismi	ˈɑdvenˌtismi
adventisti	ˈɑdvenˌtisti
adventtiaika	ˈɑdventtiˌɑikɑ
adventti	ˈɑdventti
adventtikalenteri	ˈɑdventˌtikɑˌlenteri
adventtikirkko	ˈɑdventtiˌkirkko
adventtiseurakunta	ˈɑdventtiˌseurɑˌkuntɑ
adventtisunnuntai	ˈɑdventtiˌsunnuntɑi
adverbiaali	ˈɑdverbiˌɑɑli
adverbiaalinen	ˈɑdverbiˌɑɑlinen
adverbiaalisesti	ˈɑdverbiˌɑɑliˌsesti
adverbiaalisuus	ˈɑdverbiˌɑɑlisuus
adverbi	ˈɑdverbi
adverbinen	ˈɑdverˌbinen
adverbisesti	ˈɑdverbiˌsesti
adverbisuus	ˈɑdverˌbisuus
adversatiivinen	ˈɑdversɑˌtiivinen
adversatiivisesti	ˈɑdversɑˌtiiviˌsesti
adversatiivisuus	ˈɑdversɑˌtiivisuus
aerobikata	ˈɑeˌrobiˌkɑtɑ
aerobikkaaja	ˈɑeroˌbikkɑɑjɑ
aerobikkaus	ˈɑeroˌbikkɑus
aerobikki	ˈɑeroˌbikki
aerobinen	ˈɑeˌrobinen
aerobiologia	ˈɑeˌrobiˌoloˌgiɑ
aerobiologinen	ˈɑeˌrobiˌoloˌginen
aerodynaaminen	ˈɑeˌrodyˌnɑɑminen
aerodynaamisesti	ˈɑeˌrodyˌnɑɑmiˌsesti
aerodynamiikka	ˈɑeˌrodynɑˌmiikkɑ
aerosoli	ˈɑeˌrosoli
äes	ˈæes
äestää	ˈæestææ
äestys	ˈæestys
afääri	ˈɑfææri
afaatikko	ˈɑfɑɑˌtikko
afaattinen	ˈɑfɑɑtˌtinen
afasia	ˈɑfɑˌsiɑ
affekti	ˈɑffekti
affektihäiriö	ˈɑffektiˌhæiriø
affektiivinen	ˈɑffekˌtiivinen
affektiivisesti	ˈɑffekˌtiiviˌsesti
affektiivisuus	ˈɑffekˌtiivisuus
affektinen	ˈɑffekˌtinen
affektisesti	ˈɑffektiˌsesti
affektisuus	ˈɑffekˌtisuus
affisio	ˈɑffiˌsio
affisioida	ˈɑffisiˌoidɑ
afgaani	ˈɑfgɑɑni
afgaaninvinttikoira	ˈɑfgɑɑˌninvinttiˌkoirɑ
aforismi	ˈɑfoˌrismi
aforismikokoelma	ˈɑfoˌrismiˌkokoˌelmɑ
aforistinen	ˈɑfoˌristinen
afrikaans	ˈɑfrikɑɑns
afrikandi	ˈɑfriˌkɑndi
afrikkalainen	ˈɑfrikkɑˌlɑinen
afrikkalaisuus	ˈɑfrikkɑˌlɑisuus
afroaasialainen	ˈɑfroˌɑɑsiɑˌlɑinen
afroamerikkalainen	ˈɑfroˌɑmeˌrikkɑˌlɑinen
afro	ˈɑfro
afrokampaus	ˈɑfroˌkɑmpɑus
afrokommunismi	ˈɑfroˌkommuˌnismi
afta	ˈɑftɑ
agaatti	ˈɑgɑɑtti
agaave	ˈɑgɑɑve
agar-agar	ˈɑgɑˌrɑgɑr
agar	ˈɑgɑr
agenda	ˈɑgendɑ
agentti	ˈɑgentti
agenttifilmi	ˈɑgenttiˌfilmi
agenttiromaani	ˈɑgentˌtiroˌmɑɑni
agentuuri	ˈɑgenˌtuuri
agentuuriliike	ˈɑgenˌtuuriˌliike
aggregaatti	ˈɑggreˌgɑɑtti
aggressiivinen	ˈɑggresˌsiivinen
aggressiivisesti	ˈɑggresˌsiiviˌsesti
aggressiivisuus	ˈɑggresˌsiivisuus
aggressio	ˈɑggresˌsio
agitaatio	ˈɑgiˌtɑɑtio
agitaattori	ˈɑgiˌtɑɑttori
agitatorinen	ˈɑgiˌtɑtoˌrinen
agitoida	ˈɑgiˌtoidɑ
agitointi	ˈɑgiˌtointi
agnostikko	ˈɑgnosˌtikko
agnostinen	ˈɑgnosˌtinen
agnostisesti	ˈɑgnostiˌsesti
agnostisismi	ˈɑgnostiˌsismi
agnostisuus	ˈɑgnosˌtisuus
agorafobia	ˈɑgoˌrɑfoˌbiɑ
agraarinen	ˈɑgrɑɑˌrinen
agraaripolitiikka	ˈɑgrɑɑˌripoliˌtiikkɑ
agraaripuolue	ˈɑgrɑɑriˌpuolue
agraarisuus	ˈɑgrɑɑˌrisuus
agraarivaltio	ˈɑgrɑɑriˌvɑltio
agrologi	ˈɑgroˌlogi
agronomia	ˈɑgroˌnomiɑ
agronomi	ˈɑgroˌnomi
ahaa	ˈɑhɑɑ
ahaa-elämys	ˈɑhɑɑˌelæmys
ähäkutti	ˈæhæˌkutti
ähäpiti	ˈæhæˌpiti
ahava	ˈɑhɑvɑ
ahavoittaa	ˈɑhɑˌvoittɑɑ
ahavoitua	ˈɑhɑˌvoituɑ
ah	ɑh
ahdas	ˈɑhdɑs
ahdashenkinen	ˈɑhdɑsˌhenkinen
ahdashenkisesti	ˈɑhdɑsˌhenkiˌsesti
ahdashenkisyys	ˈɑhdɑsˌhenkisyys
ahdaskatseinen	ˈɑhdɑskɑtˌseinen
ahdasmielinen	ˈɑhdɑsˌmielinen
ahdasmielisesti	ˈɑhdɑsˌmieliˌsesti
ahdasmielisyys	ˈɑhdɑsˌmielisyys
ahdasnäköinen	ˈɑhdɑsnæˌkøinen
ahdasnäköisesti	ˈɑhdɑsnæˌkøisesti
ahdasnäköisyys	ˈɑhdɑsnæˌkøisyys
ahdasrajainen	ˈɑhdɑsrɑˌjɑinen
ahdasrajaisesti	ˈɑhdɑsrɑˌjɑisesti
ahdasrajaisuus	ˈɑhdɑsrɑˌjɑisuus
ahdata	ˈɑhdɑtɑ
ahde	ˈɑhde
ahdekaunokki	ˈɑhdeˌkɑunokki
ahdelauha	ˈɑhdeˌlɑuhɑ
ahdin	ˈɑhdin
ahdinko	ˈɑhdinko
ahdinkotila	ˈɑhdinˌkotilɑ
ahdistaa	ˈɑhdistɑɑ
ahdistaja	ˈɑhdisˌtɑjɑ
ahdistelija	ˈɑhdisˌtelijɑ
ahdistella	ˈɑhdisˌtellɑ
ahdistelu	ˈɑhdisˌtelu
ahdistua	ˈɑhdisˌtuɑ
ahdistuneesti	ˈɑhdistuˌneesti
ahdistuneisuus	ˈɑhdistuˌneisuus
ahdistuneisuushäiriö	ˈɑhdistuˌneisuusˌhæiriø
ahdistunut	ˈɑhdisˌtunut
ahdistus	ˈɑhdistus
ahdistusneuroosi	ˈɑhdistusˌneuroosi
ahdistustila	ˈɑhdisˌtustilɑ
ähellys	ˈæhellys
äheltää	ˈæheltææ
aherrus	ˈɑherrus
ahertaa	ˈɑhertɑɑ
