aaberg	ˈɑbɚg
abermin	ˈæbɚmɪn
abernathy	ˈæbɚnˌæθi
abernethy	ˈæbɚnˌɛθi
aberrant	æbˈɛɹənt
aberrant	əˈbeɹənt	["adjective","noun"]
aberration	ˌæbəˈɹeɪʃən	["noun"]
aberration	ˌæbɚˈeɪʃən
aberrational	ˌæbɚˈeɪʃənəl
aberrations	ˌæbɚˈeɪʃənz
abert	ˈæbɚt
abet	əˈbet	["verb","noun"]
abet	əbˈɛt
abets	əˈbets	["verb","noun"]
abetted	əˈbetɪd	["verb"]
abetted	əbˈɛtɪd
abetter	əˈbete	["noun"]
abetting	əˈbetɪŋ	["verb","noun"]
abetting	əbˈɛtɪŋ
abettor	əˈbetə	["noun"]
abex	ˈeɪbɛks
abeyance	əbˈeɪəns
abeyance	əˈbeɪəns	["noun"]
abeyta	ɑbˈeɪtə
abhinaya	əˈbɪnəjə	["noun"]
abhor	æbhˈɔɹ
abhorred	æbˈhɔːd	["verb","adjective"]
abhorred	əbhˈɔɹd
abhorrence	əbˈhɒɹəns	["noun"]
abhorrence	əbhˈɔɹəns
abhorrent	æbˈhɒɹənt	["adjective"]
abhorrent	æbhˈɔɹənt
abhorring	æbˈhɔːɪŋ	["verb","noun"]
abhors	əbhˈɔɹz
abiam	ˈeɪbiəm
abiam's	ˈeɪbiəmz
abided	əˈbaɪdəd	["verb"]
abided	əbˈaɪdɪd
abide	əbˈaɪd
abide	əˈbaɪd	["verb"]
abid	ˈeɪbɪd
abides	əˈbaɪds	["verb"]
abides	əbˈaɪdz
abiding	əbˈaɪdɪŋ
abiding	əˈbaɪdɪŋ	["verb","adjective"]
abidjan	æbɪdʒˈɑn
abie	ˈæbi
abigail	ˈæbəgˌeɪl
abigail	ˈæbɪgeɪl	["noun"]
abila	ɑbˈilə
abilene	ˈæbɪlˌin
abilities	əbˈɪlətiz
ability	əbˈɪləti
ability	əˈbɪlɪtɪ	["noun"]
abimael	æbɪmˈeɪl
abimaels	æbɪmˈeɪlz
abingdon	ˈæbɪŋdən
abington	ˈæbɪŋtən
abio	ˈɑbioʊ
abiola	ˌɑbiˈoʊlə
abiola's	ˌɑbiˈoʊləz
abiomed	eɪbˈiəmɛd
abiotic	ˌeɪbaɪˈɒtɪk	["adjective","noun"]
abiquiu	əbˈɪkju
abitibi	ˌæbɪtˈibi
abitz	ˈæbɪts
abject	ˈæbdʒekt	["adjective","noun"]
abject	ˈæbdʒɛkt
abject	æbdʒˈɛkt
abjure	æbˈdʒʊɹ	["verb"]
abjured	əbˈdʒʊəd	["verb","adjective"]
abjures	əbˈdʒʊəz	["verb"]
abjuring	əbˈdʒʊɹɪŋ	["verb"]
abkhazia	æbkˈæzjə
abkhazia	æbkˈɑzjə
abkhazian	æbkˈæziən
abkhazian	æbkˈɑziən
abkhazians	æbkˈæziənz
abkhazians	æbkˈɑziənz
ablate	əblˈeɪt
ablate	əˈbleɪt	["verb"]
ablation	æbˈleɪʃən	["noun"]
ablation	əblˈeɪʃən
ablaut	ˈæbˌlaʊt	["verb","noun"]
ablaze	əblˈeɪz
ablaze	əˈbleɪz	["adjective","adverb"]
abled	ˈeɪbəld
abled	ˈeɪbəld	["adjective"]
able	ˈeɪbəl
able	ˈeɪbəl	["adjective"]
abler	ˈeɪbəlɚ
abler	eɪblə	["adjective"]
abler	ˈeɪblɚ
ables	ˈeɪbəlz
ablest	ˈeɪbəlɪst
ablest	eɪbləst	["adjective"]
abloom	əˈbluːm	["adjective","adverb"]
abloom	əblˈum
ablush	əˈblʌʃ	["adjective","adverb"]
ablution	əˈbluːʃən	["noun"]
ablution	əblˈuʃən
ablutions	əblˈuʃənz
ably	ˈeɪbli
ably	ˈeɪblɪ	["adverb"]
abnegate	ˈæbnɪgeɪt	["verb"]
abnegation	ˌæbnəˈgeɪʃən	["noun"]
abnegation	ˌæbnɪgˈeɪʃən
abner	ˈæbnɚ
abney	ˈæbni
abnormal	æbnˈɔɹməl
abnormal	əbˈnɔːməl	["adjective","noun"]
abnormalities	ˌæbnɔɹmˈælətiz
abnormality	ˌæbˌnɔːˈmælətɪ	["noun"]
abnormality	ˌæbnɔɹmˈæləti
abnormally	æbˈnɔːməlɪ	["adverb"]
abnormally	æbnˈɔɹməli
abnormity	æbˈnɔːmɪtɪ	["noun"]
abo	ˈæbəʊ	["noun"]
aboard	əˈbɔːd	["preposition","adverb"]
aboard	əbˈɔɹd
abo	ˈɑboʊ
abode	əˈbəʊd	["verb","noun"]
abode	əbˈoʊd
abohalima	æbəhəlˈimə
abolished	əbˈɑlɪʃt
abolished	əˈbɒlɪʃt	["verb"]
abolishes	əbˈɑlɪʃɪz
abolish	əbˈɑlɪʃ
abolish	əˈbɒlɪʃ	["verb"]
abolishing	əbˈɑlɪʃɪŋ
abolition	ˌæbəlˈɪʃən
abolitionism	ˌæbəlˈɪʃənˌɪzəm
abolitionist	ˌæbəlˈɪʃənɪst
abolitionist	ˌæbəˈlɪʃənɪst	["adjective","noun"]
abolitionists	ˌæbəlˈɪʃənɪsts
abolitionists	ˈæbəlɪʃənɪsts	["noun"]
abomasum	ˌæbəʊˈmeɪsəm	["noun"]
abominable	əbˈɑmənəbəl
abominable	əˈbɒmənəbɯ	["adjective"]
abominably	əˈbɒmnəblɪ	["adverb"]
abominate	əˈbɒməˌnəɪt	["verb","adjective"]
abomination	əbˌɑmənˈeɪʃən
abomination	əˌbɒməˈneɪʃən	["noun"]
abominations	əbˌɑmənˈeɪʃənz
abood	əbˈud
aboodi	əbˈudi
aboral	æbˈɔːɹəl	["adjective"]
abor	əbˈɔɹ
aboriginal	ˌæbɚˈɪdʒənəl
aboriginality	æbəˌɹɪdʒəˈnælətɪ	["noun"]
aborigine	ˌæbəˈɹɪdʒɪnɪ	["noun"]
aborigine	ˌæbɚˈɪdʒəni
aborigines	ˌæbɚˈɪdʒəniz
aborn	əbˈɔɹn
aborning	əˈbɔːnɪŋ	["adjective","adverb"]
aborted	əbˈɔɹtɪd
abort	əˈbɔːt	["noun"]
abort	əbˈɔɹt
abortifacient	əˌbɔːtəˈfeɪʃənt	["adjective","noun"]
abortifacient	əbˌɔɹtəfˈeɪʃənt
abortifacients	əbˌɔɹtəfˈeɪʃənts
aborting	əbˈɔɹtɪŋ
abortion	əˈbɔːʃən	["noun"]
abortion	əbˈɔɹʃən
abortionist	əˈbɔːʃənɪst	["noun"]
abortionist	əbˈɔɹʃənɪst
abortionists	əbˈɔɹʃənɪsts
abortions	əbˈɔɹʃənz
abortive	əˈbɔːtɪv	["verb","adjective","noun"]
abortive	əbˈɔɹtɪv
aborts	əbˈɔɹts
abo's	ˈɑboʊz
abott	əbˈɑt
aboud	ɑbˈud
abou	əbˈu
abouhalima	ˌɑbuhɑlˈimə
abouhalima's	ˌɑbuhɑlˈiməz
abounded	əbˈaʊndɪd
abound	əbˈaʊnd
abound	əˈbaʊnd	["verb"]
abounding	əbˈaʊndɪŋ
abounds	əbˈaʊndz
about	əbˈaʊt
about	əˈbeʊt	["preposition","adjective","adverb"]
about's	əbˈaʊts
aboveboard	əbˈʌvbˌɔɹd
above	əbˈʌv
above	əˈbʌv	["adverb","preposition","adjective","noun"]
abovementioned	əˌbʌvˈmenʃənd	["adjective"]
above's	əbˈʌvz
abplanalp	ˈæbplənælp
abra	ˈɑbɹə
abracadabra	ˌæbɹəkədˈæbɹə
abracadabra	ˌæbɹəkəˈdæbɹə	["interjection","noun"]
abrade	æbɹˈeɪd
abraded	æbɹˈeɪdɪd
abrade	əˈbɹeɪd	["verb"]
abrades	æbɹˈeɪdz
abraham	ˈeɪbɹəhˌæm
abrahamian	ˌæbɹəhˈeɪmiən
abrahams	ˈeɪbɹəhˌæmz
abrahamsen	æbɹəhˈæmsən
abrahamson	əbɹˈæhəmsən
abramczyk	ˈɑbɹəmtʃɪk
abram	əbɹˈæm
abramo	ɑbɹˈɑmoʊ
abramovitz	əbɹˈɑməvɪts
abramowicz	əbɹˈɑməvɪtʃ
abramowitz	əbɹˈɑməwɪts
abram's	ˈeɪbɹəmz
abrams	ˈeɪbɹəmz
abramson	ˈeɪbɹəmsən
abrams's	ˈeɪbɹəmzɪz
abrasion	əbɹˈeɪʒən
abrasion	əˈbɹeɪʒən	["noun"]
abrasions	əbɹˈeɪʒənz
abrasive	əbɹˈeɪsɪv
abrasive	əˈbɹeɪsɪv	["adjective","noun"]
abrasives	əbɹˈeɪsɪvz
abraxa	əbɹˈæksə
abraxa's	əbɹˈæksəz
abraxas	əbɹˈæksəz
abrazo	æˈbɹæθɒ	["noun"]
abreact	ˌæbɹɪˈækt	["verb"]
abreaction	ˌæbɹɪˈækʃən	["noun"]
abreast	əˈbɹest	["preposition","adjective","adverb"]
abreast	əbɹˈɛst
abrego	ɑbɹˈɛgoʊ
abreu	əbɹˈu
abridged	əbɹˈɪdʒd
abridged	əˈbɹɪdʒd	["verb","adjective"]
abridge	əbɹˈɪdʒ
abridge	əˈbɹɪdʒ	["verb"]
abridgement	əbɹˈɪdʒmənt
abridgement	əˈbɹɪdʒmənt	["noun"]
abridges	əbɹˈɪdʒɪz
abridges	əˈbɹɪdʒɪz	["verb"]
abridging	əbɹˈɪdʒɪŋ
abridging	əˈbɹɪdʒɪŋ	["verb"]
abridgment	əˈbɹɪdʒmənt	["noun"]
abril	əbɹˈɪl
abroad	əˈbɹɔːd	["adverb","preposition","noun"]
abroad	əbɹˈɔd
abrogate	ˈæbɹəgˌeɪt
abrogate	ˈæbɹəgɪt
abrogated	ˈæbɹəgˌeɪtɪd
abrogating	ˈæbɹəgˌeɪtɪŋ
abrogation	ˌæbɹəgˈeɪʃən
abrogation	ˌæbɹəˈgeɪʃən	["noun"]
abrol	əbɹˈoʊl
abron	əbɹˈɑn
abrupt	æˈbɹʌpt	["verb","adjective","noun"]
abrupt	əbɹˈʌpt
abruption	əˈbɹʌpʃən	["noun"]
abruptly	əbɹˈʌptli
abruptly	əˈbɹʌptlɪ	["adverb"]
abruptness	əbɹˈʌptnəs
abrutyn	ˈeɪbɹutɪn
abruzzese	ɑbɹutsˈeɪzi
abruzzo	ɑbɹˈuzoʊ
abs	ˈæbz
abs	æbz	["verb","adjective","noun"]
absalom	ˈæbsələm
absaraka	æbsˈɑɹəkə
abscam	ˈæbskæm
abscess	ˈæbsˌɛs
abscise	əbˈsaɪz	["verb"]
abscissa	æbˈsɪsə	["noun"]
abscissae	æbˈsɪsˌiː	["noun"]
abscond	æbskˈɑnd
absconded	æbskˈɑndɪd
abscond	əbˈskɒnd	["verb"]
absconding	æbskˈɑndɪŋ
absconds	æbskˈɑndz
absecon	ˈæbsəkɔn
abseil	ˈæbsaɪl	["verb","noun"]
absence	ˈæbsəəns	["noun"]
absence	ˈæbsəns
absences	ˈæbsənsɪz
absent	ˈæbsənt
absent	ˈæbsənt	["preposition","adjective","noun"]
absent	æbsˈɛnt
absentee	ˌæbsəntˈi
absenteeism	æbsənˈtiːˌɪzəm	["noun"]
absenteeism	ˌæbsəntˈiɪzəm
absentees	ˌæbsəntˈiz
absentia	æbsˈɛnʃə
absently	ˈæbsəntlɪ	["adverb"]
absher	ˈæbʃɚ
abshier	ˈæbʃiɚ
abshire	ˈæbʃˌaɪɚ
absinth	ˈæbsɪnθ	["noun"]
absinthe	ˈæbsænθ	["noun"]
absinthe	ˈæbsɪnθ
abso	ˈæbsoʊ
absolom	ˈæbsələm
absolut	ˌæbsəlˈut
absolute	ˈæbsəˌljuːt	["adjective","noun"]
absolute	ˈæbsəlˌut
absolutely	æbsəˈljuːtlɪ	["interjection","adverb"]
absolutely	ˌæbsəlˈutli
absoluteness	ˈæbsəlˌutnəs
absolutes	ˈæbsəlˌuts
absolution	æbsəˈljuːʃən	["noun"]
absolution	ˌæbsəlˈuʃən
absolutism	ˈæbsəljuːtɪzəm	["noun"]
absolutism	ˈæbsəlˌutˌɪzəm
absolutist	ˈæbsəˌljuːtɪst	["adjective","noun"]
absolutist	æbsəlˈutɪst
absolutize	ˈæbsəljuːtaɪz	["verb"]
absolut's	ˌæbsəlˈuts
absolve	æbzˈɑlv
absolved	æbzˈɑlvd
absolve	əbˈzɒlv	["verb"]
absolves	æbzˈɑlvz
absolving	æbzˈɑlvɪŋ
absonant	ˈæbsnənt	["adjective"]
absorbable	əbˈsɔːbəbəl	["adjective"]
absorbance	əbˈsɔːbəns	["noun"]
absorbed	æbˈsɔːbd	["verb","adjective"]
absorbed	əbzˈɔɹbd
absorbency	əbzˈɔɹbənsi
absorbent	əbˈsɔːbənt	["adjective","noun"]
absorbent	əbzˈɔɹbənt
absorber	æbˈsɔːbə	["noun"]
absorber	əbzˈɔɹbɚ
absorbers	əbzˈɔɹbɚz
absorb	əbˈsɔːb	["verb"]
absorb	əbzˈɔɹb
absorbing	əbˈsɔːbɪŋ	["verb","adjective"]
absorbing	əbzˈɔɹbɪŋ
absorbs	əbzˈɔɹbz
absorptiometer	əbˌsɔːpʃɪˈɒmɪə	["noun"]
absorption	əbˈsɔːpʃən	["noun"]
absorption	əbzˈɔɹpʃən
absorptive	æbˈsɔːptɪv	["adjective","noun"]
absorptivity	æbˌsɔːpˈtɪvətɪ	["noun"]
absquatulate	æbˈskwɒtʃʊleɪt	["verb"]
abstain	æbstˈeɪn
abstained	æbstˈeɪnd
abstain	əbˈsteɪn	["verb"]
abstaining	æbstˈeɪnɪŋ
abstemious	æbˈstiːmɪəs	["adjective"]
abstention	æbstˈɛnʃən
abstention	əbˈstenʃən	["noun"]
abstentions	æbstˈɛnʃənz
abstinence	ˈæbstənəns
abstinence	ˈæbstɪnəns	["noun"]
abstinent	ˈæbstənənt
abstinent	ˈæbstənənt	["adjective"]
abston	ˈæbstən
abstract	ˈæbstɹækt
abstract	æbstɹˈækt
abstract	ˈæbˌstɹækt	["verb","adjective","noun"]
abstracted	ˈæbstɹæktɪd
abstracted	əbˈstɹæktɪd	["verb","adjective"]
abstracter	æbˈstɹkætə	["adjective","noun"]
abstraction	æbstɹˈækʃən
abstraction	əbˈstɹækʃən	["noun"]
abstractionism	æbˈstɹækʃənˌɪzəm	["noun"]
abstractions	æbstɹˈækʃənz
abstractor	æbˈstɹæktə	["noun"]
abstracts	ˈæbstɹækt
abstracts	æbstɹˈækt
abstruse	əbˈstɹuːs	["adjective"]
abstruse	əbstɹˈus
absurd	æbˈzəd	["adjective","noun"]
absurd	əbsˈɚd
absurdism	əbˈsɜːdˌɪzəm	["noun"]
absurdist	əbsˈɚdɪst
absurdist	əbˈsɜːdəst	["adjective","noun"]
absurdities	əbsˈɚdətiz
absurdity	əbsˈɚdəti
absurdity	əbˈsɜːdɪtɪ	["noun"]
absurdly	əbsˈɚdli
absurdly	əbˈsɜːdlɪ	["adverb"]
abu	ˈæbu
abubble	əˈbʌbəl	["adjective","adverb"]
abudrahm	əbˈʌdɹəm
abuellah	əbwˈɛlə
abuellah's	əbwˈɛləz
abuladze	ˌæbjulˈædzi
abulia	əˈbjuːlɪə	["noun"]
abuna	əˈbuːnə	["noun"]
abundance	əbˈʌndəns
abundance	əˈbʌndəns	["noun"]
abundant	əbˈʌndənt
abundant	əˈbʌndənt	["adjective"]
abundantly	əbˈʌndəntli
abundantly	əˈbʌndəntlɪ	["adverb"]
abura	əˈbjʊːɹə	["noun"]
aburto	əbˈʊɹtoʊ
aburto's	əbˈʊɹtoʊz
abused	əbjˈuzd
abuse	əˈbjuːs	["noun"]
abuse	əbjˈus
abuse	əbjˈuz
abuser	əˈbjuːzə	["noun"]
abuser	əbjˈuzɚ
abusers	əbjˈuzɚz
abuses	əˈbjuːsɪz	["verb","noun"]
abuses	əbjˈusɪz
abuses	əbjˈuzɪz
abusing	əbjˈuzɪŋ
abusive	əˈbjuːsɪv	["adjective"]
abusive	əbjˈusɪv
abut	əbˈʌt
abut	əˈbʌt	["verb"]
abutilon	əˈbjuːtɪˌlɒn	["noun"]
abutment	əˈbʌtmənt	["noun"]
abuts	əbˈʌts
abuts	əˈbʌts	["verb"]
abutted	əbˈʌtɪd
abutter	əˈbʌtə	["noun"]
abutting	əbˈʌtɪŋ
abutting	əˈbʌtɪŋ	["verb","adjective","noun"]
abuzz	əbˈʌz
abuzz	əˈbʌz	["adjective"]
abysmal	əbˈɪzməl
abysmal	əˈbɪzməl	["adjective"]
abysmally	əbˈɪzməli
abysmally	əˈbɪzməlɪ	["adverb"]
abysm	əˈbɪzəm	["noun"]
abyssal	əˈbɪsəl	["adjective"]
abyss	əbˈɪs
abyss	əˈbɪs	["noun"]
abyssinia	æbsˈɪnˌiə
abyssinian	æbsˈɪnˌiən
abzug	ˈæbzˌʌg
aca	ˈækə
acacia	əˈkeɪsjə	["noun"]
acacia	əkˈeɪʃə
academe	ˈækədiːm	["noun"]
academe	ˈækədˌim
academia	ˌækəˈdiːmɪə	["noun"]
academia	ˌækədˈimiə
academic	ˌækəˈdemɪk	["adjective","noun"]
academic	ˌækədˈɛmɪk
academical	ˌækəˈdemɪkəl	["adjective","noun"]
academically	ˌækəˈdemɪklɪ	["adverb"]
academically	ˌækədˈɛmɪkli
academicals	ˌækəˈdemɪkəlz	["noun"]
academician	ˌækədəmˈɪʃən
academician	əˌkædəˈmɪʃən	["noun"]
academicians	ˌækədəmˈɪʃənz
academicians	əkˌædəmˈɪʃənz
academicism	ˌækəˈdeməˌsɪzəm	["noun"]
academics	ˌækəˈdemɪks	["noun"]
academics	ˌækədˈɛmɪks
academies	əkˈædəmiz
academies	əˈkædəmɪz	["noun"]
academism	əˈkædəˌmɪzəm	["noun"]
academy	əkˈædəmi
academy	əˈkædəmɪ	["noun"]
academy's	əkˈædəmiz
acadia	əkˈeɪdiə
acajou	ˈækəʒuː	["noun"]
acalculia	ˌeɪkælˈkjuːlɪə	["noun"]
acampo	əkˈɑmpoʊ
acampora	əkˈæmpɚə
acampsia	əkˈæmpsjə
acantha	ɑkˈɑnðə
acanth	əˈkænθ	["noun"]
acanthodian	ˌækənˈθəʊdɪən	["adjective","noun"]
acanthus	əˈkænθəs	["noun"]
acapulco	ˌækəpˈʊlkoʊ
acaricide	əˈkeɹəˌsɪd	["noun"]
acaroid	ˈækəˌɹɔɪd	["adjective"]
acarology	ækəˈɹɒlədʒɪ	["noun"]
acary	ˈækɚi
acatalectic	ˌeɪˌkætəˈlektɪk	["adjective","noun"]
accardi	ɑkˈɑɹdi
accardo	ɑkˈɑɹdoʊ
accede	æksˈid
acceded	æksˈidɪd
accede	əkˈsiːd	["verb"]
accedes	æksˈidz
acceding	æksˈidɪŋ
accelerando	ækseləˈɹændəʊ	["adverb","noun"]
accelerant	æksˈɛlɚənt
accelerant	əkˈseləɹənt	["noun"]
accelerants	æksˈɛlɚənts
accelerate	ækˈseləˌɹeɪt	["verb","adjective"]
accelerate	æksˈɛlɚˌeɪt
accelerated	æksˈɛlɚˌeɪtɪd
accelerates	æksˈɛlɚˌeɪts
accelerating	æksˈɛlɚˌeɪtɪŋ
acceleration	ækˌseləˈɹeɪʃən	["noun"]
acceleration	ˌæksˌɛlɚˈeɪʃən
accelerator	ækˈseləˌɹeɪtə	["noun"]
accelerator	æksˈɛlɚˌeɪtɚ
accelerators	æksˈɛlɚˌeɪtɚz
accelerometer	ækˌseləˈɹɒmətə	["noun"]
accelerometer	æksˌɛlɚˈɑmətɚ
accelerometers	æksˌɛlɚˈɑmətɚz
accel	əksˈɛl
accent	ˈæksənt	["noun"]
accent	ˈæksˌɛnt
accent	æksˈɛnt
accented	ˈæksɛntɪd
accenting	ˈæksɛntɪŋ
accentor	əkˈsentə	["noun"]
accents	ˈæksents	["verb","noun"]
accents	ˈæksɛnts
accentual	ækˈsentʃʊəl	["adjective"]
accentuate	æksˈɛntʃuˌeɪt
accentuated	æksˈɛntʃuˌeɪtɪd
accentuates	æksˈɛntʃuˌeɪts
accentuating	æksˈɛntʃuˌeɪtɪŋ
accentuation	ˌækˌsentʃəˈweɪʃən	["noun"]
acceptability	æksˌɛptəbˈɪləti
acceptable	ækˈseptəbəl	["adjective"]
acceptable	æksˈɛptəbəl
acceptably	ækˈseptəblɪ	["adverb"]
acceptably	æksˈɛptəbli
accept	ækˈsept	["verb","adjective"]
accept	æksˈɛpt
acceptance	æksˈɛptəns
acceptances	æksˈɛptənsɪz
acceptant	ækˈseptənt	["adjective","noun"]
acceptation	ˌæksepˈteɪʃən	["noun"]
accepted	ækˈseptɪd	["verb","adjective"]
accepted	æksˈɛptɪd
accepter	ækˈseptə	["noun"]
accepting	æksˈɛptɪŋ
accepting	əkˈseptɪŋ	["verb","adjective"]
acceptive	ækˈseptɪv	["adjective"]
acceptor	əkˈseptəɹ	["noun"]
accepts	æksˈɛpts
accepts	əkˈsepts	["verb"]
access	ˈækses	["noun"]
access	ˈæksˌɛs
accessary	ækˈsesəɹɪ	["adjective","noun"]
accessed	ˈæksˌɛst
accessibility	ækˌsesəˈbɪlətɪ	["noun"]
accessibility	ˌæksɛsəbˈɪlɪti
