अंकगणित	əŋkəgəɳiːt̪
टेकडी	ʈekɖiː
टोळी	ʈoɭ̆iː
ठाऊक	ʈʰauːk
ठीक	ʈʰiːk
डाखीण	ɖakʰiːɳ
डोहाळा	ɖoaɭ̆a
तंबाखू	t̪əmbakʰuː
तंबू	t̪əmbuː
तपकिरी	t̪əpkiɾiː
तमिळ	t̪əmiːɭ̆
तरुण	t̪əɾuːɳ
तहान	t̪an
तांत्रिक	t̪ant̪ɾiːk
तांदूळ	t̪and̪uːɭ̆
ताकीद	t̪akiːd̪
तारीफ	t̪aɾiːpʰ
तालीम	t̪aliːm
तिजोरी	t̪idzoɾiː
तिरुचिरापल्ली	t̪iɾutɕiɾapəlliː
ती	t̪iː
तीळ	t̪iːɭ̆
तुम्ही	t̪umʱiː
तुळसी	t̪uɭ̆siː
तू	t̪uː
तूप	t̪uːp
तूळ	t̪uːɭ̆
तृप्ती	t̪ɾupt̪iː
तेलुगू	t̪eluguː
तेवीस	t̪eʋiːs
तेहतीस	t̪et̪iːs
त्रेचाळीस	t̪ɾetɕaɭ̆iːs
थाळी	t̪ʰaɭ̆iː
थुंकी	t̪ʰuŋkiː
दक्षिण	d̪əkʂiːɳ
दरी	d̪əɾiː
दहा	d̪ʱa
दहावे	d̪ʱaʋe
दहावे	d̪ʱaʋə
दही	d̪ʱəiː
दाढी	d̪aɖʱiː
दारू	d̪aɾuː
दिन	d̪iːn
दिल	d̪iːl
दिल्ली	d̪illiː
दिवाळी	d̪iʋaɭ̆iː
दीदी	d̪id̪iː
दीर	d̪iːɾ
दुधी	d̪ud̪ʱiː
दूध	d̪uːd̪ʱ
दूर	d̪uːɾ
देवी	d̪eʋiː
दोन्ही	d̪onʱiː
दोरी	d̪oɾiː
धमनी	d̪ʱəmniː
धातू	d̪ʱat̪uː
धाराशिव	d̪ʱaɾaɕiːʋ
धार्मिक	d̪ʱaɾmiːk
धूर	d̪ʱuːɾ
धूळ	d̪ʱuːɭ̆
नऊ	nəuː
नजीक	nədʑiːk
नटी	nəʈiː
नवरी	nəʋɾiː
नशीब	nəɕiːb
नाकपुडी	nakpuɖiː
नाखुश	nakʰuːɕ
नागपूर	nakpuːɾ
नागरिक	nagəɾiːk
नाचक्की	natɕəkkiː
नाडी	naɖiː
नातीण	nat̪iːɳ
नातू	nat̪uː
नावाडी	naʋaɖiː
नाशिक	naɕiːk
नास्तिक	nast̪iːk
नाही	nʱaiː
नि	niː
निधि	nid̪ʱiː
निर्जीव	niɾdʑiːʋ
निर्मिती	niɾmit̪iː
निवडणूक	niʋəɖɳuːk
नेपाळी	nepaɭ̆iː
न्याहारी	njaɾiː
न्हावी	nʱaʋiː
पंचवीस	pəntɕʋiːs
पंचेचाळीस	pəntsetɕaɭ̆iːs
पट्टी	pəʈʈiː
पणजी	pəɳdʑiː
पणती	pəɳt̪iː
पणतू	pəɳt̪uː
पती	pət̪iː
परिस्थिती	pəɾist̪ʰit̪iː
पशू	pəɕuː
पश्चिम	pəɕtɕiːm
पस्तीस	pəst̪iːs
पहाट	paʈ
पहिले	pile
पांघरूण	paŋgʱɾuːɳ
पाऊल	pauːl
पाऊलखूण	paulkʰuːɳ
पाऊस	pauːs
पाकळी	pakɭ̆iː
पाखरू	pakʰɾuː
पाणी	paɳiː
पाद्री	pad̪ɾiː
पायरी	pajɾiː
पारिभाषिक	paɾibʱaʂiːk
पार्वती	paɾʋət̪iː
पाहणे	paɳe
पाहणे	paɳə
पाहुणा	pauɳa
पिठी	piʈʰiː
पिल्लू	pilluː
पिशवी	piɕʋiː
पीठ	piːʈʰ
पील	piːl
पीस	piːs
पुडी	puɖiː
पुरुष	puɾuːʂ
पुष्कलावती	puʂkəlaʋət̪iː
पूड	puːɖ
पूर	puːɾ
पृथ्वी	pɾut̪ʰʋiː
पॅरिस	pæɾiːs
पेटी	peʈiː
पेढी	peɖʱiː
पेरू	peɾuː
पेहलवान	pelʋan
पैज	pəiːdz
पोपटी	popʈiː
प्रतिनिधी	pɾət̪inid̪ʱiː
प्रथिन	pɾət̪ʰiːn
प्राकृत	pɾakɾuːt̪
प्रादेशिक	pɾad̪eɕiːk
फजिती	pʰədʑit̪iː
फुफ्फुस	pʰuppʰuːs
फुलपाखरू	pʰulpakʰɾuː
फूल	pʰuːl
फेब्रुवारी	pʰebɾuʋaɾiː
फौज	pʰəuːdz
बंगळूर	bəŋgɭ̆uːɾ
बंगाली	bəŋgaliː
बंदी	bənd̪iː
बक्षीस	bəkʂiːs
बत्ती	bət̪t̪iː
बशी	bəɕiː
बहरैन	bəɾəiːn
बहाद्दर	bʱad̪d̪əɾ
बहुतेक	bʱut̪ek
बाकी	bakiː
बाटली	baʈliː
बातमी	bat̪miː
बादशहा	bad̪ɕa
बारीक	baɾiːk
बावीस	baʋiːs
बाहुली	bʱauliː
बाहू	bʱauː
बिंदू	bind̪uː
बिर्याणी	biɾjaɳiː
बी	biː
बुगडी	bugɖiː
बुद्धी	bud̪d̪ʱiː
बुध	buːd̪ʱ
बुरशी	buɾɕiː
बेचाळीस	betɕaɭ̆iːs
बेडूक	beɖuːk
बैरूत	bəiɾuːt̪
बोली	boliː
ब्राझील	bɾadzʱiːl
ब्रुनेई	bɾuneiː
भाऊ	bʱauː
भाकरी	bʱakɾiː
भाची	bʱatɕiː
भाषाकुळ	bʱaʂakuːɭ̆
भीक	bʱiːk
भीती	bʱit̪iː
भुई	bʱuːiː
भू	bʱuː
भूक	bʱuːk
भूत	bʱuːt̪
भूमिती	bʱumit̪iː
भूल	bʱuːl
भोजपुरी	bʱodʑpuɾiː
भौतिक	bʱəut̪iːk
मंडई	məɳɖəiː
मंत्री	mənt̪ɾiː
मंदी	mənd̪iː
मऊ	məuː
मजबूत	mədzbuːt̪
मत्सर	mətsʰəɾ
मधमाशी	məd̪ʱmaɕiː
मधु	məd̪ʱuː
मनस्थिती	mənəst̪ʰit̪iː
मराठी	məɾaʈʰiː
मलूल	məluːl
मशीद	məɕiːd̪
मस्करी	məskəɾiː
महत्त्व	mət̪t̪ʋə
महत्व	mət̪ʋə
महाग	mʱag
महान	mʱan
महामंडळ	mʱaməɳɖəɭ̆
महाराष्ट्र	mʱaɾaʂʈɾə
महाविद्यालय	mʱaʋid̪jaləj
मांदूस	mand̪uːs
मागणी	magɳiː
माजी	madʑiː
माणूस	maɳuːs
माती	mat̪iː
मामी	mamiː
मायबोली	majboliː
मारेकरी	maɾekɾiː
माळी	maɭ̆iː
माशी	maɕiː
माहीत	mʱaiːt̪
माहेर	mʱaeɾ
मिठी	miʈʰiː
मिथुन	mit̪ʰuːn
मिशी	miɕiː
मीठ	miːʈʰ
मीन	miːn
मुंगी	muŋgiː
मुंगूस	muŋguːs
मुंबई	mumbəiː
मुक्ती	mukt̪iː
मुख	muːkʰ
मुख्यमंत्री	mukʰjəmənt̪ɾiː
मुलगी	mulgiː
मुश्कील	muɕkiːl
मूग	muːg
मूठ	muːʈʰ
मूळ	muːɭ̆
मेंदी	mend̪iː
मेंदू	mend̪uː
मेणबत्ती	meɳbət̪t̪iː
मेथी	met̪ʰiː
मेहनत	menət̪
मेहनती	mʱeənt̪iː
मैथिली	məit̪ʰiliː
मोडी	moɖiː
मोहीम	mʱoiːm
म्हणून	mʱəɳuːn
यादी	jad̪iː
रक्तपेढी	ɾəkt̪əpeɖʱiː
रक्तपेशी	ɾəkt̪əpeɕiː
रक्तवाहिनी	ɾəkt̪əʋʱainiː
रक्तवाहिन्या	ɾəkt̪əʋʱainja
रबरी	ɾəbɾiː
रहस्य	ɾəsjə
रांगोळी	ɾaŋgoɭ̆iː
राई	ɾaiː
राऊ	ɾauː
राऊत	ɾauːt̪
राखाडी	ɾakʰaɖiː
राजकारणी	ɾadʑkaɾɳiː
राजी	ɾadziː
राजी	ɾadʑiː
राणी	ɾaɳiː
राष्ट्रपती	ɾaʂʈɾəpt̪iː
राष्ट्रवादी	ɾaʂʈɾəʋad̪iː
राहणे	ɾʱaɳe
राहणे	ɾʱaɳə
रीत	ɾiːt̪
रुंदी	ɾund̪iː
रुग्णवाहिका	ɾugɳəʋʱaika
रोटी	ɾoʈiː
लक्ष्मी	ləkʂmiː
लखनऊ	ləkʰnəuː
लखनौ	ləkʰnəuː
लहर	ləɾ
लहान	lʱan
लांबी	lambiː
लातूर	lat̪uːɾ
लाही	lʱaiː
लाहोर	lʱaoɾ
लाह्या	lʱaja
लिहिणे	lʱiiɳe
लिहिणे	lʱiiɳə
लेखणी	lekʰɳiː
लोकशाही	lokɕaiː
लोह	lo
लोहार	lʱoaɾ
वडील	ʋəɖiːl
वरीस	ʋəɾiːs
वर्गखोली	ʋəɾgəkʰoliː
वर्धापनदिन	ʋəɾd̪ʱapənd̪iːn
वहाण	ʋʱaɳ
वहिणी	ʋʱəiɳiː
वहिनी	ʋʱəiniː
वही	ʋʱəiː
वह्या	ʋəja
वाडी	ʋaɖiː
वायू	ʋajuː
वाळू	ʋaɭ̆uː
वास्तु	ʋast̪uː
वाहक	ʋʱaək
वाहणे	ʋʱaɳe
वाहणे	ʋʱaɳə
वाहिका	ʋʱaika
विंचू	ʋintsuː
विडूर	ʋiɖuːɾ
विनंती	ʋinənt̪iː
विष	ʋiːʂ
विषाणू	ʋiʂaɳuː
विषारी	ʋiʂaɾiː
विहीर	ʋʱiːiɾ
वीज	ʋiːdz
वीट	ʋiːʈ
वीस	ʋiːs
वृश्चिक	ʋɾuɕtɕiːk
वेलची	ʋeltɕiː
वैज्ञानिक	ʋəidʑnaniːk
वैध	ʋəiːd̪ʱ
व्यक्ती	ʋjəkt̪iː
व्याही	ʋjaiː
शक्ती	ɕəkt̪iː
शत्रू	ɕət̪ɾuː
शरीर	ɕəɾiːɾ
शहर	ɕəɾ
शहरी	ɕəɾiː
शहा	ɕa
शाब्दिक	ɕabd̪iːk
शाहीर	ɕaiːɾ
शिट्टी	ɕiʈʈiː
शिर्डी	ɕiɾɖiː
शीर	ɕiːɾ
शेंडी	ɕeɳɖiː
शेजारी	ɕedzaɾiː
शेतकरी	ɕet̪əkɾiː
शेळी	ɕeɭ̆iː
शेहेचाळीस	ɕeetɕaɭ̆iːs
शैक्षणिक	ɕəikʂəɳiːk
श्री	ɕɾiː
संस्कृत	səuskɾuːt̪
सजीव	sədʑiːʋ
सत्तावीस	sət̪t̪aʋiːs
सत्तेचाळीस	sət̪t̪etɕaɭ̆iːs
सदतीस	səd̪t̪iːs
समाजवादी	səmadʑʋad̪iː
सम्मुख	səmmuːkʰ
सरकारी	səɾkaɾiː
सरहद्द	səɾʱəd̪d̪ə
सव्वीस	səʋʋiːs
सहज	sədz
सहनशीलता	sənəɕilt̪a
सहल	səl
सहा	sa
साखळी	sakʰɭ̆iː
साडी	saɖiː
साडू	saɖuː
साम्यवादी	samjəʋad̪iː
सारणी	saɾɳiː
साली	saliː
सासू	sasuː
साहित्य	sait̪jə
सिंगापूर	siŋgapuːɾ
सुईण	suiːɳ
सुपारी	supaɾiː
सुरू	suɾuː
सुस्ती	sust̪iː
सूड	suːɖ
सूत	suːt̪
सैल	səiːl
सोनेरी	soneɾiː
सोलापूर	solapuːɾ
सोहळा	soɭ̆a
स्थिती	st̪ʰit̪iː
स्थिर	st̪ʰiːɾ
हल्ली	ɦəlliː
हळू	ɦəɭ̆uː
हिंदी	ɦind̪iː
हिंदू	ɦind̪uː
हिवाळी	ɦiʋaɭ̆iː
ही	ɦiː
हेतू	ɦet̪uː
होडी	ɦoɖiː
होती	ɦot̪iː
होळी	ɦoɭ̆iː
हौस	ɦəuːs
ॲक्रिडिएशन	əkɾiɖiɛʃn
ॲथलिट	əʈəɭɪʈ
ॲथलिट्स	əʈʰəliʈʰs
ॲथलिट्सचा	əʈʰəliːʈʂə
ॲथलेटिक्स	əʈləʈɪkʂ
ॲथॉरिटी	əɳoɾiːʈiː
ॲरॉन	əɾoːn
ॲशेस	əʃeʃ
अ	ə
अंक	əŋk
अकबर	əkˈbər
अकबर	əkbər
अकमल	əgəməl
अकमलने	əgəməl̪n̪e
अकमलला	əgəməl̪lə
अँकर	əŋkəɾ
अकरा	əkɾa
अकरावा	əkɾɑːʋə
अकराव्या	əkərəʋjə
अंकलीकर	əŋkliːkəɾ
अकस्मात	əksəmɑːt̪
अकाउंट	əkaʊ̯ʈ̪
अकाउंटच्या	əkaʊ̯ɳʈtɕə
अकाउंटवर	əkaʊʈʋəɾ
अकाउंटवरुन	əkaʊʈʋəɾʊn
अकाउंटवरून	əkaʊʈʋəruːn
अकाऊंट	əkaʊ̯ɳʈʰ
अकाऊंटच	əkaʊ̯ʈʈʃ
अकाऊंटद्वारे	əkaʊ̯ɳʈd̪ʋaːrɛ
अकाऊंटमध्ये	əkaʊ̯ʈ̪ə̃mɖʱe
अकाऊंटवर	əkaʊ̯t̪uʋəɾ
अकाऊंटवरही	əkaʊ̯ɳt̪ʋəɾʱi
अकाऊंटवरुन	əkaʊɳt̪ʋəɾʊn
अकाऊंटवरून	əkaʊ̯ɳt̪ʋəruːn
अकाऊंटशी	əkaʊ̯ʈʂi
अकाऊंट्स	əkaʊ̯ʈ̪s̪
अकादमी	əkaːdaːmiː
अकादमीचा	əkaːɖəmiːtʃə
अकादमीची	əkaːɖəmiːtʃiː
अकादमीच्या	əkaːd̪amiːtɕʰə
अकादमीत	əkaːdaːmiːt̪
अकादमीतील	əkaːɖəmiːt̪iːl̪
अकादमीतून	əkaːdaːmiːt̪uːn̪
अकादमीने	əkaːdaːmiːne
अकारण	əkaːɾəɳ
अकार्यक्षम	əkaːɾjəkʂə
अकार्यक्षमता	əkaːɾjkʂmt̪ə
अकार्यक्षमतेचे	əkaːɾjəksmətetʃe
अकाली	əkɑːli
अंकित	əŋkiʈ
अंकिता	əŋkɪt̪ə
अंकिताने	əŋkɪt̪ɑːne
अंकिताला	əŋkɪt̪aːl̪a
अकिरा	əkiɾa
अकिरा	əkiɾə
अकिरामध्ये	əkiɾaːmʈʰe
अंकी	əŋki
अंकुर	əŋkuɾ
अंकुरने	əŋkʊrnɛ
अंकुश	əŋkuʃ
अकेन	əkɛn
अक्कलकोट	əkːəlkoːʈ
अक्कीने	əkkiːne
अक्रोड	əkɾoɖ
अक्रोडमध्ये	əkrɔɖmɖʱe
अँक्वा	ə̃kʋa
अक्षता	əkʂt̪ə
अक्षम्य	əksəmi
अक्षय	əkʂəj
अक्षयकुमार	əkʂəjkuːmər
अक्षयच	əkʂəjətʃ
अक्षयचा	əkʂəjə
अक्षयची	əkʂəjʈʂi
अक्षयचे	əkʂəjʈʂe
अक्षयच्या	əkʂəjəɭ̆tɕi
अक्षयने	əkʂəjn̪eː
अक्षयला	əkʂəjəla
अक्षयसोबत	əksɕəjsoːbət
अक्षया	əkʂjɑː
अक्षर	əksəɾ
अक्षरशः	əkʂəɾəʂə
अखंड	əkʰəɳɖ
अखंडपणे	əkʰəɳɖəpɳe
अखत्यारीत	əkʰt̪jɑːɾit̪
अखिल	əkiɭ
अखेपर्यंत	əkʰepəɾənt̪
अखेर	əkʰeɾ
अखेरचा	əkʰeɾtɕə
अखेरची	əkʰeɾtɕi
अखेरचे	əkʰerʈʂe
अखेरच्या	əkʰeɾtɕi
अखेरपर्यंत	əkʰeɾpəɾjəɳt̪
अखेरीपर्यंत	əkʰeɾipəɾjənt̪
अखेरीस	əkʰeːɾis
अख्खं	ək̪kʰə̃
अख्खा	əkʋə
अख्खी	əkki
अख्खे	əkːe
अख्ख्या	əkʋjɑ
अख्तर	əkʰʈəɾ
अख्तरची	əkʰʈəɾtʃi
अख्तरच्या	əkʰʈəɾtɕə
अख्तरने	əxt̪əɾne
अगं	əgəɳ
अंग	əŋg
अंगठय़ा	əŋgəʈʰjə
अंगठा	əŋgəʈʰə
अंगठी	əŋgəʈʰi
अंगठे	əŋgəʈʰe
अंगठ्याच्या	əŋgəʈʲəʧə
अंगठ्याला	əŋgəʈʰjɑːlɑ
अगडबम	əgəɖəbəm
अंगणात	əŋgəɳɑːt̪
अगणित	əgəɳɪt̪
अंगद	əŋgəd̪
अगदी	əgɖi
अगदीच	əgəɖitʃ
अंगदुखी	əŋgəd̪ʊkʰiː
अंगप्रदर्शन	əŋgprəd̪rʌʂn̪
अगर	əgəɾ
अगरवाल	əgəɾʋaːl
अँगल	əŋgəl
अंगलट	əŋgəlʈ
अंगाई	əŋgaːi
अंगाची	əŋgatʃi
अंगात	əŋgɑːt̪
अंगातील	əŋgaːt̪iːl̪
अंगांनी	əŋgaɳi
अंगाने	əŋgɑːne
अंगाला	əŋgɑːlɑː
अंगावर	əŋgəʋəɾ
अंगावरचा	əŋgəʋəɾtʃə
अंगाशी	əŋgaːʃi
अंगी	əŋgi
अंगुरी	əŋguɾi
अगेन	əgeːn
अगोदर	əgoɖəɾ
अगोदरच	əgoɖəɾtʃ
अगोदरच्या	əgoɖəɾtɕi
अग्निहोत्र	əgn̪iɦoːt̪r̪
अग्निहोत्री	əgn̪iːhoːʈɾiː
अग्नी	əgɲiː
अग्रक्रम	əgɾəkɾəm
अग्रगण्य	əgrəgəɳj
अग्रणी	əgɾɳi
अग्रमानांकित	əgɾəmaːn̪aːkʈ
अग्रवाल	əgɾʋaːl
अग्रवालने	əgɾʋaːlnɛ
अग्रस्थान	əgɾəstaːɳ
अग्रस्थानावर	əgɾəstaːɳəʋəɾ
अग्रस्थानी	əgɾəʂʈaːni
अग्रेसर	əgɾeːsəɾ
अघोरी	əgʱoɾi
अंघोळ	əŋgoɭ̆
अचंबित	ətɕəm̆bɪt̪
अचाट	ətɕɑːʈ
अचानक	ətɕʰənəg
अचानकपणे	əʈʂəɳəkəɳe
अची	ətʃi
अचूक	ətɕukʌ
अचूकता	ətɕukat̪a
अचूकपणे	ətɕukəpəɳe
अच्छे	əʈʈʰe
अजब	əɟəb
अजब	əʐəb
अजमावण्यासाठी	əʐʋəmaʋɳjɑːʈʈʰi
अजमावून	əʐmɑːvuːn
अजय	əgəj
अजय	əɟəj
अजयच्या	əɟəɭtʃe
अजयने	əɟəɳe
अजयला	əgʐəjəɭə
अजरामर	əɟəɾɑːməɾ
अंजली	əɳdʒli
अंजलीच्या	əɳdʒəliːtʃʰeː
अजहर	əʐʱəɾ
अजिंक्य	əɟiɳkʲə
अजिंक्यने	əɟiɳkʲəne
अजिंक्यपद	əɟiɳkʲəpəd̪
अजिंक्यपदाची	əɟiɳkjapəɖatʃi
अजिंक्यला	əɟiɳkjaː
अजित	əɟɪt̪
अजिबात	əɟɪbɑːt̪
अजिबातच	əʐɪbɑːtʃ
अजिर्ण	əɟiɳ
अंजीर	əɳdʒiːɾ
अजुन	əɟun
अजुनही	əʐunʱi
अंजुम	əɳdʒum
अजून	əguːn
अजूनच	əɟuːnʧ
अजूनपर्यंत	əguːnpəɾjənt̪
अजूनही	əɟuːnʱi
अँजेलिक	əɳdʒeːlɪk
अँजेलिना	əɳdʒeːlɪna
अँजेलिनाचे	əɳdʒeːlɪnɑːtʃe
अँजेलिनाच्या	əɳdʒeːlɪnɑːtʃʰeː
अँजेलिनाने	əɳdʒeːlɪnɑːne
अँजेलो	əɳdʒeːloː
अज्ञात	əgjəɳɑːt̪
अझर	əʐə
अझरबैजान	əʐəbɛdʒɑːn
अझरुद्दीन	əʐuɾuɖiːn
अझरुद्दीनने	əɟɾud̪ːiːn̪n̪e
अझलन	əʐələn
अट	əʈ
अटक	əʈək
अटकपूर्व	əʈkʰpuːɾʋ
अटकही	əʈkʰiː
अटकाव	əʈkɑːʋ
अँटमॅन	əɳʈəmeːn
अँटमॅन	ə̃ʈəmeːn
अँटमॅनची	əɳʈəmeːɳtʃi
अटळ	əʈəɭ
अँटिऑक्सिडंट	əɳʈiːgsɪɳɖə
अँटिक	ə̃ʈik
अँटिबॉडी	əɳʈiɓɔd̪i
अटी	əʈi
अँटी	ə̃ʈi
अँटीऑक्सिडंटस	ə̃ʈiɔksid̪ʈʌs
अटींचे	əʈiːnʧe
अटीतटीचा	əʈiʈiːtʃə
अटीतटीच्या	əʈiʈiːtɕʰə
अटीतटीने	əʈiːt̪ːiːne
अटींवर	əʈiɱʋəɾ
अटीवर	əʈiʋəɾ
अँटीसेप्टीक	ə̃ʈiːsɛptik
अँटॉप	əɳʈoʈp
अँटोनी	əɳʈoɳi
अँटोनेला	əɳtoːneːla
अट्टहास	əʈːʰaːs
अट्टाहास	əʈːaːɦaːs
अठरा	əʈɾə
अठराव्या	əʈɾaːʋjə
अठ्ठासी	əʈːɑːsiː
अँड	əɳɖ
अंड	əɳɖ
अडकणार	əɖəkɳaːr
अडकणाऱ्या	əɖəkɳaːrjaː
अडकण्यास	əɖəkɳjɑs
अडकत	əɖəkət̪
अडकतात	əɖəkt̪əʈə
अडकतील	əɖəkt̪iːl̪
अडकला	əɖəkɭə
अडकली	əɖəkli
अडकले	əɖəkəlɛ
अडकलेला	əɖəkleːlə
अडकलेले	əɖəkəl̪eːl̪e
अडकलेल्या	əɖəkləjə
अडकल्याने	əɖkəljaːne
अडकवून	əɖəkuːn
अडकून	əɖəkuːn
अडके	əɖke
अडखळत	əɖkʰəɭət̪
अडखळती	əɖkʰəɭʈi
अडखळला	əɖkʰəɭə
अडचण	əɖəʈɳ
अडचणी	əɖəʈɳi
अडचणींचा	əɖəʈɳiːnʧə
