aberaeron	abɛreɨ̯rɔn
amlyn	amlɪn
amos	amɔs
amranwen	amranwɛn
amwythig	amʊɨ̯θɪɡ
anarawd	anarau̯d
andras	andras
andreas	andrɛas
andro	androː
androw	androu̯
aneira	anei̯ra
aneirin	aneɨ̯rɪn
aneirwen	anei̯rwɛn
anes	anɛs
anest	anɛst
aneurin	aneɨ̯rɪn
angell	anɡɛɬ
angharad	aŋharad
angola	aŋɡɔla
anhun	anhɨ̞n
ania	anja
anian	anjan
anita	anɨta
anlawdd	anlau̯ð
ann	an
anna	ana
annalyn	analɨ̞n
annell	anɛɬ
annes	anɛs
annest	anɛst
anni	anɨː
annun	anɨn
annwyl	anʊɨ̯l
anona	anɔna
antigwa	antɪɡwa
antur	antɨ̞r
anwen	anwɛn
anwn	anʊn
anwyl	anʊɨ̯l
anwylyn	anʊɨ̯lɨn
arad	arad
aran	aran
aranli	aranli
arglwydd	arɡlʊɨ̯ð
arglwyddes	arɡlʊɨ̯ðɛs
arglwyddesau	arɡlʊɨ̯ðɛsa
arglwyddesau	arɡlʊɨ̯ðɛsaɨ̯
arglwyddesau	arɡlʊɨ̯ðɛsɛ
ariannin	arjanɪn
ariannin	ərarjanɪn
arianrhod	arjanr̥ɔd
armenia	armɛnja
arthwys	arθʊɨ̯s
arwel	arwɛl
aserbaijan	asɛrbai̯d͡ʒan
athen	aθɛn
awen	au̯ɛn
awst	au̯sd
awstralia	au̯sdralja
awstria	au̯sdrja
bahamas	bahamas
bangor	baŋɡɔr
baragwâi	baraɡwaːi̯
barbados	barbeːdɔs
barbiwda	barbɪu̯da
baris	barɪs
barri	bari
barti	bartɪ
bedr	bɛdr
beibl	bei̯bl
beibl	bei̯bl̩
beiblau	bei̯bla
beiblau	bei̯blaɨ̯
beiblau	bei̯blɛ
belarws	bɛlarʊs
belffast	bɛlfasd
benin	bɛnɪn
beriw	bɛrɪu̯
berlin	bɛrlɪn
bermo	bɛrmɔ
berwig	bɛrwɪɡ
bhwtan	bʊtaːn
birmingham	bərmɪŋham
bolifia	bɔlɪvja
bordo	bɔrdoː
bortiwgal	bɔrtjʊɡal
bortiwgal	bɔrtɪu̯ɡal
bortiwgaleg	bɔrtɪu̯ɡalɛɡ
botswana	bɔtswana
brag	braːɡ
brasil	brasɪl
brecsit	brɛksɪt
brexit	brɛksɪt
bronwen	brɔnwɛn
brwsel	brʊsɛl
brydain	brədai̯n
brydain	brədɛn
brynbuga	brɨ̞nbɨ̞ɡa
bryste	brɨ̞stɛ
brython	brəθɔn
brythoneg	brəθɔnɛɡ
bwlgaria	bʊlɡarja
bwllheli	bʊɬhɛli
bwrwndi	bʊrʊndɪ
cadfael	kadvaːɨ̯l
caer	kaːɨ̯r
caerdydd	kaɨ̯rdɨːð
caerdydd	kərdɨːð
caeredin	kaɨ̯rɛdɨ̞n
caerfaddon	kaɨ̯rvaðɔn
caerffili	kaɨ̯rfɪli
caerfyrddin	kaɨ̯rvərðɪn
caergaint	kaɨ̯rɡai̯nt
caergrawnt	kaɨ̯rɡrau̯nt
caergwrle	kaɨ̯rɡʊrlɛ
caergybi	kaɨ̯rɡəbɪ
caerhirfryn	kaɨ̯rhɪrvrɨ̞n
caerliwelydd	kaɨ̯rlɪu̯ɛlɨ̞ð
caerloyw	kaɨ̯rlɔɨ̯ʊ
caerlŷr	kaɨ̯rlɨːr
caernarfon	kaɨ̞rnarvɔn
caersallog	kaɨ̯rsaɬɔɡ
caerwrangon	kaɨ̯rwraŋɔn
caerwynt	kaɨ̯rwɨ̞nt
caerwysg	kaɨ̯ruːɨ̯sɡ
caerwysg	kaɨ̯rwɨ̯ːsɡ
caint	kai̯nt
cambodia	kambɔdja
cambodiad	kambɔdjad
cambodiaid	kambɔdjai̯d
cambodiaid	kambɔdjɛd
cambodiaidd	kambɔdjai̯ð
cambodiaidd	kambɔdjɛð
camerŵn	kamɛruːn
canada	kanada
canadaidd	kanadai̯ð
canadaidd	kanadɛð
canadiad	kanadjad
canadiaid	kanadjai̯d
canadiaid	kanadjɛd
caradog	karadɔɡ
catrin	katrɪn
celyn	kɛlɨ̞n
ceredigion	kɛrɛdɪɡjɔn
cerys	kɛrɨ̞s
chaeredin	χaɨ̯rɛdɨ̞n
chaerfyrddin	χeɨ̯rfərðɪn
chaint	χai̯nt
chambodia	χambɔdja
chambodiad	χambɔdjad
chambodiaid	χambɔdjai̯d
chambodiaid	χambɔdjɛd
chambodiaidd	χambɔdjai̯ð
chambodiaidd	χambɔdjɛð
chamerŵn	χamɛruːn
chanada	χanada
chanadaidd	χanadai̯ð
chanadaidd	χanadɛð
cholombia	χɔlɔmbja
chorea	χɔreːa
chymru	χəmrɨ̞
ciribati	kɪrɪbatɪ
clydach	klədax
conwy	kɔnʊɨ̯
cristnogaeth	krɪsdnɔɡaɨ̯θ
cristnogaeth	krɪsdnɔɡɛθ
cristnoges	krɪstnɔɡas
cristnoges	krɪstnɔɡɛs
cristnogion	krɪsdnɔɡjɔn
crynwr	krənʊr
crynwyr	krənwɨ̞r
cymraeg	kəmraːi̯ɡ
cymraes	kəmraːɨ̯s
cymraesau	kəmreɨ̯sa
cymraesau	kəmreɨ̯saɨ̯
cymraesau	kəmreɨ̯sɛ
cymreig	kəmrei̯ɡ
cymreigio	kəmrei̯ɡjɔ
cymro	kəmrɔ
cymru	kəmrɨ̞
dafydd	davɨ̞ð
ddenmarc	ðɛnmark
dewi	dɛu̯ɪ
dolwyddelan	dɔlwɨ̞ðɛlan
dudno	dɨ̞dnɔ
duw	dɨ̞u̯
dyfrdwy	dəvrdʊɨ̯
dyfrig	dəvrɪɡ
e	eː
ebrill	ɛbrɪɬ
ecwador	ɛkwadɔr
efrog	ɛvrɔɡ
eidal	ei̯dal
eidal	ərei̯dal
enid	ɛnɪd
eurwen	eɨ̯rwɛn
fawrth	vau̯rθ
fecsico	vɛksɪkɔ
fedi	vɛdi
fegan	vɛɡan
fehefin	vɛhɛvɪn
feneswela	vɛnɛsweːla
ffrancwr	fraŋkʊr
foldofa	vɔldɔva
folifia	vɔlɪvja
foroco	vɔrɔkɔ
gaeredin	ɡaɨ̯rɛdɨ̞n
gaerfyrddin	ɡeɨ̯rfərðɪn
gambodia	ɡambɔdja
ganada	ɡanada
ganadaidd	ɡanadai̯ð
ganadaidd	ɡanadɛð
gatholig	ɡaθɔlɪɡ
giwba	ɡɪu̯ba
gog	ɡɔɡ
gogs	ɡɔɡs
golombia	ɡɔlɔmbja
gorea	ɡɔreːa
gorffennaf	ɡɔrfɛnav
grist	ɡriːst
groatia	ɡrɔatja
groatia	ɡrɔaʃa
groeg	ɡroːɨ̯ɡ
gruffudd	ɡrɨ̞fɨ̞ð
gwener	ɡwɛnɛr
gwenhwyfar	ɡwɛnhʊɨ̯var
gwenllian	ɡwɛnɬiːan
gweplyfr	ɡwɛplɨ̞vr
gwersyllt	ɡwɛrsɨ̞ɬd
gwilym	ɡwɪlɨ̞m
gwyddel	ɡwɨ̞ðɛl
gwyddeleg	ɡwɨ̞ðɛlɛɡ
gwyddelig	ɡwɨ̞ðɛlɪɡ
gwyddelod	ɡwɨ̞ðɛlɔd
gwyddyl	ɡwɨ̞ðɨ̞l
gwydion	ɡwɨ̞djɔn
gymro	ɡəmrɔ
gymru	ɡəmrɨ̞
gymry	ɡəmrɨ̞
gâl	ɡaːl
h	ai̯tʃ
h	aːɨ̯tʃ
h	haːɨ̯tʃ
h	hə
haberaeron	habɛreɨ̯rɔn
haberdâr	habɛrdaːr
hafren	havrɛn
halbania	halbanja
hangharad	haŋharad
harri	harɪ
haserbaijan	hasɛrbai̯d͡ʒan
hawstralia	hau̯sdralja
henffordd	hɛnfɔrð
hiddewiaeth	hɪðeu̯jaɨθ
hiddewiaeth	hɪðeu̯jɛθ
holocost	hɔlɔkɔsd
hwngareg	hʊŋɡarɛɡ
hwngari	hʊŋɡari
hydref	hədra
hydref	hədrɛ
hydref	hədrɛv
i	iː
ianto	jantɔ
iau	jaɨ̯
iddew	ɪðɛu̯
india	ɪndja
ioan	jɔan
iran	ɪran
iseldiraidd	ɪsɛldɪrai̯ð
iseldiraidd	ɪsɛldɪrɛð
israel	ɪsraɨ̯l
iwan	ɪu̯an
iwerddon	ɪu̯ɛrðɔn
iwerddoneg	ɪu̯ɛrðɔnɛɡ
iâl	jaːl
iôr	joːr
j	dʒeː
kantiaeth	kantjaɨ̯θ
kantiaeth	kantjɛθ
latfia	latvja
lerpwl	lɛrpʊl
llandecwyn	ɬandɛkwɨ̞n
llandudno	ɬandɨ̞dnɔ
lloegr	ɬɔɨ̯ɡar
lloegr	ɬɔɨ̯ɡr
lloegr	ɬɔɨ̯ɡər
llwchwr	ɬʊχʊr
llywelyn	ɬəu̯ɛlɨ̞n
loegr	lɔɨ̯ɡr
loegr	lɔɨ̯ɡər
lundain	lɨ̞ndai̯n
lundain	lɨ̞ndan
lundain	lɨ̞ndɛn
lwcsembwrg	lʊksɛmbʊrɡ
lychlyn	ləχlɨ̞n
lychlynnwr	ləχlənʊr
lydaw	lədau̯
mab	maːb
madagasgar	madaɡasɡar
mai	mai̯
manceinion	maŋkei̯njɔn
mari	marɪ
melffast	mɛlfasd
mercher	mɛrχar
mercher	mɛrχɛr
mharagwâi	m̥araɡwaːi̯
mharis	m̥arɪs
mheriw	m̥ɛrɪu̯
mhortiwgal	m̥ɔrtjʊɡal
mhortiwgal	m̥ɔrtɪu̯ɡal
mhortiwgaleg	m̥ɔrtɪu̯ɡalɛɡ
mhrag	m̥raːɡ
mhrydain	m̥rədai̯n
mhrydain	m̥rədɛn
mhwllheli	m̥ʊɬhɛli
mhwtan	mʊtaːn
moldofa	mɔldɔva
molifia	mɔlɪvja
morgan	mɔrɡan
morgannwg	mɔrɡanʊɡ
moroco	mɔrɔkɔ
mosambic	mɔsambiːk
moscfa	mɔsɡva
mosgo	mɔsɡɔ
myfanwy	məvanʊɨ̯
nadolig	dɔlɪɡ
nadolig	nadɔlɪɡ
nedd	neːð
neirin	neɨ̯rɪn
nenmarc	nɛnmark
nghaeredin	ŋ̊aɨ̯rɛdɨ̞n
nghaint	ŋ̊ai̯nt
nghanada	ŋ̊anada
nghorea	ŋ̊ɔreːa
nghymro	ŋ̊əmrɔ
nghymru	ŋ̊əmrɨ
nghymry	ŋ̊əmrɨ̞
ngorffennaf	ŋɔrfɛnav
ngroeg	ŋroːɨ̯ɡ
nhwrci	n̥ʊrki
nicaragwa	nɪkaraɡwa
norwy	nɔrʊɨ̯
nulyn	nɨ̞lɨ̞n
nêr	neːr
o	oː
ogwr	ɔɡʊr
olympaidd	ɔlɨ̞mpai̯ð
olympaidd	ɔlɨ̞mpɛð
oman	ɔman
orffennaf	ɔrfɛnav
osian	ɔʃan
owain	ou̯ai̯n
padarn	padəɹn
padrig	padrɪɡ
paragwâi	paraɡwaːi̯
parchedig	parχɛdɪɡ
paris	parɪs
pasg	paːsɡ
pawl	pau̯l
pedr	pɛdr
penarth	pɛnarθ
penbedw	pɛmbɛdʊ
peris	pɛrɪs
periw	pɛrɪu̯
periwiad	pɛrɪu̯jad
pharagwâi	faraɡwaːi̯
pharis	farɪs
pheriw	fɛrɪu̯
phortiwgal	fɔrtjʊɡal
phortiwgal	fɔrtɪu̯ɡal
phortiwgaleg	fɔrtɪu̯ɡalɛɡ
phrag	fraːɡ
phrydain	frədai̯n
phrydain	frədɛn
phwllheli	fʊɬhɛli
pontypridd	pɔntəpriːð
portiwgal	pɔrtɪu̯ɡal
portiwgaleg	pɔrtɪu̯ɡalɛɡ
powys	pou̯ɨ̞s
powys	pou̯ɪs
prag	praːɡ
prestatyn	prɛstatɨ̞n
protestaniaeth	prɔtɛsdanjaɨ̯θ
protestaniaeth	prɔtɛsdanjɛθ
protestaniaid	prɔtɛsdanjai̯d
protestaniaid	prɔtɛsdanjɛd
protestannaidd	prɔtɛsdanai̯ð
protestannaidd	prɔtɛsdanɛð
protestant	prɔtɛsdant
prydael	prədaɨ̯l
prydain	prədai̯n
prydain	prədɛn
prydwen	prədwɛn
pwllheli	pʊɬhɛli
ragfyr	raɡvɨ̞r
rhian	r̥ian
rhiannon	r̥ianɔn
rhianwen	r̥ianwɛn
rhufain	r̥ɨ̞vai̯n
rhufain	r̥ɨ̞vɛn
rhufeiniwr	r̥ɨ̞vei̯njʊr
rhydychen	r̥ɨːdəχɛn
rhydychen	r̥ɨ̞dəχɛn
rhyl	r̥ɨ̞l
rhyl	ər̥ɨ̞l
roeg	roːɨ̯ɡ
rufain	rɨ̞vai̯n
rufeinig	rɨ̞vei̯nɪɡ
rwanda	rʊanda
rwmania	rʊmanja
rwsia	rʊʃa
sacson	saksɔn
sadwrn	sadʊn
sadwrn	sadʊrn
saesneg	seɨ̯snaɡ
saesneg	seɨ̯snɛɡ
saesneg	sɨ̞snaɡ
saesneg	sɨ̞snɛɡ
saesnes	seɨ̯snas
saesnes	seɨ̯snɛs
saeson	seɨ̯sɔn
sais	saːi̯s
sbaen	sbaːɨ̯n
sbaeneg	sbeɨ̯nɛɡ
sbaenes	sbeɨ̯nas
sbaenes	sbeɨ̯nɛs
sbaenwr	sbeɨ̯nʊr
serbia	sɛrbja
sgythia	sɡəθja
siani	ʃanɪ
siapan	ʃapan
sioned	ʃɔnɛd
siwan	sɪu̯an
siwan	ʃʊan
siân	ʃaːn
siôn	ʃoːn
siôr	ʃoːr
slofacia	slɔvakja
slofenia	slɔvɛnja
sosban	sɔsban
swdan	sʊdan
sweden	swɛdɛn
swistir	swɪsdɪr
swistir	əswɪsdɪr
swrinam	sʊrɪnam
tgau	tɡaɨ̯
tachwedd	taχwɛð
tad	taːd
taf	taːv
tafwys	tavʊɨ̯s
talmwd	talmʊd
tasmania	tasmanja
tawe	tau̯ɛ
tecwyn	tɛkwɨ̞n
teifi	tei̯vi
thachwedd	θaχwɛð
thasmania	θasmanja
thawe	θau̯ɛ
thwrci	θʊrki
tibet	tɪbɛt
tibeteg	tɪbɛtɛɡ
tirana	tɪrana
tiwnisia	tɪu̯nɪsja
tomos	tɔmɔs
tonypandy	tɔnəpandɨ̞
tonyrefail	tɔnərɛvai̯l
trawsfynydd	trau̯svənɨ̞ð
trefor	trɛvɔr
trefynwy	trɛvənʊɨ̯
trindod	trɪndɔd
troedfawr	troːɨ̯dvau̯r
trydar	trədar
tsiad	t͡ʃad
tsieina	t͡ʃei̯na
tsieineeg	t͡ʃei̯neːɛɡ
tudno	tɨ̞dnɔ
twfalw	tʊvalʊ
twitter	twɪtər
twrci	tʊrkɪ
tyddewi	tɨ̞ðɛu̯ɪ
u	ɨː
w	uː
wcráin	ʊkrai̯n
wellington	wɛlɪŋtən
wganda	ʊɡanda
wiciadur	wɪkjadɨ̞r
wicipedia	wɪkɪpɛdja
wiclo	wɪklɔ
wranws	ʊranʊs
wrecsam	wrɛksam
wrwgwái	ʊrʊɡwai̯
wy	uːɨ̯
wyddel	ʊɨ̯ðɛl
wyddeleg	ʊɨ̯ðɛlɛɡ
wysg	uːɨ̯sɡ
ystradwel	əsdradwɛl
zwinglïad	swɪŋɡliːad
zwinglïaeth	swɪŋɡliːaɨ̯θ
zwinglïaeth	swɪŋɡliːɛθ
ab	ab
abad	abad
abadaeth	abadaɨ̯θ
abadaeth	abadɛθ
abadaethau	abadeɨ̯θa
abadaethau	abadeɨ̯θaɨ̯
abadaethau	abadeɨ̯θɛ
abadau	abada
abadau	abadaɨ̯
abadau	abadɛ
abades	abadɛs
abadesau	abadɛsa
abadesau	abadɛsaɨ̯
abadesau	abadɛsɛ
aball	abaɬ
aballu	abaɬɨ̞
abatai	abataɨ̯
abathocroalaidd	abaθɔkrɔalai̯ð
abatir	abatɪr
abatiroedd	abatɪrɔɨ̯ð
abaty	abatɨ̞
aber	abɛr
abergofiant	abɛrɡɔvjant
aberth	abɛrθ
aberthau	abɛrθa
aberthau	abɛrθaɨ̯
aberthau	abɛrθɛ
aberthged	abɛrθɡɛd
aberthgedau	abɛrθɡɛda
aberthgedau	abɛrθɡɛdaɨ̯
aberthgedau	abɛrθɡɛdɛ
aberthu	abɛrθɨ̞
aberthwr	abɛrθʊr
abl	abl
abladol	abladɔl
abostol	abɔsdɔl
absen	absɛn
absennau	absɛna
absennau	absɛnaɨ̯
absennau	absɛnɛ
absennol	absɛnɔl
absennu	absɛnɨ
absenoldeb	absɛnɔldab
absenoldeb	absɛnɔldɛb
abwyd	abʊɨ̯d
abwydyn	abʊɨ̯dɨ̞n
academaidd	akadɛmai̯ð
academaidd	akadɛmɛð
academi	akadɛmi
academydd	akadɛmɨ̞ð
academyddion	akadɛməðjɔn
academïau	akadɛmiːa
academïau	akadɛmiːaɨ̯
academïau	akadɛmiːɛ
acen	akɛn
aceniad	akɛnjad
aceniadau	akɛnjada
aceniadau	akɛnjadaɨ̯
aceniadau	akɛnjadɛ
acenion	akɛnjɔn
acennu	akɛnɨ
acer	akar
acer	akɛr
ach	aχ
ach	aːχ
acha	aχa
achan	aχan
achles	aχlɛs
achlesau	aχlɛsa
achlesau	aχlɛsaɨ̯
achlesau	aχlɛsɛ
achlesu	aχlɛsɨ̞
achlod	aχlɔd
achlust	aχlɨ̞sd
achlysur	aχləsɨ̞r
achlysurol	aχləsɨ̞rɔl
achlysuron	aχləsɨ̞rɔn
achoedd	aːχɔi̯ð
achos	aχɔs
achos	χɔs
achosi	aχɔsi
achosion	aχɔʃɔn
achres	aχrɛs
achub	aχɨ̞b
achubiaeth	aχɨ̞bjaɨ̯θ
achubiaeth	aχɨ̞bjɛθ
achubol	aχɨ̞bɔl
achubwr	aχɨ̞bʊr
achubwyr	aχɨ̞bwɨ̞r
achwyn	aχwɨ̞n
achwyn	aχʊɨ̯n
achwyniad	aχʊɨ̯njad
achwyniadau	aχʊɨ̯njada
achwyniadau	aχʊɨ̯njadaɨ̯
achwyniadau	aχʊɨ̯njadɛ
achwynwr	aχʊɨ̯njʊr
achwynwyr	aχʊɨ̯nwɨ̞r
achwynydd	aχʊɨ̯njɨ̞ð
achydd	aχɨ̞ð
achyddiaeth	aχəðjaɨ̯θ
achyddiaeth	aχəðjɛθ
achyddion	aχəðjɔn
achyddol	aχəðɔl
aciwbigo	akɪu̯bɪɡɔ
act	akt
actau	akta
actau	aktaɨ̯
actau	aktɛ
acti	akti
actiniwm	aktɪnjʊm
actio	aktjɔ
actor	aktɔr
actores	aktɔrɛs
actoresau	aktɔrɛsa
actoresau	aktɔrɛsaɨ̯
actoresau	aktɔrɛsɛ
actorion	aktɔrjɔn
acw	akʊ
ad	aːd
adael	adal
adael	adaɨ̯l
adael	adɛl
adain	adai̯n
adain	adɛn
adainredyn	adai̯nrɛdɨ̞n
adanedd	adanɛð
adar	adar
adara	adara
adardai	adardai̯
adardy	adardɨ̞
adareg	adarɛɡ
adaregol	adarɛɡɔl
adaregwyr	adarɛɡwɨ̞r
adaregydd	adarɛɡɨ̞ð
adargi	adarɡɪ
adargraffiad	adarɡrafjad
adargraffiadau	adarɡrafjada
adargraffiadau	adarɡrafjadaɨ̯
adargraffiadau	adarɡrafjadɛ
adargraffu	adarɡrafɨ̞
adargwn	adarɡʊn
adarwr	adarʊr
adarwyr	adarwɨ̞r
adarydd	adarɨ̞ð
adarydda	adarəða
adaryddiaeth	adarəðjaɨ̯θ
adaryddiaeth	adarəðjɛθ
adaryddion	adarəðjɔn
adawed	adau̯ɛd
adborth	adbɔrθ
adborthion	adbɔrθjɔn
addas	aðas
addasiad	aðasjad
addasiad	aðaʃad
addasrwydd	aðasrʊɨ̯ð
addasu	aðasɨ̞
addawa	aðau̯a
addaweb	aðau̯ɛb
addawebau	aðau̯ɛba
addawebau	aðau̯ɛbaɨ̯
addawebau	aðau̯ɛbɛ
addef	aðɛv
addefiad	aðɛvjad
addewid	aðɛu̯ɪd
addfwyn	aðvʊɨ̯n
addfwynder	aðvʊɨ̯ndɛr
addo	aðɔ
addoldy	aðɔldɨ̞
addolgar	aðɔlɡar
addoliad	aðɔljad
addolwr	aðɔlʊr
addolwyr	aðɔlwɨ̞r
adduned	aðɨ̞nɛd
addunedu	aðɨ̞nɛdɨ̞
addurn	aðɨ̞rn
addurnau	aðɨ̞rna
addurnau	aðɨ̞rnaɨ̯
addurnau	aðɨ̞rnɛ
addurnedig	aðɨ̞rnɛdɪɡ
addurniad	aðɨ̞rnjad
addurno	aðɨ̞rnɔ
addurnol	aðɨ̞rnɔl
addurnwr	aðɨ̞rnjʊr
addysg	aðɨ̞sɡ
addysga	aðəsɡa
addysgau	aðəsɡa
addysgau	aðəsɡaɨ̯
addysgau	aðəsɡɛ
addysgiadol	aðəsɡjadɔl
addysgoch	aðəsɡɔχ
addysgodd	aðəsɡɔð
addysgol	aðəsɡɔl
addysgon	aðəsɡɔn
addysgu	aðəsɡɨ̞
addysgwch	aðəsɡʊχ
addysgwr	aðəsɡʊr
adeg	adaɡ
adeg	adɛɡ
adegau	adɛɡa
adegau	adɛɡaɨ̯
adegau	adɛɡɛ
adeilad	adei̯lad
adeiladaeth	adei̯ladaɨ̯θ
adeiladaeth	adei̯ladɛθ
adeiladaethau	adei̯ladeɨ̯θa
adeiladaethau	adei̯ladeɨ̯θaɨ̯
adeiladaethau	adei̯ladeɨ̯θɛ
adeiladau	adei̯lada
adeiladau	adei̯ladaɨ̯
adeiladau	adei̯ladɛ
adeiladol	adei̯ladɔl
adeiladu	adei̯ladɨ̞
adeiladwaith	adei̯ladwai̯θ
adeiladwaith	adei̯ladwɛθ
adeiladweithiau	adei̯ladwei̯θja
adeiladweithiau	adei̯ladwei̯θjaɨ̯
adeiladweithiau	adei̯ladwei̯θjɛ
adeiladwr	adei̯ladʊr
adeiladwyr	adei̯ladwɨ̞r
adeiledd	adei̯lɛð
adeileddiaeth	adei̯lɛðjai̯θ
adeileddiaeth	adei̯lɛðjɛθ
adeileddol	adei̯lɛðɔl
adeileddwr	adei̯lɛðʊr
adeiniog	adei̯njɔɡ
aden	adɛn
adenedigaeth	adɛnɛdɪɡaɨ̯θ
adenedigaeth	adɛnɛdɪɡɛθ
adenedigaethau	adɛnɛdɪɡeɨ̯θa
adenedigaethau	adɛnɛdɪɡeɨ̯θaɨ̯
adenedigaethau	adɛnɛdɪɡeɨ̯θɛ
adennill	adɛnɪɬ
adenydd	adɛnɨ̞ð
aderyn	adɛrɨ̞n
aderyn	dɛrɨ̞n
adfail	advai̯l
adfeddiannu	advɛðjanɨ
adfeiliad	advei̯ljad
adfeiliadau	advei̯ljada
adfeiliadau	advei̯ljadaɨ̯
adfeiliadau	advei̯ljadɛ
adfeiliedig	advei̯ljɛdɪɡ
adfeilio	advei̯ljɔ
adfeilion	advei̯ljɔn
adfer	advar
adfer	advɛr
adferadwy	advɛradʊɨ̯
adferaf	advɛra
adferaf	advɛrav
adferant	advɛrant
adferent	advɛrɛnt
adferf	advɛrv
adferfol	advɛrvɔl
adferiad	advɛrjad
adferiadau	advɛrjada
adferiadau	advɛrjadaɨ̯
adferiadau	advɛrjadɛ
adferiadwyr	advɛrjadəðwɨ̞r
adferiadydd	advɛrjadɨ̞ð
adferiadyddion	advɛrjadəðjɔn
adferiedydd	advɛrjɛdɨ̞ð
adfero	advɛrɔ
adferol	advɛrɔl
adferwr	advɛrʊr
adferwyr	advɛrwɨ̞r
adfilwr	advɪlʊr
adfilwyr	advɪlwɨ̞r
adflas	advlas
adflasau	advlasa
adflasau	advlasaɨ̯
adflasau	advlasɛ
adfyd	advɨ̞d
adfydau	advəda
adfydau	advədaɨ̯
adfydau	advədɛ
adfydus	advədɨ̞s
adfyw	advɨ̞u̯
adfywiad	advɨ̞u̯jad
adfywiadau	advɨ̞u̯jada
adfywiadau	advɨ̞u̯jadaɨ̯
adfywiadau	advɨ̞u̯jadɛ
adfywio	advɨ̞u̯jɔ
adfywiol	advɨ̞u̯jɔl
adio	adjɔ
adladd	adlað
adlais	adlai̯s
adlam	adlam
adlamau	adlama
adlamau	adlamaɨ̯
adlamau	adlamɛ
adlamu	adlamɨ̞
adlaw	adlau̯
adlef	adlɛv
adlefau	adlɛva
adlefau	adlɛvaɨ̯
adlefau	adlɛvɛ
adleisiau	adlei̯ʃa
adleisiau	adlei̯ʃaɨ̯
adleisiau	adlei̯ʃɛ
adleisio	adlei̯ʃɔ
adlen	adlɛn
adleoli	adlɛɔlɪ
adlewyrch	adlɛu̯ɨ̞rχ
adlewyrchiad	adlɛu̯ərχjad
adlewyrchu	adlɛu̯ərχɨ̞
adlewyrchydd	adlɛu̯ərχɨ̞ð
adloniad	adlɔnjad
adloniadol	adlɔnjadɔl
adloniant	adlɔnjant
adlonni	adlɔnɪ
adlunio	adlɨ̞njɔ
adlyn	adlɨ̞n
adlynol	adlənɔl
adlynu	adlənɨ̞
adlŷn	adlɨːn
adnabod	adnabɔd
adnabyddant	adnabəðant
adnabyddi	adnabəðɪ
adnabyddiaeth	adnabəðjaɨ̯θ
adnabyddiaeth	adnabəðjɛθ
adnabyddus	adnabəðɨ̞s
adnabyddwch	adnabəðʊχ
adnabyddwn	adnabəðʊn
adnau	adna
adnau	adnaɨ̯
adnau	adnɛ
adnebydd	adnɛbɨ̞ð
adneuo	adneɨ̯ɔ
adnewyddiad	adneu̯əðjad
adnewyddu	adneu̯əðɨ̞
adnod	adnɔd
adnodd	adnɔð
adnoddau	adnɔða
adnoddau	adnɔðaɨ̯
adolygiad	adɔləɡjad
adolygiadau	adɔləɡjada
adolygiadau	adɔləɡjadaɨ̯
