א	ʔ
אהבל	ʔaveːl
אהבנו	ɑhɑvˈnu
אהבת	ɑhɑvɑt
אהבתה	ɑhɑvɑθɑ
אהבתו	ɑhɑvɑθo
אהבתי	ɑhɑvɑtɪ
אהבתך	ɑhɑvɑtχ
אהבתם	ɑhɑvɑtɑm
אהבתנו	ɑhɑvɑtno
אהדה	ɑheðɑ
אהה	ɑhɛ
אה-הא	ɑː
אההה	ɑhɑhɑ
אהההה	ɑhɑhɑhɑ
אהו	ɑːhuː
אהוב	ɑhɔv
אהובה	ɑhɔvɑ
אהובי	ɑhoˈvi
אהובים	ɑhɔˈbim
אהובתו	ɑhoˈvɑθo
אהובתי	ɑhoˈvɛtsi
אהובתך	ɑhɔvɑtʃ
אהוד	ɑːˈhuːd
אהוי	ɑːˈvi
אהיה	ʔaːhaj
אהייה	ɑːjɑː
אהלן	ɑhˈlɛn
אהמ	ɑːhem
אהם	ʔahem
אהמר	ɑːhemɛr
אהנה	ahena
אהסס	ɑheses
אהפוך	ɑfeˈχ
אהרוג	ɑhɾog
אהרון	ʔaːhoːn
אהרוס	ɑhoˈruʃ
או	ɔ
או	ʔo
או-או	ɔːɔː
אואן	avɑn
אוב	ɔv
אובאמה	ɔvɑmɑ
אובד	avde
אובדן	avdeːn
אובדני	avdeːni
אובדניות	avdeˈnits
אובדנך	avdeːnɛx
אובה	avɑ
אובחן	avˈχan
אובחנה	avˈχanɑ
אובי	ɔvi
אובייקט	ɔviˈkɛt
אובייקטיבי	ɔviːktaˈbi
אובייקטיבית	ɔviˈkeːtivɪt
אובייקטים	ɔvikeːktem
אוביל	avil
אובליקס	avliks
אובמה	obɑma
אובנון	ɔvˈnun
אובססיבי	ɔvsɛsivi
אובססיבית	avsɛsivɪt
אובססיה	avsɛsia
אובר	ɔvɛr
אובראיין	ɔvraɪjɛn
אוברי	avri
אובריאן	ɔvriˈan
אובריין	ɔvriːn
או-ג	ɔg
אוג	ɔg
אוג	ɔvg
אוגוסט	ɑːgʊˈʃt
אוגוסטוס	ɑːgʊˈʃtus
אוגוסטין	ɑvguʃˈtin
אוגי	ɔge
אוגר	ɔgɛr
אוגרים	ɔgˈʁim
אוד	ɔd
אודה	ɔde
אודום	ɔdɔm
אודונל	ɔdɔnɛl
אודות	ɔdˈnɛs
אודותיו	ɔdˈnɛsjo
אודותיך	ɔːdeːθ
אודט	ɔdeʔ
אודי	ɔdi
אודיו	ɔdeː
אודין	ɔdiːn
אודיע	odje
אודישן	ɔdeʃˈn
אודישנים	ɔdeʃˈnɛs
אודל	ɔdɛl
אודם	ɔdɛm
אודסה	ɔdeˈsa
אודרי	ɔdeʁi
אוה	ɔvɑ
אוהב	ɔhɛv
אוהבות	ɔhˈbɔt
אוהבי	ɔhˈbe
אוהבים	ɔhem
אוהבת	ɔhɛvɛt
אוהד	ɔhɛd
אוהדי	ɔhɛd
אוהדים	ɔhɛdim
אוהדת	ɔhɛð
אוהה	ɔh
אוההה	ɔhɔ
אוהו	avɑ
אוהיו	avaj
אוהיי	avaj
אוהל	ɔhel
אוהלים	ɔhelim
אוהרה	ɔhɛrɑ
אוהש	ɔʃ
אוו	av
אוואן	avɑn
אוודא	avoda
אווה	avɑ
אווו	av
אוווו	avvɪ
אווז	avuz
אווזים	avuzim
אווטאר	avtaʁ
אווטר	ɔvteʁ
אווי	avɪ
אוויר	avir
אווירה	avira
אווירי	aviʁi
אווירית	avˈʁit
אווירת	avirit
אוולין	avlin
אוון	avn
אווניו	avniʔo
אוונס	avnes
אוורור	avɔˈɾuʁ
אוורט	avɛrt
אוותר	avotɛr
אוז	oz
אוזוולד	ɔzɔvɛld
אוזי	ozɪ
אוזל	ɔzɛl
אוזלים	ozˈlim
אוזלת	ɔzˈlet
אוזן	ozn
אוזני	ozni
אוזניו	ozˈniʔo
אוזניות	ozˈnjosot
אוזניי	oznei
אוזניים	oznej
אוח	ɔx
אוחז	ɔxɑz
אוחזים	ɔxˈzɪm
אוחזת	ɔxˈzɛt
אוטו	ɔtɔ
אוטובוס	ɔtɔˈbus
אוטובוס	ʔotobus
אוטובוסים	otobosim
אוטול	otol
אוטומטי	otɔmˈti
אוטומטיים	otɔmˈtim
אוטומטית	otɔmˈtiθ
אוטונומיה	ʔotonomjä
אוטופיה	otofj
אוטיזם	otˈtim
אוטיס	ɔtɪs
אוטיסט	ɔtist
אוטם	otem
אוטס	otːs
אוי	ɔj
אויב	av
אויב	ʔoːjeːβ
אויבו	avɪvʊ
אויבי	avɪ
אויביו	avivjo
אויביי	avɪ
אויביך	avɪx
אויבים	avim
אויבינו	avivino
אויבך	avjɛx
אויבנו	avjbenu
אויי	ɔj
אוייב	ojiv
אוייבים	ojivim
אויל	avɪl
אוינק	ɔɪnk
אויר	avɪr
אויש	avɪʃ
אוכיח	ɔkˈχitʃ
אוכל	ɔxɪl
אוכל	ʔoχe̞l
אוכלוסיה	ʔoˈpuːʃjɑ
אוכלוסייה	ʔoˈpɪʃjɑ
אוכלוסיית	ʔɔpˈχimjɔt
אוכלות	ɔkˈχlet
אוכלי	ɔkχli
אוכלים	ɔkχlim
אוכלת	ɔkˈχlet
אוכמניות	ɔkmaniɔt
אוכף	ɔkf
אול	ɔl
אולג	ɔlg
אולגה	ɔlga
אולד	ɔlɛd
אולדן	ɔlˈden
אולה	ɔlɛ
אולונג	ɔlung
אולטימטום	ɔltiˈmitum
אולטרה	ultera
אולטרסאונד	ultrasaʔund
אולי	ʔuli
אוליב	ɔlɪv
אוליביה	olivjɑ
אוליבייה	ɔlɪˈvjɑ
אוליבר	ɔlɪˈbɛr
אוליי	ʔoli
אולימפי	ɔlɪmˈpi
אולימפיה	ɔlɪmˈpiʔa
אולימפית	ɔlimˈpɪt
אולם	ɔlɑm
אולמות	ɔlmoθ
אולסון	ɔlˈson
אולסן	ɔlˈsen
אולף	ɔlɛf
אולפן	ɔlˈpɛn
אולפני	ɔlfaˈni
אולקוס	ɔlkoʃ
אולר	ʔulɛr
אולריך	ʔulɛʁiχ
אולריק	ʔulɛʁik
אום	um
אומאלי	omali
אומגה	ɔmega
אומה	umɑ
אומהה	omha
אומות	ɑmɔt
אומלי	omle
אומלל	omˈlæl
אומללה	ɔmɛlɛ
אומללות	omelot
אומללים	omælæl
אומן	omɛn
אומנה	omna
אומנו	ɔmˈnʊ
אומנויות	ɔmnaˈjuːtej
אומנות	ɔmneˈθo
אומנותי	ɔmɛnɔtʃi
אומנותית	omneˈnuti
אומנים	ɔmˈnim
אומנם	ɔmnɑm
אומנת	ɔmˈnɛt
אומץ	omts
אומצה	omˈtsa
אומר	ɔmɛr
אומרות	omˈroθ
אומרים	omˈrim
אומרת	ɔmeʁɛt
אומת	ʔoˈmat
אונ	ɔn
און	ɔn
אונה	ona
אונו	ʔɔnɔ
אוני	oni
אוניברסיטה	ʔunive̞ʁsitä
אוניברסיטה	ʔunivɛɾsˈitɑ
אוניברסיטת	ʔuniʋɛrsit
אוניברסלי	univɛrsɪli
אוניה	ʔoniːa
אוניות	ʔoniˈjot
אונייה	oniːa
אוניית	ʔoniːt
אוניל	ʔuniːl
אונים	ʔoˈnus
אונליין	ʔɔnˈlin
אוננות	ʔunˈnot
אונני	ʔoni
אונס	ʔons
אונסים	ʔonˈsim
אונקיות	ʔoŋkiˈjot
אוסבורן	ɔsboːɾn
אוסוולד	ɔsɔvɛld
אוסטין	ɔsˈtin
אוסטריה	ɔsˈtɾiʔa
אוסטרלי	ɔstʁali
אוסטרליה	ɔstraˈlija
אוסיף	osif
אוסמה	ɔsˈma
אוסמן	osˈman
אוסף	ɔsˈfɛs
אוספים	ɔsˈpim
אוספת	ɔsˈfat
אוסקה	oska
אוסקר	ɔsˈkɑr
אוסר	ɔsɛr
אוסרים	ɔsɑʁim
אוסרת	osɛʁt
אופ	ɔf
אוף	ɔf
אופה	ɔpɑ
אופולו	ɔpɔlu
אופוסום	ɔpɔˈsum
אופוריה	ɔfɔˈriʔɑ
אופטימוס	ɔftiˈmos
אופטימי	ɔftiˈmi
אופטימיות	ɔftimˈjot
אופטימיזציה	ʔoptimizätsjä
אופטימיים	ɔftimim
אופטימית	ɔftimiθ
אופי	ʔoˈfi
אופיו	ɔfejv
אופיום	opim
אופייני	ʔopifaj
אופיינית	ʔopifjɛt
אופים	ɔfim
אופיע	ɔfeʔ
אופל	ɔfɛl
אופליה	ɔfliʔɑ
אופן	afɔn
אופנה	ɔfˈnɑ
אופנהיימר	ɔfnaˈhimɛr
אופנוע	ɔfnoʔ
אופנועים	ɔfnoʔim
אופנוען	ɔfnoˈʔen
אופנוענים	ɔfnoˈʔenim
אופני	ɔfni
אופניים	ɔfnaχij
אופנת	ɔfˈnɛt
אופנתי	ɔfˈnɛt
אופנתית	ɔfneθit
אופס	ɔfes
אופציה	ɔfˈtsijɑ
אופציות	ɔftsiot
אופק	ɔfɛk
אופקים	ɔfˈkim
אופרה	ɔfeʁɑ
אופרת	ɔfeʁet
אופתע	ɔpte
אוצ	ots
אוציא	otsja
אוצר	ɔtsɛr
אוצרות	otˈʃoθ
אוק	ɔk
אוקונור	ɔkɔnuʁ
אוקונל	ɔkɔnɛl
אוקטביה	ɔktaˈbja
אוקטביוס	ɔktaˈbjuʃ
אוקטובר	ɑːktɔbɛʁ
או-קי	avˈki
אוקי	ɔkɪ
אוקיי	avki
אוקיי	ɔːkiː
או-קיי	ɔkɪ
אוקיי	ɔkɪ
אוקיינוס	ɔkjanɔs
אוקלהומה	ɔkloˈʔoma
אוקלנד	ɔkˈlɛnd
אוקס	ɔkˈs
אוקסי	ɔkˈsi
אוקסנה	ɔkˈsɛnɑ
אוקספורד	ɔkˈsfoɾd
אוקראינה	ɔkraˈina
אור	ɔr
אור	ʔoʁ
אוראלי	ɔraˈli
אורב	ɔrv
אורבים	ɔrɪm
אורבת	ɔrˈbɛt
אורגון	ɔrˈgɔn
אורגזמה	ɔʁgˈʒɑmɑ
אורגזמות	ɔʁgɑzmɔt
אורגיה	ɔʁˈʒjɑ
אורגן	ɔrgan
אורגנו	ɔrgˈno
אורגני	ɔʁgˈni
אורגניזם	ɔrganizim
אורגניים	ɔrgaˈniːm
אורגנית	ɔʁgɛˈnit
אורה	ɔʁɑ
אורו	ɔʁo
אורוול	ɔːruːvɔl
אורוות	ɔʁvaθ
אורורה	ɔrʊˈrɔ
אורות	ɔʁot
אורז	ɔʁz
אורזים	ɔʁzɪm
אורזת	ɔʁˈzot
אורח	ɔrɑχ
אורחי	ɔʁχi
אורחים	ɔrˈχim
אורחינו	ɔrɑχinʊ
אורחת	ɔrˈχat
אורטגה	ɔrtˈga
אורטיז	ɔʁtiz
אורי	ʔuːri
אוריד	ɔʁid
אוריון	ɔʁjɔn
אוריילי	ʔuːriːli
אורך	ɔʁ
אורכו	ɔrˈχo
אורלי	ɔrˈli
אורליאנה	ɔːʁleːˈjɑnɑ
אורלינס	ɔrˈlin
אורלנדו	ɔːɾˈlɑːndɔ
אורן	ɔrɛn
אורנג	ɔrɑng
אורניום	ɔːʁniːm
אורסולה	ɔrˈsuːla
אורסון	ɔrˈson
אורפיאוס	ɔrfiˈjos
אושוויץ	ɔʃˈvits
אושן	ʔoʃˈn
אושפז	ɔʃpaʒ
אושפזה	ʔoʃfeza
אושר	ɔʃer
אושרה	ɔʃa
אושרו	ɔʃˈru
אות	ot
אות	ʔoːθ
אותה	otɑ
אותו	otɔv
אותות	otot
אותי	otɪ
אותיות	otˈjot
אותך	otˈχe
אותכם	otˈxɛm
אותם	otɛm
אותן	otn
אותנו	otnu
אותנטי	otˈnenti
אותנטית	otˈnenti
אותר	otɛr
אותרה	otʁa
אז	ʔaz
אזדיין	azdiːn
אזדקק	ʔazdak
אזהה	azah
אזהיר	ɑzeːʁiʁ
אזהר	azhar
אזהרה	azhaʁa
אזהרות	azhaˈrot
אזהרת	azhɛʁɛt
אזוז	ʔazuz
אזוק	ʔazok
אזור	ʔaˈzuʁ
אזורי	ʔazori
אזורים	azʊˈʁim
אזי	azi
אזיז	ʔaziːz
אזיין	azajin
אזיקים	azikim
אזכה	azˈχo
אזכור	ʔazˈkuʁ
אזכיר	ʔazkiʁ
אזכר	ʔazˈkʁ
אזכרה	azˈχɛrɔ
אזל	azɛl
אזלו	azlu
אזמין	azmin
אזמל	azmel
אזעיק	ʔazˈʕik
אזעקה	ʔazˈʔeke
אזעקות	azʔket
אזעקת	azˈqɛt
אזרוק	ʔazruq
אזרח	ʔazˈʁaχ
אזרחות	azʁaχut
אזרחי	azraχi
אזרחיות	azʁaχijte
אזרחיים	azʁaχim
אזרחים	ʔazˈʁaχim
אזרחית	azʁaχit
אח	uχ
אח	ʔaːħ
אח	ʔaːχ
אח	ʔax
אח	ʔɔːħ
אחאב	ʔaχɑv
אחבק	ˈaxbak
אחבר	ˈaχβɛr
אחד	eχud
אחד	ʔaˈχad
אחד	ʔe̞ħäð
אחד-אחד	ʔaˈχad
אחדות	ʔaˈχodut
אחדים	ʔaˈχodim
אחה	ʔaχa
אחווה	axva
אחוות	axvaθ
אחוז	ʔaˈχuð
אחוזה	ʔaχuza
אחוזי	ʔaxuzi
אחוזים	ʔaxuziːm
אחוזת	ʔaxuθ
אחורה	ˈʔaχoɾa
אחורי	ˈʔaxuri
אחוריים	ʔaxuˈrim
אחורית	ʔaχoˈrit
אחורנית	ˈaχorinɪt
אחות	axoːt
אחותה	axoːθo
אחותו	axˈθu
אחותי	axˈte
אחותך	axˈtux
אחותנו	axˈθuθon
אחז	ʔaχz
אחזה	ʔaxˈze
אחזור	ʔaxˈzuʁ
אחזיק	ʔaxziːk
אחזיר	ʔaχziːr
אחזקה	ʔaxziˈke
אחזקות	ʔaxziˈket
אחזקת	ʔaxziˈket
אחזתי	ʔaχzaθi
אחח	ʔax
אחטוף	axtof
אחטיף	axtif
אחי	axi
אחיד	ˈaχid
אחידה	ˈaxjida
אחיה	ʔaχiː
אחיו	ˈaχjo
אחיות	axˈjot
אחיותיי	axjoːte
אחיזה	ʔaχiˈza
אחיזת	ʔaχiˈzot
אחיי	ˈaχi
אחייה	ʔaχjɑ
אחייך	ˈaχjeːχ
אחיין	axˈjan
אחיינו	axˈjɑnu
אחייני	axejni
אחיינית	axejˈnet
אחייניתו	ˈaχjajnɛt
אחייניתי	axˈjɛnɛt
אחיך	ˈaχik
אחים	axuː
אחינו	ʔaˈχiːno
אחכה	ˈaχa
אחל	ʔaxal
אחלה	ʔaχˈla
אחלוק	ʔaxluːk
אחליט	ˈaχlit
אחליף	ˈaxlif
אחלץ	ʔaχlets
אחלק	ʔaχɛɫk
אחמד	axˈmed
אחמיץ	axmits
אחמם	ʔaχma
אחנו	axnu
אחנוק	ʔaxnuq
אחסוך	ˈaχsux
אחסון	axˈson
אחסל	ʔaχsal
אחפה	ˈaχfe
אחפש	ˈʔaxfɛʃ
אחצה	ʔaχˈθa
אחקור	ʔaχˈkuʁ
אחר	ʔaχer
אחראי	ˈɑχreɪ
אחראיות	ˈɑxrejt
אחראיים	ʔaχˈɾajim
אחראים	ˈɑxreːm
אחראית	ˈaχrejt
אחר-הצהריים	ˈɑxerhɑtsˈhɑɾim
אחרון	ˈaχron
אחרונה	ˈɑχrɔnɑ
אחרונות	ˈɑxronot
אחרונים	ɑχˈɾonim
אחרות	ɑxˈɾot
אחרי	ʔaˈχer
אחריה	ˈɑxrejɑ
אחריהם	ˈɑxreɪhum
אחריהן	ˈɑxrihem
אחריו	ˈɑxriː
אחריות	ˈaχrejot
אחריותי	ˈaχrejtˌsɪt
אחריותך	ˈaχrejtˈeʃ
אחריי	ˈɑχreɪ
אחרייך	ˈɑxreɪx
אחריך	ˈɑxreɪx
אחריכם	ˈɑxrɪxɛm
אחרים	ɑχˈɾim
אחרינו	ˈɑxrɪnu
אחרית	ˈɑχreɪt
אחר-כך	ˈɑχerˈkɑχ
אחר-צהריים	ˈɑχertʃɛˈɛriːm
אחרת	ɑxˈɾet
אחשוב	ʔaχˈʃuːv
אחשוף	ˈaχʃof
אחת	ʔaχat
אחתוך	ʔaχtoχ
אחתום	ʔaχˈtʰom
אחת-עשרה	ʔaˈχetʕeˈstre
אט	ɑt
אטה	ata
אטווד	atovɔd
אטווטר	atovɛtɛr
אטום	atom
אטומה	atoma
אטומי	atomi
אטומים	atɔm
אטומית	atɔmˈti
אטוס	ɑtoːs
אטי	atɪ
אטיה	atjɑ
אטיל	atil
אטילה	atila
אטיקוס	ʔatikoʃ
אטלנטה	atlanˈte
אטלנטיס	atlanˈtis
אטלנטיק	atlanˈtik
אטלס	atlas
אטלפן	atlafæn
אטם	atˈm
אטמי	atˈmi
אטפל	ʔatˈfel
אטפס	atˈpəs
אטקינס	ʔatkinas
אטרופין	ʔatʁoˈpin
אטריד	ʔatʁiːd
אטריות	atrijot
אטרקטיבי	atraktivi
אי	aj
איאלץ	ajɑlɛts
איאן	ajɑn
אי-אפשר	ajʔefʃɛn
איב	av
איבד	avɛð
איבדה	avda
איבדו	avɑðo
איבדנו	avɑðˈnu
איבדת	avɑθ
איבדתי	avɑtɪ
איבדתם	avɑðtæm
איבה	ʔiva
איבו	ivv
איבוד	avod
איבון	avɔn
איבי	avɪ
איבן	avɑn
איבר	avɛr
איברהים	ʔivraːhim
איברי	avri
איברים	avˈrim
איגוד	ʔigod
איגור	igoʁ
איגי	igi
איגל	ajgɛl
איגלס	ajgɛls
איגן	ajgan
איגנסיו	ajgneˈsjo
איגרוף	ʔigruf
איגרות	ʔigˈɾoθ
איגרת	ʔigˈrɛt
אידה	ʔiːda
אידי	ʔiði
אידיאלי	ʔidiːˈʔɛl
אידיוט	idiot
אידיוטי	idiot
אידיוטים	idiːˈtɔm
אידיוטית	idiːˈtot
אידית	ʔiˈdiθ
אידן	ʔiːðen
איה	aj
איהאב	ʔiːhɑv
אי-הבנה	ajhaˈbna
איהנה	ʔiːhæ
איו	ajv
איוב	ajɔv
איוואן	avɑn
איווה	ivɑ
איווט	avot
איווי	av
איוון	avˈvan
איום	ajum
איומה	ajumɑ
איומות	ajomot
איומי	ajumi
איומים	ajum
איון	ajjon
איור	ajʊr
איות	ajot
איז	iz
איזבל	izˈbel
איזבלה	izˈbɛlɑ
איזה	izɑ
איזו	izʊ
איזון	izɔn
איזור	ʔizaʁ
איזורי	ʔizaˈʁi
איזושהי	izʊʃa
איזי	ʔizi
איזכור	izˈχoʁ
איזשהו	izˈʃeːv
איזשהי	izˈʃeɪ
איזשהם	izˈʃam
איזשהן	izʃavan
איחד	ʔiːχɑd
איחוד	ʔiːˈχod
איחולי	ʔiχuli
איחוליי	ʔiχuli
איחולים	ʔiχuːloːm
איחור	ʔiħuːr
איחר	ʔiːχer
איחרה	ʔiːˈχaʁa
איחרנו	ʔiːχɑɾno
איחרת	ʔiːˈχaʁet
איחרתי	ʔiːχaʁti
איחרתם	ʔiːχaʁtem
איטו	ʔito
איטי	ʔiti
איטיות	ʔitaˈjot
איטיים	ʔitaɪm
איטית	ʔiˈtiθ
איטליה	ʔitaˈlija
איטלקי	ʔitˈlɛki
איטלקיות	ʔitlaˈkit
איטלקים	ʔitˈlekim
איטלקית	ʔitaˈlikit
איי	aj
אייב	ajv
אייבי	ajˈvi
איי-בי-אם	ajbiim
אייבל	ajˈbɛl
אייבן	ajˈvɑn
אייבס	ajves
אייברי	ajviri
איי-ג	ajg
אייג	ajg
אייד	ajd
איידה	ajda
איידהו	ajda
איידול	ajdol
איידן	ajden
איידס	ajdes
איידע	ajjeda
אייזיק	ajzik
אייזנהאואר	ajzənˈhɔːvər
אייזק	ajzek
אייזקס	ajzeks
אייטו	ajto
אייך	aj
אייכמן	ajxman
אייל	ajl
איילה	ajla
איילים	ajilojm
איילין	ajlin
איילנד	ajlɑnd
איילס	ajlɛs
איים	ajm
איימה	ajma
איימו	ajmo
איימי	ajmi
איימס	ajmes
איימת	ajmet
איימתי	ajmeti
איינג	ajneg
איינשטיין	ajneʃtajn
אייס	ajs
אייפוד	ajfɔd
אייפל	ajfel
אייץ	ajts
אייק	ajk
אייקון	ajkon
אייקן	ajken
אייר	ajɪr
אייראי	ajraʔi
איירה	ajrɑ
איירון	ajron
איירונס	ajrɔns
איירין	ajrin
אייריס	ajris
איירליינס	ajɪʁlajnɛs
איירס	ajers
אֵיך	aj
איך	ʔex
איכבוד	ʔiχˈboð
איכויות	ʔiχˈjot
איכות	ʔiχot
איכותי	ʔiχuθi
איכותיות	ʔiχuθiot
איכותיים	ʔiχotim
איכותית	ʔiχuθit
איכזבתי	ʔiχzbeθi
איכס	ʔɪχs
איכפת	ʔexˈpɛt
איכר	ʔexr
איכרים	ʔiχˈɾim
