一下咬指甲	liam˨˦mi˥˥ka˧˧tsiŋ˥˧kaʔ˨
不可以學人家當不良少年	m˥˥tʰaŋ˥˥oʔ˨laŋ˨˦tso˨˩pʰãĩ˥˧kĩã˥˧
不可以說不贏人家就要翻桌子	m˥˥tʰaŋ˥˥koŋ˥˧be˧˧ĩã˨˦laŋ˨˦to˧˧beʔ˨piŋ˥˧toʔ˨
不可縮水	be˧˧sai˥˧kiu˥˥tsui˥˧
不同	bo˨˦kaŋ˧˧
不喜歡你就說嘛	bo˨˦kaʔ˨i˨˩li˥˧to˧˧koŋ˥˧
不好的東西不要買	pʰãĩ˥˧miʔ˦m˥˥tʰaŋ˥˥be˥˧
不好的習性	pʰãĩ˥˧pʰiaʔ˨pʰĩ˨˩
不孝	put˨hau˨˩
不孝子	put˨hau˨˩kĩã˥˧
不完全了解	it˨ti˥˥puan˨˩kai˥˧
不幸	put˨hiŋ˧˧
不幸事件	kʰo˥˧lian˨˦tai˧˧
不得已	kɔ˥˥put˨tsioŋ˥˥
不必再浪費力氣了	m˥˥bian˥˧koʔ˨ke˥˥kaŋ˥˥laʔ˨
不是代理人	m˥˥si˧˧hun˥˥sin˥˥
不是外孫	m˥˥si˧˧ɡua˧˧sun˥˥
不是師傅	m˥˥si˧˧tʰau˨˦tsʰiu˥˧
不是高等級的貨色	m˥˥si˧˧ko˥˥kip˨hue˨˩
不會向外彎。比喻偏袒自己人	kʰut˨dzip˦bo˨˦kʰut˨tsʰut˨
不會多髒啦	be˧˧ɡua˧˧laʔ˨sap˨laʔ˨
不會有人把你當啞巴	bo˨˦laŋ˨˦e˧˧koŋ˥˧li˥˧si˧˧e˥˧kau˥˧
不然我要送別人了	m˥˥ɡua˥˧beʔ˨saŋ˨˩hɔ˧˧pat˦laŋ˨˦
不用怕沒地方去	bian˥˧kĩã˥˥bo˨˦sɔ˥˧tsai˧˧tʰaŋ˥˥kʰi˨˩
不用怕買不到	bian˥˧kĩã˥˥be˥˧bo˨˦
不用想也知道	tʰɔ˥˧sĩũ˧˧ma˧˧tsai˥˥
不用相爭	m˥˥bian˥˧sio˥˥tsẽ˥˥
不用計較	m˥˥bian˥˧ke˨˩kau˨˩
不用轉彎	m˥˥bian˥˧tńg1uat˨
不用那麼多禮	m˥˥bian˥˧hiaʔ˨kaŋ˥˥hu˥˥
不知去向	he˧˧loʔ˨put˨biŋ˨˦
不知道他究竟想怎樣	m˥˥tsai˥˥i˥˥tau˨˩te˥˧si˧˧beʔ˨an˥˧tsũã˥˧
不祥的預兆	hioŋ˥˥tiau˧˧
不義之財	put˨ɡi˧˧tsi˥˥tsai˨˦
不能反悔	be˧˧sai˥˧huan˥˧hue˥˧
不能喝酒	be˧˧sai˥˧lim˥˥tsiu˥˧
不能就此縮手	be˧˧taŋ˨˩kiu˥˥kʰa˥˥
不能說停就停	be˧˧sai˥˧huaʔ˨tʰiŋ˨˦to˧˧tʰiŋ˨˦
不要交到不三不四的人	m˥˥tʰaŋ˥˥kʰi˨˩kau˥˥tioʔ˨oŋ˨˦ko˥˥liu˥˧ko˥˥
不要做敗家子	m˥˥tʰaŋ˥˥tso˨˩liau˥˧bue˥˧a˥˧kĩã˥˧
不要又在外面到處閒晃	m˥˥tʰaŋ˥˥koʔ˨teʔ˨ɡua˧˧kʰau˥˧si˨˩ke˨˩so˨˦
不要吃	m˥˥tʰaŋ˥˥tsiaʔ˦
不要太古板	m˥˥tʰaŋ˥˥sĩũ˥˥kɔ˥˧pan˥˧
不要妥協	m˥˥tʰaŋ˥˥tʰo˨˩hiap˦
不要常常說大話	m˥˥tʰaŋ˥˥tĩã˧˧tĩã˧˧koŋ˥˧tua˧˧ue˧˧
不要戴面具在那邊嚇人	mai˨˩ti˨˩siau˥˧kui˥˧a˥˧kʰak˨ti˧˧hia˥˥ka˧˧laŋ˨˦heʔ˨kĩã˥˥
不要把外人牽扯進來	mai˨˩ka˧˧ɡua˧˧laŋ˨˦kʰan˥˥tʰua˥˥dzip˦lai˨˦
不要結交不正經的朋友	m˥˥tʰaŋ˥˥kau˥˥put˨sam˥˥put˨su˨˩e˨˦piŋ˨˦iu˥˧
不要被牠抓到	m˥˥tʰaŋ˥˥kʰi˨˩hɔ˧˧i˥˥dziau˨˩tioʔ˨
不要讓他一個人包辦	m˥˥tʰaŋ˥˥hɔ˧˧tsit˦e˨˦laŋ˨˦pau˥˥pan˧˧
不要走這麼快	mai˨˩kĩã˨˦hiaʔ˨kin˥˧
不要跑出去玩	m˥˥tʰaŋ˥˥tsau˥˧tsʰut˨kʰi˨˩sńg1
不要跟別人說	mai˨˩ka˧˧laŋ˨˦koŋ˥˧
不要這麼小家子氣	m˥˥tʰaŋ˥˥hiaʔ˨taŋ˨˩sŋ˥˥
不要騎太快	m˥˥tʰaŋ˥˥kʰia˨˦sĩũ˥˥kin˥˧
不規矩的手。意指有不良習慣或行為	pʰãĩ˥˧tsʰiu˥˧dziau˥˧
不論是誰問你	m˥˥kuan˥˧si˧˧sĩã˥˧laŋ˨˦ka˧˧li˥˧mŋ˥˥
不過你還是得去工作	put˨dzi˨˦ko˨˩li˥˧ma˧˧si˧˧ai˨˩kʰi˨˩tso˨˩kʰaŋ˥˥kʰue˨˩
世事	se˨˩su˧˧
世人都自私	se˨˩kan˥˥laŋ˨˦loŋ˥˧tsin˥˥tsu˧˧su˥˥
世局	se˨˩kiok˨
世界這麼大	tʰĩ˥˥te˧˧hiaʔ˨ni˧˧a˥˧tua˧˧
丙等	pĩã˥˧tiŋ˥˧
丟掉工作	sit˨ɡiap˦
中元食品多的是	mɔ˨˦hõ˥˥ku˥˥kue˥˧tsaŋ˨˩
中午	tioŋ˥˥ŋɔ˥˧
中古時代	tioŋ˥˥kɔ˥˧si˨˦tai˧˧
中古車	tioŋ˥˥kɔ˥˧tsʰia˥˥
中大獎	tioŋ˨˩tua˧˧tsioŋ˥˧
中學	tioŋ˥˥hak˦
中庭	tʰĩ˥˥tsẽ˥˧
中毒	tioŋ˨˩tok˨
中等	tioŋ˥˥tiŋ˥˧
中計	tioŋ˨˩ke˨˩
中間	tioŋ˥˥ŋ˥˥
丹藥	ioʔ˨tan˥˥
主動的態度和奮鬥的精神是做人成功的基本條件	tsu˥˧toŋ˧˧e˨˦tʰai˧˧tɔ˧˧kaʔ˨pʰaʔ˨pĩã˨˩e˨˦tsiŋ˥˥sin˨˦si˧˧tso˨˩laŋ˨˦siŋ˨˦koŋ˥˥e˨˦ki˥˥pun˥˧tiau˨˦kĩã˧˧
久病床前無孝子	ku˥˧tŋ˥˥penn,7bo˨˦hau˨˩tsu˥˧
乙等	it˨tiŋ˥˧
九芎樹	kiu˥˧kioŋ˥˥a˥˧tsʰa˨˦
乞丐要來要錢了	kʰit˨tsiaʔ˦beʔ˨lai˨˦pun˥˥tsĩ˨˦aʔ˨
乞丐許大願。比喻人明明沒有能力，卻好高騖遠	kʰit˨tsiaʔ˦he˧˧tua˧˧ɡuan˧˧
也是學生	ia˧˧si˧˧hak˦siŋ˥˥
乾脆不要吃	kui˥˥kʰi˨˩mai˨˩tsiaʔ˦
乾脆去領養別人家的孩子	e˧˧sai˥˧kʰi˨˩pun˥˥pat˦laŋ˨˦e˨˦ɡin˥˧a˥˧lai˨˦tsʰi˧˧
乾脆折算現金給你	kui˥˥kʰi˨˩tã˥˧hian˧˧kim˥˥hɔ˧˧li˥˧
亂罵人是不好的事情	ɔ˥˥peʔ˦me˧˧laŋ˨˦si˧˧m˥˥ho˥˧e˨˦tai˧˧tsi˨˩
了解	liau˥˧kai˥˧
事先講明	tai˧˧siŋ˥˥biŋ˨˦hɔ˥˥biŋ˨˦tsʰiaŋ˨˩
事情	tai˧˧tsi˨˩
事情做不到一半	tai˧˧tsi˨˩tso˨˩iau˥˧bue˧˧tsit˦pũã˨˩
事情做到一半	tai˧˧tsi˨˩tso˨˩kau˨˩pũã˨˩tioŋ˥˥tsam˧˧
事情做到一半就逃跑了	tai˧˧tsi˨˩tso˨˩kaʔ˨pũã˨˩lɔ˧˧to˧˧laŋ˨˩kaŋ˥˧aʔ˨
事情就全完了	tai˧˧tsi˨˩to˧˧kʰi˨˩liau˥˧liau˥˧aʔ˨
事情就會成功	tai˧˧tsi˨˩to˧˧e˧˧siŋ˨˦koŋ˥˥
事情已經做了一半了	tai˧˧tsi˨˩i˥˧kiŋ˥˥tso˨˩tsit˦pũã˨˩aʔ˨
事情已經辦好了	tai˧˧tsi˨˩tso˨˩ho˥˧aʔ˨
事情能否成功	tai˧˧tsi˨˩e˧˧siŋ˨˦be˧˧siŋ˨˦
事情辦得很妥善	tai˧˧tsi˨˩tso˨˩liau˥˧tsin˥˥su˨˩si˧˧
事情這樣一直懸而未解也不是辦法	tai˧˧tsi˨˩an˥˧ne˥˥it˨tit˦tiau˨˩ti˧˧pũã˨˩kʰoŋ˥˥tioŋ˥˥ma˧˧m˥˥si˧˧pan˧˧huat˨
二來我沒興趣	dzi˧˧lai˨˦ɡua˥˧bo˨˦hiŋ˨˩tsʰu˨˩
二十一世紀	dziap˦it˨se˨˩ki˥˧
二十來歲正當年輕	dziap˦kui˥˧hue˨˩tŋ˥˥siau˨˩lian˨˦
二十四節氣之一，冬至過後十五天，因天候寒冷所以有這個名稱	siau˥˧han˨˦
二十多	dzi˧˧tsap˦tsʰut˨
五仁月餅	ŋɔ˥˧dzin˨˦ɡueʔ˦pĩã˥˧
五件衣服	ɡɔ˧˧nia˥˧sã˥˥
五光十色、各式各樣	ɡɔ˧˧hue˥˥tsap˦sik˨
五十多歲	ɡɔ˧˧tsap˦ɡua˧˧hue˨˩
五穀	ŋɔ˥˧kok˨
五香	ŋɔ˥˧hiaŋ˥˥
亡兄	boŋ˨˦hiŋ˥˥
亡國	boŋ˨˦kok˨
交付	kau˥˥hu˨˩
交朋友要小心	kau˥˥piŋ˨˦iu˥˧ai˨˩se˨˩dzi˧˧
人中長的人壽命比較長	dzin˨˦tioŋ˥˥tŋ˥˥e˨˦laŋ˨˦kʰaʔ˨tŋ˥˥hue˨˩siu˧˧
人事	dzin˨˦su˧˧
人只要肯努力	laŋ˨˦na˧˧kʰiŋ˥˧pʰaʔ˨pĩã˨˩
人在人際關係就在	dzin˨˦tsai˧˧dzin˨˦tsiŋ˨˦tsai˧˧
人在做，天在看。即舉頭三尺有神明，勸人不可做虧心事	laŋ˨˦teʔ˨tso,3tʰĩ˥˥teʔ˨kʰũã˨˩
人多嘴雜	tsap˦tsʰui˨˩kau˥˧kʰa˥˥tsʰŋ˥˥
人情	dzin˨˦tsiŋ˨˦
人情世故	dzin˨˦tsiŋ˨˦se˨˩su˧˧
人有七竅	laŋ˨˦u˧˧tsʰit˨kʰoŋ˥˧
人生在世要放開心胸	tso˨˩laŋ˨˦tioʔ˨ai˨˩sĩũ˧˧hɔ˧˧i˥˥kʰui˥˥
人生的開始。三字經的首句	dzin˨˦tsi˥˥tsʰɔ˥˥
人生苦短	dzin˨˦siŋ˥˥te˥˧te˥˧a˥˧
人的內臟是很重要的	laŋ˨˦e˨˦ŋɔ˥˧tsoŋ˧˧liok˨hu˥˧loŋ˥˧si˧˧tsin˥˥tioŋ˧˧iau˨˩e˨˦
人臉初生的細毛	kʰɔ˥˧mŋ˥˥a˥˧
人要是被比喻成畜牲就很不值了	laŋ˨˦na˧˧hɔ˧˧laŋ˨˦pi˥˧pʰiŋ˧˧tso˨˩tsiŋ˥˥sẽ˥˥to˧˧tsiok˨m˥˥tat˦aʔ˨
人造雨	dzin˨˦tso˧˧hɔ˧˧
人間的事很煩擾	se˨˩su˧˧luan˧˧hun˥˥hun˥˥
人類	dzin˨˦lui˧˧
什麼過分的事做不出來	sĩã˥˧miʔ˨iau˥˧siu˧˧tai˧˧tsi˨˩tso˨˩be˧˧tsʰut˨lai˨˦
仁者	dzin˨˦tsia˥˧
仇人	siu˨˦dzin˨˦
仇恨	uan˥˥siu˨˦
今天	kin˥˥a˥˧dzit˦
今天十六號	kin˥˥a˥˧dzit˦tsap˦lak˦
今天在西門町有一群黑道在火拼	kin˥˥a˥˧dzit˦ti˧˧se˥˥mŋ˥˥tiŋ˥˥u˧˧tsit˦tin˧˧hĩã˥˥ti˧˧teʔ˨tsʰia˥˥pĩã˨˩
今天在高速公路上發生一件翻車的意外	kin˥˥a˥˧dzit˦ti˧˧ko˥˥sok˨koŋ˥˥lɔ˧˧huat˨siŋ˥˥tsit˦kĩã˧˧piŋ˥˧tsʰia˥˥e˨˦i˨˩ɡua˧˧
今天天氣不好	kin˥˥a˥˧dzit˦tʰĩ˥˥kʰi˨˩bo˨˦ho˥˧
今天早上他來找你	e˥˥tsai˥˧a˥˧i˥˥u˧˧lai˨˦tsʰue˧˧li˥˧
今天早上溼氣真重	e˥˥tsai˥˧a˥˧tsui˥˧kʰi˨˩tsin˥˥taŋ˧˧
今天是好日子	kin˥˥a˥˧dzit˦si˧˧tua˧˧dzit˦
今天是我的生日	kin˥˥a˥˧dzit˦si˧˧ɡua˥˧e˨˦sẽ˥˥dzit˦
今天有一個和尚來這裡化緣	kin˥˥a˥˧dzit˦u˧˧tsit˦e˨˦hue˨˦sĩũ˧˧lai˨˦tsia˥˥hua˨˩ian˨˦
今天的太陽真大	kin˥˥a˥˧dzit˦e˨˦dzit˦tʰau˨˦tsin˥˥me˥˧
今天的會議由他來主持	kin˥˥a˥˧dzit˦e˨˦hue˧˧ɡi˧˧iu˨˦i˥˥lai˨˦tsu˥˧tsʰi˨˦
今年是壬午馬年	kin˥˥ni˨˦si˧˧dzim˨˦ŋɔ˥˧ni˨˦
今年的雨水很充足	kin˥˥ni˨˦e˨˦hɔ˧˧tsui˥˧tsin˥˥tsʰioŋ˥˥tsiok˨
今年第一期稻作稻穀很飽滿	kin˥˥ni˨˦lak˦ɡueʔ˦taŋ˥˥tiu˧˧a˥˧tsĩã˨˦pa˥˧sui˧˧
今晚月亮很亮	e˥˥hŋ˥˥am˨˩ɡueʔ˦niu˨˦tsin˥˥kŋ˥˥
今晚要來我們家作客嗎	e˥˥am˨˩beʔ˨lai˨˦ɡuan˥˧tau˥˥hɔ˧˧ɡuan˥˧tsʰĩã˥˧bo˨˦
仕途	su˧˧tɔ˨˦
他一上臺就忘了要唸旁白	i˥˥sui˨˦tsĩũ˧˧tai˨˦to˧˧be˧˧ki˨˩tit˨ai˨˩liam˧˧kʰau˥˧peʔ˦
他一星期至少要賣三百個	i˥˥tsit˦le˥˧pai˨˩tsi˨˩tsio˥˧ai˨˩be˧˧sã˥˥paʔ˨e˨˦
他一邊工作	i˥˥tsit˦bin˧˧tso˨˩kaŋ˥˥
他不久之後就學藝完成了	i˥˥liam˨˦mi˥˥to˧˧e˧˧tsʰut˨sai˥˥aʔ˨
他不但沒有記恨	i˥˥m˥˥na˧˧bo˨˦kʰioʔ˨hin˧˧
他不只捐錢	i˥˥m˥˥na˧˧kia˨˩hu˨˩tsĩ˨˦
他不只捐錢	i˥˥put˨tan˧˧kia˨˩hu˨˩tsĩ˨˦
他不定時有新作品出版	i˥˥sam˥˥put˨ɡɔ˧˧si˨˦e˧˧u˧˧sin˥˥tsok˨pʰin˥˧tsʰut˨pan˥˧
他不是故意的	i˥˥m˥˥si˧˧tʰiau˥˥i˨˩kɔ˨˩e˨˦
他不時來我們家串門子	i˥˥sam˥˥put˨ɡɔ˧˧si˨˦to˧˧lai˨˦ɡuan˥˧tau˥˥kĩã˨˦taʔ˦
他不會理睬你	i˥˥be˧˧tsʰap˨li˥˧
他不識字	i˥˥m˥˥bat˨dzi˧˧
他不過是個半吊子罷了	i˥˥tsi˥˧put˨ko˨˩si˧˧tsit˦e˨˦pũã˨˩tʰaŋ˥˧sai˥˧nia˧˧nia˧˧
他不願意幫你	i˥˥m˥˥ɡuan˧˧ka˧˧li˥˧tau˨˩sã˥˥kaŋ˧˧
他也不會怎樣	i˥˥ma˧˧be˧˧an˥˧tsũã˥˧
他今天的穿著很得體，有大家的風範	i˥˥kin˥˥a˥˧dzit˦e˨˦tsʰiŋ˧˧tsʰaʔ˨tsin˥˥tai˧˧hoŋ˥˥
他今年十歲	i˥˥kin˥˥ni˨˦tsap˦hue˨˩
他代表公司來開會	i˥˥tai˧˧piau˥˧koŋ˥˥si˥˥lai˨˦kʰui˥˥hue˧˧
他來一下子就回去了	i˥˥lai˨˦tsit˦tiap˨a˥˧ku˥˧to˧˧tńg1kʰi˨˩aʔ˨
他做什麼生意都賠錢	i˥˥tso˨˩sĩã˥˧miʔ˨siŋ˥˥li˥˧loŋ˥˧liau˥˧tsĩ˨˦
他做這一行	i˥˥tso˨˩tsit˨tɔ˨˦
他先打我	i˥˥siŋ˥˥ka˧˧ɡua˥˧pʰaʔ˨
他全身都是病痛	i˥˥kui˥˥sin˥˥kʰu˥˥tsuan˨˦mɔ˨˦pẽ˧˧
他出手很慷慨	i˥˥tsʰut˨tsʰiu˥˧tsin˥˥tai˧˧hoŋ˥˥
他刻這顆印章花很多時間	i˥˥kʰik˨tsit˨liap˦in˨˩a˥˧tsin˥˥liau˥˧kaŋ˥˥
他剛才從外頭回來	i˥˥tu˥˧tsiaʔ˨tui˨˩ɡua˧˧kʰau˥˧tńg1lai˨˦
他努力奮鬥的故事被刊登在報紙上面	i˥˥pʰaʔ˨pĩã˨˩e˨˦kɔ˨˩su˧˧u˧˧kʰan˥˥ti˧˧po˨˩tsua˥˧tiŋ˥˧tʰau˨˦
他升遷當主任了	i˥˥siŋ˥˥kʰi˥˧lai˨˦tso˨˩tsu˥˧dzim˧˧aʔ˨
他去年就去世了	i˥˥ku˧˧ni˨˦to˧˧kʰi˨˩aʔ˨
他又來了	i˥˥iu˧˧koʔ˨lai˨˦aʔ˨
他可是行家	i˥˥si˧˧lai˧˧haŋ˨˦e˨˦
他可能不會來了	i˥˥kʰo˥˧liŋ˨˦be˧˧lai˨˦aʔ˨
他吃一點點飯而已	i˥˥tsiaʔ˦tsit˦sut˨a˥˧pŋ˥˥nia˧˧nia˧˧
他吃最多	i˥˥tsiaʔ˦sioŋ˧˧tse˧˧
他吃飯時間不固定	i˥˥tsiaʔ˨pŋ˥˥loŋ˥˧bo˨˦it˨tiŋ˧˧e˨˦si˨˦kan˥˥
他和阿仁本來感情很好	i˥˥kaʔ˨a˥˥dzin˨˦ɡuan˨˦pun˥˧kam˥˧tsiŋ˨˦tsĩã˨˦ho˥˧
他和黑道勾結	i˥˥kaʔ˨ɔ˥˥to˧˧kau˥˥kiat˨
他哭得眼淚直流	i˥˥kʰau˨˩kaʔ˨bak˦sai˥˧si˨˩lam˨˦sui˨˦
他嚇得半死	i˥˥kĩã˥˥tsit˦e˧˧pũã˨˩sio˥˧si˥˧
他四十多歲了	i˥˥siap˨ɡua˧˧hue˨˩aʔ˨
他因為身體不舒服	i˥˥sin˥˥tʰe˥˧kʰiam˨˩an˥˥
他在那間銀行有一個帳戶	i˥˥ti˧˧hit˨kiŋ˥˥ɡin˨˦haŋ˨˦u˧˧tsit˦e˨˦kʰau˥˧tso˧˧
他在鄉鎮市公所工作	i˥˥ti˧˧koŋ˥˥sɔ˥˧tsiaʔ˦tʰau˨˦lɔ˧˧
他在醫院處理文書工作	i˥˥ti˧˧pẽ˧˧ĩ˧˧tso˨˩bun˨˦su˥˥
他在騙你	i˥˥teʔ˨pʰian˨˩li˥˧
他多找我五十塊錢	i˥˥ke˥˥tsau˧˧ɡua˥˧ɡɔ˧˧tsap˦kʰɔ˥˥
他天生就比較粗魯、率直	i˥˥sẽ˥˥pun˥˧kʰaʔ˨tʰɔ˥˧siŋ˨˩
他太胖了	i˥˥sĩũ˥˥tua˧˧kʰɔ˥˥aʔ˨
他好比是隻被人關在籠子裡面的小鳥	i˥˥kʰo˥˧pi˥˧tsit˦tsiaʔ˨hɔ˧˧laŋ˨˦kũãĩ˥˥ti˧˧laŋ˨˦a˥˧lai˧˧e˨˦tsiau˥˧a˥˧
他專門在背後說人家的壞話	i˥˥tsuan˥˥bun˨˦ti˧˧au˧˧piaʔ˨koŋ˥˧laŋ˨˦e˨˦pʰãĩ˥˧ue˧˧
他對他的學生一律都很嚴格	i˥˥tui˨˩i˥˥e˨˦hak˦siŋ˥˥it˨lut˦loŋ˥˧tsin˥˥ɡiam˨˦keʔ˨
他對語言方面很有興趣	i˥˥tui˨˩ɡi˥˧ɡian˨˦hoŋ˥˥bin˧˧tsin˥˥u˧˧hiŋ˨˩tsʰu˨˩
他就像公司的外交部長	i˥˥kʰo˥˧pi˥˧si˧˧koŋ˥˥si˥˥e˨˦ɡua˧˧kau˥˥pɔ˧˧tĩũ˥˧
他就像牛螕一樣	i˥˥kã˥˧na˥˧ɡu˨˦pi˥˥leʔ˨
他就是心腸不好	i˥˥to˧˧si˧˧pʰãĩ˥˧sim˥˥hiŋ˧˧
他就醒了	i˥˥to˧˧tsʰẽ˥˧aʔ˨
他常常打我發洩怨氣	i˥˥tĩã˧˧tĩã˧˧pʰaʔ˨ɡua˥˧tsʰut˨kʰui˨˩
