-аж	ˈɑɹd
аблеухова	abɭiˈuxʌva
аблеухову	abɭiˈuxʌvu
абмосова	abmosova
абнего	abnˈevʌ
абнеос	abnˈeʌs
абнер	ˈɑbnir
абнера	abnˈera
абня	apɲa
або	ˈɑbʌ
абогин	abˈogin
абодная	abadnaja
абодье	abˈɑdʲiɛ
аболиционист	abʌɭitsyʌnˈist
аболиционистов	abʌɭitsyˈonistʌf
аболону	abˈoɭʌnu
абома	aboma
абоминация	abomʲinatsɨja
абонемент	abonimʲant
абонемент	abʌnimˈent
абонемента	abʌnimˈenta
абонементу	abʌnimˈentu
абонементы	abʌnimˈenty
абонент	abonʲent
абонент	abʌnˈent
абонента	aboninta
абонента	abʌnˈenta
абонентам	abonʲenta
абонентам	abʌnˈentʌm
абонентами	abonʲentamʲi
абонентами	abʌnˈentʌmɪ
абонентка	abʌmˈentkʌ
абонентки	abonʲendkʲi
абонентную	abanʲentnuju
абонентов	abʌnˈentʌf
абонентом	abonʲentam
абонентом	abʌnˈentʌm
абонентский	abʌnˈentskij
абонентской	abanˈentskʌj
абоненту	abonʲentu
абоненту	abʌnˈentu
абоненты	abʌnˈenty
абонирован	abonʲiravan
абонирована	abonʲiravana
абонированную	abʌnirˈovʌnnuju
абонированы	abʌnˈirʌvʌny
абонировка	aboniroska
абонирует	abanʲiruʲeʲːe
абонирую	abonˈirʊju
абонирующий	aboniruɕij
абордаж	abʌrdˈɑʃ
абордажа	abʌrdˈɑʒa
абордаже	abˈordʌʒy
абордажная	abʌrdˈɑʒnʌja
абордажного	abʌrdˈɑʒnʌvʌ
абордажной	abʌrdˈɑʒnʌj
абордажную	abʌrdˈɑʒnuju
абордажные	abʌrdˈɑʒnyjɪ
абордажный	abʌrdˈɑʒnyj
абордажным	abʌrdˈɑʒnym
абордажными	abʌrdˈɑʒnymɪ
абордажных	abʌrdˈɑʒnyx
абордажу	abʌrdˈɑʒu
абордируемый	abʌrdirˈujimyj
абордирует	abordziruʲeʲa
абори	abˈorɪ
абориген	abʌrigˈen
аборигена	abʌrigˈena
аборигена	ˈopʌrigˈena
аборигенам	abʌrigˈenʌm
аборигенами	abʌrigˈenʌmɪ
аборигенах	abʌrˈiginʌx
аборигенах	ˈopʌrigˈenʌx
аборигените	abʌrˈiginiti
аборигенка	abarʲigʲɛnka
аборигенка	abʌrigˈenka
аборигенки	ʌbrigenkʲi
аборигенов	abʌrigˈenʌf
аборигеном	abʌrˈiginʌm
аборигену	abʌrˈiginu
аборигены	abʌrigˈeny
аборт	abɔrt
аборт	abˈort
аборт	abˈoɾt
аборт	aːbˈoɾt
аборта	abortɐ
аборта	abˈorta
абортам	abˈortʌm
абортами	abˈortʌmɪ
абортах	abˈortʌx
аборте	abˈorti
абортов	abˈortʌf
абортом	abˈortʌm
аборты	abˈorty
абочих	abˈotʃix
абощо	abˈoɕʌ
абою	abuu
абоянцев	abʌˈjantsyf
абр	ˈɑbr
абра	ˈɑbra
абраам	abrˈɑʌm
абраама	abrˈɑʌma
абрагам	abrˈɑgʌm
абрадировать	abradˈirʌvʌt
абрадокс	apɾadoks
абразив	abrazʲiv
абразив	abrazˈif
абразив	abraʑˈif
абразива	abrazʲiva
абразива	abrˈɑʑiva
абразивности	aprazˈivnʌstɪ
абразивный	ʌbrˈɑzidnyj
абразивы	aprazʲivɨ
абразия	abrazˈi
абразо	abrˈɑzʌ
абрайра	abrˈɑjra
абрайру	abrˈɑjru
абрайры	abrˈɑjry
абракадабра	abrɨkadapra
абракадабра	abrɨkatabra
абракадабра	abrʌkadˈɑbra
абракадабра	apɾakadabra
абракадабре	abrʌkadˈɑbri
абракадаброй	abrʌkadˈɑbrʌj
абракадабру	abrʌkadˈɑbru
абракадабры	abrʌkadˈɑbry
абраксас	abrˈɑksʌs
абраксаса	abrˈɑksʌsa
абрам	abrˈɑm
абрам-мыс	abrammɨs
абрама	abrˈɑma
абраме	abrˈɑmi
абрамзон	abrˈɑmzʌn
абрамзона	abrˈɑmzʌna
абрамкин	abrˈɑmkin
абрамов	abrˈɑmʌf
абрамова	abrˈɑmʌva
абрамовит	apramovʲid
абрамович	abramˈovitʃ
абрамовича	abramɨvʲitʂa
абрамовича	abramˈovitʃʌ
абрамовичем	abramˈovitʃim
абрамовичу	abramˈovitʃu
абрамовка	abramafka
абрамовна	abrˈɑmʌvna
абрамовне	abrˈɑmʌvni
абрамовниных	abramˈovninyx
абрамовною	abramˈovnʌju
абрамовну	abrˈɑmʌvnu
абрамовны	abramovne
абрамовны	abrˈɑmʌvny
абрамову	abrˈɑmʌvu
абрамовым	abramˈovym
абрамом	abrˈɑmʌm
абрамс	ˈɑbrʌms
абрамса	abrˈɑmsa
абрамский	abrˈɑmskij
абрамсон	abrˈɑmsʌn
абрамсона	abrˈɑmsʌna
абраму	abrˈɑmu
абрамцево	abrˈɑmtsyvʌ
абрамыч	abrˈɑmytʃ
абрамян	abramˈɑn
абрантес	abrˈɑntis
абрау	abrˈɑu
абрау-дюрсо	abrˈɑudˈuˌrsʌ
абрахам	abraxˈɑm
абрахама	abraxˈɑma
абрахамом	abraxˈɑmʌm
абрахамс	abrˈɑxʌms
абрахамса	abrˈɑxʌmsa
абрахаму	abraxˈɑmu
абрахас	abrˈɑxʌs
абраша	abrˈɑʃa
абрашка	abrˈɑʃka
абрашка-гармонист	abrˈɑʃkagʌrmʌnˈist
абреев	abrˈejif
абреже	abrɛʒɨ
абрек	abrɛk
абрек	abrˈek
абрека	abrɛka
абрека	abrˈeka
абреками	abrˈekʌmɪ
абреки	abrʲekid
абреки	abrˈekɪ
абреков	abrˈekʌf
абреком	abrˈekʌm
абреку	abrˈeku
абреу	abrˈeu
абри	ˈɑbrɪ
абрикос	abrikos
абрикос	abrikˈos
абрикос	abrɨkˈoʃ
абрикоса	abrikosa
абрикоса	abrikˈosa
абрикосами	abrikˈosʌmɪ
абрикосик	aprikˈosik
абрикосиками	aprikosʲikamʲi
абрикосная	abrikˈosnʌja
абрикосник	ʌprikˈosnik
абрикосов	abrikˈosʌf
абрикосова	abrikˈosʌva
абрикосовая	abrikosavaja
абрикосовая	abrikˈosʌvʌja
абрикосовка	aprikosɛvka
абрикосового	abrikˈosʌvʌvʌ
абрикосовое	abrikˈosʌvʌjɪ
абрикосовой	abrikˈosʌvʌj
абрикосовую	abrikˈosʌvuju
абрикосовую	ʌbrikˈosʌvuju
абрикосовые	abrikˈosʌvyjɪ
абрикосовые	ʌbrikˈosʌvʌjɪ
абрикосовый	abrikˈosʌvyj
абрикосовым	abrikˈosʌvym
абрикосовыми	abrikˈosʌvymɪ
абрикосовых	abrikˈosʌvyx
абрикосом	aprikˈosʌm
абрикосы	abrikˈosy
абрикосы	aprikosɨ
абрим	ˈɑbrim
абрис	ˈɑbris
абриса	abrɛstɐ
абриса	abrˈisa
абрисом	abrisɑm
абрисом	abrˈisʌm
абрисы	ˈɑbrisy
абритт	abritˈ
абриэль	abrˈiɛɭ
абро	ˈɑbrʌ
аброгации	abrˈʌgatsyɪ
аброзавр	abrazavr
абросим	abrosim
абросимов	abrˈosimʌf
абросимова	abrˈosimʌva
абросимович	abrosʲimoviʲtʃ
абросимовича	abrosʲimɨvʲitʂa
абру	ˈɑbru
абрупция	abruptsɨja
абс	ˈɑps
абс-панорама	ˈɑpspʌnʌrˈɑma
абсент	abzɛnt
абсент	apsˈent
абсента	absɛnta
абсента	apsˈenta
абсентеизм	aːbsintˈɛizm
абсентеизма	abzɛntɛjsma
абсентом	apsˈentʌm
абсида	apside
абсиды	apsˈidy
абсинтом	apsˈintʌm
абсолют	apsʌɭˈuˌt
абсолюта	apsʌɭˈuˌta
абсолюте	apsʌɭˈuˌti
абсолютен	apsʌɭˈuˌtin
абсолютизации	apsʌɭuˌtˈizʌtsyɪ
абсолютизация	apsʌɭuˌtˈizʌtsyja
абсолютизация	apzʌɭuˌtizɑˈtsɪja
абсолютизировать	apsʌɭuˌtiʑˈirʌvʌt
абсолютизм	apsʌɭuˌtˈizm
абсолютизма	apsʌɭuˌtˈizma
абсолютизмом	apsʌɭˈuˌtizmʌm
абсолютизму	apsʌɭuˌtˈizmu
абсолютист	apzolutist
абсолютистского	apsʌɭˈuˌtistskʌvʌ
абсолютистской	apsʌɭˈuˌtistskʌj
абсолютна	apsʌɭˈuˌtna
абсолютная	apsʌɭˈuˌtnʌja
абсолютно	abzʌɭˈuˌtnʌ
абсолютно	apsʌɭˈuˌtnʌ
абсолютного	apsʌɭˈuˌtnʌvʌ
абсолютное	abzʌɭˈuˌtnʌja
абсолютное	apsʌɭˈuˌtnʌjɪ
абсолютной	apsʌɭˈuˌtnʌj
абсолютном	apsʌɭˈuˌtnʌm
абсолютному	apsʌɭˈuˌtnʌmu
абсолютности	apsʌɭˈuˌtnʌstɪ
абсолютность	apsʌɭˈuˌtnʌst
абсолютною	apsʌɭˈuˌtnʌju
абсолютную	apsʌɭˈuˌtnuju
абсолютны	apsʌɭˈuˌtny
абсолютные	apsʌɭˈuˌtnyjɪ
абсолютный	apsʌɭˈuˌtnyj
абсолютным	abˈsʌɭˈutnʌm
абсолютным	apsʌɭˈuˌtnym
абсолютными	apsʌɭˈuˌtnymɪ
абсолютных	apsʌɭˈuˌtnyx
абсолютов	apsʌɭˈuˌtʌf
абсолютом	apsʌɭˈuˌtʌm
абсолюту	apsʌɭˈuˌtu
абсолюты	apsʌɭˈuˌty
абсорб	apzɔrp
абсорбентного	apsoˈrˈbˈentnˈovo
абсорбера	apsurbʲera
абсорбирована	apsombirovana
абсорбировать	apsʌrbˈirʌvʌt
абсорбироваться	abzorbˈirʌvʌtsʌ
абсорбирует	apzormʲiruʲet
абсорбирующей	abzorbjiruɕej
абсорбции	apsˈorptsyɪ
абсорбция	absorptsʲija
абсорбция	apsˈorptsyja
абст	ˈɑpst
абста	ˈɑpsta
абстенционист	apstantsjonðist
абстенция	abstɛntsjɛ
абстинент	abstsʲinʲent
абстинент	apstjnjɛt
абстиненции	apstinˈentsyɪ
абстиненция	apstinˈentsyja
абстиненция	apstsʲinʲentsɨja
абстнеру	apstnˈeru
абстрагирование	apstragˈirʌvʌnijɪ
абстрагированию	apstrʌgirˈovʌniju
абстрагирования	apstragˈirʌvʌnija
абстрагировать	apstragˈirʌvʌt
абстрагироваться	apstragˈirʌvʌtsʌ
абстрагируясь	apstragˈirujas
абстракт	apstrˈɑkt
абстрактен	abstraktsʲin
абстрактен	apstrˈɑktin
абстрактна	apstrˈɑktna
абстрактная	apstrˈɑktnʌja
абстрактнее	apstrˈɑktnijɪ
абстрактно	apstraktnɔ
абстрактно	apstrˈɑktnʌ
абстрактно-философский	apstraktˈnˈofiɭʌsˈovski
абстрактного	apstrˈɑktnʌvʌ
абстрактное	apstrˈɑktnʌjɪ
абстрактной	apstrˈɑktnʌj
абстрактном	apstrˈɑktnʌm
абстрактному	apstrˈɑktnʌmu
абстрактности	apstrˈɑktnʌstɪ
абстрактность	apstrˈɑktnʌst
абстрактную	apstrɑknuju
абстрактную	apstrˈɑktnuju
абстрактны	apstrˈɑktny
абстрактные	apstrˈɑktnyjɪ
абстрактный	apstrˈɑktnyj
абстрактный-описатель	apstrˈɑktnyjʌpisˈɑtiɭ
абстрактным	apstrˈɑktnym
абстрактными	apstrˈɑktnymɪ
абстрактных	apstrˈɑktnyx
абстракц	apstrˈɑkts
абстракцией	apstrˈɑktsyjij
абстракции	apstraktsɨʲi
абстракции	apstrˈɑktsyɪ
абстракций	apstrˈɑktsyj
абстракционизм	apstraktsˈyʌnizm
абстракционизма	apstraktsˈyʌnizma
абстракционистов	apstrʌktsyʌnˈistʌf
абстракцию	apstrˈɑktsyju
абстракция	abstraktsɨja
абстракция	apstraktsɨja
абстракция	apstrˈɑktsyja
абстракциям	apstraktsˈyjam
абстракциями	apstrˈɑktsyjamɪ
абстракциях	apstrˈɑktsyjax
абсту	ˈɑpstu
абсурд	apsˈurt
абсурд	apzult
абсурда	apsˈurda
абсурде	apsˈurdi
абсурден	apsurdiˈm
абсурден	apsurdzʲen
абсурден	apsˈurdin
абсурдизм	absordˈizm
абсурдна	abzurdnɨ
абсурдна	apsˈurdna
абсурдная	apsˈurdnʌja
абсурднее	apsurdnʲijɛ
абсурднее	apsˈurdnijɪ
абсурдно	apsˈurdnʌ
абсурдно	apzurdnɛ
абсурдно-логических	apsˈurdnʌɭʌgˈitʃiskix
абсурдного	apsˈurdnʌvʌ
абсурдное	apsˈurdnʌjɪ
абсурдной	apsˈurdnʌj
абсурдном	apsˈurdnʌm
абсурдному	apsˈurdnʌmu
абсурдности	apsˈurdnʌstɪ
абсурдность	apsˈurdnʌst
абсурдностью	apsˈurdnʌstjju
абсурдную	apsˈurdnuju
абсурдны	apsˈurdny
абсурдны	ˈɑbsurdnɪ
абсурдные	apsˈurdnyjɪ
абсурдный	apsˈurdnyj
абсурдным	absurdnɨm
абсурдным	apsˈurdnym
абсурдными	apsˈurdnymɪ
абсурдных	apsˈurdnyx
абсурдом	apsˈurdʌm
абсурду	apsˈurdu
абсцесс	apstsɛs
абсцесс	apstsˈɛss
абсцесса	apstsˈɛssa
абсцессах	apstsˈɛssʌx
абсцессов	apstsˈɛssʌf
абсцессы	apstsˈɛssy
абсцисс	apstsˈyss
абт	ˈɑpt
абтель	ˈɑptiɭ
абтеля	aptˈeɭʌ
абу	ˈɑbu
абу-али	ˈɑbuˈɑɭɪ
абу-даби	abudɑbʲi
абу-даби	ˈɑbudˈɑbɪ
абу-дабийский	abudabijski
абу-л-хасан	ˈɑbuˈɛɭxasˈɑn
абу-л-хасана	ˈɑbuˈɛɭxasˈɑna
абу-саида	ˈɑbusaˈida
абу-селим	ˈɑbusˈeɭim
абу-селим-эфенди	ˈɑbusˈeɭimɛfˈendɪ
абу-тайиб	ˈɑbutajˈip
абубакир	abubˈɑkir
абугида	aːbukˈiða
абуджа	abudʐa
абуладзе	abˈuɭʌdʑi
абулетес	abuɭˈetis
абулия	abulʲeja
абуль-фарадж	ˈɑbuɭfˈɑrʌdʃ
абуль-фараджа	ˈɑbuɭfarˈɑdʒa
абуталип	abutˈɑɭip
абуталипа	abutˈɑɭipa
абуэлита	abuˈɛɭita
абхаз	ˈɑpxʌs
абхазети	apxˈɑʑitɪ
абхазец	abxazʲits
абхазец	apxaʑˈets
абхазии	abxazʲiʲi
абхазии	apxˈɑʑiɪ
абхазию	abxazʲiu̯
абхазию	apxˈɑʑiju
абхазия	abxazʲa
абхазия	apxazʲa
абхазия	apxˈɑʑija
абхазка	apxazkɛ
абхазки	abxazkʲi
абхазо-грузинский	abxazgruzinskij
абхазов	abxazov
абхазов	apxˈɑzʌf
абхазская	apxˈɑsskʌja
абхазские	apxˈɑsskijɪ
абхазский	apxˈɑsskij
абхазским	apxˈɑsskim
абхазских	apxˈɑsskix
абхазского	apxˈɑsskʌvʌ
абхазской	apxˈɑsskʌj
абхазском	apxˈɑsskʌm
абхазскую	apxˈɑsskuju
абхазца	apxˈɑstsa
абхазцев	abxaztsɨv
абхазцев	apxˈɑstsyf
абхазцем	abxaztsɨm
абхазцов	abxastsov
абхазцы	apxaztsɨ
абхазцы	apxˈɑstsy
абхазы	abxazɨ
абхазы	apxˈɑzy
абхазянка	apxasjanko
абцуга	aptsug
абцуга	aptsˈuga
абы	abɨ
абы	ˈɑby
абыз	abɨs
абыл	ˈɑbyɭ
абыс	abɯs
абьюз	abjus
абьюзер	abjuzʲer
абэ	abæ
абэ	ˈɑbɛ
абэномика	abɨnomʲika
ав	ˈɑf
ава-перца	abapʲertsa
ава-перцев	avapʲertsɨv
аваг	abak
авад	avˈɑt
аваддон	avˈɑddʌn
аваддона	avˈɑddʌna
авадоро	avˈɑdʌrʌ
аваз	ˈɑvʌs
авакли	avˈɑkɭɪ
аваков	avakuf
авакс	ˈɑvʌks
аваксесс	avˈɑksiss
авакян	avˈɑkʌn
авалист	avalist
аваллак	avaɭɭˈɑk
авалле	avˈɑɭɭi
аваллон	avˈɑɭɭʌn
аваллона	avˈɑɭɭʌna
авалов	avˈɑɭʌf
авалон	avaɭˈon
авалона	avaɭˈona
авалоне	avaɭˈoni
аван	ˈɑvʌn
авангард	avangˈɑrt
авангард	ɑvɑŋgɑr
авангарда	avangardɯ
авангарда	avangˈɑrda
авангарде	avangˈɑrdi
авангардизм	avʌngardˈizm
авангардизма	avˈangʌrdˈizmʌ
авангардист	avʌngardˈist
авангардистов	avʌngardˈistʌf
авангардистских	avangˈɑrdistskix
авангардисты	avangˈɑrdisty
авангардного	avangˈɑrdnʌvʌ
авангардное	avangˈɑrdnʌjɪ
авангардной	avangˈɑrdnʌj
авангардную	avangˈɑrdnuju
авангардные	avangˈɑrdnyjɪ
авангардный	avangˈɑrdnyj
авангардных	avangˈɑrdnyx
авангардом	avangˈɑrdʌm
авангарду	avangˈɑrdu
авангарды	avangardɨm
авангарды	avangˈɑrdy
аванесов	avanˈesʌf
аванесова	avanˈesʌva
аванзал	avɑːn̪zala
аванзале	avanzalʲe
аванзалу	avanzalu
авания	avˈɑnijɪ
авано-сан	avˈɑnʌsˈɑn
аванпост	avanpˈost
аванпоста	avanpˈosta
аванпостах	avanpˈostʌx
аванпостная	ɑvɑntostnaja
аванпостов	avanpˈostʌf
аванпостом	avanpˈostʌm
аванпосты	avanpˈosty
аванрейда	abanrʲejda
аванс	avɑnsɯ
аванс	avˈɑns
аванса	avantsam
аванса	avˈɑnsa
авансе	avantsʲe
авансе	avˈɑnsi
авансик	avaːnsiːk
авансика	avansʲika
авансирован	avansʲiravan
авансирует	avansʲiruʲet
авансируется	avansʲiruʲetsːo
авансирую	avansʲiruʲu
авансируюсь	avansʲirujutsʲ
авансов	abansov
авансов	avˈɑnsʌf
