а	a
беларус	bɛɫɐrus
белгия	bɛɫɡijɐ
белград	bɛɫɡrɐt
бенет	bɛnɛt
бени	bɛni
берлин	bɛrlin
берлускони	bɛrɫoskɔni
берн	bɛrn
бет	bɛt
бианка	biaŋkɐ
битие	bitiɛ
битоля	bitolʲɐ
благовест	bɫɐɡovɛst
благовеста	bɫɐɡovɛstɐ
благоевград	bɫɐɡɔɛvɡrɐt
благой	bɫɐɡɔj
блакторн	bɫaktorn
блейк	blɛjk
блек	blɛk
близнаци	bliznatsi
боб	bɔp
боби	bɔbi
божидар	boʒidar
божков	bɔʃkof
боливия	bolivijɐ
борис	boris
борисов	borisof
босна	bɔsnɐ
бостон	bɔston
ботев	bɔtɛf
бояджиев	bojɐdʒiɛf
боян	boja̟n
брадли	bradli
бразилия	brɐzilijɐ
братислава	bratisɫɐvɐ
британия	britanijɐ
бруней	bronɛj
брюксел	brʲu̟ksɛɫ
будапеща	budɐpɛʃtɐ
букурещ	bokorɛʃt
бургас	borɡas
бутан	botan
българийо	bɐɫɡarijo̟
българия	bɐɫɡarijɐ
в	v
в	vɛ
в	vɤ
валета	vɐlɛtɐ
вам	vam
ванчев	vantʃɛf
варна	varnɐ
варшава	vɐrʃa̟vɐ
вас	vas
васил	vɐsiɫ
василев	vɐsilɛf
василий	vɐsilij
василка	vɐsiɫkɐ
ватикан	vɐtikan
ватикана	vɐtikanɐ
ваш	vaʃ
ваша	vaʃɐ
вашата	vaʃɐtɐ
ваше	vaʃɛ
вашето	vaʃɛto
ваши	vaʃi
вашите	vaʃitɛ
вашия	vaʃijɐ
вашият	vaʃijɐt
вашта	vaʃtɐ
ваште	vaʃtɛ
вашто	vaʃto
везни	vɛzni
велизар	vɛlizar
великден	vɛliɡdɛn
великобритания	vɛlikobritanijɐ
велинов	vɛlinof
венера	vɛnɛrɐ
венецуела	vɛnɛtsoɛɫɐ
веселина	vɛsɛlinɐ
ви	vi
виден	vidɛn
виденов	vidɛnof
вие	viɛ
виена	viɛnɐ
виетнам	viɛtnam
виница	vinitsɐ
витиня	vitinʲɐ
владимиров	vɫɐdimirof
влахов	vɫɐxof
воденичаров	vodɛnitʃɐrof
водолей	vodolɛj
вутов	votof
вуцов	votsof
вяра	vʲa̟rɐ
г	ɡ
г	ɡɛ
г	ɡɤ
газа	ɡazɐ
гана	ɡanɐ
ганг	ɡaŋk
гандалф	ɡandɐɫf
ганев	ɡɐnɛf
ганимед	ɡɐnimɛt
гарфилд	ɡarfiɫt
гаяна	ɡɐja̟nɐ
гданск	ɡdansk
гемеджиев	ɡɛmɛdʒiɛf
герасим	ɡɛrasim
гергана	ɡɛrɡɐnɐ
германия	ɡɛrmanijɐ
гибралтар	ɡibrɐɫtar
гинка	ɡiŋkɐ
горан	ɡoran
горанов	ɡorɐnof
господ	ɡɔspot
гоцев	ɡotsɛf
гошев	ɡoʃɛf
гривица	ɡrivitsɐ
грозев	ɡrɔzɛf
груев	ɡroɛf
грузия	ɡruzijɐ
гълъбов	ɡɐɫɐbof
гърция	ɡɤrtsijɐ
гюзелев	ɡʲo̟zɛlɛf
гюров	ɡʲo̟rof
д	d
д	dɛ
д	dɤ
ддс	dɛdɛsɛ
днк	dɛɛnka
дака	dakɐ
дамаск	dɐmask
дамянов	dɐmʲa̟nof
дания	danijɐ
дева	dɛvɐ
деймос	dɛjmos
делев	dɛlɛf
денев	dɛnɛf
деница	dɛnitsɐ
десислава	dɛsisɫɐvɐ
джийн	dʒijn
джослин	dʒɔslin
джуров	dʒu̟rof
димитров	dimitrɔf
димитрова	dimitrovɐ
димитър	dimitɐr
диона	diɔnɐ
дисномия	disnɔmijɐ
днипро	dniprɔ
добриня	dobrinʲɐ
добромира	dobromirɐ
донецк	donɛtsk
драган	drɐɡan
драгой	drɐɡɔj
дунав	dunɐf
душан	doʃa̟n
е	ɛ
ес	ɛsɐ
ес	ɛsɛ
ецб	ɛtsp
евелина	ɛvɛlinɐ
европа	ɛvrɔpɐ
евросъюз	ɛvrosɐjo̟s
ейприл	ɛjpriɫ
еквадор	ɛkvɐdɔr
елена	ɛlɛnɐ
елисавета	ɛlisɐvɛtɐ
енцелад	ɛntsɛɫat
ерида	ɛridɐ
еритрея	ɛritrɛjɐ
естония	ɛstɔnijɐ
етиопия	ɛtiɔpijɐ
желев	ʒɛlɛf
жечев	ʒɛtʃɛf
живка	ʒifkɐ
живков	ʒifkof
житомир	ʒitɔmir
загреб	zaɡrɛp
задушница	zɐduʃnitsɐ
запорожие	zɐporɔʒiɛ
зара	zarɐ
захарина	zɐxɐrinɐ
земя	zɛmʲa̟
златев	zɫɐtɛf
и	i
иван	ivan
ивана	ivanɐ
иванов	ivanof
иванов	ivɐnɔf
игнатов	iɡnɐtof
израел	izrɐɛɫ
илияна	ilijɐnɐ
индия	indijɐ
индонезия	indonɛzijɐ
ирак	irak
иран	iran
ирландия	irɫandijɐ
исландия	isɫandijɐ
испания	ispanijɐ
истанбул	istɐnbuɫ
италия	italijɐ
й	j
йо	jɔ
йовчев	jɔftʃɛf
к	k
казахстан	kɐzɐxstan
кайро	kajro
калина	kɐlinɐ
калисто	kɐlisto
калчев	kɐɫtʃɛf
камбоджа	kɐmbɔdʒɐ
канада	kɐnadɐ
карнобат	kɐrnobat
катерина	kɐtɛrinɐ
квебек	kvɛbɛk
кейтлин	kɛjtlin
киев	kiɛf
кипър	kipɐr
киркоров	kirkɔrof
киров	kirof
китай	kitaj
ковачев	kovatʃɛf
козирог	kozirɔk
козирог	kɔzirɔk
коледа	kɔlɛdɐ
колумбия	koɫumbijɐ
конев	konɛf
константинов	konstɐntinof
корея	korɛjɐ
косово	kɔsovo
костов	kostof
кочев	kotʃɛf
кристина	kristinɐ
кръстан	krɐstan
куба	kubɐ
л	ɫ
лазаров	ɫazɐrof
лаос	ɫɐɔs
латвия	ɫatvijɐ
лвов	ɫvɔf
лвов	ɫɐvɔf
литва	litvɐ
лихтенщайн	lixtɛnʃtɐjn
ловеч	ɫɔvɛtʃ
логан	ɫɔɡɐn
лондон	ɫɔndon
лоуис	ɫɔois
луганск	ɫoɡansk
луизиана	ɫoizianɐ
лукашенко	ɫokɐʃɛŋko
луна	ɫona
лъв	ɫɤf
люксембург	lʲu̟ksɛmbork
м	m
майнкрафт	majŋkraft
македония	mɐkɛdɔnijɐ
макемаке	mɐkɛmakɛ
малайзийо	mɐɫajzijo̟
малайзия	mɐɫajzijɐ
малта	maɫtɐ
марийка	mɐrijkɐ
мариупол	mɐriupoɫ
марс	mars
мека	mɛkɐ
мексико	mɛksiko
меркурий	mɛrkurij
милан	miɫan
милой	miɫɔj
мимас	mimɐs
минск	minsk
миранда	mirandɐ
михайлов	mixajɫof
молдова	moɫdɔvɐ
монако	monako
монголия	moŋɡɔlijɐ
монтана	montanɐ
москва	moskva
москов	mɔskof
н	n
надежда	nɐdɛʒdɐ
намака	nɐmakɐ
непал	nɛpaɫ
нептун	nɛptun
нидерландия	nidɛrɫandijɐ
николаев	nikoɫaɛf
николина	nikolinɐ
николов	nikɔɫof
никта	niktɐ
норвегия	norvɛɡijɐ
нургюл	norɡʲu̟ɫ
о	ɔ
оберон	ɔbɛron
овен	ovɛn
одеса	odɛsɐ
одрин	ɔdrin
океания	okɛanijɐ
онтарио	ontario
осака	ɔsɐkɐ
охрид	ɔxrit
п	p
пакистан	pɐkistan
палестина	pɐlɛstinɐ
панама	pɐnamɐ
парагвай	pɐrɐɡvaj
париж	pɐriʃ
пекин	pɛkin
пенчев	pɛntʃɛf
персефона	pɛrsɛfonɐ
перу	pɛru
перун	pɛrun
петров	pɛtrɔf
петър	pɛtɐr
пламен	pɫamɛn
плевен	plɛvɛn
пловдив	pɫɔvdif
полша	pɔɫʃɐ
попов	popɔf
португалия	portoɡalijɐ
прага	praɡɐ
първан	pɐrvan
първанов	pɐrvanof
р	r
рнк	ɛrɛnka
рада	radɐ
радан	rɐdan
радой	rɐdɔj
райна	rɐjnɐ
рак	rak
рея	rɛjɐ
риби	ribi
рига	riɡɐ
рим	rim
руанда	roandɐ
румъния	romɤnijɐ
русе	rusɛ
русев	rusɛf
русия	rosijɐ
с	sɤ
сакар	sɐkar
сараево	sɐraɛvo
сатурн	sɐturn
светлана	svɛtɫanɐ
свищов	sviʃtɔf
сеара	sɛɐra
сеул	sɛuɫ
симеонов	simɛɔnof
сингапур	siŋɡɐpur
сирия	sirijɐ
скопие	skɔpiɛ
скорпион	skorpiɔn
словакия	sɫovakijɐ
словения	sɫovɛnijɐ
смолян	smɔlʲɐn
снежанка	snɛʒa̟ŋkɐ
соколов	sokɔɫof
соколов	sɔkoɫof
софия	sɔfijɐ
средновековие	srɛdnovɛkɔviɛ
станой	stɐnɔj
стефан	stɛfɐn
стикс	stiks
стоян	stoja̟n
стрелец	strɛlɛts
суми	sumi
суринам	sorinam
събев	sɤbɛf
сърбия	sɤrbijɐ
т	t
таджикистан	tɐdʒikistan
тайван	tɐjvan
тайланд	tɐjɫant
телец	tɛlɛts
тетида	tɛtidɐ
техеран	tɛxɛran
тирана	tiranɐ
титан	titan
титания	titanijɐ
того	tɔɡo
токио	tɔkio
траян	trɐja̟n
тритон	tritɔn
трифонов	trifonof
тунис	tunis
туркменистан	torkmɛnistan
турция	turtsijɐ
търновски	tɐrnɔfski
у	u
уганда	oɡandɐ
узбекистан	ozbɛkistan
уикипедия	wikipɛdijɐ
украйна	okrajnɐ
умбриел	umbriɛɫ
унгария	oŋɡarijɐ
уолдо	oɔɫdo
уран	oran
уругвай	oroɡvaj
ф	f
финландия	finɫandijɐ
фобос	fɔbos
франция	frantsijɐ
фучеджиев	fotʃɛdʒiɛf
х	x
хава	xavɐ
хаджиев	xɐdʒiɛf
харков	xarkof
харманли	xarmɐnli
харон	xɐrɔn
хасково	xaskovo
хаумея	xɐomɛjɐ
херсон	xɛrsɔn
херцеговина	xɛrtsɛɡɔvinɐ
хидра	xidrɐ
хияка	xija̟kɐ
холандия	xoɫandijɐ
христина	xristinɐ
христос	xristɔs
хърватия	xɐrvatijɐ
хърватска	xɐrvatskɐ
ц	ts
цветан	tsvɛtan
цветков	tsvɛtkɔf
цербер	tsɛrbɛr
церера	tsɛrɛrɐ
ч	tʃ
чавдар	tʃɐvdar
чад	tʃa̟t
чакъров	tʃɐkɤrof
чернигов	tʃɛrniɡof
чехия	tʃɛxijɐ
чехословакия	tʃɛxosɫovakijɐ
чили	tʃili
чък	tʃɤ̟k
ш	ʃ
швейцария	ʃvɛjtsarijɐ
швеция	ʃvɛtsijɐ
шейтанов	ʃɛjtanof
шумен	ʃu̟mɛn
щ	ʃt
ъ	ɤ
ъ	ɤ̞
ь	jɔ
югославия	jo̟ɡosɫavijɐ
юдея	jo̟dɛjɐ
юпитер	jo̟pitɛr
я	ja̟
яна	ja̟nɐ
япет	jɐpɛt
япония	jɐpɔnijɐ
а	a
а	ɐ
а	ə
аба	ɐba
абаджелък	ɐbɐdʒɛɫɤk
абаджии	abɐdʒii
абаджиите	abɐdʒiitɛ
абаджийка	ɐbɐdʒijkɐ
абаджийката	abɐdʒijkɐtɐ
абаджийки	abɐdʒijki
абаджийките	abɐdʒijkitɛ
абаджийко	abɐdʒijko
абаджийски	ɐbɐdʒijski
абаджийства	abɐdʒijstvɐ
абаджийствата	abɐdʒijstvɐtɐ
абаджийство	ɐbɐdʒijstvo
абаджийството	abɐdʒijstvoto
абаджилък	ɐbɐdʒiɫɤk
абаджия	ɐbɐdʒijɐ
абаджията	abɐdʒijɐtɐ
абажур	ɐbɐʒu̟r
абажура	abɐʒu̟rɐ
абажуре	abɐʒu̟rɛ
абажури	abɐʒu̟ri
абажурите	abɐʒu̟ritɛ
абажурът	abɐʒu̟rɐt
абазийо	abazijo̟
абазия	ɐbazijɐ
абазията	abazijɐtɐ
абак	ɐbak
абака	abakɐ
абако	ɐbako
абакът	abakɐt
абанос	ɐbɐnɔs
абаноса	ɐbɐnɔsɐ
абаносе	ɐbɐnɔsɛ
абаносов	ɐbɐnɔsof
абаносова	abɐnɔsovɐ
абаносовата	abɐnɔsovɐtɐ
абаносови	ɐbɐnɔsovi
абаносовите	abɐnɔsovitɛ
абаносовия	abɐnɔsovijɐ
абаносовият	abɐnɔsovijɐt
абаносово	abɐnɔsovo
абаносовото	abɐnɔsovoto
абаносът	abɐnɔsɐt
абат	ɐbat
абата	ɐbatɐ
абатска	ɐbatskɐ
абатската	ɐbatskɐtɐ
абатски	ɐbatski
абатските	ɐbatskitɛ
абатския	ɐbatskijɐ
абатският	ɐbatskijɐt
абатско	ɐbatsko
абатското	ɐbatskoto
абатства	abatstvɐ
абатствата	abatstvɐtɐ
абатство	ɐbatstvo
абатството	abatstvoto
абаци	abatsi
абаците	abatsitɛ
абдал	ɐbdaɫ
абдала	abdaɫɐ
абдале	abdalɛ
абдали	abdali
абдалите	abdalitɛ
абдалът	abdaɫɐt
абдикации	abdikatsii
абдикациите	abdikatsiitɛ
абдикацийо	abdikatsijo̟
абдикация	ɐbdikatsijɐ
абдикацията	abdikatsijɐtɐ
абдикира	ɐbdikirɐ
абдикирай	ɐbdikirɐj
абдикирайки	ɐbdikirɐjki
абдикирайте	ɐbdikirɐjtɛ
абдикирал	ɐbdikirɐɫ
абдикирала	ɐbdikirɐɫɐ
абдикиралата	ɐbdikirɐɫɐtɐ
абдикирали	ɐbdikirɐli
абдикиралите	ɐbdikirɐlitɛ
абдикиралия	ɐbdikirɐlijɐ
абдикиралият	abdikirɐlijɐt
абдикирало	abdikirɐɫo
абдикиралото	abdikirɐɫoto
абдикирам	ɐbdikirɐm
абдикираме	abdikirɐmɛ
абдикиране	ɐbdikirɐnɛ
абдикиранета	abdikirɐnɛtɐ
абдикиранетата	abdikirɐnɛtɐtɐ
абдикирането	abdikirɐnɛto
абдикирания	abdikirɐnijɐ
абдикиранията	abdikirɐnijɐtɐ
абдикират	abdikirɐt
абдикирате	abdikirɐtɛ
абдикирах	abdikirɐx
абдикираха	abdikirɐxɐ
абдикирахме	abdikirɐxmɛ
абдикирахте	abdikirɐxtɛ
абдикираш	abdikirɐʃ
абдикираше	abdikirɐʃɛ
абдикиращ	abdikirɐʃt
абдикираща	abdikirɐʃtɐ
абдикиращата	abdikirɐʃtɐtɐ
абдикиращи	abdikirɐʃti
абдикиращите	abdikirɐʃtitɛ
абдикиращия	abdikirɐʃtijɐ
абдикиращият	abdikirɐʃtijɐt
абдикиращо	abdikirɐʃto
абдикиращото	abdikirɐʃtoto
абдоминален	ɐbdominalɛn
абдоминална	ɐbdominaɫnɐ
абдоминалната	ɐbdominaɫnɐtɐ
абдоминални	ɐbdominaɫni
абдоминалните	ɐbdominaɫnitɛ
абдоминалния	ɐbdominaɫnijɐ
абдоминалният	ɐbdominaɫnijɐt
абдоминално	ɐbdominaɫno
абдоминалното	ɐbdominaɫnoto
абдукции	abduktsii
абдукциите	abduktsiitɛ
абдукцийо	abduktsijo̟
абдукция	ɐbduktsijɐ
абдукцията	abduktsijɐtɐ
абен	ɐbɛn
аберации	abɛratsii
аберациите	abɛratsiitɛ
аберацийо	abɛratsijo̟
аберация	ɐbɛratsijɐ
аберацията	abɛratsijɐtɐ
абзац	ɐbzats
аби	ɐbi
абисинец	ɐbisinɛts
абисинеца	abisinɛtsɐ
абисинецо	abisinɛtso
абисинецът	abisinɛtsɐt
абисинка	ɐbisiŋkɐ
абисинката	abisiŋkɐtɐ
абисинки	abisiŋki
абисинките	abisiŋkitɛ
абисинко	abisiŋko
абисинска	abisinskɐ
абисинската	abisinskɐtɐ
абисински	ɐbisinski
абисинските	abisinskitɛ
абисинския	abisinskijɐ
абисинският	abisinskijɐt
абисинско	abisinsko
абисинското	abisinskoto
абисинци	abisintsi
абисинците	abisintsitɛ
абите	ɐbitɛ
абитуриент	ɐbitoriɛnt
абитуриента	abitoriɛntɐ
абитуриенте	abitoriɛntɛ
абитуриенти	abitoriɛnti
абитуриентите	abitoriɛntitɛ
абитуриентка	abitoriɛntkɐ
абитуриентката	abitoriɛntkɐtɐ
абитуриентки	abitoriɛntki
абитуриентко	abitoriɛntko
абитуриентска	abitoriɛntskɐ
абитуриентската	abitoriɛntskɐtɐ
абитуриентски	ɐbitoriɛntski
абитуриентските	abitoriɛntskitɛ
абитуриентския	abitoriɛntskijɐ
абитуриентският	abitoriɛntskijɐt
абитуриентско	abitoriɛntsko
абитуриентското	abitoriɛntskoto
абитуриентът	abitoriɛntɐt
абица	ɐbitsɐ
абичка	ɐbitʃkɐ
аблактации	abɫɐktatsii
аблактациите	abɫɐktatsiitɛ
аблактацийо	abɫɐktatsijo̟
аблактация	abɫɐktatsijɐ
аблактацията	abɫɐktatsijɐtɐ
аблан	ɐbɫan
аблен	ɐblɛn
або	abo
абокато	ɐbokato
абонамент	ɐbonɐmɛnt
абонаментен	ɐbonɐmɛntɛn
абонаментна	abonɐmɛntnɐ
абонаментната	abonɐmɛntnɐtɐ
абонаментни	abonɐmɛntni
абонаментните	abonɐmɛntnitɛ
абонаментния	abonɐmɛntnijɐ
абонаментният	abonɐmɛntnijɐt
абонаментно	abonɐmɛntno
абонаментното	abonɐmɛntnoto
абонат	abonat
абоната	abonatɐ
абонате	abonatɛ
абонатен	ɐbonatɛn
абонати	abonati
абонатите	abonatitɛ
абонатка	ɐbonatkɐ
абонатът	abonatɐt
абонирам	ɐbonirɐm
абониране	abonirɐnɛ
абонирането	abonirɐnɛto
абонирания	abonirɐnijɐ
абониранията	abonirɐnijɐtɐ
абордаж	ɐbordaʃ
абориген	ɐboriɡɛn
аборигена	aboriɡɛnɐ
аборигене	aboriɡɛnɛ
аборигени	aboriɡɛni
аборигените	aboriɡɛnitɛ
аборигенка	aboriɡɛŋkɐ
аборигенката	aboriɡɛŋkɐtɐ
аборигенки	aboriɡɛŋki
аборигенките	aboriɡɛŋkitɛ
аборигенко	aboriɡɛŋko
аборигенска	aboriɡɛnskɐ
аборигенската	aboriɡɛnskɐtɐ
аборигенски	aboriɡɛnski
аборигенските	aboriɡɛnskitɛ
аборигенския	aboriɡɛnskijɐ
аборигенският	aboriɡɛnskijɐt
аборигенско	aboriɡɛnsko
аборигенското	aboriɡɛnskoto
аборигенче	aboriɡɛntʃɛ
аборигенчета	aboriɡɛntʃɛtɐ
аборигенчетата	aboriɡɛntʃɛtɐtɐ
аборигенчето	aboriɡɛntʃɛto
аборигенът	aboriɡɛnɐt
аборт	ɐbɔrt
абортивен	ɐbortivɛn
абортирам	ɐbɔrtirɐm
абортиране	abortirɐnɛ
абортирането	abortirɐnɛto
абортирания	abortirɐnijɐ
абортиранията	abortirɐnijɐtɐ
абразив	ɐbrɐzif
абразивен	ɐbrɐzivɛn
абразивна	abrɐzivnɐ
абразивната	abrɐzivnɐtɐ
абразивни	abrɐzivni
абразивните	abrɐzivnitɛ
абразивния	abrɐzivnijɐ
абразивният	abrɐzivnijɐt
абразивно	abrɐzivno
абразивното	abrɐzivnoto
абразии	abrazii
абразиите	abraziitɛ
абразийо	abrazijo̟
абразия	abrazijɐ
абразията	abrazijɐtɐ
абраш	ɐbraʃ
абревиатура	abrɛviɐturɐ
абревиатурата	abrɛviɐturɐtɐ
абревиатури	abrɛviɐturi
абревиатурите	abrɛviɐturitɛ
абревиатуро	abrɛviɐturo
абревиационен	ɐbrɛviɐtsiɔnɛn
абревиация	ɐbrɛviatsijɐ
абрихт	abrixt
абсент	ɐpsɛnt
абсолвент	ɐpsoɫvɛnt
абсолвента	apsoɫvɛntɐ
абсолвенте	apsoɫvɛntɛ
абсолвенти	apsoɫvɛnti
абсолвентите	apsoɫvɛntitɛ
абсолвентка	apsoɫvɛntkɐ
абсолвентката	apsoɫvɛntkɐtɐ
абсолвентки	apsoɫvɛntki
абсолвентките	apsoɫvɛntkitɛ
абсолвентко	apsoɫvɛntko
абсолвентска	apsoɫvɛntskɐ
абсолвентската	apsoɫvɛntskɐtɐ
абсолвентски	apsoɫvɛntski
абсолвентските	apsoɫvɛntskitɛ
абсолвентския	apsoɫvɛntskijɐ
абсолвентският	apsoɫvɛntskijɐt
абсолвентско	apsoɫvɛntsko
абсолвентското	apsoɫvɛntskoto
абсолвентът	apsoɫvɛntɐt
абсолвирам	ɐpsoɫvirɐm
абсолют	ɐpsolʲu̟t
абсолютен	ɐpsolʲu̟tɛn
абсолютизиране	apsolʲo̟tizirɐnɛ
абсолютизирането	apsolʲo̟tizirɐnɛto
абсолютизирания	apsolʲo̟tizirɐnijɐ
абсолютизиранията	apsolʲo̟tizirɐnijɐtɐ
абсолютизъм	ɐpsolʲo̟tizɐm
абсолютна	apsolʲu̟tnɐ
абсолютната	apsolʲu̟tnɐtɐ
абсолютни	apsolʲu̟tni
абсолютните	apsolʲu̟tnitɛ
абсолютния	apsolʲu̟tnijɐ
абсолютният	apsolʲu̟tnijɐt
абсолютно	ɐpsolʲu̟tno
абсолютност	ɐpsolʲu̟tnost
абсолютното	apsolʲu̟tnoto
абсорбент	ɐpsorbɛnt
абсорбер	ɐpsɔrbɛr
абсорбира	apsorbirɐ
абсорбирай	apsorbirɐj
абсорбирайки	apsorbirɐjki
абсорбирайте	apsorbirɐjtɛ
абсорбирал	apsorbirɐɫ
абсорбирала	apsorbirɐɫɐ
абсорбиралата	apsorbirɐɫɐtɐ
абсорбирали	apsorbirɐli
абсорбиралите	apsorbirɐlitɛ
абсорбиралия	apsorbirɐlijɐ
абсорбиралият	apsorbirɐlijɐt
абсорбирало	apsorbirɐɫo
абсорбиралото	apsorbirɐɫoto
абсорбирам	ɐpsorbirɐm
абсорбираме	apsorbirɐmɛ
абсорбиран	apsorbirɐn
абсорбирана	apsorbirɐnɐ
абсорбираната	apsorbirɐnɐtɐ
абсорбиране	ɐpsorbirɐnɛ
абсорбиранета	apsorbirɐnɛtɐ
абсорбиранетата	apsorbirɐnɛtɐtɐ
абсорбирани	apsorbirɐni
абсорбираните	apsorbirɐnitɛ
абсорбирания	ɐpsorbirɐnijɐ
абсорбираният	apsorbirɐnijɐt
абсорбирано	apsorbirɐno
абсорбираното	apsorbirɐnoto
абсорбират	apsorbirɐt
абсорбирате	apsorbirɐtɛ
абсорбирах	apsorbirɐx
абсорбираха	apsorbirɐxɐ
абсорбирахме	apsorbirɐxmɛ
абсорбирахте	apsorbirɐxtɛ
абсорбираш	apsorbirɐʃ
абсорбираше	apsorbirɐʃɛ
абсорбиращ	apsorbirɐʃt
абсорбираща	apsorbirɐʃtɐ
абсорбиращата	apsorbirɐʃtɐtɐ
абсорбиращи	apsorbirɐʃti
абсорбиращите	apsorbirɐʃtitɛ
абсорбиращия	apsorbirɐʃtijɐ
абсорбиращият	apsorbirɐʃtijɐt
абсорбиращо	apsorbirɐʃto
абсорбиращото	apsorbirɐʃtoto
абсорбция	ɐpsɔrptsijɐ
абстрактен	ɐpstraktɛn
абстрактна	apstraktnɐ
абстрактната	apstraktnɐtɐ
абстрактни	apstraktni
абстрактните	apstraktnitɛ
абстрактния	apstraktnijɐ
абстрактният	apstraktnijɐt
абстрактно	apstraktno
абстрактност	ɐpstraktnost
абстрактното	apstraktnoto
абстракционизъм	ɐpstrɐktsionizɐm
абстракционист	ɐpstrɐktsionist
абстракционистичен	ɐpstrɐktsionistitʃɛn
абстракционистка	ɐpstrɐktsionist
абстракционистки	ɐpstrɐktsioniski
абстракция	ɐpstraktsijɐ
абстрахирам	ɐpstrɐxirɐm
абсурд	ɐpsurt
абсурден	ɐpsurdɛn
абсурдна	apsurdnɐ
абсурдната	apsurdnɐtɐ
абсурдни	apsurdni
абсурдните	apsurdnitɛ
абсурдния	apsurdnijɐ
абсурдният	apsurdnijɐt
абсурдно	apsurdno
абсурдност	ɐpsurdnost
абсурдното	apsurdnoto
абсцес	ɐpstsɛs
абсциса	ɐpstsisɐ
абсцисен	ɐpstsisɛn
абуд	abot
абуд	ɐbut
абхазка	apxaskɐ
абхазката	apxaskɐtɐ
абхазки	apxaski
абхазките	apxaskitɛ
абхазкия	apxaskijɐ
абхазкият	apxaskijɐt
абхазко	apxasko
абхазкото	apxaskoto
абъд	abɐt
абъд	ɐbɤt
авангард	ɐvɐŋɡart
авангарден	ɐvɐŋɡardɛn
авангардизъм	ɐvɐŋɡɐrdizɐm
авангардист	ɐvɐŋɡɐrdist
авангардистки	ɐvɐŋɡɐrdiski
авангардна	avɐŋɡardnɐ
авангардната	avɐŋɡardnɐtɐ
авангардни	ɐvɐŋɡardni
авангардните	avɐŋɡardnitɛ
авангардния	avɐŋɡardnijɐ
авангардният	avɐŋɡardnijɐt
авангардно	avɐŋɡardno
авангардното	avɐŋɡardnoto
аванпост	ɐvanpɔst
аванс	ɐvans
авансира	avɐnsirɐ
авансирай	avɐnsirɐj
авансирайки	avɐnsirɐjki
авансирайте	avɐnsirɐjtɛ
авансирал	avɐnsirɐɫ
авансирала	avɐnsirɐɫɐ
авансиралата	avɐnsirɐɫɐtɐ
авансирали	avɐnsirɐli
авансиралите	avɐnsirɐlitɛ
авансиралия	avɐnsirɐlijɐ
авансиралият	avɐnsirɐlijɐt
авансирало	avɐnsirɐɫo
авансиралото	avɐnsirɐɫoto
авансирам	avɐnsirɐm
авансираме	avɐnsirɐmɛ
авансиран	avɐnsirɐn
авансирана	avɐnsirɐnɐ
авансираната	avɐnsirɐnɐtɐ
авансиране	avɐnsirɐnɛ
авансиранета	avɐnsirɐnɛtɐ
авансиранетата	avɐnsirɐnɛtɐtɐ
авансирането	avɐnsirɐnɛto
авансирани	avɐnsirɐni
авансираните	avɐnsirɐnitɛ
авансирания	avɐnsirɐnijɐ
авансираният	avɐnsirɐnijɐt
авансиранията	avɐnsirɐnijɐtɐ
авансирано	avɐnsirɐno
авансираното	avɐnsirɐnoto
