-am	ɔːm
abasár	ɒbɒʃaːr
abaújlak	ɒbɒuːjlɒk
abaújszántó	ɒbɒuːjsaːntoː
abba	abːa
abba	ɒbːɒ
abba	ˈɑbːa
abbahagy	ɒbːɒhɒɟ
abbahagyhatod	ɒbːɒhɒɟhɒtod
abbahagyja	ɒbːɒhɒɟjɒ
abbahagyjuk	ɒbːɒhɒɟuk
abbahagyják	ɒbːɒhɒɟːɒk
abbahagyni	abɒɦɒɟni
abbahagyni	ɒbːɒhɒɟni
abbahagynád	ɒbːɒhɒɟɒnɒd
abbahagynátok	ɒbːɒhɒɟːɒnɒtok
abbahagyod	ɒbːɒhɒɟɒd
abbahagyom	ɒbːɒhɒɟom
abbahagyta	ɒbːɒhɒɟtɒ
abbahagytad	ɒbːɒhɒɟtɒd
abbahagytam	ɒbːɒhɒɟtɒm
abbahagytuk	ɒbːɒhɒɟtuk
abbahagyták	ɒbːɒhɒɟtaːk
abbahagyás	ˈɒbːɒhɒɟaːʃ
abbamarad	ɑːbɑmarɑd
abbamarad	ɒbːɒmɒrɒd
abbamaradt	ɒbːɒmɒrɒt
abban	æbːɑn
abban	ɒbːɒn
abbas	ɒbːɒʃ
abbeli	ɒbːɛli
abbey	ɒbɛj
abbie	ɒbːi
abbizony	ɒbbizonʲa
abbott	ɒbːot
abbs	ɒbːs
abby	ɒbi
abbynek	ɒbːɛnɛk
abbyt	ɒbːjt
abbyvel	ɒbːvɛl
abbázia	ɒbːaːzijɒ
abbé	obbe
abbé	ɒbːeː
abbéli	abeːlɪ
abból	apbɔːl
abból	ɒboːl
abból	ɒbːoːl
abcúgol	aptsuːgɔl
abda	ɒbdɒ
abdominális	ɒbdominaːliʃ
abdominálisan	ɒbdominaːliʃɒn
abdul	ɒbdul
abe	ɒbɛ
abed	ɒbɛd
abel	ɒbɛl
abenaki	abɛnɑki
aberrációk	ɒbɛrːaːtsijoːk
abesszin	ɒbɛsːin
abesszínia	ɒbeːsːiːnia
abház	ɒphaːz
abházok	ɒphaːzok
abi	ɒbi
abigail	ɒbigɒj
abigél	ɒbigeːl
abiogenezis	aːbiogɛnɛziʃ
abiogén	ɒbijogeːn
abiogén	ɒbjɒʊgeːn
abiotikus	ɒbijotikuʃ
abiáta	ɒbiːɒːtɒ
ablak	ɑblɑk
ablak	ɑblɑq
ablak	ɒblɒk
ablaka	ablɑka
ablaka	ɒblɒkɒ
ablakai	ɒblɒkɒji
ablakaid	ɒblɒkɒjid
ablakaik	ɒblɒkɒjik
ablakaim	ɒblɒkɒjim
ablakaink	ɒblɒkɒjiŋk
ablakaitok	ɒblɒkɒjitok
ablakba	ɒblɒgbɒ
ablakban	ɒblɒgbɒn
ablakban	ɒblɒkbɒn
ablakborda	ɒblɒkbɔrda
ablakból	ɒblɒgboːl
ablakból	ɒblɒkboːl
ablakcsa	ɒblɒktʃɒ
ablakdeszka	ɒblɒgdɛskɒ
ablakdeszkák	ɒblɒgdɛskaːk
ablakdeszkákat	ɒblɒgdɛskaːkɒt
ablakdeszkát	ɒblɒgdɛskaːt
ablakemelő	ɒblɒkɛnɛløː
ablakfa	ablakva
ablakfa	aːblaːkfa
ablakfüggöny	ɒblɒkfygːøɲ
ablakfülke	ablɑkfiːlkɛ
ablakhoz	ɒblɒkhoz
ablakhoz	ɒblɒkɒz
ablakig	ɒblɒkig
ablakkal	ɒblɒkːɒl
ablakkeret	aːblɒkkɛrɛt
ablakkeret	ɒblɒkkɛrɛtː
ablakkitámasztó	aːblɒkkiːtaːmɒstoː
ablakká	ɒblɒkːaː
ablakként	ɒblɒkːeːnt
ablakköz	aːblokkøz
ablakmélyedés	ɒblɒkmeːjjɛdeːʃ
ablaknak	ɒblɒknɒk
ablaknál	ɒblɒknaːl
ablaknál	ɒblɒknɒːl
ablakocska	ɔblɑkɔtʃka
ablakod	ɒblɒkod
ablakok	ɑblɑkok
ablakok	ɒblɒkok
ablakok	ɒblɒkɒk
ablakokat	ablakokat
ablakokat	ɑmblɑkokat
ablakokat	ɒblɒkokɒt
ablakokat	ɒblɒkɒkɒt
ablakokba	ɒblɒkogbɒ
ablakokban	ɒblɒkogbɒn
ablakokból	ɒblɒkogboːl
ablakokhoz	ɒblɒkokhoz
ablakokig	ɒblɒkokig
ablakokkal	ɒblɒkokːɒl
ablakokká	ɒblɒkokːaː
ablakokként	ɒblɒkokːeːnt
ablakoknak	ɒblɒkoknɒk
ablakoknál	ɒblɒkoknaːl
ablakokon	ɒblɒkokon
ablakokra	ɒblɒkokrɒ
ablakokról	ɒblɒkokroːl
ablakoktól	ɒblɒkoktoːl
ablakokért	ɒblɒkokeːrt
ablakom	ɒblɒkom
ablakomat	ɒblɒkomɒt
ablakomba	ɒblɒkombɒ
ablakomba	ɒːblɒkombɒ
ablakomban	ɒblɒkombɒn
ablakomig	ɒblɒkomig
ablakommal	ɒblɒkomːɒl
ablakomnak	ɒblɒkomnɒk
ablakomon	ɒblɒkomon
ablakon	ɒblɒkon
ablakos	ˈablɑkɔʃ
ablakot	ɒblɒkot
ablakotok	ɒblɒkotok
ablakoz	ablakaz
ablakpárkány	ɒblɒkpaːrkaːɲ
ablakpárkány	ɒblɒpːaːɾkaːɲ
ablakpárkánya	ɒblɒkpaːrkaːɲɒ
ablakpárkányai	ɒblɒkpaːrkaːɲɒji
ablakpárkányaid	ɒblɒkpaːrkaːɲɒjid
ablakpárkányaik	ɒblɒkpaːrkaːɲɒjik
ablakpárkányaim	ɒblɒkpaːrkaːɲɒjim
ablakpárkányaink	ɒblɒkpaːrkaːɲɒjiŋk
ablakpárkányaitok	ɒblɒkpaːrkaːɲɒjitok
ablakpárkánynak	ɒblɒkpaːrkaːɲnɒk
ablakpárkányod	ɒblɒkpaːrkaːɲod
ablakpárkányok	ɒblɒkpaːrkaːɲok
ablakpárkányokat	ɒblɒkpaːrkaːɲokɒt
ablakpárkányoknak	ɒblɒkpaːrkaːɲoknɒk
ablakpárkányom	ɒblɒkpaːrkaːɲom
ablakpárkányotok	ɒblɒkpaːrkaːɲotok
ablakpárkányt	ɒblɒkpaːrkaːɲt
ablakpárkányuk	ɒblɒkpaːrkaːɲuk
ablakpárkányunk	ɒblɒkpaːrkaːɲuŋk
ablakra	ɒblɒkrɒ
ablakredőny	aːblokrɛdøɲ
ablakrostély	aːβlɑkroʃteːj
ablakrács	aːblokraːtʃ
ablakráma	ablakrɛma
ablakráma	oblokraːmɔ
ablakról	ɒblɒkroːl
ablaksor	ablakʃor
ablakszem	aːbloksɛm
ablakszárny	ɒblɒksaːɲ
ablaktalan	abloktalan
ablaktalan	ɒblɒktɒlɒn
ablaktalanság	ɒblɒktɒlɒnʃaːg
ablaktól	ɒblɒktoːl
ablaktörlő	ɒblɒktørløː
ablaktörlők	ɒblɒktørløːk
ablaktörlőket	ɒblɒktørløːkɛt
ablaktörlőt	ɒblɒktørløːt
ablakuk	ɒblɒkuk
ablakunk	ɒblɒkuŋk
ablakán	ɒblɒkaːn
ablakát	ɒblɒkaːt
ablakát	ɒblɒkɒt
ablaké	ɒblɒkeː
ablakért	ɒblɒkeːrt
ablakú	ablaku
ablakú	ɒblɒkuː
ablakülés	ɒblɒkylˈeːʃ
ablaküveg	ɒblɒkvɛg
ablaküveg	ɒblɒkyvɛg
ablaküvegek	ɒblɒkyvɛgɛk
ablativus	ɒblɒtiːvuʃ
ablaut	ɒblɒut
abnegáció	ɒbnɛgatioː
abnormális	ɒbnormaːliʃ
abnormális	ɒbnorˈmoːliʃ
abnormális	ɒbnoːrmaːliʃ
abnormális	ɒbˈnɔrmaːliʃ
abnormálisabb	ɒbnormaːliʃɒbː
abod	abod
abodi	ɒbodi
abolicionizmus	abɑlitsiɔnizmuʃ
abolicionizmust	ɒboːliːtioːniːsmuʃt
abony	ɒboɲ
abordál	abɔrdaːl
abortusz	aːbortus
abortusz	ɒbortus
abortuszellenes	ɒːbɔrtʊsɛlːɛnɛs
abortuszklinika	aːbortusklinika
abortuszklinika	ɒbortusklinikɒ
abortuszok	ɒbortusok
abortuszokat	ɒbortusokɒt
abortuszpárti	abɔrtʊspɛrti
abortuszra	ɒbortusrɒ
abortuszt	ɒbortust
abortusztabletta	ɒbortustɒblɛtːɒ
abortusztörvény	ɒbortustørveːɲ
abortál	ɒbortaːl
abortál	ɢɒːboɾdɑːl
abortálás	ɒbortaːlaːʃ
abortív	ɒbortiːv
abortőr	abɔrtɛr
abortőr	ɒbortøːr
aborális	aːboraːlɪʃ
about	ɒbut
abraham	ɒbrɒxɒm
abrak	ɑbrap
abrak	ɒbrɒk
abrakadabra	abrakadabra
abrakadabra	ɒbrɒkɒdɒbrɒ
abrakok	ɒbrɒkok
abrakon	ɒbrɒkon
abrakostarisznya	ɒbrɒkɔʃtɒrisɲɒ
abrakot	ɒbrɒkot
abraktakarmány	ɒbrɒktaːkɒrmaːɲ
abraktakarmány	ɒbˈrɒktɒˈkɒrmaːɲ
abrams	ɒbrɒms
abroncs	ɒbrontʃ
abroncs	ɔbrontʃ
abroncsnyomás	ɒbrontʃɲomaːʃ
abroncsok	ɒbrontʃok
abroncsokat	ɒbrontʃokɒt
abroncsos	ɦɑbɾonʧoʃ
abroncsot	ɒbrontʃot
abrosz	ɑbrɔs
abrosz	ɒbros
abrosz	ɔbrɔs
abrosza	ɒbrosɒ
abroszaid	ɒbrosɒjid
abroszaik	ɒbrosɒjik
abroszaim	ɒbrosɒjim
abroszaink	ɒbrosɒjiŋk
abroszaitok	ɒbrosɒjitok
abroszod	ɒbrosod
abroszok	ɒbrosok
abroszokat	ɒbrosokɒt
abroszom	ɒbrosom
abroszotok	ɒbrosotok
abroszt	ɒbrost
abroszuk	ɒbrosuk
abroszunk	ɒbrosuŋk
abrázió	oβ̞ɾasil
abs	ɒbʃ
abszcisszája	opstsissaːjo
abszencia	ɔbsɛntsja
abszentizmus	apˈsendizmuʃ
abszentizmus	aːbsɛntizmuʃ
abszint	apsint
abszint	ɒpsint
abszintok	ɒpsintok
abszolutista	ɑːbsɔːlutiːʃta
abszolutizmus	ɒbsɒlutiːzmuʃ
abszolutizmus	ɒpsolutizmuʃ
abszolutizál	ɒbsolutizɛl
abszolutórium	ɒpsolutoːrijum
abszolutóriumok	ɒpsolutoːrijumok
abszolvál	aːbsuɫvaːl
abszolválás	ɒpsuɬvɒːlɒʃ
abszolút	absoːluː
abszolút	ɑbsɔluːt
abszolútabb	ɒpsoluːtɒbː
abszolúte	ɒpsoluteː
abszorbeál	aːbsuɾbɛaːl
absztrahál	opstrohaːl
absztrakció	ɒpstrɒktsijoː
absztrakciók	ɒpstrɒktsijoːk
absztrakt	apstraːv
absztrakt	obstɾɑːkt
absztrakt	ˈɒpstɾɒkt
absztraktabb	ɒpstrɒktɒbː
absztraktok	ɒpstrɒktok
abszurd	ɒpsurd
abszurditás	ɒpsurditaːʃ
abszurditások	ɒpsurditaːʃok
abszurdum	ɒpsurdum
abszurdum	ˈɒpsurdum
abszurdumok	ɒpsurdumok
abu	ɒbu
abugida	abugitɑ
abádszalók	ɒbaːtsɒloːk
abádszalók	ɒbaːtsːɒloːk
abál	ɒbaːl
abál	ɔbaːl
abál	ˈɒbaːl
abált	aːbaːlt
abán	ɒbaːn
abárol	aːbaːrol
abát	ɒbaːt
abúzus	abuzuʃ
acat	ɢɒtsɒt
acenokumarol	aːtsɛnokumarol
acerola	atsɛrola
acetazolamid	ɒtsɒtɒzolɒmiːd
acetilén	ɒtsɛtileːn
aceton	ɑtsɛtun
aceton	ɒtsɛton
aceton	ɒtsɛtɔn
acetonba	ɒtsɛtombɒ
acetonból	ɒtsɛtomboːl
acetonhoz	ɒtsɛtonɦoz
acetonig	ɒtsɛtonig
acetonja	ɒtsɛtoɲːɒ
acetonjai	ɒtsɛtoɲːɒji
acetonjaid	ɒtsɛtoɲːɒjid
acetonjaik	ɒtsɛtoɲːɒjik
acetonjaim	ɒtsɛtoɲːɒjim
acetonjaitok	ɒtsɛtoɲːɒjitok
acetonjuk	ɒtsɛtoɲːuk
acetonként	ɒtsɛtoŋkeːnt
acetonnak	ɒtsɛtonːɒk
acetonnal	ɒtsɛtonːɒl
acetonná	ɒtsɛtonːaː
acetonnál	ɒtsɛtonːaːl
acetonod	ɒtsɛtonod
acetonok	ɒtsɛtonok
acetonokba	ɒtsɛtonogbɒ
acetonokban	ɒtsɛtonogbɒn
acetonokból	ɒtsɛtonogboːl
acetonokhoz	ɒtsɛtonokhoz
acetonokig	ɒtsɛtonokig
acetonokkal	ɒtsɛtonokːɒl
acetonokként	ɒtsɛtonokːeːnt
acetonoknál	ɒtsɛtonoknaːl
acetonokon	ɒtsɛtonokon
acetonokra	ɒtsɛtonokrɒ
acetonokról	ɒtsɛtonokroːl
acetonoktól	ɒtsɛtonoktoːl
acetonom	ɒtsɛtonom
acetonról	ɒtsɛtonroːl
acetontól	ɒtsɛtontoːl
acetonunk	ɒtsɛtonuŋk
acetonért	ɒtsɛtoneːrt
achát	ɑxɛd
achát	ɒɦaːt
achátok	ɒɦaːtok
achátszürke	aːhaːtsyrkɛ
aciditás	aːtiːdiːtaːʃ
aciditás	ɒtsiditaːʃ
aciditások	ɒtsiditaːʃok
acidózis	atidoːziʃ
aciklovir	atsiklovir
ackerman	ɒkɛrmɒn
acsalag	aːtʃɒlɒg
acsalapu	aːtʃolɒpu
acsarkodik	atʃaːrkoːdiːk
acsarog	aːtʃorog
acsoli	ʔɑtʃoːle
acsongat	atʃoːngot
action	ɒtʃiɔn
acél	ɒtseːl
acélerős	ɒtseːlɛrøʃ
acélgyártás	ɒtseːlɟaːrtaːʃ
acélhengermű	atseːlhɛŋgɛrmi
acélhuzalos	ɒtseːlhuːzɒloʃ
acélkecske	ɒtseːlkɛtʃkɛ
acélkeret	aːteːlkɛrɛt
acélkék	ɒtseːlkeːk
acéllemez	ɒtseːlːɛmɛz
acéllemezek	ɒtseːlːɛmɛzɛk
acélmetszet	ɒtseːlmɛtsɛtː
acélmágnes	ɒtseːlmaːgnɛʃ
acélmágnesek	ɒtseːlmaːgnɛʃɛk
acélmű	aːteːɛmyː
acélmű	ɒseːlmyː
acélos	ɒtseːlos
acélosodik	aːtseːlɒʃoðik
acélosság	ɒtseːloʃːaːg
acélosít	aːtseːloːʃiːt
acéloz	ɒtseːloz
acélozott	ɒtseːloːzot
acélszürke	aːteːrsyrkɛ
acélszürke	ɒtseːlsyrkɛ
acéltuskó	atsɛːltuʃko
acélváros	ɒeːlvaːroʃ
acélvázas	ɒtseːlvaːzɒʃ
ad	ɒd
ada	ɒdɒ
adag	adɑːg
adag	ɒdɒg
adagok	ɒdɒgok
adagol	ɒdɒgol
adagol	ɒdɒgoːl
adagoló	ɒdɒgoloː
adagot	ɒdɒgot
adakozó	adakɔzu
adakozó	aðakuzu
adalind	ɒdɒlinɟ
adalék	ɒdɒleːt
adalékanyagok	ɒdɒleːkɒɲɒguk
adalékanyagot	ɒdɒleːkɒɲɒgotː
adalékként	aːdɒleːkkeːnt
adalékol	aːdaːleːkol
adalékolgat	aːdɒleːkɒlgaːt
adam	ɒdɒm
adama	ɒdɒmɒ
adamet	ɒdɒmɛt
adammel	ɒdɒmːɛl
adamnek	ɒdɒmɛk
adams	ɒdɒms
adandó	adodoː
adangme	aːdaːngmɛ
adaptáció	ɒdɒptaːtsijoː
adaptáció	ɒdɒptɒtioː
adaptációt	ɒdɒptɒtioːt
adaptív	ɑdɑptiv
adat	adat
adat	ɑːdɑːt
adat	ɒdɒt
adata	ɒdɒtɒ
adatai	atɔtoj
adatai	ɒdɒtɒji
adatainak	ɒdɒtɒjinɒk
adatait	ɑːdɑːtɑːʔiːd
adatait	ɒdɒtɒjit
adatba	ɒdɒdbɒ
adatban	ɒdɒdbɒn
adatbázis	ɒdɒdbaːziʃ
adatbázis	ɒdɒtbaːʒiʃ
adatbázis	ɒdɒtvaːziʃ
adatbázisba	ɒdɒtbaːʒiʃbɒ
adatbázisba	ɒːdɒdbaːziʒbɒ
adatbázisban	ɒdɒdbaːziʒbɒn
adatbázisban	ˈɒdɒtbaːʒisbɒn
adatbázisok	ɒdodbaːziʃok
adatbázisok	ɒdɒdbaːziʃok
adatbázisokat	ɒdɒdbaːʒiʃokˈkɒt
adatbázisokban	ɒdɒdbaːziʃogbɒn
adatbázissal	ɒdɒtbaːsisʃɒl
adatbázist	ɒdɒtbaːʒist
adatbázist	ɒːdɒdbaːziʃt
adatbázistervvel	ɒdɒtbaːziʃtɛrvɛl
adatbázisunkban	ɒdɒdbaːziʃuŋgbɒn
adatbázisában	ɒdɒtbaːziʃɒbɒn
adatból	ɒdɒdboːl
adatfeldolgozás	ɒdɒtfɛldolgozaːʃ
adatfeldolgozás	ɒdɒtːfɛldolgozaːʃ
adatfeldolgozások	ɒdɒtfɛldolgozaːʃok
adatfolyam	ɒdɒtfɔljɒm
adatgyűjtés	ɒdɒdɟyːjteːʃ
adathalmaz	pɒdɒthɒlmɒz
adathalászat	ɒdɒthɒlaːsɒt
adathalászat	ɒdɒtːhɒlaːsɒt
adathordozást	ɒdɒthordozɒʃt
adathordozó	ɑdɑthordozoː
adathoz	ɒdɒthoz
adathozzáférés	ɒdɒthɒtzaːfeːreːʃ
adatig	ɒdɒtig
adatik	aːdotik
adatik	ɒdɒtik
adatkapcsolat	aːdɒtkɒptʃɒlɒt
adatkezelés	ˈɒdɒtkɛzɛleːʃ
adatkocka	aðɒtkoːtskaː
adatkockával	ɒdɒtgɒtsgɒvɒl
adatként	ɒdɒtkeːnt
adatközlés	ɒdɒtˈkøzɬeːʃ
adatközlő	aːdatkøzløː
adatlap	atatˈlɑp
adatlap	ɒdɒtlɒp
adatlapjai	ɒdatlapjaj
adatlapjai	ɒdɒtlɒpjɒji
adatlapod	adɑtɬɑpɔd
adatlapok	ɒdɒtlɒpok
adatlapot	ɒdɒtlɒpɒt
adatlopás	aːdɒtlopaːʃ
adatmegjelenítés	ɒdɒtmɛgjɛlːɛniːteːʃ
adatnak	ɒdɒtnɒk
adatnál	ɒdɒtnaːl
adatok	adatok
adatok	ɒdɒtok
adatokat	ɒdɒtokɒt
adatokba	ɒdɒtogbɒ
adatokban	ɒdɒtogbɒn
adatokból	ɒdɒtogboːl
adatokhoz	ɒdɒtokhoz
adatokhoz	ɒdɒtokɔz
adatokig	ɒdɒtokig
adatokkal	ɒdɒtokːɒl
adatokká	ɒdɒtokːaː
adatokként	ɒdɒtokːeːnt
adatoknak	ɒdɒtoknɒk
adatoknál	ɒdɒtoknaːl
adatokon	ɒdɒtokon
adatokra	ɒdɒtokrɒ
adatokról	ɒdɒtokroːl
adatoktól	ɒdɒtoktoːl
adatokért	ɒdɒtokeːrt
adatom	ɒdɒtom
adaton	ɒdɒton
adatot	aːdaːtot
adatot	ɒdɒtot
adatott	ɒdɒtː
adatra	ɒdɒtrɒ
adatról	ɒdɒtroːl
adatrögzítő	ɒdɒtˈrøgziːtøː
adatszolgáltatás	ɒdɒtsulgɒltɒtaːʃ
adatszolgáltatással	ɒdɒtʃolgaːltaːtaːʃʃɒl
adatszótár	aːdɒtsoːtaːr
adattal	ɒdɒtːɒl
adattudós	ɒdɒtːudoːʃ
adattudósok	ɒdɒtːudoːʃok
adattá	ɒdɒtːaː
adattár	aðɔtːaːr
adattárház	ɒdɒtːaːrɦaːz
adattípus	ɒdɒtːeːpuʃ
adattípus	ɒdɒtːiːpuʃ
adattípusok	ɒdɒtːiːpuʃok
adattól	ɒdɒtːoːl
adatvédelem	ɒdɒtveːdɛlɛm
adatvédelmit	ˈɒdɒtveːdɛlmit
adatállomány	ɒdɒtaːlomaːɲ
adatállomány	ɒdɒtaːlːomaːɲ
adatállományok	ɒdɒtaːlːomaːɲok
adatátvitel	ɒdɒtaːtfiːtɛl
adatátvitel	ɒdɒtaːtvitɛl
adatátviteli	ɒdɒtaːtvikɛli
adatátviteli	ɒdɒtaːtvitɛli
adatért	ɒdɒteːrt
add	ɑt
add	ɒdː
addams	ɒdːɒmʃ
addie	ɒɟːi
addig	ɒdːig
addigi	adigɪ
addigi	otdigi
addigi	ɒdːigi
addiglan	otdɪgəlɔn
addiglan	ɒdːiglɒn
addigra	adɪgɾa
addigra	ɒdːigrɒ
addiktológia	ɒdiktoloːgiɒ
addiktológia	ɒdːiktoloːgijɒ
addiktológiát	aːdiktoloːgiɒt
addiktológus	aːddiktoloːguʃ
addiktológus	ɒdːiktoloːguʃ
addiktológusok	ɒdːiktoloːguʃok
addiktív	aːddɪktiːv
addison	ɒdːiʃon
addy	ɒdːi
ade	ɒdɛ
adekvát	ɒdɛkvaːlt
adekvát	ɒdɛkvaːt
adekvátabb	ɒdɛkvaːtɒbː
adelaide	ɒdɛlɒjdɛ
adele	ɒdɛlɛ
adelmár	aðˈlmaːr
adenin	ode˥˩ːnin
adeodát	odɛu̯daː
adeptus	ɑdɑptuʃ
adhat	ɑːtxɑːt
adhat	ɒdhɒt
adhatja	ɒdɦɒtjɒ
adhatjuk	ɒdɦɒtʃuk
adhatna	ɒdɦɒtnɒ
adhatnál	ɒdhɒtnaːl
adhatnánk	ɒdɦɒtnaːŋk
adhatnék	ɒdɦɒtneːk
adhatod	ɒdɦɒtod
adhatok	atɦɑt̪oː
adhatok	ɒdhɒtok
adhatom	atʃtom
adhatom	ɒdhɒtom
adhatott	ɒdɦɒtot
adhatsz	ɒdɒtʃ
adhatsz	ɒthɒtsː
adhattam	ɒdɦɒtːɒm
adhatunk	ɒdˈhɒtunk
adi	ɒdi
adige	adik
adios	ɒdjoʃ
aditya	ɒdiˈtijɒ
adj	odʒ
adj	ɒdʒ
adja	odʒo
adja	ɒɟɒ
adja	ɒɟːɒ
adjad	ɒɟːɒd
adjak	ɒɟɒk
adjak	ɒɟːɒk
adjalak	ɒɟːɒlɒk
adjam	ɒdʒɒm
adjam	ɒɟːɒm
adjanak	ɒdʝɒnɒk
adjanak	ɒɟːɒnɒk
adjatok	ɒdʝɒtok
adjatok	ɒɟːɒtok
adjisten	ɒɟːiʃtɛn
adjon	ɒdʝon
adjon	ɒɟːon
adjonisten	ɒɟːoniʃtɛn
adjuk	otjuk
adjuk	ɒdʝuk
adjuk	ɒɟːuk
adjunk	ɒdʝuŋk
adjunk	ɒɟːuŋk
adjunktus	ɒɟʒunktuʃ
adják	ɒdʝɒk
adják	ɒɟːaːk
adjál	aːdʒaːl
adjál	ɒgjaːl
adjál	ɒɟːaːl
adjátok	ɒdʒaːtok
adjátok	ɒɟːaːtok
adjátok	ˈɑɟːaːtok
adlak	ɒdlɒk
adler	ɒdlɛr
admin	ɒdmin
adminisztratív	ɑdminiʃtratiːv
adminisztratív	ɒdministrɒtiːv
adminisztráció	ɑdminiːstraːsiʊ
adminisztráció	ɒdministraːtsijoː
adminisztrációk	ɒdministraːtsijoːk
adminisztrációs	ɒdministɾaːtʃoːʃi
adminisztrál	ɒdministraːl
adminisztrál	ɔdminiːstraːl
adminisztrálás	ɒdmiːnistraːlaːʃ
adminisztrátor	ɒdministraːtor
adminisztrátor	ɒdmiːniːstraːtor
adminisztrátora	ɒdministraːtorɒ
adminisztrátornak	ɒdministraːtornɒk
adminisztrátorok	ɒdministraːtorok
adminisztrátorokat	ɒdministraːtorokɒt
adminisztrátorokkal	ɒdministraːtorokːɒl
adminisztrátorral	ɒdministraːtorːɒl
adminisztrátort	ɒdministraːtort
adminisztrátortól	ɒdministraːtortoːl
adminisztrátorát	ɒdministraːtoraːt
adminisztrátorával	admiːnistraːturaːvɒl
adminisztrátorával	ɒdministraːtoraːvɒl
adminok	ɒdminok
admirális	ɒdmiraːliʃ
admirális	ɒdmiɾaːliʃ
admirális	ˈɒdmiraːliʃ
admirális	ˈɒdmiɾaːliʃ
admirálisig	ɒdmiraːliʃig
admirálisként	ɒdmiraːliʃkeːnt
admirálisnak	ɒdmiraːliʃnɒk
admirálisok	ɒdmiraːliʃok
admirálisokat	ɒdmiraːliʃokɒt
admirálisokig	ɒdmiraːliʃokig
admirálisokkal	ɒdmiraːliʃokːɒl
admirálisokká	ɒdmiraːliʃokːaː
admirálisokként	ɒdmiraːliʃokːeːnt
admirálisoknak	ɒdmiraːliʃoknɒk
admirálisokért	ɒdmiraːliʃokeːrt
admirálissal	ɒdmiraːliʃːɒl
admirálissá	ɒdmiraːliʃːaː
admirálist	ɒdmiraːliʃt
admirálisért	ɒdmiraːliʃeːrt
admittanciák	ɒdmitːɒntsijaːk
adna	adna
adna	ɒdnɒ
adnak	ɒdnɒk
adni	adni
adni	ɒdni
adnia	ɒdnijɒ
adnia	ɒdniɒ
adnia	ɔdnia
adniuk	ɒdnijuk
adniuk	ɒdɲuk
adnod	ɒdnod
adnod	ɒdnoːd
adnom	ɒdnom
adnotok	ɒdnotok
adnunk	ɒdnuŋk
adná	ɒdnaː
adnád	ɒdnaːd
adnák	ɒdnaːk
adnál	ɒdnaːl
adnálak	ɒdnaːlɒk
adnám	ɒdnaːm
adnának	ɒdnaːnɒk
adnánk	ɒdnaːŋk
adnátok	ɒdnaːtok
adnék	otneɪk
