00-ig	ɒːg
4-én	ɛn
4-es	ɛs
4-et	ɛt
4-ig	ɒːrig
4-kor	ˈkɔr
4-re	ɾɛ
500-at	ˈdʏzøt
50-es	ˈʃɒmˌʃɒm
50-et	ˈøt
51-es	ˈeːs
5-én	ˈseːn
5-ig	ɪg
5-kor	ˈʃɒm
5-ös	ˈøs
5-öt	øt
5-re	ˈʃɑmːɒr
60-as	ˈhɒɟɒʃ
61-es	ˈɛsɛs
6-án	ˈʝaːn
6-ig	ˈʃɛgi
6-kor	ʃɒkɒr
6-os	ʃoːs
6-ra	ʃɒrɒ
70-es	ˈsɛmˌɛʃ
7-én	ˈzeːneːn
7-es	ˈseːs
7-kor	ˈsɛkɔr
7-re	ˈzɛre
80-as	ˈɒs
81-es	ˈɛsɛs
8-án	ˈɔːn
8-as	ɒʃ
8-kor	ɒkɒr
8-ra	ɒrɒ
90-es	ˈneːʃ
911-es	ˈnɛlhɒndzɒr
911-et	ˈnɛlhɒndzɒr
99-es	ˈɛsɛs
9-es	neːʃ
9-kor	ˈnɒkɔr
9-re	neːre
a	aː
á	aː
à	aː
ááá	aː
áááá	ɒːɒː
aaa	ɒː
aaah	ɒː
a-a	ɒː
aa	ɒː
áá	ɒː
aachen	aːɦɛn
aah	ɒː
aang	ɒːŋ
aaron	ɒːron
a	ɒ
a-	ɒ
á	ɒ
a	ɒː
á	ɒː
aba	ɒbɒ
ábádán	aːbaːdaːn
abádszalók	ɒbaːtsːɒloːk
abajgat	ɒbɒjgɒt
abakteriális	ɒbɒktɛrijaːliʃ
abakusszá	ɒbɒkusːaː
abakusszal	ɒbɒkusːɒl
abakusza	ɒbɒkusɒ
abakuszai	ɒbɒkusɒji
abakuszaid	ɒbɒkusɒjid
abakuszaik	ɒbɒkusɒjik
abakuszaim	ɒbɒkusɒjim
abakuszaink	ɒbɒkusɒjiŋk
abakuszaitok	ɒbɒkusɒjitok
abakusz	ɒbɒkus
abakuszba	ɒbɒkuzbɒ
abakuszban	ɒbɒkuzbɒn
abakuszból	ɒbɒkuzboːl
abakuszért	ɒbɒkuseːrt
abakuszhoz	ɒbɒkushoz
abakuszig	ɒbɒkusig
abakuszként	ɒbɒkuskeːnt
abakusznak	ɒbɒkusnɒk
abakusznál	ɒbɒkusnaːl
abakuszod	ɒbɒkusod
abakuszokat	ɒbɒkusokɒt
abakuszok	ɒbɒkusok
abakuszokba	ɒbɒkusogbɒ
abakuszokban	ɒbɒkusogbɒn
abakuszokból	ɒbɒkusogboːl
abakuszokért	ɒbɒkusokeːrt
abakuszokhoz	ɒbɒkusokhoz
abakuszokig	ɒbɒkusokig
abakuszokká	ɒbɒkusokːaː
abakuszokkal	ɒbɒkusokːɒl
abakuszokként	ɒbɒkusokːeːnt
abakuszoknak	ɒbɒkusoknɒk
abakuszoknál	ɒbɒkusoknaːl
abakuszokon	ɒbɒkusokon
abakuszokra	ɒbɒkusokrɒ
abakuszokról	ɒbɒkusokroːl
abakuszoktól	ɒbɒkusoktoːl
abakuszom	ɒbɒkusom
abakuszon	ɒbɒkuson
abakuszotok	ɒbɒkusotok
abakuszra	ɒbɒkusrɒ
abakuszról	ɒbɒkusroːl
abakuszt	ɒbɒkust
abakusztól	ɒbɒkustoːl
abakuszuk	ɒbɒkusuk
abakuszunk	ɒbɒkusuŋk
abál	ɒbaːl
abaliget	ɒbɒligɛt
abán	ɒbaːn
abasár	ɒbɒʃaːr
abát	ɒbaːt
abaújlak	ɒbɒuːjlɒk
abaújszántó	ɒbɒuːjsaːntoː
ab	ɒb
abba	ɒbːɒ
abbahagy	ɒbːɒhɒɟ
abbahagyhatod	ɒbːɒhɒɟhɒtod
abbahagyja	ɒbːɒhɒɟjɒ
abbahagyják	ɒbːɒhɒɟːɒk
abbahagyjuk	ɒbːɒhɒɟuk
abbahagyná	ɒbːɒhɒɟːɒnɒː
abbahagynád	ɒbːɒhɒɟɒnɒd
abbahagynátok	ɒbːɒhɒɟːɒnɒtok
abbahagyni	ɒbːɒhɒɟni
abbahagyod	ɒbːɒhɒɟɒd
abbahagyom	ɒbːɒhɒɟom
abbahagyta	ɒbːɒhɒɟtɒ
abbahagytad	ɒbːɒhɒɟtɒd
abbahagyták	ɒbːɒhɒɟtaːk
abbahagytam	ɒbːɒhɒɟtɒm
abbahagytuk	ɒbːɒhɒɟtuk
abbamarad	ɒbːɒmɒrɒd
abbamaradt	ɒbːɒmɒrɒt
abban	ɒbːɒn
abbas	ɒbːɒʃ
abbázia	ɒbːaːzijɒ
abbé	ɒbːeː
abbeli	ɒbːɛli
abbey	ɒbɛj
abbie	ɒbːi
abból	ɒbːoːl
abból	ɒboːl
abbott	ɒbːot
abbs	ɒbːs
abby	ɒbi
abbynek	ɒbːɛnɛk
abbyt	ɒbːjt
abbyvel	ɒbːvɛl
abc	ɒbʃ
abcúg	ɒptsuːg
abda	ɒbdɒ
abdominálisan	ɒbdominaːliʃɒn
abdominális	ɒbdominaːliʃ
abdul	ɒbdul
abe	ɒbɛ
ábécé	ˈaːbeːtseː
ábécé	aːbeːtseː
ábécéje	aːbeːtseːjɛ
ábécék	aːbeːtseːk
ábécérend	aːbeːtseːrɛnd
ábécérendbe	aːbeːtseːrɛndbɛ
ábécéskönyv	aːbeːtseːʃkøɲv
ábécésorrend	aːbeːtseːʃorːɛnd
ábécésorrendbe	aːbeːtseːʃorːɛndbɛ
ábécét	aːbeːtseːt
abed	ɒbɛd
ábel	aːbɛl
abel	ɒbɛl
aberráció	ɒbɛrːaːtsijoː
aberrációk	ɒbɛrːaːtsijoːk
abesszin	ɒbɛsːin
abház	ɒphaːz
abházia	ɒphaːzijɒ
abházok	ɒphaːzok
abi	ɒbi
abigail	ɒbigɒj
abigél	ɒbigeːl
abiogén	ɒbijogeːn
abiotikus	ɒbijotikuʃ
ablaka	ɒblɒkɒ
ablakai	ɒblɒkɒji
ablakaid	ɒblɒkɒjid
ablakaik	ɒblɒkɒjik
ablakaim	ɒblɒkɒjim
ablakaink	ɒblɒkɒjiŋk
ablakaitok	ɒblɒkɒjitok
ablakán	ɒblɒkaːn
ablakát	ɒblɒkaːt
ablakát	ɒblɒkɒt
ablak	ɒblɒk
ablakba	ɒblɒgbɒ
ablakban	ɒblɒgbɒn
ablakban	ɒblɒkbɒn
ablakból	ɒblɒgboːl
ablakból	ɒblɒkboːl
ablakcsa	ɒblɒktʃɒ
ablakdeszka	ɒblɒgdɛskɒ
ablakdeszkákat	ɒblɒgdɛskaːkɒt
ablakdeszkák	ɒblɒgdɛskaːk
ablakdeszkát	ɒblɒgdɛskaːt
ablaké	ɒblɒkeː
ablakért	ɒblɒkeːrt
ablakhoz	ɒblɒkɒz
ablakhoz	ɒblɒkhoz
ablakig	ɒblɒkig
ablakká	ɒblɒkːaː
ablakkal	ɒblɒkːɒl
ablakként	ɒblɒkːeːnt
ablaknak	ɒblɒknɒk
ablaknál	ɒblɒknaːl
ablaknál	ɒblɒknɒːl
ablakod	ɒblɒkod
ablakokat	ɒblɒkɒkɒt
ablakokat	ɒblɒkokɒt
ablakok	ɒblɒkɒk
ablakok	ɒblɒkok
ablakokba	ɒblɒkogbɒ
ablakokban	ɒblɒkogbɒn
ablakokból	ɒblɒkogboːl
ablakokért	ɒblɒkokeːrt
ablakokhoz	ɒblɒkokhoz
ablakokig	ɒblɒkokig
ablakokká	ɒblɒkokːaː
ablakokkal	ɒblɒkokːɒl
ablakokként	ɒblɒkokːeːnt
ablakoknak	ɒblɒkoknɒk
ablakoknál	ɒblɒkoknaːl
ablakokon	ɒblɒkokon
ablakokra	ɒblɒkokrɒ
ablakokról	ɒblɒkokroːl
ablakoktól	ɒblɒkoktoːl
ablakomat	ɒblɒkomɒt
ablakom	ɒblɒkom
ablakomba	ɒblɒkombɒ
ablakomban	ɒblɒkombɒn
ablakomig	ɒblɒkomig
ablakommal	ɒblɒkomːɒl
ablakomnak	ɒblɒkomnɒk
ablakomon	ɒblɒkomon
ablakon	ɒblɒkon
ablakot	ɒblɒkot
ablakotok	ɒblɒkotok
ablakpárkánya	ɒblɒkpaːrkaːɲɒ
ablakpárkányai	ɒblɒkpaːrkaːɲɒji
ablakpárkányaid	ɒblɒkpaːrkaːɲɒjid
ablakpárkányaik	ɒblɒkpaːrkaːɲɒjik
ablakpárkányaim	ɒblɒkpaːrkaːɲɒjim
ablakpárkányaink	ɒblɒkpaːrkaːɲɒjiŋk
ablakpárkányaitok	ɒblɒkpaːrkaːɲɒjitok
ablakpárkány	ɒblɒkpaːrkaːɲ
ablakpárkánynak	ɒblɒkpaːrkaːɲnɒk
ablakpárkányod	ɒblɒkpaːrkaːɲod
ablakpárkányokat	ɒblɒkpaːrkaːɲokɒt
ablakpárkányok	ɒblɒkpaːrkaːɲok
ablakpárkányoknak	ɒblɒkpaːrkaːɲoknɒk
ablakpárkányom	ɒblɒkpaːrkaːɲom
ablakpárkányotok	ɒblɒkpaːrkaːɲotok
ablakpárkányt	ɒblɒkpaːrkaːɲt
ablakpárkányuk	ɒblɒkpaːrkaːɲuk
ablakpárkányunk	ɒblɒkpaːrkaːɲuŋk
ablakra	ɒblɒkrɒ
ablakról	ɒblɒkroːl
ablaktalan	ɒblɒktɒlɒn
ablaktalanság	ɒblɒktɒlɒnʃaːg
ablaktól	ɒblɒktoːl
ablaktörlő	ɒblɒktørløː
ablaktörlők	ɒblɒktørløːk
ablaktörlőket	ɒblɒktørløːkɛt
ablaktörlőt	ɒblɒktørløːt
ablakú	ɒblɒkuː
ablakuk	ɒblɒkuk
ablakunk	ɒblɒkuŋk
ablaküveg	ɒblɒkyvɛg
ablaküvegek	ɒblɒkyvɛgɛk
ablativus	ɒblɒtiːvus
ablaut	ɒblɒut
abnormálisabb	ɒbnormaːliʃɒbː
abnormális	ɒbnormaːliʃ
abnormális	ɒbnorˈmoːliʃ
abodi	ɒbodi
abony	ɒboɲ
abortálás	ɒbortaːlaːʃ
abortál	ɒbortaːl
abortív	ɒbortiːv
abortőr	ɒbortøːr
abortusz	ɒbortus
abortuszklinika	ɒbortusklinikɒ
abortuszokat	ɒbortusokɒt
abortuszok	ɒbortusok
abortuszra	ɒbortusrɒ
abortusztabletta	ɒbortustɒblɛtːɒ
abortuszt	ɒbortust
abortusztörvény	ɒbortustørveːɲ
about	ɒbut
ábra	aːbrɒ
ábra	ɒbrɒ
ábráért	aːbraːjeːrt
ábrahám	aːbrɒɦaːm
ábrahám	ɒbrɒhɒm
abraham	ɒbrɒxɒm
ábrahámhegy	aːbrɒɦaːmɦɛɟ
ábrahámot	aːbrɒɦaːmot
ábrajegyzék	aːbrɒjɛɟzeːk
ábrák	aːbraːk
abrakadabra	ɒbrɒkɒdɒbrɒ
ábrákat	aːbraːkɒt
abrak	ɒbrɒk
ábrákért	aːbraːkeːrt
ábrákkal	aːbraːkːɒl
ábráknak	aːbraːknɒk
abrakok	ɒbrɒkok
ábrákon	aːbraːkon
abrakon	ɒbrɒkon
abrakot	ɒbrɒkot
abrams	ɒbrɒms
ábrán	aːbraːn
ábrának	aːbraːnɒk
ábránd	aːbraːnd
ábránd	ɒbrɒnd
ábrándok	aːbraːndok
ábrándokat	aːbraːndokɒt
ábrándot	aːbraːndot
ábrándozik	aːbraːndozik
ábrándvilág	aːbraːndvilaːg
ábrándvilágok	aːbraːndvilaːgok
ábrándvilágot	aːbraːndvilaːgot
ábrát	aːbraːt
ábrával	aːbraːvɒl
ábráz	aːbraːz
ábrázat	aːbraːzɒt
ábrázatok	aːbraːzɒtok
ábrázatot	aːbraːzɒtot
ábrázol	aːbraːzol
ábrázolás	aːbraːzolaːʃ
ábrázol	ɒbraːzoːl
ábrázolja	ɒbraːʒolʝɒ
ábrázoló	aːbraːzoloː
ábrázolta	aːbraːzoltɒ
ábris	aːbriʃ
abroncs	ɒbrontʃ
abroncsnyomás	ɒbrontʃɲomaːʃ
abroncsokat	ɒbrontʃokɒt
abroncsok	ɒbrontʃok
abroncsot	ɒbrontʃot
abrosza	ɒbrosɒ
abroszai	ɒbrosɒji
abroszaid	ɒbrosɒjid
abroszaik	ɒbrosɒjik
abroszaim	ɒbrosɒjim
abroszaink	ɒbrosɒjiŋk
abroszaitok	ɒbrosɒjitok
abrosz	ɒbros
abroszod	ɒbrosod
abroszokat	ɒbrosokɒt
abroszok	ɒbrosok
abroszom	ɒbrosom
abroszotok	ɒbrosotok
abroszt	ɒbrost
abroszuk	ɒbrosuk
abroszunk	ɒbrosuŋk
abs	ɒbʃ
abszcissza	ɒpstsisːɒ
abszint	ɒpsint
abszintok	ɒpsintok
abszolútabb	ɒpsoluːtɒbː
abszolút	ɒpsoluːt
abszolúte	ɒpsoluteː
abszolutizmus	ɒpsolutizmuʃ
abszolutórium	ɒpsolutoːrijum
abszolutóriumok	ɒpsolutoːrijumok
abszorpció	ɒpsorptsijoː
abszorpciók	ɒpsorptsijoːk
absztinencia	ɒpstinɛntsijɒ
absztinenciák	ɒpstinɛntsijaːk
absztrakció	ɒpstrɒktsijoː
absztrakciók	ɒpstrɒktsijoːk
absztraktabb	ɒpstrɒktɒbː
absztrakt	ɒpstrɒkt
absztrakt	ˈɒpstɾɒkt
absztraktok	ɒpstrɒktok
absztraktság	ɒpstrɒktʃaːg
absztraktságok	ɒpstrɒktʃaːgok
abszurdabb	ɒpsurdɒbː
abszurd	ɒpsurd
abszurditás	ɒpsurditaːʃ
abszurditások	ɒpsurditaːʃok
abszurdum	ˈɒpsurdum
abszurdum	ɒpsurdum
abszurdumok	ɒpsurdumok
abu	ɒbu
ac	ɒtʃ
ace	ɒtʃɛ
acél	atseːl
acél	ɒtseːl
acélból	ɒtseːlboːl
acélgyártás	ɒtseːlɟaːrtaːʃ
acélipar	ɒtseːlipɒr
acélkék	ɒtseːlkeːk
acéllemez	ɒtseːlːɛmɛz
acéllemezek	ɒtseːlːɛmɛzɛk
acélmű	ɒtseːlmyː
acélok	ɒtseːlok
acélt	ɒtʃeːlt
acetaldehid	ɒtsɛtɒldɛɦid
acetát	ɒtsɛtaːt
acetilén	ɒtsɛtileːn
aceton	ɒtsɛton
acetonba	ɒtsɛtombɒ
acetonban	ɒtsɛtombɒn
acetonból	ɒtsɛtomboːl
acetonért	ɒtsɛtoneːrt
acetonhoz	ɒtsɛtonɦoz
acetonig	ɒtsɛtonig
acetonja	ɒtsɛtoɲːɒ
acetonjai	ɒtsɛtoɲːɒji
acetonjaid	ɒtsɛtoɲːɒjid
acetonjaik	ɒtsɛtoɲːɒjik
acetonjaim	ɒtsɛtoɲːɒjim
acetonjaink	ɒtsɛtoɲːɒjiŋk
acetonjaitok	ɒtsɛtoɲːɒjitok
acetonjuk	ɒtsɛtoɲːuk
acetonként	ɒtsɛtoŋkeːnt
acetonná	ɒtsɛtonːaː
acetonnak	ɒtsɛtonːɒk
acetonnál	ɒtsɛtonːaːl
acetonnal	ɒtsɛtonːɒl
acetonod	ɒtsɛtonod
acetonokat	ɒtsɛtonokɒt
acetonok	ɒtsɛtonok
acetonokba	ɒtsɛtonogbɒ
acetonokban	ɒtsɛtonogbɒn
acetonokból	ɒtsɛtonogboːl
acetonokért	ɒtsɛtonokeːrt
acetonokhoz	ɒtsɛtonokhoz
acetonokig	ɒtsɛtonokig
acetonokká	ɒtsɛtonokːaː
acetonokkal	ɒtsɛtonokːɒl
acetonokként	ɒtsɛtonokːeːnt
acetonoknak	ɒtsɛtonoknɒk
acetonoknál	ɒtsɛtonoknaːl
acetonokon	ɒtsɛtonokon
acetonokra	ɒtsɛtonokrɒ
acetonokról	ɒtsɛtonokroːl
acetonoktól	ɒtsɛtonoktoːl
acetonom	ɒtsɛtonom
acetonon	ɒtsɛtonon
acetonotok	ɒtsɛtonotok
acetonra	ɒtsɛtonrɒ
acetonról	ɒtsɛtonroːl
acetont	ɒtsɛtont
acetontól	ɒtsɛtontoːl
acetonunk	ɒtsɛtonuŋk
achát	ɒɦaːt
achátok	ɒɦaːtok
áchim	aːɦim
aciditás	ɒtsiditaːʃ
aciditások	ɒtsiditaːʃok
ackerman	ɒkɛrmɒn
ács	aːtʃ
ács	ɒtʃ
ácsból	aːdʒboːl
ácsceruza	aːtʃtsɛruzɒ
ácsi	aːtʃi
ácsi	ɒtʃi
ácsok	aːtʃok
ácsorog	aːtʃorog
action	ɒtʃiɔn
ád	aːd
ada	ɒdɒ
adag	ɒdɒg
adagok	ɒdɒgok
adagol	ɒdɒgol
adagoló	ɒdɒgoloː
adagot	ɒdɒgot
adalind	ɒdɒlinɟ
ádám	aːdaːm
adama	ɒdɒmɒ
ádám	ɒdaːm
adam	ɒdɒm
ádámcsutka	aːdaːmtʃutkɒ
ádámcsutkák	aːdaːmtʃutkaːk
adamet	ɒdɒmɛt
ádámkosztüm	aːdaːmkostym
adammel	ɒdɒmːɛl
adamnek	ɒdɒmɛk
adams	ɒdɒms
adandó	ɒdɒndoː
adaptáció	ɒdɒptaːtsijoː
adaptációk	ɒdɒptaːtsijoːk
adása	ɒdaːʃɒ
adás	ɒdaːʃ
adásba	ɒdaːʃbɒ
adásban	ɒdaːʃbɒn
adások	ɒdaːʃok
adást	ɒdaːʃt
adásunkat	ɒdaːʃuŋkɒt
adata	ɒdɒtɒ
adatai	ɒdɒtɒji
adatai	ɒdɒti
adatainak	ɒdɒtɒjinɒk
adatait	ɒdɒtɒjit
adatait	ɒdɒtiːt
adatállomány	ɒdɒtaːlːomaːɲ
adatállományok	ɒdɒtaːlːomaːɲok
adatátvitel	ɒdɒtaːtvitɛl
adatátviteli	ɒdɒtaːtvitɛli
adat	ɒdɒt
adatba	ɒdɒdbɒ
adatban	ɒdɒdbɒn
adatbázisában	ɒdɒtbaːziʃɒbɒn
adatbázis	ɒdɒdbaːziʃ
adatbázis	ɒdɒtbaːʒiʃ
adatbázisba	ɒdɒtbaːʒiʃbɒ
adatbázisban	ɒdɒdbaːziʒbɒn
adatbázisban	ˈɒdɒtbaːʒisbɒn
adatbázisok	ɒdɒdbaːziʃok
adatbázisokban	ɒdɒdbaːziʃogbɒn
adatbázist	ɒdɒtbaːʒist
adatbázisunk	ɒdɒdbaːziʃuŋk
adatbázisunkban	ɒdɒdbaːziʃuŋgbɒn
adatból	ɒdɒdboːl
adatért	ɒdɒteːrt
adatfeldolgozás	ɒdɒtfɛldolgozaːʃ
adatfeldolgozások	ɒdɒtfɛldolgozaːʃok
adathalászat	ɒdɒthɒlaːsɒt
adathoz	ɒdɒthoz
adatig	ɒdɒtig
adatik	ɒdɒtik
adatként	ɒdɒtkeːnt
adatlap	ɒdɒtlɒp
adatlapjai	ɒdɒtlɒpjɒji
adatlapok	ɒdɒtlɒpok
adatnak	ɒdɒtnɒk
adatnál	ɒdɒtnaːl
adatokat	ɒdɒtokɒt
adatok	ɒdɒtok
adatokba	ɒdɒtogbɒ
adatokban	ɒdɒtogbɒn
adatokból	ɒdɒtogboːl
adatokért	ɒdɒtokeːrt
adatokhoz	ɒdɒtokhoz
adatokhoz	ɒdɒtokɔz
adatokig	ɒdɒtokig
adatokká	ɒdɒtokːaː
adatokkal	ɒdɒtokːɒl
adatokként	ɒdɒtokːeːnt
adatoknak	ɒdɒtoknɒk
adatoknál	ɒdɒtoknaːl
adatokon	ɒdɒtokon
adatokra	ɒdɒtokrɒ
adatokról	ɒdɒtokroːl
adatoktól	ɒdɒtoktoːl
adatom	ɒdɒtom
adaton	ɒdɒton
adatot	ɒdɒtot
adatott	ɒdɒtː
adatra	ɒdɒtrɒ
adatról	ɒdɒtroːl
adattá	ɒdɒtːaː
adattal	ɒdɒtːɒl
adattárház	ɒdɒtːaːrɦaːz
adattípus	ɒdɒtːiːpuʃ
adattípusok	ɒdɒtːiːpuʃok
adattól	ɒdɒtːoːl
adattudós	ɒdɒtːudoːʃ
adattudósok	ɒdɒtːudoːʃok
adatvédelem	ɒdɒtveːdɛlɛm
ádáz	aːdaːz
ádázabb	aːdaːzɒbː
ádáz	ɒdaːz
ad	ɒd
addams	ɒdːɒmʃ
add	ɒdː
addie	ɒɟːi
addig	ɒdːig
addigi	ɒdːigi
addiglan	ɒdːiglɒn
addigra	ɒdːigrɒ
addiktológia	ɒdːiktoloːgijɒ
addiktológus	ɒdːiktoloːguʃ
addiktológusok	ɒdːiktoloːguʃok
addison	ɒdːiʃon
addy	ɒdːi
ade	ɒdɛ
adekvátabb	ɒdɛkvaːtɒbː
adekvát	ɒdɛkvaːt
adelaide	ɒdɛlɒjdɛ
adél	ɒdeːl
adele	ɒdɛlɛ
adhat	ɒdhɒt
adhat	ɒthɒt
adhatja	ɒdɦɒtjɒ
adhatjuk	ɒdɦɒtʃuk
adhatna	ɒdɦɒtnɒ
adhatnál	ɒdhɒtnaːl
adhatnánk	ɒdɦɒtnaːŋk
adhatnék	ɒdɦɒtneːk
adhatod	ɒdɦɒtod
adhatok	ɒdhɒtok
adhatok	ɒthɒtok
adhatom	ɒdhɒtom
adhatott	ɒdɦɒtot
adhatsz	ɒdɒtʃ
adhatsz	ɒthɒtsː
adhattam	ɒdɦɒtːɒm
adhatunk	ɒdˈhɒtunk
ádi	aːdi
adiabatikus	ɒdijɒbɒtikuʃ
adi	ɒdi
ádika	aːdikɒ
adios	ɒdjoʃ
aditya	ɒdiˈtijɒ
adja	ɒɟːɒ
adja	ɒɟɒ
adjad	ɒɟːɒd
adják	ɒdʝɒk
adják	ɒɟːaːk
adjak	ɒɟːɒk
adjak	ɒɟɒk
adjál	aːdʒaːl
adjalak	ɒɟːɒlɒk
adjál	ɒɟːaːl
adjam	ɒdʒɒm
adjam	ɒɟːɒm
adjanak	ɒdʝɒnɒk
adjanak	ɒɟːɒnɒk
adjatok	ɒdʝɒtok
adjátok	ɒdʒaːtok
adjátok	ɒɟːaːtok
adjatok	ɒɟːɒtok
adj	ɒdʒ
adj	ɒɟː
adjon	ɒdʝon
adjon	ɒɟːon
adjonisten	ɒɟːoniʃtɛn
adjuk	ɒdʝuk
adjuk	ɒɟːuk
adjunk	ɒdʝuŋk
adjunk	ɒɟːuŋk
adlak	ɒdlɒk
adler	ɒdlɛr
admin	ɒdmin
adminisztráció	ɒdministraːtsijoː
adminisztrációk	ɒdministraːtsijoːk
adminisztrációs	ɒdministraːtsijoːʃ
adminisztrációs	ɒdministɾaːtʃoːʃi
adminisztrál	ɒdministraːl
adminisztratív	ɒdministrɒtiːv
adminisztrátora	ɒdministraːtorɒ
adminisztrátorát	ɒdministraːtoraːt
adminisztrátorával	ɒdministraːtoraːvɒl
adminisztrátor	ɒdministraːtor
adminisztrátornak	ɒdministraːtornɒk
adminisztrátorokat	ɒdministraːtorokɒt
adminisztrátorok	ɒdministraːtorok
adminisztrátorokkal	ɒdministraːtorokːɒl
adminisztrátorral	ɒdministraːtorːɒl
adminisztrátort	ɒdministraːtort
adminisztrátortól	ɒdministraːtortoːl
adminok	ɒdminok
admirális	ɒdmiraːliʃ
admirális	ɒdmiɾaːliʃ
admirálisért	ɒdmiraːliʃeːrt
admirálisig	ɒdmiraːliʃig
admirálisként	ɒdmiraːliʃkeːnt
admirálisnak	ɒdmiraːliʃnɒk
admirálisokat	ɒdmiraːliʃokɒt
admirálisok	ɒdmiraːliʃok
admirálisokért	ɒdmiraːliʃokeːrt
admirálisokig	ɒdmiraːliʃokig
admirálisokká	ɒdmiraːliʃokːaː
admirálisokkal	ɒdmiraːliʃokːɒl
admirálisokként	ɒdmiraːliʃokːeːnt
admirálisoknak	ɒdmiraːliʃoknɒk
admirálissá	ɒdmiraːliʃːaː
admirálissal	ɒdmiraːliʃːɒl
admirálist	ɒdmiraːliʃt
admittancia	ɒdmitːɒntsijɒ
admittanciák	ɒdmitːɒntsijaːk
adná	ɒdnaː
adna	ɒdnɒ
adnád	ɒdnaːd
adnák	ɒdnaːk
adnak	ɒdnɒk
adnálak	ɒdnaːlɒk
adnál	ɒdnaːl
adnám	ɒdnaːm
adnának	ɒdnaːnɒk
adnánk	ɒdnaːŋk
adnátok	ɒdnaːtok
