ஃ	ʔ
அகப்படு	ɐgɐpːɐɖɯ
அகப்பு	ɐgɐpːɯ
அகமதாபாதில்	əgəmat̪əbaːɖil
அகமதாபாத்	əgəmɐd̪aːbɑːt̪
அகமது	əgəmaɖu
அகமதுவிடம்	əgəmat̪uʋɪɖəm
அகமதுவின்	əgəmat̪uʋin
அகமதுவிற்கு	əgəmat̪uʋɪkːu
அகமதுவும்	əgəmat̪uʋ̪
அகமதுவை	əgəmat̪uʋaɪ
அகம்	əgam
அகரமுதலி	ɐgɐɾɐmʊd̪ɐli
அகரம்	əgɐɾəm
அகரவரிசை	ɐgɐɾɐʋɐɾɪsɐɪ̯
அகராதி	ɐgɐɾaːd̪i
அகராதியில்	əgɐɾɑːdi̤j
அகரு	ɐgɐɾɯ
அகர்	əgəɾ
அகர்வாலின்	əgɐʋaːlɪn
அகர்வாலுக்கு	əgɐʋaːlʌkːu
அகர்வாலுடன்	əgɐrʋaːɭʈʌn
அகர்வாலும்	əgɐɾʋɑːɭum
அகர்வாலை	əgəɾʋaːlai
அகர்வால்	əgɐʋɑːl
அகற்சி	ɐgɐrsi
அகற்ற	əgɐɭː
அகற்றப்பட	əgəɾːəpːɑɭ
அகற்றப்படும்	əgəɾːəɾ̪ɯɾ̪ː
அகற்றப்பட்டது	əgəɾːəntəɾːə
அகற்றப்பட்டதை	əgəɾːəpːəɾːəɾəɾəɾəɾəɾəɾəɾəɾəɾəɾəɾəɾəɾəɾəɾəɾə
அகற்றப்பட்டு	əgəɾːəpːəɭ̪ːu
அகற்றி	əgəɾːi
அகற்றினர்	əgəɾːinɐr
அகற்றினார்	əgəɾːiˈnɐr
அகற்றியது	əgəɾːiɾə
அகற்றியுள்ளனர்	əgəɾːijulːən̪ɾɯ
அகற்றிவிட்டு	əgəɾːiʋiʈːu
அகற்று	ɐgɐtrɯ
அகற்றும்	əgəɾːum
அகலம்	əgələm
அகழாய்வுப்	əgɐɻɐɪʋup
அகழி	ɐgɐɻi
அகஸ்டோ	əgəsto
அகாடமி	əgaːɖami
அகாடமியில்	əgaːɖamiʎ
அகாடெமி	əgaːɖeːmi
அகாதெமி	əgaːd̪emi
அகானே	əgaːneː
அகார்கர்	əgaːɾgəɾ
அகால	əgaːl
அகிபுசம்	ɐgɪbʊsɐm
அகில	əgil
அகிலா	əgilə
அகிலேஷின்	əgileɕin
அகிலேஷ்	əgileɕ
அகில்	əgil
அகுஜா	əgudʒə
அகுட்	əguʈ
அகோரி	əgoːɾi
அக்	ək
அக்கச்சி	ɐkːɐtɕːi
அக்கட	əkːɐɖ
அக்கட்சி	əggɑɖtʃi
அக்கட்சிக்கு	əkːɐɖ̪ːɪkːu
அக்கட்சித்	əkːɐɖʈit̪
அக்கட்சியினர்	əkːɐɖtɕiɳər
அக்கட்சியின்	əkːɐɖtɕiːn
அக்கட்சியில்	əkːɐɖʈiʎ
அக்கட்சியை	əggɑɖtɕiʌj
அக்கம்	əkːəm
அக்கறை	əkaɾːaɪ
அக்கறையுடன்	əkaɾːaɪ̯ʈʈʌn
அக்கறையும்	əkːəɾijʌm
அக்கறையை	əkaɾːaɪ
அக்கறையோடு	əkːəɾːaɪ̯oːɖu
அக்களிப்பு	ɐkːɐɭɪpːɯ
அக்கா	əkaː
அக்காள்	əkːɑːɭ
அக்காவுக்கு	əkaːvuːkːu
அக்காவை	əkaːʋai
அக்கி	ɐkːi
அக்கினி	ɐkːɪni
அக்கு	ɐkːɯ
அக்கைச்சி	ɐkːɐɪ̯tɕːi
அக்க்ஷய	əkʂːaj
அக்சய்	əɣʃaj
அக்சரா	əɣsəɾɑ
அக்சர்	əɣɕər
அக்டோபரில்	əgɖoːbɾil
அக்டோபர்	əgɖoːbər
அக்தர்	əgt̪ər
அக்னி	əgni
அக்னீஸ்கா	əgn̪iːska
அக்பர்	əgbər
அக்மல்	əgəml̩
அக்மார்க்	əgmɑːɾk
அக்ரம்	əgɾəm
அக்ரஹார	əgɾɑɦɑːɾ
அக்ரஹாரா	əgɾəɦaːɾə
அக்ரி	əgri
அக்ஷயா	əgʂjɑː
அக்ஷய்	əɣʂaj
அக்ஷய்குமார்	əgʂajgumɑːr
அக்ஷரா	əɣʂəɾɑ
அக்ஷர்	əɣʂər
அக்ஷிதா	əɣʂiɖɑ
அக்ஸர்	əɣːəɾ
அங்க	əŋg
அங்கன்வாடி	ɐŋgɐnʋaːɖi
அங்கமாக	əŋkəmaːgə
அங்கமாலி	əŋgəmaːli
அங்கம்	əŋgəm
அங்கயற்கண்ணி	ɐŋgɐjɐrkɐɳːi
அங்காடி	ɐŋgaːɖi
அங்காடி	əŋgaːɖi
அங்காத்தாள்	əŋgɑːt̪ːɑːɭ
அங்கிட்டு	ɐŋgɪʈːɯ
அங்கிதா	əŋgiɖɐ
அங்கித்	əŋgɪt̪
அங்கிருக்கும்	əŋgirukːu
அங்கிருந்த	əŋgɾuːɳt̪
அங்கிருந்தவர்களை	əŋgiruːntəʋəɾɭai̯
அங்கிருந்தவர்கள்	əŋgiruːntəvaːkɾi
அங்கிருந்து	əŋgirʌndu
அங்கிள்	əŋgɯɭ
அங்கீகரிக்க	əŋkikiɾik
அங்கீகரிக்கப்பட்ட	əŋgiːkɐriʈːʌ
அங்கீகரித்து	əŋk̬iːkɐɾɨt̪u
அங்கீகாரத்தை	əŋgiːkaːɾɐtːai
அங்கீகாரமில்லாத	əŋgiːkaːɾəmiɭːɐː
அங்கீகாரம்	əŋgiːkaːɾəm
அங்கு	ɐŋgɯ
அங்கு	əŋu
அங்குதான்	əŋgut̪aːn̪
அங்கும்	əŋgum
அங்குலி	ɐŋgʊli
அங்குள்ள	əŋguɭː
அங்கூசம்	ɐŋguːsɐm
அங்கெல்லாம்	əŋkɛlːɑːm
அங்கே	əŋgeː
அங்கேதான்	əŋgeːdaːn
அங்கேயும்	əŋgejum
அங்கேயே	əŋgeː
அங்கோடிங்கோடு	ɐŋgoːɖɪŋgoːɖɯ
அசத்த	əɕɐt̪ː
அசத்தலாக	əɕɐt̪ːəlaːg̊
அசத்தலான	əɕɐt̪ːəˈlaːn̪
அசத்தல்	əɕɐt̪ːɐl
அசத்தி	əɕɐt̪ːi
அசத்தினர்	əɕɐt̪ːiŋər
அசத்தினார்	əɕɐt̪ːiˈnɐɾ
அசத்திய	əɕɨt̪ːi
அசத்தியது	əɕɐtːiɾʊ
அசத்தியவர்	əɕːʈijəʋər
அசத்தியிருக்கிறார்	əɕːʈijɾukːiɾɑːr
அசத்தியிருப்பார்	əɕːɨɭɨruːpɑːr
அசத்தியுள்ளது	əɕɨt̪ːijɯɭ̩t̪ːəɭ̩
அசத்தியுள்ளனர்	əɕːʈijulːən̪ɾɯ
அசத்தியுள்ளார்	əɕɨt̪ːijul̪ːəɾ̩
அசத்திவருகின்றனர்	əɕɐt̪ːiʋəɾɪŋkɐnɾɐ
அசத்திவருகிறார்	əɕɐt̪ːiʋəɾugiɾɑːr
அசத்தும்	əɕːʈum
அசத்துவார்	əɕɐt̪ːʋɑːr
அசந்து	əɕən̪d̪u
அசம்பாவிதம்	əɕəmb̪aːʋit̪əm
அசர	əɕɐr
அசரவில்லை	əɕəɾəviʎːi
அசராத	əɕərɑːt̪
அசராதவன்	əɕərɑːd̪əʋən
அசராமல்	əɕərɑːməl
அசர்	ɐsɐɾ
அசர்த்து	ɐsɐɾt̪ːɯ
அசல்	əɕɐl
அசாதாரண	əɕaːdaːɾəɳ
அசாதாரணமாக	əɕaːdaːɾəɳəmaːgə
அசாதாரணமான	əɕaːdaːɾəɳəmaːn
அசாதாரணமானது	əɕaːd̪aːɾəɳəmaːnəɖu
அசாத்திய	əsaːt̪ːi
அசாத்தியமாக	əɕaːt̪ːi̯əmaːgaː
அசாத்தியமான	əɕaːt̪ːijəmoːnə
அசாமை	əɕaːmaɪ
அசாம்	ɐsaːm
அசாம்	əsaːm
அசாருதீனுக்கு	ətsaːrud̪iːnukːu
அசாருதீனும்	əsaːɾuːdiːn
அசாருதீன்	əɕaːɾuːdiːn
அசார்	əsaːr
அசால்டாக	əsaːɭd̪aːg̊
அசால்ட்டாக	əsaːɭʈːaːg
அசிங்க	əɕiŋg
அசிங்கப்படுத்தி	əɕiŋgəpəɖːi
அசிங்கப்படுத்திக்	əɕiŋgəpəɖːik
அசிங்கப்படுத்தினார்	əɕiŋgəpəɖʌɳɾɔ
அசிங்கப்படுத்துவது	əɕiŋgəpəɖuɖuɖu
அசிங்கமா	əɕiŋgəmaː
அசிங்கமாக	əɕiŋgəmaːgɐ
அசிங்கமான	əɕiŋgəmaːn̪
அசிங்கம்	ɐsɪŋgɐm
அசிங்கம்	əɕiŋgəm
அசின்	əɕin
அசிஸ்டெண்ட்	ətɕiɕiʈɛn̪ʈ̪eːn̪
அசும்பு	ɐsʊmbɯ
அசுர	əsuɾ
அசை	ɐsɐɪ̯
அசைக்க	əɕaɪkː
அசைக்கமுடியாத	əɕaɪkːəmo̯ɖi̯ɑːt̪
அசைத்து	əɕait̪ːu
அசைத்துப்	əɕait̪ːup̚
அசைன்மெண்ட்	əɕaɪnment̪
அசையா	əɕɑjɑː
அசையும்	əsiɪm
அசைவ	əɕaɪʋ
அசைவம்	ɐsɐɪ̯ʋɐm
அசைவுகளை	əɕaɪʋugəj
அசோக்	əsoːk
அசோக்குமார்	əɕoːkːumɑːr
அசோசியேஷன்	əɕoːsiːeːʃːon
அச்சக	əʧːɐk
அச்சடிக்க	əʧːəɖikː
அச்சடிக்கப்பட்டது	əʧːɐɖikːəɾtːu
அச்சடித்து	əʧːɐɖɨt̪ːu
அச்சத்தில்	əʧːt̪ɪlː
அச்சத்தை	əʧːt̪ːai̯
அச்சப்பட	əʧːəpːəɖ
அச்சமும்	əʧːəmu
அச்சம்	əʧːæm
அச்சாரம்	əʧːaːɾəm
அச்சி	ɐtɕːi
அச்சிட	əʧːɪɖ
அச்சிடப்பட்ட	əʧːiɖəpːəɭːə
அச்சிடப்பட்டுள்ளது	əʧːɪɖəpːəɭːəɭːuɭ
அச்சு	ɐtɕːɯ
அச்சு	əʧːu
அச்சுறுத்தலாக	əʧːuɾuɭɐɭɑːg
அச்சுறுத்தல்	əʧːuɾʊd̪ːəl
அச்சுறுத்தி	əʧːuɾut̪ːi
அச்சுறுத்தும்	əʧːuɾʊd̪ːum
அச்சுவினி	ɐtɕːʊʋɪni
அச்ரேக்கர்	əɕrɛːkːə
அஜய்	əgaj
அஜிங்கியா	əgiŋgiə
அஜிங்க்ய	əginkjɨ
அஜித்	əgɪd̪
அஜித்குமாரின்	əgɨtgumaːɾin
அஜித்குமார்	əgɪd̪gumɑːr
அஜித்க்கு	əgɨt̪ːu
அஜித்திடம்	əgɨt̪ːiɖəm
அஜித்தின்	əgɨt̪ːiɳ
அஜித்திற்கு	əgɨt̪ːɨkːu
அஜித்துக்கு	əgit̪ːuː
அஜித்துக்கும்	əgɨtːukːu
அஜித்துடன்	əgɨt̪ːuɳ
அஜித்தும்	əgɨtːum
அஜித்தை	əgɨt̪ːai̯
அஜித்தையும்	əgɨt̪ːijə
அஜீத்	əgiːt̪
அஜீத்திடம்	əgiːt̪ːɨɖəm
அஜீத்தின்	əgiːʧʈam
அஜீத்துக்கு	əgiːt̪ːuʋ̥
அஜீத்துடன்	əgiːt̪ːuɳ
அஜீத்தும்	əgiːt̪ːum
அஜீத்தை	əgiːt̪ːi
அஞ்சனா	əɲdʒanə
அஞ்சப்போவதில்லை	əɲdʒɐbːoːʋədiɭːi
அஞ்சமாட்டோம்	əɲdʒəmaːʈːom
அஞ்சலி	əɲdʒəli
அஞ்சலிக்காக	əɲdʒəliːkɑːg
அஞ்சலியும்	əɲdʑəliʝum
அஞ்சா	əɲdʑɑ
அஞ்சாதே	əɲd̪aːd̪eː
அஞ்சாமல்	əɲdʒaːməl
அஞ்சி	əɲɟi
அஞ்சிய	ɑɲtɕi
அஞ்சு	ɐɲdʑɯ
அஞ்சு	əɲdʒu
அஞ்சும்	əɲdʑum
அட	ɐɖ
அடகு	ɐɖəgu
அடக்க	ɐɖɐkː
அடக்கம்	ɐɖɐkːɐm
அடக்கி	ɐɖɐkːi
அடக்கியே	ɐɖgʌjɪ́jɛ
அடக்கு	ɐɖɐkːɯ
அடக்குமுறை	ɑɖɐkːuːɾaɪ
அடக்குமுறைகள்	ɑɖɑkːumruːɭai
அடக்கும்	əɖəkum
அடங்க	ɐɖəŋg
அடங்கவில்லை	əɖaŋgəvilːi
அடங்காத	əɳgɑːt̪
அடங்காதவன்	əɖəŋgɑːd̪əʋən
அடங்காது	əɳgɑːdu
அடங்கி	əɳgi
அடங்கிய	ɑɖaŋgi
அடங்கு	ɐɖɐŋgɯ
அடங்கும்	əɳgum
அடங்குவதற்குள்	əɳgʊd̪əɾkɯɭ
அடங்குவர்	əɳgʊʋər
அடடா	ɑɖɑɖɑ
அடடே	ɐɖɐɖeː
அடமானம்	ɐɖəmaːn̪am
அடம்	ɐɖəm
அடம்பிடிக்கும்	əɖəmpiɖikːum
அடம்பிடித்து	əɖəmpiɖiʈu
அடர்த்தி	ɐɖɐɾt̪ːi
அடர்த்தி	ɐɖɐɾːi
அடர்ந்த	ɑɖɾɪnt̪
அடல்ட்	ɐɖɐɭʈ
அடவி	ɐɖɐʋi
அடார்	ɑɖɑːɾ
அடாவடி	əɖaːɖi
அடாவடியாக	ɐɖɑːʋɑɖiɑkɑ
அடி	ɐɖi
அடி	ɑɖi
அடிக்க	ɐɖikː
அடிக்கடி	ɐɖɪkːɐɖi
அடிக்கடி	əɖikːɖi
அடிக்கப்பட்ட	əɖipːiɭːt̪ːu
அடிக்கப்பட்டது	əɖikːən̪t̪u
அடிக்கப்பட்டார்	əɖipːiɭːəɾɑːr
அடிக்கமாட்டேன்	əɖikːəmaːt̪ːeːn
அடிக்கலாமா	əɖikːɐlaːmaː
அடிக்கல்	əɖikːəl
அடிக்கவில்லை	ɐɖikːəʋilːaj
அடிக்கவில்லையா	əɖikːəviʎːaː
அடிக்கவே	əɖikːəʋeː
அடிக்காத	əɖikːɑː
அடிக்காததால்	əɖikɑːd̪ɑːɭɑːl
அடிக்காமல்	əɖikɑːməl
அடிக்கிற	əɖikɪr
அடிக்கிறது	əɖikːɪɳɖɯ
அடிக்கிறார்	ɑɖikɪrɑːr
அடிக்கிறார்கள்	əɖikɪɾaːɾkɭ̆
அடிக்கு	ɐɖikːu
அடிக்கும்	əɖikːum
அடிக்கும்போது	əɖikːumboːɖu
அடிக்கோடு	ɐɖɪkːoːɖɯ
அடிச்ச	əɖɪtʃː
அடிச்சா	əɖitɕːaː
அடிச்சு	ɐɖɪtɕːu
அடிச்சுவடு	ɐɖɪtɕːʊʋɐɖɯ
அடிதடி	əɖɨt̪ɨɖ̪i
அடிதடியில்	ɐɖɪɖɪjɪl
அடித்த	əɖɪt̪ː
அடித்தட்டு	ɐɖɪt̪ːɐʈːɯ
அடித்தட்டு	əɖit̪ːɑːɖːu
அடித்ததன்	əɖɪt̪ːəɖən
அடித்ததற்கு	əɖɪt̪ːəɾkʌ
அடித்ததாக	ɐɖit̪ːaɾɐgu
அடித்ததால்	ɐɖit̪ːɐɭ
அடித்ததில்	əɖit̪ːaɾil
அடித்ததில்லை	ɐɖit̪ːɐdilːaj
அடித்தது	ɐɖɪt̪ːɐ
அடித்ததே	ɐɖit̪ːɐde
அடித்தனர்	əɖɨt̪ːənɾɯ
அடித்தபோது	əɖit̪ːəbuɾɯ
அடித்தளத்தை	əɖit̪ːɭɑʈːai̯
அடித்தளம்	ɐɖit̪ːɭəm
அடித்தவர்	ɐɖit̪ːəʋəɾ̩
அடித்தவுடன்	əɖɨt̪ːəʋɯɖ̪an
அடித்தவை	əɖit̪ːəʋaɪ
அடித்தாட	ɐɖit̪ːaːɖ
அடித்தாடுபவர்கள்	ɐɖɪt̪ːaːɖʌb̪ɐɭ̪əɭ̪əɭ̪əɭ̪əɭ̪əɭ̪əɭ̪əɭ̪əɭ
அடித்தாடும்	əɖɨt̪ːaːɖum
அடித்தார்	ɐɖit̪ːɑːr̩
அடித்தார்கள்	əɖit̪ːɑːɾg̊
அடித்தாலும்	ɐɖit̪ːɐɭum
அடித்தால்	ɐɖit̪ːɑːl
அடித்திருக்கிறார்	əɖit̪ːiɾukirɑːr
அடித்திருக்கிறார்கள்	əɖit̪ːiɾuk̬iɾɑːɾkɯ
அடித்திருந்த	əɖit̪ːuɾːə
அடித்திருந்தார்	əɖit̪ːuɾɯɾɑːr
அடித்து	əɖɨt̪u
அடித்துக்	ɐɖit̪ːuk̟
அடித்துச்	əɖɨt̪ɨs̪
அடித்துப்	əɖit̪ːup̚
அடித்தும்	əɖɪt̪ːum
அடித்துள்ள	ɐɖit̪uɭ̩
அடித்துள்ளது	əɖɪt̪ːuɭ̩t̪əɭ̩
அடித்துள்ளன	əɖit̪ːuɭːn̪
அடித்துள்ளனர்	ɐɖit̪ːuɭːən̪d̪ɾ̪ɨ
அடித்துள்ளார்	əɖɪt̪uɭ̩ɑːr
அடித்துவிடுவார்	əɖɨt̪uʋiɖʋaːr
அடித்துவிட்டார்	əɖit̪ːuʋiʈːaːr
அடித்துவிட்டால்	əɖit̪ːuʋiʈːɑːl
அடித்துவிட்டு	əɖit̪ːuʋit̪ːu
அடித்தேன்	əɖit̪ːeːn
அடிபடுகிறது	əɖɪpəɖʌgi
அடிபட்ட	ɑɖɪpɑʈː
அடிபட்டதால்	ɐɖɪpɐɖɐɖɑːl
அடிபட்டது	əɖipəɖːu
அடிபட்டு	əɖipːuʈːu
அடிபணிந்து	əɖibəɳintu
அடிபணிய	əɖɨbiɳɲ
அடிப்பகுதி	ɐɖɪpːɐgʊd̪i
அடிப்படியில்	əɖipːaɖiʎ
அடிப்படை	əɖipːɑɟɑj
அடிப்படைக்	əɖipːagaɪ̯k
அடிப்படைத்	əɖipːaɖit̪
அடிப்படையாக	ɐɖipːɐɖaɪɐgɐ
அடிப்படையாகக்	ɑɖipːɑɖiɑk
அடிப்படையிலும்	əɖipːɑɖɑjilːə
அடிப்படையிலேயே	əɖipːɑɖɑjilɛː
அடிப்படையில்	əɖipːaɖai̯l
அடிப்படையில்தான்	əɖipːɑɖɑjil̪t̪aːn̪
அடிப்படையும்	ilːai
அடிப்பட்டது	ɐɖipːɐɖɯ
அடிப்பட்டு	ɑɖipːuɖːu
அடிப்பதற்கான	əɖipːɐɖɐŋ
அடிப்பதில்	əɖipːad̪il
அடிப்பது	ɐɖipːɯ
அடிப்பதை	əɖipːɐɖai
அடிப்பார்	əɖip̚ːaːr
அடிப்பேன்	əɖip̚eːn
அடிப்பொளி	ɐɖɪpːɔɭi
அடிமட்ட	əɖimɑʈː
அடிமட்டத்	ɑːɖimɑːʈː
அடிமுடி	ɐɖɪmʊɖi
அடிமை	əɖimɑj
அடிமைகளாக	əɖimɑːgɑː
அடிமைகள்	əɖimɑj
அடிமையா	əɖimajɑː
அடிமையாக	əɖimajɐgɐ
அடிமையாகி	əɖimajɐgi
அடியாக	əɖiɑgɑ
அடியாட்களை	əɖiɑːɖ̪ɾai̯
அடியாட்கள்	ɑɖiɑːɖgɑɭgɑ
அடியில்	əɖiɭi
அடியெடுத்து	əɖiʔegʊt̪ːu
அடியை	əɖiʌj
அடியோடு	əɖiʌɽu
அடிலெய்டில்	ɑɖileɪɖɪl
அடிலெய்டு	ɐɖileɪɖu
அடிலெய்ட்	əɖilejʈ
அடில்	ɑɖɪl
அடிவாங்கிய	ɐɖɪvaːŋkij
அடிவாரத்தில்	ɐɖɪʋaːɾtʃel
அடு	ɐɖɯ
அடுக்கடுக்காக	əɖukkəɖukːɑːg
அடுக்கடுக்கான	əɖukkəɖukːaːn
அடுக்கம்பாறை	əɖukːəmaɾːai
அடுக்கி	ɐɖukːi
அடுக்கினார்	əɖukːiɳːɐ
அடுக்கு	əɖukːu
அடுக்குமாடி	əɖukːumæːɖi
அடுத்த	əgʊt̪ː
அடுத்தகட்ட	ɑɭʊt̪ːgɑʈː
அடுத்தகட்டமாக	ɑɖʌkːɯkɑmɑːgɑ
அடுத்தக்கட்ட	əgʊt̪ːəkaʈː
அடுத்தச்	əgʊt̪ːɕ
அடுத்தடுத்த	ɑɭʊt̪ːɑɭʊt̪ː
அடுத்தடுத்து	ɑːgʊɖɯɖʊ
அடுத்ததாக	ɑɭʊt̪ːəgɑ
அடுத்தது	ɑɭʊt̪ːɯ
அடுத்தபடியாக	ɑɖʌt̪ːəpiɖijagɑ
அடுத்தப்	ɑɭʊt̪ːəp̪
அடுத்தப்படியாக	əgʊt̪ːəp̚piɾiɑk̚
அடுத்தவர்	əgʊt̪ːəvəɾ
அடுத்தாண்டு	əɖakːuːɳː
அடுத்து	ɐɖʊt̪ːɯ
அடுத்து	ɑɭʊt̪ːu
அடுத்தும்	ɑːgʊɖʈum
அடுத்துள்ள	əɖʌkːuɭ̩
அடுத்துவரும்	ɑɭʊt̪ːʋəɾum
அடுத்தே	ɑːgʊɖ̪eː
அடுப்பு	ɐɖʊpːɯ
அடே	əɖeː
அடேங்கப்பா	əɖeːŋgɑːpːɑː
அடைகிறேன்	əɖaɪgɪɾen
அடைகிறோம்	əɖaɪgirɞoːm
அடைக்க	ɐɖaɪk
அடைக்கப்பட்ட	əɖaɪkːəɭːə
அடைக்கப்பட்டனர்	əɖaɪkːəɭːəɳːər
அடைக்கப்பட்டார்	əɖaɪkːəɖəɾː
அடைக்கப்பட்டிருக்கும்	əɖaɪkːəɖiɾukːu
அடைக்கப்பட்டிருந்த	əɳɖaɪkːəɳɖuɾːəɳː
அடைக்கப்பட்டு	əɖaɪkːəɖu
அடைக்கப்பட்டுள்ள	əɖaɪkəɖəɭuɭ
அடைக்கப்பட்டுள்ளன	əɖaɪkəɖəɭəɭun̪
அடைக்கப்பட்டுள்ளனர்	əɖaɪkːəɭːuɭːɭəɾ
அடைக்கப்பட்டுள்ளார்	əɖaɪkːəɭːuɭ̩ɾɑːr
அடைக்கலக்குருவி	ɐɖɐɪ̯kːɐlɐkːʊɾʊʋi
அடைக்கலம்	əɖaɪkɐləm
அடைச்சு	ɐɖɐɪ̯tɕːɯ
அடைத்தனர்	ɐɖaɪɖnɯɾ
அடைத்து	ɐɖɐɪ̯t̪u
அடைத்துள்ளனர்	ɑɖɑɪ̯ɭuɭɭɑɾ
அடைந்த	əɳɖai̯n̪t̪ə
அடைந்ததன்	ɐɖai̯n̪t̪əɖən̪
அடைந்ததற்கான	əɳɖai̯ntəɾkɑːn
அடைந்ததாக	ɐɖai̯n̪taːgo
அடைந்ததாகவும்	əɳtai̯n̪d̪agu
