آ	ɑ
اسمان	asmɑn
اسماني	asmɑni
اسناد	asnaːd
اسونو	asuno
اسټراليا	asʈrɑljɑ
اسپانيا	ɑspɑnjɑ
اسپه	aspa
اسکيمو	askimo
اسیا	asja
اشاره	aʃaːra
اشرف	aʃraf
اشغال	aʃɣaːl
اصلي	asli
اعتبار	etbaːr
اعمال	aʕmaːl
اغزي	aɣzi
اغزی	aɣzai
اغوستل	aɣostəl
اغوندم	aɣundəm
اغوندي	aɣundi
اغږل	aɣgəl
اغږم	aɣagəm
اغیار	aɣjaːr
اغېز	aɣez
افسانې	afsaːneː
افغان	afɣɑn
افغانستان	apɣɑnɪstɑn
افکارو	afkaːro
اقبال	iqbaːl
اقتصادي	iqtɛsaːdi
اقلیمي	iqleːmi
الا	ilaː
البانيا	albɑnjɑ
البته	albata
البند	ilband
الحَمْدُ	alhamdu
السلام	assalaːm
الله	allaːh
المان	alman
المانيا	almɑnjɑ
المانی	almɑnai
اله	ala
الو	alu
الوبالو	alubɑlu
الوتل	alwətəl
الوتکه	alwatəka
الوزم	alwəzəm
الوځي	alwozi
الپورۍ	alpurəi
ام	am
اما	amaː
امارت	amaːrat
امام	amaːm
امان	amaːn
امبر	ambar
امر	amar
امريکا	amrikɑ
امريکايی	amrikɑjaɪ
امريکه	amrika
املاء	imlaː
امله	amla
املوک	amluk
امن	aman
امنيه	amniːa
امنیت	amniːat
امير	amiːr
امپراتور	ampraːtoːr
امپراتورۍ	ampraːtoːrəi
امیر	amiːr
امېل	amel
ان	an
انا	anɑ
انار	anɑr
اناپ	anap
انتخاب	intixaːb
انتظار	intizaːr
اند	and
اندي	andi
انسان	insan
انسانه	insana
انسانیت	insaniːat
انصاف	insaːf
انقلابي	inqlaːbi
انځر	anddʒar
انځور	anzor
انځورګر	anzorgar
انځورګري	anˈzurgəri
انګلستان	ɪnglɪstɑn
انګور	angur
انګوړی	angoɺai
انګيزه	angeːza
انګړ	anˈgəɺ
اهل	ahl
اهوړ	ahuɺ
او	aw
اوبازي	aobɑzi
اوباسم	ubɑsəm
اوبدل	obdəl
اوبه	obe
اوبو	obo
اودس	odas
اور	aor
اورلوبه	orloba
اورم	awrəm
اوره	awra
اورول	awrawəl
اوري	ori
اوريګامي	origɑmi
اورګاډی	orgɑɖe
اوریزه	orizə
اورېدل	awredəl
اورېدونکی	awredunkai
اوس	os
اوسم	osəm
اوسه	osa
اوسېدل	osedəl
اوسېدونکی	osedunkaɪ
اوسېدونکې	osedunke
اوش	oʃ
اوشه	oʃa
اول	awal
اولس	uləs
اوله	awla
اولو	awlo
اولې	awleː
اوم	um
اومامي	umɑmi
اونۍ	onai
اوه	owa
اوو	owo
اوولس	awolas
اووم	awom
اووه	awwa
اويا	awja
اويم	ojəm
اوپه	awpa
اوړم	awɺəm
اوړی	oɺaɪ
اوړېدل	awɺedəl
اوږد	awgəd
اوږده	awgəda
اوږه	oga
اوکښته	okəʈa
اوگره	ogəra
اویا	awja
ايا	aja
ايستل	istəl
ايسلنډ	aislənɖ
ايسي	ajsi
ايغلو	iɣlu
ايله	ajla
ايمان	ajman
اينو	ino
اينځر	inzar
اينکى	ajnaːkai
اَلسَلامُ	alsalaːmu
اَللهِ	allaːhi
اُمتي	umati
اٶ	aw
اټکل	aʈkəl
اپ	ap
اپر	apar
اپريدی	apridaɪ
اپریدي	apridi
اپيم	apim
اپين	apin
اڅک	asək
اچول	atʃawəl
اړتیا	aɺtijaː
اړخ	aɺx
اړخه	aɺxa
اړخونه	aɺxona
اړه	aɺa
اړو	aɺo
اړول	aɺawəl
اړين	əɺin
اړیکې	aɺikeː
اکا	akaː
اکبر	akbar
اکبرخان	akbarxaːn
اکثره	aksara
اکر	akar
اکسوس	aksos
اکوزو	akozo
اګل	agal
ای	ai
ایا	aja
ایران	airaːn
ایس	ais
ایمان	ima:n
اې	eː
اېخ	ex
اېسټونيا	esʈonjɑ
اېموجي	emoddʒi
اېږدې	eːgde
اېکوادور	ekwɑdor
ب	b
بآغ	baːɣ
با	baː
بابا	baːbaː
باد	bɑd
بادار	baːdaːr
بادام	baːdaːm
بادول	bɑdawəl
بار	bɑr
باران	bɑrɑn
بارانه	baːraːna
باراني	baːraːni
باره	baːra
بارول	bɑrawəl
بارکزي	baːrəkziː
بارکزی	bɑrəkzai
باز	bɑz
بازار	baːzaːr
بازو	bɑzu
بازۍ	baːzai
باسي	baːsi
باغ	bɑɣ
باغوان	bɑɣwɑn
بالا	baːlaː
بالر	baːlar
بالښت	bɑləxt
بام	bɑm
بامفهوم	baːmafhum
باندي	baːndi
باندی	baːndi
باندې	baːnde
بانه	baːna
بانک	baːnk
باور	baːwar
بايد	baːjad
بايلل	bɑiləl
باچا	bɑtʃɑ
باڼه	baːɳa
باید	baːjad
بته	bəta
بجو	baddʒo
بجی	baddʒe:
بختي	baxti
بخل	baxəl
بخن	baxan
بخښل	baxxəl
بخښنه	baxxna
بخښي	baxxi
بخۍ	baxiː
بد	bəd
بدترين	badtariːn
بدر	badar
بدسترګی	badstərge
بدل	badal
بدلاری	badlɑre
بدله	badala
بدلول	badalawəl
بدلون	badluːn
بدلېدل	badledəl
بدمخی	bədməxai
بدن	badan
بدني	badani
بده	bəda
بدو	badu
بدي	bədi
بدۍ	badəi
بر	bar
برابر	barɑbar
برابري	baraːbari
برانډ	baraːnɖ
برايي	bərɑji
بربنډ	bərbəŋɖ
برتانيه	bartɑnja
برج	bradz
برخه	barxa
برخو	barxo
برخی	barxe
برخې	barxeː
برس	bars
برطانيه	bartɑnja
برغټ	bərɣəʈ
برقه	barqa
برنډې	baraːɳɖeː
بره	bara
بريا	barijaː
بريالي	barijaːli
بريالی	barijaːli
بريتانيا	britɑnijɑ
بريتونه	baritona
بريښي	barəxi
برکت	barkat
برکته	barkata
برکي	barki
بریا	barijaː
برید	barid
برېت	bret
برېښنا	bareːxna
بزمي	bazmi
بزه	baza
بزې	bazeː
بس	bas
بستر	bastar
بسیا	basijaː
بشام	baʃaːm
بشر	baʃar
بشري	baʃari
بشپړ	baʃpəɺ
بشپړولو	baʃpəɺulo
بشپړې	baʃpəɺeː
بشیر	baʃiːr
بغاري	baɣaːri
بغری	baɣare
بغلان	baɣlaːn
بغلاني	baɣlaːni
بغور	bəɣwər
بغیر	baɣer
بقا	baqaː
بل	bəl
بلا	balaː
بلال	balaːl
بلاوي	balaːwi
بلغارستان	bolɣɑrɪstɑn
بلغاريا	bolɣɑrjɑ
بلغاريه	bulɣɑrja
بلل	baləl
بله	bala
بلوک	bluk
بلي	bali
بلکه	balka
بلکې	balke
بلۍ	baləi
بلې	baleː
بلېږم	balegəm
بمي	bami
بن	bən
بنا	banaː
بنج	bandz
بند	band
بنده	banda
بندول	baŋdəwəl
بندي	bəndi
بنزیو	banzio
بنسټ	bənst
بنسټیز	bansəˈtiːz
بنو	bano
بنډار	banɖaːr
بنګېدل	bəngedəl
بنۍ	banaːi
به	ba
بهار	bahaːr
بهر	bahr
بهير	bahir
بهیر	bahir
بهېدل	bəhedəl
بهېږم	bahegəm
بوخت	boxt
بور	bor
بوره	bura
بوزېدل	buzedəl
بولم	boləm
بونا	bonɑ
بوى	buj
بوټان	buʈɑn
بوټي	boʈi
بوټی	boʈi
بوځي	bozi
بوڼېدل	buɳedəl
بوی	boj
بي	biː
بيا	bjɑ
بيايم	bjɑjəm
بيخ	bix
بيزه	biza
بيزو	bizo
بيسيم	bisiːm
بيليون	biljon
بيلېږي	bileːgi
بيول	biwəl
بييی	bijaɪ
بيړه	biɺa
بيژکۍ	bidʒakəi
بڅرکی	bəsərkaɪ
بچ	batʃ
بچو	batʃo
بډايه	bəɖaːja
بډای	bəɖaːj
بړستن	bɺəstən
بښل	bəxəl
بښنه	poxtəna
بښه	bəxa
بکاڼه	bakɑɳa
بگرام	bagraːm
بڼ	baɳ
بڼه	baɳa
بڼهار	bəɳəhɑr
بڼو	baɳo
بڼوال	bəɳwɑl
بڼکی	bəɳke
بڼې	baɳeː
بی	biː
بیا	biɑ
بیان	bijaːn
بیرته	birta
بیرون	birun
بیلګه	bilga
بیه	bija
بې	be
بېخي	bexi
بېرته	berta
بېعقل	beːaql
بېل	bjel
بېلا	beːlaː
بېلتون	beltun
بېلو	beːlo
بېټ	beːʈ
بېړۍ	beɺəi
ت	t
تآمین	tamiːn
تا	taː
تابع	taːbeː
تاته	taːta
تاج	taːddʒ
تاجکو	taːddʒko
تاريخ	taːrix
تاريخي	taːrixi
تاريخې	taːrixeː
تاریخ	taːrix
تاریخي	taːrixi
تاریخی	taːrixi
تازه	taːza
تاسره	taːsra
تاسو	tɑso
تاسي	taːsi
تاسیس	taːsiːs
تاسې	tɑso
تال	taːl
تانوکی	tɑnukaɪ
تانۀ	tɑnə
تاو	tɑw
تاوان	taːwaːn
تاوده	taːwda
تاوول	tɑwawəl
تاک	tak
تبادلې	tabaːdleː
تباره	tabaːra
تباهي	tabaːhi
تبر	tabar
تبرک	tabarak
تبلیغ	tabliːg
تبه	taba
تبی	tabiː
تجارت	taddʒaːrat
تجربه	taddʒarba
تجربو	taddʒarbo
تجربې	taddʒarbeː
تجزيې	taddʒziːjeː
تحکال	tahkaːl
تداوے	tadawa
تر	tar
ترافیکو	taraːfiːko
ترانې	taraːneː
تربیې	tarbjeː
ترتیب	tarteːb
ترخو	tarkho
ترسره	tarsara
ترلاسه	tarlasə
ترمنځ	tarmanz
تروش	taroʃ
تروه	tarwa
تريخ	tariːx
ترينو	tarino
ترڅنګ	tartsang
ترڅو	tartso
ترکمنو	tarkmano
ترکی	tarki
ترکیب	tarkiːb
ترکیې	tarkijeː
ترین	tareːn
ترې	tareː
تسبیحو	tasbiːho
تشبیه	taʃbiːh
تشخص	taʃaxos
تشه	taʃa
تشویقول	təʃweˈqawal
تشکيل	taʃkil
تعالی	taʕaːliː
تعريف	tarif
تعریف	tarif
تعلق	taluq
تعليم	taʕliːm
تغير	taɣeːr
تـه	ta
تقسیم	taqsiːm
تقلید	taqliːd
تل	təl
تلتک	taltək
تلل	tləl
تللي	talləi
تللی	talli
تللې	talleː
تله	tala
تلو	talo
تلوار	taluːaːr
تلین	taliːn
تم	tam
تماله	tamɑla
تمام	tamaːm
تمدن	tamadun
تمرکز	tamərkəz
تمرین	tamriːn
تمه	tama
تن	tan
تناره	tanaːra
تنبلي	tanbəli
تندی	tandi
تنه	tana
تنور	tanuːr
تنګ	taŋg
ته	ta
توان	tawaːn
توب	taub
توت	tut
توتي	tuti
توتکۍ	tautkai
توخي	taxi
تود	tod
توده	tawda
تودوخي	təwduxi
تور	taur
تورن	tauran
توره	taura
توری	tauriː
تورې	taureː
توغ	tauɣ
تول	taul
تولید	tauliːd
تومنه	taumana
تون	tun
تويول	tojawəl
توپ	taup
توپان	topɑn
توکل	taukal
توکم	taukam
توکو	tauko
توکي	tauki
توګه	tauga
تيار	tijaːr
تياري	tijaːri
تير	tiːr
تيره	tiːra
تيش	tiːʃ
تيپي	tipi
تپوس	tapus
تړاو	taɺaːw
تړل	təɺəl
تړلي	taɺli
تړون	taɺon
تړي	taɺi
تږي	tagi
تښتي	taxti
تکامل	takaːmul
تکرار	takraːr
تکليف	takliːf
تکلیف	takliːf
تکه	taka
تکړه	takəɺa
تګ	tag
تګلاره	taglaːra
تگ	tag
تڼۍ	taɳəi
تۀ	tə
تہ	ta
تیار	tijaːr
تیارې	tijaːreː
تیره	tiːra
تې	teː
تېر	teːr
تېره	teːra
تېروتل	terwatəl
تېروتنه	terwatəna
تېرۀ	terə
تېز	teːz
ث	se
ثبت	sabət
ثبتول	sabətawəl
ثواب	sawaːb
ج	ddʒ
جادو	ddʒaːdu
جارو	ddʒaːro
جام	dzɑm
جامه	ddʒaːma
جامو	ddʒaːmo
جامې	ddʒaːmeː
جان	ddʒaːn
جانان	ddʒaːnaːn
جاوید	ddʒaːweːd
جبین	ddʒabiːn
جدي	ddʒadi
جذب	ddʒazb
جرم	ddʒurm
جرمني	ddʒarmani
جرګو	ddʒərgo
جرګې	ddʒərgeː
جشن	ddʒaʃn
جفا	ddʒafaː
جل	ddʒal
جلا	dzəlɑ
جلال	ddʒalaːl
جلاله	ddʒalaːla
جم	ddʒam
جمعه	ddʒumʕa
جمعې	ddʒumʕeː
جمله	ddʒumla
جملو	ddʒumlo
جملي	ddʒumli
جملې	ddʒumleː
جنت	ddʒannat
جنرال	ddʒənraːl
جنسي	ddʒənsi
جنوبي	ddʒənubi
جنکۍ	dzinəkəi
جنګ	dzəng
جنګه	ddʒəŋa
جنګول	dzangawəl
جنګي	ddʒəŋi
جنګيالی	dzəngjɑlai
جنۍ	dzinəi
جهان	ddʒahaːn
جهاني	ddʒahaːni
جهنم	ddʒahannam
جولا	ddʒulaː
جومات	ddʒoːmat
جوړ	dzoɺ
جوړول	dzoɺawəl
جوړښت	ddʒoɺaxt
جوګ	ddʒog
جيب	ddʒeːb
جږګی	dzagaɪ
جکړ	dzakaɺ
جګ	dzɪg
جګتيا	dzəgtjɑ
جګړن	dzəgɺən
جګړه	dzəgəɺa
جګړول	dzagɺawəl
جګړې	ddʒəgreː
جیپ	ddʒiːp
جې	dze
جېبوتي	dzebuti
ح	h
حال	haːl
حالت	haːlat
حبیب	habiːb
حج	haddʒ
حجاب	həddʒaːb
حد	had
حساب	hisaːb
حسن	hasan
حشر	haʃar
حضرت	hazrat
حقوق	huquːq
حل	hal
حماس	hamaːs
حمام	hamaːm
حمزه	hamza
حمیدبه	hamiːdba
حيواني	hajwaːni
خ	x
خادم	xaːdəm
خارښت	xarəxt
خاصو	xaːso
خاطر	xaːtər
خال	xaːl
خالا	xaːlaː
خالق	xaːleq
خالي	xaːli
خام	xɑm
خاموش	xaːmoːʃ
خاموشي	xaːmoːʃi
خان	xaːn
خانده	xaːnda
خانۍ	xaːnaːi
خاورو	xaːwro
خاورې	xaːwreː
خاونده	xaːwanda
خاک	xaːk
خبر	xabˈar
خبره	xabˈara
خبرو	xabˈaro
خبري	xabˈari
خبری	xabˈari
خبریاله	xabriˈala
خبرې	xabˈare
خت	xət
ختا	xta
ختل	xatəl
ختمول	xatˈmol
ختيځ	xatiz
خداى	xaˈdai
خدای	xudɑj
خدمت	xadˈmat
خر	xar
خراب	xaˈrab
خرابه	xaˈraba
خرابو	xaraˈbo
خرما	xaɾˈma
خره	xaˈra
خرڅوي	xarˈsowi
خرې	xaˈre
خزانه	xaˈzana
خسرو	xasˈro
خطا	xaˈta
خطرناک	xatarˈnak
خطيب	xaˈtib
خفه	xaˈfa
خفګان	xafˈgan
خلاص	xlaˈs
خلاف	xlaˈf
خلافت	xlaˈfat
خلق	xlak
خلک	xlak
خلکه	xlaˈka
خلکو	xlaˈko
خلګ	xlag
خلګو	xlaˈgo
خمار	xmaˈr
خمچې	xəmatʃe
خنجر	xanˈddʒar
خندا	xanˈda
خندل	xanˈdal
خنډ	xand
خه	xa
خو	xo
خوا	xwa
خوابه	xwaˈba
خواته	xwaˈta
خواخوږي	xwaˈxogi
خوار	xwaˈr
خوارکي	xwaˈraki
خواشينی	xwɑʃinai
خواړه	xwaˈra
خواړو	xwaˈro
خواږه	xwɑgə
خواکار	xwaˈkar
خوب	xob
خوبه	xoˈba
خوبونو	xoˈbono
خود	xod
خودۍ	xoˈdai
خور	xor
خورئ	xoˈre
خورا	xwaˈra
خوراک	xwaˈrak
خورم	xwoˈram
خوره	xoˈra
خورو	xoˈro
خوري	xoˈri
خورې	xoˈre
خوست	xost
خوشال	xoˈʃal
خوشالي	xoʃaˈli
خوشبو	xoʃˈbo
خوشحال	xoʃˈhal
خوشحالي	xoʃhaˈli
خوشحالۍ	xoxˈhɑliː
خوله	xwlə
خولې	xoˈle
خوند	xwand
خوندي	xwanˈdi
خونه	xuna
خونې	xwaˈne
خوى	xwai
خوي	xwai
خوټه	xwəʈa
خوړ	xwaɺ
خوړل	xwaɺəl
خوړلي	xwaˈrli
خوړنځی	xwəɺənzaɪ
خوږ	xog
خوږه	xwaˈga
خوږو	xwaˈgo
خوږې	xwaˈge
خوښ	xoʃ
خوښي	xoˈʃi
خوښۍ	xoˈʃai
خوښې	xoˈʃe
خوی	xwai
خيدک	xaidək
خير	xeˈr
خيرات	xeˈrat
خيرن	xirən
خيره	xeˈra
خيل	xil
خيژي	xiˈddʒi
خيښي	xiˈʃi
خټه	xta
خټو	xaˈto
خټک	xatˈak
خټګ	xatˈag
خپسه	xəpəsa
خپل	xpal
خپله	xpaˈla
خپلو	xpaˈlo
خپلواک	xpalˈwak
خپلواکي	xpalwaˈki
خپلواکۍ	xpalwaˈkai
خپلى	xpalai
خپلي	xpaˈli
خپلې	xpaˈle
خپه	xəpa
خپګان	xpalgˈan
خځلي	xaˈdʒli
خړ	xəɺ
خړو	xaˈro
خړي	xaˈre
خړېږي	xaˈredʒi
خښتو	xaxˈto
خیبر	xaibar
خیر	xeˈr
خیرو	xeˈro
خېر	xaer
خېل	xel
خېټه	xeʈa
د	d
دئ	dai
دا	da
داخلي	daˈxli
داد	dad
داده	daˈda
دار	dar
داره	daˈra
دارو	dɑru
داسي	dɑsi
داسی	daˈsi
داسې	dɑse
داغ	daˈg
داغسي	daˈgsi
دان	dan
دانه	dɑna
دانګ	ɖɑŋg
داوي	daˈwi
داوړ	dawˈaɺ
داي	daj
داړل	dɑɺəl
دبام	daˈbam
دبل	daˈbal
دحق	daˈhaq
دخبرو	daˈxabro
دخداى	daˈxaˈdai
دخره	daˈxara
دخور	daˈxor
دخولې	daˈxole
دخپلې	daˈxpalai
ددي	dadi
ددې	dade
در	dar
درتلای	darˈtlai
درته	darˈta
درختي	daraxˈti
درد	dard
درزي	darzi
درس	daras
درسره	darˈsara
درسي	darˈsi
درشه	darˈʃa
درلود	darˈlod
درلېږل	darlˈegal
درمل	darmal
درملتون	dərməltun
درملو	darˈmalo
درملپوهنه	dərməlpohəna
درنه	drəna
دره	daˈra
درو	daˈro
دروازې	darˈwaze
درواغ	darwaˈg
درود	daˈrud
دروزه	druze
دروستل	dərwəstəl
دروغ	dʊrwɑɣ
درول	dərəwəl
درولم	darwaləm
درون	daˈron
دروند	druŋd
دري	daˈri
دريا	darˈja
درياب	darˈjab
دريم	darim
درک	darak
درکول	darkawəl
درکړم	darˈkram
دری	dari
دریاب	darˈjab
درې	dare
درېدل	dredəl
درېږم	daregəm
دشپې	daˈʃpe
دعا	daˈʔa
دعاء	daˈʔa
دعلم	daˈʕilm
دعوه	dɑwa
دغله	daˈɣla
دغه	dəɣa
دغې	daˈɣe
دفاع	daˈfa
دفتر	dofˈtar
دفن	dofan
دقت	daqˈat
دلارې	dalaˈre
دلته	dəlta
دلدار	dalˈdar
دلري	dalˈri
دلسا	dalˈsa
دلیل	dalil
دلې	dəle
دم	dam
دماشومانو	daˈmaʃumano
دماغ	daˈmag
دمخه	damˈxa
دملا	damˈla
دمه	daˈma
دمي	daˈmi
دندو	danˈdo
دنى	dani
دنيا	dunˈja
دنګو	danˈgo
ده	da
دهرات	dahaˈrat
دهغو	daˈɣo
دهغې	daˈɣe
دههم	daˈham
دو	do
دواړه	dwaˈra
دوبی	dobai
دوحې	doˈhe
دود	dod
دودونه	doˈdona
دور	dor
دورې	dore
دوست	dost
دوستانو	dostano
دوستم	dostam
دوعا	dua
دولي	doli
دومره	dumra
دونه	dona
دوه	doa
دوهم	doham
دوو	doo
دووسي	doosi
دوولس	dwolas
دويم	dwajəm
دوږخ	dogax
دوکتور	doktor
دوی	duj
دویم	dojem
دوې	doe
دوېم	dojem
دى	di
دي	di
ديارلس	djɑrləs
ديب	dib
ديرش	diːrʃ
دين	diːn
ديني	diːni
ديوال	diwal
ديوالونه	diwalona
دَ	da
دټول	daʈol
دپاره	dəpɑra
دپاسه	dapasa
دپلار	daplar
دپيغور	dapigoːr
دچا	daʈʃa
دړ	dəɺ
دړد	dəɺd
دښمن	daxman
دښمني	daxmani
دښمنۍ	daxmanai
دښې	daxe
دکتور	daktor
دکوم	dakum
دی	di
دیدے	diːde
دیر	diːr
دین	diːn
دیني	diːni
دیوه	diwa
دیګ	dig
دې	de
دېرش	diːrʃ
دېرو	dero
دېو	dew
دېګ	deg
دېګلی	deglaɪ
دے	de
دے۔	de
ذ	z
ذات	zaːt
ذهن	zehn
ذوق	zoq
ذکر	zɪkər
ر	r
رأس	raʔas
رئيس	raʔiːs
را	rɑ
راباڼي	raːbaːɳi
راتلل	rɑtləl
راتلو	raːtlo
راتلی	raːtli
راته	raːta
رادرومه	raːdrom-a
رارسيږي	raːrseːgi
راز	raːz
رازده	raːzda
رازق	raːzaq
رازِ	raːze
راستون	raːstuːn
راستي	raːsti
راسه	raːsa
راسې	rɑse
راشئ	raːʃe
راشم	raːʃam
راشمه	raːʃma
راشه	raːʃa
راشي	raːʃi
راشی	raːʃi
راغلاست	raːɣlast
راغلم	raːɣlam
راغلی	raːɣli
راغي	raːɣi
راغی	raːɣi
رامه	raːma
رانه	raːna
راهيسې	raːhiːse
راهیسې	rɑhise
راواوړي	raːwaoɺi
راوست	raːwast
راوستل	rɑwəstəl
راوستلو	raːwastlo
راولم	rɑwaləm
راولي	raːwali
راوړل	rɑwɺəl
راوړه	raːwɺa
راوړي	raːwaɺi
راپه	raːpa
راپور	raːpor
راپورته	raːporte
راځي	raːzi
راکه	raːka
راکول	rɑkawəl
راکړئ	raːkaɺe
راکړه	raːkaɺa
راګیر	raːgiːr
رب	rab
ربع	raba
ربه	raba
رحم	raxəm
رحمت	rahmat
رحمه	rahma
رخ	rax
رخسار	raxsar
رد	rad
رزمک	razmak
رسمي	rasmi
رسنۍ	rəsənai
رسول	rasul
رسولو	rasulo
رسۍ	rasiː
رسېدو	raseːdu
رشاد	raʃaːd
رضاکاره	razaːkaːra
رم	ram
رنځور	randdʒoːr
رنډۍ	rənɖəi
رنګ	raŋg
رنګه	raŋga
رنگ	raŋg
رهبر	rahbar
رهبري	rahbari
روان	rwaːn
روانې	rwaːne
روزانه	roːzaːna
روزنه	roːzana
روزنې	roːzane
روزي	roːzi
روسيه	rusja
روشن	roːʃan
روغ	roːɣ
روغتانۀ	roɣtɑnə
روغتون	roːɣtoːn
روغتيا	roɣtjɑ
روغتیا	roːɣtijaː
روغه	roːɣa
روغې	roːɣe
رول	rol
روم	rom
روي	roi
رويه	roja
روپۍ	ropai
روپې	rope
روژه	roːddʒa
روژې	roːddʒe
روښانه	roːxaːna
رټئ	raʈe
رپ	rap
رپوټ	rapot
رډ	raɖ
رډي	raɖi
رژیم	raddʒiːm
رښتيا	raxtijaː
رښتین	raxtiːn
رکعته	rakata
رکم	rakum
رګ	rag
رڼا	rəɳɑ
رڼې	raɳe
رېبز	rebəz
ز	z
زابل	zaːbil
زابلي	zaːbili
زار	zaːr
زامبه	zɑmba
زامن	zaːman
زاګرېب	zɑgreb
زاڼه	zɑɳa
زباتل	zbɑtəl
زباني	zabaːni
زبرګ	zbərg
زبه	zaba
زخم	zaxm
زخمه	zaxma
زده	zda
زر	zar
زرغون	zərɣun
زرغونه	zarɣuna
زرلښته	zarlaxte
زرم	zaram
زرمت	zarmat
زره	zara
زرو	zaro
زرګونه	zarguna
زغره	zɣəra
زغم	zaɣam
زغمل	zɣaməl
زل	zal
زلزله	zəlˈzələ
زلفو	zolfo
زلمی	zalmi
زلیخا	zʊləixa
زما	zmaː
زمانو	zamaːno
زمانې	zamaːne
زمري	zamri
زمری	zamri
زمرۍ	zmarəi
زمه	zama
زمونږ	zəmung
زموږ	zəmung
زنا	zənaː
زنار	zanaːr
زنانو	zanaːno
زنه	zəna
زنګ	zaŋ
زه	zə
زهٔ	zə
زو	zoː
زوئ	zoːe
زور	zoːr
زول	zoːl
زوم	zoːm
زون	zoːn
زوى	zoːi
زوړ	zoːɺ
زوی	zoɪ
زيات	zijat
زياتره	zijaːtra
زيړ	ziɺ
زړه	zra
زړهور	zɺawar
زړو	zro
زړګی	zrge
زړې	zre
زکات	zakaːt
زکر	zakar
زڼکی	zɘɳkɑi
زۀ	za
زہ	za
زیات	zijaːt
زیاته	zijaːta
زیار	zijaːr
زیان	zɪˈjɑn
زیتونو	zeˈtuno
زیربنايي	ziːrbanɑˈjiː
زېږېدل	zegedəl
س	s
سا	sɑ
سابه	ˈsɑbə
سابو	ˈsɑbo
ساتل	sɑˈtəl
ساتلو	sɑˈtlo
ساتلي	sɑˈtəli
ساتلې	sɑˈtəle
ساتنه	sɑˈtənə
ساتنې	sɑˈtəne
ساته	ˈsɑtə
ساتي	ˈsɑti
ساتۍ	ˈsɑtəj
ساحل	ˈsɑħel
ساده	ˈsɑdə
سارايي	sɑrɑˈjəj
سازمان	sɑzˈmɑn
ساعت	ˈsɑət
سالم	ˈsɑləm
سالمن	ˈsɑlmən
سالمه	sɑˈlmə
سالمو	sɑˈlmo
سام	ˈsɑm
ساه	ˈsɑhə
ساينس	ˈsɑjəns
سايه	ˈsɑjə
ساپټ	sɒpaʈ
ساړه	sɑɺ̢ə
سایل	ˈsɑjel
سایټ	ˈsɑjet
