acalli	aːkalːi
comalli	komaːlːi
conetzin	koˈnetsin
conetzitzin	konetsetsin
cotomitl	kotomitʃ
coyomeh	kojoːmeʔ
coyotl	kojot
coyotl	kojoːtɬ
coyotzi	koio˥˩ːtsi˩˥ː
coyutl	kojoːtɬ
coztic	kɔstik
cuacezo	kuasesso
cuaeztli	kwaˈestlɪ
cualli	kwˈali
cuapuertah	kwˈapwˈeɾta
cuauhnahuac	kʷaɸnaːwak
cuauhtlatoatzin	kuautlatoatsʲin
cuicani	kujkani
cuitlatl	kuitlatː
cuitlatl	kʷitɬatɬ
cē	sˈe
ehcatl	ehkatɬ
ehekatl	eʔeːkatɬ
ehkatl	eʔkatɬ
ehuatl	eːwatɬ
etic	etiːk
euatl	eːwatɬ
ewatl	eːwatɬ
ezxocotl	ɛsʃoːkotɬ
huacax	akas
huan	wan
huan	wˈʌn
huehue	wˈewˈɛ
huehue	wˈeɪwˈˈɛ
hueyac	weːjak
hueyi	weːji
huichichiqui	wˈɛtʃitʃiki
huilotl	wiːloːtɬ
huipilli	wiːpiːlːi
huitznaua	oitsnaua
huitzotl	witsoːtɬ
huāxyacac	wasjakak
iamox	dˈiːsˈmˈos
ihuan	xwan
inic	nik
ipan	pan
itic	itʲik
itla	itlɑ
itomin	itɔmin
itzkuinkoyotl	kojoːtɬ
iuccic	ikːsiːk
iuh	io
ixtapaluca	ɲistapaluka
iztac	istaːk
kastilan	kaʃtillaːn
katej	kate
kawayoh	kawaːjoʔ
kehme	keːʔme
kemah	keːmaʔ
kimichi	kimitʃi
koli	koˈlˈlɪ
koyochichi	kojoːtɬ
koyotl	kojoːtɬ
kuatl	kuaːtɬ
kwatl	kuaːtɬ
lalax	lalaːʃ
lalaxtli	lalaʃli
lalaxtli	lalaːʃtɬi
macehualli	maːseːwalli
macihui	lasiɣ̞wi
macuilli	makwili
macuilxochitl	makueilʃotʃitl
maitl	maitɬ
malintzin	malinsin
mapilli	mapili
maxtlatl	maʃtɬatɬ
maxtli	maʃtɬi
mayahuel	majaɣ̞wel
mazatecah	masateka
mazatli	masaiːtli
metl	metɬ
metztli	metstɬi
metztli	mˈɛkstli
mexicas	mɛʃːikaa
mexicatl	mˈesˈikˈat
mextli	meʃtɬi
michin	nitʃin
miltomatl	miːltomatɬ
miqui	miki
mistl	mistɬ
mixtli	miʃtɬi
mixtli	mʃtlʲi
miztli	mistɬi
molcaxitl	moːlkaʃitɬ
molli	moli
motecac	mɔtɛkak
moteuh	mote
motocah	mˌotˈoka
motomin	mˌotoˈmˌinˈ
moyolotzinco	moʎolotsinko
moyote	moɣoˈte
moyotl	moːjoːtɬ
nahualli	naualˈli
nahui	nawi
nantli	nandli
neuctli	nˈɛktli
nican	nˈikən
niltze	nilsɛ
niman	nimɛn
nimayanazquia	nimajanaskija
nimechitta	nimeˈtʃita
nimihtotia	nˌimˌisˈtotˌiˌa
nimitzcocolia	nimitskokolja
nimitzitta	nimitsita
nimitzpalehuizquia	nimitsalɛwiskia
nimoahui	nimoawi
nimocehuih	nimosewi
nimococoa	nˈimˈokokoˌa
nimococoh	nˈimˈokoko
nimocuatacanih	nimokuatakani
nimocuezoz	nurmokuesos
nimomachtia	nemomatʃtia
nioquichpil	niokitʃbil
niquinamati	nikinəmati
niquitta	nikita
niquittac	nikitak
niquittaz	nikitas
niteitta	niteita
nitelpocatl	nitelpokat
nitequitiyaya	netekitijaja
nitequitizquia	nitekitiʃkia
nitlacohuaqui	nitlakɔwaki
nitlacuahqui	nitlakwaki
nitlacuaqui	nitlakvaki
nitlacuato	nitlakuata
nitlacuayaya	nitlaːkwajaja
niyaz	nˈias
niyohua	nijuwa
noamox	nˈoˈamos
nocalnechca	nokannɛtʃka
nochan	nˈoːtʃɑːn
nochi	nˈotʃi
nochichi	notʃitʃʲi
nochimeh	notʃime
nochipa	nˈotʃˈipa
nochtli	noːtʃtɬi
nocihuauh	nosiwa
nocoton	nokotan
noezzo	noestso
nohpalli	noʔpalːi
nohuampoh	nˈowˈampo
nohuez	nˈoʊwˈɛst
noicnihuan	nˈoːtkniː˧wan˧
noicxi	nˈoikʃi
nomah	nˈoma
nometz	nˈomˈɛt
nomimi	nɔmimi
nomonta	nˈomˈonta
nonacaz	nanakas
nopayo	nopajʊ
nopi	nopj
nopil	nˈopˈiʎ
notatah	notatˈa
notecac	notɛkaˈk
notepotznanan	notepotsanan
noteuh	note
notocah	nˈotˈoka
nototatah	nototata
notza	nˈɔtsa
noxayac	noɕajak
noyacatzol	nojakat̪s̺o̞l
noyexnan	nˈojˈɛʃnˈan
noyexta	nˈojˈɛʃtɑ
noyollo	nojolo
nozo	nˈoθo
no’pali	noʔpalːi
nō	nˈo
oc	ɒk
ocelotl	oseːloːtɬ
ocuilimeh	okwilime
ocuilin	okʷilin
omochihuazquia	omotʃiwaspia
ompa	ompɑ
oncah	onka
oncayaya	onkaʝaja
oni	ˈɔni
oselotl	oseːloːtɬ
otihuetz	otːiwˈets
ozelotl	oseːloːtɬ
pahuatl	pawatɬ
palani	balani
papalotl	papalots
papalotl	paːpaːloːtɬ
pauatl	pawatɬ
paxaloa	paˈsaloˈa
pehua	peua
pepeztic	vɛpɛstik
peuhqui	peki
pialli	piallj
pilaltepetzin	pilaltepetsʃiːn
pitsotl	pitsotɬ
pitzonacatl	pitsonakatɬ
pitzotl	pitsot
pitzotl	pitsotɬ
piya	pia
pochotl	poːtʃoːtɬ
poctli	poːktɬi
poktli	poːktɬi
polatoh	polato
polihui	pˌɔliwi
poloa	poːˈloːa
popokatepetl	popokatɛpɛt
portugal	poɾtugal
quechcuayo	ketʃkuaio
quemacatzin	kemakatʃin
quemmantica	kemantika
quemmantzin	kemantsin
quenion	enion
quenque	kelkˈe
quentzin	kentsim
quetzalcoatl	kətsˈaːlkˈoˈatlˈ
quetzalli	ketsaˈli
quetzaltic	kẽt̪s̺alt̪ik
quiamati	kiemati
quiamatih	kiamati
quihto	kisto
quihtoa	kist̪oa
quilnamiquiz	kinamikis
quimati	kimate
quimichi	kimitʃi
quimichin	kimitʃin
quinamacah	kinamaka
quinanquilih	kinaːnkili
quinequiah	kinekia
quinequih	kineki
quinequiz	kʲinˈnɛkʲiˌs
quinitta	ˈkinitˈa
quinpapanoltili	kinpapanortili
quixtia	kist̪ia
quiyahuitl	kijáwitɬ
quizqui	kiskin
sakatl	sakatɬ
senitztoya	senˈitstˈoja
sokitl	sokitɬ
tahtli	tˈaxtli
tajtli	tˈaxtli
tamalli	taˈmali
tamasoli	tamasoli
tamazolin	tamasolin
tapachtli	tapaːtʃtʰli
tatah	tata
tecactli	tˢekatˢli
techan	beːtʃˈan
technequih	tɛtʃnɛki
teco	tɛk˥o˥˩
tecotlazohtlaliztli	tekotlasotlalistli
tecpatli	tekbatli
tehua	teua
tehual	te˨˩wan˥
tehuanten	tegwantˌen
tehuantin	teguantin
tehuilana	tɛwjlana
telpocatl	t̪elpokat̪
temiquiliztli	temikilistri
temoa	te˨˩moa˥˥
tenextepoztli	tɛnɛʃtɛpɔstli
tenextic	tɛnɛstɪk
tenextilía	tenestilia
tenochca	te˥˩ːno˥˩ːtʃika˥˩ː
tentzontli	teːntsontɬi
tenxipalli	tenʃipali
teopixqui	teoːpiʃki
teotihuacàn	tˌeotˌiwˈakan
teotlac	t̪e̞t̪lak
tepamitl	tɛpamiːt
tepec	tɛpɛc
tepeixco	tɛpɛisʲkɔ
tepemeh	tɛpɛme
tepetl	tepeːtɬ
tepiltzin	t̪epilts̺ĩn̪
tepolli	tepoːlːi
tepozacalli	teposaːkalːi
tepozocuilin	teposokʷilin
tepul·li	tepoːlːi
tequihuia	t̪e̞kiwiːja
tequilia	tekilja
tequiti	t̪ekjti
tequitici	tekitiʃi
tequitinih	tekitini
tequitiyaya	t̪ekjtijaja
teteochihualiztli	teteotʃiualistli
tetiya	tet̪ia
tetl	tet
tetlapali	etlapali
tetsauitl	tɛtsawit
texihuitl	tesiwitɬ
tezcatl	teskat
tezihuitl	tesiwitɬ
ticamatih	tikamati
ticcua	tikːwa
ticihuapil	tisewapːˈiːl
ticnequih	tʲiknɛki
ticochi	tiko˥˥tʃi˥˧
ticonican	tikonika
ticpiya	tikpia
tietiqueh	tie̞tike
tihuetzqui	ɾiwɛtski
tihuicaz	tiwjkas
tiihzac	tiːiːsak
tiitztoc	tiːˈitstˈok
timiquitiya	timikitia
timocahuah	timokawa
timomachilia	timomaktʃilia
timotlaloz	timtlalos
tinechchiyaz	tinetʃtʃias
tineci	tiːnesi
tiotlac	tiot̪lak
tipanoh	tipanˈo
tiquetzaltic	tʲikɪtʲsaltʲik
tiquihtoa	tikistoa
tiquitta	tikita
titlacuacan	tʲitlʲakwakãn
titlacuah	tˈitlˈakwˈa
titlamaxima	tˈitlamaːsima
titztica	tiːɪtstika
tiyacan	tʲijakɐn
tlaahuetzi	tlaʕwetsi
tlacachihua	tlakatʃiva
tlacameh	tlakame
tlacatototl	tɬaːkatoːtoːtɬ
tlachco	tljatʃko
tlacua	falaːkwa
tlacuachin	tɬakwaːtʃin
tlacualiztli	tlakuallistli
tlacualli	tlakuali
tlacuazquiah	tlakwaskia
tlacuilos	tʃakwilos
tlahco	tlaxko
tlahtoani	tɬaʔtoaːni
tlahuel	tlaw̜e̞l
tlaixpan	tlaiːspan
tlalco	slalko
tlale	klale
tlalli	tlali
tlalocelotl	tɬaːoseːloːtɬ
tlalticpac	t̪lal̪t̪ikpaːk
tlalticpactempan	t̪ʃlalt̪ikpakt̪ɛmpan
tlaltizapan	tlal̪t̪isapa
tlamaca	klamakˈa
tlamantli	tlamankˈli
tlanahuatiliztli	tlaːnawatilistli
tlanamacato	lanamakato
tlaneci	flanesi
tlapechtli	klaːpɛtʃtli
tlapohua	tlapoa
tlatehua	klatɛwa
tlatlaniliztli	klatlanilistli
tlatoctzin	tlatoktsiŋ
tlatzihui	kˈlˈatˈsiwi
tlaxcallan	tɬaʃkallaːn
tlaxkalan	tɬaʃkallaːn
tlaxtlahua	tlaʃlawa
tlayecana	tlaje˩˥ːkana˥˩
tla’toli	tɬaʔtoːlːi
tleca	lˈɛkːa
tleica	kleika
tleino	kleino
tlenhueli	tˈlˈɛnwˈˈli
tlenon	plenon
tocatl	tokat
tocatl	tokatɬ
tocaxtia	t̪okast̪ia
tochi	toːtʃti
tochin	toːtʃin
tochtli	toːtʃtɬi
tocih	tosi
tocomaleh	tokomaːlɛ
tocompaleh	tokompalð̞e
tokatl	tokatɬ
toltec	tɔltɛk
tomahuac	tomawak
tomahuac	tomaːwak
tomatl	tomatɬ
tona	tɔnˈna
tonacaztlan	to˩˥ːna˩˥ːkastʰla
tonahuac	tonawa
tonal	toːnal
tonale	dˈoːnˈale
tonalli	toːnalːi
tonaltzintli	toːnatiʔ
tonantziné	tonantsine
tonatih	toːnatiʔ
tonatiuh	toːnatiʔ
tonatiw	toːnatiʔ
tonetehuiliz	tonetevilis
tonochtin	tonɔtʃtiːn
totequi	tɔteki
totlalhui	tˌotˈlalwˈi
totlalnantzin	totlalnantsim
totlalticpac	tɔtˈlaltikˈpak
tototl	toːtoːtɬ
tuchtli	toːtʃtɬi
tzahtzi	tsatsi
tzaponochtli	tsaponoːtʃtɬi
tzintamalli	tsintamalˈi
tzitzimime	tsitimime
tzohpilotl	tsoʔpiːloːtɬ
tzonquizca	tsonkaska
tzotzo	tsoˈtˈzˈo
tōchtli	tˈʌtʃtlˈi
uan	wˈʌn
uilotl	wiːloːtɬ
xacoiztatl	ʃakoistats
xalli	ʃali
xalli	ʃaːlli
xamitl	ʃaːmitl
xicalaqui	sekalaki
xiccahua	sij˧˧ka˥˧wa˥˧
xiccua	sikːwa
xichocatehua	ʃitʃokateua
xicohtli	ʃiːkoʔtɬi
xictemo	siktemɯ
xictli	ʃiːktɬi
xihuallacan	siwalakan
xihualmoica	siɣwalmoʔika
xihuicacan	siwˌikːˈakːa
xiihza	siisa
xilonen	ʃilonˈn
ximihtotican	ʃimiʃtotikan
ximoquetzacan	ɕimoketsakan
xinachtli	ʃinaːtʃtɬi
xinechtoca	ʃinetʃt̪oka
xipano	ʃipanno
xiquitta	ʃikita
xitlacuacan	sit̪lakwakãn̪
xitlahuac	sitlawak
xitomatl	ʃiːtomatɬ
xiyauh	ʃija
xochi	tʃotʃi
xochiapa	ʃotʃjapa
xochitl	ʃoːtʃitɬ
xococ	ʃokok
xoconostle	ʃoko˩˥ːnostli
xocotl	ʃoːkotɬ
xokotl	ʃokotɬ
xolotia	solʊtia
xotl	ʃoːtɬ
xōpan	ɣ̞sopan
yacatecutli	dʒakatekutli
yacatl	jakat
yancuic	jankʷik
yanopa	ɟʰanopa
yauh	ja
yayauh	jaja
yaz	jˈɛs
yazza	rassa
ye	jˈɛ
yeca	jɛkːɑ
yecana	ekana
yehuatl	eːwatɬ
yehyectzitzin	jɛhjɛktsitːsin
yehyekatl	eʔeːkatɬ
yei	jˈe
yolic	ɟʝolik
yoliliztli	joˈliˈliːsli
yolkatl	joːɬkatɬ
yon	ɪoːn
yoyomitl	jo˧˧jo˧˧mite˧˧
yulcatl	joːɬkatɬ
zacatl	sakatɬ
zakatl	sakatɬ
zapotlan	sapotlɛn
zatepan	satʰeːpanː
zayolin	saːjoːlin
zazo	sasok
zo	sɔ
zolin	soːlin
zolli	soːli
zoquitl	sokitɬ
¡nilze!	nilse
ātl	itl
