ــ	æ
آدامز	ˈɑːdæmz
آدَمُ	aːdam
آدم	ˈʔɑːdam
آدمز	ˈɑːdamz
آدَمِيٌّ	aːdamijj
آدي	ʔaːdiː
آديل	ɑːdiːl
آذَارُ	aːðaːr
آذار	ɑːðɑːr
آذاك	ɑːðɑːk
آذَانٌ	aːðaːn
آذان	ɑːðɑːn
آذاني	ɑːðɑːni
آذى	ʔaːði
آذيت	ˈʔaːðit
آرَ	aːr
آر	ɑːr
آرَاءٌ	aːraːʔ
آراء	ɑːraːja
آراك	ɑːrɑːk
آرام	aːraːm
آرام	ˈʔɑːrɑːm
آرت	ɑːrt
آرتشر	ɑːrtˈʃɑr
آرتشي	ɑːrtʃi
آرتي	ɑːrti
آرثر	ˈɑːrθɑr
آرشر	ˈɑːrʃɑr
آرك	ɑːrˈk
آرلو	ɑːrˈluː
آرلين	ɑːɾˈliːn
آرنولد	ˈɑːrnɑːld
آرني	ɑːrˈniː
آرون	aːruːn
آرون	ɑːˈɾuːn
آرى	ɑːriː
آري	ʔaːriː
آريا	ɑːrijɑ
آريس	ʔaːriːs
آزَرَ	aːzara
آسِ	aːs
آس	ɑːs
آسِ	ʔis
آسِفٌ	aːsafa
آسِفٌ	aːsif
آسفُ	ɑːsˈfu
آسفٌ	ɑːsˈfʊn
آسف	ɑsˈf
آسف	ʔasˈf
آسِف	ʔasˈif
آسـف	ʔɑsˈf
آسفاً	ʔasˈfɑn
آسفان	ɑːsˈfɑːn
آسفةٌ	ɑːsˈfah
آسفـة	ʔasˈfah
آسفة	ʔɑsˈfah
آسفه	ɑːsfeh
آسفون	ɑːsˈfuːn
آسِيَا	aːsiːaː
آسِيَا	aːsiiaː
آسيا	ˈʔaːsija
آسِيَوي	aːsiːauijj
آسيوي	ˈʔasiːwi
آسيوية	ˈʔasijjah
آش	ʔaːʃ
آشر	ˈɑːʃr
آشلي	ʔaːʃli
آشور	aːʃuːr
آغَا	aːɣaː
آغنيس	ˈæːɣnis
آفَاقٌ	aːfaːq
آفي	ɑːfi
آكس	ɑks
آكَلَ	aːkala
آكَلَ	aːkil
آكَلَ	aːkul
آكل	ˈɑːkɪl
آكلة	ɑːkɑːlɑːtɑ
آكله	ˈɑːkle
آكلي	ɑːkli
آكو	ɑːkoʊ
آلَ	aːl
آلَ	aːla
آل	ɑːl
آلـ	ɑːl
آلَا	aːlaː
آلا	ɑːlɑː
آلَاءٌ	aːlaːʔ
آلات	ɑːlɑːt
آلَاَفٌ	aːlaːf
آلاف	ɑːlɑːf
آلَاَمٌ	aːlaːm
آلام	ɑːlɑːm
آلان	aːlaːn
آلان	ɑːlɑːn
آلبرت	ʔælbɛrt
آلة	ʔala
آلت	ɑːltˤ
آلف	ælfe
آلن	ɑːlɪn
آله	aːlahu
آله	aːlh
آله	æːle
آلهة	ʔiːlah
آلهى	æːlæh
آلهي	æːlæhij
آلو	ɑːloː
آلَى	aːlaː
آلى	ɑːliː
آلِيٌّ	aːliː
آلِيٌّ	aːlijj
آلي	ɑːliː
آلياً	ʔaːlijaːn
آلية	æːlija
آليس	ɑːlɪs
آليسون	ɑːlɪsˈsˤoːn
آليك	ɑːlɪk
آليكس	æːliːks
آلين	ɑːliːn
آمَ	aːma
آم	ɑːm
آمَالٌ	aːmaːl
آمال	ɑːmɑːl
آمالك	ɑːmɑːlɪk
آمالي	ɑːmɑːlɪ
آمان	ɑːmɑːn
آماندا	ɑːmɑːnɑːdɑː
آمبر	ɑːmbir
آمِرٌ	aːmara
آمِرٌ	aːmir
آمِرٌ	aːmur
آمر	ˈʔɑːmɑr
آمرك	ʔɑmɾɪk
آمل	aːmal
آملُ	ɑːmeːlu
آمل	ɑːmɪl
آملاً	ɑːmɪlæ
آملين	ɑːmeːlin
آمم	ɑːm
آمَنَ	aːmana
آمَنَ	aːmanna
آمَنَ	aːmin
آمن	ʔaːmen
آمنًا	ɑːmɑnɑ
آمنا	ɑːmˈnɑː
آمناً	ʔaːmanan
آمنة	ɑːmna
آمنت	ɑːment
آمنه	ʔaːmena
آمنوا	ʔaːmenwaː
آمنون	ʔaːmenː
آمنين	ʔaːmiːn
آمون	ɑːmoːn
آمي	ɑːmi
آمِينَ	aːmiːn
آمين	æːmiːn
آنَ	aːn
آنَ	aːna
آن	ʔan
آنَا	aːnaː
آنا	ʔɑːnɑ
آنـا	ʔɑnɑ
آنَاءَ	aːnaːʔ
آنَاءَ	aːnaːʔa
آنَاءَ	aːnaːʔi
آنابيل	ʔaːnaːbɪl
آناليس	ʔanaːlɪs
آنت	ʔɑntˤ
آنج	ɑːndʒ
آنجل	ʔangal
آنجلوس	ʔɑnˈgɑlos
آنجي	ɑːnˈdʒi
آنجيلا	ˈæːndʒɪlɑ
آند	aːnd
آند	ɑːnd
آندرسون	ɑːndɪrsɑːn
آندرو	ɑːndru
آندري	ɑːndriː
آندى	ɑːndi
آندي	ˈandi
آنَذَاكَ	aːnaðaːk
آنذاك	ʔanadˈðæk
آنَسَ	aːnasa
آنسات	ɑːnesɑːt
آنساتي	ʔɑːnsɑːti
آنسة	ʔɑːnesˈsˤɑ
آنستي	ʔansti
آنسه	ʔɑːnesˈsˤɑ
آنفاً	ʔanfam
آنى	ʔaːniː
آنِي	aːniː
آنِي	aːnijj
آني	ʔaːniː
آنيا	ˈʔanijɑ
آهٍ	aːh
آهٍ	aːha
آه	ɑː
آها	ɑːhɑː
آهات	ɑːhɑːt
آو	ɑːw
آوشفيتس	ɑːwʃfeɪts
آوه	ɑːwe
آووه	ɑːwuh
آوَى	aːwaː
آوى	ɑːwɪ
آى	ɑj
آي	aːj
آي	ʔaj
آيا	aːjaː
آيا	ʔajɑ
آيان	ʔajjan
آيب	ʔajb
آية	ʔaja
آيد	ʔajd
آيدا	ˈʔajda
آيدن	ʔaːjden
آيرا	ʔajra
آيرس	ʔajrɪs
آيريس	ʔajris
آيرين	ʔajrin
آيزاك	ˈʔajzak
آيس	ʔajs
آيفان	ʔaːjfan
آيفري	æjfri
آيفز	ʔaɪfz
آيفي	æjvi
آيك	ʔajk
آيلاند	ɑːjlɑːnd
آيلند	æjlænd
آيلين	æjlin
آيمي	ʔajmi
آينشتاين	ʔajnʃtæjn
آيه	æj
آيوا	ɑjwɑ
أ	ʔ
أ	ʔa
أأتي	ʔaːtiː
أأخذ	ʔaɣː
أأستطيع	ʔɑstɑtˤiːʔ
أأكل	ʔɑkɫ
أأمل	ʔaːmal
أأمن	ʔaʔman
أأنا	ʔaːna
أأنتَ	ʔaːntan
أأنتِ	ʔaːnti
أأنت	ʔaˈnːat
أأنتم	ʔaːntum
أأنتما	ʔaːntˤaːma
أؤدي	ʔaːdiː
أؤذي	ʔoʔði
أؤذيكِ	ʔoːðeːki
أؤذيك	ʔoːðik
أؤكّد	ʔoːkːad
أؤكد	ʔoːkɪd
أُؤَكِّدُ	ʔuʔakkad
أُؤَكِّدُ	ʔuʔakkid
أؤلئك	ʔuːliːk
أؤمن	ʔoːman
أُؤَمِّنُ	ʔuʔammin
أؤيد	ʔoːjid
أُؤَيِّدُ	ʔuʔajjad
أُؤَيِّدُ	ʔuʔajjid
أانت	ʔaːnt
أب	ʔab
أَبَ	ʔab
أبّ	ʔabː
أَبّ	ʔabb
أَبَ	ʔabba
أبٌ	ʔabun
أَبَا	ʔabaː
أباً	ʔaban
أَبَا	ʔabbaː
أبًا	ʔabʔan
أبا	ʔɑbɑ
أباء	ʔabaːʔa
أباء	ʔɑbɑː
أَبَاحَ	ʔabaːħa
أَبَاحَ	ʔubaːħ
أَبَادٍ	ʔabaːd
أَبَادٍ	ʔabaːda
أَبَادٍ	ʔubaːd
أَبَارَكَ	ʔabaːraka
أَبَارَكَ	ʔabaːraki
أَبَارَكَ	ʔubaːrik
أبَاطِيلُ	ʔabaːtˤiːl
أباك	ʔabaːk
أباكِ	ʔɑbɑki
أبالغ	ʔɑgwæl
أبالي	ʔabaːli
أَبَانٍ	ʔabaːna
أَبَانٍ	ʔubaːn
أبانا	ʔabaːnaː
أباه	ʔabaːh
أباها	ʔɑbɑhɑ
أَبَتْ	ʔabaat
أَبَتْ	ʔabatta
أَبَتْ	ʔabatti
أَبَتْ	ʔabattu
أَبَتْ	ʔabbat
أَبَتْ	ʔabitt
أَبَتْ	ʔabutt
أبت	ʔapt
أبتِ	ʔaptˁi
أَبَتْ	ʔubta
أَبَتْ	ʔubti
أَبَتْ	ʔubtu
أبتاع	ʔabtiːʕ
أبتاه	ʔabtaːh
أَبْتَسِمُ	ʔabtasim
أبتسم	ʔɪtˈmaːlˤis
أبتعد	ʔabtaʕad
أبتعدوا	ʔabtaʕdaʕ
أبتعدي	ʔaptædˈdi
أبتي	ʔabti
أبحاث	ʔabɑːrɑːʃ
أَبَحَّاثٌ	ʔabħaːθ
أبحاثي	ʔɑbɑˈrɑːðˈsˈiː
أبحث	ʔabɑhɑθ
أبحثُ	ʔabɑħuθu
أَبَحْثٌ	ʔabħaθ
أَبْحثُ	ʔabħuθ
أَبَحْرٌ	ʔabħar
أَبَحْرٌ	ʔabħara
أَبَحْرٌ	ʔabħur
أبحر	ʔɑhˈbɑr
أَبَحْرٌ	ʔubaħħar
أَبَحْرٌ	ʔubaħħir
أَبَحْرٌ	ʔubħir
أبحرت	ʔɑbˈhɑrt
أَبْدِ	ʔabad
أَبْدِ	ʔabada
أَبْدِ	ʔabbada
أبد	ʔabd
أَبْدِ	ʔabd
أَبْدِ	ʔabudd
أبدء	ʔabdaʔ
أبدآ	ʔabdɑː
أبدأ	ʔabdaː
أَبَدَأَ	ʔabdaʔ
أَبَدَأَ	ʔabdaʔa
أَبْدأُ	ʔabdaʔu
أَبَدًا	ʔabadaː
أَبَدًا	ʔabbadaː
أبداَ	ʔabda
أبداً	ʔabdaːm
أَبَداً	ʔabdaːm
أبدًا	ʔabdaːn
أبَداً	ʔabdaːn
أبـداً	ʔabdan
أبـدا	ʔabdɑ
أبدا	ʔabdɑ
أَبَدَعَ	ʔabdaʕ
أَبَدَعَ	ʔabdaʕa
أَبَدَعَ	ʔubaddaʕ
أَبَدَعَ	ʔubaddiʕ
أَبَدَعَ	ʔubdiʕ
أبدل	ʔabdal
أبدو	ʔabdu
أَبْدو	ʔabdu
أَبْدُو	ʔabduː
أبدوا	ʔabdaː
أبدى	ʔabdaː
أَبْدَى	ʔabdaː
أَبْدَى	ʔubdaː
أُبْدِي	ʔabadajja
أُبْدِي	ʔabadiː
أُبْدِي	ʔabadii
أُبْدِي	ʔabadijj
أبدي	ʔabdi
أُبْدِي	ʔubdiː
أبدية	ʔabdiːjæ
أبذل	ʔabðal
أَبَذَلَ	ʔabðul
أَبَرٌّ	ʔabara
أَبَرٌّ	ʔabarr
أَبَرٌّ	ʔabarra
أَبَرٌّ	ʔabbara
أَبَرٌّ	ʔabirr
أَبَرٌّ	ʔabr
أَبَرٌّ	ʔubirr
أَبَرَّأَ	ʔabraʔ
أَبَرَّأَ	ʔabraʔa
أَبَرَّأَ	ʔubarraʔ
أَبَرَّأَ	ʔubraʔ
أَبْرَاجٌ	ʔabraːdʒ
أبراج	ʔabraʒ
أَبَرَارٍ	ʔabraːr
أبراهام	ʔabraːhaːm
أبراهام	ʔabraːhɑːm
أبرح	ʔabriħ
أبرد	ʔaberd
أَبَرْدٌ	ʔabrada
أَبَرْدٌ	ʔabrud
أَبَرْدٌ	ʔubarrad
أَبَرْدٌ	ʔubarrid
أَبَرْدٌ	ʔubrid
أَبَرَزَ	ʔabraz
أَبَرَزَ	ʔabraza
أَبَرَزَ	ʔabruz
أبرز	ʔɑbˈɾuz
أَبَرَزَ	ʔubarraz
أَبَرَزَ	ʔubarriz
أَبَرَزَ	ʔubriz
أبرع	ʔabraʕ
أَبْرَمَ	ʔabram
أَبْرَمَ	ʔabrama
أَبْرَمَ	ʔabrum
أَبْرَمَ	ʔubarram
أَبْرَمَ	ʔubarrim
أَبْرَمَ	ʔubram
أَبْرَمَ	ʔubrim
أبرياء	ʔabriːaːʔ
أبرياء	ʔabriːʔaː
أبريل	ʔabriːl
أَبْرِيلٌ	ʔabriːl
أَبَسْطٌ	ʔabsatˤ
أَبَسْطٌ	ʔabsutˤ
أبسط	ʔabsˤatˈsˤ
أَبَسْطٌ	ʔubassatˤ
أَبَسْطٌ	ʔubassitˤ
أَبَشَرٌ	ʔabʃar
أَبَشَرٌ	ʔabʃara
أَبَشَرٌ	ʔabʃir
أَبَشَرٌ	ʔabʃur
أَبَشَرٌ	ʔubaʃʃar
أَبَشَرٌ	ʔubaʃʃir
أَبَشَرٌ	ʔubʃir
أبشع	ʔabʃæʕ
أَبَشِعٌ	ʔabʃaʕ
أَبَشِعٌ	ʔubaʃʃaʕ
أَبَشِعٌ	ʔubaʃʃiʕ
أَبْصَارٌ	ʔabsˤaːr
أَبَصَرٌ	ʔabsˤar
أَبَصَرٌ	ʔabsˤara
أَبَصَرٌ	ʔabsˤur
أَبَصَرٌ	ʔubasˤˤar
أَبَصَرٌ	ʔubasˤˤir
أَبَصَرٌ	ʔubsˤir
أبصق	ʔabsɑq
أَبْطَأَ	ʔabtˤaʔ
أَبْطَأَ	ʔabtˤaʔa
أبطأ	ʔɑbtˁɑː
أَبْطَأَ	ʔubatˤˤaʔ
أَبْطَأَ	ʔubtˤaʔ
أبطئ	ʔɑbtˤɑj
أَبْطَالٌ	ʔabtˤaːl
أبطال	ʔɑbtˤɑːl
أبطالاً	ʔɑbtˤɑːlˤɑn
أَبَطَلٌ	ʔabtˤala
أَبَطَلٌ	ʔabtˤul
أَبَطَلٌ	ʔubatˤˤal
أَبَطَلٌ	ʔubatˤˤil
أَبَطَلٌ	ʔubtˤil
أبعاد	ʔabmaːdaː
أَبْعَادٌ	ʔabʕaːd
أبعث	ʔabʕaθ
أَبَعَثَ	ʔabʕaθ
أبعد	ʔabˈʕad
أَبُعْدٌ	ʔabʕad
أَبُعْدٌ	ʔabʕada
أَبُعْدٌ	ʔabʕud
أَبُعْدٌ	ʔubʕad
أَبُعْدٌ	ʔubʕid
أَبُعْدٌ	ʔubʕida
أبعدت	ʔabˈʕadˤat
أبعده	ʔabˈʕadah
أبعدها	ʔabˈʕaða
أبعدهم	ʔabˈʕadahum
أبعدوا	ʔabˈʕadˤa
أبعدوه	ʔabˈdaːhu
أبعدي	ʔabˈʕadˤi
أَبُغْضٌ	ʔabɣadˤ
أَبُغْضٌ	ʔabɣadˤa
أَبُغْضٌ	ʔabɣudˤ
أَبُغْضٌ	ʔubaɣɣadˤ
أَبُغْضٌ	ʔubaɣɣidˤ
أَبُغْضٌ	ʔubɣadˤ
أَبُغْضٌ	ʔubɣidˤ
أبق	ʔabiqa
أبقِ	ʔabiqi
أبقار	ʔabqaːr
أَبِقَارٍّ	ʔabqaːr
أبقت	ʔabqit
أبقني	ʔabqni
أبقه	ʔabaqa
أبقها	ʔabqah
أبقوا	ʔabqɑwɑ
أبقى	ʔabgaː
أَبْقى	ʔabgaj
أَبْقَى	ʔabqaː
أَبْقَى	ʔubqaː
أبقي	ʔabqi
أبقيت	ʔabqiːtˤ
أبقيك	ʔabqiːk
أبقينا	ʔabqiːna
أبقيه	ʔabqiːh
أبقيها	ʔabqihɑ
أبكر	ʔabkar
أَبِكْرٌ	ʔabkar
أَبِكْرٌ	ʔabkara
أَبِكْرٌ	ʔabkur
أَبِكْرٌ	ʔubakkar
أَبِكْرٌ	ʔubakkir
أَبِكْرٌ	ʔubkir
أبكى	ʔabkiː
أبكي	ʔabki
أَبْكِي	ʔabkiː
أَبْكِي	ʔubakkiː
أَبْكِي	ʔubkiː
أبل	ʔabal
أَبْلِ	ʔaballa
أَبْلِ	ʔabil
أَبْلِ	ʔabill
أَبْلِ	ʔabl
أَبْلِ	ʔabla
أَبْلِ	ʔabull
أَبْلِ	ʔubill
أَبَلَغَ	ʔablaɣ
أَبَلَغَ	ʔablaɣa
أبلغ	ʔablɪɣ
أَبَلَغَ	ʔabluɣ
أَبَلَغَ	ʔuballiɣ
أَبَلَغَ	ʔublaɣ
أَبَلَغَ	ʔubliɣ
أبلغت	ʔablɣat
أبلغك	ʔablɪgæ
أبلغني	ʔablɣni
أبله	ʔabla
أبلى	ʔablaj
أبلي	ʔabli
أبليتِ	ʔabliːti
أبليت	ʔablit
أَبِنْ	ʔabanna
أَبِنْ	ʔabbana
أَبِنْ	ʔabbanna
أبن	ʔabn
أَبِنْ	ʔabn
أَبِنْ	ʔuban
أَبِنْ	ʔubin
أَبِنْ	ʔubna
أبناء	ʔabnaːh
أَبِنَاءٌ	ʔabnaːʔ
أبنائك	ʔabnaːjik
أبنائنا	ʔabnaːʔna
أبنائه	ʔabnaːh
أبنائهم	ʔabnaːhʊm
أبنائي	ʔabnaːj
أبنة	ʔabna
أبنتك	ʔabnetk
أبنته	ʔabnetah
أبنتى	ʔabneti
أبنتي	ʔabneti
أبنك	ʔabnek
أبنه	ʔabne
أبنها	ʔabna
أبنى	ʔabniː
أَبْنِي	ʔabbaniː
أبني	ʔabni
أَبْنِي	ʔabniː
أَبِهَا	ʔabahaː
أَبِهَا	ʔabbahaː
أَبِهَا	ʔabihaː
أَبْهَى	ʔabhaː
أبو	ʔabuː
أَبُو	ʔabuː
أَبَوْا	ʔabaauaː
أَبَوْا	ʔabauaː
أَبَوْا	ʔabbuːaː
أَبَوْا	ʔabwaː
أبواب	ʔabuːb
أَبَوَّابٌ	ʔabwaːb
أَبَوَاقٍ	ʔabwaːq
أبواي	ʔabwaːj
أَبُوبَكْرٍ	ʔabuːbakr
أبوت	ʔaboːt
أبوجا	ʔabuːdʒaː
أبوح	ʔabuħ
أبوزيد	ʔabuːziid
أبوس	ʔaboːs
أَبِوَظَبِيٍّ	ʔabuːðˤabiː
أبوفيس	ʔabowfis
أبوكِ	ʔaboku
أبوك	ʔabuːk
أبوكَ	ʔabuːkæ
أبولو	ʔaboluː
أبومازن	ʔabuːmaːzin
أبونا	ʔabuna
أبوه	ʔaboːh
أبوها	ʔabuːhɑ
أُبُوِّيٌّ	ʔabauajja
أُبُوِّيٌّ	ʔabauii
أُبُوِّيٌّ	ʔabauijj
أبوي	ʔabowi
أبويّ	ʔabowiː
أبوية	ʔabwijja
أبويك	ʔabowiːk
أبوين	ʔabwiːn
أبويه	ʔabowiː
أبويها	ʔabowiha
أَبَى	ʔabaː
أبى	ʔabiː
أبــي	ʔabbi
أبّي	ʔabbiː
أَبّي	ʔabbiː
أبي	ʔabi
أبـي	ʔabiː
أَبِي	ʔabiː
أبيّ	ʔabij
أَبِي	ʔabijj
أَبِيَاتٌ	ʔabijjaːt
أَبِيَاتٌ	ʔabjaːt
أبيب	ʔabiːb
أبيت	ʔabiːt
أَبَيْتٌ	ʔabiːt
أَبَيْتٌ	ʔabiita
أَبَيْتٌ	ʔabiiti
أَبَيْتٌ	ʔabiitu
أَبَيْتٌ	ʔubajjit
أَبَيْتٌ	ʔubiːt
أبيجيل	ʔabiːgeːl
أُبِيحُ	ʔubiːħ
أَبَيَّضَ	ʔabiːdˤ
أَبَيَّضَ	ʔabjadˤ
أَبَيَّضَ	ʔabjadˤˤ
أبيض	ʔabjiḍ
أَبَيَّضَ	ʔubajjadˤ
أَبَيَّضَ	ʔubajjidˤ
أبيع	ʔabiːʕ
أَبَيْعٌ	ʔabiːʕ
أَبَيْعٌ	ʔubiːʕ
أبيعه	ʔabijah
أبيعها	ʔabjiha
أبيغيل	ʔabijɪgil
أَبِيكَ	ʔabiːk
أَبِيكَ	ʔabiːka
أَبِيكَ	ʔabiːki
أَبِيكَ	ʔabijjka
أَبِيكَ	ʔabijjki
أبيك	ʔabik
أبيكِ	ʔabiki
أَبَيْنٌ	ʔabiːn
أَبَيْنٌ	ʔabiina
أَبَيْنٌ	ʔabjan
أَبَيْنٌ	ʔubajjin
أَبَيْنٌ	ʔubiːn
أبينا	ʔabɪna
أَبِيهِ	ʔabiːh
أبيه	ʔabihi
أَبِيهِ	ʔabijjh
أبيها	ʔabija
أت	ʔat
أتأخر	ʔatˈɑxar
أتأسف	ʔatˈʔasf
أتأكّد	ʔataːkːad
أتأكد	ʔatˈʔɑkɑd
أتألم	ʔatˈʔælm
أَتَأْمُلُ	ʔataʔammal
أتأمل	ʔatˈʔamel
أتؤمن	ʔatˤuːman
أتابع	ʔatoːbiː
أَتَابِعٌ	ʔutaːbiʕ
أَتَاحَ	ʔataːħa
أَتَاحَ	ʔutaːħ
أتاكد	ʔataːkad
أتاني	ʔatæːni
أَتَاهُ	ʔataːha
أَتَاهُ	ʔataːhu
أَتَاهُ	ʔutaːh
أَتِبَاعٌ	ʔatbaːʕ
أتباع	ʔatˈiːʕa
أتباعه	ʔatˈiːʕa
أتبحث	ʔatabahθ
أَتَبِعَ	ʔatbaʕ
أَتَبِعَ	ʔatbaʕa
أَتَبِعَ	ʔattabiʕ
أتبع	ʔatˈʕab
أَتَبِعَ	ʔutbaʕ
أَتَبِعَ	ʔutbiʕ
أتبعك	ʔatˈʕabik
أتبعني	ʔatˤabbaʕni
أتبعه	ʔatbaʕa
أتبول	ʔatˈbuːl
أتبوّل	ʔatˈbuːl
أتت	ʔattat
أتتبع	ʔatˈtabaʕ
أتتحدث	ʔattatħaðidʒ
أتتذكر	ʔattadˈmaga
أتتذكّر	ʔattadˈzˤar
أتتذكرين	ʔattadˈðarran
أتتني	ʔattanni
أتتوقع	ʔattumaːʕa
أتجادل	ʔatˈdʒɑːdˤil
أتجاه	ʔatˈtæħ
أتجاهل	ʔatˈtˤɑːgɑl
أتجاوز	ʔatajaːwaːg
أتجسس	ʔatˈdʒɪsˤ
أتجمد	ʔatˈtʒamdˤ
أتجنب	ʔatˈtindʒim
أَتَّجِهُ	ʔattadʒih
أتجه	ʔatˈʒah
أتجول	ʔatˈguːl
أتحاول	ʔatɑħɑwɑːl
أتحاولين	ʔatɑħɑwɑˈliːn
أتحب	ʔatˈhab
أتحبين	ʔatˈħiːbɪn
أتحتاج	ʔatħɑdʒɑː
أتحتاجين	ʔatħaːdʒaːjin
أتحداك	ʔatˈħadæːk
أتحدث	ˈɑtˤɑħˈdˤɑʃ
أَتَحَدَّثَ	ʔataħaddaθ
أتحدّث	ʔatħadθ
أتحـدث	ʔatˈhaðˈθa
أَتحدّثُ	ʔatħadθu
أتحدثُ	ˈʔatˤħadaðun
أتحرك	ʔatˈħɑrɑk
أتحسب	ʔatħasba
أتحسن	ʔatˈħasˤn
أتحقق	ʔatˈħaːq
أتحكم	ʔatˈħɑmˤ
أَتَحْمِلُ	ʔataħammal
أتحمّل	ʔatˈħamːal
أتحمل	ʔatˈħamal
أتحول	ʔatˤɑˈhɔl
أتخبرني	ʔatˈxabarni
أَتَّخِذُ	uttuxiða
أتخذ	ʔatˈðˤan
أَتَّخِذُ	ʔattaxið
أَتَّخِذُ	ʔuttaxað
أتخذت	ʔatˈðˤamt
أتخرج	ʔatˈtɣuʁ
أتخطى	ʔatˈxaːtˤi
أتخلص	ʔatˈtæxæl
أتخلّى	ʔatxalː
أتخلى	ʔatˈxɑlˤlɑ
أَتَخَيَّلَ	ʔataxajjal
أتخيّل	ʔatˈxɑjːl
أتخيل	ʔatˈxɪl
أتدبر	ʔatˈdabir
أتدخل	ʔatˈdʒal
أتدرب	ʔatdarab
أتدرك	ʔatdarak
أتدركين	ʔatdarakiːn
أتدرون	ʔatdaron
أتدرى	ʔatˈdariː
أتدري	ʔatˈdari
أتدرين	ʔatdariːn
أَتَذْكُرُ	ʔataðakkar
أتذكر	ʔatˈðˈkˈɾ
أَتذكّرُ	ʔatˈdʒɪrˤrʊ
أتذكّر	ʔatˈdˤarkˤ
أتذكرك	ʔatðumrak
أتذكره	ʔatˈðˤikruh
أتذكرها	ʔattadˈmuːra
أتذكرون	ʔatˈðˤikrun
أتذكرين	ʔattadˈmariːn
أتذمر	ʔatðummar
أتذوق	ʔatðoːq
أتراجع	ʔatraːdʒ
أَتَرَاكَ	ʔatraːk
أترجاك	ʔatradʒɑk
أَتَرَدَّدَ	ʔataraddad
أتردد	ʔatˈraddad
أترغب	ʔatraɣba
أترغبين	ʔatˈraɣbin
أَتَرَكَ	utruk
أَتَرَكَ	ʔatirka
أَتَرَكَ	ʔatirki
أترك	ʔatraq
أَتْركُ	ʔatˈrɪkʊ
أَتَرَكَ	ʔatruk
أَتَرَكَ	ʔutarrik
أتركك	ʔatraːk
أترككِ	ʔatˈrukki
أترككم	ʔatraːkʊm
أتركنى	ʔetˈrʊkni
أتركني	ʔatˈrʊkni
أتركه	ʔatraka
أتركها	ʔatraka
أتركهم	ʔɪtˈɾɑxhum
أتركوا	ʔatrakuː
أتركوني	ʔatˈruːni
أتركي	ʔatˈriki
أتركيني	ʔatrakiːni
أتركيه	ʔatˈriːj
أتركيها	ʔatˈrɪkijɑ
أترون	ʔatˈruːn
أترى	ʔatraː
أتري	ʔatˈriː
أتُريد	ɑtˈuːriːd
أتريد	ʔatriːd
أتريدُ	ʔatriːduː
أتريدان	ʔatriːdaːn
أتريدنا	ʔatriːdnaː
أتريدنى	ʔatriːdniː
أتريدني	ʔatriːdniː
أتريدها	ʔatriːdaha
أتريدون	ʔatriːduːn
أتريدي	ʔatriːdi
أتُريدين	ɑtʊrɪːdin
أتريدين	ʔatriːdiːn
أتريدينني	ʔatriːdiːnniː
أتريديني	ʔatriːdiːniː
