અં	ə̃ː
આજો	ɑdʒɔ
આઝાદ	ɑdʒʱɑd̪
આઝાદ	ɑzɑd̪
આઝાર	ɑdʒʱɑɾ
આટો	ɑʈɔ
આઠ	ɑʈʰ
આડું	ɑɖũ
આતશ	ɑt̪əʃ
આતશકદેહ	ɑt̪əʃəkd̪eːʱ
આત્મા	ɑt̪mɑ
આદમ	ɑd̪əm
આદિત્યવાર	ɑd̪ɪt̪jəʋɑɾ
આદુ	ɑd̪u
આનંદ	ɑnənd̪
આપણું	ɑpɳũ
આપો	ɑpo
આફતાબ	ɑpʰt̪ɑb
આફૂસ	ɑpʰus
આબ	ɑb
આભ	ɑbʱə
આભલું	ɑbʱlũ
આભાર	ɑbʱɑɾ
આમલી	ɑməli
આમળું	ɑmɭũ
આમીન	ɑmin
આમુદરિયા	ɑmud̪əɾɪjɑ
આયખું	ɑjəkʰũ
આયા	ɑjɑ
આયાત	ɑjɑt̪
આયુર્વેદ	ɑjuɾʋeːd̪
આયુષ	ɑjuʂ
આરસી	ɑɾsi
આર્ય	ɑɾjə
આલમારી	əlmɑɾi
આલીશાન	ɑliʃɑn
આલ્કોહોલ	ɑlkoɦol
આલ્બેનિયા	ɑlbeːnɪjɑ
આળસ	ɑɭəs
આળસુ	ɑɭsu
આવડવું	ɑʋəɽʋũ
આવવું	ɑʋʋũ
આવારા	ɑʋɑɾɑ
આશક	ɑʃək
આશા	ɑʃɑ
આશીર્વાદ	ɑʃiɾʋɑd̪
આશ્રમ	ɑʃɾəm
આસમાન	ɑsəmɑn
આસમાની	ɑsəmɑni
આસામ	ɑsɑm
આસો	ɑso
ઇ	ɪ
ઇંજીલ	ɪɲdʒil
ઇઝરાયલ	ɪdʒʱəɾɑjəl
ઇટાલી	ɪʈɑli
ઇન્ડિયા	ɪnɖɪjɑ
ઇન્શાઅલ્લાહ	ɪnʃɑəllɑʱ
ઇફતાર	ɪft̪ɑɾ
ઇફતાર	ɪpʰt̪ɑɾ
ઇબલીસ	ɪbəlis
ઇબાદત	ɪbɑd̪ət̪
ઇબ્રાહીમ	ɪbɾɑɦim
ઇમારત	ɪmɑɾət̪
ઇમ્ફાલ	ɪmpʰɑl
ઇયરફોન	ɪjəɾpʰon
ઇયળ	ɪjəɭ
ઇરજ	ɪɾədʒ
ઇરાક	ɪɾɑk
ઇલીષ	ɪliʂ
ઇશા	ɪʃɑ
ઇસપંજ	ɪspəɲdʒ
ઇસ્કંદરિયા	ɪskənd̪ɾɪjɑ
ઇસ્તંબૂલ	ɪst̪əmbul
ઇસ્ત્રી	ɪst̪ɾi
ઇસ્પિતાલ	ɪspɪt̪ɑl
ઇસ્માઇલ	ɪsmɑɪl
ઇસ્માઇલી	ɪsmɑɪli
ઇસ્લામ	ɪslɑm
ઇસ્લામાબાદ	ɪslɑmɑbɑd̪
ઈ	iː
ઈંટ	ĩʈ
ઈંડું	ɪɳɖũ
ઈડલી	iɖəli
ઈદ	id̪
ઈરાન	iɾɑn
ઈશ્વર	iʃʋəɾ
ઈસ્ટર	isʈəɾ
ઉ	u
ઉંદર	und̪əɾ
ઉંમર	umməɾ
ઉઘાડવું	ugʱɑɖʋũ
ઉચ્ચાર	utʃtʃɑɾ
ઉઝબક	udʒʱbək
ઉઝબેકિસ્તાન	udʒʱbeːkɪst̪ɑn
ઉઠમણું	uʈʰəmɳũ
ઉડિસા	uɖɪsɑ
ઉતાવળ	ut̪ɑʋəɭ
ઉત્તર	ut̪t̪əɾ
ઉદજન	ud̪ədʒən
ઉદયપુર	ud̪əjpuɾ
ઉદાસ	ud̪ɑs
ઉદ્યાન	ud̪jɑn
ઉનાળો	unɑɭɔ
ઉપઉષ્ણકટિબંધીય	upəuʃɳəkʈɪbənd̪ʱijə
ઉપનયન	upənjən
ઉપનામ	upənɑm
ઉપનિષદ	upənɪʃəd̪
ઉપરવાળો	upəɾʋɑɭo
ઉપવાસ	upʋɑs
ઉપાધ્યાય	upɑd̪ʱjɑj
ઉમંગ	uməŋg
ઉમર	uməɾ
ઉમેદવાર	umeːd̪ʋɑɾ
ઉર્દુન	uɾd̪un
ઉર્દૂ	uɾd̪u
ઉર્સ	uɾs
ઉષા	uʃɑ
ઉષ્ટ્રપક્ષી	uʂʈɾəpəkʃi
ઉષ્ણકટિબંધીય	uʃɳəkʈɪbənd̪ʱijə
ઉસ્માન	usmɑn
ઉસ્માની	usmɑni
ઊ	uː
ઊંઘ	uŋg
ઊંઘ	ũgʱ
ઊંઘવું	uŋgʱʋũ
ઊંઘવું	ũgʱʋũ
ઊંચું	ũtʃũ
ઊંટ	ũʈ
ઊંધું	und̪ʱũ
ઊકળવું	ukəɭʋũ
ઊગવું	ugəʋũ
ઊજળું	udʒəɭũ
ઊડવું	uɖʋũ
ઊધઈ	ud̪ʱəi
ઊન	un
ઊનું	unũ
ઊપજવું	upədʒʋũ
ઊપર	upəɾ
ઊભું	ubʱũ
ઊલિયું	ulɪjũ
ઊષર	uʃəɾ
ઋ	ɾu
ઋતુ	ɾʊt̪u
ઋષિ	ɾʊʃɪ
એ	eː
એ	æ
એ	ɛ
એક	ek
એકલડું	eːkəlɖũ
એકલું	eːkəlũ
એકવીસ	eːkʋis
એડી	eːɖi
એન્જિનિયર	eːndʒɪnɪjəɾ
એન્થોની	ænt̪ʰonɪ
એપ્રિલ	eːpɾɪl
એરંગ	eːɾəŋg
એરણ	ɛɾəɳ
એલચી	eːlətʃi
એહસાન	eːɦəsɑn
ઐ	əj
ઐતિહાસિક	əɪt̪ɪɦɑsɪk
ઑક્ટોબર	ɔkʈobəɾ
ઑફિસ	ɔpʰɪs
ઑફિસર	ɔpʰɪsəɾ
ઓ	o
ઓકવું	ɔkʋũ
ઓક્ટોપસ	okʈopəs
ઓક્ટોબર	okʈobəɾ
ઓગણીસ	ogəɳis
ઓગસ્ટ	ogəsʈ
ઓઝો	odʒʱɔ
ઓઠ	oʈʰ
ઓઢવું	oɖʱəʋũ
ઓણ	oɳə
ઓણમ	oɳəm
ઓથાર	ot̪ʰɑɾ
ઓમલેટ	omleːt̪
ઓરત	oɾət̪
ઓલાદ	ɔlɑd̪
ઓળગ	oɭgə
ઓળો	ɔɭo
ઓસ	os
ઓસડ	osəɽ
ઔ	əʋ
ઔરંગઝેબ	əuɾəŋgdʒʱeːb
ક	kə
કંગ	kəŋg
કંદહાર	kənd̪ʱɑɾ
કચરો	kətʃɾo
કચ્છ	kətʃtʃʰ
કડછો	kəɽtʃʰɔ
કડવું	kəɖʋũ
કઢાઈ	kəɖʱɑi
કઢી	kəɖʱi
કપડું	kɑpɽũ
કપાળ	kəpɑɭ
કપાસ	kəpɑs
કપોત	kəpot̪
કફન	kəfən
કફન	kəpʰən
કફસ	kəpʰəs
કબર	kəbəɾ
કબાટ	kəbɑʈ
કબાબ	kəbɑb
કબૂતર	kəbut̪əɾ
કમલ	kəməl
કમળ	kəməɭ
કમાલ	kəmɑl
કયામત	kəjɑmət̪
કરચલો	kəɾətʃlo
કરચોરી	kəɾtʃoɾi
કરવું	kəɾʋũ
કરાચી	kəɾɑtʃi
કરેણ	kəɾeːɳ
કરોડ	kəɾoɖ
કર્ણાટક	kəɾɳɑʈək
કર્ણાવતી	kəɾɳɑʋət̪i
કર્મ	kəɾmə
કલમ	kələm
કલા	kəlɑ
કલાકાર	kəlɑkɑɾ
કલિંગર	kəlɪŋgəɾ
કલીસા	kəlisɑ
કલ્પના	kəlpənɑ
કલ્બ	kəlb
કળશ	kəɭəʃ
કવિ	kəʋɪ
કવ્વાલી	kəʋʋɑli
કશ્તી	kəʃt̪i
કસાઈ	kəsɑi
કસુંબો	kəsumbɔ
કસ્તૂરી	kəst̪uɾi
કહવા	kəʱʋɑ
કહાણી	kəɦɑɳi
કહેવત	kəɦeːʋət̪
કહેવત	kɛ̤ʋət̪
કહેવું	kəɦeːʋũ
કાંટો	kɑ̃ʈo
કાંઠો	kɑ̃ʈʰo
કાંસાં	kɑ̃sɑ̃
કાંસું	kɑ̃sũ
કાકડી	kɑkɽɪ
કાકણક	kɑkɳək
કાકા	kɑkɑ
કાકી	kɑki
કાગડો	kɑgɖɔ
કાગળ	kɑgəɭ
કાગળકામ	kɑgəɭkɑm
કાચ	kɑtʃ
કાચંડો	kɑtʃəɳɖo
કાચબો	kɑtʃbô
કાછ	kɑtʃʰ
કાજ	kɑdʒ
કાજળ	kɑdʒəɭ
કાજી	kɑdʒi
કાજુ	kɑdʒu
કાઠિયાવાડ	kɑʈʰɪjɑʋɑɖ
કાઠિયાવાડી	kɑʈʰɪjɑʋɑɖi
કાતર	kɑt̪əɾ
કાનપુર	kɑnpuɾ
કાનો	kɑno
કાપવું	kɑpʋũ
કાબા	kɑbɑ
કાબુલ	kɑbul
કામ	kɑm
કાયમ	kɑjəm
કાયર	kɑjəɾ
કારખાનું	kɑɾkʰɑnũ
કારતૂસ	kɑɾt̪us
કારવાં	kɑɾʋɑ̃
કારાકોરમ	kɑɾɑkoɾəm
કારેલું	kɑɾeːlũ
કાર્ય	kɑɾjə
કાળજું	kɑɭdʒũ
કાળિયાર	kɑɭɪjɑɾ
કાળું	kɑɭũ
કાશ્મીર	kɑʃmiɾ
કિંગાશ	kɪŋgɑʃ
કિંમત	kɪmmət̪
કિબ્લા	kɪblɑ
કિરણ	kɪɾəɳ
કિરતાસ	kɪɾt̪ɑs
કિલા	kɪlɑ
કિશોરી	kɪʃoɾi
કિસમિસ	kɪsmɪs
કિસ્મત	kɪsmət̪
કીટલી	kiʈli
કીડો	kiɖɔ
કીર	kiɾ
કુંજડો	kũdʒɽɔ
કુંડ	kuɳɖ
કુંડળ	kuɳɖəɭ
કુંભકાર	kumbʱkɑɾ
કુંભાર	kumbʱɑɾ
કુટુંબ	kuʈumb
કુદરત	kud̪ɾət̪
કુફરિસ્તાન	kupʰɾɪst̪ɑn
કુમાર	kumɑɾ
કુમારી	kumɑɾi
કુમુદિની	kumud̪ɪni
કુરકુરિયું	kuɾkuɾɪjũ
કુરાન	kuɾɑn
કુરૂષ	kuɾuʃ
કુર્દિસ્તાન	kuɾd̪ɪst̪ɑn
કુલી	kuli
કુલ્ફી	kulpʰi
કુસુમ	kusum
કુસ્તી	kust̪i
કુસ્તુંતનિયા	kust̪unt̪nɪjɑ
કુહાડો	kuɦɑɽɔ
કૂકડી	kukɽi
કૂકડો	kukɽɔ
કૂખ	kukʰ
કૂતરું	kut̪ɾũ
કૂદવું	kud̪ʋũ
કૂલો	kulɔ
કૂવો	kuʋo
કૂશ	kuʃ
કૃષ્ણ	kɾʊʃɳə
કૃષ્ણસાર	kɾʊʃɳəsɑɾ
કેંચી	keːɲtʃi
કેક	keːk
કેથલિક	keːt̪ʰlɪk
કેનેડા	keːneːɖɑ
કેન્યા	keːnjɑ
કેર	keːɾ
કેરળ	keːɾəɭ
કેરી	keːɾi
કેલ્ટિક	keːlʈɪk
કેળું	keːɭũ
કૉફી	kɔpʰi
કોંકણ	kɔ̃kəɳ
કોંગ્રેસ	koŋgɾeːs
કોઈ	koi
કોઈપણ	koipəɳ
કોટ	koʈ
કોઠી	koʈʰi
કોઠી	kɔʈʰi
કોણ	kɔɳ
કોન્ટ્રાક્ટર	konʈɾɑkʈəɾ
કોન્લી	konli
કોફી	kofi
કોફી	kopʰɪ
કોફી	kɔfɪ
કોફી	kɔpʰɪ
કોબી	kobi
કોયલ	kɔjəl
કોયલો	kɔjəlɔ
કોરું	koɾũ
કોળિયો	koɭɪjɔ
કોળી	koɭi
કોળું	koɭũ
કોશિશ	koʃɪʃ
કોહિનૂર	koɦɪnuɾ
ક્યાં	kjɑ̃
ક્યારે	kjɑɾeː
ક્રિયાવિશેષણઅવ્યય	kɾɪjɑʋɪʃeːʃɳəəʋjəjə
ક્રિશ્ચિયન	kɾɪʃtʃɪjən
ક્રીડા	kɾiɖɑ
ક્રૂસ	kɾus
ક્રૂસારોહણ	kɾusɑɾoɦəɳ
ક્ષ	kʃə
ક્ષત્રિય	kʃət̪ɾɪjə
ક્ષેત્ર	kʃeːt̪ɾə
ખ	kʰə
ખંડ	kʰəɳɖ
ખંભાત	kʰəmbʱɑt̪
ખચ્ચર	kʰətʃtʃəɾ
ખજૂર	kʰədʒuɾ
ખડગ	kʰəɖəg
ખબર	kʰəbəɾ
ખમીર	kʰəmiɾ
ખમીસ	kʰəmis
ખયારસંબર	kʰəjɑɾsəmbəɾ
ખરગોશ	kʰəɾgoʃ
ખરજવું	kʰəɾədʒʋũ
ખરીદવું	kʰəɾid̪ʋũ
ખરીદી	kʰəɾid̪i
ખરું	kʰəɾũ
ખલબત્તો	kʰəlbət̪t̪ɔ
ખલીલ	kʰəlil
ખાંડ	kʰɑɳɖ
ખાંડણિયો	kʰɑ̃ɖɳɪjɔ
ખાકાન	kʰɑkɑn
ખાખરા	kʰɑkʰɾɑ
ખાટલી	kʰɑʈli
ખાટલો	kʰɑʈlɔ
ખાટું	kʰɑʈũ
ખાડો	kʰɑɖo
ખાન	kʰɑn
ખાનદાન	kʰɑnd̪ɑn
ખાનું	kʰɑnũ
ખાર	kʰɑɾ
ખાલા	kʰɑlɑ
ખાલિક	kʰɑlɪk
ખાલિસ્તાન	kʰɑlɪst̪ɑn
ખાવંદ	kʰɑʋənd̪
ખાવસા	kʰɑʋsɑ
ખાવું	kʰɑʋũ
ખિડકી	kʰɪɖki
ખિસકોલી	kʰɪskoli
ખિસ્સું	kʰɪssũ
ખીચડી	kʰɪtʃɽi
ખીજડો	kʰidʒɖɔ
ખીજવું	kʰidʒʋũ
ખીમો	kʰimɔ
ખીર	kʰiɾ
ખુતબો	kʰut̪bɔ
ખુદ	kʰud̪
ખુદા	kʰud̪ɑ
ખુરશી	kʰuɾʃi
ખુશ	kʰuʃ
ખુશી	kʰuʃi
ખૂન	kʰun
ખેંચવું	kʰeːɲtʃʋũ
ખેત	kʰeːt̪
ખેતર	kʰeːt̪əɾ
ખોખું	kʰokʰũ
ખોજા	kʰodʒɑ
ખોરદાદ	kʰoɾd̪ɑd̪
ખોળો	kʰoɭɔ
ગ	gə
ગંગા	gəŋgɑ
ગગન	gəgən
ગચ્છ	gətʃtʃʰ
ગજ	gədʒ
ગજલ	gədʒəl
ગણપતિ	gəɳəpət̪ɪ
ગણવું	gəɳʋũ
ગણિત	gəɳɪt̪
ગયંદ	gəjənd̪
ગરબા	gəɾbɑ
ગરમ	gəɾəm
ગરમી	gəɾmi
ગરીબ	gəɾib
ગરુડ	gəɾuɖ
ગલગોટો	gəlgoʈɔ
ગળું	gəɭũ
ગાંગેય	gəŋgeːj
ગાંધી	gɑnd̪ʱi
ગાંધીગીરી	gɑnd̪ʱigiɾi
ગાંધીનગર	gɑnd̪ʱɪnəgəɾ
ગાછ	gɑtʃʰ
ગાજર	gɑdʒəɾ
ગાઝા	gɑdʒʱɑ
ગાઝા	gɑzɑ
ગાડવો	gʱəɖʋɔ
ગાડી	gɑɽi
ગાણું	gɑɳũ
ગાથા	gɑt̪ʰɑ
ગાભ	gɑbʱ
ગામ	gɑm
ગાય	gɑj
ગાલ	gɑl
ગાલિબ	gɑlɪb
ગાવું	gɑʋũ
ગિરજા	gɪɾdʒɑ
ગીધ	gid̪ʱ
ગુજરાત	gʊdʒəɾɑt̪
ગુજરાતી	gudʒəɾɑt̪i
ગુજરાનવાલા	gudʒɾɑnʋɑlɑ
ગુજારિશ	gudʒɑɾɪʃ
ગુજારિશ	guzɑɾɪʃ
ગુરુ	guɾu
ગુરુદ્વારા	guɾud̪ʋɑɾɑ
ગુરુવાર	guɾuʋɑɾ
ગુર્જિસ્તાન	guɾdʒɪst̪ɑn
ગુલ	gul
ગુલશન	gulʃən
ગુલાબ	gulɑb
ગુલાબજળ	gulɑbdʒəɭ
ગુલાબી	gulɑbi
ગુશતાસ્પ	guʃt̪ɑsp
ગુસલ	gusəl
ગેંડો	geːɳɖo
ગોકળગાય	gokəɭgɑj
ગોઠો	goʈʰɔ
ગોતું	got̪ũ
ગોદ	god̪
ગોધરા	god̪ʱɾɑ
ગોપાલ	gopɑl
ગોપી	gopi
ગોમાંસ	gomɑ̃s
ગોર	gor
ગોર	gɔr
ગોરિસ્તાન	goɾɪst̪ɑn
ગોવા	goʋɑ
ગોશ્ત	goʃt̪
ગોષ્ઠ	goʂʈʰ
ગોસ	gos
ગોસાંઈ	gosɑ̃i
ગ્રંથ	gɾənt̪ʰ
ગ્રીષ્મ	gɾiʃmə
ગ્રીસ	gɾis
ગ્લાસ	glɑs
ઘ	gʱə
ઘઉં	gʱəũ
ઘટવું	gʱəʈʋũ
ઘડિયાળ	gʱəɖɪjɑɭ
ઘડો	gʱəɽɔ
ઘર	gʱəɾ
ઘરો	gʱəɾo
ઘસવું	gʱəsʋũ
ઘામ	gʱɑm
ઘાસ	gʱɑs
ઘી	gʱi
ઘુવડ	gʱuʋəɖ
ઘૂમટો	gʱumʈɔ
ઘૂસવું	gʱusʋũ
ઘેટું	gʱeːʈũ
ઘો	gʱo
ઘોડલો	gʱoɖlo
ઘોડું	gʱoɖũ
ઘોડો	gʱoɽɔ
ઘોષ	gʱoʂ
ઙ	ŋə
ચ	tʃə
ચંદન	tʃənd̪ən
ચંદ્ર	tʃənd̪ɾə
ચંદ્રબિંદુ	tʃənd̪ɾəbɪnd̪u
ચંદ્રવાર	tʃənd̪ɾəʋɑɾ
ચંપલ	tʃəmpəl
ચંબેલી	tʃəmbeːli
ચકમા	tʃəkmɑ
ચકોર	tʃəkoɾ
ચક્ર	tʃəkɾə
ચટગાંવ	tʃəʈgɑ̃ʋ
ચડ્ડી	tʃəɖɖi
ચણો	tʃəɳo
ચમચી	tʃəmtʃi
ચરો	tʃəɾɔ
ચર્મ	tʃəɾmə
ચશ્માં	tʃəʃmɑ̃
ચા	tʃɑ
ચાંચ	tʃɑ̃tʃ
ચાંચિયો	tʃɑ̃tʃɪjo
ચાંદ	tʃɑ̃d̪
ચાંદની	tʃɑ̃d̪ni
ચાકુ	tʃɑku
ચાખ	tʃɑkʰ
ચાખવું	tʃɑkʰʋũ
ચાચો	tʃɑtʃɔ
ચામડી	tʃɑmɖi
ચાર	tʃəɾ
ચાલવું	tʃɑlʋũ
ચાવવું	tʃɑʋʋũ
ચાવી	tʃɑʋi
ચિકિત્સક	tʃɪkɪt̪sək
ચિઠ્ઠી	tʃɪʈʰʈʰi
ચિતા	tʃɪt̪ɑ
ચિત્તો	tʃɪt̪t̪o
ચિત્રમય	tʃɪt̪ɾəmjə
ચિનવત	tʃɪnəʋət̪
ચિનાબ	tʃɪnɑb
ચિરાગ	tʃɪɾɑg
ચીકણું	tʃikɳũ
ચીકુ	tʃiku
ચીજ	tʃidʒʱ
ચીજ	tʃiz
ચીઝ	tʃidʒʱ
ચીઝ	tʃiz
ચીન	tʃin
ચીની	tʃini
ચીનો	tʃino
ચીવર	tʃiʋəɾ
ચુંબન	tʃumbən
ચુગતાઈ	tʃugt̪ɑi
ચૂબાન	tʃubɑn
ચૂમવું	tʃumʋũ
ચૂલો	tʃulo
ચેન્નાઈ	tʃeːnnɑi
ચેરી	tʃeːɾi
ચૈત્ર	tʃəɪt̪ɾə
ચોક	tʃɔk
ચોખા	tʃokʰɑ
ચોથું	tʃot̪ʰũ
ચોદવું	tʃod̪ʋũ
ચોપડી	tʃǒpɖi
ચોપડો	tʃopɖo
ચોમાસું	tʃɔmɑsũ
ચોર	tʃoɾ
ચૌદ	tʃəʋd
છ	tʃʰə
છત્તીસગઢ	tʃʰət̪t̪isgəɖʱ
છત્રી	tʃʰət̪ɾi
છરી	tʃʰəɾi
છાંયડી	tʃʰɑ̃jəɖi
છાપયંત્ર	tʃʰɑpjənt̪ɾə
છાશ	tʃʰɑʃ
છીંક	tʃʰĩk
છૂંદો	tʃʰund̪ɔ
છોકરમત	tʃʰokərmət
છોકરી	tʃʰokri
છોકરું	tʃʰokrũ
છોકરો	tʃʰokrɔ
જ	dʒə
જંગલ	dʒəŋgəl
જકાત	dʒəkɑt̪
જગ્યા	dʒəgjɑ
જટામાંસી	dʒəʈɑmɑ̃si
જડ	dʒəɖ
જનાજો	dʒənɑdʒo
જન્નત	dʒənnət̪
જબાન	dʒəbɑn
જમ	dʒəm
જમવું	dʒəmʋũ
જમશીદ	dʒəmʃid̪
જમાઈ	dʒəmɑi
જમાત	dʒəmɑt̪
જમીન	dʒəmin
જમીલ	dʒəmil
જય	dʒəj
જયપુર	dʒəjpuɾ
જરથુષ્ટ્ર	dʒəɾt̪ʰuʃʈɾə
જરથુષ્ટ્ર	zəɾt̪ʰuʃʈɾə
જરદાળુ	dʒəɾd̪ɑɭu
જર્મની	dʒəɾməni
જર્રાહ	dʒəɾɾɑʱ
જળ	dʒəɭ
જળઘોડો	dʒəɭgʱoɖo
જળણ	dʒəɭəɳ
જળો	dʒəɭo
જવાબ	dʒəʋɑb
જહન્નમ	dʒəɦənnəm
જા	dʒɑ
જાંઘ	dʒɑ̃gʱ
જાકીટ	dʒɑkiʈ
જાત	dʒɑt̪
જાન	dʒɑn
જાનવર	dʒɑnʋəɾ
જાન્યુઆરી	dʒɑnjuɑɾi
જાપાન	dʒɑpɑn
જામેમસ્જિદ	dʒɑmeːməsdʒɪd̪
જાળપૃષ્ઠ	dʒɑɭpɾʊʂʈʰ
જાસૂસ	dʒɑsus
જિંદગી	dʒɪnd̪əgi
જિગર	dʒɪgəɾ
જિયારત	dʒɪjɑɾət̪
જિરાફ	dʒɪɾɑpʰ
જી	dʒi
જીભ	dʒibʱ
જીવ	dʒiʋ
જુમા	dʒumɑ
જુમેરાત	dʒumeːɾɑt̪
જુલાઈ	dʒulɑi
જુવાન	dʒuʋɑn
જુવાની	dʒuʋɑni
જુહાર	dʒuɦɑɾ
જૂઈ	dʒui
જૂઠું	dʒuʈʰũ
જૂન	dʒun
જૂનાગઢ	dʒunɑgəɖʱ
જેઠ	dʒeːʈʰ
