กก	gok
ขาตั้ง	kha:taŋ
ขาย	kha:i
ขาว	kha:o
ขิ้น	khin
ขีด	khi:t
ขี่	khi:
ขี้	khi:
ขี้ดิน	khi:din
ขี้ตม	khi:tom
ขี้ผึ้ง	khi:pʉŋ
ขี้ฝ้า	khi:fa:
ขี้มึน	khi:mʉn
ขึง	khʉŋ
ขึงขัง	khʉŋkhaŋ
ขึ้น	khʉn
ขึ้นซื่อ	khʉnsʉ:
ขุด	khut
ข่าว	kha:o
ข้อง	khɔŋ
ข้อต่อ	khɔ:tɔ:
ข้อน	khɔn
ข้อมูน	khɔ:mu:n
ข้อย	khɔ:i
ข้อหล้อ	khɔ:lɔ:
ข้า	kha:
ข้าง	kha:ŋ
ข้างขวา	kha:ŋkwa:
ข้างซ้าย	kha:ŋsa:i
ข้างนอก	kha:ŋnɔ:k
ข้างล่าง	kha:ŋla:ŋ
ข้างหน้า	kha:ŋna:
ข้างหลัง	kha:ŋlaŋ
ข้างเทิง	kha:ŋthə:ŋ
ข้างใน	kha:ŋnai
ข้าม	kha:m
คก	khok
คน	khon
คนป่วย	khonpu:ai
คนละ	khonla
คนไข้	khonkhai
คม	khom
ควน	khu:an
ควย	khu:ai
ความ	khwa:m
ความคิด	khwa:mkhit
ความทุก	khwa:mthuk
ความปอดพัย	khwa:mpɔ:tphai
ความฝัน	khwa:mfan
ความลู้	khwa:mlu:
ความสุข	khwa:msuk
ความหมาย	khwa:mma:i
ความหายยะนะ	khwa:mha:iyana
ความฮู้	khwa:mhu:
ความฮ้อน	khwa:mhɔ:n
ความเย็น	khwa:myen
คอ	khɔ:
คอก	khɔ:k
คอง	khɔ:ŋ
คอบคัว	khɔ:pkhu:a
คอสอ	khɔ:sɔ:
คะนิด	khanit
คะนิดตะสาด	khanittasa:t
คะนิดสาด	khanitsa:t
คะแนน	khanɛ:n
คัก	khak
คัด	khat
คัน	khan
คันเล่ง	khanleŋ
คับ	khap
คัว	khu:a
คาง	kha:ŋ
คาน	kha:n
คาบ	kha:p
คาย	kha:i
คาว	kha:o
คำ	kham
คำนวน	khamnu:an
คิด	khit
คิบ	khip
คิว	kiu
คิหนิก	khi:nik
คิ้ว	khiu
คีบ	khi:p
คึ้ม	khʉm
คืนหลัง	khʉ:nlaŋ
คือ	khʉ:
คือกัน	khʉ:gan
คือเก่า	khʉ:gao
คือใดบุ	khʉ:daibu
คื้น	khʉ:n
คุณ	khun
คุม	khum
คุย	khui
คู	khu:
คู่	khu:
ค็อนกีด	khɔngi:t
ค็อนโด	khondo:
ค็อม	khom
ค็อมพิวเต้อ	khompiutə:
ค่อย	khɔ:i
ค่า	kha:
ค่าวๆ	kha:o
ค่ำ	kham
ค้อย	khɔ:i
ค้า	kha:
ค้าง	kha:ŋ
ค้าย	kha:i
ค้าวๆ	kha:okha:o
งวง	ŋu:aŋ
งอ	ŋɔ:
งัด	ŋat
งับ	ŋap
งัว	ŋu:a
งา	ŋa:
งาน	ŋa:n
งาม	ŋa:m
ง่า	ŋa:
ง่าย	ŋa:i
จก	jok
จดจำ	jotjam
จน	jon
จบ	jop
จอ	jɔ:
จอด	jɔ:t
จะ	ja
จะเลิน	jalə:n
จัก	jak
จักกะย๊าน	jakgaya:n
จักอย่าง	jakya:ŋ
จังหวะ	jaŋwa
จังหวัด	jaŋwat
จัด	jat
จับ	jap
จั่ง	jaŋ
จั่งซั้น	jaŋsan
จั่งซี้	jaŋsi:
จั่งใด	jaŋdai
จา	ja:
จาก	ja:k
จาน	ja:n
จานฮองกาแฟ	ja:nhɔ:ŋga:fɛ:
จำ	jam
จำนวน	jamnu:an
จำเป็น	jampen
จิก	jik
จิง	jiŋ
จินตะนา	jintana:
จินตะนากาน	jintana:ga:n
จิ้ม	jim
จีวอน	ji:wɔ:n
จึ่งคื่ง	jʉŋkhʉ:ŋ
จืด	jʉ:t
จุก	juk
จุด	jut
จุดมุ่งหมาย	jutmuŋma:i
จุดหมาย	jutma:i
จุ่นพู่น	junphu:n
จุ่ม	jum
จ่ง	joŋ
จ่อย	jɔ:i
จ่าย	ja:i
จ้อง	jɔŋ
จ้อย	jɔ:i
จ้า	ja:
ชะนิด	chanit
ชักกะเย้อ	chakgayə:
ชักโคก	chakkho:k
ชาว	cha:o
ชาวบ้าน	cha:oba:n
ซง	soŋ
ซงผม	soŋphom
ซงสี	soŋsi:
ซม	som
ซมพู	somphu:
ซวน	su:an
ซวย	su:ai
ซอก	sɔ:k
ซอง	sɔ:ŋ
ซะนะ	sana
ซะสั้น	sasan
ซัก	sak
ซัด	sat
ซัน	san
ซัว	su:a
ซั่ง	saŋ
ซั่วคาว	su:akha:o
ซั่วโมง	su:amo:ŋ
ซั้น	san
ซั้นวางหนังสือ	sanwa:ŋnaŋsʉ:
ซาน	sa:n
ซานซาลา	sa:nsa:la:
ซาย	sa:i
ซายหาด	sa:iha:t
ซาว	sa:o
ซำบาย	samba:i
ซิด	sit
ซิม	sim
ซิ้น	sin
ซิ้นเนี้ย	sinni:a
ซีวิด	si:wit
ซี้	si:
ซื่อ	sʉ:
ซื่อๆ	sʉ:
ซื้อ	sʉ:
ซุด	sut
ซุดโซม	sutso:m
ซุม	sum
ซูด	su:t
ซู่	su:
ซู่มื้อนี้	su:mʉ:ni:
ซู่สิ่งซู่อย่าง	su:siŋsu:ya:ŋ
ซ่อก	sɔk
ซ่อย	sɔ:i
ซ่อยเหลีย	sɔ:ili:a
ซ่าง	sa:ŋ
ซ่างตัดผม	sa:ŋtatphom
ซ่าด	sa:t
ซ่าว่า	sa:wa:
ซ้วง	su:aŋ
ซ้วน	su:an
ซ้อง	sɔ:ŋ
ซ้อน	sɔ:n
ซ้อนซา	sɔ:nsa:
ซ้อนส้อม	sɔ:nsɔm
ซ้า	sa:
ซ้าง	sa:ŋ
ซ้าย	sa:i
ซ้ำ	sam
ซ้ำแมะ	sammɛ
ญก	ɲok
ญัง	ɲaŋ
ญาก	ɲa:k
ญาด	ɲa:t
ญาม	ɲa:m
ญาว	ɲa:o
ญิง	ɲiŋ
ญุง	ɲuŋ
ญู้	ɲu:
ญ่าง	ɲa:ŋ
ญ้อง	ɲɔ:ŋ
ญ้อน	ɲɔ:n
ญ้อย	ɲɔ:i
ญ้าย	ɲa:i
ดง	doŋ
ดม	dom
ดวง	du:aŋ
ดวงจัน	du:aŋjan
ดวงดาว	du:aŋda:o
ดวงตะเว็น	du:aŋtawen
ดอก	dɔ:k
ดอกบัว	dɔ:kbu:a
ดอกวา	dɔ:kwa:
ดอกว่า	dɔ:kwa:
ดอกไม้	dɔ:kmai
ดัง	daŋ
ดับ	dap
ดาก	da:k
ดาว	da:o
ดำ	dam
ดำนา	damna:
ดำไฮ่ดำนา	damhaidamna:
ดิน	din
ดิบ	dip
ดิ้น	din
ดี	di:
ดีใจ	di:jai
ดึก	dʉk
ดึง	dʉŋ
ดืน	dʉ:n
ดุ	du
ดุล้าย	dula:i
ดู	du:
ดูด	du:t
ดูแล	du:lɛ:
ด่า	da:
ด้น	don
ด้วย	du:ai
ด้วยกัน	du:aigan
ด้วยดี	du:aidi:
ด้าน	da:n
ด้าม	da:m
ด้าย	da:i
ตก	tok
ตกดิน	tokdin
ตกแต่ง	toktɛŋ
ตกใจ	tokjai
ตง	toŋ
ตน	ton
ตบ	top
ตวด	tu:at
ตวดสอบ	tu:atsɔ:p
ตอก	tɔ:k
ตอน	tɔ:n
ตอนนี้	tɔ:nni:
ตอบ	tɔ:p
ตอบแทน	tɔ:pthɛ:n
ตอม	tɔ:m
ตะก้า	taga:
ตะขอ	takhɔ:
ตะปู	tapu:
ตะลี	tali:
ตะหลก	talok
ตะหลอดเวลา	talɔ:twe:la:
ตะหลาด	tala:t
ตะหลาดนัด	tala:tnat
ตะเกียบ	tagi:ap
ตะเว็น	tawen
ตัก	tak
ตัด	tat
ตับ	tap
ตัว	tu:a
ตั้ง	taŋ
ตั้งค้า	taŋkha:
ตั้งจิด	taŋjit
ตั้งแต่	taŋtɛ:
ตั้งใจ	taŋjai
ตั๊วะ	tu:a
ตา	ta:
ตาก	ta:k
ตาข่าย	ta:kha:i
ตาซั่ง	ta:saŋ
ตาบอด	ta:bɔ:t
ตาพุฮ้าย	ta:phuha:i
ตาม	ta:m
ตามสั่ง	ta:msaŋ
ตามีความสุข	ta:mi:khwa:msuk
ตามีแฮง	ta:mi:hɛ:ŋ
ตาม่วน	ta:mu:an
ตาย	ta:i
ตาย้าน	ta:ya:n
ตาลิโตน	ta:lito:n
ตาหน่าย	ta:na:i
ตาอยากหัว	ta:ya:khu:a
ตาฮัก	ta:hak
ตาเบิ่ง	ta:bəŋ
ตาแซบ	ta:sɛ:p
ตำ	tam
ตำบน	tambon
ตำบักหุ่ง	tambakhuŋ
ตำหลวด	tamlu:at
ติ	ti
ติด	tit
ติ่ก	tik
ตี	ti:
ตีน	ti:n
ตีนเปิ่ม	ti:npə:m
ตึก	tʉk
ตึ่บ	tʉp
ตื่น	tʉ:n
ตื้น	tʉ:n
ตุลาคม	tula:khom
ตุ่กตุ่ก	tuktuk
ตุ้มม้อง	tummɔŋ
ตุ้ย	tui
ตู้	tu:
ตู้เย็น	tu:yen
ต่น	ton
ต่อ	tɔ:
ต่อคิว	tɔ:kiu
ต่อสู้	tɔ:su:
ต่อไป	tɔ:pai
ต่อไปนี้	tɔ:paini:
ต่าง	ta:ŋ
ต่างปะเทด	ta:ŋpathet
ต่างๆ	ta:ŋta:ŋ
ต่ำ	tam
ต้น	ton
ต้นก้า	tonga:
ต้นเข้า	tonkhao
ต้นไม้	tonmai
ต้ม	tɔm
ต้อง	tɔŋ
ต้องกาน	tɔŋga:n
ถก	thok
ถอด	thɔ:t
ถะหนน	thanon
ถะหนนลาดยาง	thanonla:tya:ŋ
ถะหนัด	thanat
ถะหวาย	thawa:i
ถะแหมะ	thamɛ
ถัง	thaŋ
ถังขะยะ	thaŋkhaya
ถัดไป	thatpai
ถั่วงอก	thu:aŋɔ:k
ถาด	tha:t
ถานะ	tha:na
ถาม	tha:m
ถิ้ม	thim
ถีบ	thi:p
ถี่	thi:
ถึง	thʉŋ
ถืก	thʉ:k
ถืกกัน	thʉ:kgan
ถืกปาก	thʉ:kpa:k
ถืกหู	thʉ:khu:
ถือ	thʉ:
ถุง	thuŋ
ถุงตีน	thuŋti:n
ถุงเท้า	thuŋthao
ถู	thu:
ถ่าน	tha:n
ถ่าย	tha:i
ถ้วม	thu:am
ถ้วย	thu:ai
ถ้อน	thɔ:n
ถ้า	tha:
ทงซาด	thoŋsa:t
ทดแทน	thotthɛ:n
ทน	thon
ทนทาน	thontha:n
ทบทวน	thopthu:an
ทอง	thɔ:ŋ
ทอด	thɔ:t
ทอน	thɔ:n
ทอละมาน	thɔlama:n
ทะนาคาน	thana:kha:n
ทะวีบ	thavi:p
ทะหาน	thaha:n
ทะเล	thale:
ทะเลาะวิวาท	thalɔwiwa:t
ทักทาย	thaktha:i
ทัน	than
ทันที	thanti:
ทันวาคม	thanwa:khom
ทันเวลา	thanwe:la:
ทันได้	thandai
ทับ	thap
ทัพพี	thapphi:
ทัมมะซาด	thammasa:t
ทัมมะดา	thammada:
ทั่น	than
ทั่ว	thu:a
ทั้งหลาย	thaŋla:i
ทา	tha:
ทาง	tha:ŋ
ทางหน้า	tha:ŋna:
ทางหลัง	tha:ŋlaŋ
ทางเลี้ยว	tha:ŋli:ao
ทางแย้ก	tha:ŋyɛ:k
ทาน	tha:n
ทำ	tham
ทำความสะอาด	thamkhwa:msaa:t
ทำงาน	thamŋa:n
ทำนอง	thamnɔ:ŋ
ทำบุน	thambun
ทำล้าย	thamla:i
ทิด	thit
ทีบ	thi:p
ทีละ	thi:la
ทีหลัง	thi:laŋ
ที่	thi:
ที่ดิน	thi:din
ที่สุด	thi:sut
ที่อยู่อาสัย	thi:yu:a:sai
ที้ลี้	thi:li:
ทุก	thuk
ทุละ	thula
ทุละกิด	thulagit
ทุ่ง	thuŋ
ทุ้ม	thum
ทูบ	thu:p
ท่วน	thu:an
ท่อ	thɔ:
ท่อน	thɔn
ท่อนไม้	thɔnmai
ท่า	tha:
ท่าทาง	tha:tha:ŋ
ท่าเทบพะบุด	tha:the:pphabut
ท้อง	thɔ:ŋ
ท้องถะหนน	thɔ:ŋthanon
ท้องฟ้า	thɔ:ŋfa:
ท้องเสีย	thɔ:ŋsi:a
ท้อน	thɔ:n
ท้าย	tha:i
นก	nok
นม	nom
นวน	nu:an
นอก	nɔ:k
นอกจาก	nɔ:kja:k
นอน	nɔ:n
นอนหลับ	nɔ:nlap
นะ	na
นักล้อง	naklɔ:ŋ
นักเลียน	nakli:an
นัด	nat
นับ	nap
นับถือ	napthʉ:
นัว	nu:a
นั่ง	naŋ
นั้น	nan
นั้นหนะ	nanna
นั้นหละ	nanla
นั้นเอง	nane:ŋ
นา	na:
นางพะยาบาน	na:ŋphaya:ba:n
นางเอก	na:ŋe:k
นาที	na:thi:
นาย	na:i
นาลิกา	na:liga:
นาลิกาปุก	na:liga:puk
นำ	nam
นำกัน	namgan
นิยม	niyom
นิ้ว	niu
นิ้วกาง	niuga:ŋ
นิ้วก้อย	niugɔ:i
นิ้วซี้	niusi:
นิ้วตีน	niuti:n
นิ้วนาง	niuna:ŋ
นิ้วโป้	niupo:
นี้	ni:
นี้หละ	ni:la
นุ่งห่ม	nuŋhom
นุ้ม	num
นูน	nu:n
น่วย	nu:ai
น่วยตา	nu:aita:
น่อ	nɔ:
น้อ	nɔ:
น้อง	nɔ:ŋ
น้องซาย	nɔ:ŋsa:i
น้องสาว	nɔ:ŋsa:o
น้อย	nɔ:i
น้า	na:
น้ำ	na:m
น้ำตา	na:mta:
น้ำตาน	na:mta:n
น้ำปั่น	na:mpan
น้ำปา	na:mpa:
น้ำมัน	na:mman
น้ำหนัก	na:mnak
น้ำอัดลม	na:matlom
น้ำเชื้อม	na:mchʉ:am
น้ำเป่า	na:mpao
น้ำแข็ง	na:mkhɛŋ
น้ำแดง	na:mdɛ:ŋ
น้ำโค่ก	na:mkho:k
บก	bok
บดบาด	botba:t
บวด	bu:at
บอก	bɔ:k
บอด	bɔ:t
บอลิกาน	bɔ:liga:n
บอลิสุด	bɔ:lisut
บัก	bak
บักคัก	bakkhak
บักคักหนึ่ง	bakkhaknʉŋ
บักจก	bakjok
บักนาว	bakna:o
บักพาย	bakpha:i
บักพิก	bakphik
บักพ้าว	bakpha:o
บักม่วง	bakmu:aŋ
บักหล้า	bakla:
บักหุ่ง	bakhuŋ
บักเขียเคีย	bakkhi:akhi:a
บักแตง	baktɛ:ŋ
บักแตงโม	baktɛ:ŋmo:
บัง	baŋ
บังคับ	baŋkhap
บัด	bat
บัดนี้	batni:
บัดหนิ	batni
บันจุ	banju
บันชี	banchi:
บันญากาด	banya:ga:t
บันทัด	banthat
บันทุก	banthuk
บันเทา	banthao
บันได	bandai
บัว	bu:a
บาง	ba:ŋ
บางสิ่งบางอย่าง	ba:ŋsiŋba:ŋya:ŋ
บาด	ba:t
บาท	ba:t
บาน	ba:n
บิน	bin
บินทะบาด	binthaba:t
บีบ	bi:p
บึ่ด	bʉt
บืน	bʉ:n
บุ	bu
บูชา	bu:cha:
บูด	bu:t
บ่	bɔ:
บ่ค่อย	bɔ:khɔ:i
บ่งบอก	boŋbɔ:k
บ่ทันได้	bɔ:thandai
บ่อน	bɔn
บ่ฮู้อีโหน้อีเหน้	bɔ:hu:i:no:i:ne:
บ่า	ba:
บ่าด	ba:t
บ่าย	ba:i
บ่าไหล่	ba:lai
บ่แม่น	bɔ:mɛ:n
บ้า	ba:
บ้าน	ba:n
บ้านนอก	ba:nnɔ:k
บ้านเมียง	ba:nmi:aŋ
บ้านเลียน	ba:nli:an
ปก	pok
ปกกะติ	pokgati
ปน	pon
ปวด	pu:at
ปอก	pɔ:k
ปอดพัย	pɔ:tphai
ปอบ	pɔ:p
ปะ	pa
ปะชาชน	pacha:chon
ปะดับ	padap
ปะติทิน	patithin
ปะติเสด	patise:t
ปะตู	patu:
ปะมาน	pama:n
ปะลินญาเอก	palinɲa:e:k
ปะลินญาโท	palinɲa:tho:
ปะลิมาน	palima:n
ปะสา	pasa:
ปะเทด	pathet
ปะเลียน	pali:an
ปะโยก	payo:k
ปะโยด	payo:t
ปะโล่งโป่งเป่ง	palo:ŋpo:ŋpe:ŋ
ปัดจุบัน	patjuban
ปัดโท	pattho:
ปับ	pap
ปั่ก	pak
ปั่น	pan
ปั้ม	pam
ปา	pa:
ปาก	pa:k
ปากกา	pa:kga:
ปากกืก	pa:kgʉ:k
ปากด	pa:got
ปากดี	pa:kdi:
ปากเป็น	pa:kpen
ปาด	pa:t
ปาตี้	pa:ti:
ปานนั้น	pa:nnan
ปานใด	pa:ndai
ปาย	pa:i
ปายทาง	pa:itha:ŋ
ปาแดก	pa:dɛ:k
ปิด	pit
ปิดบัง	pitbaŋ
ปิว	piu
ปี	pi:
ปีก	pi:k
ปีน	pi:n
ปี้ๆ	pi:pi:
ปึก	pʉk
ปึกสา	pʉksa:
ปึ่กซึก	pʉksʉk
ปึ่บ	pʉp
ปืน	bʉ:n
ปุก	puk
ปุง	puŋ
ปุย	pui
ปุ่ม	pum
ปู	pu:
ปูก	pu:k
ปูน	pu:n
ป่วย	pu:ai
ป่อง	pɔŋ
ป่อน	pɔn
ป่อย	pɔ:i
ป่า	pa:
ป่าไม้	pa:mai
ป้องกัน	pɔŋgan
ป้อน	pɔ:n
ป้า	pa:
ป้าย	pa:i
ป๊าด	pa:t
ผง	phoŋ
ผงชูลด	phoŋchu:lot
ผงสะหัว	phoŋsahu:a
ผนผะหลิด	phonphalit
ผนละไม้	phonlamai
ผม	phom
ผะหลิด	phalit
ผัก	phak
ผักกะเสด	phakgase:t
ผักกาดขาว	phakga:tkha:o
ผักบุ้ง	phakbuŋ
ผักอี่เสด	phaki:se:t
ผัด	phat
ผัว	phu:a
ผาย	pha:i
ผิดกดหมาย	phitgotma:i
ผิดใจ	phitjai
ผิว	piu
ผิวหนัง	phiunaŋ
ผืน	phʉ:n
ผูก	phu:k
ผ่า	pha:
ผ่าน	pha:n
ผ้า	pha:
ผ้าขนหนู	pha:khonnu:
ผ้าปูโต่ะ	pha:pu:to
ผ้าม้าน	pha:ma:n
ผ้าห่ม	pha:hom
ผ้าเซ็ดโต	pha:setto:
ฝน	fon
ฝะลั่ง	falaŋ
ฝักบัว	fakbu:a
ฝัน	fan
ฝั่ง	faŋ
ฝา	fa:
ฝาก	fa:k
ฝาน	fa:n
ฝาผะหนัง	fa:pha:naŋ
ฝิงไฟ	fiŋfai
ฝ่าตีน	fa:ti:n
ฝ่าย	fa:i
พกพา	phokpha:
พวก	phu:ak
พวงมาลัย	phu:aŋma:lai
พวน	phu:an
พอ	phɔ:
พอดี	phɔ:di:
พอน	phɔ:n
พอปะมาน	phɔ:pama:n
พอสมควน	phɔ:somkhu:an
พอใจ	phɔ:jai
พะ	pha
พะทัม	phatham
พะทาด	phatha:t
พะนม	phanom
พะนักงาน	phanakŋa:n
พะพุดทะลูบ	phaphutthalu:p
พะพุดทะเจ้า	phaphutthajao
พะม่า	phama:
พะยาบาน	phaya:ba:n
พะละกำลัง	phalagamlaŋ
พะลัง	phalaŋ
พะลังงาน	phalaŋŋa:n
พะสะติก	phasatik
พะอาทิด	phaa:thit
พะเอก	phae:k
พัก	phak
พัง	phaŋ
พัด	phat
พัดลม	phatlom
พัน	phan
พับ	phap
พับเพียบ	phapphi:ap
พัย	phai
พั้ว	phu:a
พา	pha:
พาก	pha:k
พาชะนะ	pha:chana
พาบ	pha:p
พาบถ่าย	pha:ptha:i
พาบวาด	pha:pwa:t
พาย	pha:i
พาสา	pha:sa:
พาหะนะ	pha:hana
พาเข้า	pha:khao
พิดสุนักบ้า	phitsunakba:
พิม	phim
พี่ซาย	phi:sa:i
พี่สาว	phi:sa:o
พี้	phi:
พึสะจิกาย๊น	phʉsajiga:yon
พึสะพาคม	phʉsapha:khom
พืด	phʉ:t
พื้น	phʉ:n
พื้นดิน	phʉ:ndin
พื้นที้	phʉ:nthi:
พุ	phu
พุข้า	phukha:
พุซาย	phusa:i
พุบ่าว	phuba:o
พุป่วย	phupu:ai
พุล้าย	phula:i
พุสาว	phusa:o
พุหญิง	phuɲiŋ
พุเดียว	phudi:ao
พุเถ้า	phuthao
พุโดยสาน	phudo:isa:n
พุโถ	phutho:
พุใด	phudai
พุใหญ่	phuɲai
พุใหญ่บ้าน	phuɲaiba:n
พุ้น	phun
พุ้นหนะ	phunna
พุ้นหละ	phunla
พุ้นแหล้ว	phunlɛ:o
พู	phu:
พูมถาน	phu:mtha:n
พูมิพาก	phu:mipha:k
พูมใจ	phu:mjai
พูเขา	phu:khao
พ่อ	phɔ:
พ่อค้า	phɔ:kha:
พ่อใหญ่	phɔ:ɲai
พ้อ	phɔ:
พ้อม	phɔ:m
พ้อมกัน	phɔ:mgan
พ้อมเพียง	phɔ:mphi:aŋ
ฟอง	fɔ:ŋ
ฟองน้ำ	fɔ:ŋna:m
ฟัง	faŋ
ฟัน	fan
ฟิสิก	fisik
ฟิ่ว	fiu
ฟืน	fʉ:n
ฟุดบาด	futba:t
ฟู	fu:
ฟ้ง	foŋ
ฟ้า	fa:
ฟ้าผ่า	fa:pha:
ฟ้าว	fa:o
มกกะลาคม	mokgala:khom
มวนอากาด	mu:ana:ga:t
มอ	mɔ:
มอบ	mɔ:p
มอเตอไซ	mɔ:tə:sai
มะละกอ	malagɔ:
มะเล็ด	malet
มะเล็ดพัน	maletphan
มะโล่งโจ่งเจ่ง	malo:ŋjo:ŋje:ŋ
มัก	mak
มัด	mat
มัน	man
มัว	mu:a
มั่วซั่ว	mu:asu:a
มา	ma:
มากกว่า	ma:kgwa:
มากมาย	ma:kma:i
มาละย้าด	ma:laya:t
มิด	mit
มิดซิด	mitsit
มิถุนาย๊น	mithuna:yon
มี	mi:
มีด	mi:t
มีดโกน	mi:tgo:n
มีดโกนหนวด	mi:tgo:nnu:at
มีนา	mi:na:
มีนาคม	mi:na:khom
มีแฮง	mi:hɛ:ŋ
มึง	mʉŋ
มึน	mʉn
มืด	mʉ:t
มืน	mʉ:n
มือ	mʉ:
มื้อ	mʉ:
มื้อก่อน	mʉ:gɔ:n
มื้อคืน	mʉ:khʉ:n
มื้อนี้	mʉ:ni:
มื้อวาน	mʉ:wa:n
มื้อหลัง	mʉ:laŋ
มื้ออื่น	mʉ:ʉ:n
มื้อฮือ	mʉ:hʉ:
มื้อเซ้า	mʉ:sao
มื้อเว็น	mʉ:wen
มื้อแก้ง	mʉ:gɛ:ŋ
มื้อแลง	mʉ:lɛ:ŋ
มุง	muŋ
มุด	mut
มุม	mum
มุ่น	mun
ม่น	mon
ม่วน	mu:an
ม่ำ	mam
ม้า	ma:
ยอก	yɔ:k
ยัง	yaŋ
ยา	ya:
ยาง	ya:ŋ
ยาดโย๊ม	ya:tyo:m
ยานพาหะนะ	ya:npha:hana
ยาสีฟัน	ya:si:fan
ยินดี	yindi:
ยิ้ม	yim
ยี่ห้อ	yi:hɔ:
ยี้บ	yi:p
ยี้สิบ	yi:sip
ยี้ฮ้อ	yi:hɔ:
ยืน	yʉ:n
ยื่น	yʉ:n
ย่อน	yɔn
ย้าง	ya:ŋ
ย้าน	ya:n
ย๊น	yon
ลง	loŋ
ลงทุน	loŋthun
ลด	lot
ลดกะบะ	lotgaba
ลดขนของ	lotkhonkhɔ:ŋ
ลดซาด	lotsa:t
ลดตุ่กตุ่ก	lottuktuk
ลดตู้	lottu:
ลดบันทุก	lotbanthuk
ลดบั่ด	lotbat
ลดปะจำทาง	lotpajamtha:ŋ
ลดพิกอั่บ	lotphikap
ลดยน	lotyon
ลดลับส่ง	lotlapsoŋ
ลดสามล้อ	lotsa:mlɔ:
ลดสิบล้อ	lotsiplɔ:
ลดเก็ง	lotgeŋ
ลดเข็น	lotkhen
ลดเม	lotme:
ลดแท็กซี้	lotthɛksi:
ลดโลงบาน	lotlo:ŋba:n
ลดโลงพะยาบาน	lotlo:ŋphaya:ba:n
ลดไถ	lotthai
ลดไฟ	lotfai
ลบ	lop
ลม	lom
ลวก	lu:ak
ลวดลาย	lu:atla:i
ลวม	lu:am
ลวย	lu:ai
ลอง	lɔ:ŋ
ลองเท้าผ้าใบ	lɔ:ŋthaopha:bai
ลอด	lɔ:t
ลอบ	lɔ:p
