3	ʏ̞tʃ
adlandırılmaq	ɑdɫɑndɯ̞rɯ̞ɫmɑɢ
adlanmaq	ɑdɫɑmːɑχ
administrasiya	administrasʲija
admiral	ɑˈdmiɾɑl
admirallıq	ɑdmʲiɾɑɫːɯ̞g
adqoydu	atgojdu
adqoyma	atgɔjɛma
adsız	aʈsɯz
advokat	advokat
adıbatmış	ɑˈdɯbatmɯʃ
adıbilinməz	ɑtɯbilinmez
adına	ɑˈdɯnɑ
adəm	adem
adət	ɑːdæt
adət	ʔɑːdət
aerodrom	aiɾodrom
aeronavt	ɑjɾɑnaft
aerostat	ajɾostɑt
affiks	aɾfˈiks
afrika	afriˈka
aftab	afˈtɑb
aftafa	afˈtɑfɑ
aftafa	ɑftɑfa
afət	ɑːfæt
afət	ɑːfˈt
agah	ɑːgɑh
agent	agent
agentura	agintura
ah-nalə	ɑhnɑɛlæ
ahu	ɑːhʊ
aidiyyət	ɑidijæt
ailə	ɑilæ
ailə	ɑjlɑ
ailədaxili	ɑjlɑdɑχili
akademiya	akadzʲemʲija
akif	ɑkɯf
akrobat	akrabat
aksiz	ɑˈksiz
akt	akts
aktiv	aktˈiv
aktivləşdirmək	ɑktivlæʃtirmæk
aktrisa	aktrɛsa
aktyor	ɑktjor
akula	akula
akustik	ɑkustˈik
akvarel	akvarɛl
ala	aːla
alabama	alaɓama
alabaş	aɫɑbɑʂ
alagöz	ɑɫɑɟœz
alaq	ɑlɑh
alaqarğa	alagˈarvɑ
albaniya	alpanja
albatros	albatɾos
aldadılmaq	ɑldɑdɯ̞ɫmɑq
aldanmaq	ɑldɑmˈmɑh
aldanmaq	ɑɫdɑnmɑχ
aldanmaq	ɑɫːɑnmɑχ
aldatmaq	ɑɫdɑtmɑχ
aldatmaq	ɑɫːɑtmɑχ
aldatmaq	ˈɑldɑtmɑˈh
alfa	ˈalfə
alfonso	alfɔnso
ali	ɑːli
alim	ɑːlim
aliyə	ɑˈliːje
alkaqol	alkagou
allahsız	aːlɑfsɯz
allahverdi	ɑɫɑhveɾˈdi
alliqator	alligatʊr
alma	ɑlma
alma	ɑɫmɑ
alman	ɑɫmɑm
almanax	ɑlmɑnɑq
almaniya	ɑɫmɑnijɑ
almaq	ɑlmaɣ
almaq	ɑɫmɑχ
almaz	ɑɫmɑs
almaz	ɑɫmɑz
alov	alɔv
alov	ɑɫov
alovlu	ɑɫovɫu
alpinist	alʲpʲinʲist
alpinizm	alpijnˈizm
alqış	ɑɫgɯʃ
alqış	ɑɫɣɯʃ
alqışlamaq	ɑɫgɯʃɫɑmɑχ
alqışlamaq	ɑɫɣɯʃɫɑmɑχ
alt	alt̪
alt	ɑɫt
altmış	ɑɫtmɯʃ
altmışıncı	ɑltmɯʃɯndʒɯ
altun-axça	ɑltunɑqtʃɑ
altunotu	ɑɫt̪uˈnɔt̪u
altıbaşlı	altɯbaʃˈlɯ
altıncı	ɑltɯndʒɯ
altında	ɑɫtɯndɑ
alver	ɑlver
alverçi	ɑlvetʃi
alyanaqlı	ɑɫjɑmɑʁɫɯ̞
alyans	aliaŋs
alça	ɑɫtʃɑ
alçaldıcı	ɑɫtʃɑɫtɯdʒɯ
alçalma	ɑɫtʃɑɫmɑ
alçaq	ɑɫtʃɑq
alıcı	ɑɫɑdʒɯ
alın	aɫɯ̞n
alınma	ɑɫɯmːɑ
alınma	ɑɫɯnmɑ
alınmaq	ɑlɯnmɑχ
alınmaq	ɑɫɯmːɑχ
alınça	ɑɫɯntsɑ
alış	ɑɫɯʃ
alış-veriş	ɑɫɯʃveɾiʃ
alışmaq	ɑɫɯʃmɑχ
alışqan	aːlɯʃkam
aləm	ɑlɛm
aləm	ɑːlæm
alət	ɑlɑt
alət	ɑːlæt
amal	ɑmɑɫ
amansız	ɑmɑnsɯz
amansız	ɑmɑɫsɯz
amansızcasına	ɑmɑnˈsɯzʒɑsɯnɑ
amcıq	ɑmdzɯχ
amcıq	ɑmdʒɯχ
amcıqgöz	ɑmdzɯɣdʒœz
amcıqgöz	ɑmdʒɯɣɟœz
amerika	amerka
amerika	meɾiːkɑ
amerikadan	ameɾikadan
amerikan	ɑmeˈɾiːkɑm
amerikanlaşma	ɑmeɾikɑnɯlɑʃˈmɑ
amil	ɑːmɪl
aminə	ɑminæ
amiranə	ɑːmiːɾɑːne
amirov	amjrof
amitoz	amjtoz
amma	amma
amma	ɑmbɑ
amma	ɑmːɑ
amortizasiya	amortizasiːjɒ
an	aːm
ana	ɑnɑ
ana-ata	ɑnɑtɑ
ana-bacı	ɑnɑbadʒɯ
ana-bala	ɑnɑbɑlɑ
anakonda	anakonda
analitik	amalˈetˈik
analıq	ɑnɑɫɯ̞q
ananas	ɑmɑnɑs
anar	ɑˈnɑːr
anarxiya	ɑmɑrχʊ̞jɑ
anaş	ɑmɑs
ancaq	ɑndzɑχ
ancaq	ɑndʒɑb
ancaq	ɑndʒɑχ
and	ɑnd
and	ɑːmˈb
andırma	ɑŋˈdɯrmɑ
andız	ɑndɯz
anemon	anːʲemˈon
angel	aŋgəl
ani	ɑnɪ
anladılma	ɑŋɫadɯɫmɑ
anlam	ɑnˈlɑm
anlama	ɑnɫɑma
anlamaq	ɑmlɑmaɾ
anlamaq	ɑnɫɑmɑχ
anlamaz	ɑnˈlɑmɑs
anlaqsız	ɑnlaχsɯz
anlatma	ɑnˈnɑtmɑ
anlatmaq	ɑnˈnɑtmɑq
anlayış	ɑnlajɯʃ
anlayış	ɑnɫɑjɯʃ
anlaşılan	ɑnɫɑʃɯɫɑn
anlaşılmaq	ɑŋnɑʃɯlmɑq
anlaşılmaz	ɑnɫɑʃɯɫmɑs
anlaşıqlı	ɑnˈnɑʃˈɯˈqlɯ
anma	ɑmɑ
anmaq	amma
anmaq	ɑmːɑχ
anmaq	ɑnmɑχ
anomaliya	ɑnɑmɑjliːjɑ
anons	anɑms
anormal	anoˈrmaːl
anormal	ɑnormɑɫ
anqut	ɑŋˈgut
anqırma	aŋgɯrma
anqırmaq	ɑngɯrmɑχ
anqırtma	ɑŋɯɾtma
antarktika	antarktika
antibiotik	ɑntibjotʲik
antigen	ɑntidʒen
antigen	ɑntiɟen
antilop	antɨlop
antonim	antonim
antropoloq	antɾopolog
anım	ɑnɯm
anıtmaq	ɑnɯtmɑq
aorta	aoɾta
aparma	ɑpɑrˈmɑ
aparmaq	ɑpɑrmɑχ
aparıcı	aˈpaɾˈɯdʒi
aparılma	ɑpɑrɯ̞ɫmɑ
apaçıq	apɑtʃɯc
apaşkar	ɑpɑʃˈlɑr
apostol	apostɔl
aprel	aprɛlʲ
aqibət	ɑgiːbæt
aqnostik	ɐgnˈostik
aqnostika	ʌgnˈostika
aqressiv	ʌgrˈessiv
aqrobiologiya	agrabʲiologʲija
ara	ɑrɑ
ara	ɑɾa
ara-sıra	ɑɾaˈsɯɾɑ
araba	hɑrɑvɑ
araba	ɑrɑbɑ
arabir	ɑrɑbir
arabir	ɑrɑpʲir
arada	ɑrɑdɑ
arada	ɑɾɑdɑ
aralamaq	ɑrɑɫɑmɑq
aralanmaq	ɑrɑɫɑnmɑq
aralı	ɑrɑlɯ̞
aralıq	ɑrɑɫɯ̞q
aram	ɑrɑm
aram-aram	ɑrɑmɑrɑm
aramgah	ɑrɑmɟɑh
aramla	aramla
aranmaq	ɑrɑmˈmɑh
arasında	ɑrɑsɯndɑ
arasında	ɑɾɑˈsɯnˈdɑ
arayış	ɑrɑjɯʃ
araz	ɑɾɑs
araşdırma	ɑˈrɑʃtɯrmɑ
araşdırmaq	ɑrɑʃdɯrmɑχ
araşdırmaq	ɑrɑʃtɯrmɑχ
araşdırmaq	ɑɾɑʃtɯrmaɣ
ard	ɑrd
arfa	æɾfɑ
aristokrat	ɑɾistɑkɾɑt
arkadi	ɑrkɑdi
arkanzas	arkanzas
arlanmaq	ɑrːɑmːɑx
armudu	aɾmɯdu
arpa	arpa
arqon	argon
arsen	ɒɾsen
artist	ɑrtist
artist	ɑɾtˈɪst
artma	ɑɾtma
artmaq	ɑrtmɑχ
artrit	aɾtɾet
artım	ɑɾtɯm
artıq	ɑrtɯχ
artıq	ɑɾtɯz
artırmaq	ɑɾtɯɾmɑq
arvad	ɑrvɑd
arx	ɑr
arxa	ɑrxɑ
arxa-dirək	ɑrxadiːræk
arxac	ɑrxɑdz
arxac	ɑrxɑdʒ
arxaclamaq	ɑrˈxɑdʒdɑmɑːx
arxadaş	ɑrχɑdɑʃ
arxadaş	ɑɾxadɑʃ
arxaik	ɑrχɑic
arxalanmaq	ɑrxaɫɑmːɑx
arxalanmaq	ɑrxaɫɑnmɑx
arxasında	ɑrχɑsɯndɑ
arxayın	ɑrχɑjɯ̞ð
arxeoloq	arxʲelˈog
arxiv	ɑrχiv
arxiv	ɑrχʲið
arxiyepiskop	ɑrxijepiskop
arzu	aɾzu
arğac	ɑrɣɑdz
arğac	ɑrɣɑdʒ
arı	ɑrɛ
arı	ɑrɯ
arıq	ɑrɯɣ
arıq	ɑrɯ̞q
arıqlamaq	ɑrɯɣɫɑmɑχ
arıquşu	ɑrɯguʃu
asanlaşdırmaq	ɑsɑnɫɑʃtɯ̞rmɑq
asanlıq	ɑsɑnɫɯχ
asanlıq	ɑsɑnːɯχ
asiya	asja
aslan	ɑsɫɑn
asma	ɑsˈmɑ
asmaq	æsmɑq
asqı	askɯ̞
asqırmaq	ɑsgɯrmɑχ
asqırmaq	ɑskɯrmɑχ
asta	ɑʃta
asta-asta	ɑstaɑsta
astadan	astɑdɑm
astana	ɑstɑna
astanasında	ɑstɑnɑsɯnda
astar	ɑstɑɾ
astara	aːstɑɾɑ
astat	aztat
astrofizika	astrofʲizʲika
astronavt	ɑstɾɑnɑft
astronomiya	astɾonomija
asudə	ɑsuːdæ
asılı	ɑsɯɫɯ
asılılıq	ɑsɯɫɯɫɯχ
asılılıq	ʔɑsɯlˈlɯx
at	tɑt
ata	ɑtɑ
ateist	atɛist
atelye	ɑtelje
atlanmaq	ɑtɫɑnmɑχ
atlanmaq	ɑtːɑmːɑχ
atlas	atlas
atlaz	ɑtɫɑz
atlı	ɑtɫɯ̞
atmaca	atmɑdʒɑ
atmaq	atmaː
atmaq	ɑtmɑχ
atmosfer	atmɑsɯeɾ
atmosfer	ɑtmosfer
atqı	ɑtgɯ
atqı	ɑtkɯ
atçılıq	ɑtˈtʃɯlɯk
atım	ɑtɯm
atışma	atɯ̞ʂmɑ
atəş	ɑtɛʃ
atəşin	aːtæʃiːn
atəşli	ateʃti
auditoriya	ɑuditorijɑ
avam	avɑm
avam	ɑvɑm
avar	ɑvɑr
avara	abara
avara	ɑvɑrɑ
avaraçılıq	avaratʃɯɫɯ̞θ
avarca	ɑˈvaɾdʒa
avarçı	ɑvɑrtsɯ
avarçı	ɑvɑrtʃɯ
avarçəkən	ɑvɑrtsætʃæn
avarçəkən	ɑvɑrtʃækæn
avaz	ɑˈvɑs
avesta	avʲestã
avqust	ɑvgust
avro	ɑvro
avroviziya	au̯rovʲizʲija
avroviziya	ɑvroviːzijɑ
avroviziya	ɑvrɑviːzijɑ
avtobus	ɑfˈtɑbʊs
avtomat	ɑfˈtɑmɑːts
avtomatik	aftomatic
avtomatik	ɑfˈtɑmɑtik
avtomatika	aftomatʲika
avtomatlaşdırmaq	ɑfˈtɑmɑˈtlɑʃtɯrmɑq
avtomobil	ɑfˈtɑmɑbɪl
avtomobilqayırma	ɑftɑmɑbʲilgɑjːrmɑ
avtoqraf	ɑftograf
avtoş	ɑftoʃ
axar	ɑχɑɾ
axmaq	ɑχmɑq
axmaq	ɑχmɑχ
axsamaq	ɑχsɑmɑχ
axta	ɑχtɑ
axtalamaq	ɑχtɑɫɑmɑχ
axtarmaq	ɑχtɑrmɑχ
axtarış	ɑχtɑrɯʃ
axtaçı	ɑχtɑtsɯ
axtaçı	ɑχtɑtʃɯ
axund	ɑxunt
axund	ɑχund
axı	ɑχɯ̞
axıcı	ɑχɯ̞dʒɯ̞
axın	ɑχɯn
axın	ɑχɯ̞n
axır	ɑχɪ̞ɾ
axır	ɑχɯr
axşam	aχʃam
ayaq	ɑjɑq
ayaq	ɑjɑχ
ayaq	ɑjˈɑq
ayaqqabı	ɑjɑkːɑbɯ
ayaqqabı	ɑjɑχgɑbɯ
ayaqqabı	ɑjɑχkɑbɯ
ayaqyalın	ɑjɑɣjɑɫɯn
ayaqyolu	ɑjɑɣjolu
ayaz	ɑjɑz
aybəniz	ajbeniz
aydan	ɑːlˈdɑːn
aydın	ɑjdɯn
aydın	ɑˈjdiˈm
aydınlıq	ɑjdɯnɫɯχ
aydınlıq	ɑjdɯnˈlɯɣ
ayin	ɑːjin
ayla	aiɫa
aylanmaq	ɑjɫɑmːɑχ
aylanmaq	ɑjɫɑnmɑχ
aylarla	ajɫɑɫɑ
aylı	ɑjɫɯ̞
aylıq	ɑjɫɯχ
ayna	aɫnɑ
aynabənd	ʔɑjnɑbɛnd
aypara	ajpara
ayran	ɑjrɑn
ayran	ɑjˈɾɑm
ayrı	ɑjˈɾɯ
ayrılmaq	ɑjɾɯ̞ɫmɑq
ayrılıq	ɑjˈɾˈɯlɯk
aysberq	ɑjsberg
aysız	ɑjsɯz
ayxan	ɑjhɑm
ayğır	ɑjɣɯr
ayı	ˈɑjɯ
ayılmaq	ɑjɯɫmɑχ
ayılmaq	ɑjɯ̞ɫmɑq
ayında	aːjɯmda
ayıq	qɑjɯ̞χ
ayıq	ɑjɯχ
ayıqlıq	ɑjɯɣɫɯχ
ayırmaq	ɑjɯrmɑχ
ayırmaq	ɑjɯ̞rmɑh
az	ɑz
azad	ɑzɑd
azadlıq	ɑzɑdɫɯχ
azalmaq	ɑzɑɫmɑq
azalmaq	ɑzɑɫmɑχ
azaltma	ɑzɑɫtmäɑ
azaltmaq	ɑzɑɫtmɑq
azan	azɑm
azar	azɑɾ
azarlama	ɑzɑrɑmɑ
azlıq	ɑzdɯχ
azlıq	ɑzɫɯ̞q
azlıq	ɑzɫɯχ
azman	ɑzmam
azmaq	azmˈa
azmaq	ɑzmɑχ
azot	azɑd
azyaşlı	ɑzjɑʃɫɯ
azğın	ɑzɣɯn
azı	ɑzɯ
azər	ɑːzɛr
azərbaycan	ɑːzærbɑjdzɑn
azərbaycan	ɑːzæɾbɑjdʒɑn
açar	atʃas
açar	hɑtsɑr
açar	ɑtsɑr
açar	ɑtʃɑr
açarlı	ɑtʃɑɾːɯ
açarsız	ɑtʃɑɾsɯz
açdırmaq	ɑtʃtɯɾmɑk
açmaq	ɑtsmɑχ
açmaq	ɑtʃmɑχ
açmaq	ɑtʃˈmɑ
açmaq	ɑʃmɑχ
açılmaq	ɑtsɯɫmɑχ
açılmaq	ɑtʃɯɫmɑχ
açılmaq	ɑˈtʃɯlmɑq
açılış	ɑtsɯlɯʃ
açılış	ɑtʃɯlɯʃ
açılış	ɑˈtʃɯˈɫɯʃ
açıq	ɑtsɯχ
açıq	ɑtʃɯɫ
açıq	ɑtʃɯχ
açıqca	ɑtsɯɣdzɑ
açıqca	ɑtʃɯɣdʒɑ
açıqca	ɑˈtʃɯɫdʒɑ
açıqlama	ɑtʃɯnɫɑmɑq
açıqlıq	ɑtʃɯˈɫɯk
açıqça	ɑtʃɯɣdʒɑ
açıqça	ɑtʃɯχtʃɑ
açıqürək	atʃɯguræj
ağ-qara	ɑʁgɑrɑ
ağac	ɑɢɑdʒ
ağac	ɑɣɑdz
ağac	ɑɣɑdʒ
ağac	ɑɣɑʃ
ağacdələn	ɑɣɑdʒdælæn
ağartma	ɑɣɑrtɯˈmɑ
ağartı	ɑɣɑrtɯ
ağartı	ɑʁɑrtɯ
ağbaş	ahbaʃ
ağbirçək	ɑɣbirtsætʃ
ağbirçək	ɑɣbirtʃæc
ağdərə	ɑʁdɑrɑ
ağlabatmaz	ɑɣɫɑbaɯtmɑz
ağlama	ɑɣɫɑmɑ
ağlamalı	ɑʁlɑmɑɫɯ̞
ağlamaq	aɣlamɑq
ağlamaq	ɑɣɫɑmɑχ
ağlamaq	ɑːɫɑmɑχ
ağlasığmaz	ɑɣɫasɯɣmɑz
ağqanad	aɣkanat
ağqoval	ɑɣgovɑɫ
ağrı	ɑɣrɯ
ağrı	ɑʁrɯ̞
ağrılı	ɑʁrɯ̞ɫɯ̞
ağrımaq	ɑɣrɯmɑχ
ağrımaq	ɑˈgrɯmɑˈx
ağrısız	ɑɣrɯsɯz
ağuş	ɑɣuʃ
ağzıbütöv	ɑɣzɯbytœv
ağzıbütöv	ɑɣzɯpytœv
ağı	ɑgɯ̞
ağı	ɑɣɯ
ağıl	ɑɣɯɫ
ağıl	ɑˈgɯl
ağılkəsən	ɑɢɯlkæsæn
ağılla	ɑˈʁɯlla
ağıllı	ɑɣɯɫːɯ
ağımsov	agɯmsɑf
ağımtıl	aɣɑmtɯɫ
ağır	ɑɣɯr
ağır	ɑːgɯɾ
ağız	ɑɣɯz
ağızlıq	ɑɣɯzdɯχ
ağızlıq	ɑɣɯzɫɯχ
ağızsız	aɣɯsɯz
aş	ɑʃ
aşağı	ɑʃɑɣɯ
aşiq	aʃɯk
aşiq	ɑːʃig
aşkar	ɑʃˈkɑɾ
aşmaq	aʃmaɾ
aşpaz	ɑʃpɑz
aşqar	ɑʂkɑr
aşura	ɑɫʃuɾa
aşğal	ɑʃɣɑɫ
aşı	ɑʃɯ
aşılamaq	ɑʃɯɫɑmɑχ
aşılamaq	ɑʃɯ̞ɫɑmɑq
aşınma	ɑʂɯ̞nmɑ
aşıq	ɑʃɯx
aşırım	ɑʃɯrɯm
aşırım	ɑʃɯɾˈɯm
baba	baba
baba	bɑbɑ
babasil	bɑbɑsil
babat	abat
baca	bɑtʃa
bacanaq	bɑdzɑnɑχ
bacanaq	bɑdʒɑnɑχ
bacanaq	bɑʒɑnɑχ
bacanaq	bˈadʒˈanɐx
bacarmaq	bɑdzɑrmɑχ
bacarmaq	bɑdʒɑrmɑχ
bacı	bɑdzɯ
bacı	bɑdʒɯ
bacı	bɑʒɯ
bacı	pɑtʃɯ
badambura	kɑˈdɑmbuɾa
badamlı	adɑmɫɯ
badamı	padama
badımcan	bɑdɯmdzɑn
badımcan	bɑdɯmdʒɑn
badə	bɑːdɛ
baha	bɑhɑ
bahadır	bɑhɑdɯr
bahalı	bɑhɑɫɯ
bahar	bɑhɑr
bahar	bɑhɑɾ
bakalavr	pakaɫavɯ̞r
bakir	bɑːcir
bakir	bɑːtʃir
bakir	pakɪr
bakirə	bɑːciræ
bakirə	bɑːtʃiræ
bakı	bɑcɯ
bakı	bˈɑtʃɯ
bakı	vˈakɪ
bakılı	fakɪɫɯ
bal	bɑɫ
bal	fˈalf
bala	bɑɫa
bala	bɑɫɑ
balaban	bɑɫɑbɑn
balaban	pɑɫɑbɑn
balaca	bɑɫɑdzɑ
balaca	bɑɫɑdʒɑ
balalamaq	pɑɫɑɫɑmɑq
balalayka	bɑɫɑɫɑjkɑ
balalayka	pɑɫɑlajka
balans	ɑɫɑns
balaq	bɑɫɑx
balaq	falaɾ
balatı	pɑɫɑtɯ̞
baldır	ɑɫdɯɾ
baldız	bɑɫdɯz
balerina	pˈɑliɾˈɪnˈɑ
balet	balʲet
balina	balʲina
balkan	bɑɫkʰɑm
balta	ɑɫta
baltalamaq	bɑltɑlɑmaɾ
baltalamaq	bɑltɑlɑmɑχ
balı	bɑːɫɯ
balıq	bɑɫɯx
balıqçı	bɑlɯχtsɯ
balıqçı	bɑlɯχtʃɯ
balış	bɑɫɯʃ
balışüzü	bɑɫɯʃyzy
banda	balda
bandaj	bɑndɑʒ
bandit	panˈdɪt
bandotdel	bɑndotdel
bandotdel	bɑndɑtdel
bani	bɑːni
bank	bank
bankomat	bɑŋkɑmat
bankrot	baːnkɾot
bant	pant
banu	bɑːnɔ
baobab	pau̯bap
bapbalaca	fappɑɫatʃa
baq	dˈax
baqaj	bɑgaʒ
baqajnik	bɑgaʒnic
bar	bar
barama	bɑrɑmɑ
barama	parama
bariqa	bɑrigɑ
bariz	parɛz
barmaq	bɑrmɑq
barmaq	bɑrmɑχ
barmaqlamaq	bɑrmɑɣlɑmɑχ
barmaqlıq	bɑrmɑɣɫɯχ
baron	bɑron
barselona	varseɫona
barı	bɑrɯ
barış	bɑˈrɯʃ
barışmaq	bɑrɯʃmɑχ
barədə	bɑːrædæ
basabas	ɑsɑbɑs
basdırmaq	bɑsdɯrmɑχ
basdırmaq	pɑstɯˈɾmɑh
basketbolçu	bɑsketboɫtsu
basketbolçu	bɑsketboɫtʃu
basma	bɑsˈmɑ
basmaq	bɑsmɑχ
basmaq	pɑsmɑh
bastalamaq	pɑʃtɑɫɑmɑχ
basılmaz	bɑsɯɫmɑz
bataq	batax
bataq	bɑtɑχ
batmaq	bɑtmɑq
batırmaq	bɑtɯ̞rmɑh
baxma	bɑqmɑ
baxmaq	bɑχmɑχ
baxmaq	vˈaxmˌɑk
baxmayaraq	bɑχmɑjɑrɑχ
baxmayaraq	bɑχmɯjɑrɑχ
baxtalamaq	bɑχdɑɫɑmɑɣ
baxımlı	pɑχɯ̞mɫɯ̞
bayaq	bɑjɑχ
bayaq	paja
bayat	bɑjɑt
bayatı	pajɑtɯ
bayağı	bɑjɑvɯ̞
bayağı	bɑjɑɣɯ
bayquş	bejɣuʃ
bayquş	bɑjguʃ
bayram	bɑjˈɾɑm
bayramlı	bajramla
bayraq	bɑjrɑχ
bayt	baɪk
bayır	bajɯɾ
baza	paza
bazar	pɑzɑɾ
bazarlıq	bɑzɑrɫɯx
bazarlıq	bɑzɑrːɯx
bazlıq	bɑzdɯχ
bazlıq	bɑzɫɯχ
bağ	bɑɣ
bağ	bˈax
bağa	bɑːɢɑ
bağana	bɑɣɑnɑ
bağban	bɑɣbɑn
bağlama	bɑɣɫɑmɑ
bağlamaq	bɑɣɫɑmɑχ
bağlanmaq	bɑɣɫɑmːɑχ
bağlanmaq	bɑɣɫɑnmɑχ
bağlantı	bɑɣɫɑntɯ
bağlantı	bɑʁɫɑntɯ̞
bağlı	bɑɣlɯ
bağlı	vɑɣɫɯ̞
bağça	bɑqtʃɑ
bağır	bɑɣɯr
bağırmaq	bɑɣɯrmɑχ
bağırmaq	bɑːgɯrmɑːx
bağırsaq	bɑɣɯrsɑχ
bağışlamaq	bæːʃlæmɑχ
bağışlamaq	bɑɣɯʃtɑmɑχ
bağışlamaq	bɑɣɯʃɫɑmɑχ
bağışlamaq	bɑːʃlɑmɑχ
baş	bɑʃ
baş	bˈaʃ
başbilən	bɑʃbelæn
başdan	bɑʃtɑm
başdan-ayağa	paʃtɑnajɑˈɣa
başdaşı	bɑʃdɑʃɯ
başlamaq	bɑʃtɑmɑχ
başlamaq	bɑʃɫɑmɑχ
başlanmaq	pɑʃtɑmmɑˈχ
başlanğıc	bɑʃtɑnɣɯdz
başlanğıc	bɑʃtɑnɣɯdʒ
başlanğıc	bɑʃɫɑnɣɯdz
başlanğıc	bɑʃɫɑnɣɯdʒ
başlıca	paʃɫudʒe
başqa	bɑʃgɑ
başqa	bɑʃkɑ
başsağlığı	bɑʃsɑɣɫɯɣɯ
başçı	bɑʃtsɯ
başçı	bɑʃtʃɯ
başçılıq	bɑʃtʃʲɯɫɑχ
başıbağlı	bɑˈʃɯˈbɑˈʁlɯ
başınağacı	bɑʃɯnɑʁɑdʒɯ
başında	bɑʃɯndɑ
beh	bej
bel	pɛl
belibağlı	belibɑɣɫɯ
belə	belæ
benzin	benzin
benzin	penˈzil
berlin	berˈlin
betər	betær
beyin	bein
beyin	bejin
beynəlxalq	bejnælχɑlg
beynəlxalq	bejnælχɑlχ
beynəlxalq	bejnɑɫχɑlg
beynəlxalq	bejnɑɫχɑlχ
beyt	bejt
bezdirici	bezdiɾedʒi
bezmək	bezmæj
bezmək	bezmæk
beçə	bɛtʃɑ
beş	bˈeʃ
beşbarmaq	beʃbɑrmɑχ
beşbetər	beʃbetær
beşbetər	beʃpætær
beşik	beʃij
beşik	beʃik
beşik	beʃiç
beşinci	beʃindʒi
beşinci	beʃintʃi
bibi	bibi
bibinəvəsi	fiːbiːnæʋæsi
bibioğlu	bibioɣɫu
bibiqızı	bibigɯzɯ
bibər	bibæɾ
bibər	bibˈɒɾ
biganə	biɟɑːnæ
biganə	vigane
bikef	bikif
bildiriş	biɫdiɾiʃ
bildirmək	biɫdiɾmæj
bilet	bʲilæt
bilgi	bilgæ
bilgi	bilɟi
bilik	bilic
bilik	bilij
bilik	biliç
bilirəm	biˈl�ræm
bilmirəm	pilmiɾam
bilmək	bilmej
bilmək	bilmæj
bilmək	bilmæk
bilmək	bilmɑχ
bilmək	bylmɑχ
bilmək	ilmæj
bilək	bilej
bimar	bimɑɾ
bina	pina
binə	mʲinæ
binəqədi	piˈnægædi
biofizika	piofˈizika
