'z	z
apnenec	apnˈeːnɛts
apnéti	apniːti
apokalipsa	apɔkali˥˩ːpsa
apostrof	apɔstro˥˩ːf
april	apri˥˩ːl
april	apr̝il
arabija	arabia
arabski	ara˥˩ːpski
aragonit	aragɔni˥˩ːt
arašid	araʃi˥˩ːt
arbitraža	arbidraːʒa
arena	arena
argentina	argəntˈina
argon	argo˥˩ːn
argon	a˥˩ːrgɔn
arhangel	arxa˩˥ːngɛl
arhitektura	arxitektura
arhitektura	arxitɛktu˥˩ːra
arhiv	arxiu
arhivar	arxiʋa˩˥ːr
aristokracija	aristɔkratsi˥˩ːja
aristotel	aristo˥˩ːtɛl
aritmetika	aritmejtika
armada	arma˥˩ːda
armenija	arme˩˥ːnija
armenija	armˈenja
aroganca	arogantsa
aroganten	arogantən
artefakt	artɛfa˥˩ːkt
arterija	artɛria
arterija	artɛ̀ːrija
arzen	arzen
arzen	arze˥˩ːn
asfalt	asfˈald
asimetrija	a˥˩simɛtri˥˩ːja
asklepij	askle˩˥ːpij
astat	asta˥˩ːt
asteroid	astɛruid
asteroid	astɛrɔi˥˩ːt
astma	ɑstma
astrofizika	a˥˩ːstrɔfi˩˥ːzika
astrolab	astrolab
astrologija	astrɔlɔgi˥˩ːja
astronomija	astrɔnɔmi˥˩ːja
ateizem	atɛi˩˥ːzəm
atelje	atəlje̞
atena	ate˥˩ːna
atene	ate˥˩ːnɛ
atene	atine
atol	ato˥˩ːl
atom	atom
atomski	ato˥˩ːmski
atonalen	aːtɔnalˈɛn
atonalen	a˥˩tɔna˥˩ːlən
atrakcija	atraktsia
atrij	a˩˥ːtrij
autokracija	autɔkratsi˥˩ːja
avgust	au̯gust
avgust	aʋgu˥˩ːst
avstralija	aʋstra˩˥ːlija
avstrija	a˥˩ːʋstrija
avstrijec	aʋstri˥˩ːjəts
avstrijka	aʋstri˥˩ːjka
avstrijski	aʋstri˥˩ːjski
avtizem	aʋti˩˥ːzɛm
avtobus	a˥˩ːʋtɔbus
avtocesta	a˥˩ːʋtɔtse˩˥ːsta
avtomehanik	a˥˩ːʋtɔmɛxa˩˥ːnik
avtopralnica	a˥˩ːʋtɔpra˥˩ːlnitsa
avtor	a˥˩ːʋtɔr
avtosedež	a˥˩ːʋtɔse˥˩ːdɛʃ
avtosugestija	a˥˩ːʋtɔsugɛsti˥˩ːja
avtošola	a˥˩ːʋtɔʃo˥˩ːla
avče	au̯tʃe
azbest	asbest̪
azerbajdžan	azɛrbajdʒa˥˩ːn
azija	azjˈa
azija	a˩˥ːzija
azil	azi˥˩ːl
azil	azˈil
b	b
b	be˥˩ː
baba	bava
baba	ba˩˥ːba
babica	ba˩˥ːbitsa
babica	bɑːbitsa
babnica	babɲitsa
bacil	batsiʎ
badminton	batmɛntɔn
bagatela	bagateːla
bager	ba˩˥ːgər
bagrist	bagri˥˩ːst
bahami	baxa˥˩ːmi
bahrajn	baxra˥˩ːjn
baje	baje
bajen	ba˥˩ːjən
bajeslovec	bajɛslɔvɛts
bajonet	bajɔne˥˩ːt
bajta	ba˥˩ːjta
baker	bakɔr
baker	ba˩˥ːkər
bakla	baːklˈa
bakla	ba˥˩ːkla
baklonosec	baklɔno˥˩ːsɛts
balada	balaːda
balalajka	balaˈlajka
balažič	palaɣ̞itʃ
balerina	balerina
balet	bale˥˩ːt
balet	balˈeːt
baletka	balitka
baletnik	balitnik
balkanski	balkanzkij
balkon	balˈkɔn
balon	baloːn
baltik	baltˈiːk
baltski	balski
bambus	bambuz
bambus	ba˥˩ːmbus
banane	banana
banda	baːnda
banja	ba˩˥ːnja
banka	ba˥˩ːnka
banke	baŋke
banket	bankit
banki	banke
bankirski	bankʲirskʲi
bankrot	ankrɔt̪
banovina	banɔvina
bančen	banˈtʃˈn
bančni	banˈtʃni
baptist	baptˈist
bar	ba˥˩ːr
baraba	baraːba
baraka	baraːka
barantati	baranta˩˥ːti
barantati	berˈantati
barbarizem	barbarizm
barcelona	bartsɛlo˥˩ːna
baretka	bˈaritka
barij	ba˩˥ːrij
barion	barijo˥˩ːn
bariton	baritun
baritonist	balitɔnist
barja	baria
barje	bariːe
barka	ba˥˩ːrka
barok	baruk
barva	barva
barva	ba˥˩ːrʋa
barvica	baruʲitsa
bas	ba˥˩ːs
bas	bɑs
basati	ba˩˥ːsati
basel	bazɐl
basen	bason
bask	ba˥˩ːsk
baskovski	ba˥˩ːskɔʋski
baskovščina	ba˥˩ːskɔʋʃtʃina
baslu	bazlu
baterija	bateria
baterija	batɛri˥˩ːja
bati	batɪ
bati	ba˩˥ːti
batiskaf	batiska˥˩ːf
baza	ba˥˩ːza
baza	ba˩˥ːza
bazalt	baza˥˩ːlt
bazen	baze˥˩ːn
bazo	bazo
baš	bɑʃ
be	be˥˩ː
beda	be˩˥ːda
bedak	bɛda˩˥ːk
beden	be˩˥ːdən
bednejši	be˩˥ːdnɛjʃi
bedro	bɛ̀ːdrɔ
begunec	bɛgu˥˩ːnəts
begunje	be˨˩ːguːnjɛ
bel	be˩˥ːʋ
bel	bˈeʊ
bela	beˈla
belega	beleka
belejši	bɛlɛ́ːjʃi
belgija	be˩˥ːlgija
belgijski	be˩˥ːlgijski
beli	bili
belina	bɛli˩˥ːna
beljak	be˥˩ːljak˥
beljak	bɛlja˩˥ːk
belo	bɛlɔ
belorus	beˈlɔrʊs
belorusija	bɛlɔru˥˩ːsija
beloruski	bɛlɔru˥˩ːski
beloruščina	bɛlɔru˥˩ːʃtʃina
bencin	benˈtsˈin
bencinski	bentsinski
benetke	bɛne˥˩ːtkɛ
benečija	benetʃia
benjamin	benjamim
benzen	bɛnze˥˩ːn
beograd	be˥˩ːɔgrat
berač	beratʃ
berem	bɛræm
bereš	bɛræʃ
bergant	berˈgant
bergla	be˥˩ːrgla
beric	beːrits
berilij	berili
berilij	bɛri˩˥ːlij
berilo	perilo
berkelij	bɛrke˩˥ːlij
berlot	berlotˈ
beseda	bɛse˥˩ːda
besede	bəsˈeɪdə
beseden	bɛse˥˩ːdən
besedilo	bɛsɛdi˩˥ːlɔ
besedišče	bɛsɛðiʃtʃɛ
besednjak	beˈsɛdnʲak
besedotvoren	bɛsɛdɔtʋo˥˩ːrən
besedotvoren	bɛsɛdɔtʋo˩˥ːrən
besedotvorje	bɛsɛdɔtʋo˥˩ːrjɛ
besno	be˥˩ːtsnɔ
besnost	bɛsnust
bestialnost	bestialnost
betežen	bɛte˩˥ːʒən
betežnejši	bɛte˩˥ːʒnɛjʃi
beti	bete
betlehem	be˥˩ːtlɛxɛm
beton	bɛton
beton	bɛto˥˩ːn
bezeg	bəzə˥˩k
bezeg	bə˩˥zək
bezgavke	bɛsgˈaukɛ
bezjak	bɛzja˥˩ːk
beznica	beːznitsa
bežati	beʒate
bežati	bɛʒa˩˥ːti
bežigrad	beʒigrat
bežnost	be˥˩ʒnɔst
bi	b
bik	bi˥˩k
bile	bila
binom	bino˥˩ːm
bioetika	bioɛtika
biofizika	bjɔfizika
biološki	biɔlo˥˩ːʃki
biro	bʲiro
birsa	birˈsa
birtija	birti˥˩ːja
bisaga	bisa˥˩ːga
bisaga	bisa˩˥ːga
biseksualnost	bi˥˩ːsɛksua˥˩ːlnɔst
biser	bi˥˩ːsɛr
bister	bistr
bistvo	bi˥˩ːstʋɔ
biti	bite
biti	bi˩˥ːti
bitja	pi˥˧tja˧˧
bitje	bi˥˩ːtjɛ
bitje	bi˩˥ːtjɛ
bivati	bivati
bivol	bivɔl
bivol	bi˥˩ːʋɔl
bivši	bi˥˩ːʋʃi
bizantinski	bizanti˥˩ːnski
bizgec	bi˥˩ːzgəts
bizmut	bizɛˈut
bizmut	bi˥˩ːzmut
bizon	bi˥˩ːzɔn
bič	bi˥˩tʃ
bič	bi˥˩ːtʃ
bič	bi˩˥ːtʃ
blag	blak
blag	bla˥˩ːk
blagajna	blaga˥˩ːjna
blagajna	bla˥˩ːga˥˩jna˥˩ː
blagajnik	bla˥˩ːga˥˩ːjnik
blagajničarka	bla˥˩ːga˥˩ːjni˥˩ːtʃarka
blagajniški	blaga˥˩jnjiʃki
blago	blago˥˩ː
blagosloviti	blagɔslɔʋi˥˩ːti
blagosloviti	blagɔslɔʋi˩˥ːti
blatnik	bla˥˩ːtnik
blato	bla˩˥ːtɔ
blazen	bla˩˥ːzən
blaznik	bla˥˩ːznik
bled	ble˥˩ːt
bled	blɛːt
blesteti	blɛste˩˥ːti
blesti	blɛ̀ːsti
blizek	bli˩˥ːzək
blizek	plizək
blizu	bli˩˥ːzu
blišč	blˈiʃtʃ
bliže	bli˥˩ːʒɛ
bliže	pliʒɛ
bližje	bli˥˩ːʒjɛ
bližnjica	bli˥˩ːʒnjitsa
bo	bo
bo	bo˥˩ː
boben	bo˥˩ːbən
boben	bɔbɛn
bober	bo˩˥ːbər
bober	bɔbɛr
bobri	bobri
bodi	bo˩˥ːdi
bodimo	bo˩˥ːdimɔ
bodimo	bɔdi˥˩ːmɔ
bodita	bo˩˥ːdita
bodita	bɔdi˥˩ːta
bodite	bo˩˥ːditɛ
bodite	bɔdi˥˩ːtɛ
bodiva	bo˩˥ːdiʋa
bodiva	bɔdi˥˩ːʋa
bodo	bo˥˩ːdɔ
bogastvo	bɔga˥˩ːstʋɔ
bogat	bo˩˥ːgat
bogat	bɔga˥˩t
bogatejši	bɔgatɛ́ːjʃi
boginja	bɔgi˩˥ːnja
bogomolka	bɔgɔmo˥˩ːlka
bogoslužje	bɔgɔslu˥˩ːʒjɛ
bohinj	bo˥˩ːxin˥˩
boja	bo˥˩ːja
bojazen	bɔja˥˩ːzən
bojevnik	bɔjɛʊnnik
bojo	bɔjo
bokal	bɔka˥˩ːl
bokal	bɔka˥˩ːʋ
bolan	bɔla˥˩ːn
boleti	bɔle˩˥ːti
bolezen	bɔle˥˩ːzən
bolečine	boˈlɛtʃine
bolgar	bɔlga˥˩ːr
bolgarija	bɔlga˩˥ːrija
bolgarka	bɔlga˥˩ːrka
bolgarski	bɔlga˥˩ːrski
bolgarski	bɔlga˩˥ːrski
bolgarsko	bɔlga˥˩ːrskɔ
bolgarsko	bɔlga˩˥ːrskɔ
bolgarščina	bɔlga˥˩ːrʃtʃina
bolgarščina	bɔlga˩˥ːrʃtʃina
bolha	bo˩˥ːʋxa
bolj	bo˥˩l
bolje	bo˥˩ːljɛ
boljše	bo˥˩ːlʃɛ
boljši	bo˥˩ːlʃi
bolnica	bo˥˩ːlnitsa
bolnik	bɔʋni˩˥ːk
bolnišnica	bɔʋni˥˩ːʃnitsa
bom	bom
bom	bo˥˩ːm
bomba	bo˥˩ːmba
bombardirati	bɔmbardi˥˩ːrati
bombaž	bɔmba˥˩ːʃ
bombnik	bo˥˩ːmbnik
bomo	bo˥˩ːmɔ
bon	bo˥˩ːn
bor	bo˥˩r
bor	bo˥˩ːr
bor	bɔr
borba	bo˥˩ːrba
borba	bɔrba
borec	bo˥˩ːrəts
borili	borili
boris	boris
boriti	bɔri˥˩ːti
boriti	bɔri˩˥ːti
borka	bo˥˩ːrka
borka	bo˩˥ːrka
borovnica	bɔrɔʋni˩˥ːtsa
borut	bo˥˩ːrut
borut	burut
borza	bo˥˩ːrza
borša	bo˥˩ːrʃa
bos	bo˥˩s
bos	bo˥˩ːs
bosanski	bɔsa˥˩ːnski
bosanski	bɔsa˩˥ːnski
bosanščina	bɔsa˥˩ːnʃtʃina
bosanščina	bɔsa˩˥ːnʃtʃina
bosenski	bo˥˩ːsənski
bosna	bosna
bosna	bo˥˩ːsna
bosta	bo˥˩ːsta
boste	bo˥˩ːstɛ
bosti	bo˩˥ːsti
bova	bo˥˩ːʋa
bozon	bɔzo˥˩ːn
boš	bo˥˩ːʃ
božanski	bɔʒa˥˩ːnski
božanstvo	bɔʒa˥˩ːnstʋɔ
božati	bo˥˩ːʒati
božič	boʒitʃ
božič	bo˩˥ːʒitʃ
božji	bo˥˩ʒi˥˧
božur	bɔʒu˥˩ːr
božur	bɔʒu˩˥ːr
brada	bra˩˥ːda
bradat	brada˥˩t
bradatejši	brada˩˥ːtɛjʃi
bradavica	bradaʋi˩˥ːtsa
brala	braaːlˈa
bralnik	bra˥˩ːlnik
bran	bra˥˩ːn
brana	bra˩˥ːna
branik	brani˩˥ːk
branit'	branit
braniti	brani˥˩ːti
braniti	brani˩˥ːti
braniti	bra˩˥ːniti
branjarija	branjaria
brat	bra˥˩t
brate	bratɨ
brati	bra˩˥ːti
bratom	bratɔm
bratranec	bratraːnɛts
bratranec	bratra˥˩ːnəts
bratranec	bra˩˥ːtranəts
brazda	bra˩˥ːzda
brazgotina	brazgɔti˩˥ːna
brazilija	brazi˩˥ːlija
brazilski	brazi˥˩ːlski
brca	bə˥˩rtsa
brcniti	bə˩˥rtsniti
brdavs	bərda˥˩ːʋs
breg	bre˥˩ːk
breg	brɛk
brenčič	brɛntsitʃ
breskev	bre˥˩ːskəʋ
brest	bre˥˩ːst
brest	bre˩˥ːst
brest	brɛ́st
bresti	brɛ̀ːsti
bretanja	brɛta˩˥ːnja
bretonec	brɛto˥˩ːnəts
bretonka	brɛto˥˩ːnka
bretonski	brɛto˥˩ːnski
bretonsko	brɛto˥˩ːnskɔ
bretonščina	brɛto˥˩ːnʃtʃina
brez	brɛs
breza	bre˩˥ːza
brezno	brɛznɔ
brezoseben	brɛzɔse˥˩ːbən
brezplačna	brɛsplatʃna
brezčustven	brɛstʃu˥˩ːstʋɛn
brečko	brɛtʃkɔ
briga	bri˥˩ːga
brihten	briftɛn
brihtnejši	bri˩˥ːxtnɛjʃi
brin	brim
brin	bri˥˩n
brisati	brisate
brisača	brisa˩˥ːtʃa
britanija	brita˩˥ːnija
britanski	brita˥˩ːnski
briti	bri˩˥ːti
britof	bri˥˩ːtɔf
brivec	bri˥˩ːʋəts
brivec	privɛts
brizg	brisk
brizgalnica	brizga˥˩ːljnitsa
brkan	brkai̯n
brke	bɔrke
brkljati	brɔkljati
brlog	brlɔk
brlog	bərlo˥˩k
brod	bro˥˩ːt
broditi	bruditi
brodnik	brodnik
brodolom	grɔdɔlɔm
brodolomec	brodɔlɔmɛts
brom	bro˥˩m
brom	bro˥˩ːm
brom	brɔm
bron	bron
bron	bro˥˩n
brskati	bə˥˩rskati
brsteti	brstɛtɪ
bruc	bru˥˩ːts
bruhanje	bruxanʲe
bruhniti	bruxnʲitɨ
bruno	bruna
brus	bɾˈus
bruselj	bru˩˥ːsəl
brusnica	bru˥˩ːsnitsa
bruto	bruto
bruto	bru˥˩ːtɔ
brv	bə˥˩rʋ
brzda	brtsda
brzina	borzina
brána	brana
bršljan	brˈʃljan
bršljan	bərʃlja˥˩ːn
brž	brʃ
bržkone	brʃkɔnɛ
buba	bupa
buda	bu˥˩ːda
budala	buda˩˥ːla
budalo	buda˩˥ːlɔ
buden	budan
buden	bu˩˥ːdən
budilka	budɪlka
budimpešta	bu˥˩ːdimpɛʃta
buditi	buditˈe
budizem	buˈdizɑm
budnejši	bu˩˥ːdnɛjʃi
bujen	bujan
bukarešta	bukare˥˩ːʃta
bukev	bu˥˩ːkəʋ
bukselj	bu˩˥ːksəl
bukva	bu˥˩ːkʋa
bukve	bukvɛ
bula	vula
buldog	bu˥˩ːldɔk
bunda	bu˥˩ːnda
burek	bu˥˩ːrɛk
buren	buran
burja	bu˥˩rja
burja	urja
butan	buta˥˩ːn
butara	bu˩˥ːtara
butec	budotsʲ
buteljka	bute˥˩ːlka
buča	bu˩˥ːtʃa
bučati	butʃate
bučen	butʃan
bôjler	bɔjlɛr
c	ts
c	tse˥˩ː
c	tse˩˥ː
c	tsə˥˩
car	tsa˥˩ːr
car	tsa˩˥ːr
carica	tsari˩˥ːtsa
carica	tsaɾitsa
carski	tsorski
cediti	tsɛdiːti
ceh	tse˥˩ːx
cehi	tsɛjxʲi
cekin	tsɛki˥˩ːn
cel	tse˥˩ːʋ
celina	tsɛli˩˥ːna
celiti	tsiːliti
celo	tsɛlo˥˩ː
celota	tsɛlo˩˥ːta
cena	tse˩˥ːna
cenitev	tsɛnitew
cent	tsent
center	tsˈɛntɔr
centrov	tsentrɔ
centru	tsentro
cenzura	tsɛnzu˥˩ːra
cepec	tsipɛts
cerij	tsɛ̀ːrij
cerkev	tse˩˥ːrkəʋ
cerknica	tsirknitsa
cerkve	tsɛrkvɛ
cesar	tsɛ̀ːsar
cesarica	tsɛsari˩˥ːtsa
cesarica	tsɛsɑritsa
cesta	tse˩˥ːsta
cev	tse˥˩ːʋ
cezij	tse˩˥ːzij
cigara	tsiga˥˩ːra
cigara	tsiga˩˥ːra
cigareta	tsigareta
cigareta	tsigare˥˩ːta
cigarete	tsigareta
cigareto	tsigareto
ciklon	tsiklo˥˩ːn
cilj	tsi˥˩ːl
cimet	tsi˥˩ːmɛt
cimet	tsi˩˥ːmɛt
cink	tsi˥˩ːnk
cipelj	tsipˈel
ciper	tsi˩˥ːpər
cirilica	tsiri˥˩ːlitsa
cirkonij	tsirko˩˥ːnij
citre	tsi˥˩ːtrɛ
cokla	tso˥˩ːkla
cona	tsona
cona	tso˥˩ːna
copatar	tsopatar
crkljati	tsərklja˩˥ːti
cula	tsu˩˥ːla
cvek	tsʋɛ́k
cvesti	tsʋəsti˥˩
cvesti	tsʋə˩˥sti
cvesti	tsʋɛ̀ːsti
cvet	tsʋe˥˩ːt
cvetačo	tsʋɛtɐtʃɔ
cveten	tsʋe˥˩ːtən
cvetje	tsʋe˩˥ːtjɛ
cvetličarna	tsɛtlʲitʃarna
cviliti	tsʋi˩˥ːliti
cvreti	tsʋre˩˥ːti
cvrček	tsʋə˥˩rtʃək
d	d
d	də
d	dɯ̞
da	dˈa
dajalec	daja˥˩ːləts
dajalnik	dajaldik
dajalnik	daja˥˩ːlnik
dajati	daja˩˥ːti
dajati	daːjati
dajem	daɛm
dajmo	dajmɔ
dajo	dajo
dajta	daita
dalek	da˥˩ːlɛk
daleč	da˩˥ːlɛtʃ
dalija	da˩˥ːlija
dalj	da˥˩l
daljni	dalni
daljšati	da˥˩ːlʃati
daljši	da˥˩ːlʃi
dama	da˩˥ːma
dami	da˥˩mɨ
damijan	damjan
damjak	da˥˩ːmjak
damo	damo
dan	da˥˩ːn
dan	da˩˥ːn
dandanes	da˥˩ːnda˩˥ːnəs
danec	da˥˩ːnəts
danes	da˩˥ːnəs
danka	da˥˩ːnka
danska	da˥˩ːnska
danska	dˈɑnska
danski	da˥˩ːnski
dansko	da˥˩ːnskɔ
danščina	da˥˩ːnʃtʃina
danščina	tanʃtʃɪna
dar	da˥˩ːr
darilo	darilo
darilo	dari˩˥ːlɔ
darovati	darɔʋa˩˥ːti
darovi	arɔʋi
date	date
datelj	datɛl
dativ	da˥˩ːtiʋ
datum	da˥˩ːtum
dava	dava
david	davit
davno	daʊ̯nɔ
davčen	taɫtʃɛn
davčna	taɫtʃna
daš	dˈaʃ
debel	dɛ̀ːbɛʋ
debelejši	dɛbɛlɛ́ːjʃi
deber	de˥˩ːbər
deber	de˩˥ːbər
deber	dəbə˥˩r
deblo	dɛ̀ːblɔ
deblo	tɛblo
december	dɛtsɛ̀ːmbər
ded	de˥˩ːt
dediščina	de˥˩ːdiʃtʃna
dedovati	de˥˩ːdɔʋati
dedovati	de˩˥ːdɔʋati
dedovati	dɛdɔʋa˩˥ːti
dedukcija	dɛduktsia
definicija	dɛfinitsia
dejan	dɛjɛn
dejanje	dɛja˥˩ːnjɛ
dejati	dɛja˩˥ːti
dejaven	dɛja˥˩ːʋən
dejaven	dɛja˩˥ːʋən
dejavnejši	dɛja˥˩ːʋnɛjʃi
dejavnejši	dɛja˩˥ːʋnɛjʃi
dejavnost	dɛja˥˩ːʋnɔst
dejavnost	dɛja˩˥ːʋnɔst
dekani	dakani
dekle	dɛklɛ́
deklet	bˈɛklət
dekleti	dekliti
dekodirnik	dɛkɔdˈirnik
del	de˥˩ːl
del	de˩˥ːl
del	de˩˥ːʋ
del	dˈeːl
delati	de˩˥ːlati
delavec	de˩˥ːlaʋəts
delci	deltse
delec	dɛlˈetsˈ
deležnik	dɛle˥˩ːʒnik
delfin	dɛlfi˥˩ːn
delirant	dɛliɾant
delo	delo
delo	de˩˥ːlɔ
delom	d̪elõm
deloma	d̪eloma
deltoid	dɛlˈtˈuitˈ
demiurg	dɛmiju˥˩ːrk
demografija	dɛmɔgrafi˥˩ːja
demokracija	dɛmɔkratsia
demokracija	dɛmɔkratsi˥˩ːja
denar	dɛna˩˥ːr
denarnica	dɛna˥˩ːrnitsa
denarnico	dɛnarnɛˈtsɔ
depo	dɛpɔ
depresija	dɛprɛsi˥˩ːja
desen	dˈesˈtˈɛn
deset	dɛse˥˩ːt
deset	dɛsˈt
desetarka	dɛsɛta˩˥ːrka
deseti	desete
desetletje	dɛsɛtle˥˩ːtjɛ
desetnica	dɛse˥˩ːtnitsa
deska	dəska˥˩
deska	də˩˥ska
desna	vˈesnˈa
desno	de̞sno
despot	dɛspɔːt
detel	de˩˥ːtəl
deti	de˩˥ːti
deva	de˥˩ːʋa
deverbativen	dɛʋɛrbati˥˩ːʋən
devet	dɛʋe˥˩ːt
devet	tˈɛvɛt
deveta	dɛvɛta
devetdeset	dɛʋe˥˩ːddɛsɛt
devetnajst	dɛvɛtnajst
devetnajst	dɛʋe˥˩ːtnajst
devetnajst	dɛʋɛtna˩˥ːjst
devica	dɛvitsa
devica	dɛʋi˩˥ːtsa
deček	de˥˩ːtʃək
dež	də˥˩ʃ
dežela	dɛʒɛ̀ːla
dežela	d̪eʒela
deževati	dəʒɛʋa˩˥ːti
dežnik	dəʒni˩˥ːk
dežnik	dˈɛʒnˈik
dežuje	dɛʒuja
diamant	diamˈant
diamanten	diama˥˩ːntən
dieta	dijeta
difrakcija	difraktsia
diha	dɪxa
dihali	djˈxali
dihanje	dixanɛ
dihati	di˩˥ːxati
dihur	dixuɾ
dihur	dixu˥˩ːr
dihur	dixu˩˥ːr
dijak	dija˩˥ːk
dijak	tjak
dim	di˥˩m
dimlje	di˥˩ːmljɛ
dimlje	di˩˥ːmljɛ
dimnik	di˥˩ːmnik
dinastija	dinasti˥˩ːja
dinozaver	dinɔza˩˥ːʋər
dir	d̪eːr
direktor	direktor
dirigent	dirigɛ́nt
dirka	di˥˩ːrka
diskriminacija	diskrimina˩˥ːtsija
disprozij	dispro˩˥ːzij
diti	di˩˥ːti
divača	tivaˈtʃa
divizija	diʋizi˥˩ːja
divjak	di˩˥ːʋjak
divji	di˩˥ːʋji
dišava	diʃava
dlaka	dla˩˥ːka
dlaka	dʒlaka
dlan	dla˥˩ːn
dlani	dlanˈe
dleto	dle˩˥ːtɔ
dnevnik	dne˥˩ːʋnik
dni	dˈini
dninar	dni˥˩ːnar
dno	dno˥˩
do	dɔ
dob	do˥˩ːp
doba	do˩˥ːba
doba	dɔba
dobavnica	dɔbau̯nitsa
dober	do˩˥ːbər
dober	dɔbar
doberlet	dˈɔbrlɛt
dobite	dɔbitɛ
dobiti	dɔbiti
dobiti	dɔbi˥˩ːti
dobiti	dɔbi˩˥ːti
dobrava	dɔbra˥˩ːʋa
dobrih	dɔbrʲix
dobro	do˩˥ːbrɔ
dobrodošel	dɔbrɔdo˩˥ːʃəʋ
dobrodošla	dɔbrɔda˥˩ʃla
dobrodošli	dɔbrado˥˩ːʃlʲi˥˩ː
dogajajo	to˥˩ːga˥˩jajo˥˩ː
dogajati	dɔga˥˩ːjati
dogajati	dɔga˩˥ːjati
dogodek	dɔgo˥˩ːdək
dogodivščina	do˥˩ːgo˥˩ːdiu˩˥ːʃtʃina
dogodivščinami	do˥˩ːgo˥˩ːdiuʃtʃi˥˩ːna˥˩ːmi˥˩ː
dogovor	dɔgo˥˩ːʋɔr
dohtar	doxtar
dojenček	dɔjɛ̀ːntʃək
dojilja	dɔji˩˥ːlja
dojka	dojka
dokaj	dokaj
dokazati	dɔkaːzati
dokazi	dokazi
