ئا	a
توققۇزىنچى	toqquzintʃi
توپ	top
توپۇق	topuq
تىرناق	tirnɑq
تىلەك	tilɛk
تىمساخ	timsɑχ
تىيىن	tijin
تۆت	tøt̚
تۆت	tœt̚
تۆتىنچى	tøtintʃi
تۆتىنچى	tœtintʃi
تۆش	tøʃ
تۆمۈر	tømyr
تۆپە	tøpɛ
تۆگە	tøgæ
تۆگە	tøgɛ
تۆگە	tœgæ
تۆگە	tœgɛ
تۇتماق	tutmɑq
تۇخۇم	tuχum
تۇز	tuz
تۇزاق	tuzɑq
تۇياق	tujɑq
تۈتۈن	tytyn
تۈز	tyz
تۈك	tyk
تۈلكە	tylkæ
تۈلكە	tylkɛ
تېز	tez
تېكە	tekɛ
تەبلىغ	tɛbliʁ
تەخسە	tækʰsæ
تەخسە	tæxsæ
تەخسە	tɛkʰsɛ
تەخسە	tɛxsɛ
تەخمىن	tɛχmin
تەدبىر	tɛdbir
تەر	tɛr
تەرجىمان	tɛrdʒimɑn
تەرجىمە	tærdʒimæ
تەرجىمە	tɛrdʒimɛ
تەس	tɛs
تەلۋە	tɛlwɛ
تەپەككۇر	tɛpɛkkur
تەڭرى	tɛŋri
تەھدىت	tɛhdit
ج	dʒ
ج	dʒe
جازا	dʒɑzɑ
جامائەت	dʒɑmɑʔɛt
جاڭيۇ	dʒɑŋju
جاۋاپ	dʒɑwɑp
جوزا	dʒozɑ
جىنازا	dʒinɑzɑ
جىنايەت	dʒinɑjɛt
جىگەر	dʒigɛr
جۇدا	dʒudɑ
جۇڭگو	dʒuŋgo
جۈمە	dʒymæ
جۈمە	dʒymɛ
جەسۇر	dʒɛsur
جەڭچى	dʒæŋtʃi
جەڭچى	dʒɛŋtʃi
خ	χ
خ	χe
خوتەن	χotɛn
خوراز	χorɑz
خورۋاتىيە	χorwɑtijɛ
خوش	xoʃ
خوش	xɔʃ
خىت	χit
خىزمەتچى	χizmɛttʃi
خېچىر	χetʃir
خەنزۇ	χɛnzu
د	d
د	de
دادا	dɑdɑ
داستان	dɑstɑn
داشۈئې	dɑʃyʔe
دانە	dɑnɛ
داۋا	dɑwɑ
داۋۇت	dɑwut
دوست	dost
دوستانە	dostɑnɛ
دومبىرا	dombirɑ
دىن	din
دۇئا	duʔɑ
دۇتار	dutɑr
دۇتتار	duttɑr
دۈدۈك	dydyk
دۈشەنبە	dyʃænbæ
دۈشەنبە	dyʃɛnbɛ
دېكابر	dekɑbr
دېڭىز	deŋiz
دەپتەر	dæp̚tær
دەپتەر	dɛp̚tɛr
ر	r
ر	re
روبرۇ	robru
رۇخسەت	ruχsɛt
رۇسىيە	rúsijɛ
رەھمەت	ræhmɛt
ز	z
ز	ze
زامىن	zɑmin
زاپاس	zɑpɑs
زوق	zoq
زىت	zit
زىرە	zirɛ
زىننەت	zinnɛt
زۇلۇم	zulum
زۇمرەت	zumrɛt
زەئىپ	zɛʔip
زەربە	zɛrbɛ
زەررە	zɛrrɛ
زەرەر	zɛrɛr
زەمبىرەك	zɛmbirɛk
زەنجىر	zɛndʒir
زەنجىۋىل	zɛndʒiwil
س	s
س	se
سائەت	saʔɛt
ساختا	sɑχtɑ
ساداق	sɑdɑq
ساراي	sɑrɑj
سارراپ	sɑrrɑp
ساقاق	sɑqɑq
ساقچى	sɑqtʃi
سال	sɑl
ساما	sɑmɑ
سامان	sɑmɑn
ساماۋار	sɑmɑwɑr
سايە	sɑjɛ
ساپان	sɑpɑn
سىركە	sirkɛ
سىرەك	sirɛk
سىياسەت	sijɑsɛt
سىيىر	sijir
سىڭىر	siŋir
سۆز	søz
سۆگەت	søgɛt
سۆھبەت	søhbɛt
سۇ	su
سۈت	syt
سۈلھ	sylh
سۈمۈرمەك	symyrmɛk
سۈيدۈك	syjdyk
سېغىزخان	seʁizχɑn
سېمىز	semiz
سېمىزئوت	semizʔot
سېنتەبر	sentɛbr
سەرخۇش	sɛrχuʃ
سەكسەن	sɛksɛn
سەكسەنپۇت	sɛksɛnput
سەككىز	sækkiz
سەككىز	sæk̚kiz
سەككىز	sɛkkiz
سەككىز	sɛk̚kiz
سەككىزىنچى	sɛkkizintʃi
سەمەرقەند	sɛmɛrqɛnd
سەنئەت	sɛnʔɛt
سەي	sɛj
سەيشەنبە	sæjʃænbæ
سەيشەنبە	sɛjʃɛnbɛ
سەپەر	sɛpɛr
ش	ʃ
ش	ʃe
شام	ʃɑm
شامان	ʃɑmɑn
شاپتۇل	ʃɑptul
شاھ	ʃɑh
شوپۇر	ʃopur
شىرىن	ʃirin
شىنجاڭ	ʃindʒɑŋ
شياڭگاڭ	ʃjɑŋgɑŋ
شۆھرەت	ʃøhrɛt
شۈبھە	ʃybhɛ
شۈكۈر	ʃykyr
شېكەر	ʃekɛr
شەنبە	ʃænbæ
شەنبە	ʃɛnbɛ
شەپكە	ʃɛpkɛ
غ	ʁ
غ	ʁe
غازى	ʁɑzi
غالىپ	ʁɑlip
غايىپ	ʁɑjip
غايە	ʁɑjɛ
غايەت	ʁɑjɛt
غاپىل	ʁɑpil
غىجەك	ʁidʒɛk
غۇربەت	ʁurbɛt
غۇرۇر	ʁurur
غۇلاچ	ʁulɑtʃ
غەددار	ʁɛddɑr
غەرپ	ʁɛrp
غەرەز	ʁɛrɛz
غەزەپ	ʁɛzɛp
غەلىبە	ʁɛlibɛ
غەلۋىر	ʁɛlwir
غەم	ʁɛm
غەمزە	ʁɛmzɛ
غەنى	ʁɛni
غەنىمەت	ʁɛnimɛt
غەيرەت	ʁɛjrɛt
غەيۋەت	ʁɛjwɛt
غەپلەت	ʁɛplɛt
غەۋغا	ʁɛwʁɑ
ف	f
ف	fe
فاشىست	fɑʃist
فرانسىيە	frɑnsijɛ
فېۋرال	fewrɑl
ق	q
ق	qe
قائىدە	qɑʔidɛ
قابىلىيەت	qɑbilijɛt
قات	qɑt
قادىر	qɑdir
قار	qɑr
قارار	qɑrɑr
قارارگاھ	qɑrɑrgɑh
قاراچاي	tʃɑj
قارشى	qɑrʃi
قارىن	qɑrin
قازاغىستان	qɑzɑʁistɑn
قازى	qɑzi
قاسساپ	qɑssɑp
قاسىم	qɑsim
قاغا	qɑʁɑ
قالقان	qɑlqɑn
قالپاق	qɑlpɑq
قالۇن	qɑlun
قامچا	qɑmtʃɑ
قانائەت	qɑnɑʔɛt
قانال	qɑnɑl
قانجۇق	qɑndʒuq
قانۇن	qɑnun
قايسى	qɑjsi
قايغۇ	qɑjʁu
قايماق	qɑjmɑq
قاپقاق	qɑpqɑq
قاچا	qɑtʃɑ
قاچاق	qɑtʃɑq
قاھىرە	qɑhirɛ
قوبۇل	qobul
قورقاق	qorqɑq
قورقۇنچ	qorquntʃ
قوزا	qozɑ
قوزىقۇلاق	qoziqulɑq
قوزۇق	qozuq
قوساق	qosɑq
قوشۇق	qoʃuq
قوغۇن	qoʁun
قومۇش	qomuʃ
قونچ	qontʃ
قويۇق	qojuq
قويۇن	qojun
قوڭغۇز	qoŋʁuz
قوۋم	qowm
قوۋۇرغا	qowurʁɑ
قىرغۇل	qirʁul
قىرو	qiro
قىرىق	qiriq
قىز	qɤz
قىزىلغاز	qizilʁɑz
قىساس	qisɑs
قىسقاچ	qisqɑtʃ
قىسمەت	qismɛt
قىسىر	qisir
قىشلاق	qiʃlɑq
قىلىق	qiliq
قىلىچ	qilitʃ
قىمار	qimɑr
قىن	qin
قىيامەت	qijɑmɛt
قىياپەت	qijɑpɛt
قىيما	qijmɑ
قىچىق	qitʃiq
قۇببە	qubbɛ
قۇتلۇق	qutluq
قۇدرەت	qudrɛt
قۇدۇق	quduq
قۇرئان	qurʔɑn
قۇرغاق	qurʁɑq
قۇزغۇن	quzʁun
قۇسۇر	qusur
قۇش	quʃ
قۇلۇن	qulun
قۇم	qum
قۇمچاق	qumtʃɑq
قۇيرۇق	qujruq
قۇچاق	qutʃɑq
قۇۋانچ	quwɑntʃ
قېلىپ	qelip
قېنى	qeni
قېيىق	qejiq
قېيىن	qejin
قەبرە	qɛbrɛ
قەتئى	qɛtʔi
قەترە	qɛtrɛ
قەدىم	qɛdim
قەدەھ	qɛdɛh
قەرەنفىل	qɛrɛnfil
قەستەن	qɛstɛn
قەسىدە	qɛsidɛ
قەسىر	qɛsir
قەغەز	qæʁæz
قەلئە	qɛlʔɛ
قەلەم	qælæm
قەلەي	qɛlɛj
قەمەر	qɛmɛr
قەندىل	qɛndil
قەيسەر	qɛjsɛr
قەپەز	qɛpɛz
قەھر	qɛhr
قەھرىۋا	qɛhriwɑ
قەۋرە	qɛwrɛ
ك	k
ك	ke
كائىنات	kɑʔinɑt
كابىل	kɑbil
كابىنېت	kɑbinet
كاتالوگ	kɑtɑlog
كاتالىزاتور	kɑtɑlizɑtor
كاتولىك	kɑtolik
كاتىپ	kɑtip
كاتېگورىيە	kɑtegorijɛ
كادمىي	kɑdmij
كارانتىن	kɑrɑntin
كارىدور	kɑridor
كارۋات	kɑrwɑt
كاسا	kɑsɑ
كاسات	kɑsɑt
كاستۇم	kɑstum
كاكاۋۇ	kɑkɑwu
كالتسىي	kɑltsij
كاللا	kɑllɑ
كالىفورنىي	kɑlifornij
كالىي	kɑlij
كامال	kɑmɑl
كاپىر	kɑpir
كاپۇستا	kɑpustɑ
كاھىن	kɑhin
كاۋاپ	kɑwɑp
كاۋچۇك	kɑwtʃuk
كرىمنىي	krimnij
كرىپتون	kripton
كسېنون	ksenon
كوبالت	kobɑlt
كور	kor
كورلۇق	korluq
كوسا	kosɑ
كوفېيىن	kofejin
كوكائىن	kokɑʔin
كولخوز	kolχoz
كومپاس	kompɑs
كونسۇل	konsul
كويزا	kojzɑ
كىبىر	kibir
كىت	kit
كىتاب	kitɑp
كىر	kir
كىرا	kirɑ
كىرىچ	kiritʃ
كىرپىك	kirpik
كىرپىچ	kirpitʃ
كىرپە	kirpɛ
كىشنەمەك	kiʃnɛmɛk
كىشى	kiʃi
كىلو	kilo
كىلومېتىر	kilometir
كىلوگىرام	kilogirɑm
كىنو	kino
كىيمەك	kijmɛk
كىيىك	kijik
كىپەك	kipɛk
كىچىك	kitʃik
كيۇرىي	kjurij
كۆت	køt
كۆرۈك	køryk
كۆز	køz
كۆزگۈ	køzgy
كۆكس	køks
كۆل	køl
كۆمۈر	kømyr
كۆمەك	kømɛk
كۆن	køn
كۆينەك	køjnɛk
كۆپۈك	køpyk
كۆچ	køtʃ
كۆچكۈن	køtʃkyn
كۆچمەك	køtʃmɛk
كۆڭۈل	køŋyl
كۇتۇپخانا	kutupχɑnɑ
كۈرەش	kyrɛʃ
كۈل	kyl
كۈلپەت	kylpɛt
كۈمۈش	kymyʃ
كۈن	kyn
كۈنجۈت	kyndʒyt
كۈپ	kyp
كېلىن	kelin
كېلەر	kelɛr
كېمىرمەك	kemirmɛk
كېمىچى	kemitʃi
كېپىل	kepil
كېپەن	kepɛn
كېچا	ketʃɑ
كەررە	kɛrrɛ
كەسكىن	kɛskin
كەسىر	kɛsir
كەسىپ	kɛsɪp
كەشنىز	kɛʃniz
كەشپ	kɛʃp
كەكلىك	kɛklik
كەلمەك	kʰæːmæk
كەنت	kɛnt
كەندىر	kɛndir
كەيپ	kɛjp
كەچ	kɛtʃ
كەچۈرۈڭ	ketʃiriŋ
كەچۈرۈڭ	kɛtʃyryŋ
كەھرىبا	kɛhribɑ
كەۋسەر	kɛwsɛr
ل	l
ل	le
لاتارىيە	lɑtɑrijɛ
لاتاپەت	lɑtɑpɛt
لازىم	lɑzim
لاك	lɑk
لال	lɑl
لانتان	lɑntɑn
لايىھە	lɑjihɛ
لاچىن	lɑtʃin
لاڭتۇ	lɑŋtu
لاۋا	lɑwɑ
لاۋرېنتسىي	lɑwrentsij
لوقما	loqmɑ
لوم	lom
لوگارىفما	logɑrifmɑ
لىباس	libɑs
لىبېرال	liberɑl
لىتىي	litij
لىفت	lift
لىمونات	limonɑt
لىڭجەن	liŋdʒɛn
ليۇتېتسىي	ljutetsij
لۇغەت	luʁæt
لۈتۈپ	lytyp
لېزىز	leziz
لېكىن	lekin
لېۋەن	lewɛn
لەتىپە	lɛtipɛ
لەززەت	lɛzzɛt
لەقەم	lɛqɛm
لەنەت	lɛnɛt
لەيتەكس	lɛjtɛks
لەپ	lɛp
لەڭمەن	læʁmɑn
لەڭگەر	lɛŋgɛr
لەگەن	lɛgɛn
لەھجە	lɛhdʒɛ
لەھزە	lɛhzɛ
لەھەت	lɛhɛt
م	m
م	me
مائارىپ	mɑʔɑrip
مائاش	mɑʔɑʃ
مائاۋىن	mɑʔɑwin
ماتكا	mɑtkɑ
ماتور	mɑtor
ماتېماتىكا	mɑtemɑtikɑ
ماتەم	mɑtɛm
ماجال	mɑdʒɑl
ماددا	mɑddɑ
مارافون	mɑrɑfon
ماراكەش	mɑrɑkɛʃ
مارال	mɑrɑl
مارت	mɑrt
مارجان	mɑrdʒɑn
مارگانېتىس	mɑrgɑnetis
مازار	mɑzɑr
ماشىنا	mɑʃinɑ
ماقالا	mɑqɑlɑ
ماقالە	mɑqɑlɛ
ماقۇل	mɑqul
مالىيە	mɑlijɛ
مالېكۇلا	mɑlekulɑ
مامونت	mɑmont
مانجىت	mɑndʒit
مانىفېست	mɑnifest
مانېۋىر	mɑnewir
مايمۇن	mɑjmun
ماگنىت	mɑgnit
ماگنىي	mɑgnij
ماھارەت	mɑhɑrɛt
ماھىيەت	mɑhijɛt
ماۋزۇ	mɑwzu
ماۋزۇر	mɑwzur
مودېل	model
مورفىن	morfin
مول	mol
مولىبدېن	molibden
موم	mom
مونچاق	montʃɑq
موڭغۇلىيە	moŋʁulijɛ
مىخ	miχ
مىراس	mirɑs
مىزان	mizɑn
مىس	mis
مىسال	misɑl
مىسرا	misrɑ
مىسكىن	miskin
مىسۋاك	miswɑk
مىقدار	miqdɑr
مىكروسكوپ	mikroskop
مىكروفون	mikrofon
مىكروپ	mikrop
مىللەت	millɛt
مىليارد	miljɑrt
مىليون	miljon
مىنا	minɑ
مىننەت	minnɛt
مىننەتدار	minnɛtdɑr
مىنىستىر	ministir
مىنگۇو	minguo
مىنۇت	minut
مىنۇس	minus
مىنېرال	minerɑl
مىڭ	miŋ
مۆجىزە	mødʒizɛ
مۆمىن	mømin
مۆڭ	møŋ
مۆھۈر	møhyr
مۇئاش	muʔɑʃ
مۇئاھىدە	muʔɑhidɛ
مۇئەززەم	muʔɛzzɛm
مۇئەسسەسە	muʔɛssɛsɛ
مۇئەللىم	muʔɛllim
مۇئەمما	muʔɛmmɑ
مۇئەييەن	muʔɛjjɛn
مۇبارەك	mubɑrɛk
مۇبالىغە	mubɑliʁɛ
مۇتلەق	mutlɛq
مۇتەئەسسىپ	mutɛʔɛssip
مۇتەخەسسىس	mutɛχɛssis
مۇخالىپ	muχɑlip
مۇخبىر	muχbir
مۇختار	muχtɑr
مۇداپىە	mudɑpiɛ
مۇددەت	muddɛt
مۇدھىش	mudhiʃ
مۇراسىم	murɑsim
مۇرەككەپ	murɛkkɛp
مۇزاكىرە	muzɑkirɛ
مۇزېي	muzej
مۇسابىقە	musɑbiqɛ
مۇساپىر	musɑpir
مۇسبەت	musbɛt
مۇستەسنا	mustɛsnɑ
مۇستەقىل	mustɛqil
مۇستەملىكە	mustɛmlikɛ
مۇستەھكەم	mustɛhkɛm
مۇسكۇل	muskul
مۇسىبەت	musibɛt
مۇشەققەت	muʃɛqqɛt
مۇقىم	muqim
مۇقەددەس	muqɛddɛs
مۇقەررەر	muqɛrrɛr
مۇكاپات	mukɑpɑt
مۇكەممەل	mukɛmmɛl
مۇلايىم	mulɑjim
مۇنازىرە	munɑzirɛ
مۇناسىپ	munɑsip
مۇناسىۋەت	munɑsiwɛt
مۇنتىزىم	muntizim
مۇنەججىم	munɛdʒdʒim
مۇيەسسەر	mujɛssɛr
مۇپتىلا	muptilɑ
مۇھاسىرە	muhɑsirɛ
مۇھتاج	muhtɑdʒ
مۇھتەرەم	muhtɛrɛm
مۇھىت	muhit
مۇھىم	muhim
مۇھەببەت	muhɛbbɛt
مۇۋازىنەت	muwɑzinɛt
مۇۋاپىق	muwɑpiq
مۇۋەققەت	muwɛqqɛt
مۇۋەپپەق	muwɛppɛq
