!sil	sˈil
'c'que	skə
abdiquer	abdikˈe
abdomen	abdomˈɛn
abdominaux	abdominˈoz
abdou	abdˈu
abdul	abdˈyl
abdul-medjid	abdˈylmɛdʒˈid
abeille	abˈɛj
abeilles	abˈɛjz
abel	abˈɛl
aberrant	abɛʁˈɑ̃
aberrantes	abɛʁˈɑ̃tz
aberration	abɛʁasjˈɔ̃
aberrations	abɛʁasjˈɔ̃z
abhorre	abˈoʁ
abhorré	aboʁˈe
abi	abi
abidjan	abidʒˈɑ̃
abime	abˈim
abimer	abimˈe
abimé	abimˈe
abimée	abimˈe
abimées	abimˈez
abimés	abimˈez
abiès	abjˈɛ
abject	abʒˈɛkt
abjecte	abʒˈɛkt
abjectes	abʒˈɛktz
abjection	abʒɛksjˈɔ̃
abjects	abʒˈɛktz
abkhaze	abkˈaz
abkhazes	abkˈazz
abkhazie	abkazˈi
ablations	ablasjˈɔ̃z
able	ˈabl
ables-oxyrhinques	ˈablzoksiʁˈɛ̃kz
ablis	ablˈi
ablon-sur-seine	ablˈɔ̃syʁsˈɛn
ablutions	ablysjˈɔ̃z
aboie	abwˈa
aboiement	abwamˈɑ̃
aboiements	abwamˈɑ̃z
aboient	abwˈat
aboieraient	abwaʁˈɛt
aboierait	abwaʁˈɛt
abois	abwˈaz
aboli	abolˈi
abolir	abolˈiʁ
abolitionniste	abolisjɔnˈist
abominable	abominˈabl
abominablement	abominabləmˈɑ̃
abominables	abominˈablz
abomination	abominasjˈɔ̃
abominations	abominasjˈɔ̃z
abonda-t-il	abɔ̃dˈatil
abondaient	abɔ̃dˈɛt
abondait	abɔ̃dˈɛt
abondamment	abɔ̃damˈɑ̃
abondance	abɔ̃dˈɑ̃s
abondant	abɔ̃dˈɑ̃
abondante	abɔ̃dˈɑ̃t
abondantes	abɔ̃dˈɑ̃tz
abondants	abɔ̃dˈɑ̃z
abonde	abˈɔ̃d
abondent	abˈɔ̃dt
abonderaient	abɔ̃dʁˈɛt
abonderait	abɔ̃dʁˈɛt
abondèrent	abɔ̃dˈɛʁt
abondé	abɔ̃dˈe
abonn	abˈɔn
abonnement	abɔnmˈɑ̃
abonnements	abɔnmˈɑ̃z
abonné	abɔnˈe
abonnée	abɔnˈe
abonnés	abɔnˈez
abord	abˈɔʁ
aborda	abɔʁdˈa
abordable	abɔʁdˈabl
abordables	abɔʁdˈablz
abordage	abɔʁdˈaʒ
abordaient	abɔʁdˈɛt
abordais	abɔʁdˈɛz
abordait	abɔʁdˈɛt
abordant	abɔʁdˈɑ̃
aborde	abˈɔʁd
abordent	abˈɔʁdt
aborder	abɔʁdˈe
aborderons-nous	abɔʁdəʁˈɔ̃nuz
abordes	abˈɔʁdz
abordons	abɔʁdˈɔ̃z
abords	abˈɔʁz
abordèrent	abɔʁdˈɛʁt
abordé	abɔʁdˈe
abordée	abɔʁdˈe
abordées	abɔʁdˈez
aborigène	aboʁiʒˈɛn
aborigènes	aboʁiʒˈɛnz
abou	abˈu
aboubacar	abubakˈaʁ
aboud	abˈu
aboukir	abukˈiʁ
aboulez	abulˈez
abous-simbel	abˈusɛ̃bˈɛl
abouti	abutˈi
aboutie	abutˈi
aboutir	abutˈiʁ
aboutiraient	abutiʁˈɛt
aboutirait	abutiʁˈɛt
aboutirait-il	abutiʁˈɛtil
aboutis	abutˈi
aboutissaient	abutisˈɛt
aboutissait	abutisˈɛt
aboutissant	abutisˈɑ̃
aboutissants	abutisˈɑ̃z
aboutisse	abutˈis
aboutissement	abutismˈɑ̃
aboutissent	abutˈist
aboutit	abutˈi
aboya	abwajˈa
aboyaient	abwajˈɛt
aboyait	abwajˈɛt
aboyant	abwajˈɑ̃
aboyer	abwajˈe
aboyeurs	abwajˈœʁz
aboyèrent	abwajˈɛʁt
aboyé	abwajˈe
aboyés	abwajˈez
abracadabra	abʁakadabʁˈa
abraham	abʁaˈam
abraham-lincoln	abʁaˈamlɛ̃kˈɔln
abraysiens	abʁɛzjˈɛ̃z
abreuvaient	abʁøvˈɛt
abreuve	abʁˈøv
abreuvoir	abʁøvwˈaʁ
abreuvé	abʁøvˈe
abri	abʁˈi
abricot	abʁikˈo
abricots	abʁikˈoz
abris	abʁˈi
abritaient	abʁitˈɛt
abritait	abʁitˈɛt
abritant	abʁitˈɑ̃
abrite	abʁˈit
abritent	abʁˈitt
abriter	abʁitˈe
abrité	abʁitˈe
abritée	abʁitˈe
abritées	abʁitˈez
abrités	abʁitˈez
abrobation	abʁobasjˈɔ̃
abrogation	abʁogasjˈɔ̃
abrogé	abʁoʒˈe
abrogée	abʁoʒˈe
abrou	abʁˈu
abrupt	abʁˈypt
abrupte	abʁˈypt
abruptes	abʁˈyptz
abrupts	abʁˈyptz
abruti	abʁytˈi
abruties	abʁytˈiz
abrutissant	abʁytisˈɑ̃
abrutissante	abʁytisˈɑ̃t
abry	abʁˈi
abrégea	abʁeʒˈa
abrégeait	abʁeʒˈɛt
abrégeant	abʁeʒˈɑ̃
abrégeons	abʁeʒˈɔ̃z
abréger	abʁeʒˈe
abrégera	abʁeʒʁˈa
abrégerait	abʁeʒʁˈɛt
abrégez	abʁeʒˈez
abrégé	abʁeʒˈe
abrégée	abʁeʒˈe
abréviation	abʁevjasjˈɔ̃
abréviations	abʁevjasjˈɔ̃z
abréviative	abʁevjatˈiv
abs	ˈabz
absalon	absalˈɔ̃
abscente	absˈɑ̃t
absence	absˈɑ̃s
absences	absˈɑ̃sz
absent	absˈɑ̃
absente	absˈɑ̃t
absentes	absˈɑ̃tz
absentons	absɑ̃tˈɔ̃z
absents	absˈɑ̃z
absentée	absɑ̃tˈe
absentéisme	absɑ̃teˈism
absinthe	ˈabsɪnθ
absinthe-stout-alcool	ˈabsɪnθstaˈutalkˈɔl
abso	absˈo
absolu	absolˈy
absolue	absolˈy
absolues	absolˈyz
absolument	absolymˈɑ̃
absolutiste	absolytˈist
absorba	absɔʁbˈa
absorbaient	absɔʁbˈɛt
absorbait	absɔʁbˈɛt
absorbant	absɔʁbˈɑ̃
absorbante	absɔʁbˈɑ̃t
absorbants	absɔʁbˈɑ̃z
absorbe	absˈɔʁb
absorbent	absˈɔʁbt
absorber	absɔʁbˈe
absorbé	absɔʁbˈe
absorbée	absɔʁbˈe
absorbées	absɔʁbˈez
absorbés	absɔʁbˈez
absorption	absɔʁpsjˈɔ̃
absorptions	absɔʁpsjˈɔ̃z
absoudre	absˈudʁ
absous	absˈuz
absout	absˈu
absoute	absˈut
abstenir	abstnˈiʁ
abstentions	abstɑ̃sjˈɔ̃z
abstenu	abstnˈy
abstenue	abstnˈy
abstiendrez	abstjɛ̃dʁˈez
abstiendrons	abstjɛ̃dʁˈɔ̃z
abstiens	abstjˈɛ̃z
abstinence	abstinˈɑ̃s
abstinences	abstinˈɑ̃sz
abstraction	abstʁaksjˈɔ̃
abstraire	abstʁˈɛʁ
abstrait	abstʁˈɛt
abstraite	abstʁˈɛt
abstraites	abstʁˈɛtz
absurde	absˈyʁd
absurdes	absˈyʁdz
absurdité	absyʁditˈe
absurdités	absyʁditˈez
abu	abˈy
abus	abˈy
abusa	abyzˈa
abusait	abyzˈɛt
abusait-il	abyzˈɛtil
abusant	abyzˈɑ̃
abuse	abˈyz
abusent	abˈyzt
abuser	abyzˈe
abuses	abˈyzz
abuseur	abyzˈœʁ
abusez	abyzˈez
abusif	abyzˈif
abusive	abyzˈiv
abusivement	abyzivmˈɑ̃
abusives	abyzˈivz
abusons	abyzˈɔ̃z
abusé	abyzˈe
abusée	abyzˈe
abydos	abidˈoz
abzac	abzˈak
abélias	abeljˈaz
abîmaient	abimˈɛt
abîmant	abimˈɑ̃
abîme	abˈim
abîment	abˈimt
abîmer	abimˈe
abîmes	abˈimz
abîmé	abimˈe
abîmée	abimˈe
abîmées	abimˈez
abîmés	abimˈez
abû	abˈy
ac	ˌasˈe
aca	akˈa
acacia	akasjˈa
acacias	akasjˈaz
academy	ɐkˈadəmi
académicien	akademisjˈɛ̃
académiciens	akademisjˈɛ̃z
académie	akademˈi
académies	akademˈiz
académique	akademˈik
académiques	akademˈikz
académiste	akademˈist
acajou	akaʒˈu
acanthoptérigiens	ɐkˌanθəpteɪɹˈɪdʒiənz
acanthoptérygiens	ɐkˌanθəpteɪɹˈɪdʒiənz
acanthures-noirauds	akɑ̃tˈyʁnwaʁˈoz
acariâtre	akaʁjˈaːtʁ
acariès	akaʁjˈɛ
acc	ˈak
accabla	akablˈa
accablaient	akablˈɛt
accablait	akablˈɛt
accablant	akablˈɑ̃
accablante	akablˈɑ̃t
accablantes	akablˈɑ̃tz
accablants	akablˈɑ̃z
accable	akˈabl
accablement	akabləmˈɑ̃
accablent	akˈablt
accabler	akablˈe
accableraient	akabləʁˈɛt
accablèrent	akablˈɛʁt
accablé	akablˈe
accablée	akablˈe
accablées	akablˈez
accablés	akablˈez
accacias	akasjˈaz
accalmie	akalmˈi
accalmies	akalmˈiz
accaparé	akapaʁˈe
accaparés	akapaʁˈez
accastillé	akastijˈe
acce	ˈaks
accent	aksˈɑ̃
accent-là	aksˈɑ̃lˈa
accents	aksˈɑ̃z
accentua	aksɑ̃tyˈa
accentuaient	aksɑ̃tyˈɛt
accentuait	aksɑ̃tyˈɛt
accentuant	aksɑ̃tyˈɑ̃
accentuation	aksɑ̃tyasjˈɔ̃
accentue	aksɑ̃tˈy
accentuer	aksɑ̃tyˈe
accentué	aksɑ̃tyˈe
accentuée	aksɑ̃tyˈe
accentués	aksɑ̃tyˈez
accepta	aksɛptˈa
accepta-t-il	aksɛptˈatil
acceptable	aksɛptˈabl
acceptables	aksɛptˈablz
acceptaient	aksɛptˈɛt
acceptais	aksɛptˈɛz
acceptait	aksɛptˈɛt
acceptant	aksɛptˈɑ̃
acceptation	aksɛptasjˈɔ̃
acceptations	aksɛptasjˈɔ̃z
accepte	aksˈɛpt
acceptent	aksˈɛptt
accepter	aksɛptˈe
acceptera	aksɛptʁˈa
accepteraient	aksɛptʁˈɛt
accepterait	aksɛptʁˈɛt
accepterez	aksɛptʁˈez
accepterez-vous	aksɛptʁˈevuz
accepteriez	aksɛptəʁjˈez
accepteriez-vous	aksɛptəʁjˈevuz
accepteront	aksɛptʁˈɔ̃t
acceptes	aksˈɛptz
acceptez	aksɛptˈez
acceptez-le	aksɛptˈelə-
acceptez-vous	aksɛptˈevuz
acceptiez	aksɛptjˈez
acception	aksɛpsjˈɔ̃
acceptons	aksɛptˈɔ̃z
acceptâmes	aksɛptˈaːmz
acceptèrent	aksɛptˈɛʁt
accepté	aksɛptˈe
acceptée	aksɛptˈe
acceptées	aksɛptˈez
acceptés	aksɛptˈez
access	ˈaksɛs
accessible	aksɛsˈibl
accessibles	aksɛsˈiblz
accession	aksɛsjˈɔ̃
accessit	aksɛsˈi
accessoire	aksɛswˈaʁ
accessoirement	aksɛswaʁmˈɑ̃
accessoires	aksɛswˈaʁz
acci	aksˈi
accident	aksidˈɑ̃
accidentaient	aksidɑ̃tˈɛt
accidentel	aksidɑ̃tˈɛl
accidentelle	aksidɑ̃tˈɛl
accidentellement	aksidɑ̃tɛlmˈɑ̃
accidentelles	aksidɑ̃tˈɛlz
accidents	aksidˈɑ̃z
accidenté	aksidɑ̃tˈe
accidentée	aksidɑ̃tˈe
accidentées	aksidɑ̃tˈez
accidentés	aksidɑ̃tˈez
accipitres	aksipˈitʁz
acclamation	aklamasjˈɔ̃
acclamations	aklamasjˈɔ̃z
acclamer	aklamˈe
acclamé	aklamˈe
acclimater	aklimatˈe
acclimaté	aklimatˈe
acclimatés	aklimatˈez
accointances	akwɛ̃tˈɑ̃sz
accolées	akolˈez
accolés	akolˈez
accommoda	akɔmodˈa
accommodant	akɔmodˈɑ̃
accommodante	akɔmodˈɑ̃t
accommodants	akɔmodˈɑ̃z
accommode	akɔmˈɔd
accommodement	akɔmodmˈɑ̃
accommodements	akɔmodmˈɑ̃z
accommodées	akɔmodˈez
accommodés	akɔmodˈez
accompa	akɔ̃pˈa
accompagna	akɔ̃paɲˈa
accompagnaient	akɔ̃paɲˈɛt
accompagnais	akɔ̃paɲˈɛz
accompagnait	akɔ̃paɲˈɛt
accompagnant	akɔ̃paɲˈɑ̃
accompagnants	akɔ̃paɲˈɑ̃z
accompagnateurs	akɔ̃paɲatˈœʁz
accompagne	akɔ̃pˈaɲ
accompagne-nous	akɔ̃pˈaɲnuz
accompagnement	akɔ̃paɲə-mˈɑ̃
accompagnements	akɔ̃paɲə-mˈɑ̃z
accompagnent	akɔ̃pˈaɲt
accompagner	akɔ̃paɲˈe
accompagnera	akɔ̃paɲə-ʁˈa
accompagnerai	akɔ̃paɲə-ʁˈe
accompagnerai-je	akɔ̃paɲə-ʁˈeʒ
accompagneraient	akɔ̃paɲə-ʁˈɛt
accompagnerait	akɔ̃paɲə-ʁˈɛt
accompagnerez	akɔ̃paɲə-ʁˈez
accompagnerons	akɔ̃paɲə-ʁˈɔ̃z
accompagnez	akɔ̃paɲˈez
accompagnèrent	akɔ̃paɲˈɛʁt
accompagné	akɔ̃paɲˈe
accompagnée	akɔ̃paɲˈe
accompagnées	akɔ̃paɲˈez
accompagnés	akɔ̃paɲˈez
accompli	akɔ̃plˈi
accomplie	akɔ̃plˈi
accomplies	akɔ̃plˈiz
accomplir	akɔ̃plˈiʁ
accomplira	akɔ̃pliʁˈa
accomplis	akɔ̃plˈi
accomplissaient	akɔ̃plisˈɛt
accomplissait	akɔ̃plisˈɛt
accomplissant	akɔ̃plisˈɑ̃
accomplissement	akɔ̃plismˈɑ̃
accomplissent	akɔ̃plˈist
accomplit	akɔ̃plˈi
accompte	akˈɔ̃t
accor	akˈɔʁ
accord	akˈɔʁ
accorda	akɔʁdˈa
accordage	akɔʁdˈaʒ
accordages	akɔʁdˈaʒz
accordait	akɔʁdˈɛt
accordant	akɔʁdˈɑ̃
accorde	akˈɔʁd
accorde-moi	akˈɔʁdmwˌa
accordent	akˈɔʁdt
accorder	akɔʁdˈe
accorderais	akɔʁdəʁˈɛz
accorderait	akɔʁdəʁˈɛt
accordeur	akɔʁdˈœʁ
accordez	akɔʁdˈez
accordez-lui	akɔʁdˈelyi
accordez-moi	akɔʁdˈemwˌa
accordez-nous	akɔʁdˈenuz
accordions	akɔʁdjˈɔ̃z
accordons	akɔʁdˈɔ̃z
accords	akˈɔʁz
accordé	akɔʁdˈe
accordée	akɔʁdˈe
accordées	akɔʁdˈez
accordéon	akɔʁdeˈɔ̃
accordéoniste	akɔʁdeonˈist
accordés	akɔʁdˈez
accore	akˈɔʁ
accores	akˈoʁz
accosta	akɔstˈa
accostaient-ils	akɔstˈɛtilz
accostait	akɔstˈɛt
accostant	akɔstˈɑ̃
accostassent	akɔstˈast
accoste	akˈɔst
accostent	akˈɔstt
accoster	akɔstˈe
accostera	akɔstʁˈa
accosterait	akɔstʁˈɛt
accosterait-il	akɔstʁˈɛtil
accostions	akɔstjˈɔ̃z
accostons	akɔstˈɔ̃z
accostèrent	akɔstˈɛʁt
accosté	akɔstˈe
accostée	akɔstˈe
accostées	akɔstˈez
accoté	akotˈe
accotées	akotˈez
accou	akˈu
accoucha	akuʃˈa
accouchant	akuʃˈɑ̃
accouche	akˈuʃ
accouchement	akuʃmˈɑ̃
accouchements	akuʃmˈɑ̃z
accoucher	akuʃˈe
accouchera	akuʃʁˈa
accoucheu	akuʃˈø
accouché	akuʃˈe
accouchée	akuʃˈe
accouda	akudˈa
accoudoirs	akudwˈaʁz
accoudé	akudˈe
accoudée	akudˈe
accoudés	akudˈez
accoupler	akuplˈe
accouraient	akuʁˈɛt
accourait	akuʁˈɛt
accourant	akuʁˈɑ̃
accourent	akˈuʁt
accourez	akuʁˈez
accourir	akuʁˈiʁ
accourra	akuʁʁˈa
accourront	akuʁˈɔ̃t
accourt	akˈuʁ
accouru	akuʁˈy
accourue	akuʁˈy
accoururent	akuʁˈyʁt
accourus	akuʁˈy
accourut	akuʁˈy
accoutrement	akutʁəmˈɑ̃
accoutrements	akutʁəmˈɑ̃z
accoutré	akutʁˈe
accoutumait	akutymˈɛt
accoutume	akutˈym
accoutumer	akutymˈe
accoutumé	akutymˈe
accoutumée	akutymˈe
accoutumées	akutymˈez
accoutumés	akutymˈez
accoyer	akwajˈe
accra	akʁˈa
accras	akʁˈaz
accrocha	akʁoʃˈa
accrochant	akʁoʃˈɑ̃
accroche	akʁˈɔʃ
accroche-la	akʁˈɔʃla-
accrochent	akʁˈoʃt
accrocher	akʁoʃˈe
accrocherai	akʁoʃʁˈe
accrochez	akʁoʃˈez
accrochiez	akʁoʃjˈez
accrochons-nous	akʁoʃˈɔ̃nuz
accrochèrent	akʁoʃˈɛʁt
accroché	akʁoʃˈe
accrochée	akʁoʃˈe
accrochées	akʁoʃˈez
accrochés	akʁoʃˈez
accrocs	akʁˈoz
accroire	akʁwˈaʁ
accroissait	akʁwasˈɛt
accroissant	akʁwasˈɑ̃
accroissement	akʁwasmˈɑ̃
accroissent	akʁwˈast
accroissez	akʁwasˈez
accros	akʁˈoz
accroupi	akʁupˈi
accroupie	akʁupˈi
accroupis	akʁupˈi
accroît	akʁwˈa
accroîtrait	akʁwatʁˈɛt
accroître	akʁwˈatʁ
accroîtrez	akʁwatʁˈez
accru	akʁˈy
accrue	akʁˈy
accrues	akʁˈyz
accrurent	akʁˈyʁt
accrus	akʁˈy
accrut	akʁˈy
accréditée	akʁeditˈe
accueil	akˈœj
accueillait	akœjˈɛt
accueillant	akœjˈɑ̃
accueillante	akœjˈɑ̃t
accueillantes	akœjˈɑ̃tz
accueillants	akœjˈɑ̃z
accueille	akˈœj
accueillent	akˈœjt
accueillera	akœjʁˈa
accueillerait	akœjʁˈɛt
accueilleriez	akœjəʁjˈez
accueilles	akˈœjz
accueillez	akœjˈez
accueilli	akœjˈi
accueillie	akœjˈi
accueillies	akœjˈiz
accueillir	akœjˈiʁ
accueillirent	akœjˈiʁt
accueillis	akœjˈi
accueillit	akœjˈi
accueils	akˈœjz
acculé	akylˈe
acculés	akylˈez
accumulait	akymylˈɛt
accumulation	akymylasjˈɔ̃
accumule	akymˈyl
accumuler	akymylˈe
accumules	akymˈylz
accumulé	akymylˈe
accumulée	akymylˈe
accumulées	akymylˈez
accumulés	akymylˈez
accusa	akyzˈa
accusait	akyzˈɛt
accusant	akyzˈɑ̃
accusateur	akyzatˈœʁ
accusateurs	akyzatˈœʁz
accusation	akyzasjˈɔ̃
accusations	akyzasjˈɔ̃z
accusatrice	akyzatʁˈis
accuse	akˈyz
accusent	akˈyzt
accuser	akyzˈe
accuserai	akyzʁˈe
accuserait	akyzʁˈɛt
accuserez	akyzʁˈez
accusez	akyzˈez
accusez-vous	akyzˈevuz
accusèrent	akyzˈɛʁt
accusé	akyzˈe
accusée	akyzˈe
accusées	akyzˈez
accusés	akyzˈez
accède	aksˈɛd
accèdent	aksˈɛdt
accès	aksˈɛ
accé	aksˈe
accéder	aksedˈe
accédez	aksedˈez
accédé	aksedˈe
accélère	akselˈɛʁ
accéléra	akseleʁˈa
accélérait	akseleʁˈɛt
accélérateurs	akseleʁatˈœʁz
accélération	akseleʁasjˈɔ̃
accélérer	akseleʁˈe
accéléré	akseleʁˈe
accélérée	akseleʁˈe
acer	asˈɛʁ
ach	ˈak
achalandage	aʃalɑ̃dˈaʒ
achalandait	aʃalɑ̃dˈɛt
achalandé	aʃalɑ̃dˈe
achalandée	aʃalɑ̃dˈe
achard	aʃˈaʁ
acharnait	aʃaʁnˈɛt
acharnement	aʃaʁnəmˈɑ̃
acharné	aʃaʁnˈe
acharnée	aʃaʁnˈe
acharnés	aʃaʁnˈez
achat	aʃˈa
achats	aʃˈaz
acheminerons	aʃminʁˈɔ̃z
acheta	aʃtˈa
achetable	aʃtˈabl
achetaient	aʃtˈɛt
achetais	aʃtˈɛz
achetait	aʃtˈɛt
achetant	aʃtˈɑ̃
acheter	aʃtˈe
acheteur	aʃtˈœʁ
acheteurs	aʃtˈœʁz
achetez	aʃtˈez
achetez-le	aʃtˈelə-
achetez-moi	aʃtˈemwˌa
achetez-vous	aʃtˈevuz
achetiez	aʃətjˈez
achetât	aʃtˈaː
acheté	aʃtˈe
achetée	aʃtˈe
achetées	aʃtˈez
achetés	aʃtˈez
acheva	aʃvˈa
acheva-t-il	aʃvˈatil
achevaient	aʃvˈɛt
achevais	aʃvˈɛz
achevait	aʃvˈɛt
achevalés	aʃvalˈez
achevant	aʃvˈɑ̃
achever	aʃvˈe
achevez	aʃvˈez
achevions	aʃəvjˈɔ̃z
achevèrent	aʃvˈɛʁt
achevé	aʃvˈe
achevée	aʃvˈe
achevées	aʃvˈez
achevés	aʃvˈez
achille	aʃˈij
achim	aʃi
achères	aʃˈɛʁz
achète	aʃˈɛt
achète-t-il	aʃˈɛttil
achètent	aʃˈɛtt
achètera	aʃɛtʁˈa
achèterai	aʃɛtʁˈe
achèterais	aʃɛtʁˈɛz
achèterait	aʃɛtʁˈɛt
achèteras	aʃɛtʁˈaz
achèterez	aʃɛtʁˈez
achètes	aʃˈɛtz
achève	aʃˈɛv
achèveraient	aʃɛvʁˈɛt
achèverait	aʃɛvʁˈɛt
achèverons	aʃɛvʁˈɔ̃z
acide	asˈid
acides	asˈidz
acidifier	asidifjˈe
acidulée	asidylˈe
acier	asjˈe
acigné	asiɲˈe
acinq	asˈɛ̃k
aciérie	asjeʁˈi
aciériste	asjeʁˈist
aco	akˈo
acolytes	akolˈitz
acomptes	akˈɔ̃tz
acores	akˈoʁz
acoustique	akustˈik
acoustiques	akustˈikz
acqu	ˈak
acquerissaient	akʁisˈɛt
acquiers	akjˈez
acquiert	akjˈɛʁ
acquiescement	akjɛsmˈɑ̃
acquirent	akˈiʁt
acquis	akˈiz
acquise	akˈiz
acquises	akˈizz
acquisition	akizisjˈɔ̃
acquisitions	akizisjˈɔ̃z
acquit	akˈi
acquitta	akitˈa
acquittait	akitˈɛt
acquittement	akitmˈɑ̃
acquitter	akitˈe
acquitté	akitˈe
acquittée	akitˈe
acquittés	akitˈez
acquière	akjˈɛʁ
acquièrent	akjˈɛʁt
acquéraient	akeʁˈɛt
acquérait	akeʁˈɛt
acquéreur	akeʁˈœʁ
acquéreurs	akeʁˈœʁz
acquérir	akeʁˈiʁ
acquérissent	akeʁˈist
acras	akʁˈaz
acre	ˈakʁ
acres	ˈakʁz
acrimonie	akʁimonˈi
acrobate	akʁobˈat
acrobates	akʁobˈatz
acrobaties	akʁobatˈiz
acrobatique	akʁobatˈik
acropathes	ˈakɹəpˌeɪðz
acropole	akʁopˈɔl
acrosport	akʁɔspˈɔʁ
acrylique	akʁilˈik
act	ˈakt
acte	ˈakt
actes	ˈaktz
acteur	aktˈœʁ
acteurs	aktˈœʁz
acticall	ˈaktɪkˌɔːl
actif	aktˈif
actifs	aktˈifz
actinidiens	aktinidjˈɛ̃z
actinies	aktinˈiz
action	aksjˈɔ̃
actionna	aksjɔnˈa
actionnaire	aksjɔnˈɛʁ
actionnaires	aksjɔnˈɛʁz
actionne	aksjˈɔn
actionnée	aksjɔnˈe
actions	aksjˈɔ̃z
activaient	aktivˈɛt
activait	aktivˈɛt
active	aktˈiv
activement	aktivmˈɑ̃
activer	aktivˈe
actives	aktˈivz
activi	aktivˈi
activiste	aktivˈist
activistes	aktivˈistz
activité	aktivitˈe
activités	aktivitˈez
activités-là	aktivitˈelˈa
activèrent	aktivˈɛʁt
activé	aktivˈe
activée	aktivˈe
actrice	aktʁˈis
actrices	aktʁˈisz
actualisée	aktyalizˈe
actualité	aktyalitˈe
actualités	aktyalitˈez
actuel	aktyˈɛl
actuelle	aktyˈɛl
actuellement	aktyɛlmˈɑ̃
actuelles	aktyˈɛlz
actuels	aktyˈɛlz
actées	aktˈez
acuité	akyitˈe
acv	ˈakv
acy	ɐkˈaɪ
acères	asˈɛʁz
acéphales	asefˈalz
acérinées	aseʁinˈez
acéré	aseʁˈe
acérée	aseʁˈe
acérées	aseʁˈez
acérés	aseʁˈez
acétabules	asetabˈylz
acétabulifère	asetabylifˈɛʁ
acétate	asetˈat
ad	ˈad
adagios	adaʒjˈoz
adam	adˈɑ̃
adamic	adamik
adamo	adamˈo
adap	adˈap
adapta	adaptˈa
adaptable	adaptˈabl
adaptaient	adaptˈɛt
adaptation	adaptasjˈɔ̃
adaptations	adaptasjˈɔ̃z
adaptatives	adaptatˈiv
adapte	adˈapt
adaptent	adˈaptt
adapter	adaptˈe
